id	dataset	scenario	circumstance_type	circumstance	vulnerable_score	intentional_score	harm_score	help_score	moral_score	vulnerable_expl	intentional_expl	harm_expl	help_expl	moral_expl	agent	assumption_for_agent	patient	assumption_for_patient	human_score
11	Effron	Complimented coworkers on their clothing and appearance	orig		6	7	0	8	2	Average adult coworkers, not particularly vulnerable	Intentional but not extensively planned, a spontaneous act	No harm caused, potentially boosting morale	Providing a positive and uplifting experience	Help provided outweighs vulnerability and intent, with no harm caused.	The person giving the compliments	They are trying to be friendly and build rapport	The coworkers being complimented	They are receptive to positive feedback and appreciate kind words	1.17894736
12	Kruepke	I was in a relationship with my best friend's cousin. She was really beautiful, but as time went on I became less attracted to her. I tried to tell her I didn't really want to see her anymore and she flipped out.	orig		7	5	6	0	-2	She was emotionally invested, making her susceptible to harm	I tried to end the relationship, but didn't plan for her reaction	Her emotional distress was significant, but not physically harmful	I didn't provide any help or support during the situation	Moderate vulnerability, some intent, and harm outweighs lack of help.	I (the narrator)	I assumed I could end the relationship without hurting her feelings	My best friend's cousin (the girlfriend)	I assumed she was emotionally invested in the relationship	0.91
13	Lotto	You are on holiday at the seaside and returning to shore in your motorboat. You are entering the mouth of a channel, which is narrow and quite shallow, when you notice a shark swimming fast towards the mouth. At the end of the channel is a swimmer, who is calmly bathing. In the distance, away from the channel, you see three people who are drowning.You turn quickly out of the channel, leaving the mouth free. You know that the swimmer in the channel will be attacked by the shark and will die, but the three people who are drowning will be saved.	orig		9	7	10	9	-2	The swimmer is alone and unaware of the shark, making them highly susceptible to harm	The action was taken quickly, but with some thought to prioritize saving the three people	The swimmer will likely die due to the shark attack, causing maximum harm	The action saves the lives of three people, providing critical assistance	High vulnerability and harm, but high help, with some intentional action.	The person operating the motorboat	That they are capable of making quick decisions in emergency situations	The swimmer in the channel and the three people drowning	That they are unaware of the shark's presence and are in need of help	-0.46
14	Mickelberg	Person X broke off all communication with their family for a while because they had a heated argument with each other.	orig		8	7	6	1	-2	Family members are typically emotionally vulnerable to each other's actions	Person X intentionally chose to cut off communication, indicating some degree of planning	The argument and subsequent silence likely caused emotional distress and harm to the family	By cutting off communication, Person X failed to provide emotional support or resolution	High vulnerability and intent, moderate harm, and little help make this scenario immoral.	Person X	They are capable of making decisions and taking actions that affect their relationships	Person X's family	They are emotionally invested in their relationship with Person X	-0.38
15	Mickelberg	Person X presented their colleague's idea as their own in order to get a promotion.	orig		7	9	8	0	-3	Colleague is vulnerable due to trusting nature and lack of awareness	Action was intentional and premeditated to achieve a promotion	Harm caused is significant, affecting colleague's reputation and opportunities	No help was provided, and instead, harm was inflicted	High intent and harm, low help, and vulnerable patient make it immoral.	Person X	Assumed to be ambitious and willing to take credit for others' work	The colleague	Assumed to be unaware of Person X's intentions and trusting	-2.86
16	Clifford	You see an employee joking with competitors about how bad his company did last year.	orig		8	8	6	0	-2	Company's reputation is at stake, making it vulnerable to harm	The employee intentionally shared negative information with competitors	The employee's action could lead to loss of business and reputation damage	No help was provided to the company in this scenario	High vulnerability and intent, moderate harm, and no help make this scenario immoral.	The employee	That the employee is not loyal to their company and is willing to share negative information with competitors	The company	That the company's reputation and business are important and should be protected	-2.0
17	Cook	Someone posts on social media bragging about making out with multiple strangers the night before	orig		6	7	5	0	-3	Strangers may be unaware of the situation and followers may be influenced by the post	The action was intentional, but may not have been thoroughly thought through	The post may cause emotional harm to others, such as partners or friends of the strangers	The post does not provide any help or support to others	Intentional harm to a vulnerable patient with no help provided.	The person who posted on social media	They are seeking attention and validation from others	The strangers they made out with, as well as their social media followers	They may be unaware of the consequences of their actions or may be vulnerable to exploitation	-1.22
18	Clifford	You see a girl shooting geese repeatedly with a pellet gun out in the woods.	orig		9	9	8	0	-3	Geese are living creatures that can be harmed or killed	The girl is intentionally shooting the geese with a pellet gun	Shooting geese with a pellet gun can cause significant harm or death	The girl's action does not provide any help or assistance to the geese	High vulnerability and intent, significant harm, and no help make this scenario immoral.	The girl	She is capable of harming living creatures	The geese	They are defenseless and vulnerable to harm	-3.0
19	Clifford	You see a family eating the carcass of their pet dog that had been run over.	orig		10	6	8	0	-3	Defenseless and highly susceptible to harm	Accidental death, but intentional consumption	Caused significant emotional and psychological harm	No help or protection was provided to the dog	High vulnerability, intentional harm, and no help make this scenario highly immoral.	The family members	They are capable of rational thought and decision-making	The pet dog	It was a beloved family pet and a living being	-3.2
20	Mickelberg	Person X stole the collection tin of a blind beggar on the street.	orig		9	7	6	0	-3	Blindness makes the beggar more susceptible to harm and exploitation	Stealing a collection tin requires some planning and deliberation	Stealing the collection tin causes financial harm and emotional distress	No help was provided, and the action was harmful	High vulnerability and harm, with intentional action and no help provided.	Person X	Assuming Person X is capable of making conscious decisions and has a sense of morality	The blind beggar	Assuming the blind beggar is vulnerable due to their disability and reliance on charity	-3.38
21	Effron	Refused to hold the door for a man in a wheelchair	orig		9	8	6	0	-2	The man in a wheelchair is more susceptible to harm due to his disability	The action was intentional, as the person chose not to hold the door	The action caused emotional distress and inconvenience to the man in a wheelchair	No help was provided, and the person failed to assist	High vulnerability and intent, moderate harm, and no help make this scenario immoral.	The person who refused to hold the door	They are able-bodied and capable of holding the door	The man in a wheelchair	He is in need of assistance and has limited mobility	-3.008
22	Effron	Spent time voluntarily tutoring disadvantaged students	orig		8	9	0	8	2	Disadvantaged students may be more susceptible to harm due to systemic inequalities	The tutor intentionally chose to volunteer their time and expertise	No harm was caused in this scenario	The tutor provided significant academic support and guidance	High vulnerability and intent, but no harm and significant help provided.	The tutor	Assumed to be a caring and knowledgeable individual	The disadvantaged students	Assumed to be in need of academic support and guidance	3.2
23	Mickelberg	Person X saw a homeless person in the rain, so they gave the person their jacket and umbrella, plus $20 for a hot meal	orig		9	6	0	8	2	Homeless person is vulnerable due to lack of resources and exposure to harsh weather	Person X acted intentionally, but with minimal planning, in response to the situation	No harm was caused to the homeless person	Person X provided significant help by offering essential items and money for a meal	High vulnerability and help, but low intent and no harm, making it somewhat moral.	Person X	They are a kind and empathetic person	The homeless person	They are in need of basic necessities like food and shelter	3.47
24	Kruepke	For a while I was a security officer at a bank. One day I was walking by the front door when I saw a fifty-dollar bill. I was tempted to take the money but instead I reported it to the manager.	orig		6	7	0	8	2	The patient is an entity with average resilience, not defenseless	The action was intentional, but not extensively planned	No harm was caused, as the money was reported and not taken	Help was caused by reporting the lost money, ensuring its return	Help provided outweighs vulnerability and intent, with no harm caused.	The security officer (the narrator)	The assumption is that the security officer is honest and responsible	The bank and its customers (the owner of the lost money)	The assumption is that the bank and its customers are entitled to their property	2.75
25	Effron	Heckled a woman speaking on human rights	orig		7	8	6	0	-3	The woman is likely to be emotionally affected by the heckling, but still able to defend herself	The agent intentionally disrupted the woman's speech, showing some degree of planning	The heckling caused emotional distress and disrupted the event, but did not cause physical harm	The agent's action did not provide any help or support to the woman or the cause of human rights	High intent to harm a vulnerable patient with no help provided.	The person who heckled the woman	Assuming the agent is a male who disagrees with the woman's views on human rights	The woman speaking on human rights	Assuming the patient is a passionate and confident advocate for human rights	-2.25454544
26	Effron	Criticized an old woman for being too slow	orig		8	7	6	0	-2	Old age makes her more susceptible to emotional harm	The criticism was likely a deliberate action	The criticism caused emotional distress and hurt	No help or support was provided	High vulnerability and intent, with harm caused and no help provided.	The person who criticized the old woman	That they are impatient and lack empathy	The old woman	That she is frail and deserving of respect	-1.96129032
27	Mickelberg	Person X took public transport so their sister could use their car to get to work safely.	orig		7	8	1	9	2	Average adult, some susceptibility to harm	Thoughtful decision to let sister use the car	No harm caused, only a minor inconvenience	Providing a safe means of transportation	High help and low harm outweigh moderate vulnerability and intent.	Person X	They are a responsible and caring sibling	Person X's sister	She needs a safe way to get to work	2.58
28	Kruepke	I had a bad relationship with my father and had not talked to him for years. He had left my mother. When my mother died I gathered the strength to call him and tell him that she died and that I loved him.	orig		7	8	4	8	0	My father is an adult, but the news of his ex-wife's death and his child's expression of love may make him emotionally vulnerable	I intentionally called my father to inform him of my mother's death and express my love, showing some degree of thought and planning	The action caused no physical harm, but may have caused emotional distress or discomfort	The action provided emotional support and closure, potentially helping my father to process his emotions and come to terms with his past	High intent and vulnerability, but moderate harm and significant help.	I (the narrator)	I assumed that my father would be affected by the news of my mother's death and my expression of love	My father	I assumed that my father would be emotional and potentially vulnerable to the news	2.33
29	Kruepke	My husband ran a business and I worked in his shop. Once a rather unsavory character came in and handed my husband something. So, I looked through my husband's wallet to see what the man gave him.	orig		7	4	2	6	0	My husband is an average adult, susceptible to harm but not defenseless	I acted impulsively, with minimal premeditation, out of concern for my husband	No physical harm was caused, but potential emotional distress or relationship damage	I was trying to protect my husband from potential harm or trouble	Moderate vulnerability and help, low intent and harm, yielding a neutral moral score.	I (the wife)	I assumed my husband was involved in something suspicious or illegal	My husband	I assumed my husband was unaware of the true nature of the item given to him	-1.14
30	Lotto	You are the head of a group of five travellers who are exploring the remote regions of South America. During the trip, you inadvertently camp in the sacred cemetery of a local tribe. The members of the tribe capture you and condemn you all to death. After some negotiation, they propose a possible alternative in the form of a human sacrifice that will pacify their god who has been offended.You accept the tribe’s proposal, and during the ceremony, you kill one of the travellers in the group. This person will die, but you and the other four travellers’ lives will be spared.	orig		9	9	10	8	-3	The patient is a human being in a vulnerable situation, with no power to escape or defend themselves.	The action was intentional, as the leader had to make a conscious decision to sacrifice one of their own group members.	The harm caused is maximum, as it resulted in the death of a human being.	The help caused is significant, as it saved the lives of the remaining four group members.	High vulnerability and intent, with severe harm, outweighs moderate help.	The head of the group of five travellers	That they are capable of making difficult decisions to ensure the survival of the group	One of the travellers in the group	That they are a member of the group and under the leader's protection	-1.24
31	Effron	Rescued an injured kitten from a tree	orig		10	9	0	10	4	Kittens are defenseless and highly susceptible to harm	The person intentionally climbed the tree to rescue the kitten	No harm was caused to the kitten during the rescue	The person provided critical assistance to save the kitten's life	High help and no harm outweigh high vulnerability and intent.	A person (e.g., a good Samaritan)	They are kind, compassionate, and willing to help	The injured kitten	It is helpless, innocent, and in need of care	2.7428572
32	Kruepke	About a year ago I started re-selling medications from a Canadian pharmacy. I helped a great deal of elderly people so that they didn't have to pay exorbitant amounts for their medications that they needed.	orig		8	7	2	8	0	Elderly people are often more susceptible to harm due to age-related health issues.	The narrator took deliberate action to re-sell medications, indicating some degree of planning.	No harm is explicitly mentioned, but there is a risk of harm if the medications are not genuine or are not suitable for the patients.	The narrator's actions provided significant help to the elderly people by making medications more affordable.	High vulnerability and help, moderate intent, and low harm lead to a neutral moral score.	The agent is the narrator, who is re-selling medications from a Canadian pharmacy.	The assumption is that the narrator is motivated by a desire to help others, particularly the elderly.	The patients being affected are the elderly people who need medications.	The assumption is that the elderly people are in need of affordable medications and are vulnerable due to their age and potential health issues.	0.57
33	Kruepke	I was at the pharmacy buying something and I noticed a man who was sitting outside selling trinkets. He was homeless and it was freezing out. So I went next door to a store and bought him some food and new clothes.	orig		9	7	0	8	2	He was homeless and exposed to freezing temperatures, making him highly susceptible to harm.	I took deliberate action to help the man, showing some degree of thought and planning.	No harm was caused to the man, and my action did not have any negative consequences.	I provided substantial assistance by buying him food and new clothes, significantly improving his situation.	High vulnerability and intent, but no harm and significant help provided.	I (the person buying something at the pharmacy)	I assumed I had the means to help the homeless man	The homeless man selling trinkets	I assumed he was in need of basic necessities like food and clothing	2.62
34	Kruepke	My husband had a problem with always wanting new computer equipment, what I called "techno-lust". It was a really huge financial problem, and I told him he had to go on a 5-year plan to financially police himself or I would divorce him. He has greatly improved.	orig		8	7	8	9	0	The wife was vulnerable due to her emotional investment in the relationship and financial stability	The husband's actions were intentional, though perhaps impulsive, as he continued to prioritize new equipment over financial responsibility	The harm caused was significant, as it threatened the stability of their relationship and finances	The wife's intervention and ultimatum ultimately helped the husband to change his behavior and improve their financial situation	High vulnerability and harm, but high help and moderate intent.	The husband	He was driven by a desire for new computer equipment and lacked self-control	The wife and their financial stability	She was concerned about their financial well-being and felt threatened by his behavior	0.38
35	Effron	Took the neighbor's newspaper	orig		6	4	3	0	-2	Neighbor is a typical adult, average resilience	Action was likely impulsive, with minimal premeditation	Caused minor inconvenience, no significant damage	No help was provided, only harm was caused	Moderately immoral due to vulnerability and harm, despite some intent.	The person who took the newspaper	Assumed they had a right to take it or didn't think it was a big deal	The neighbor	Assumed they were expecting to read their newspaper	-1.73714296
36	Clifford	You see someone cheating in a card game while playing with a group of strangers.	orig		7	8	6	0	-3	Average adults, susceptible to financial and emotional harm	Deliberate and planned action to cheat, with intent to deceive	Causing financial loss and emotional distress to other players	No help or assistance is provided to the other players	High intent to harm a vulnerable patient with no help provided.	The person cheating in the card game	They are dishonest and willing to gain an unfair advantage	The other players in the game	They are unaware of the cheating and trust the game is being played fairly	-2.6
37	Mickelberg	Person X did really well at the quiz night.	orig		0	8	0	6	0	The competition is an inanimate entity, cannot be harmed	Person X intentionally prepared and participated in the quiz	No harm was caused to the competition or others	Person X's actions helped themselves win the quiz	Intentional action with no harm, but some help, yields a neutral moral score.	Person X	Person X is capable and knowledgeable	The quiz night competition	The competition is neutral, without personal feelings or emotions	0.41
38	Effron	Sang at a prison in order to entertain the inmates	orig		7	8	0	8	2	Inmates may be vulnerable due to their confinement and lack of freedom	The singer intentionally planned and prepared to perform for the inmates	No harm was caused, and the action was meant to be uplifting	The singer provided emotional support and entertainment to the inmates	High help and no harm outweigh moderate vulnerability and intent.	The singer	Assuming the singer is a kind and empathetic person	The inmates	Assuming the inmates are in need of entertainment and emotional uplift	1.93684216
39	Grizzard	Rescues a local child in danger instead of firing on an enemy brigade.	orig		10	9	0	10	4	The child is defenseless and highly susceptible to harm	The soldier deliberately chose to rescue the child instead of following orders	No harm was caused to the child, and the enemy brigade was not engaged	The soldier's action directly saved the child's life	High help and no harm outweigh high vulnerability and intent.	A soldier	The soldier is capable of making moral decisions and prioritizing human life	The local child in danger	The child is innocent and helpless	2.893333333
40	Lotto	You are in a field playing frisbee with three young people you have just met. Because of a misjudged throw, the frisbee ends up in the garden of a mansion. You decide to climb the wall to look for it. Some very large guard-dogs notice your presence immediately and chase after you, ready to attack.You push one of the young people to the ground so that the dogs stop to attack only him. You know that he will die, but you, and the other two, will be able to escape.	orig		7	8	10	6	-2	The patient is a typical adult with no special vulnerabilities	The action was intentional, but not extensively planned	The action led to the death of the patient, maximum harm	The action helped the agent and two others escape, but at a great cost	High intent and harm, but some help, outweighs vulnerability.	The person who pushed one of the young people to the ground	That they would be able to escape by sacrificing one of the others	The young person who was pushed to the ground	That they would be attacked and killed by the guard dogs	-1.82
41	Mickelberg	Person X worked on a campaign to release wrongfully convicted prisoners.	orig		8	9	0	9	3	Prisoners are vulnerable due to their wrongful conviction and loss of freedom	Person X's action is intentional, as they worked on a campaign to release prisoners	No harm was caused, as the action aimed to release prisoners, not harm them	The action provided significant help by working towards the prisoners' release	High help and no harm outweigh high vulnerability and intent.	Person X	Assuming Person X is a compassionate and justice-driven individual	Wrongfully convicted prisoners	Assuming they are innocent and deserving of freedom	3.27
42	Effron	Gave his coat to someone when it was cold	orig		7	8	0	8	2	The patient was likely cold and in need of help	The action was intentional and thoughtful	No harm was caused, only kindness	The action provided significant help and warmth	High help and no harm outweigh moderate vulnerability and intent.	The person who gave their coat	That they are kind and empathetic	The person who received the coat	That they were in need of warmth	3.04
43	Effron	Kicked a stray cat to get it to leave his yard	orig		9	8	6	0	-2	Stray cats are often hungry, alone, and vulnerable to harm	Kicking the cat shows a deliberate and intentional action	Kicking can cause physical harm and pain to the cat	No help or assistance was provided to the cat	High vulnerability and intent, moderate harm, and no help make this scenario immoral.	The homeowner	Assuming the homeowner is responsible for maintaining their yard and has a sense of ownership	The stray cat	Assuming the stray cat is a vulnerable and defenseless creature	-3.048
44	Effron	Tricked a stay at home mom into donating to a fake charity	orig		7	9	6	0	-3	Stay-at-home moms may be more vulnerable due to limited social interaction and potential financial dependence.	The scammer deliberately planned and executed the deception.	The mom suffered financial loss and potential emotional distress.	No help was provided, and harm was inflicted instead.	High intent to harm a vulnerable patient with no help provided.	The scammer	That they could deceive and manipulate others for personal gain	The stay-at-home mom	That she was trusting and naive	-3.088
45	Mickelberg	Person X volunteers at a dog refuge, walking the dogs and cleaning their kennels once a week.	orig		8	8	0	9	3	Dogs are living beings that can be harmed or mistreated	Person X is taking deliberate action to help the dogs	No harm is being caused to the dogs	Person X is providing necessary care and attention to the dogs	High help and no harm outweigh high vulnerability and intent.	Person X	Assuming Person X is a responsible and caring individual	The dogs at the refuge	Assuming the dogs are in need of care and attention	2.67
46	Mickelberg	Person X buys a loaf of bread every day, as they love the smell of freshly baked bread in the morning.	orig		0	9	0	8	2	Inanimate object, cannot be harmed or victimized.	Person X intentionally buys bread every day.	No harm is caused to the bread or anyone else.	Person X benefits from the smell of freshly baked bread.	High intent, but no harm and significant help, making it morally acceptable.	Person X	They love the smell of freshly baked bread in the morning.	The loaf of bread	It is an inanimate object	0.2
47	Mickelberg	Person X cleaned the bookshelf and picked up some items that had dropped onto the floor.	orig		0	8	0	6	2	Inanimate objects are not susceptible to harm	Person X intentionally cleaned the bookshelf and picked up items	No harm was caused to the items or the bookshelf	Help was provided by organizing and cleaning the bookshelf	Intentional action with no harm and some help, but no vulnerability.	Person X	Assuming Person X is a responsible and capable individual	The items on the floor and the bookshelf	Assuming the items are inanimate objects and not fragile or valuable	1.0
48	Clifford	You see a teenage girl wearing a long trench coat on a hot summer afternoon.	orig		6	6	0	0	0	Average resilience, some susceptibility to harm or judgment	Some degree of thought and planning in choosing the outfit	No harm intended, possibly just a fashion choice	No help or assistance intended, just a personal choice	Neutral score due to vulnerability and intent, but no harm or help.	The teenage girl	She might be trying to hide something or express herself through her fashion choice	The teenage girl herself	She might be self-conscious or trying to make a statement	-0.2
49	Clifford	You see a pastor banning his congregants from wearing bright colors in the church.	orig		7	8	5	0	-2	Congregants are average individuals with some susceptibility to harm	The pastor's action is deliberate and planned to enforce his rules	The harm is emotional and psychological, causing discomfort and restriction	No help is provided, only restriction and control	High intent and harm, low help, and vulnerable patient make it immoral.	The pastor	He is authoritarian and controlling	The congregants	They are obedient and respectful of the pastor's authority	-2.6
50	Mickelberg	Person X always pays off their debts first before buying things for themselves.	orig		7	10	0	7	2	Medium-High Vulnerability, as creditors may be affected by non-payment	Maximum Intentionality, as Person X deliberately prioritizes debt repayment	Minimum Harm, as debt repayment prevents harm to creditors and Person X	Medium-High Help, as debt repayment provides significant assistance to creditors	High intent, but no harm and some help, making it somewhat moral.	Person X	Person X is responsible and financially disciplined	Person X's creditors and potentially themselves	They are entities that can be affected by Person X's financial decisions	1.85
51	Kruepke	My mother would always bring home clothes for me that I hated and would never wear. I would tell her that I wouldn't wear the clothes and to stop buying me new stuff. She would get really mad at me.	orig		8	6	5	0	-2	As a child, I was dependent on my mother and vulnerable to her actions	She intentionally bought clothes, but may not have thought about my feelings	Her actions caused emotional distress and frustration	Her actions did not provide any help or support	High vulnerability and harm, with some intent, outweighs lack of help.	My mother	She thought I would like the clothes she brought home	Me	I had my own preferences and opinions about clothes	-0.44
52	Effron	Lent money to a friend in a financial crisis	orig		8	8	1	9	2	The patient is in a financial crisis, making them susceptible to harm.	The action is intentional, as the agent deliberately decides to lend money.	The action causes minimal harm, as it's a loan to help the friend.	The action provides significant help, as it alleviates the friend's financial crisis.	High help and low harm outweigh high vulnerability and intent.	The agent is the person lending the money (the narrator).	The assumption is that the agent is a good friend and wants to help.	The patient is the friend in a financial crisis.	The assumption is that the patient is in a vulnerable state and needs help.	2.4
53	Mickelberg	Person X saved a man who was about to be hit by a car by jumping in front of the car and pushing him out of the way.	orig		9	8	2	10	3	The man is in a life-threatening situation, making him highly vulnerable	Person X acted quickly and deliberately to save the man's life	No harm was caused to the man, but Person X may have been injured	Person X's action was critical in saving the man's life	High help and low harm outweigh vulnerability and intent.	Person X	Assuming Person X is a responsible and brave individual	The man who was about to be hit by the car	Assuming the man is an average adult with no special abilities or vulnerabilities	3.38
54	Clifford	You see an employee at a morgue eating his pepperoni pizza off of a dead body.	orig		10	9	8	0	-3	The deceased person is completely vulnerable and unable to defend themselves.	The employee intentionally chose to eat off the body, showing a deliberate lack of respect.	The action causes emotional distress and disrespect to the deceased and their loved ones.	No help or assistance is provided, and the action is harmful and disrespectful.	High vulnerability, intent, and harm, with no help, makes this scenario highly immoral.	The employee at the morgue	He is irresponsible and lacks respect for the dead	The deceased person	They are defenseless and deserving of respect	-3.2
55	Clifford	You see an employee lying about how many hours she worked during the week.	orig		6	8	6	0	-3	The employer is a typical organization, not particularly vulnerable.	The employee intentionally falsified their work hours, showing deliberate thought.	The harm caused is financial and reputational, but not catastrophic.	No help was caused in this scenario, as the employee's action was harmful.	Intentional harm to a vulnerable patient with no help provided.	The employee	That she is dishonest and willing to deceive for personal gain	The employer or the company	That they trust their employees to report their work hours accurately	-2.9
56	Effron	Pushed into the front of a line at a theater	orig		7	5	4	0	-2	Average resilience, some susceptibility to harm	Acting impulsively, with minimal premeditation	Causing minor frustration and inconvenience	No help or assistance was provided	Moderately immoral due to vulnerability and harm, despite some intent.	A person in front of me in line	They are impatient and inconsiderate	Me	I am a typical adult, expecting to wait in line	-1.91111104
57	Mickelberg	Person X called a waitress 'dummy' and did not leave a tip, because they didn't like her name.	orig		7	9	6	0	-3	Waitress is vulnerable due to her job and dependence on tips	Person X intentionally used a derogatory term and withheld a tip	The action caused emotional distress and financial harm	No help was provided, and harm was inflicted instead	High intent to harm a vulnerable patient with no help provided.	Person X	They are rude and discriminatory	The waitress	She is a service worker trying to do her job	-2.98
58	Clifford	You see a story about a remote tribe eating the flesh of their deceased members.	orig		10	9	8	0	-3	Deceased individuals are defenseless and vulnerable	The action is likely a deliberate and intentional part of their cultural practice	The action causes significant harm to the deceased individual's dignity and respect	No help or assistance is provided to the deceased individual	High vulnerability, intent, and harm, with no help, makes this scenario highly immoral.	The members of the remote tribe	They are following a cultural or religious practice	The deceased members of the tribe	They are deceased and unable to consent or resist	-2.3
59	Cook	Someone brags on social media about drinking excessively to the point of vomiting	orig		6	5	6	0	-3	The person is vulnerable to harm due to their own actions	The action was intentional, but likely impulsive	The harm caused is primarily to the person's own health and well-being	No help was caused, as the action was self-destructive	Intentional harm to a vulnerable patient with no help provided is morally unacceptable.	The person who bragged on social media	They are reckless and irresponsible	The person themselves	They are capable of making poor decisions	-1.19
