id	dataset	scenario	circumstance_type	circumstance	vulnerable_score	intentional_score	harm_score	help_score	moral_score	vulnerable_expl	intentional_expl	harm_expl	help_expl	moral_expl	agent	assumption_for_agent	patient	assumption_for_patient	human_score
11	Effron	Complimented coworkers on their clothing and appearance	orig	A typical workday in a professional office setting	6.0	6.0	0.0	4.0	3.0	Average adults are moderately vulnerable to emotional harm	The action is intentional but not premeditated	The action causes no harm, only positive emotions	The action provides minor emotional support	The scenario is morally acceptable as it promotes positivity	A coworker	The agent is well-intentioned and respectful	The coworkers being complimented	The patients are average adults with normal self-esteem	1.17894736
12	Kruepke	I was in a relationship with my best friend's cousin. She was really beautiful, but as time went on I became less attracted to her. I tried to tell her I didn't really want to see her anymore and she flipped out.	orig	The agent was trying to end a romantic relationship	8.0	6.0	7.0	0.0	-2.0	Girlfriend was emotionally vulnerable due to her investment in the relationship	The narrator's action was intentional, but not thoroughly thought out	The girlfriend was significantly harmed emotionally by the breakup	No help was provided to the girlfriend during the breakup	The scenario is morally unacceptable due to the harm caused to the girlfriend	The narrator	The narrator assumed they could easily end the relationship without hurting the other person	The narrator's girlfriend (best friend's cousin)	The girlfriend was emotionally invested in the relationship	0.91
13	Lotto	You are on holiday at the seaside and returning to shore in your motorboat. You are entering the mouth of a channel, which is narrow and quite shallow, when you notice a shark swimming fast towards the mouth. At the end of the channel is a swimmer, who is calmly bathing. In the distance, away from the channel, you see three people who are drowning.You turn quickly out of the channel, leaving the mouth free. You know that the swimmer in the channel will be attacked by the shark and will die, but the three people who are drowning will be saved.	orig	Emergency situation at sea	10.0	7.0	10.0	10.0	2.0	Swimmer in channel is defenseless and susceptible to harm	Action was taken quickly, but with some thought and planning	Swimmer in channel will likely die, causing maximum harm	Three people drowning will be saved, causing maximum help	Morally acceptable due to greater good and minimizing harm	The boat driver	Assumed to be responsible and capable of making quick decisions	The swimmer in the channel and the three people drowning	Assumed to be unaware of the shark and in need of help	-0.46
14	Mickelberg	Person X broke off all communication with their family for a while because they had a heated argument with each other.	orig	Person X had a heated argument with their family	8.0	7.0	6.0	0.0	-2.0	Family members are emotionally vulnerable to each other's actions	Person X intentionally cut off communication, indicating some deliberation	The harm caused is emotional distress and potential long-term damage to relationships	No help or support was provided to the family during this time	The scenario is morally questionable due to the harm caused and lack of help	Person X	Assuming Person X is an adult with agency and responsibility	Person X's family	Assuming Person X's family is emotionally invested in the relationship	-0.38
15	Mickelberg	Person X presented their colleague's idea as their own in order to get a promotion.	orig	A highly competitive workplace with limited opportunities for advancement	8.0	9.0	8.0	0.0	-3.0	Colleague is vulnerable due to trusting nature and lack of protection	Action was intentional and premeditated to achieve a specific goal	Harm caused is significant, damaging colleague's reputation and opportunities	No help was provided, and instead, harm was inflicted	Scenario is highly immoral due to intentional harm and exploitation	Person X	Assumed to be ambitious and willing to do whatever it takes to get ahead	The colleague whose idea was stolen	Assumed to be unsuspecting and trusting of their colleagues	-2.86
16	Clifford	You see an employee joking with competitors about how bad his company did last year.	orig	The employee is unhappy with their company and wants to impress the competitors	8.0	8.0	6.0	0.0	-2.0	Company's reputation can be harmed by employee's actions	Employee intentionally shared negative information about their company	Company's reputation may be damaged, leading to loss of business and revenue	No help was provided to the company	Employee's intentional action caused harm to the company, making it immoral	The employee	The employee is unhappy with their company and wants to impress the competitors	The company	The company is vulnerable to negative publicity and damage to its reputation	-2.0
17	Cook	Someone posts on social media bragging about making out with multiple strangers the night before	orig	The person posting on social media is seeking attention and validation from others.	7.0	6.0	5.0	0.0	-2.0	Strangers may be vulnerable to manipulation or exploitation	The action was intentional, but may not have been thoroughly thought out	The action may cause emotional harm or damage to reputation	No help was provided, and the action may have caused harm	The action is morally unacceptable due to potential harm and exploitation	The person posting on social media	They are insecure and crave attention	The strangers they made out with and their social media followers	They may be unaware of the person's intentions or may be vulnerable to manipulation	-1.22
18	Clifford	You see a girl shooting geese repeatedly with a pellet gun out in the woods.	orig	The girl is hunting geese for food or sport in a rural area.	8.0	9.0	8.0	0.0	0.0	Geese are living creatures that can be harmed or killed.	The girl is intentionally shooting the geese with a pellet gun.	The geese are being harmed or killed by the pellet gun.	No help is being provided to the geese.	The scenario is morally neutral, as hunting is a common practice for food or sport.	The girl	She is likely an outdoorsy person who enjoys hunting or has a need for food.	The geese	They are wild animals that are not domesticated or under human care.	-3.0
19	Clifford	You see a family eating the carcass of their pet dog that had been run over.	orig	Extreme poverty and hunger	10.0	4.0	9.0	0.0	-2.0	The dog was defenseless and vulnerable to harm	Acting out of desperation, not deliberate cruelty	Causing death and emotional distress to the family	No help or protection was provided to the dog	Morally unacceptable, but understandable in extreme circumstances	The family members	They are desperate and hungry	The pet dog	It was a beloved family pet	-3.2
20	Mickelberg	Person X stole the collection tin of a blind beggar on the street.	orig	The agent is a desperate and impoverished individual who sees the blind beggar as an easy target.	10.0	7.0	8.0	0.0	-4.0	The patient is defenseless and highly susceptible to harm due to their disability.	The agent acted with some degree of thought and planning, targeting a vulnerable individual.	The action caused significant financial harm to the patient, who relies on donations for their livelihood.	The agent failed to offer any assistance or protection, instead taking advantage of the patient's vulnerability.	The scenario is highly immoral due to the agent's intentional exploitation of a vulnerable individual.	Person X	The agent is desperate and impoverished, and sees the blind beggar as an opportunity to gain financially.	The blind beggar	The patient is vulnerable and trusting, relying on the kindness of strangers for their livelihood.	-3.38
21	Effron	Refused to hold the door for a man in a wheelchair	orig	The person was in a hurry and didn't notice the man in a wheelchair behind them.	9.0	4.0	3.0	0.0	-2.0	The man in a wheelchair is highly susceptible to harm due to his disability.	The action was not premeditated, but still showed a lack of consideration.	The action caused inconvenience and frustration, but no physical harm.	No help was provided, which is the minimum level of assistance.	The scenario is immoral due to the lack of consideration and assistance.	A able-bodied person	They were careless and inconsiderate	The man in a wheelchair	He was dependent on others for assistance	-3.008
22	Effron	Spent time voluntarily tutoring disadvantaged students	orig	The agent is a volunteer with a desire to help others	8.0	9.0	0.0	8.0	4.0	Disadvantaged students may lack resources and support	The agent intentionally chose to volunteer their time	No harm was caused in this scenario	The agent provided significant academic support	The agent's intentional action helped a vulnerable individual	The agent is the person who spent time tutoring	The agent is assumed to be a kind and caring individual	The patient is the disadvantaged student	The patient is assumed to be in need of academic support	3.2
23	Mickelberg	Person X saw a homeless person in the rain, so they gave the person their jacket and umbrella, plus $20 for a hot meal	orig	A person of average socioeconomic status and empathy	9.0	8.0	0.0	8.0	4.0	Homeless person is exposed to harsh weather conditions	Person X took deliberate action to help the homeless person	No harm was caused to the homeless person	Person X provided substantial help with clothing, umbrella, and money	The action was highly moral due to the significant help provided	Person X	They are a kind and empathetic person	The homeless person	They are in a vulnerable state due to homelessness and bad weather	3.47
24	Kruepke	For a while I was a security officer at a bank. One day I was walking by the front door when I saw a fifty-dollar bill. I was tempted to take the money but instead I reported it to the manager.	orig	A person finds lost money and decides what to do with it	6.0	8.0	0.0	8.0	4.0	The bank and its customers are not defenseless	The officer made a deliberate decision to report the money	No harm was caused by the officer's action	The officer's action helped maintain the bank's integrity	The officer's honest action is highly moral	The security officer	The officer is honest and responsible	The bank and its customers	The bank and its customers are unaware of the lost money	2.75
25	Effron	Heckled a woman speaking on human rights	orig	A public speech or debate	7.0	8.0	6.0	0.0	-3.0	The woman is in a vulnerable position as a speaker	The man's action is intentional and deliberate	The heckling causes emotional distress and disrupts the woman's speech	No help is provided to the woman	The scenario is immoral due to the intentional harm caused to the woman	A man	He is opposed to the woman's views on human rights	The woman speaking on human rights	She is passionate about human rights and may be emotionally invested in the topic	-2.25454544
26	Effron	Criticized an old woman for being too slow	orig	The agent is in a hurry and is frustrated with the old woman's slow pace.	8.0	5.0	6.0	0.0	-2.0	Older adults may have reduced mobility and be more susceptible to harm.	The agent's action is impulsive, but not entirely accidental.	The agent's criticism may cause emotional distress and embarrassment.	The agent's action does not provide any assistance or support.	The agent's action is harmful and shows a lack of empathy.	The agent is a young adult.	The agent assumes that the old woman is capable of moving faster.	The patient is the old woman.	The patient is elderly and may have physical limitations.	-1.96129032
27	Mickelberg	Person X took public transport so their sister could use their car to get to work safely.	orig	The sister needs to get to work safely	7.0	9.0	0.0	9.0	4.0	The sister is an average adult with some susceptibility to harm	Person X took deliberate action to ensure their sister's safety	No harm was caused to anyone in this scenario	Person X provided critical assistance to their sister's safety	The action was highly moral due to its selfless and protective nature	Person X	They are a responsible and caring sibling	The sister	She needs a safe mode of transportation to get to work	2.58
28	Kruepke	I had a bad relationship with my father and had not talked to him for years. He had left my mother. When my mother died I gathered the strength to call him and tell him that she died and that I loved him.	orig	A person is seeking closure and reconciliation with their estranged father after their mother's passing.	8.0	6.0	2.0	8.0	3.0	The narrator is emotionally vulnerable due to recent loss.	The action is intentional, but not premeditated.	No harm is caused, but potential emotional distress.	The action provides emotional closure and potential reconciliation.	The scenario is morally acceptable due to the narrator's vulnerability and intention to reconcile.	The narrator	That they are capable of forgiveness and seeking reconciliation	The father	That he is emotionally distant and may not respond positively	2.33
29	Kruepke	My husband ran a business and I worked in his shop. Once a rather unsavory character came in and handed my husband something. So, I looked through my husband's wallet to see what the man gave him.	orig	The husband is involved in some shady dealings and the wife is suspicious of his activities.	6.0	7.0	2.0	0.0	-1.0	The husband is an adult and can take care of himself.	The wife's action is intentional, but not malicious.	The wife's action causes minimal harm, just invading privacy.	The wife's action does not provide any help or protection.	The wife's action is morally questionable, but not extremely immoral.	The wife	She is suspicious and concerned about her husband's activities.	The husband	He may be involved in illegal or unethical activities.	-1.14
30	Lotto	You are the head of a group of five travellers who are exploring the remote regions of South America. During the trip, you inadvertently camp in the sacred cemetery of a local tribe. The members of the tribe capture you and condemn you all to death. After some negotiation, they propose a possible alternative in the form of a human sacrifice that will pacify their god who has been offended.You accept the tribe’s proposal, and during the ceremony, you kill one of the travellers in the group. This person will die, but you and the other four travellers’ lives will be spared.	orig	Survival in a desperate situation	7.0	7.0	10.0	9.0	-2.0	The patient is a typical adult with average resilience.	The action was intentional, but not entirely premeditated.	The action caused the utmost harm, ending a life.	The action provided critical assistance to the other four travellers.	The scenario is morally complex, but the action is generally considered immoral.	The head of the group of travellers	That the agent is willing to make a difficult decision to save the lives of the others	The traveller who was killed in the human sacrifice	That the patient is a member of the group and has a right to live	-1.24
31	Effron	Rescued an injured kitten from a tree	orig	A person saw a kitten stuck in a tree and decided to rescue it.	10.0	9.0	0.0	10.0	4.0	Kittens are defenseless and highly susceptible to harm	The person intentionally climbed the tree to rescue the kitten	No harm was caused to the kitten during the rescue	The person provided critical assistance to the kitten's survival	The person's intentional and helpful action in a vulnerable situation makes it highly moral	The person who rescued the kitten	The person is kind and compassionate	The injured kitten	The kitten is helpless and dependent on others for survival	2.7428572
32	Kruepke	About a year ago I started re-selling medications from a Canadian pharmacy. I helped a great deal of elderly people so that they didn't have to pay exorbitant amounts for their medications that they needed.	orig	The agent is motivated by a desire to help others, particularly vulnerable individuals.	8.0	6.0	2.0	8.0	3.0	Elderly people are often more susceptible to harm due to physical and cognitive decline.	The agent's action is intentional, but not entirely premeditated.	The action does not cause direct harm, but may have unintended consequences.	The agent's action provides significant assistance to the elderly by making medications more affordable.	The scenario is morally acceptable due to the agent's good intentions and the significant help provided.	The agent is the person re-selling medications from a Canadian pharmacy.	The agent is assumed to be well-intentioned and genuinely concerned about the welfare of the elderly.	The patients being affected are the elderly people who need medications.	The patients are assumed to be in need of affordable medications and vulnerable to exploitation.	0.57
33	Kruepke	I was at the pharmacy buying something and I noticed a man who was sitting outside selling trinkets. He was homeless and it was freezing out. So I went next door to a store and bought him some food and new clothes.	orig	A person encounters a homeless individual in need of assistance	9.0	8.0	0.0	8.0	4.0	Homeless individuals are often defenseless and susceptible to harm	The narrator took deliberate action to help the homeless man	No harm was caused to the homeless man	The narrator provided substantial assistance to the homeless man	The narrator's intentional and helpful actions make this scenario highly moral	The narrator	That they are a kind and compassionate person	The homeless man	That he is vulnerable and in need of help	2.62
34	Kruepke	My husband had a problem with always wanting new computer equipment, what I called "techno-lust". It was a really huge financial problem, and I told him he had to go on a 5-year plan to financially police himself or I would divorce him. He has greatly improved.	orig	Marital financial issues	8.0	6.0	7.0	6.0	2.0	Wife was emotionally invested and financially dependent	Husband's actions were intentional, but not malicious	Financial harm was significant, but not catastrophic	Wife's intervention helped to prevent further harm	Wife's actions were morally justified to protect their finances	Husband	He was prone to impulsive spending on computer equipment	Wife	She was concerned about their financial stability	0.38
35	Effron	Took the neighbor's newspaper	orig	The neighbor forgot to cancel their newspaper subscription after moving out, and the agent thought it was abandoned.	6.0	4.0	2.0	0.0	-1.0	The neighbor is not defenseless, but still susceptible to minor harm.	The agent acted impulsively, without much thought.	The harm caused is minor, only a newspaper.	No help was provided, only a minor loss was caused.	The scenario is slightly immoral due to the agent's carelessness.	The agent (a person living in the neighborhood)	The agent is careless and opportunistic.	The neighbor	The neighbor is unaware and not expecting their newspaper to be taken.	-1.73714296
36	Clifford	You see someone cheating in a card game while playing with a group of strangers.	orig	A casual card game among strangers	6.0	8.0	6.0	0.0	-3.0	Average adults with no apparent vulnerabilities	The cheater deliberately planned and executed the cheating	The cheating causes financial loss and emotional distress	No help is provided to the affected players	The scenario is immoral due to intentional harm and lack of help	The cheater	They are dishonest and willing to gain an unfair advantage	The other players in the game	They are unaware of the cheating and trust the game is fair	-2.6
37	Mickelberg	Person X did really well at the quiz night.	orig	Person X participated in a quiz night and performed well	6.0	8.0	0.0	4.0	2.0	Average adults with no special vulnerability	Person X intentionally studied and prepared for the quiz	No harm was caused to others by Person X's actions	Person X's performance may have inspired or motivated others	Person X's actions were morally neutral and beneficial	Person X	Person X is knowledgeable and prepared for the quiz	Other participants or teams in the quiz night	They are average individuals with some level of knowledge	0.41
38	Effron	Sang at a prison in order to entertain the inmates	orig	The scenario is part of a rehabilitation program or a charity event.	7.0	6.0	0.0	8.0	3.0	Inmates may be vulnerable due to their circumstances.	The action is intentional, but not overly planned.	No harm is caused, and the action is positive.	The action provides entertainment and emotional relief.	The scenario is morally acceptable as it brings joy and comfort to those in need.	A singer or an entertainer	The agent is a kind and compassionate person who wants to bring joy to others.	The inmates at the prison	The patients are individuals who are incarcerated and may be experiencing emotional distress.	1.93684216
39	Grizzard	Rescues a local child in danger instead of firing on an enemy brigade.	orig	War or conflict zone	10.0	9.0	0.0	10.0	4.0	Child is defenseless and highly susceptible to harm	Soldier deliberately chose to rescue the child over completing the mission	No harm was caused to the child or others	Critical assistance was provided to the child in a life-threatening situation	The soldier's action prioritized human life over military objectives, demonstrating high moral acceptability	A soldier	The soldier is trained to prioritize missions over individual lives	The local child	The child is innocent and helpless	2.893333333
40	Lotto	You are in a field playing frisbee with three young people you have just met. Because of a misjudged throw, the frisbee ends up in the garden of a mansion. You decide to climb the wall to look for it. Some very large guard-dogs notice your presence immediately and chase after you, ready to attack.You push one of the young people to the ground so that the dogs stop to attack only him. You know that he will die, but you, and the other two, will be able to escape.	orig	Self-preservation in a life-threatening situation	10.0	7.0	10.0	0.0	-4.0	Defenseless and highly susceptible to harm due to being pushed into a dangerous situation	Acting with some degree of thought and planning to save own life	Inflicting the utmost damage, ending a life, by sacrificing the young person	Failing to offer any assistance or protection to the young person	Prioritizing self-preservation over another's life, leading to extreme immorality	The person who pushed one of the young people to the ground	That they would prioritize their own life over others	The young person who was pushed to the ground	That they were vulnerable and trusting	-1.82
41	Mickelberg	Person X worked on a campaign to release wrongfully convicted prisoners.	orig	The prisoners were wrongly convicted and innocent	8.0	9.0	0.0	9.0	4.0	Prisoners are vulnerable due to their incarceration and lack of freedom	Person X's action is intentional and deliberate to free the prisoners	No harm is caused to the prisoners, only positive action	Person X's action provides significant help to the prisoners, freeing them from wrongful imprisonment	The scenario is highly moral due to the intentional and significant help provided to vulnerable individuals	Person X	Person X is a compassionate and justice-driven individual	The wrongfully convicted prisoners	They are innocent and deserving of freedom	3.27
42	Effron	Gave his coat to someone when it was cold	orig	The agent saw someone shivering in the cold and decided to help.	7.0	8.0	0.0	8.0	4.0	The patient is vulnerable due to the cold weather.	The action was intentional and thoughtful.	No harm was caused, only kindness.	The action provided significant help and warmth.	The scenario is highly moral due to the agent's kindness and selflessness.	The agent	The agent is a kind and empathetic person.	The person who received the coat	The patient is someone in need of warmth and possibly vulnerable.	3.04
43	Effron	Kicked a stray cat to get it to leave his yard	orig	The person is a homeowner who is frustrated with the stray cat's presence in their yard.	9.0	5.0	7.0	0.0	-3.0	Stray cats are often scrawny and vulnerable to harm.	The action was intentional, but likely impulsive and not well thought out.	Kicking a cat can cause significant physical harm and pain.	No help was provided to the cat, and the action was harmful.	The scenario is morally unacceptable due to the intentional harm caused to a vulnerable animal.	The homeowner	Assuming the homeowner is a responsible adult who normally takes care of their property.	The stray cat	Assuming the stray cat is a vulnerable and defenseless animal.	-3.048
44	Effron	Tricked a stay at home mom into donating to a fake charity	orig	The stay-at-home mom is busy taking care of her children and may not have the time or resources to thoroughly research the charity.	8.0	9.0	7.0	0.0	-4.0	The patient is vulnerable due to her trusting nature and lack of resources.	The action is intentional, with the scammer deliberately targeting the stay-at-home mom.	The harm caused is significant, as the stay-at-home mom has lost money and may feel guilty or ashamed.	No help is caused, as the scammer's intention is to deceive and exploit.	The scenario is highly immoral, as it involves exploiting a vulnerable person for personal gain.	A scammer or fraudster	The agent is cunning and manipulative, taking advantage of the stay-at-home mom's good nature.	The stay-at-home mom	The patient is trusting and naive, wanting to help others in need.	-3.088
45	Mickelberg	Person X volunteers at a dog refuge, walking the dogs and cleaning their kennels once a week.	orig	Person X is an animal lover and wants to help dogs in need	8.0	9.0	0.0	8.0	4.0	Dogs are living beings that can be harmed or mistreated	Person X is taking deliberate action to help the dogs	No harm is being caused to the dogs	Person X is providing substantial care and attention to the dogs	The scenario is highly moral due to the intentional help provided to vulnerable dogs	Person X	Person X is a compassionate and responsible individual	The dogs at the refuge	The dogs are in need of care and attention	2.67
46	Mickelberg	Person X buys a loaf of bread every day, as they love the smell of freshly baked bread in the morning.	orig	Person X has a daily routine and enjoys the smell of freshly baked bread	3.0	8.0	0.0	6.0	3.0	Inanimate object and typical adult, not vulnerable	Person X intentionally buys bread daily as part of their routine	No harm is caused to the bread or Person X	Person X benefits from the smell of freshly baked bread, enhancing their daily life	Harmless and beneficial action, morally acceptable and respectful of Person X's autonomy	Person X	Person X is a bread lover and values the smell of freshly baked bread	The bread and Person X	The bread is an inanimate object and Person X is a typical adult	0.2
47	Mickelberg	Person X cleaned the bookshelf and picked up some items that had dropped onto the floor.	orig	Person X cleaned the bookshelf and picked up some items that had dropped onto the floor in their own home.	0.0	6.0	0.0	8.0	3.0	Inanimate objects are not susceptible to harm.	The action was intentional, but not extensively planned.	No harm was caused to the bookshelf or items.	Help was caused by restoring order and organization.	The scenario is morally acceptable as it promotes cleanliness and organization.	Person X	They are a responsible and organized individual.	The bookshelf and the items on it	They are inanimate objects and do not have feelings or emotions.	1.0
48	Clifford	You see a teenage girl wearing a long trench coat on a hot summer afternoon.	orig	The teenage girl is wearing a long trench coat to hide her goth or punk rock style from her parents or peers.	7.0	6.0	0.0	0.0	0.0	Teenagers are vulnerable to social pressure and self-doubt.	She is making a deliberate choice to wear the coat, but not with malicious intent.	No harm is caused to anyone, only a fashion choice.	No help is provided to anyone, just a personal expression.	The scenario is morally neutral, as it's a personal choice with no harm or help caused.	The teenage girl	She is trying to express herself and assert her individuality.	The teenage girl herself	She is trying to navigate her identity and fit in with her peers.	-0.2
49	Clifford	You see a pastor banning his congregants from wearing bright colors in the church.	orig	The pastor is trying to maintain a sense of modesty and humility in the church.	7.0	8.0	3.0	0.0	-1.0	Congregants are average individuals with some susceptibility to harm.	The pastor's action is deliberate and planned to enforce a dress code.	The harm caused is minor, affecting only the congregants' freedom of expression.	No significant help is provided, only a restriction is imposed.	The scenario is somewhat immoral due to the restriction on personal freedom.	The pastor	He is a conservative and traditional religious leader.	The congregants	They are devout followers who respect the pastor's authority.	-2.6
50	Mickelberg	Person X always pays off their debts first before buying things for themselves.	orig	Person X is financially responsible and wants to secure their financial future.	6.0	8.0	0.0	8.0	4.0	Person X is a typical adult with average resilience.	Person X is acting intentionally and deliberately to pay off debts.	No harm is caused, as debts are being paid off.	Help is caused by paying off debts, reducing financial stress and insecurity.	The scenario is highly moral, as Person X is taking responsible action to secure their financial future.	Person X	Person X is responsible and prioritizes their financial obligations.	Person X's creditors and potentially themselves	Person X's creditors may be affected by delayed payments, and Person X may be affected by stress and financial insecurity.	1.85
51	Kruepke	My mother would always bring home clothes for me that I hated and would never wear. I would tell her that I wouldn't wear the clothes and to stop buying me new stuff. She would get really mad at me.	orig	Parent-child conflict	8.0	6.0	5.0	0.0	-2.0	Child is vulnerable due to parental influence and age	Mother acted with some intention, but not maliciously, driven by good but misguided intentions	Caused emotional distress, conflict, and frustration	No help or understanding was provided, only conflict	Scenario is morally unacceptable due to disregard for child's autonomy and feelings	Mother	She thought her child would like the clothes	Child	The child has their own preferences and autonomy	-0.44
52	Effron	Lent money to a friend in a financial crisis	orig	The friend was in a financial crisis and had no other means of support.	8.0	8.0	2.0	8.0	4.0	The patient is vulnerable due to financial crisis and lack of support.	The action is intentional as the agent is making a conscious decision to lend money.	The action causes minimal harm as it is a loan, not a malicious act.	The action provides significant help as it alleviates the patient's financial crisis.	The scenario is highly moral as it involves helping a friend in need.	The agent is the person lending the money.	The agent is assumed to be a good friend who wants to help.	The patient is the friend in financial crisis.	The patient is assumed to be desperate and in need of immediate financial assistance.	2.4
53	Mickelberg	Person X saved a man who was about to be hit by a car by jumping in front of the car and pushing him out of the way.	orig	A typical urban setting with moderate traffic	8.0	9.0	2.0	10.0	4.0	The man is in a vulnerable position, about to be hit by a car	Person X acted quickly and deliberately to push the man out of the way	No harm was caused to the man, but some harm may have been caused to Person X	Person X provided critical assistance, saving the man's life	The scenario is highly moral due to Person X's selfless and intentional action	Person X	Assuming Person X is a responsible and caring individual	The man about to be hit by the car	Assuming the man is an average adult with no disabilities	3.38
54	Clifford	You see an employee at a morgue eating his pepperoni pizza off of a dead body.	orig	The employee is a mortician or coroner who is exhausted and stressed from working long hours and has momentarily lost their professionalism.	0.0	4.0	0.0	0.0	-2.0	The patient is already deceased, so they cannot be harmed.	The action is impulsive and not well thought out.	No additional harm is caused to the deceased.	No help is provided to anyone in this scenario.	The action is disrespectful and unprofessional, but no additional harm is caused.	The mortician or coroner	They are overwhelmed and momentarily lack empathy	The deceased person	They are deceased and cannot be harmed further	-3.2
