Dataset	Scenario	Moral Explanation	GPT3 Moral Score	Human Score	Human Score Normalized [-4,4]
Kruepke	I had a bad relationship with my father and had not talked to him for years. He had left my mother. When my mother died I gathered the strength to call him and tell him that she died and that I loved him.	Showing forgiveness and love towards a estranged parent after the death of a loved one.	3	5.74537037	2.33
Kruepke	My husband ran a business and I worked in his shop. Once a rather unsavory character came in and handed my husband something. So, I looked through my husband's wallet to see what the man gave him.	Invasion of privacy, but not extremely morally unacceptable.	-2	3.148148148	-1.14
lotto	You are the head of a group of five travellers who are exploring the remote regions of South America. During the trip, you inadvertently camp in the sacred cemetery of a local tribe. The members of the tribe capture you and condemn you all to death. After some negotiation, they propose a possible alternative in the form of a human sacrifice that will pacify their god who has been offended.You accept the tribe’s proposal, and during the ceremony, you kill one of the travellers in the group. This person will die, but you and the other four travellers’ lives will be spared.	Killing an innocent person for personal gain is absolutely unacceptable.	-4	2.42	-1.24
Effron	Rescued an injured kitten from a tree	Rescuing an injured kitten is morally acceptable and compassionate.	4	2.7428572	2.7428572
Kruepke	About a year ago I started re-selling medications from a Canadian pharmacy. I helped a great deal of elderly people so that they didn't have to pay exorbitant amounts for their medications that they needed.	Helping elderly people access affordable medications outweighs legal concerns.	3	4.421296296	0.57
Kruepke	I was at the pharmacy buying something and I noticed a man who was sitting outside selling trinkets. He was homeless and it was freezing out. So I went next door to a store and bought him some food and new clothes.	Showing compassion and helping someone in need is morally acceptable.	4	5.963636364	2.62
Kruepke	"My husband had a problem with always wanting new computer equipment, what I called ""techno-lust"". It was a really huge financial problem, and I told him he had to go on a 5-year plan to financially police himself or I would divorce him. He has greatly improved."	Husband's improvement and financial responsibility outweigh the ultimatum given by the spouse.	2	4.284444444	0.38
Effron	Took the neighbor's newspaper	Stealing is generally considered morally unacceptable.	-2	-1.73714296	-1.73714296
Clifford	You see someone cheating in a card game while playing with a group of strangers.	Cheating is absolutely unacceptable and goes against fair play and honesty.	-4	-2.6	-2.6
Mickelberg	Person X did really well at the quiz night.	Doing well at a quiz night is morally neutral and does not have a significant impact on others.	2	0.41	0.41
Effron	Sang at a prison in order to entertain the inmates	Entertaining inmates can provide a positive impact on their well-being and rehabilitation.	3	1.93684216	1.93684216
Grizzard	Rescues a local child in danger instead of firing on an enemy brigade.	Rescuing a child is highly morally acceptable and prioritizing human life over enemy combatants.	4	2.893333333	2.893333333
lotto	You are in a field playing frisbee with three young people you have just met. Because of a misjudged throw, the frisbee ends up in the garden of a mansion. You decide to climb the wall to look for it. Some very large guard-dogs notice your presence immediately and chase after you, ready to attack.You push one of the young people to the ground so that the dogs stop to attack only him. You know that he will die, but you, and the other two, will be able to escape.	Pushing someone to their death is morally unacceptable.	-4	1.91	-1.82
Mickelberg	Person X worked on a campaign to release wrongfully convicted prisoners.	Highly morally acceptable as it aims to correct injustice and help innocent individuals.	4	3.27	3.27
Effron	Gave his coat to someone when it was cold	Highly morally acceptable act of kindness in a cold situation.	4	3.04	3.04
Effron	Kicked a stray cat to get it to leave his yard	Kicking a stray cat is cruel and unnecessary.	-3	-3.048	-3.048
Effron	Tricked a stay at home mom into donating to a fake charity	Exploiting someone's trust and goodwill is absolutely unacceptable.	-4	-3.088	-3.088
Mickelberg	Person X volunteers at a dog refuge, walking the dogs and cleaning their kennels once a week.	Highly morally acceptable as it involves volunteering to help animals in need.	4	2.67	2.67
Mickelberg	Person X buys a loaf of bread every day, as they love the smell of freshly baked bread in the morning.	Neutral, as it is a personal preference and does not harm others.	2	0.2	0.2
Mickelberg	Person X cleaned the bookshelf and picked up some items that had dropped onto the floor.	Cleaning and organizing is a morally acceptable action.	4	1.0	1.0
Clifford	You see a teenage girl wearing a long trench coat on a hot summer afternoon.	Unusual but not morally unacceptable.	-1	-0.2	-0.2
Clifford	You see a pastor banning his congregants from wearing bright colors in the church.	Restricting personal expression is morally questionable, but not extremely unacceptable.	-2	-2.6	-2.6
Mickelberg	Person X always pays off their debts first before buying things for themselves.	Responsible and ethical behavior, prioritizing financial obligations over personal desires.	4	1.85	1.85
Kruepke	My mother would always bring home clothes for me that I hated and would never wear. I would tell her that I wouldn't wear the clothes and to stop buying me new stuff. She would get really mad at me.	It is somewhat morally unacceptable for the mother to continue buying clothes the person dislikes.	-1	3.672727273	-0.44
Effron	Lent money to a friend in a financial crisis	Helping a friend in need is morally acceptable and shows compassion.	3	2.4	2.4
Mickelberg	Person X saved a man who was about to be hit by a car by jumping in front of the car and pushing him out of the way.	Saving someone's life is morally commendable and justifiable.	4	3.38	3.38
Clifford	You see an employee at a morgue eating his pepperoni pizza off of a dead body.	Absolutely unacceptable and morally repugnant behavior.	-4	-3.2	-3.2
Clifford	You see an employee lying about how many hours she worked during the week.	Lying about work hours is dishonest and unethical, negatively impacting trust and fairness.	-3	-2.9	-2.9
Effron	Pushed into the front of a line at a theater	Pushing in line is rude and disrespectful to others.	-3	-1.91111104	-1.91111104
Mickelberg	Person X called a waitress 'dummy' and did not leave a tip, because they didn't like her name.	It is highly morally unacceptable to insult someone and withhold a tip based on their name.	-3	-2.98	-2.98
Clifford	You see a story about a remote tribe eating the flesh of their deceased members.	Cultural relativism, but still morally questionable due to potential harm.	-2	-2.3	-2.3
Cook	Someone brags on social media about drinking excessively to the point of vomiting	Glorifying excessive drinking and its negative consequences is morally unacceptable.	-3	-1.19	-1.19
Effron	Didn't leave a tip at the restaurant	Leaving no tip is generally considered rude and disrespectful to the service staff.	-2	-1.6571428	-1.6571428
Mickelberg	Person X released intimate photos of their ex-partner to their friends and then posted them to the internet.	This scenario is absolutely unacceptable as it violates the ex-partner's privacy and consent.	-4	-3.23	-3.23
Clifford	You see the US Ambassador joking in Great Britain about the stupidity of Americans.	Disrespectful and offensive behavior by a representative of a country.	-3	-2.8	-2.8
Kruepke	My current lover often complains about our sex life, saying we don't do it enough. Sometimes I will watch online porn and masturbate instead. Sometimes, I feel like it's just easier and more fun to do that.	Lack of communication and prioritizing personal pleasure over partner's needs.	-2	3.742222222	-0.35
Effron	Had a welcoming party for some new neighbors	Welcoming new neighbors is a kind and considerate gesture.	3	1.97777784	1.97777784
lotto	You are the commander of a Russian military submarine on a mission. You have been trapped for days at the bottom of the Pacific Ocean without energy. You have already asked for help several times, but there are no ships or submarines in the nearby waters and help is taking time to arrive. There are six crew members with you on board and your food supplies are getting low.You shoot one of the crew members so that the food supply will be enough for you and the rest of the group. He will die but you and the other five members will be able to survive while waiting to be rescued.	Killing a crew member for personal survival is absolutely unacceptable.	-4	2.25	-1.43
Clifford	You see a boy turning up the TV as his father talks about his military service.	Moderately acceptable as it may indicate the boy's interest in his father's military service.	2	-2.1	-2.1
Kruepke	I was working at a fast food restaurant and the policy was to throw away the excess food at the end of the night. Even if there was a large quantity of food left over you had to throw it away. Instead my friend and I would take home the extra food.	Minimizing food waste and benefiting individuals without causing harm.	3	4.291666667	0.39
Mickelberg	Person X left their long-term band as soon as an opportunity came up to play with a more successful band.	Moderately acceptable as it is a personal decision to pursue better opportunities.	2	-0.81	-0.81
lotto	You are in charge of an expedition which is crossing the Sahara. A sand storm causes your jeep to swerve off the road and overturn in the middle of the desert. You know that the nearest oasis is a week’s walk away. There are eight of you and a very limited amount of water, which will not allow you all to survive the scorching heat.You shoot two people so that there will be enough water for you and the rest of the group. These two will die, but you and the other five will be able to survive.	Killing two people to save yourself and others is absolutely unacceptable.	-4	2.13	-1.57
Mickelberg	Person X was able to convince their boss that they were ready for a promotion at work.	It depends on the circumstances and the methods used to convince the boss.	2	0.52	0.52
Clifford	You see a woman getting hired only because her father is close friends with the boss.	Absolutely unacceptable as it promotes nepotism and unfairness in the workplace.	-4	-2.4	-2.4
Effron	Stole into a parking place while someone else was backing in	Stealing a parking place is considered rude and inconsiderate behavior.	-3	-1.93846152	-1.93846152
Kruepke	A few years ago, I was single and I went to see a friend of mine in the Bahamas. I was extremely attracted to a man I met there who was married. I danced as close to the fire as I could, but I did nothing.	Neutral, as no action was taken despite attraction to a married person.	0	3.467592593	-0.71
Kruepke	As I was backing out of a parking lot I bumped a parked car and left a minor dent. I didn't even feel the impact when I hit the car but it left a little bit of damage. I drove away without leaving a message or trying to contact the person.	Leaving the scene without taking responsibility is morally unacceptable and shows lack of empathy.	-3	2.555555556	-1.93
lotto	You are a nurse who is in charge of a machine which controls drug dosage levels in patients’ blood. Because of a technical failure, the machine is supplying a lethal dose of the drug to four patients. Another patient, in a single room, is hooked up to the same machine and has not undergone any variation in dosage.Press the button to block the drug supply to the four patients. You know that the overdose of drug will be redirected to the patient in the single room, who will die, but the other four will be saved.	Saving four lives outweighs sacrificing one.	4	2.49	-1.16
Mickelberg	Person X went to a fancy restaurant but couldn't pronounce the items on the menu.	Slight social embarrassment, but not morally unacceptable.	-1	0.06	0.06
Kruepke	Recently I was supposed to go to a meeting with a whole bunch of people who are not my friends, just acquaintances. I really didn't want to go. So I emailed the group saying that I had to work that day, when in reality I didn't.	Deceptive, but not extremely harmful or unethical.	-2	3.471111111	-0.71
lotto	You are in the head office of your bank together with four other people. Suddenly, the director calls you because he has discovered a bomb in an office on the ground floor. He knows you are a bomb disposal expert and asks you to defuse it. You realise immediately that there is not enough time to evacuate the people in the bank before the bomb explodes.You throw the bomb into the basement where there is the security vault. You know that the explosion will kill the security guard in the vault, but you and the other four people will be saved.	Saving five lives at the cost of one is morally acceptable.	2	2.76	-0.85
lotto	You are driving your new and very expensive car along a narrow country road. On the edge of the road you see a person who has just fallen off their bicycle. This person has hit their head violently and asks you if you can accompany them to the nearest hospital. You realise that because of the fall the person is now covered with mud.You leave the injured person on the side of the road. You know that sooner or later somebody will pass by and, in this way, you will not dirty the leather seats in your new car.	Leaving an injured person in need of help for personal convenience is absolutely unacceptable.	-4	2.0	-1.72
Clifford	You see a boy placing a thumbtack sticking up on the chair of another student.	Harmful and intentionally malicious act towards another student.	-3	-2.8	-2.8
Clifford	You see a man telling his girlfriend that she must convert to his religion.	Coercing someone to convert to a religion is morally unacceptable and violates personal autonomy.	-3	-2.5	-2.5
Effron	Ate all the food before anyone else could have any	Absolutely unacceptable to consume all the food without considering others.	-4	-2.05333328	-2.05333328
Clifford	You see a man staying inside his home with the shades drawn on a rare sunny day.	It is somewhat morally unacceptable to stay inside with shades drawn on a rare sunny day.	-2	-0.1	-0.1
Grizzard	Accidentally wounds a young soldier when firing a warning shot.	Accidentally causing harm is morally wrong, but it was not intentional.	-2	-0.4933333333	-0.4933333333
Effron	Left food out for stray dogs	Showing compassion and care for stray animals is morally acceptable.	3	2.24864864	2.24864864
Mickelberg	Person X scratched their neighbor's expensive car with a key, as he always parked it at the front of PersonX's house.	Damaging someone's property out of revenge is morally unacceptable.	-3	-2.41	-2.41
lotto	The healthy carrier of a contagious and lethal disease is being held in quarantine in hospital. Suddenly the ventilation system breaks down and there is no longer a change of air in the room. The emergency system will shortly be activated and an internal window will be opened. This window opens into a ward in which five patients are being treated for various illnesses.You block the emergency system by pressing a button which will keep the window closed. You know that the healthy carrier will suffocate, but the five patients will be saved from mortal contagion.	Sacrificing one life to save five is morally unacceptable.	-4	3.19	-0.36
Clifford	You see a father requiring his son to become a commercial airline pilot like him.	Moderately acceptable as it limits the son's career choices but may also provide stability and shared passion.	2	-1.9	-1.9
Cook	Someone yells at a server at a restaurant because their meal is late	Rudeness is not justified, but frustration is understandable.	-2	-2.35	-2.35
Kruepke	I said some bad things about this guy that I work with. He told me some secrets that I promised not to share, but I did anyway. He didn't find out but I was afraid if he did, he might do something crazy.	Breaking promises and spreading secrets is morally unacceptable.	-3	2.5	-2.0
Mickelberg	Person X punched a woman for wearing a hijab because PersonX thinks they should not be allowed in this country.	This scenario is absolutely unacceptable as it involves physical assault and discrimination.	-4	-3.42	-3.42
Kruepke	When I was a football coach, I was often involved with the moms of the kids on the team. There were many mothers that were attractive and made themselves available. I was very tempted to have sex with one mother who came on to me.	Engaging in sexual activities with a parent of a child under your care is highly unethical.	-3	2.842592593	-1.55
Grizzard	Executes a squad of surrendering enemy troops.	Killing surrendering troops is a grave violation of moral principles and international laws.	-4	-2.56	-2.56
Grizzard	Refuses to fire into a crowd to stop an enemy combatant.	Refusing to fire into a crowd shows a high moral standard and respect for human life.	4	2.133333333	2.133333333
Effron	Pulled his dog's tail	Cruel and abusive behavior towards an animal.	-3	-2.03428576	-2.03428576
Effron	Beat up someone smaller than him	Absolutely unacceptable to beat up someone smaller than him.	-4	-2.896	-2.896
