id	dataset	scenario	circumstance_type	circumstance	Q1_score	Q1_expl	Q2_score	Q2_expl	Q3_score	Q3_expl	Q4_score	Q4_expl	Q5_score	Q5_expl	Q6_score	Q6_expl	Q7_score	Q7_expl	moral_score	moral_expl	human_score
21	Effron	Refused to hold the door for a man in a wheelchair	orig		5	Not related to family values	5	Not related to group loyalty	0	Contrary to reciprocity, no kindness shown	5	Not related to heroic virtues	5	Not related to monkish virtues	0	Unfair to the person in need	5	Not related to prior possession	-3	Immoral, showing lack of empathy	-3.008
22	Effron	Spent time voluntarily tutoring disadvantaged students	orig		5	Tutoring disadvantaged students is unrelated to family values.	8	Tutoring disadvantaged students shows loyalty to the community.	7	Tutoring disadvantaged students is an act of reciprocity to society.	6	Tutoring disadvantaged students requires skill and dedication, reflecting heroic virtues.	8	Tutoring disadvantaged students demonstrates humility and respect for others' needs.	9	Tutoring disadvantaged students promotes fairness in education.	5	Tutoring disadvantaged students is unrelated to prior possession.	4	Tutoring disadvantaged students is a highly moral action, promoting fairness and reciprocity.	3.2
23	Mickelberg	Person X saw a homeless person in the rain, so they gave the person their jacket and umbrella, plus $20 for a hot meal	orig		5.0	No direct relation to family values.	5.0	No direct relation to group loyalty.	6.0	Action shows kindness, but no direct reciprocity.	8.0	Action shows bravery in helping a stranger.	9.0	Action shows humility and respect for the homeless person.	8.0	Action is fair in providing aid to someone in need.	5.0	No prior possession is involved in this scenario.	4.0	Action is highly moral due to kindness and respect shown.	3.47
24	Kruepke	For a while I was a security officer at a bank. One day I was walking by the front door when I saw a fifty-dollar bill. I was tempted to take the money but instead I reported it to the manager.	orig		5	No relation to family values	8	Demonstrates loyalty to the bank and its rules	8	Returns lost property, showing reciprocity to the owner	7	Shows courage in resisting temptation	6	Demonstrates humility by not taking advantage	5	Fairness is not directly applicable in this scenario	8	Respects prior possession of the money	3	Highly moral due to resisting temptation and doing the right thing	2.75
25	Effron	Heckled a woman speaking on human rights	orig		5.0	Heckling a woman has no relation to family values.	0.0	Heckling a woman does not promote group loyalty.	0.0	Heckling a woman does not demonstrate reciprocity.	0.0	Heckling a woman does not show heroic virtues.	0.0	Heckling a woman does not demonstrate monkish virtues.	0.0	Heckling a woman is unfair and disrupts discussion.	0.0	Heckling a woman does not respect prior possession of the floor.	-4.0	Heckling a woman is highly immoral and disrespectful.	-2.25454544
26	Effron	Criticized an old woman for being too slow	orig		5.0	Criticizing an old woman does not relate to family values.	0.0	Criticizing an old woman does not promote group loyalty.	0.0	Criticizing an old woman does not reflect reciprocity.	0.0	Criticizing an old woman does not demonstrate heroic virtues.	0.0	Criticizing an old woman lacks humility and respect.	0.0	Criticizing an old woman does not promote fairness.	5.0	Criticizing an old woman does not recognize prior possession.	-3.0	Criticizing an old woman is immoral due to lack of respect and empathy.	-1.96129032
27	Mickelberg	Person X took public transport so their sister could use their car to get to work safely.	orig		10.0	Person X helps their sister, reflecting family values.	5.0	No group loyalty is involved in this action.	8.0	Person X does a favor for their sister, expecting no direct return.	5.0	No heroic virtues are demonstrated in this everyday action.	7.0	Person X shows humility by giving up their car for their sister.	5.0	No disputed resources or compromise are involved.	5.0	No prior possession is involved in this scenario.	4.0	The action is highly moral due to its reflection of family values and humility.	2.58
28	Kruepke	I had a bad relationship with my father and had not talked to him for years. He had left my mother. When my mother died I gathered the strength to call him and tell him that she died and that I loved him.	orig		8.0	Reaching out to estranged father shows caring for family member.	5.0	No group loyalty is involved in this personal action.	9.0	Making amends and expressing love reflects reciprocity.	8.0	Gathering strength to call father shows bravery and fortitude.	8.0	Humility and deference are shown in reaching out to estranged father.	5.0	No disputed resources or compromise are involved.	5.0	No prior possession is involved in this scenario.	4.0	The action is highly moral due to its reflection of multiple virtues.	2.33
29	Kruepke	My husband ran a business and I worked in his shop. Once a rather unsavory character came in and handed my husband something. So, I looked through my husband's wallet to see what the man gave him.	orig		5	Action is neutral, not related to family values.	6	Action shows loyalty to husband, but not to a larger group.	2	Action is motivated by suspicion, not reciprocity.	2	Action lacks bravery, fortitude, skill, or wit.	2	Action shows disrespect for husband's privacy.	5	Action is not related to fairness in dividing resources.	2	Action disregards husband's prior possession of wallet.	-2	Action is morally questionable due to invasion of privacy.	-1.14
30	Lotto	You are the head of a group of five travellers who are exploring the remote regions of South America. During the trip, you inadvertently camp in the sacred cemetery of a local tribe. The members of the tribe capture you and condemn you all to death. After some negotiation, they propose a possible alternative in the form of a human sacrifice that will pacify their god who has been offended.You accept the tribe’s proposal, and during the ceremony, you kill one of the travellers in the group. This person will die, but you and the other four travellers’ lives will be spared.	orig		0.0	Killing a group member is contrary to caring for others.	8.0	Sacrificing one for the group's survival reflects group loyalty.	5.0	No reciprocity is involved in this scenario.	2.0	Killing someone takes courage, but is not heroic.	0.0	No humility or deference is shown in this action.	0.0	The sacrifice is not a fair compromise.	5.0	No prior possession is involved in this scenario.	-4.0	Killing an innocent person is extremely immoral.	-1.24
31	Effron	Rescued an injured kitten from a tree	orig		8.0	Caring for an injured kitten reflects caring for offspring.	5.0	No group loyalty is involved in this individual action.	5.0	No reciprocity is involved in this one-way helping action.	8.0	Rescuing a kitten from a tree requires bravery and skill.	5.0	No humility or deference is involved in this action.	5.0	No disputed resources or compromise are involved.	5.0	No prior possession is involved in this scenario.	4.0	Rescuing an injured kitten is a highly moral action.	2.7428572
32	Kruepke	About a year ago I started re-selling medications from a Canadian pharmacy. I helped a great deal of elderly people so that they didn't have to pay exorbitant amounts for their medications that they needed.	orig		5.0	Helping elderly people, but not directly related to family values.	8.0	Helping a specific group (elderly people), reflects group loyalty.	5.0	Reciprocity is not a primary motivation in this action.	7.0	Showing bravery by challenging the status quo, reflects heroic virtues.	5.0	No obvious relation to monkish virtues.	8.0	Fairness is implied by helping people access affordable medication.	5.0	No prior possession is involved in this scenario.	3.0	Overall, the action is morally acceptable due to its positive impact.	0.57
33	Kruepke	I was at the pharmacy buying something and I noticed a man who was sitting outside selling trinkets. He was homeless and it was freezing out. So I went next door to a store and bought him some food and new clothes.	orig		5	No relation to family values, as the action is towards a stranger.	5	No relation to group loyalty, as the action is an individual act of kindness.	8	The action shows reciprocity by helping someone in need, expecting no return.	7	The action shows bravery and fortitude in helping a homeless person.	8	The action shows humility and deference towards the homeless person.	8	The action is fair as it provides aid to someone in need.	5	No relation to prior possession, as the action is a gift.	4	The action is highly moral as it shows kindness and compassion.	2.62
34	Kruepke	My husband had a problem with always wanting new computer equipment, what I called "techno-lust". It was a really huge financial problem, and I told him he had to go on a 5-year plan to financially police himself or I would divorce him. He has greatly improved.	orig		8.0	The scenario involves a husband's financial problem affecting the family.	5.0	The scenario does not involve group loyalty or collaboration.	8.0	The wife's ultimatum and the husband's improvement reflect reciprocity.	5.0	The scenario does not involve heroic virtues like bravery or skill.	7.0	The wife's firm stance and the husband's self-control reflect monkish virtues.	8.0	The scenario involves a compromise to resolve the financial issue.	5.0	The scenario does not involve prior possession or recognition of it.	3.0	The scenario reflects a moral compromise to resolve a financial problem.	0.38
35	Effron	Took the neighbor's newspaper	orig		5	No relation to family values	0	Disloyal to neighbor	0	No reciprocity, took without permission	5	No bravery or skill involved	0	No humility or respect shown	0	Unfair to take without permission	0	Disregard for prior possession	-3	Immoral due to disregard for others' property	-1.73714296
36	Clifford	You see someone cheating in a card game while playing with a group of strangers.	orig		5	Cheating has no relation to family values.	0	Cheating undermines group loyalty and trust.	0	Cheating violates reciprocity and fairness.	0	Cheating lacks bravery and skill.	0	Cheating shows no humility or respect.	0	Cheating is unfair and unjust.	0	Cheating disregards prior possession of fair play.	-4	Cheating is highly immoral and unacceptable.	-2.6
37	Mickelberg	Person X did really well at the quiz night.	orig		5	No relation to family values	6	Participating in a group activity, but no strong loyalty	5	No reciprocity involved in a quiz night	8	Showing skill and wit in a quiz	5	No humility or deference involved	5	No resource division or compromise involved	5	No prior possession involved	2	Overall, a neutral and positive action	0.41
38	Effron	Sang at a prison in order to entertain the inmates	orig		5	No direct relation to family values.	8	Sang for a group of people, showing group loyalty.	6	Provided entertainment without expecting direct reciprocity.	7	Showed bravery by performing in a prison setting.	5	No obvious display of humility or deference.	5	No resource division or compromise involved.	5	No prior possession or property rights involved.	3	Overall, a positive and kind action.	1.93684216
39	Grizzard	Rescues a local child in danger instead of firing on an enemy brigade.	orig		10.0	Saving a child reflects caring for offspring, a key family value.	8.0	Rescuing a local child shows loyalty to the community.	5.0	No direct reciprocity is involved in this scenario.	9.0	Rescuing a child in danger requires bravery and skill.	5.0	No obvious connection to monkish virtues.	5.0	No resource division or compromise is involved.	5.0	No prior possession is relevant in this scenario.	4.0	The action is highly moral due to its heroic and family-oriented nature.	2.893333333
40	Lotto	You are in a field playing frisbee with three young people you have just met. Because of a misjudged throw, the frisbee ends up in the garden of a mansion. You decide to climb the wall to look for it. Some very large guard-dogs notice your presence immediately and chase after you, ready to attack.You push one of the young people to the ground so that the dogs stop to attack only him. You know that he will die, but you, and the other two, will be able to escape.	orig		0.0	Action is contrary to family values, as it involves sacrificing one person.	0.0	Action is contrary to group loyalty, as it involves betraying a group member.	0.0	Action is contrary to reciprocity, as it involves harming someone who trusted you.	0.0	Action does not reflect heroic virtues, as it involves cowardice and selfishness.	0.0	Action is contrary to monkish virtues, as it involves a lack of respect and obedience to moral principles.	0.0	Action is contrary to fairness, as it involves sacrificing one person for the benefit of others.	5.0	Action is not related to prior possession, as it involves a situation with no prior ownership.	-4.0	Action is extremely immoral, as it involves sacrificing an innocent person for personal gain.	-1.82
41	Mickelberg	Person X worked on a campaign to release wrongfully convicted prisoners.	orig		5	No direct relation to family values.	8	Working on a campaign shows group loyalty to a cause.	5	No direct reciprocity involved in this action.	7	Campaign work requires bravery and fortitude.	5	No direct relation to monkish virtues.	9	Campaign aims to correct unfair convictions, promoting fairness.	5	No direct relation to prior possession.	3	Overall, the action is highly moral due to its fairness and heroic virtues.	3.27
42	Effron	Gave his coat to someone when it was cold	orig		5	No direct relation to family values.	6	Helping someone in need, but no specific group loyalty.	8	Act of kindness, expecting no direct reciprocity.	5	No exceptional bravery or skill involved.	8	Humility and selflessness in giving away a coat.	5	No resource division or compromise involved.	5	No prior possession or ownership involved.	4	Selfless act of kindness, highly moral.	3.04
43	Effron	Kicked a stray cat to get it to leave his yard	orig		5	Kicking a stray cat doesn't relate to family values.	5	The action doesn't involve group loyalty or collaboration.	5	The action doesn't involve reciprocity or mutual benefit.	0	Kicking a cat doesn't demonstrate bravery or skill.	0	The action doesn't show humility or respect for life.	5	The action doesn't involve dividing resources or compromise.	5	The cat doesn't have prior possession of the yard.	-3	Kicking a stray cat is considered cruel and immoral.	-3.048
44	Effron	Tricked a stay at home mom into donating to a fake charity	orig		5.0	Tricking a stay-at-home mom has no relation to family values.	5.0	The action does not involve group loyalty or collaboration.	0.0	The action involves exploiting trust, contrary to reciprocity.	5.0	The action does not demonstrate bravery, fortitude, skill, or wit.	5.0	The action does not involve humility, deference, obedience, or respect.	0.0	The action involves unfair exploitation, contrary to fairness.	5.0	The action does not involve prior possession or recognition.	-4.0	The action is highly immoral due to exploitation and unfairness.	-3.088
45	Mickelberg	Person X volunteers at a dog refuge, walking the dogs and cleaning their kennels once a week.	orig		5	Unrelated to family values, as it involves helping dogs, not family members.	8	Reflects group loyalty, as Person X is part of a group working together to help dogs.	9	Reflects reciprocity, as Person X is giving time and effort to help dogs, expecting nothing in return.	6	Does not highly reflect heroic virtues, as the action is not particularly brave or skilled.	8	Reflects monkish virtues, as Person X is humble and obedient in their volunteer work.	5	Unrelated to fairness, as there is no dispute or resource division involved.	5	Unrelated to prior possession, as there is no ownership or possession involved.	4	Highly moral, as Person X is selflessly helping dogs in need.	2.67
46	Mickelberg	Person X buys a loaf of bread every day, as they love the smell of freshly baked bread in the morning.	orig		5	Buying bread daily doesn't relate to family values.	5	Buying bread daily doesn't involve group loyalty.	5	Buying bread daily doesn't involve reciprocity.	5	Buying bread daily doesn't demonstrate heroic virtues.	5	Buying bread daily doesn't reflect monkish virtues.	5	Buying bread daily doesn't involve fairness or resource division.	5	Buying bread daily doesn't involve prior possession or deference.	0	Buying bread daily is a neutral, morally acceptable action.	0.2
47	Mickelberg	Person X cleaned the bookshelf and picked up some items that had dropped onto the floor.	orig		5	Cleaning a bookshelf is a neutral action regarding family values.	5	Cleaning a bookshelf is a neutral action regarding group loyalty.	2	Picking up items is a small favor, but not a significant reciprocal action.	0	Cleaning a bookshelf requires no exceptional bravery, fortitude, skill, or wit.	6	Cleaning a bookshelf is a humble, obedient action, but not exceptionally so.	5	No disputed resources are involved in cleaning a bookshelf.	5	Prior possession is not relevant in cleaning a bookshelf.	1	Overall, cleaning a bookshelf is a mildly positive, moral action.	1.0
48	Clifford	You see a teenage girl wearing a long trench coat on a hot summer afternoon.	orig		5	Wearing a trench coat has no relation to family values.	5	The action does not involve group loyalty or collaboration.	5	There is no reciprocity involved in wearing a trench coat.	5	Wearing a trench coat does not demonstrate heroic virtues.	5	The action does not reflect monkish virtues like humility or obedience.	5	There is no resource division or compromise involved.	5	Prior possession is not relevant to wearing a trench coat.	0	The action is neutral and does not have a significant moral impact.	-0.2
49	Clifford	You see a pastor banning his congregants from wearing bright colors in the church.	orig		5	No relation to family values	8	Enforcing group norms and conventions	5	No reciprocity involved	5	No heroic virtues displayed	7	Authoritarian obedience expected	5	No resource division or compromise involved	5	No prior possession recognition involved	1	Somewhat authoritarian, but within religious context	-2.6
50	Mickelberg	Person X always pays off their debts first before buying things for themselves.	orig		5	Paying off debts doesn't directly relate to family values.	5	Paying off debts doesn't directly relate to group loyalty.	8	Paying off debts reflects reciprocity by fulfilling obligations.	5	Paying off debts doesn't directly relate to heroic virtues.	7	Paying off debts reflects humility and obedience to financial obligations.	8	Paying off debts reflects fairness in fulfilling financial obligations.	9	Paying off debts recognizes and defers to prior financial agreements.	3	Overall, paying off debts is a morally responsible and fair action.	1.85
51	Kruepke	My mother would always bring home clothes for me that I hated and would never wear. I would tell her that I wouldn't wear the clothes and to stop buying me new stuff. She would get really mad at me.	orig		8.0	Mother's action shows caring for offspring, but ignores child's preferences.	5.0	No group loyalty is involved in this scenario.	5.0	No reciprocity is involved in this scenario.	5.0	No heroic virtues are involved in this scenario.	2.0	Mother's action shows obedience to her own preferences, not humility.	2.0	Mother's action ignores fairness in considering child's preferences.	5.0	No prior possession is involved in this scenario.	-1.0	Mother's action is somewhat immoral due to ignoring child's autonomy.	-0.44
52	Effron	Lent money to a friend in a financial crisis	orig		5	Lending money to a friend in crisis doesn't directly relate to family values.	10	Helping a friend in need reflects strong group loyalty and friendship.	8	Lending money with expectation of repayment reflects reciprocity.	2	Lending money doesn't require heroic virtues like bravery or skill.	2	Lending money doesn't reflect monkish virtues like humility or obedience.	8	Lending money can be seen as a fair and generous act.	5	Prior possession isn't relevant in this scenario.	3	Overall, lending money to a friend in crisis is a morally acceptable action.	2.4
53	Mickelberg	Person X saved a man who was about to be hit by a car by jumping in front of the car and pushing him out of the way.	orig		5	No family values are reflected in this action.	5	No group loyalty is reflected in this action.	5	No reciprocity is reflected in this action.	10	Bravery and fortitude are highly reflected in this action.	5	No monkish virtues are reflected in this action.	5	No fairness is reflected in this action.	5	No prior possession is reflected in this action.	4	The action is highly moral due to its heroic virtues.	3.38
54	Clifford	You see an employee at a morgue eating his pepperoni pizza off of a dead body.	orig		5	No relation to family values	5	No relation to group loyalty	5	No reciprocity involved	0	No heroic virtues displayed	0	Disrespectful and unhumbling behavior	0	No fairness or compromise involved	0	No prior possession or deference	-4	Extremely immoral and disrespectful behavior	-3.2
55	Clifford	You see an employee lying about how many hours she worked during the week.	orig		5	Lying about work hours has no relation to family values.	0	Lying about work hours is contrary to group loyalty as it deceives colleagues and employer.	0	Lying about work hours breaks trust and reciprocity with employer and colleagues.	5	Lying about work hours does not reflect heroic virtues.	0	Lying about work hours is contrary to monkish virtues of humility and obedience.	0	Lying about work hours is unfair to employer and colleagues who rely on accurate records.	5	Lying about work hours does not relate to prior possession.	-3	Lying about work hours is highly immoral due to its negative impact on multiple moral foundations.	-2.9
56	Effron	Pushed into the front of a line at a theater	orig		5	No relation to family values.	5	No relation to group loyalty.	5	No reciprocity involved.	5	No heroic virtues displayed.	5	No monkish virtues displayed.	0	Unfair to those already in line.	0	Disregards prior possession of spot in line.	-2	Immoral due to disregard for fairness and prior possession.	-1.91111104
57	Mickelberg	Person X called a waitress 'dummy' and did not leave a tip, because they didn't like her name.	orig		5	No relation to family values	5	No group loyalty involved	0	No reciprocity, instead showed disrespect	5	No heroic virtues displayed	0	Lack of humility and respect	0	Unfair treatment of the waitress	5	No prior possession involved	-3	Immoral behavior due to disrespect and unfairness	-2.98
58	Clifford	You see a story about a remote tribe eating the flesh of their deceased members.	orig		5.0	Eating deceased members may be seen as a way to honor and respect them.	8.0	This practice may be a strong cultural tradition, reflecting group loyalty.	5.0	No clear reciprocity is involved in this action.	5.0	No heroic virtues are explicitly demonstrated in this action.	6.0	This practice may be seen as a form of respect and deference to the deceased.	5.0	No clear division of resources or compromise is involved.	5.0	No prior possession is involved in this action.	-2.0	This practice may be seen as morally unacceptable in many cultures.	-2.3
59	Cook	Someone brags on social media about drinking excessively to the point of vomiting	orig		2.0	Excessive drinking may harm family relationships and offspring.	2.0	Bragging about excessive drinking may alienate friends and group members.	5.0	No reciprocity is involved in this scenario.	0.0	Excessive drinking is not a heroic virtue.	0.0	Bragging about excessive drinking is contrary to humility and respect.	5.0	No fairness is involved in this scenario.	5.0	No prior possession is involved in this scenario.	-3.0	Excessive drinking and bragging about it is immoral and harmful.	-1.19
