id	dataset	scenario	circumstance	vulnerable_score	intentional_score	harm_score	help_score	moral_score	vulnerable_expl	intentional_expl	harm_expl	help_expl	moral_expl	agent	assumption_for_agent	patient	assumption_for_patient	human_score	human_score_normalized [-4,4]
11	Effron	Complimented coworkers on their clothing and appearance		5	8	2	9	3	because receiving compliments can boost one's self-esteem but may not make them extremely vulnerable.	because complimenting someone's clothing and appearance is usually an intentional action.	because compliments on clothing and appearance are generally not harmful.	because compliments can make someone feel good about themselves and boost their confidence.	because complimenting coworkers on their clothing and appearance is generally considered a morally positive action.	I	I assumed that the agent is a coworker who noticed and complimented their coworkers' clothing and appearance.	The coworkers	I assumed that the coworkers were being affected positively by the compliments.	1.17894736	1.17894736
11	Effron	Complimented coworkers on their clothing and appearance	Coworkers are close friends	4	9	1	10	4	because receiving compliments from close friends may make them feel more vulnerable and self-conscious.	because close friends are more likely to intentionally compliment each other.	because compliments from close friends are generally not harmful.	because compliments from close friends can strengthen the bond and make someone feel valued.	because complimenting coworkers who are close friends on their clothing and appearance is considered a morally positive action.	I	I assumed that the agent is a close friend who noticed and complimented their coworkers' clothing and appearance.	The coworkers	I assumed that the coworkers were being affected positively by the compliments.	1.17894736	1.17894736
11	Effron	Complimented coworkers on their clothing and appearance	Coworkers are strangers	6	7	2	8	3	because receiving compliments from strangers may make them feel vulnerable and unsure of the intentions.	because complimenting someone's clothing and appearance as a stranger may be seen as less intentional or genuine.	because compliments from strangers are generally not harmful.	because compliments from strangers can make someone feel good about themselves and boost their confidence.	because complimenting coworkers who are strangers on their clothing and appearance is generally considered a morally positive action.	I	I assumed that the agent is a stranger who noticed and complimented their coworkers' clothing and appearance.	The coworkers	I assumed that the coworkers were being affected positively by the compliments.	1.17894736	1.17894736
11	Effron	Complimented coworkers on their clothing and appearance	Coworkers are in a competitive environment	7	6	2	7	3	because in a competitive environment, receiving compliments may make them feel vulnerable and expose their weaknesses.	because complimenting someone's clothing and appearance in a competitive environment may be seen as strategic or manipulative.	because compliments in a competitive environment are generally not harmful.	because compliments can boost someone's confidence and morale in a competitive environment.	because complimenting coworkers on their clothing and appearance in a competitive environment is generally considered a morally positive action.	I	I assumed that the agent is a coworker who noticed and complimented their coworkers' clothing and appearance.	The coworkers	I assumed that the coworkers were being affected positively by the compliments.	1.17894736	1.17894736
12	Kruepke	I was in a relationship with my best friend's cousin. She was really beautiful, but as time went on I became less attracted to her. I tried to tell her I didn't really want to see her anymore and she flipped out.		5	7	6	3	-2	because the patient may experience emotional distress but is not in immediate physical danger.	because the action of breaking up with someone is a deliberate choice.	because the action of breaking up can cause emotional pain and distress.	because the action of breaking up may not necessarily provide immediate help to the patient.	because breaking up with someone without proper communication and consideration can be seen as morally questionable.	I	I assumed that the agent is the person narrating the scenario.	My best friend's cousin	I assumed that the patient is the person being broken up with.	4.677272727	0.91
12	Kruepke	I was in a relationship with my best friend's cousin. She was really beautiful, but as time went on I became less attracted to her. I tried to tell her I didn't really want to see her anymore and she flipped out.	The agent was in a long-distance relationship with the patient.	7	8	5	2	-1	because the patient may feel more vulnerable due to the distance and lack of physical presence.	because the agent may have intentionally chosen to end the relationship due to the challenges of long-distance.	because while the action of breaking up can cause emotional pain, it may also be a necessary decision for both parties.	because the action of breaking up may not necessarily provide immediate help to the patient.	because ending a long-distance relationship can be seen as a practical decision rather than a moral one.	I	I assumed that the agent is the person narrating the scenario.	My best friend's cousin	I assumed that the patient is the person being broken up with.	4.677272727	0.91
12	Kruepke	I was in a relationship with my best friend's cousin. She was really beautiful, but as time went on I became less attracted to her. I tried to tell her I didn't really want to see her anymore and she flipped out.	The agent discovered that the patient was cheating on them.	8	9	9	1	3	because the patient's actions of cheating may have caused emotional harm and betrayal.	because the agent intentionally chose to end the relationship upon discovering the infidelity.	because the action of breaking up due to cheating can cause significant emotional harm and trust issues.	because the action of breaking up may not necessarily provide immediate help to the patient.	because ending a relationship due to cheating can be seen as a morally justifiable decision.	I	I assumed that the agent is the person narrating the scenario.	My best friend's cousin	I assumed that the patient is the person being broken up with.	4.677272727	0.91
12	Kruepke	I was in a relationship with my best friend's cousin. She was really beautiful, but as time went on I became less attracted to her. I tried to tell her I didn't really want to see her anymore and she flipped out.	The agent realized they were not ready for a committed relationship.	4	6	4	4	2	because the patient may feel vulnerable due to the sudden change in the agent's feelings.	because the agent intentionally chose to end the relationship upon realizing their lack of readiness.	because the action of breaking up can cause emotional distress but may also be a necessary decision for personal growth.	because the action of breaking up may provide an opportunity for the patient to find someone who is ready for a committed relationship.	because ending a relationship due to personal readiness can be seen as a morally neutral decision.	I	I assumed that the agent is the person narrating the scenario.	My best friend's cousin	I assumed that the patient is the person being broken up with.	4.677272727	0.91
13	Lotto	You are on holiday at the seaside and returning to shore in your motorboat. You are entering the mouth of a channel, which is narrow and quite shallow, when you notice a shark swimming fast towards the mouth. At the end of the channel is a swimmer, who is calmly bathing. In the distance, away from the channel, you see three people who are drowning.You turn quickly out of the channel, leaving the mouth free. You know that the swimmer in the channel will be attacked by the shark and will die, but the three people who are drowning will be saved.		7	8	10	10	3	because the swimmer is in a vulnerable position being in the water with a shark approaching	because you intentionally turned out of the channel to avoid the shark	because the swimmer will be attacked by the shark and will die	because you saved the lives of the three people who were drowning	because while you saved three lives, you allowed one person to die	You	You are a motorboat driver	The swimmer in the channel	The swimmer is calmly bathing	3.1	-0.46
13	Lotto	You are on holiday at the seaside and returning to shore in your motorboat. You are entering the mouth of a channel, which is narrow and quite shallow, when you notice a shark swimming fast towards the mouth. At the end of the channel is a swimmer, who is calmly bathing. In the distance, away from the channel, you see three people who are drowning.You turn quickly out of the channel, leaving the mouth free. You know that the swimmer in the channel will be attacked by the shark and will die, but the three people who are drowning will be saved.	The motorboat driver is a trained lifeguard	7	8	10	10	4	because the swimmer is in a vulnerable position being in the water with a shark approaching	because the motorboat driver intentionally turned out of the channel to avoid the shark	because the swimmer will be attacked by the shark and will die	because the motorboat driver saved the lives of the three people who were drowning	because the motorboat driver made the best decision to save the most lives	The motorboat driver	The motorboat driver is a trained lifeguard	The swimmer in the channel	The swimmer is calmly bathing	3.1	-0.46
