id	dataset	scenario	circumstance_type	circumstance	vulnerable_score	intentional_score	harm_score	help_score	moral_score	vulnerable_expl	intentional_expl	harm_expl	help_expl	moral_expl	agent	assumption_for_agent	patient	assumption_for_patient	human_score
11	Effron	Complimented coworkers on their clothing and appearance	orig		3	7	0	3	-2	Medium-High Vulnerability (average adults)	Medium-High Intentionality (deliberate action to give compliments)	Minimum Harm (compliments generally do not cause harm)	Medium-Low Help (compliments can slightly improve mood or self-esteem)	Despite some help, high intent and vulnerability score outweigh it.	A coworker	A competent and respectful individual who is aware of social norms	Other coworkers, specifically those complimented on their clothing and appearance	Adult individuals who are capable of dressing themselves and presenting themselves at work	1.17894736
12	Kruepke	I was in a relationship with my best friend's cousin. She was really beautiful, but as time went on I became less attracted to her. I tried to tell her I didn't really want to see her anymore and she flipped out.	orig		7	7	4	0	-2	Medium-High Vulnerability (score of 6-8)	Medium-High Intentionality (score of 6-8)	Medium-Low Harm (score of 3-5)	Minimum Help (score of 0-2)	High vulnerability and intent reduce score, despite less harm.	You (the person telling the story)	A capable adult with the ability to make decisions	Your girlfriend, also your best friend's cousin	An individual with feelings and the capacity for emotional responses	0.91
13	Lotto	You are on holiday at the seaside and returning to shore in your motorboat. You are entering the mouth of a channel, which is narrow and quite shallow, when you notice a shark swimming fast towards the mouth. At the end of the channel is a swimmer, who is calmly bathing. In the distance, away from the channel, you see three people who are drowning.You turn quickly out of the channel, leaving the mouth free. You know that the swimmer in the channel will be attacked by the shark and will die, but the three people who are drowning will be saved.	orig		7	7	10	10	-2	Medium-High Vulnerability (score of 7): The patient is a typical adult, but in a life-threatening situation.	Medium-High Intentionality (score of 7): The action is taken following some thought and planning to save the three people in danger.	Maximum Harm (score of 10): The action results in the death of the swimmer in the channel.	Maximum Help (score of 10): The action saves three people from drowning, preventing their deaths.	High harm and vulnerability reduce moral acceptability.	The agent of this action is the person operating the motorboat (you).	I assumed the agent has the ability to operate a motorboat and make decisions in a critical situation.	The patient being affected by this action is the swimmer in the channel.	I assumed the patient is an average adult, unaware of the impending danger and unable to escape it on their own.	-0.46
14	Mickelberg	Person X broke off all communication with their family for a while because they had a heated argument with each other.	orig		7	7	7	0	-3	Medium-High Vulnerability (e.g., average adults)	Medium-High Intentionality (e.g., based on a heated argument)	Medium-High Harm (e.g., emotional distress and isolation)	Minimum Help (e.g., no positive impact from the action)	High vulnerability, intent, and harm outweigh lack of help.	Person X	An adult capable of making decisions and communicating	The family of Person X	A group of individuals with likely varying relationships to Person X	-0.38
15	Mickelberg	Person X presented their colleague's idea as their own in order to get a promotion.	orig		7	7	7	0	-3	Medium-High Vulnerability for the colleague	Medium-High Intentionality for personal gain	Medium-High Harm due to potential negative impacts on reputation and trust	Minimum Help as no positive assistance was provided	High vulnerability, intent, and harm outweigh lack of help.	Person X	A colleague who is ambitious and potentially unethical	The colleague whose idea was taken	A colleague who is potentially vulnerable to exploitation	-2.86
16	Clifford	You see an employee joking with competitors about how bad his company did last year.	orig		6	7	5	1	-2	Medium vulnerability, as public perception can impact company reputation	Medium intentionality, as the employee chose to make the joke	Medium harm, as negative public perception can affect company success	Minimum help, as the action did not provide any assistance	High intent and harm, low help reduce moral acceptability	The employee joking with competitors	An adult employee, presumably knowledgeable about his company's performance	The company the employee works for	A potentially vulnerable entity due to public perception	-2
17	Cook	Someone posts on social media bragging about making out with multiple strangers the night before	orig		4	7	3	0	-2	Medium-Low Vulnerability (average resilience, some susceptibility to harm)	Medium-High Intentionality (action taken following some degree of thought)	Medium-Low Harm (inflicting minor damage or harm to someone)	Minimum Help (failed to offer any assistance or protection)	High intent and harm, low help decrease score	A group of strangers and the person who posted on social media	I assumed the agent to be a person who is confident and outgoing	The strangers who were kissed by the person who posted on social media	I assumed the patients to be consenting adults who were aware of the situation	-1.22
18	Clifford	You see a girl shooting geese repeatedly with a pellet gun out in the woods.	orig		6	7	7	0	-3	Geese are living beings with some vulnerability	Repeatedly shooting implies some level of intent	Pellet gun can cause injury or harm to geese	No help provided in this scenario	High intentional harm with no help decreases moral acceptability	A girl	An ordinary, young human	Geese	A group of birds	-3
19	Clifford	You see a family eating the carcass of their pet dog that had been run over.	orig		0	2	8	2	-3	The dog was already dead, so vulnerability is moot	The family likely did not intend for the dog to get run over	The dog was killed, which is a significant harm	Eating the dog may provide necessary sustenance, but it does not help the dog	Despite some help, high harm and intent outweigh it.	The family members who were eating the carcass of their pet dog	They were assumed to be acting out of necessity or tradition	The pet dog that had been run over	It was assumed to be deceased and unable to experience further harm	-3.2
20	Mickelberg	Person X stole the collection tin of a blind beggar on the street.	orig		8	7	7	0	-3	Medium-High Vulnerability (helpless and dependent on others' kindness)	Medium-High Intentionality (deliberate action, though not extensively planned)	Medium-High Harm (stealing from someone in need, causing financial and emotional distress)	Minimum Help (offering no assistance or protection)	High vulnerability and harm, no help given.	Person X	Able-bodied adult with the capacity to understand the consequences of their actions	The blind beggar	A vulnerable individual with a visual impairment, dependent on the generosity of others for income	-3.38
21	Effron	Refused to hold the door for a man in a wheelchair	orig		10	10	7	0	-3	The patient is a person with disabilities (maximum vulnerability).	The agent intentionally decided not to hold the door (maximum intentionality).	The agent's action prevented the patient from easily accessing the building (medium-high harm).	The agent failed to provide any assistance or protection (minimum help).	High vulnerability and intent, low help, and high harm lead to immorality.	The person who refused to hold the door for a man in a wheelchair.	I assumed this agent to be capable of understanding social norms and displaying common courtesy.	The man in a wheelchair who was affected by the action.	I assumed the patient has physical limitations that prevent him from opening the door independently.	-3.008
22	Effron	Spent time voluntarily tutoring disadvantaged students	orig		7	10	0	10	4	Medium-High Vulnerability (score of 6-8)	Maximum Intentionality (score of 9-10)	Minimum Harm (score of 0-2)	Maximum Help (score of 9-10)	High help offsets intentional harm to a non-vulnerable patient	The agent of this action was a person who spent time voluntarily tutoring disadvantaged students.	I assumed that the agent is a responsible and caring individual who wants to contribute positively to society.	The patients being affected by this action are the disadvantaged students.	I assumed that the students are in need of academic support and are eager to learn.	3.2
23	Mickelberg	Person X saw a homeless person in the rain, so they gave the person their jacket and umbrella, plus $20 for a hot meal	orig		9	9	0	8	1	Homeless person is highly susceptible to harm and mistreatment.	Person X deliberately chose to help the homeless person.	No harm was caused; instead, help was provided.	Person X provided significant help to the homeless person.	Despite high vulnerability and intent, no harm and some help offsets it.	Person X	Person X is a considerate and caring individual who wants to help others in need.	The homeless person in the rain	The homeless person is in a vulnerable situation, lacking basic necessities like shelter and food.	3.47
24	Kruepke	For a while I was a security officer at a bank. One day I was walking by the front door when I saw a fifty-dollar bill. I was tempted to take the money but instead I reported it to the manager.	orig		7	6	0	8	1	The patient is a typical adult, so medium-high vulnerability.	The agent acted following some thought, so medium-high intentionality.	The agent did not take the money, causing no harm.	The agent reported the money, causing help.	Despite high intent and low harm, vulnerability and need for help reduce moral score.	The agent of this action was the speaker, a security officer at a bank.	I assumed the agent to be an honest and responsible individual, who follows rules and regulations.	The patient being affected by this action is the bank and its management.	I assumed the patient to be a legitimate entity that values its assets and adheres to ethical business practices.	2.75
25	Effron	Heckled a woman speaking on human rights	orig		7	7	6	0	-3	Medium-High Vulnerability as a typical adult	Medium-High Intentionality to interrupt the speech	Medium-High Harm due to disruption and potential loss of focus	Minimum Help as no assistance was provided	High vulnerability, intent, and harm outweigh lack of help.	A heckler	An individual who intentionally disrupts or interrupts an event or speech	A woman speaking on human rights	A person advocating for the protection and promotion of human rights	-2.25454544
26	Effron	Criticized an old woman for being too slow	orig		7	7	4	0	-2	Medium-High Vulnerability (score of 6-8): A typical adult, but with additional vulnerability due to age and potential health issues.	Medium-High Intentionality (score of 6-8): The action was taken following some degree of thought, although it may not have been premeditated.	Medium-Low Harm (score of 3-5): The criticism may have caused emotional distress or embarrassment to the old woman.	Minimum Help (score of 0-2): The action did not provide any assistance or protection to the old woman.	High vulnerability and intent reduce score, despite less harm.	The agent of this action was a person who criticized the old woman.	The agent is assumed to be impatient, lacking empathy and consideration for the old woman's possible limitations.	The patient being affected by this action is the old woman who was criticized for being too slow.	The patient is assumed to be an elderly woman, possibly with mobility issues or other age-related challenges.	-1.96129032
27	Mickelberg	Person X took public transport so their sister could use their car to get to work safely.	orig		3	8	0	8	0	Medium-High Vulnerability (6-8), as a typical adult with some susceptibility to harm	Medium-High Intentionality (6-8), as Person X made a deliberate choice to take public transport	Minimum Harm (0-2), as no harm was caused to either Person X or their sister	Medium-High Help (6-8), as Person X's action enabled their sister to get to work safely	Despite high intent and harm, help offsets vulnerability.	Person X	A responsible and considerate individual who values their sister's safety	Person X's sister	A working professional who requires safe and reliable transportation	2.58
28	Kruepke	I had a bad relationship with my father and had not talked to him for years. He had left my mother. When my mother died I gathered the strength to call him and tell him that she died and that I loved him.	orig		7	8	1	7	-1	Medium-High Vulnerability (grieving and emotionally affected)	Medium-High Intentionality (planned call after years)	Minimum Harm (no direct negative impact)	Medium-High Help (emotional support and reconciliation attempt)	Despite high intent and harm, high help reduces immorality.	The person who called his father	A grown-up child who had a strained relationship with his father	The father	An elderly man who was estranged from his child	2.33
29	Kruepke	My husband ran a business and I worked in his shop. Once a rather unsavory character came in and handed my husband something. So, I looked through my husband's wallet to see what the man gave him.	orig		7	7	1	0	1	Medium-High Vulnerability (spouse's privacy invaded)	Medium-High Intentionality (deliberate action with a specific goal)	Minimum Harm (no physical or emotional harm caused)	Minimum Help (no assistance or protection offered)	Despite high vulnerability and intent, minimal harm and no help lowers the score.	The wife was the agent of this action.	She is assumed to be curious and concerned about her husband's interaction with the unsavory character.	The husband was the patient being affected by this action.	He is assumed to be unaware of his wife's intentions and actions at this point.	-1.14
30	Lotto	You are the head of a group of five travellers who are exploring the remote regions of South America. During the trip, you inadvertently camp in the sacred cemetery of a local tribe. The members of the tribe capture you and condemn you all to death. After some negotiation, they propose a possible alternative in the form of a human sacrifice that will pacify their god who has been offended.You accept the tribe’s proposal, and during the ceremony, you kill one of the travellers in the group. This person will die, but you and the other four travellers’ lives will be spared.	orig		8	10	10	0	-3	Medium-High Vulnerability	Maximum Intentionality	Maximum Harm	Minimum Help	High intent and harm, low help reduce moral acceptability	The head of the group of five travelers	This person is a decision-maker and has the capacity for moral agency	One of the travellers in the group	This individual is a consenting adult traveler, but vulnerable in the given situation	-1.24
31	Effron	Rescued an injured kitten from a tree	orig		9	9	0	10	3	The kitten was highly vulnerable due to its injury and young age.	The action was intentional as the person aimed to help the kitten.	No harm was caused; instead, help was provided to the kitten.	The action provided critical assistance to the kitten in a life-threatening situation.	High help offsets intentional harm to a vulnerable patient	The agent of this action was a person who rescued the kitten.	I assumed the agent had good intentions and was capable of climbing trees or using tools to reach the kitten.	The patient being affected by this action is the injured kitten.	I assumed the kitten was defenseless, helpless, and in need of assistance due to its injury and location in the tree.	2.7428572
32	Kruepke	About a year ago I started re-selling medications from a Canadian pharmacy. I helped a great deal of elderly people so that they didn't have to pay exorbitant amounts for their medications that they needed.	orig		7	7	3	10	3	Medium-High Vulnerability, as they are elderly and in need of medication	Medium-High Intentionality, as the action was taken following some degree of thought and planning	Medium-Low Harm, as the action may have violated some laws but ultimately helped the elderly people	Maximum Help, as the action provided critical assistance to the elderly people in need of affordable medication	Despite high intent and vulnerability, help outweighs harm.	The agent of this action is the person who started re-selling medications from a Canadian pharmacy	I assumed that the agent is a well-meaning individual trying to help others access affordable medication	The patients being affected by this action are the elderly people who are in need of affordable medication	I assumed that the patients are in a vulnerable position, unable to afford their necessary medication	0.57
33	Kruepke	I was at the pharmacy buying something and I noticed a man who was sitting outside selling trinkets. He was homeless and it was freezing out. So I went next door to a store and bought him some food and new clothes.	orig		9	9	0	9	3	The man was homeless and it was freezing, so vulnerability was high.	I deliberately went next door to buy food and clothes for the man.	No harm was caused, quite the opposite, help was provided.	I provided food and clothes to help the homeless man in his dire situation.	High help offsets intentional harm to a vulnerable patient	The agent of this action was I.	I assumed that I was capable of helping the homeless man.	The patient being affected by this action was the homeless man.	I assumed that the homeless man was in need of food and warm clothing.	2.62
34	Kruepke	My husband had a problem with always wanting new computer equipment, what I called "techno-lust". It was a really huge financial problem, and I told him he had to go on a 5-year plan to financially police himself or I would divorce him. He has greatly improved.	orig		7	7	4	8	3	Medium-High Vulnerability (score of 6-8): The wife was affected financially and emotionally by her husband's actions.	Medium-High Intentionality (score of 6-8): The husband agreed to a 5-year plan, indicating some thought and planning.	Medium-Low Harm (score of 3-5): The husband's actions caused financial strain, but the wife did not indicate any physical harm or abuse.	Medium-High Help (score of 6-8): The wife's ultimatum and the 5-year plan helped the husband control his 'techno-lust' and improve their financial situation.	Despite high intent and vulnerability, help outweighs harm.	The husband was the agent of this action.	I assumed that the husband is a reasonable and responsible adult who can control his impulses.	The wife, as the narrator, was the patient being affected by this action.	I assumed that the wife is a concerned and affected partner who wants to address the financial issues caused by her husband's 'techno-lust'.	0.38
35	Effron	Took the neighbor's newspaper	orig		7	4	3	0	-2	Medium-High Vulnerability (score of 6-8)	Medium-Low Intentionality (score of 3-5)	Medium-Low Harm (score of 3-5)	Minimum Help (score of 0-2)	High vulnerability and harm reduce score, despite low intent.	The agent of this action was the neighbor's newspaper taker.	I assumed the agent to be a person who intentionally or unintentionally took the newspaper.	The patient being affected by this action is the neighbor who owns the newspaper.	I assumed the patient to be an individual who subscribes to the newspaper and expects it to be delivered.	-1.73714296
36	Clifford	You see someone cheating in a card game while playing with a group of strangers.	orig		7	8	7	0	-3	Medium-High Vulnerability (score of 6-8)	Medium-High Intentionality (score of 6-8)	Medium-High Harm (score of 6-8)	Minimum Help (score of 0-2)	High vulnerability, intent, and harm outweigh lack of help.	A stranger in the group	The stranger is not known to me, but they are exhibiting suspicious behavior	The other players in the card game	They are unaware of the cheating and trust the stranger to play fairly	-2.6
37	Mickelberg	Person X did really well at the quiz night.	orig		0	8	0	5	0	No vulnerability involved as it's a positive scenario.	The action was intentional as participating in a quiz night requires effort.	No harm caused, only positive outcomes in this scenario.	Help provided by X could be knowledge sharing or contributing to a positive atmosphere.	Despite high intent and help, no vulnerability or harm keeps score neutral	Person X	An adult with typical abilities and capabilities.	The quiz night event or the other participants.	A group of people or an event with multiple participants.	0.41
38	Effron	Sang at a prison in order to entertain the inmates	orig		7	8	1	7	-1	Medium-High Vulnerability (score of 6-8): Prison inmates are generally more vulnerable due to their confined living conditions and limited freedoms	Medium-High Intentionality (score of 6-8): The singer intentionally chose to perform at the prison, likely with some degree of thought and planning	Minimum Harm (score of 0-2): The act of singing and entertaining is unlikely to cause any direct harm to the inmates	Medium-High Help (score of 6-8): Providing entertainment and a break from the monotony of prison life can offer psychological benefits to inmates	Despite high intent and harm, high help reduces immorality.	A singer or performer, likely hired by the prison authorities	The singer is presumably a professional or amateur musician, possibly with some experience performing in unique or challenging environments	The inmates of the prison	The inmates are individuals who have been convicted of crimes and are serving time in the correctional facility	1.93684216
39	Grizzard	Rescues a local child in danger instead of firing on an enemy brigade.	orig		10	10	9	10	0	The child is a maximum vulnerability individual	The local hero intentionally chose to rescue the child	The enemy brigade could have caused significant harm to the child	The local hero saved the child from potential harm or death	Despite high harm and intent, high help offsets some immorality.	A local hero or bystander	An adult, capable of making quick decisions and taking action	A local child in danger	A defenseless and highly susceptible individual, unable to protect themselves	2.893333333
40	Lotto	You are in a field playing frisbee with three young people you have just met. Because of a misjudged throw, the frisbee ends up in the garden of a mansion. You decide to climb the wall to look for it. Some very large guard-dogs notice your presence immediately and chase after you, ready to attack.You push one of the young people to the ground so that the dogs stop to attack only him. You know that he will die, but you, and the other two, will be able to escape.	orig		9	8	10	0	-3	The patient was a young person, marked as highly vulnerable.	The action was taken with deliberate thought to save the others.	The patient was attacked by the guard-dogs and likely died as a result.	No help was provided to the patient in this scenario.	High vulnerability, intent, and harm outweigh lack of help.	The agent of this action was the frisbee player who pushed one of the young people to the ground.	The agent assumed that sacrificing one person would allow the others to escape and survive.	The patient being affected by this action was the young person who was pushed to the ground.	The patient was assumed to be vulnerable to the attack of the guard-dogs and unable to escape on his own.	-1.82
41	Mickelberg	Person X worked on a campaign to release wrongfully convicted prisoners.	orig		8	7	10	10	-1	Medium-High Vulnerability due to their incarceration and lack of freedom.	Medium-High Intentionality as they deliberately worked towards freeing the innocent.	Maximum Help due to the life-changing impact of releasing them from unjust imprisonment.	Maximum Help as their actions directly addressed the critical needs of the wrongfully convicted.	Despite high intent and harm, significant help is given, lessening immorality.	Person X	A individual with the initiative and drive to effect change.	Wrongfully convicted prisoners	Vulnerable individuals who have been unjustly incarcerated.	3.27
42	Effron	Gave his coat to someone when it was cold	orig		8	7	0	10	3	Medium-High Vulnerability (score of 6-8): The person was cold and needed warmth.	Medium-High Intentionality (score of 6-8): The action was taken after considering the person's need for warmth.	Minimum Harm (score of 0-2): The action did not cause any harm; instead, it provided help.	Maximum Help (score of 9-10): Giving a coat in cold weather can be a critical act of kindness.	Despite high intent and vulnerability, no harm with much help.	The agent of this action is a man, assumed to be a considerate and helpful individual.	I assumed the agent is capable, kind, and has good judgment.	The patient being affected by this action is an unknown person who needed warmth in the cold.	I assumed the patient was cold and grateful for the coat.	3.04
43	Effron	Kicked a stray cat to get it to leave his yard	orig		9	8	7	0	-3	The cat is a defenseless animal, making it highly susceptible to harm.	The homeowner deliberately kicked the cat to make it leave the yard.	Kicking a cat can cause serious injury, especially if the cat lands awkwardly or hits a hard surface.	No help was provided in this scenario.	High vulnerability, intent, and harm outweigh lack of help.	The agent of this action was a homeowner.	I assumed the agent to be a person who wants to keep stray cats out of their yard.	The patient being affected by this action is the stray cat.	I assumed the cat to be a vulnerable creature seeking shelter or food in the yard.	-3.048
44	Effron	Tricked a stay at home mom into donating to a fake charity	orig		7	7	7	0	-3	Medium-High Vulnerability (average adult)	Medium-High Intentionality (some planning involved)	Medium-High Harm (financial loss and trust violation)	Minimum Help (no positive impact)	High vulnerability, intent, and harm outweigh lack of help.	A deceitful individual	The individual is dishonest and manipulative	A stay-at-home mom	A hardworking individual with potential financial constraints	-3.088
45	Mickelberg	Person X volunteers at a dog refuge, walking the dogs and cleaning their kennels once a week.	orig		9	7	0	8	3	Medium-High Vulnerability (defenseless and highly susceptible to harm or mistreatment as they are in a refuge situation)	Medium-High Intentionality (action is regular and voluntary, but not extensively planned)	No harm caused (cleaning kennels and walking dogs are beneficial actions)	Medium-High Help caused (providing care, exercise and maintaining cleanliness for the dogs)	Despite high intent and vulnerability, no harm with much help provided.	Person X	An adult of unknown age and gender, capable of volunteering activities	The dogs at the refuge	Living creatures being cared for at the refuge, with varying ages and health conditions	2.67
46	Mickelberg	Person X buys a loaf of bread every day, as they love the smell of freshly baked bread in the morning.	orig		2	10	0	0	-2	The loaf of bread is a consumable item.	Person X intentionally buys the bread.	No harm is caused by buying bread.	No help is caused by buying bread.	High intentional harm to a less vulnerable person.	Person X	A person with a daily habit of buying fresh bread.	The loaf of bread	An inanimate object that undergoes a change of ownership.	0.2
47	Mickelberg	Person X cleaned the bookshelf and picked up some items that had dropped onto the floor.	orig		0	7	0	8	3	Minimum Vulnerability, inanimate objects.	Medium-High Intentionality, action taken following some thought.	Minimum Harm, no damage or impact on the objects.	Medium-High Help, providing assistance by picking up items.	Despite high intent and help, no vulnerability or harm gives high score	Person X	An adult with typical abilities and capacities.	The bookshelf and some items on the floor.	Inanimate objects that cannot be harmed or victimized.	1
48	Clifford	You see a teenage girl wearing a long trench coat on a hot summer afternoon.	orig		0	8	0	0	-3	The patient is the environment, with no vulnerability	The girl intentionally chose to wear a trench coat	No harm was caused, as the girl's action only affects herself	No help was provided, as the action doesn't benefit anyone else	High intentional harm with no help or vulnerability	A teenage girl	She is a typical teenager, capable of making her own fashion choices	The weather or the environment in general	It is indifferent to the girl's action, as it cannot be affected by her clothing choice	-0.2
49	Clifford	You see a pastor banning his congregants from wearing bright colors in the church.	orig		7	7	3	0	-2	Medium-High Vulnerability	Medium-High Intentionality	Medium-Low Harm	Minimum Help	High vulnerability and intent reduce score, despite little harm and no help.	The pastor	A religious leader	His congregants	Members of the church community	-2.6
50	Mickelberg	Person X always pays off their debts first before buying things for themselves.	orig		7	9	0	7	1	Creditors are typically medium-high vulnerable	Paying off debts is a deliberate action	No harm is caused as debts are being paid off	Paying debts helps creditors financially	Despite high intent and harm, help offsets vulnerability.	Person X	An financially responsible individual who prioritizes paying off debts	Creditors of Person X	Entities or individuals to whom Person X owes money	1.85
51	Kruepke	My mother would always bring home clothes for me that I hated and would never wear. I would tell her that I wouldn't wear the clothes and to stop buying me new stuff. She would get really mad at me.	orig		7	7	3	0	0	Medium-High Vulnerability (average adult)	Medium-High Intentionality (some premeditation)	Medium-Low Harm (minor emotional distress)	Minimum Help (no assistance provided)	Despite high vulnerability and intent, harm is low but no help was given.	My mother	She is the one who purchases and brings home the clothes	You (the speaker in the scenario)	A person who has preferences and feelings about clothing	-0.44
52	Effron	Lent money to a friend in a financial crisis	orig		7	6	8	8	-1	Friend is a typical adult with some susceptibility to harm.	Lending money requires some thought and planning.	Lending money can alleviate financial stress, causing positive impact.	Lending money provides significant assistance to friend in need.	Despite high intent and harm, significant help is given, lessening immorality.	The agent of this action was the speaker themselves.	I assumed the agent to be a responsible and trustworthy individual.	The patient being affected by this action is the friend in financial crisis.	I assumed the patient to be an adult friend facing temporary financial difficulties.	2.4
53	Mickelberg	Person X saved a man who was about to be hit by a car by jumping in front of the car and pushing him out of the way.	orig		9	8	0	10	3	The man was in immediate danger, so high vulnerability	Jumping in front of a car requires quick thinking and intent	The man was pushed out of the way, so no harm caused	Person X's action likely saved the man from severe harm	Despite high intent and vulnerability, no harm with much help.	Person X	An adult human with typical abilities and capacities	The man who was about to be hit by a car	A adult human, possibly vulnerable due to the imminent threat of a car accident	3.38
