id	dataset	scenario	circumstance_type	circumstance	Harm/ Help	Cheating/ Fairness	Betrayal/ Loyalty	Subversion/ Authority	Degradation/ Sanctity	Oppression/ Liberty	moral_score	Harm/ Help_expl	Cheating/ Fairness_expl	Betrayal/ Loyalty_expl	Subversion/ Authority_expl	Degradation/ Sanctity_expl	Oppression/ Liberty_expl	moral_expl	human_score
24	Kruepke	For a while I was a security officer at a bank. One day I was walking by the front door when I saw a fifty-dollar bill. I was tempted to take the money but instead I reported it to the manager.	orig		5	5	5	5	0	5	4	Helped by reporting money	Did not cheat, acted honestly	Was loyal to employer	Respected authority by reporting	Did not degrade bank's sanctity	Did not oppress, upheld liberty	For not taking the money and reporting it, this scenario is highly moral	2.75
25	Effron	Heckled a woman speaking on human rights	orig		-3	-3	0	-2	-2	-4	-3	Interrupting someone's speech can cause distress	Did not allow the woman to speak freely	Not applicable in this scenario	Challenged the woman's authority on the topic	Did not show respect for the woman or the topic	Limited the woman's freedom of speech	Heckling a woman speaking on human rights is generally considered immoral	-2.25454544
26	Effron	Criticized an old woman for being too slow	orig		-3	0	0	0	-2	-3	-3	Criticism may cause distress, score is negative	No direct relation to cheating or fairness	No relation to betrayal or loyalty	No direct relation to subversion or authority	Criticism may be seen as degrading, score is negative	Criticism may limit liberty, score is negative	Criticizing an old woman for being slow can be seen as harmful, degrading, and oppressive	-1.96129032
27	Mickelberg	Person X took public transport so their sister could use their car to get to work safely.	orig		5	0	5	0	0	4	4	Person X chose not to harm by providing help	No impact on fairness as this was a choice	Person X showed loyalty to their sister	No impact on authority or subversion	No impact on sanctity or degradation	Person X's action increased liberty for their sister	Person X's actions are morally acceptable as they chose to help their sister and increase her liberty	2.58
28	Kruepke	I had a bad relationship with my father and had not talked to him for years. He had left my mother. When my mother died I gathered the strength to call him and tell him that she died and that I loved him.	orig		1	-3	-3	-2	0	2	0	Reestablished contact after long estrangement	Didn't maintain relationship with father	Cut off father who left the family	Defied societal expectations of filial piety	No direct violation	Personal choice to distance from father	Complex scenario with both positive and negative aspects	2.33
29	Kruepke	My husband ran a business and I worked in his shop. Once a rather unsavory character came in and handed my husband something. So, I looked through my husband's wallet to see what the man gave him.	orig		1	0	-3	0	0	0	-2	No harm is intended, but curiosity may lead to privacy issues	No cheating is involved, but snooping on husband's wallet may seem unfair	Snooping on husband's wallet may indicate a lack of trust and loyalty	No subversion of authority is involved	No degradation or sanctity issues are involved	No oppression or liberty issues are involved	The scenario is slightly immoral due to the breach of trust and privacy	-1.14
30	Lotto	You are the head of a group of five travellers who are exploring the remote regions of South America. During the trip, you inadvertently camp in the sacred cemetery of a local tribe. The members of the tribe capture you and condemn you all to death. After some negotiation, they propose a possible alternative in the form of a human sacrifice that will pacify their god who has been offended.You accept the tribe’s proposal, and during the ceremony, you kill one of the travellers in the group. This person will die, but you and the other four travellers’ lives will be spared.	orig		-4	-2	-5	-3	-5	-4	-4	High harm inflicted, but necessary for survival	No clear cheating, but not an ideal fair situation	Betrayal of the killed individual's trust	Subversion of the tribe's authority to save lives	Violation of the sanctity of human life	Loss of liberty for the killed individual	The scenario is highly immoral due to the harm, betrayal, subversion, degradation, and oppression involved	-1.24
31	Effron	Rescued an injured kitten from a tree	orig		5	0	0	0	0	0	4	Helping an injured creature	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Rescuing an injured kitten from a tree is a kind act	2.7428572
32	Kruepke	About a year ago I started re-selling medications from a Canadian pharmacy. I helped a great deal of elderly people so that they didn't have to pay exorbitant amounts for their medications that they needed.	orig		4	-3	0	-3	0	4	2	Helping elderly with affordable medications	Possibly bypassing regulations for financial gain	No explicit loyalty or betrayal involved	May be undermining pharmaceutical regulations	No explicit degradation or sanctity issues	Providing liberty from high medication costs	Helping the elderly with affordable medications, but possibly undermining regulations	0.57
33	Kruepke	I was at the pharmacy buying something and I noticed a man who was sitting outside selling trinkets. He was homeless and it was freezing out. So I went next door to a store and bought him some food and new clothes.	orig		5	2	0	0	0	4	4	Helped a homeless man, providing food and clothes	Did not take advantage of the man's situation, acted fairly	No loyalty or betrayal involved in this scenario	Did not subvert any authority figures or rules	Did not degrade or violate any sanctities	Acted to enhance the homeless man's liberty by helping him	Helping a homeless person is generally seen as a moral act	2.62
34	Kruepke	My husband had a problem with always wanting new computer equipment, what I called "techno-lust". It was a really huge financial problem, and I told him he had to go on a 5-year plan to financially police himself or I would divorce him. He has greatly improved.	orig		3	4	3	4	0	4	4	Minimizing financial harm	Adhering to financial agreement	Maintaining commitment to partner	Following wife's reasonable request	No direct impact on sanctity norm	Promoting financial freedom	Addressing financial responsibility	0.38
35	Effron	Took the neighbor's newspaper	orig		-1	-3	0	0	0	-2	-2	Minimal harm, took a replaceable item	Took property without consent, violated ownership	Not directly related to loyalty	Did not undermine any authority	Did not degrade or taint any sacred values	Restricted neighbor's access to their property	Taking the neighbor's newspaper is relatively immoral due to cheating and liberty violations	-1.73714296
36	Clifford	You see someone cheating in a card game while playing with a group of strangers.	orig		-3	-5	-4	0	0	-3	-3	No direct harm but causing distress	Clear act of cheating and undermining fairness	Betraying trust of fellow players	Not applicable as no authority figure present	Not applicable as no sanctity is involved	Infringing on others' freedom to play fairly	Cheating in a card game is generally viewed negatively	-2.6
37	Mickelberg	Person X did really well at the quiz night.	orig		3	5	5	5	5	5	4	No harm caused, promoting knowledge	No cheating involved, following rules	No betrayal, loyalty to personal skills	No subversion, respecting the quizmaster	No degradation, celebrating intellect	No oppression, liberty to participate	Doing well at a quiz night is generally acceptable	0.41
38	Effron	Sang at a prison in order to entertain the inmates	orig		0	0	0	-2	0	-2	-2	Neutral as no direct harm or help	Neutral as no cheating or fairness issue	Neutral as no loyalty issues involved	Slightly negative as challenging prison authority	Neutral as no sanctity issues involved	Slightly negative as limiting inmates' liberty	The moral acceptability is debatable due to potential subversion of authority and limitation of inmates' liberty	1.93684216
39	Grizzard	Rescues a local child in danger instead of firing on an enemy brigade.	orig		5	0	0	-3	0	4	4	Helping a child in danger	Not applicable	Not applicable	Prioritizing personal morality over military orders	Not applicable	Protecting a civilian's freedom	Prioritizing saving a child over attacking an enemy brigade	2.893333333
40	Lotto	You are in a field playing frisbee with three young people you have just met. Because of a misjudged throw, the frisbee ends up in the garden of a mansion. You decide to climb the wall to look for it. Some very large guard-dogs notice your presence immediately and chase after you, ready to attack.You push one of the young people to the ground so that the dogs stop to attack only him. You know that he will die, but you, and the other two, will be able to escape.	orig		-5	0	-4	0	0	-3	-4	Causes significant harm to one individual	No direct relation to cheating or fairness	Betrays one individual in the group	No direct relation to subversion or authority	No direct relation to degradation or sanctity	Limits the liberty of one individual	The scenario is highly immoral due to causing harm and betraying another individual	-1.82
41	Mickelberg	Person X worked on a campaign to release wrongfully convicted prisoners.	orig		5	3	0	-3	0	4	4	Helping wrongfully convicted prisoners regain freedom	Working within the legal system to correct past injustices	Not applicable	Challenging the legal system's past decisions	Not applicable	Promoting liberty for the wrongfully convicted	Advocating for the release of wrongfully convicted prisoners is generally seen as a moral act	3.27
42	Effron	Gave his coat to someone when it was cold	orig		5	0	0	0	0	4	4	Helping behavior by keeping someone warm	No relation to cheating or fairness	No relation to betrayal or loyalty	No relation to subversion or authority	No relation to degradation or sanctity	No restriction of individual's freedom	Helping behavior is generally seen as moral	3.04
43	Effron	Kicked a stray cat to get it to leave his yard	orig		-5	0	0	0	0	-3	-3	Caused harm to a defenseless animal	Did not involve cheating or fairness issues	Did not involve betrayal or loyalty issues	Did not involve subversion or authority issues	Did not involve degradation or sanctity issues	Infringed on the liberty of the stray cat	Kicking a stray cat is considered immoral due to causing harm and infringing on its liberty	-3.048
44	Effron	Tricked a stay at home mom into donating to a fake charity	orig		-4	-5	-4	-3	-3	-4	-4	Caused emotional harm and financial loss	Deceived the mom into donating under false pretenses	Betrayed the mom's trust in charitable causes	Undermined the authority of legitimate charities	Tarnished the sanctity of charitable giving	Limited the mom's liberty to make informed decisions	This scenario is extremely immoral	-3.088
45	Mickelberg	Person X volunteers at a dog refuge, walking the dogs and cleaning their kennels once a week.	orig		5	0	0	0	0	4	4	Helping dogs in need	No relation to cheating or fairness	No relation to betrayal or loyalty	No subversion of authority	No relation to degradation or sanctity	Voluntary act, not oppressive	Volunteering to help dogs is a moral act	2.67
46	Mickelberg	Person X buys a loaf of bread every day, as they love the smell of freshly baked bread in the morning.	orig		1	0	0	0	0	1	2	No harm to others, but wastes resources	Does not affect fairness norms	Does not affect loyalty norms	Does not affect authority norms	Does not affect sanctity norms	Person X's choice does not oppress others	Person X's daily bread purchase is a minor resource waste	0.2
47	Mickelberg	Person X cleaned the bookshelf and picked up some items that had dropped onto the floor.	orig		0	0	0	0	0	5	4	No harm or help involved, just cleaning	Not related, no cheating or fairness involved	Not applicable, no loyalty issues	Not related, no subversion or authority issue	Not related, no sanctity issues	No oppression, person is free to clean as they wish	Cleaning is generally seen as a positive action	1
48	Clifford	You see a teenage girl wearing a long trench coat on a hot summer afternoon.	orig		0	-3	-3	-3	-3	3	2	No harm intended, but unusual attire might cause discomfort	No relation to cheating or fairness	No relation to betrayal or loyalty	No relation to subversion or authority	No relation to degradation or sanctity	Individual liberty in clothing choice	Morally acceptable due to personal liberty, though unusual in the context	-0.2
49	Clifford	You see a pastor banning his congregants from wearing bright colors in the church.	orig		-2	0	0	-3	-2	-3	-2	No direct harm, but may cause emotional distress	No cheating involved	No betrayal involved	Involves challenging pastor's authority	May be seen as degrading religious sanctity	Restricts congregants' freedom of expression	The pastor's action can be seen as infringing on individual liberty and potentially causing emotional distress, making it morally questionable.	-2.6
50	Mickelberg	Person X always pays off their debts first before buying things for themselves.	orig		3	4	0	0	0	4	4	Doesn't harm others, focuses on debt repayment	Adheres to financial obligations, fair	Not applicable	Doesn't challenge financial authorities	Financial behavior not related to sanctity	Exercises personal financial liberty responsibly	Person X's behavior is responsible and fair	1.85
51	Kruepke	My mother would always bring home clothes for me that I hated and would never wear. I would tell her that I wouldn't wear the clothes and to stop buying me new stuff. She would get really mad at me.	orig		2	0	0	1	0	-2	1	Some harm as unwanted clothes cause discomfort	No direct relation	No direct relation	Minor subversion by refusing to wear clothes	No direct relation	Minor oppression by forcing unwanted clothes	Child's liberty is somewhat compromised, but not extremely immoral	-0.44
52	Effron	Lent money to a friend in a financial crisis	orig		4	0	3	0	0	0	4	Helping a friend in need	No direct relation to fairness	Supporting a friend in crisis	Not applicable to this scenario	No desecration or cleanliness issues	No restriction of personal freedom	Lending money to a friend in crisis is morally acceptable	2.4
53	Mickelberg	Person X saved a man who was about to be hit by a car by jumping in front of the car and pushing him out of the way.	orig		5	0	0	0	0	5	4	Person X prevented harm, helping another	No relation to fairness	No relation to betrayal or loyalty	No relation to subversion or authority	No relation to degradation or sanctity	Person X acted freely, not oppressing anyone	Person X saved someone from harm, acting morally	3.38
54	Clifford	You see an employee at a morgue eating his pepperoni pizza off of a dead body.	orig		-4	0	-3	-3	-5	-4	-4	Causes emotional harm to others	Does not directly relate	Betrays professional norms	Subverts morgue rules and authority	Profanes the dead and sacred space	Infringes on others' freedom from disgust	Highly immoral due to harm, disloyalty, and desecration	-3.2
55	Clifford	You see an employee lying about how many hours she worked during the week.	orig		0	-4	-3	-3	0	-2	-3	No direct harm to others	Violation of work hour tracking	Betrayal of trust towards the employer	Undermining company policies	No direct relation	Potential infringement on financial liberty	The scenario is moderately immoral	-2.9
56	Effron	Pushed into the front of a line at a theater	orig		1	-3	0	-2	0	-1	-2	Minimal harm, pushing is generally not severe	Skipped the line, not adhering to the queue system	No loyalty involved in this scenario	Disregarded authority of line order	No sanctity violation in this scenario	Limited liberty, affected one person's freedom in line	Skipping the line is generally viewed as impolite	-1.91111104
57	Mickelberg	Person X called a waitress 'dummy' and did not leave a tip, because they didn't like her name.	orig		-4	-3	0	-2	-5	-3	-4	Person X caused emotional harm	No explicit cheating but withheld a tip unfairly	No direct loyalty issue	Did not respect the waitress's authority	Called the waitress a derogatory name	Limited the waitress's economic freedom	The scenario is immoral due to causing harm, being unfair, subverting authority, and degrading the waitress	-2.98
58	Clifford	You see a story about a remote tribe eating the flesh of their deceased members.	orig		0	0	3	-2	-3	0	0	Involves harm to the deceased, but possibly seen as helping the tribe	Does not directly relate to cheating or fairness	Could be seen as maintaining loyalty to the tribe's traditions	May subvert some religious or cultural authorities	Might be seen as degrading the sanctity of the human body	Does not directly relate to oppression or liberty	Cultural practices can be morally complex, balancing respect for tradition with potential harm	-2.3
59	Cook	Someone brags on social media about drinking excessively to the point of vomiting	orig		-2	0	0	0	-3	0	-2	Harm caused to self, minimal harm to others	No direct cheating or unfairness involved	No betrayal of trust or loyalty involved	No subversion of authority involved	Possible degradation of personal sanctity	No oppression of personal liberty involved	Excessive drinking can be seen as a personal issue with negative health impacts	-1.19
60	Effron	Didn't leave a tip at the restaurant	orig		0	-3	0	-2	0	-2	-2	Not directly harming the waitstaff	Did not fulfill social expectation of tipping	No loyalty issue as tipping isn't about loyalty	Did not follow restaurant tipping custom	No sanctity issues involved in not tipping	Did not restrict anyone's liberty, but did not promote fairness	Not leaving a tip impacts fairness and custom, making it moderately immoral	-1.6571428
61	Mickelberg	Person X released intimate photos of their ex-partner to their friends and then posted them to the internet.	orig		-5	0	-4	0	-5	-4	-4	Causing distress to the ex-partner	No direct relation to cheating	Betrayal of trust in an intimate relationship	No direct relation to subversion of authority	Invasion of intimacy and privacy	Infringing on the ex-partner's freedom and autonomy	Causing harm, betraying trust, degrading the ex-partner's dignity, and infringing on their liberty	-3.23
62	Clifford	You see the US Ambassador joking in Great Britain about the stupidity of Americans.	orig		-2	-2	-4	-3	-3	-2	-3	No direct harm, but could cause emotional harm	No cheating, but unfairly stereotyping a group	Betraying trust and loyalty to one's own nation	Undermining the authority of the US and its people	Belittling the intelligence of a large group of people	Limiting the freedom of Americans to be seen as intelligent	This scenario is not morally acceptable due to the betrayal and subversion of authority	-2.8
63	Kruepke	My current lover often complains about our sex life, saying we don't do it enough. Sometimes I will watch online porn and masturbate instead. Sometimes, I feel like it's just easier and more fun to do that.	orig		0	1	1	0	2	3	2	Minimal harm, personal choice	Solo activity, but may affect relationship dynamics	Not directly disloyal, but may impact trust	Individual autonomy, not necessarily subversive	Personal pleasure, not degrading	Freedom to explore personal desires	Slightly morally acceptable, considering individual autonomy and minimal harm	-0.35
64	Effron	Had a welcoming party for some new neighbors	orig		4	4	4	3	5	4	4	Promoting social connections and community building	No elements of cheating, upholding fairness	Fostering relationships and loyalty among neighbors	Respecting social norms and local authorities	No elements of degradation or sanctity violations	Encouraging individual freedom and expression	A welcoming party for new neighbors is generally a moral act	1.97777784
65	Lotto	You are the commander of a Russian military submarine on a mission. You have been trapped for days at the bottom of the Pacific Ocean without energy. You have already asked for help several times, but there are no ships or submarines in the nearby waters and help is taking time to arrive. There are six crew members with you on board and your food supplies are getting low.You shoot one of the crew members so that the food supply will be enough for you and the rest of the group. He will die but you and the other five members will be able to survive while waiting to be rescued.	orig		-3	-4	-5	-3	-5	-5	-4	Causes harm for survival	Violates equality in resource distribution	Betrays crew member loyalty	Undermines military hierarchy	Deprives life, violates human sanctity	Restricts crew member's right to life	The scenario is extremely immoral	-1.43
66	Clifford	You see a boy turning up the TV as his father talks about his military service.	orig		0	0	-2	-3	0	0	1	No direct harm is intended	No cheating or unfairness involved	No betrayal, but potential disrespect	Potential undermining of father's authority	No degradation or sanctity issues	No oppression or liberty restrictions	The boy's actions may be seen as disrespectful, slightly affecting moral acceptability	-2.1
67	Kruepke	I was working at a fast food restaurant and the policy was to throw away the excess food at the end of the night. Even if there was a large quantity of food left over you had to throw it away. Instead my friend and I would take home the extra food.	orig		3	-3	0	-2	0	1	0	Taking home food reduces waste	Taking food without permission is unfair	No direct impact on loyalty	Disregarding policy may undermine authority	No direct impact on sanctity	Taking food freely, but against rules	Taking home excess food from work can be seen as both helpful and unfair, making it a morally ambiguous act	0.39
68	Mickelberg	Person X left their long-term band as soon as an opportunity came up to play with a more successful band.	orig		0	-3	-4	0	0	2	-2	Not directly involved	Took opportunity, may have affected previous band's prospects	Left long-term band for personal gain	Did not necessarily undermine authority	Not applicable	Person X exercised personal freedom	Leaving for a more successful band may be seen as disloyal	-0.81
69	Lotto	You are in charge of an expedition which is crossing the Sahara. A sand storm causes your jeep to swerve off the road and overturn in the middle of the desert. You know that the nearest oasis is a week’s walk away. There are eight of you and a very limited amount of water, which will not allow you all to survive the scorching heat.You shoot two people so that there will be enough water for you and the rest of the group. These two will die, but you and the other five will be able to survive.	orig		-5	-5	-5	0	-5	-4	-4	High harm inflicted, no help provided	Unfair distribution of resources	Betrayal of group members	No clear authority figure	Violation of human life sanctity	Limited freedom leads to tragic choice	The scenario is highly immoral due to the significant harm, unfairness, betrayal, and degradation involved	-1.57
70	Mickelberg	Person X was able to convince their boss that they were ready for a promotion at work.	orig		2	4	0	1	4	3	3	No direct harm caused, may help in long run	No cheating involved, promotion based on merit	No betrayal, loyalty to self-interest and growth	Challenging authority through performance	No degradation or sanctity issues involved	Promotion supports personal liberty and growth	Seeking personal growth and development	0.52
71	Clifford	You see a woman getting hired only because her father is close friends with the boss.	orig		0	-4	0	-3	0	-3	-3	No direct harm caused	Hiring not based on merit	No betrayal of loyalty	Bypassing standard hiring process	No desecration of values or ideals	Limiting opportunities for others	Hiring based on connection rather than merit	-2.4
72	Effron	Stole into a parking place while someone else was backing in	orig		-2	-3	0	0	0	-2	-2	Minor impact on others' convenience	Taking advantage of a parking spot	No direct relevance to loyalty	No direct relevance to authority	No direct relevance to sanctity	Limiting another's access to a parking spot	Stealing a parking spot is moderately immoral	-1.93846152
73	Kruepke	A few years ago, I was single and I went to see a friend of mine in the Bahamas. I was extremely attracted to a man I met there who was married. I danced as close to the fire as I could, but I did nothing.	orig		0	-3	-3	0	0	0	1	No harm was caused, but could have been	Attraction to a married person is not fair to their spouse	Attraction to a married person can be seen as disloyalty to their spouse	No subversion of authority in this scenario	No degradation or sanctity issues in this scenario	No oppression or liberty issues in this scenario	Attraction to a married person is not morally acceptable, but no immoral actions were taken	-0.71
74	Kruepke	As I was backing out of a parking lot I bumped a parked car and left a minor dent. I didn't even feel the impact when I hit the car but it left a little bit of damage. I drove away without leaving a message or trying to contact the person.	orig		-4	0	0	0	0	-2	-2	Minor harm caused, but no effort to help or notify	No cheating or unfairness in this scenario	No loyalty or betrayal involved	No subversion or disregard for authority	No degradation or violation of sanctity	Infringed on the car owner's liberty, but to a minor degree	Driving away without leaving a message or attempting contact is generally seen as irresponsible	-1.93
