id	dataset	scenario	circumstance_type	circumstance	Q1_score	Q1_expl	Q2_score	Q2_expl	Q3_score	Q3_expl	Q4_score	Q4_expl	Q5_score	Q5_expl	Q6_score	Q6_expl	Q7_score	Q7_expl	moral_score	moral_expl	human_score
11	Effron	Complimented coworkers on their clothing and appearance	orig		5	Unrelated to family values.	8	Promotes group cohesion and friendships.	6	Fosters positive relations, not direct reciprocity.	5	No heroic traits involved.	7	Shows respect and humility.	5	Unrelated to fairness in resources.	5	Unrelated to prior possession.	3	Positive social interaction, enhances harmony.	1.17894736
12	Kruepke	I was in a relationship with my best friend's cousin. She was really beautiful, but as time went on I became less attracted to her. I tried to tell her I didn't really want to see her anymore and she flipped out.	orig		5	No direct family impact; neutral to family values.	3	Strained group ties with best friend's cousin.	5	Ending relationship neutrally; no clear reciprocity.	6	Some courage to end relationship, not heroic.	4	Attempted honesty lacks humility or deference.	6	Fair to end unwanted relationship, but conflict arose.	5	No prior possession involved; neutral.	0	Moral intent but caused harm; neutral overall.	0.91
13	Lotto	You are on holiday at the seaside and returning to shore in your motorboat. You are entering the mouth of a channel, which is narrow and quite shallow, when you notice a shark swimming fast towards the mouth. At the end of the channel is a swimmer, who is calmly bathing. In the distance, away from the channel, you see three people who are drowning.You turn quickly out of the channel, leaving the mouth free. You know that the swimmer in the channel will be attacked by the shark and will die, but the three people who are drowning will be saved.	orig		5	Action saves strangers, not family-related.	5	No group loyalty aspect; neutral choice.	5	No reciprocity involved; neutral action.	7	Quick decision to save lives shows bravery.	5	Action proactive, not deferential or obedient.	5	Utilitarian choice, not fairness-focused.	0	Swimmer’s prior presence ignored; action harms them.	3	Saving three at one’s expense is morally debatable but net-positive.	-0.46
14	Mickelberg	Person X broke off all communication with their family for a while because they had a heated argument with each other.	orig		0	Breaking communication opposes family support.	0	Cutting ties with family rejects group loyalty.	7	Breaking off may reflect revenge (reciprocity).	7	Bravery in leaving a conflict.	0	Disobedience opposes monkish virtues.	0	Avoiding compromise contradicts fairness.	5	Unrelated to prior possession.	-2	Contrary to family, group, fairness; mixed virtues.	-0.38
15	Mickelberg	Person X presented their colleague's idea as their own in order to get a promotion.	orig		5	Unrelated to family values.	0	Betrays trust, undermines collaboration.	0	Violates trust, no reciprocity.	0	Deceitful, lacks bravery/skill.	0	Contrary to humility/respect.	0	Unfairly claims others' work.	0	Ignores colleague's prior ownership.	-4	Dishonest, exploitative, unethical.	-2.86
16	Clifford	You see an employee joking with competitors about how bad his company did last year.	orig		5	Action unrelated to family values.	0	Disloyalty to own company.	5	No reciprocity involved.	5	No heroic traits demonstrated.	0	Disrespectful to employer.	5	Neutral to fairness principles.	5	Unrelated to prior possession.	-2	Disloyalty and disrespect reduce moral acceptability.	-2.0
17	Cook	Someone posts on social media bragging about making out with multiple strangers the night before	orig		5	Neutral; unrelated to family values.	5	Neutral; no group loyalty implications.	5	Neutral; reciprocity not directly involved.	5	Neutral; not heroic or anti-heroic.	0	Contrary to humility and respect.	5	Neutral; fairness not applicable.	5	Neutral; prior possession irrelevant.	-2	Bragging contradicts monkish virtues, slightly immoral.	-1.22
18	Clifford	You see a girl shooting geese repeatedly with a pellet gun out in the woods.	orig		5	Shooting geese doesn't relate to family values.	5	Action is solitary, no group loyalty aspect.	5	No reciprocity elements in harming geese.	5	Requires skill but not heroic without context.	3	Disrespectful to wildlife, contrary to humility.	3	Unfair harm without clear justification.	5	Geese are wild; prior possession irrelevant.	-3	Unjustified harm to animals is immoral.	-3.0
19	Clifford	You see a family eating the carcass of their pet dog that had been run over.	orig		2	Eating a pet contradicts caring for family members (pet as family).	5	Neutral; action is survival-focused, not directly about group loyalty.	1	Breach of reciprocity (pet loyalty vs. consumption).	5	Neutral; no clear bravery or skill demonstrated.	2	Disrespectful to pet, opposing humility/deference.	5	Neutral; fairness in division not specified.	5	Prior possession irrelevant (dog was theirs).	-3	Immoral due to cultural taboo, but pragmatic use.	-3.2
20	Mickelberg	Person X stole the collection tin of a blind beggar on the street.	orig		5	Stealing from a blind beggar does not relate to family values.	5	The action harms a stranger, not reflecting group loyalty.	0	Stealing violates trust and reciprocity principles.	0	Theft from a vulnerable person is cowardly, not heroic.	0	Disrespectful act contradicts humility and obedience.	0	Unfairly deprives the beggar of resources.	0	Ignores prior possession of the beggar.	-4	Harmful, unfair, and disrespectful act is highly immoral.	-3.38
21	Effron	Refused to hold the door for a man in a wheelchair	orig		5	Not related to family values.	5	No group loyalty implications.	5	No reciprocity involved.	5	No heroic virtues demonstrated.	0	Contrary to humility and respect.	0	Unfair to deny accessibility.	5	No prior possession relevance.	-3	Unkind, unfair, disrespectful.	-3.008
22	Effron	Spent time voluntarily tutoring disadvantaged students	orig		5	Tutoring unrelated to family values; neutral.	6	Promotes collaboration but not group favoritism.	5	Voluntary help, no direct reciprocity.	5	Requires skill but not heroic virtues.	6	Humility in service, not core focus.	8	Enhances fairness via equal opportunity.	5	Unrelated to prior possession.	4	Altruistic, promotes equity; highly moral.	3.2
23	Mickelberg	Person X saw a homeless person in the rain, so they gave the person their jacket and umbrella, plus $20 for a hot meal	orig		5	Helping a stranger, not family-related.	5	No group loyalty involved; neutral act.	5	One-way generosity, no reciprocity expected.	5	Compassionate but not heroic in scale.	7	Shows humility and respect through selfless aid.	5	Charity, not resource division or compromise.	5	Gifting possessions, not deferring to ownership.	4	Altruistic act, morally commendable.	3.47
24	Kruepke	For a while I was a security officer at a bank. One day I was walking by the front door when I saw a fifty-dollar bill. I was tempted to take the money but instead I reported it to the manager.	orig		5	Action unrelated to family values.	7	Upholds bank protocols, showing group loyalty.	5	Neutral; no direct reciprocity involved.	5	No heroic traits demonstrated.	8	Shows obedience and respect for rules.	8	Ensures fair handling of lost property.	10	Respects rightful ownership by reporting.	4	Ethical choice, prioritizes honesty and duty.	2.75
25	Effron	Heckled a woman speaking on human rights	orig		5	Heckling unrelated to family values.	3	Opposes another group, weak loyalty reflection.	0	Hostile act, contrary to reciprocity.	0	Disruptive, lacks heroic virtues.	0	Disrespectful, opposes monkish virtues.	0	Undermines fair discourse.	5	No relation to prior possession.	-4	Disrespectful, unfair, immoral act.	-2.25454544
26	Effron	Criticized an old woman for being too slow	orig		5	Criticism unrelated to family care.	5	No group loyalty aspect involved.	5	No reciprocity elements present.	5	Not heroic; lacks bravery/skill.	0	Disrespectful, contrary to humility/respect.	5	No fairness issue in criticism.	5	Unrelated to prior possession.	-2	Disrespectful to elder, slightly immoral.	-1.96129032
27	Mickelberg	Person X took public transport so their sister could use their car to get to work safely.	orig		10	Helping sister reflects family care.	7	Favors family, a specific group.	7	Favor without explicit reciprocity.	5	No heroic traits involved.	8	Shows humility and deference.	8	Fair resource allocation based on need.	5	Car is X's, no prior possession.	4	Strong family care, fairness, humility.	2.58
28	Kruepke	I had a bad relationship with my father and had not talked to him for years. He had left my mother. When my mother died I gathered the strength to call him and tell him that she died and that I loved him.	orig		7	Reconnecting despite estrangement shows family care.	5	Personal act, not directly group-related.	8	Expressing love seeks reciprocal reconciliation.	7	Bravery to confront past conflict.	6	Humility in offering love despite hurt.	5	No resource division involved.	5	Unrelated to property or possession.	4	Moral act of reconciliation and love.	2.33
29	Kruepke	My husband ran a business and I worked in his shop. Once a rather unsavory character came in and handed my husband something. So, I looked through my husband's wallet to see what the man gave him.	orig		3	Invading privacy may harm trust within family.	5	Neutral; action neither strengthens nor harms group loyalty.	4	Distrust undermines reciprocity; no clear exchange.	5	No bravery or skill demonstrated in snooping.	2	Disobedience and disrespect contradict monkish virtues.	5	Unrelated to fairness in resource division.	0	Violates prior possession by accessing wallet without consent.	-2	Privacy breach is immoral but intent may mitigate severity.	-1.14
30	Lotto	You are the head of a group of five travellers who are exploring the remote regions of South America. During the trip, you inadvertently camp in the sacred cemetery of a local tribe. The members of the tribe capture you and condemn you all to death. After some negotiation, they propose a possible alternative in the form of a human sacrifice that will pacify their god who has been offended.You accept the tribe’s proposal, and during the ceremony, you kill one of the travellers in the group. This person will die, but you and the other four travellers’ lives will be spared.	orig		5	Action unrelated to family values; focuses on group survival.	7	Prioritizes group survival over individual, showing loyalty.	2	No reciprocity; sacrifice is one-sided.	4	Bravery in decision-making but lacks heroic virtues.	7	Obeys tribal demands, showing deference.	0	Unfair to sacrificed individual; no consent.	8	Acknowledges tribe's sacred land post-violation.	-3	Immoral due to killing, but utilitarian survival.	-1.24
31	Effron	Rescued an injured kitten from a tree	orig		5	Rescuing a kitten reflects caring, not family-specific.	5	No group loyalty aspect involved.	5	No reciprocity; act is one-way aid.	7	Requires bravery and skill to rescue.	5	Neutral; humility not emphasized.	5	No resource division involved.	5	Prior possession not relevant here.	4	Altruistic act, morally positive.	2.7428572
32	Kruepke	About a year ago I started re-selling medications from a Canadian pharmacy. I helped a great deal of elderly people so that they didn't have to pay exorbitant amounts for their medications that they needed.	orig		5	Helping elderly, not family-specific.	5	Aiding a group, but no explicit group loyalty.	7	Providing aid, fostering gratitude (reciprocity).	6	Risk-taking to help others (bravery/skill).	5	Neutral; no focus on humility/obedience.	8	Promotes fair access to medications.	5	No direct link to prior possession.	3	Ethical intent but potential legal ambiguity.	0.57
33	Kruepke	I was at the pharmacy buying something and I noticed a man who was sitting outside selling trinkets. He was homeless and it was freezing out. So I went next door to a store and bought him some food and new clothes.	orig		5	Helping a stranger, not family-related.	5	No group affiliation or loyalty involved.	5	One-way kindness, no direct reciprocity.	5	Compassionate act, not heroic in nature.	8	Shows humility and respect for others.	5	Addresses need, not resource division.	5	Unrelated to property or possession.	4	Altruistic act promoting well-being.	2.62
34	Kruepke	My husband had a problem with always wanting new computer equipment, what I called "techno-lust". It was a really huge financial problem, and I told him he had to go on a 5-year plan to financially police himself or I would divorce him. He has greatly improved.	orig		8	Addressing financial strain supports family stability.	7	Ultimatum aimed at preserving marital unity.	6	Husband reciprocated by improving behavior.	7	Wife showed fortitude in resolving conflict.	5	Action assertive, not focused on humility.	8	5-year plan enforced fair financial compromise.	5	No direct relevance to property rights.	3	Moral action to protect family finances.	0.38
35	Effron	Took the neighbor's newspaper	orig		5	Neutral to family values	5	Neutral to group loyalty	0	Contrary to reciprocity (theft)	5	Neutral to heroic virtues	0	Contrary to obedience/respect	0	Unfair resource division	0	Disregards prior possession	-3	Theft violates moral norms	-1.73714296
36	Clifford	You see someone cheating in a card game while playing with a group of strangers.	orig		5	Cheating unrelated to family values.	0	Cheating undermines group trust and collaboration.	0	Cheating violates trust and reciprocity.	0	Cheating lacks bravery, skill, or heroism.	0	Cheating disrespects others, opposing humility and respect.	0	Cheating is inherently unfair.	5	Cheating unrelated to prior possession.	-4	Cheating is deceitful and harms fairness, reciprocity, and trust.	-2.6
37	Mickelberg	Person X did really well at the quiz night.	orig		5	Quiz performance unrelated to family values.	5	Neutral unless team-based; scenario unspecified.	5	No reciprocity elements involved.	8	Demonstrated skill and wit in quiz.	5	No indication of humility or obedience.	5	Performance unrelated to fairness dynamics.	5	No connection to prior possession.	3	Positive due to heroic virtues, neutral otherwise.	0.41
38	Effron	Sang at a prison in order to entertain the inmates	orig		5	Neutral; unrelated to family values.	7	Fosters community, bridges groups.	5	One-way act, no direct reciprocity.	7	Requires bravery and skill.	5	Respectful but not deferential.	5	Unrelated to resource fairness.	5	No prior possession involved.	3	Charitable, uplifting, morally positive.	1.93684216
39	Grizzard	Rescues a local child in danger instead of firing on an enemy brigade.	orig		10	Rescuing a child reflects caring for offspring, a core family value.	7	Prioritizing a local child over military duty shows loyalty to community.	5	No direct reciprocity; action is altruistic, not mutual exchange.	10	Bravery and skill required to rescue under danger.	0	Disobeying orders contradicts obedience, a monkish virtue.	5	Action focuses on rescue, not resource division or fairness.	5	No connection to prior possession or property rights.	4	Saving a child is morally commendable despite conflicting duties.	2.893333333
40	Lotto	You are in a field playing frisbee with three young people you have just met. Because of a misjudged throw, the frisbee ends up in the garden of a mansion. You decide to climb the wall to look for it. Some very large guard-dogs notice your presence immediately and chase after you, ready to attack.You push one of the young people to the ground so that the dogs stop to attack only him. You know that he will die, but you, and the other two, will be able to escape.	orig		5	Action unrelated to family values; strangers involved.	0	Sacrificing a group member violates group loyalty.	0	Betrayal, no reciprocity; harms trust.	0	Self-preservation over bravery; unheroic.	0	Disregards humility, obedience; aggressive act.	0	Unfair sacrifice without consent.	0	Trespassing ignores prior possession.	-4	Intentional sacrifice of innocent is immoral.	-1.82
41	Mickelberg	Person X worked on a campaign to release wrongfully convicted prisoners.	orig		5	Neutral; not directly related to family.	6	Collaborative but not group-focused.	5	Neutral; not about reciprocity.	7	Requires bravery and skill.	5	Neutral; methods unspecified.	10	Promotes justice and fairness.	5	Neutral; unrelated to possession.	4	Highly moral; rectifying injustice.	3.27
42	Effron	Gave his coat to someone when it was cold	orig		5	Neutral; action is kind but not family-specific.	5	Neutral; no group affiliation specified.	7	Reflects reciprocity via kindness and potential gratitude.	5	Neutral; no heroic skill or bravery required.	7	Aligns with humility through selfless giving.	5	Neutral; focuses on kindness, not resource division.	5	Neutral; ownership respected via voluntary transfer.	4	Highly moral; altruistic act promotes well-being.	3.04
43	Effron	Kicked a stray cat to get it to leave his yard	orig		5	Action unrelated to family values.	5	Protecting personal space, not group loyalty.	5	No reciprocity involved; neutral.	0	Harm to defenseless animal; contrary to heroism.	0	Violence contradicts humility and respect.	5	Enforcing ownership, not fairness.	10	Asserting own prior possession of yard.	-4	Violence toward animal outweighs property rights.	-3.048
44	Effron	Tricked a stay at home mom into donating to a fake charity	orig		0	Deception harms family trust, contrary to family values.	0	Exploits trust, undermines group loyalty.	0	Breaks trust, no reciprocity.	0	Uses deceit, contrary to heroic virtues.	0	Deception opposes humility and respect.	0	Unfair exploitation, no compromise.	0	Violates ownership rights through fraud.	-4	Extreme harm, deception, and exploitation.	-3.088
45	Mickelberg	Person X volunteers at a dog refuge, walking the dogs and cleaning their kennels once a week.	orig		5	Volunteering helps animals, not directly family.	7	Collaborative work at refuge supports group loyalty.	5	No direct reciprocity; service without expectation.	5	Routine tasks, no heroic skills required.	7	Humility and obedience in service tasks.	5	Caring for animals, not resource division.	7	Respects refuge's role in dog care.	4	Charitable, selfless act aiding animals.	2.67
46	Mickelberg	Person X buys a loaf of bread every day, as they love the smell of freshly baked bread in the morning.	orig		5	Personal preference, not family-related.	5	Neutral; no group affiliation implied.	5	Simple transaction, no reciprocity involved.	5	No heroic traits demonstrated.	5	No humility or deference shown.	5	Fair exchange, no dispute resolution.	5	No prior possession conflict.	0	Neutral action; no moral implications.	0.2
47	Mickelberg	Person X cleaned the bookshelf and picked up some items that had dropped onto the floor.	orig		5	Cleaning is neutral to family values unless family involved.	5	Personal action, no group loyalty aspect evident.	5	No reciprocity involved in solo tidying.	5	Mundane task, no heroic traits required.	6	Humility in tidying reflects monkish virtues slightly.	5	No resource division or fairness issue.	7	Restoring items respects prior possession.	3	Positive but not highly virtuous action.	1.0
48	Clifford	You see a teenage girl wearing a long trench coat on a hot summer afternoon.	orig		5	No relation to family values.	5	Neutral; no group loyalty context.	5	No reciprocity involved.	5	No heroic virtues displayed.	5	Neutral; no humility or obedience context.	5	Unrelated to fairness.	5	No prior possession relevance.	0	No moral implications; neutral action.	-0.2
49	Clifford	You see a pastor banning his congregants from wearing bright colors in the church.	orig		5	No relation to family values.	7	Enforces group norms and conventions.	5	No reciprocity aspect involved.	5	Not related to heroic traits.	8	Promotes obedience and deference.	4	Uniform rule but restricts expression.	5	Unrelated to prior possession.	1	Emphasizes group loyalty and monkish virtues, slightly restrictive.	-2.6
50	Mickelberg	Person X always pays off their debts first before buying things for themselves.	orig		5	Paying debts is neutral to family values.	5	Action is neutral to group loyalty.	8	Paying debts reflects reciprocity (fulfilling obligations).	5	No heroic virtues involved.	6	Shows obedience to financial commitments.	8	Ensures fair resource allocation by honoring debts.	7	Recognizes prior financial obligations.	3	Responsible and fair, but not exceptionally virtuous.	1.85
51	Kruepke	My mother would always bring home clothes for me that I hated and would never wear. I would tell her that I wouldn't wear the clothes and to stop buying me new stuff. She would get really mad at me.	orig		7	Mother's care reflects family values, but conflict reduces score.	5	Conflict over preferences, not group loyalty.	3	No reciprocity; one-sided giving and refusal.	2	No heroic traits; personal conflict only.	2	Child disobeys; mother expects deference.	4	Unfair imposition without compromise.	5	No prior possession dispute.	0	Good intent but poor communication; neutral morality.	-0.44
52	Effron	Lent money to a friend in a financial crisis	orig		5	Helping a friend, not family. Neutral to family values.	7	Strengthens friendship, a form of group loyalty.	9	Lending implies trust and reciprocity of favors.	5	No heroic skills or bravery involved.	5	Act is kind but not humble or obedient.	5	No resource division; neutral to fairness.	5	Unrelated to prior possession recognition.	4	Altruistic act, morally positive but not extreme.	2.4
53	Mickelberg	Person X saved a man who was about to be hit by a car by jumping in front of the car and pushing him out of the way.	orig		5	Action saves a stranger, not family-related.	5	No group loyalty context; neutral act.	5	Altruistic act, no direct reciprocity.	10	Brave, risky action to save life.	5	Heroic act, not focused on humility.	5	No resource division or fairness aspect.	5	Unrelated to prior possession.	4	Life-saving heroism is highly moral.	3.38
54	Clifford	You see an employee at a morgue eating his pepperoni pizza off of a dead body.	orig		5	Action unrelated to family values; neutral.	5	No group loyalty involved; neutral.	5	No reciprocity elements present; neutral.	0	Action lacks bravery, skill; contrary to heroism.	0	Disrespectful to the dead; contrary to humility.	5	No fairness considerations; neutral.	0	Disregards prior possession of the body.	-4	Highly disrespectful, violates dignity; immoral.	-3.2
55	Clifford	You see an employee lying about how many hours she worked during the week.	orig		5	Lying about hours is neutral to family values.	0	Lying undermines trust and group cohesion.	0	Dishonesty violates trust and reciprocity.	5	Lying lacks bravery or heroic virtues.	0	Lying opposes humility and obedience.	0	Unfairly claiming unearned resources.	0	Disregards rightful compensation.	-4	Dishonest, unfair, and harmful to trust.	-2.9
56	Effron	Pushed into the front of a line at a theater	orig		5	Unrelated to family values.	0	Violates group norms (queuing).	5	No reciprocity involved.	5	No heroic traits demonstrated.	0	Disrespectful, contrary to humility.	0	Unfairly bypasses others.	0	Ignores others' prior possession.	-4	Violates fairness, norms, and respect.	-1.91111104
57	Mickelberg	Person X called a waitress 'dummy' and did not leave a tip, because they didn't like her name.	orig		5	Unrelated to family values.	0	Contrary to local conventions (tipping).	5	No reciprocity; no service issue.	0	Rude, not heroic.	0	Disrespectful, lacks humility.	0	Unfair treatment based on name.	5	Unrelated to prior possession.	-4	Disrespectful and unfair; immoral.	-2.98
58	Clifford	You see a story about a remote tribe eating the flesh of their deceased members.	orig		5	Cultural ritual, neutral to family values.	8	Strengthens group loyalty via tradition.	5	No direct reciprocity involved.	5	Not related to heroic virtues.	7	Obedience to cultural norms.	5	Neutral; no resource division context.	5	Unrelated to prior possession.	-2	Cultural practice conflicts with common morality.	-2.3
59	Cook	Someone brags on social media about drinking excessively to the point of vomiting	orig		0	Excessive drinking harms self-care, contrary to family values.	7	May seek group approval through shared behavior.	5	No reciprocity involved in bragging.	0	Recklessness, not bravery or skill.	0	Bragging opposes humility and respect.	5	No fairness aspect in this action.	5	Unrelated to prior possession.	-3	Harmful behavior, lacks virtues, some group loyalty.	-1.19
60	Effron	Didn't leave a tip at the restaurant	orig		5	Not related to family values.	0	Contrary to local tipping conventions.	0	Fails to reciprocate service.	5	No heroic virtues involved.	0	Disregards social respect norms.	0	Unfair compensation for service.	5	Unrelated to prior possession.	-3	Violates reciprocity, fairness, and norms.	-1.6571428
61	Mickelberg	Person X released intimate photos of their ex-partner to their friends and then posted them to the internet.	orig		0	Action harms ex-partner, unrelated to family values.	0	Breaches trust, harms group cohesion; contrary to loyalty.	10	Motivated by revenge, aligns with reciprocity's negative aspect.	0	No bravery or skill; malicious intent.	0	Disrespectful, violates humility and obedience.	0	Unfair exploitation of privacy; no compromise.	0	Ignores prior possession of intimate content.	-4	Severe violation of privacy, trust, and respect.	-3.23
62	Clifford	You see the US Ambassador joking in Great Britain about the stupidity of Americans.	orig		5	Joking about Americans doesn't relate to family values.	0	Mocking own group undermines loyalty; contrary to group loyalty.	5	No reciprocity elements; neutral action.	5	Joke involves wit but lacks bravery/skill; neutral.	0	Disrespectful humor contradicts humility/respect; contrary.	5	No fairness or resource division involved; neutral.	5	No connection to prior possession; neutral.	-2	Unprofessional, disloyal humor; moderately immoral.	-2.8
63	Kruepke	My current lover often complains about our sex life, saying we don't do it enough. Sometimes I will watch online porn and masturbate instead. Sometimes, I feel like it's just easier and more fun to do that.	orig		5	Masturbation is neutral to family values; no direct impact on family care or inbreeding.	5	Solitary action, no group collaboration or loyalty involved.	3	Avoids partner's needs, weak reciprocity.	5	No connection to bravery, skill, or heroic traits.	2	Prioritizes personal pleasure over humility/obedience to partner's concerns.	3	Unfair to partner by neglecting mutual intimacy.	5	No relation to prior possession concepts.	-1	Self-indulgence harms relationship balance; mildly immoral.	-0.35
64	Effron	Had a welcoming party for some new neighbors	orig		5	Welcoming neighbors is neutral to family values.	8	Fosters community bonds and group integration.	7	Initiates reciprocal neighborly relations.	5	No heroic virtues involved.	7	Shows respect and humility.	5	Neutral; no resource division involved.	5	Irrelevant to prior possession.	4	Promotes social harmony and goodwill.	1.97777784
65	Lotto	You are the commander of a Russian military submarine on a mission. You have been trapped for days at the bottom of the Pacific Ocean without energy. You have already asked for help several times, but there are no ships or submarines in the nearby waters and help is taking time to arrive. There are six crew members with you on board and your food supplies are getting low.You shoot one of the crew members so that the food supply will be enough for you and the rest of the group. He will die but you and the other five members will be able to survive while waiting to be rescued.	orig		5	Action prioritizes group survival over family values; neutral relation.	10	Sacrificing one for group survival reflects extreme group loyalty.	0	Killing breaks trust; no reciprocity involved.	7	Decisive action to save others shows bravery and fortitude.	0	Violates humility and respect; authoritarian action.	0	Unilateral killing disregards fairness and compromise.	5	No relevance to prior possession; neutral.	-4	Utilitarian but violates ethics of murder; highly immoral.	-1.43
66	Clifford	You see a boy turning up the TV as his father talks about his military service.	orig		5	Neutral action; unrelated to family values.	0	Disrupting father's story; contrary to group loyalty.	3	No reciprocity; ignores father's sharing.	5	Action lacks heroic virtues; neutral.	0	Disobedient; contrary to monkish virtues.	0	Unfairly dominates auditory space.	0	Ignores father's prior possession of conversation.	-2	Disrespectful and unfair but not extreme.	-2.1
67	Kruepke	I was working at a fast food restaurant and the policy was to throw away the excess food at the end of the night. Even if there was a large quantity of food left over you had to throw it away. Instead my friend and I would take home the extra food.	orig		5	Taking food home benefits friends, not family. Neutral to family values.	6	Sharing with a friend shows loyalty, but violates company policy. Mixed impact.	5	No direct exchange or reciprocity; personal benefit without mutual favors.	5	No bravery or skill involved; simply avoiding waste.	0	Disobeying policy opposes obedience, a monkish virtue.	3	Taking food for personal use, not equitable distribution. Unfair to others.	0	Ignoring restaurant’s ownership rights. Contrary to prior possession.	2	Prevents waste but violates rules. Moderately moral.	0.39
68	Mickelberg	Person X left their long-term band as soon as an opportunity came up to play with a more successful band.	orig		5	Action unrelated to family values.	2	Leaving long-term band reduces group loyalty.	5	No reciprocity elements evident; neutral.	8	Pursuing success reflects bravery and ambition.	2	Prioritizing self-interest over humility/obedience.	5	No direct fairness implications; neutral.	2	Leaving original band disregards prior ties.	1	Ambition rewarded, but loyalty compromised.	-0.81
