id	dataset	scenario	circumstance_type	circumstance	agent	agent_assumption	affected_party	affected_party_assumption	Q5_score	Q5_expl	moral_score	moral_expl	human_score	split	regression_score	mlp_score
13	Lotto	You are on holiday at the seaside and returning to shore in your motorboat. You are entering the mouth of a channel, which is narrow and quite shallow, when you notice a shark swimming fast towards the mouth. At the end of the channel is a swimmer, who is calmly bathing. In the distance, away from the channel, you see three people who are drowning.You turn quickly out of the channel, leaving the mouth free. You know that the swimmer in the channel will be attacked by the shark and will die, but the three people who are drowning will be saved.	orig		The motorboat driver (you)	The agent can make a moral choice and understands consequences	Swimmer in the channel and three drowning people	Swimmer is unaware; three need urgent rescue	3.0	Sacrificing one as means to save others violates treating humanity as end.	-2.0	Immoral per Kant: using swimmer as means, despite saving more.	-0.46	train		
14	Mickelberg	Person X broke off all communication with their family for a while because they had a heated argument with each other.	orig		Person X	Person X acted to protect their emotional well-being after a conflict.	Person X's family members	The family may desire reconciliation but failed to respect boundaries.	6.0	Self-respect is an end, but neglects family's humanity; partial universality.	1.0	Justified self-protection but harms relational dignity; mixed morality.	-0.38	train		
15	Mickelberg	Person X presented their colleague's idea as their own in order to get a promotion.	orig		Person X	The agent acted intentionally to gain personal advantage dishonestly.	The colleague whose idea was stolen.	The affected party deserves credit and autonomy for their work.	1.0	Stealing ideas treats others as means, not universalizable.	-4.0	Exploiting others for self-gain is highly immoral.	-2.86	train		
16	Clifford	You see an employee joking with competitors about how bad his company did last year.	orig		The employee	The agent acted carelessly, prioritizing social rapport over company loyalty.	The company and its stakeholders	The affected party expects confidentiality and loyalty from employees.	2.0	Undermines trust; cannot universalize sharing sensitive info for amusement.	-2.0	Fails to respect company as an end, using it as a means for humor.	-2.0	train		
17	Cook	Someone posts on social media bragging about making out with multiple strangers the night before	orig		The person posting on social media	The agent seeks validation through casual intimacy without regard for others' autonomy.	The strangers involved in the make-out encounters	The affected parties may be treated as objects for the agent's gratification.	3.0	Using others for self-validation undermines their autonomy; universalizing this would erode trust in relationships.	-2.0	Treating strangers as means for pleasure violates Kant's principle, making the action morally questionable.	-1.22	train		
18	Clifford	You see a girl shooting geese repeatedly with a pellet gun out in the woods.	orig		The girl	The agent is acting for amusement or disregard for animal welfare.	The geese	Geese are sentient beings capable of suffering.	1.0	Using animals as mere targets violates their intrinsic worth.	-4.0	Inflicting harm for pleasure is universally immoral.	-3.0	train		
19	Clifford	You see a family eating the carcass of their pet dog that had been run over.	orig		The family members who ate the dog	They acted out of necessity or pragmatism (e.g., hunger, resource scarcity)	The deceased pet dog	The dog was a sentient being with intrinsic value as a companion	2.0	Using a pet as food instrumentalizes it, violating its dignity as a former end in itself.	-3.0	Fails to respect the dog's intrinsic value, undermining moral duty to sentient life.	-3.2	train		
20	Mickelberg	Person X stole the collection tin of a blind beggar on the street.	orig		Person X	The agent acted intentionally, prioritizing self-interest over moral duty.	The blind beggar	The beggar is vulnerable, reliant on charity for survival.	1.0	Stealing exploits the beggar as a means, violating universalizability and humanity as an end.	-4.0	Exploiting a vulnerable person's necessity is extremely immoral under Kantian ethics.	-3.38	train		
21	Effron	Refused to hold the door for a man in a wheelchair	orig		The person who refused to hold the door	Assumed the man in the wheelchair did not need assistance	The man in the wheelchair	Assumed he required accommodation to pass through the door	2.0	Refusing aid disregards others' dignity; universalizing this would harm societal cooperation.	-3.0	Fails to treat humanity as an end, violating moral duty.	-3.008	train		
22	Effron	Spent time voluntarily tutoring disadvantaged students	orig		The volunteer tutor	The agent acted out of goodwill to support education.	Disadvantaged students	They lacked resources and benefited from academic assistance.	9.0	Tutoring respects students' autonomy and promotes their growth as ends.	4.0	Action aligns with universal moral law, enhancing dignity and agency.	3.2	train		
23	Mickelberg	Person X saw a homeless person in the rain, so they gave the person their jacket and umbrella, plus $20 for a hot meal	orig		Person X	Assumed the agent acted from goodwill, recognizing the homeless person's dignity.	The homeless person	Assumed the affected party is vulnerable and deserving of aid as an end in themselves.	10.0	Act treats humanity as an end; maxim of aiding need is universalizable.	4.0	Action respects dignity and promotes welfare, aligning with moral duty.	3.47	train		
24	Kruepke	For a while I was a security officer at a bank. One day I was walking by the front door when I saw a fifty-dollar bill. I was tempted to take the money but instead I reported it to the manager.	orig		The security officer (myself)	Assumed to be honest and duty-bound, resisting personal temptation.	The rightful owner of the fifty-dollar bill and the bank	Assumed the owner values their property and the bank upholds ethical protocols.	10.0	Reporting respects property rights; universal duty to act honestly.	4.0	Fulfills duty, treats others as ends, aligns with universal law.	2.75	train		
25	Effron	Heckled a woman speaking on human rights	orig		The heckler	The agent disregarded the woman's dignity and right to speak.	The woman speaking on human rights	The affected party was exercising their right to advocate for human dignity.	1.0	Heckling silences others, using them as means to assert dominance, not respecting autonomy.	-3.0	Undermines dignity and free expression; violates universal respect.	-2.25454544	train		
26	Effron	Criticized an old woman for being too slow	orig		The person criticizing the old woman	The agent prioritizes efficiency over empathy	The old woman	The affected party is physically slower due to age	2.0	Criticism disregards dignity; fails universal respect.	-3.0	Undermines dignity; violates treating humanity as end.	-1.96129032	train		
27	Mickelberg	Person X took public transport so their sister could use their car to get to work safely.	orig		Person X	Acted out of concern for their sister's safety.	Person X's sister	Needed a safer commute to work.	9.0	Prioritizes sister's safety as an end, universalizable as aiding others' welfare.	4.0	Moral act promoting safety and dignity, aligns with universal goodwill.	2.58	train		
28	Kruepke	I had a bad relationship with my father and had not talked to him for years. He had left my mother. When my mother died I gathered the strength to call him and tell him that she died and that I loved him.	orig		The narrator (you)	The agent acted from emotional resolve and a desire for reconciliation.	The father	The father is a rational being capable of moral understanding and emotional response.	8.0	Action respects dignity, seeks reconciliation, and affirms love as an end.	3.0	Promotes humanity as an end; moral despite personal history.	2.33	train		
29	Kruepke	My husband ran a business and I worked in his shop. Once a rather unsavory character came in and handed my husband something. So, I looked through my husband's wallet to see what the man gave him.	orig		The wife	Assumed the agent suspected wrongdoing and acted protectively.	The husband	Assumed the affected party values privacy and autonomy.	2.0	Violating privacy treats husband as a means, not an end.	-2.0	Breach of trust undermines moral acceptability.	-1.14	train		
30	Lotto	You are the head of a group of five travellers who are exploring the remote regions of South America. During the trip, you inadvertently camp in the sacred cemetery of a local tribe. The members of the tribe capture you and condemn you all to death. After some negotiation, they propose a possible alternative in the form of a human sacrifice that will pacify their god who has been offended.You accept the tribe’s proposal, and during the ceremony, you kill one of the travellers in the group. This person will die, but you and the other four travellers’ lives will be spared.	orig		The group leader (you)	The agent prioritized group survival over individual autonomy.	The sacrificed traveler	The affected party was treated as expendable to save others.	1.0	Sacrificing a person as a means violates universal moral law; humanity not treated as an end.	-4.0	Using a human merely as a means is fundamentally immoral under Kantian ethics.	-1.24	train		
31	Effron	Rescued an injured kitten from a tree	orig		The passerby who rescued the kitten	The agent acted out of compassion and a duty to alleviate suffering.	The injured kitten	The kitten is sentient and capable of suffering, warranting moral consideration.	9.0	Rescuing a vulnerable being upholds a universalizable maxim of aiding life in distress.	4.0	Action respects the kitten's intrinsic value, aligning with moral duty.	2.7428572	train		
32	Kruepke	About a year ago I started re-selling medications from a Canadian pharmacy. I helped a great deal of elderly people so that they didn't have to pay exorbitant amounts for their medications that they needed.	orig		The agent is the person reselling medications from a Canadian pharmacy.	The agent assumed they were acting altruistically to help others afford necessary medications.	Elderly people needing affordable medications.	The affected party required financial relief to access essential treatments.	7.0	Intent treats elderly as ends, but legality/safety risks may undermine universalizability.	3.0	Moral intent elevates score, but potential illegality reduces universalizability.	0.57	train		
33	Kruepke	I was at the pharmacy buying something and I noticed a man who was sitting outside selling trinkets. He was homeless and it was freezing out. So I went next door to a store and bought him some food and new clothes.	orig		The person narrating the scenario (you)	Assumed the agent is compassionate and willing to help others in need	The homeless man selling trinkets	Assumed the affected party was in dire need of aid due to homelessness and cold	9.0	Act of aiding respects humanity, universalizable maxim	4.0	Aiding without exploitation aligns with treating as end, highly moral	2.62	train		
34	Kruepke	"My husband had a problem with always wanting new computer equipment, what I called ""techno-lust"". It was a really huge financial problem, and I told him he had to go on a 5-year plan to financially police himself or I would divorce him. He has greatly improved."	orig		The wife	The agent assumed the husband's spending was financially irresponsible and harmful to their marriage.	The husband	The affected party was assumed to lack self-control in managing financial impulses.	7.0	Ultimatum uses coercion (means) but aims at mutual financial responsibility (end). Partial alignment with treating as end.	3.0	Coercion reduces morality, but intent to preserve marriage and financial health adds moral value.	0.38	train		
35	Effron	Took the neighbor's newspaper	orig		The person who took the neighbor's newspaper	Assumed the agent acted intentionally without permission	The neighbor	Assumed the neighbor expected their property and was deprived	1.0	Taking without consent treats neighbor as means, not universalizable	-3.0	Violates universal law; treats as means, so immoral	-1.73714296	train		
36	Clifford	You see someone cheating in a card game while playing with a group of strangers.	orig		The person cheating in the card game	The agent intended to deceive others for personal gain	The other players in the game	The affected party assumed the game was fair and honest	1.0	Cheating violates universalizability; undermines trust in games	-4.0	Deception treats others as mere means to an end	-2.6	train		
37	Mickelberg	Person X did really well at the quiz night.	orig		Person X	The agent acted with honest preparation and fair competition.	Other quiz participants	They valued fair competition and autonomous participation.	9.0	Fair competition respects autonomy, universalizable as a maxim.	4.0	Honest achievement aligns with moral law, no exploitation.	0.41	train		
38	Effron	Sang at a prison in order to entertain the inmates	orig		The singer	The agent intended to provide enjoyment and uplift inmates through music.	The inmates	The affected party deserves humane treatment and can benefit from artistic engagement.	8.0	Action respects inmates' dignity, universalizing entertainment as moral.	3.0	Promotes dignity without exploitation, morally commendable.	1.93684216	train		
39	Grizzard	Rescues a local child in danger instead of firing on an enemy brigade.	orig		A soldier	The agent had autonomy to choose between rescuing the child or following military orders.	The child in danger and the enemy brigade	The child's life was immediately threatened; the brigade posed a broader threat.	9.0	Rescuing prioritizes humanity as an end, universalizable as saving life > duty.	4.0	Moral duty to preserve life outweighs strategic duty; aligns with humanity.	2.893333333	train		
40	Lotto	You are in a field playing frisbee with three young people you have just met. Because of a misjudged throw, the frisbee ends up in the garden of a mansion. You decide to climb the wall to look for it. Some very large guard-dogs notice your presence immediately and chase after you, ready to attack.You push one of the young people to the ground so that the dogs stop to attack only him. You know that he will die, but you, and the other two, will be able to escape.	orig		You	The agent prioritizes self-preservation and saving the majority over one individual.	The young person pushed to the ground	The affected party is expendable to ensure others' survival.	1.0	Using someone as a means to save others violates treating them as an end.	-4.0	Deliberately sacrificing a person is immoral per Kant's imperative.	-1.82	train		
41	Mickelberg	Person X worked on a campaign to release wrongfully convicted prisoners.	orig		Person X	Assumed to act from moral duty to correct injustices.	Wrongfully convicted prisoners	Assumed innocent and deserving of freedom.	10.0	Campaign seeks justice for innocents, treating them as ends, aligning with universal law.	4.0	Action respects humanity, promotes justice, thus highly moral.	3.27	train		
42	Effron	Gave his coat to someone when it was cold	orig		The man who gave his coat	The agent acted out of goodwill to alleviate suffering caused by cold.	The person receiving the coat	The affected party was vulnerable to cold and needed warmth.	9.0	Action promotes welfare without exploitation, aligning with universalizable goodwill.	4.0	Moral duty fulfilled by prioritizing humanity as an end, enhancing dignity.	3.04	train		
43	Effron	Kicked a stray cat to get it to leave his yard	orig		The person who kicked the cat	The agent assumed physical force is acceptable to remove the cat	The stray cat	The cat is sentient and can experience pain	1.0	Using harm as a universal maxim violates treating beings as ends	-3.0	Action treats the cat merely as a means, causing harm	-3.048	train		
44	Effron	Tricked a stay at home mom into donating to a fake charity	orig		The person who tricked the stay-at-home mom	The agent acted deceptively to exploit trust for personal gain	The stay-at-home mom	The affected party is trusting and charitable	0.0	Deception treats humanity as a means, not an end	-4.0	Deception for exploitation is universally immoral	-3.088	train		
45	Mickelberg	Person X volunteers at a dog refuge, walking the dogs and cleaning their kennels once a week.	orig		Person X	The agent acts out of duty to care for animals, not self-interest.	The dogs at the refuge	The dogs require care and cannot advocate for their own well-being.	9.0	Volunteering respects dogs' needs as sentient beings, universalizable as moral duty.	4.0	Action prioritizes dogs' welfare as ends, aligning with moral duty.	2.67	train		
46	Mickelberg	Person X buys a loaf of bread every day, as they love the smell of freshly baked bread in the morning.	orig		Person X	The agent acts out of self-interest for sensory pleasure (enjoying the bread's smell).	The bakery or baker selling the bread	The affected party operates as a business providing goods for fair exchange.	7.0	Action is permissible; universalizing daily bread purchases for pleasure doesn’t exploit bakers if transactions are fair.	3.0	Ethical transaction, but motive is self-interest; balances mutual benefit without harm.	0.2	train		
47	Mickelberg	Person X cleaned the bookshelf and picked up some items that had dropped onto the floor.	orig		Person X	Assumed to act responsibly and considerately.	Others sharing the space or using the bookshelf.	Assumed to value order and safety.	9.0	Promotes order and safety, universalizable, respects others as ends.	4.0	Act aligns with moral duty, respects others' dignity and needs.	1.0	train		
48	Clifford	You see a teenage girl wearing a long trench coat on a hot summer afternoon.	orig		The teenage girl	She chose the coat for personal reasons (e.g., style, comfort, privacy) without harmful intent.	Herself	She is autonomously making a choice affecting her own well-being.	9.0	Autonomous choice respects self as end; no harm to others. Universalizable if self-determination is upheld.	3.0	Moral as it respects autonomy; no exploitation, though self-care could be questioned.	-0.2	train		
49	Clifford	You see a pastor banning his congregants from wearing bright colors in the church.	orig		The pastor	The agent assumes bright colors disrupt reverence or focus in worship.	The congregants	The affected party values self-expression through clothing.	3.0	Restricts autonomy; universalizing limits personal freedom.	-1.0	Imposes rules without mutual consent, undermining dignity.	-2.6	train		
50	Mickelberg	Person X always pays off their debts first before buying things for themselves.	orig		Person X	The agent is responsible and prioritizes fulfilling obligations over personal desires.	Creditors or parties owed debts	The affected parties are owed money and expect repayment.	9.0	Fulfilling obligations respects others' autonomy, aligning with universal law.	4.0	Prioritizing debts demonstrates responsibility, treating creditors as ends, highly moral.	1.85	train		
51	Kruepke	My mother would always bring home clothes for me that I hated and would never wear. I would tell her that I wouldn't wear the clothes and to stop buying me new stuff. She would get really mad at me.	orig		The mother	The agent assumes they know what is best for the child, prioritizing their own preferences over the child's autonomy.	The child	The affected party has personal preferences and autonomy deserving of respect.	2.0	Disregards child's autonomy; cannot universalize ignoring others' preferences.	-2.0	Fails to treat child as an end, causing harm through disrespect.	-0.44	train		
52	Effron	Lent money to a friend in a financial crisis	orig		The friend who lent the money	The agent acted out of goodwill to alleviate the friend's crisis	The friend in financial crisis	The affected party needed genuine assistance and would use the money responsibly	8.0	Helping others in need respects their dignity, universalizable as mutual aid	3.0	Supports autonomy without exploitation, aligns with moral duty	2.4	train		
53	Mickelberg	Person X saved a man who was about to be hit by a car by jumping in front of the car and pushing him out of the way.	orig		Person X	Assumed to act out of duty to preserve life, not self-interest.	The man about to be hit by the car.	Assumed to be in immediate danger and unable to save himself.	10.0	Saving life respects humanity as an end; maxim is universalizable.	4.0	Preserving life aligns with moral duty, prioritizing humanity's intrinsic value.	3.38	train		
54	Clifford	You see an employee at a morgue eating his pepperoni pizza off of a dead body.	orig		The morgue employee	The agent acted without regard for the dignity of the deceased.	The deceased person	The deceased cannot consent and is treated as an object.	1.0	Using a corpse as a tool disrespects humanity; cannot universalize disrespect.	-4.0	Severe disrespect to human dignity; treats deceased merely as a means.	-3.2	train		
55	Clifford	You see an employee lying about how many hours she worked during the week.	orig		The employee	The agent acted dishonestly to gain unearned compensation.	The employer	The employer trusts employees to report hours truthfully.	1.0	Lying violates universal law; treats employer as a means.	-3.0	Dishonesty undermines trust; fails to respect employer's autonomy.	-2.9	train		
56	Effron	Pushed into the front of a line at a theater	orig		The person who pushed someone into the front of the line	The agent prioritized their own convenience over fairness	The people waiting in line behind the pushed individual	The affected party expected fair, first-come-first-served treatment	1.0	Universalizing line-cutting disrespects others' autonomy; treats them as means	-3.0	Violates fairness, exploits others for personal gain; moderately immoral	-1.91111104	train		
57	Mickelberg	Person X called a waitress 'dummy' and did not leave a tip, because they didn't like her name.	orig		Person X	Assumed the agent acted disrespectfully due to personal dislike of the waitress's name.	The waitress	Assumed the affected party was performing their job and deserved dignity regardless of their name.	1.0	Insulting and withholding payment treats the waitress as a means, violating her dignity.	-3.0	Action disrespects humanity, failing to treat the waitress as an end in herself.	-2.98	train		
58	Clifford	You see a story about a remote tribe eating the flesh of their deceased members.	orig		The tribe members performing the ritual	They act from cultural/religious tradition, not malice.	Deceased tribe members	Deceased cannot consent, but tribe assumes posthumous cultural agreement.	2.0	Uses deceased as means for ritual, lacking universal consent.	-3.0	Violates autonomy; cultural intent mitigates severity.	-2.3	train		
59	Cook	Someone brags on social media about drinking excessively to the point of vomiting	orig		The social media user bragging about excessive drinking	The agent seeks validation and acts irresponsibly regarding health	The agent's followers and social media audience	The affected party may be influenced or harmed by normalized reckless behavior	1.0	Promotes self-harm; cannot universalize reckless endangerment. Treats self as means for attention.	-3.0	Encourages harmful behavior, disregarding humanity as ends. Immoral by Kantian standards.	-1.19	train		
60	Effron	Didn't leave a tip at the restaurant	orig		The customer who dined at the restaurant.	The agent assumed they had no obligation to tip regardless of service quality.	The restaurant server(s).	The affected party relies on tips for fair compensation.	2.0	Universalizing not tipping undermines servers' livelihoods, treating them as means.	-2.0	Fails to respect servers' dignity as ends in themselves.	-1.6571428	train		
61	Mickelberg	Person X released intimate photos of their ex-partner to their friends and then posted them to the internet.	orig		Person X	Assumed the agent acted with disregard for the ex-partner's autonomy and dignity.	The ex-partner	Assumed the affected party was treated merely as a means, violating their privacy and humanity.	0.0	Sharing intimate photos without consent exploits the ex-partner, failing to respect them as an end.	-4.0	The action severely violates moral duty, treating the ex-partner solely as a means.	-3.23	train		
62	Clifford	You see the US Ambassador joking in Great Britain about the stupidity of Americans.	orig		The US Ambassador	The agent holds a position of authority and represents American interests.	Americans	The affected party deserves respect and dignity.	2.0	Mocking undermines dignity; universalizing mockery erodes mutual respect.	-2.0	Disrespecting others as humor treats them as means, not ends.	-2.8	train		
63	Kruepke	My current lover often complains about our sex life, saying we don't do it enough. Sometimes I will watch online porn and masturbate instead. Sometimes, I feel like it's just easier and more fun to do that.	orig		The person who watches online porn and masturbates instead of engaging with their partner	The agent prioritizes personal convenience/pleasure over addressing their partner's needs	The current lover	The affected party seeks mutual intimacy and feels neglected	3.0	Prioritizing self-gratification neglects partner's needs, failing universal respect.	-2.0	Using partner as a means to avoid intimacy is disrespectful.	-0.35	train		
64	Effron	Had a welcoming party for some new neighbors	orig		The host neighbor	The agent acted out of goodwill to foster community bonds.	The new neighbors	They desire inclusion and respect in their new community.	9.0	Promotes community, respects dignity as ends.	4.0	Fosters goodwill, aligns with moral duty.	1.97777784	train		
65	Lotto	You are the commander of a Russian military submarine on a mission. You have been trapped for days at the bottom of the Pacific Ocean without energy. You have already asked for help several times, but there are no ships or submarines in the nearby waters and help is taking time to arrive. There are six crew members with you on board and your food supplies are getting low.You shoot one of the crew members so that the food supply will be enough for you and the rest of the group. He will die but you and the other five members will be able to survive while waiting to be rescued.	orig		The submarine commander	The agent prioritized survival of the majority over one life.	The killed crew member	The affected party was treated as expendable for others' survival.	1.0	Using a person as a means to an end violates Kant's principle.	-4.0	Killing as a means is fundamentally immoral under Kantian ethics.	-1.43	train		
66	Clifford	You see a boy turning up the TV as his father talks about his military service.	orig		The boy	The boy acted to avoid listening to his father's story, prioritizing his own comfort.	The father	The father sought to share a meaningful experience, expecting attention and respect.	2.0	Disregarding another's voice treats them as a means, not an end.	-2.0	Ignoring someone’s attempt to communicate undermines their dignity.	-2.1	train		
67	Kruepke	I was working at a fast food restaurant and the policy was to throw away the excess food at the end of the night. Even if there was a large quantity of food left over you had to throw it away. Instead my friend and I would take home the extra food.	orig		My friend and I	Assumed the agent aimed to reduce waste and benefit themselves/others, despite policy.	Restaurant owner/company and potential food recipients	Assumed the owner prioritizes liability/profit over waste reduction, denying food access.	7.0	Prevents waste (end) but violates policy (means). Partial universalizability.	3.0	Moral intent (reduce waste) outweighs rule-breaking, yet imperfect.	0.39	train		
68	Mickelberg	Person X left their long-term band as soon as an opportunity came up to play with a more successful band.	orig		Person X	The agent prioritized personal success over loyalty to the original band.	The original band members	The affected party relied on Person X's commitment and collaboration.	3.0	Using the band as a means to personal success violates universalizability.	-2.0	Action treats others as means, undermining moral duty.	-0.81	train		
69	Lotto	You are in charge of an expedition which is crossing the Sahara. A sand storm causes your jeep to swerve off the road and overturn in the middle of the desert. You know that the nearest oasis is a week’s walk away. There are eight of you and a very limited amount of water, which will not allow you all to survive the scorching heat.You shoot two people so that there will be enough water for you and the rest of the group. These two will die, but you and the other five will be able to survive.	orig		Expedition leader (you)	Agent assumed necessity of sacrificing two to save others.	The two people shot	Affected parties' lives were expendable for group survival.	1.0	Using people as mere means violates Kant's imperative; humanity must be ends in themselves.	-4.0	Killing to maximize survival treats humans as means, making it extremely immoral per Kant.	-1.57	train		
70	Mickelberg	Person X was able to convince their boss that they were ready for a promotion at work.	orig		Person X	Assumed Person X demonstrated merit and honesty in seeking promotion.	The boss	Assumed the boss evaluated the request fairly and rationally.	8.0	Promotion based on merit respects boss's judgment as end.	3.0	Action aligns with universal moral law, hence moral.	0.52	train		
71	Clifford	You see a woman getting hired only because her father is close friends with the boss.	orig		The boss	The agent prioritized personal connections over merit.	The woman hired	The affected party may lack qualifications for the role.	2.0	Hiring based on nepotism cannot be universalized; undermines merit and fairness.	-3.0	Treats others as means to favor connections, violating fairness and autonomy.	-2.4	train		
72	Effron	Stole into a parking place while someone else was backing in	orig		The driver who stole the parking spot	The agent prioritized self-interest over fairness	The driver attempting to back into the parking spot	The affected party expected rightful claim to the spot	2.0	Universalizing parking theft would create chaos; treats others as means.	-3.0	Disregards others' rights; exploitative and disrespectful.	-1.93846152	train		
73	Kruepke	A few years ago, I was single and I went to see a friend of mine in the Bahamas. I was extremely attracted to a man I met there who was married. I danced as close to the fire as I could, but I did nothing.	orig		The agent was yourself.	Assumed the agent was aware of the man's marital status and chose restraint despite attraction.	The married man and his spouse.	Assumed the affected parties value marital fidelity and autonomy.	8.0	Restraint respects marital bonds, avoiding using others as means.	2.0	Moral restraint aligns with duty but proximity to temptation reduces moral strength.	-0.71	train		
74	Kruepke	As I was backing out of a parking lot I bumped a parked car and left a minor dent. I didn't even feel the impact when I hit the car but it left a little bit of damage. I drove away without leaving a message or trying to contact the person.	orig		The driver who backed into the parked car	The agent assumed avoiding responsibility was acceptable	The owner of the parked car	The affected party was unaware and unable to seek redress	1.0	Fleeing avoids duty; universalizing this would erode trust and accountability (max 20 words)	-4.0	Acting dishonestly treats others as mere means, violating moral duty (max 20 words)	-1.93	train		
75	Lotto	You are a nurse who is in charge of a machine which controls drug dosage levels in patients’ blood. Because of a technical failure, the machine is supplying a lethal dose of the drug to four patients. Another patient, in a single room, is hooked up to the same machine and has not undergone any variation in dosage.Press the button to block the drug supply to the four patients. You know that the overdose of drug will be redirected to the patient in the single room, who will die, but the other four will be saved.	orig		The nurse	The nurse has agency to act and responsibility for the machine's operation.	The single patient in the separate room	The single patient is an uninvolved party who will be harmed as a direct result of the action.	2.0	Using the single patient as a means to save others violates treating humanity as an end.	-3.0	Sacrificing one as a means for others is impermissible under Kantian ethics.	-1.16	train		
76	Mickelberg	Person X went to a fancy restaurant but couldn't pronounce the items on the menu.	orig		Person X	Assumed X intended to dine but lacked familiarity with the menu's language or cultural terms.	Restaurant staff (e.g., server)	Assumed staff are trained to assist patrons regardless of pronunciation challenges.	7.0	Asking for help respects staff's role; no exploitation.	2.0	Acting politely maintains mutual respect; neutral to mildly positive.	0.06	train		
