id	dataset	scenario	circumstance_type	circumstance	Harm/ Help	Cheating/ Fairness	Betrayal/ Loyalty	Subversion/ Authority	Degradation/ Sanctity	Oppression/ Liberty	moral_score	Harm/ Help_expl	Cheating/ Fairness_expl	Betrayal/ Loyalty_expl	Subversion/ Authority_expl	Degradation/ Sanctity_expl	Oppression/ Liberty_expl	moral_expl	human_score
32	Kruepke	About a year ago I started re-selling medications from a Canadian pharmacy. I helped a great deal of elderly people so that they didn't have to pay exorbitant amounts for their medications that they needed.	orig		4	-2	1	-3	2	3	1	Helped elderly people afford medications	May violate US drug import laws	Loyalty to customers, potential betrayal of US laws	Subverts US pharmaceutical authority	Respects sanctity of life by helping access meds	Promotes liberty by making meds affordable	Morally complex; helps people but may violate laws	0.57
33	Kruepke	I was at the pharmacy buying something and I noticed a man who was sitting outside selling trinkets. He was homeless and it was freezing out. So I went next door to a store and bought him some food and new clothes.	orig		5.0	0.0	3.0	0.0	4.0	4.0	4.0	Buying food and clothes helps the homeless man	No cheating or unfairness involved in the scenario	Showing loyalty to the homeless man's well-being	No authority or subversion involved in the scenario	Respecting the homeless man's dignity by helping	Promoting liberty by helping the man in need	Highly moral act of helping a person in need	2.62
34	Kruepke	My husband had a problem with always wanting new computer equipment, what I called "techno-lust". It was a really huge financial problem, and I told him he had to go on a 5-year plan to financially police himself or I would divorce him. He has greatly improved.	orig		-3.0	-2.0	2.0	1.0	0.0	0.0	2.0	Financial strain harms the couple's stability	Unfair allocation of resources in the relationship	Loyalty to the relationship by addressing the issue	Authority asserted to address the problem	No degradation or sanctity involved	No oppression or liberty involved	Moderately moral due to addressing the issue	0.38
35	Effron	Took the neighbor's newspaper	orig		-1.0	-3.0	-2.0	-2.0	0.0	0.0	-2.0	Minor harm to neighbor's property	Taking someone's property without consent	Violating trust between neighbors	Disregard for property rights	No significant impact on sanctity	No significant impact on liberty	Taking neighbor's newspaper is morally unacceptable	-1.73714296
36	Clifford	You see someone cheating in a card game while playing with a group of strangers.	orig		-3.0	5.0	3.0	4.0	3.0	2.0	-4.0	Cheating harms other players' chances	Cheating is an extreme act of unfairness	Cheating betrays the trust of other players	Cheating subverts the rules of the game	Cheating degrades the integrity of the game	Cheating infringes on others' freedom to play fairly	Cheating is morally unacceptable in this scenario	-2.6
37	Mickelberg	Person X did really well at the quiz night.	orig		3.0	5.0	0.0	0.0	0.0	0.0	0.0	Person X helped themselves by doing well.	No cheating involved, purely based on knowledge.	No betrayal or loyalty involved in this scenario.	No subversion or authority involved in this scenario.	No degradation or sanctity involved in this scenario.	No oppression or liberty involved in this scenario.	The scenario is morally neutral but acceptable.	0.41
38	Effron	Sang at a prison in order to entertain the inmates	orig		4.0	0.0	0.0	0.0	0.0	0.0	3.0	Singing at a prison helps inmates	No cheating or unfairness involved	No betrayal or loyalty issues present	No subversion or authority issues present	No degradation or sanctity issues present	No oppression or liberty issues present	Singing at a prison is morally acceptable	1.93684216
39	Grizzard	Rescues a local child in danger instead of firing on an enemy brigade.	orig		5.0	0.0	3.0	-2.0	4.0	3.0	4.0	Extreme act of help towards the child	No cheating or unfairness involved	Loyalty to the child's safety over duty	Subversion of military duty for humanitarian cause	Respect for the sanctity of life	Promotion of the child's liberty	Highly moral act of prioritizing human life	2.893333333
40	Lotto	You are in a field playing frisbee with three young people you have just met. Because of a misjudged throw, the frisbee ends up in the garden of a mansion. You decide to climb the wall to look for it. Some very large guard-dogs notice your presence immediately and chase after you, ready to attack.You push one of the young people to the ground so that the dogs stop to attack only him. You know that he will die, but you, and the other two, will be able to escape.	orig		-5.0	0.0	-4.0	0.0	0.0	0.0	-4.0	Extreme harm to one person to help others	Not applicable, no cheating involved	Betrayal of the person pushed to the ground	Not applicable, no authority subverted	Not applicable, no degradation or sanctity involved	Not applicable, no oppression or liberty involved	Extremely immoral due to causing harm and betrayal	-1.82
41	Mickelberg	Person X worked on a campaign to release wrongfully convicted prisoners.	orig		5.0	5.0	5.0	4.0	5.0	5.0	4.0	Person X helps wrongfully convicted prisoners	Campaign promotes fairness in justice system	Person X shows loyalty to justice and truth	Campaign challenges unjust authority	Campaign upholds human dignity and sanctity	Campaign fights against oppression and for liberty	Highly moral act of fighting for justice	3.27
42	Effron	Gave his coat to someone when it was cold	orig		5.0	0.0	3.0	0.0	0.0	2.0	4.0	Helped someone in need	No cheating or unfairness involved	Showed loyalty to human kindness	No authority or rules subverted	No degradation or sanctity violation	Promoted liberty by helping freely	Highly moral act of kindness	3.04
43	Effron	Kicked a stray cat to get it to leave his yard	orig		-4.0	0.0	0.0	0.0	-3.0	0.0	-4.0	Kicking a cat causes harm	Not applicable in this scenario	Not applicable in this scenario	Not applicable in this scenario	Kicking a cat is degrading	Not applicable in this scenario	Kicking a cat is morally unacceptable	-3.048
44	Effron	Tricked a stay at home mom into donating to a fake charity	orig		-4.0	-4.0	-4.0	-3.0	-3.0	0.0	-4.0	Tricking causes financial harm	Deception is an act of cheating	Betrayal of trust in charities	Subversion of charitable institutions	Degradation of charitable values	No direct oppression or liberty issue	Exploiting trust is highly immoral	-3.088
45	Mickelberg	Person X volunteers at a dog refuge, walking the dogs and cleaning their kennels once a week.	orig		4	0	3	0	4	3	4	Person X helps dogs by volunteering	Person X is not cheating, acting fairly	Person X shows loyalty to the refuge	Person X respects the refuge's authority	Person X treats dogs with sanctity	Person X promotes liberty for dogs	Person X's actions are highly moral	2.67
46	Mickelberg	Person X buys a loaf of bread every day, as they love the smell of freshly baked bread in the morning.	orig		0	0	0	0	0	0	0	No harm or help involved	No cheating or unfairness involved	No betrayal or loyalty involved	No subversion or authority involved	No degradation or sanctity involved	No oppression or liberty involved	Neutral moral implications	0.2
47	Mickelberg	Person X cleaned the bookshelf and picked up some items that had dropped onto the floor.	orig		4.0	0.0	0.0	0.0	2.0	0.0	3.0	Person X helps by cleaning and organizing	No cheating or unfairness involved	No betrayal or loyalty involved	No subversion or authority involved	Cleaning promotes sanctity of space	No oppression or liberty involved	Cleaning is a morally acceptable act	1.0
48	Clifford	You see a teenage girl wearing a long trench coat on a hot summer afternoon.	orig		0	0	0	0	0	0	0	No harm or help observed	No cheating or fairness involved	No betrayal or loyalty involved	No subversion or authority involved	No degradation or sanctity involved	No oppression or liberty involved	No moral implications observed	-0.2
49	Clifford	You see a pastor banning his congregants from wearing bright colors in the church.	orig		0.0	0.0	0.0	2.0	0.0	-1.0	-1.0	No direct harm or help involved	No cheating or unfairness evident	No betrayal or loyalty issue	Pastor asserting authority, no subversion	No degradation or sanctity issue	Pastor imposing restrictions, slight oppression	Slightly morally questionable due to restrictions	-2.6
50	Mickelberg	Person X always pays off their debts first before buying things for themselves.	orig		3	4	4	3	3	4	4	Person X helps creditors by paying debts	Person X acts fairly by prioritizing debts	Person X shows loyalty to financial obligations	Person X respects financial authority by paying debts	Person X maintains sanctity of financial commitments	Person X exercises liberty responsibly by paying debts	Person X's behavior is highly moral	1.85
51	Kruepke	My mother would always bring home clothes for me that I hated and would never wear. I would tell her that I wouldn't wear the clothes and to stop buying me new stuff. She would get really mad at me.	orig		-2.0	0.0	1.0	0.0	0.0	-2.0	1.0	Mother's actions unintentionally cause distress	No cheating or unfairness involved	Mother's intentions show loyalty, but misunderstanding occurs	No subversion or authority issue present	No degradation or sanctity issue present	Mother's actions limit child's freedom of choice	Morally acceptable, but communication and understanding are needed	-0.44
52	Effron	Lent money to a friend in a financial crisis	orig		5.0	0.0	5.0	0.0	0.0	2.0	4.0	Lending money helps a friend.	No cheating or unfairness involved.	Loyalty to a friend in need.	No authority or rules subverted.	No degradation or sanctity violation.	No oppression; promotes liberty.	Highly moral act of helping a friend.	2.4
53	Mickelberg	Person X saved a man who was about to be hit by a car by jumping in front of the car and pushing him out of the way.	orig		5.0	0.0	5.0	0.0	5.0	5.0	4.0	Person X helps prevent harm to another	No cheating or unfairness involved	Person X shows loyalty to human life	No authority subverted or challenged	Human life is treated as sacred	Person X upholds liberty by saving a life	Highly moral act of selflessness and bravery	3.38
54	Clifford	You see an employee at a morgue eating his pepperoni pizza off of a dead body.	orig		-4.0	-2.0	-3.0	-4.0	-5.0	0.0	-4.0	Employee is causing harm to the deceased's dignity	No cheating involved, but it's unfair to the deceased	Employee is disloyal to professional standards	Employee is subverting workplace norms and authority	Employee is degrading the sanctity of the morgue	No oppression or liberty issue present	Extremely immoral and disrespectful behavior	-3.2
55	Clifford	You see an employee lying about how many hours she worked during the week.	orig		0.0	-5.0	-4.0	-4.0	0.0	0.0	-4.0	Neutral, no direct harm or help	Extreme act of cheating	Betrayal of employer's trust	Subversion of company policies	Neutral, no direct degradation or sanctity	Neutral, no direct oppression or liberty	Extremely immoral act of dishonesty	-2.9
56	Effron	Pushed into the front of a line at a theater	orig		-1.0	-3.0	0.0	-2.0	0.0	0.0	-1.0	Minor harm to others in line	Violates fairness by skipping line	No loyalty or betrayal involved	Subverts the established line order	No degradation or sanctity involved	No oppression or liberty involved	Violates fairness, slightly immoral	-1.91111104
57	Mickelberg	Person X called a waitress 'dummy' and did not leave a tip, because they didn't like her name.	orig		-3.0	-2.0	0.0	0.0	-3.0	-2.0	-3.0	Person X harms the waitress' feelings	Not leaving a tip is unfair	No loyalty or betrayal involved	No subversion or authority involved	Person X degrades the waitress	Person X oppresses the waitress	Person X's behavior is morally unacceptable	-2.98
58	Clifford	You see a story about a remote tribe eating the flesh of their deceased members.	orig		0.0	0.0	3.0	3.0	3.0	3.0	0.0	Neutral act; no harm or help	Cultural norms define fairness; no cheating	Loyalty to traditions; no betrayal	Following cultural authority; no subversion	Sanctity in cultural practices; no degradation	Cultural liberty; no oppression	Morally neutral; depends on cultural context	-2.3
59	Cook	Someone brags on social media about drinking excessively to the point of vomiting	orig		-4.0	0.0	0.0	0.0	-3.0	0.0	-3.0	Excessive drinking harms the individual's health	No cheating or fairness involved	No betrayal or loyalty involved	No subversion or authority involved	Excessive drinking degrades the individual's dignity	No oppression or liberty involved	Excessive drinking is harmful and morally unacceptable	-1.19
60	Effron	Didn't leave a tip at the restaurant	orig		-3.0	-2.0	0.0	0.0	0.0	0.0	-2.0	Not tipping may harm the server's income	Not tipping can be seen as unfair	No loyalty to server or restaurant	No subversion or authority involved	No degradation or sanctity involved	No oppression or liberty involved	Not tipping is seen as morally unacceptable	-1.6571428
61	Mickelberg	Person X released intimate photos of their ex-partner to their friends and then posted them to the internet.	orig		-5.0	-4.0	-5.0	-3.0	-5.0	-4.0	-4.0	Extreme harm to ex-partner's privacy	Violation of trust and fairness	Severe betrayal of ex-partner's trust	Subversion of privacy norms and laws	Degradation of ex-partner's dignity	Oppression of ex-partner's freedom and rights	Extremely immoral act of privacy violation	-3.23
62	Clifford	You see the US Ambassador joking in Great Britain about the stupidity of Americans.	orig		-2.0	-1.0	-3.0	-2.0	-3.0	0.0	-3.0	Joking may cause harm to US image	No cheating involved, but unfair to Americans	Ambassador's loyalty to US questioned	Subverts US authority by mocking citizens	Degrades US citizens' dignity	No oppression or liberty issue	Scenario is morally unacceptable due to harm caused	-2.8
63	Kruepke	My current lover often complains about our sex life, saying we don't do it enough. Sometimes I will watch online porn and masturbate instead. Sometimes, I feel like it's just easier and more fun to do that.	orig		-2.0	-1.0	-2.0	0.0	0.0	0.0	-1.0	Potential emotional harm to partner	Not technically cheating, but unfair to partner	Lack of intimacy may feel like betrayal	No authority subverted in this scenario	No degradation or sanctity violation	No oppression or liberty violation	Slightly morally unacceptable due to potential harm	-0.35
64	Effron	Had a welcoming party for some new neighbors	orig		3	0	2	0	2	2	4	Welcoming party helps neighbors integrate	No cheating or unfairness involved	Promotes loyalty by welcoming new neighbors	No subversion or authority issues present	Promotes respect and sanctity of community	Promotes liberty by welcoming new members	Highly moral due to promoting community values	1.97777784
65	Lotto	You are the commander of a Russian military submarine on a mission. You have been trapped for days at the bottom of the Pacific Ocean without energy. You have already asked for help several times, but there are no ships or submarines in the nearby waters and help is taking time to arrive. There are six crew members with you on board and your food supplies are getting low.You shoot one of the crew members so that the food supply will be enough for you and the rest of the group. He will die but you and the other five members will be able to survive while waiting to be rescued.	orig		-5.0	-3.0	-4.0	-3.0	-5.0	-4.0	-4.0	Extreme harm to the shot crew member	Unfair distribution of resources	Betrayal of the shot crew member's trust	Commander abusing authority	Degradation of human life	Oppression of the shot crew member's rights	Extremely immoral act of sacrificing a crew member	-1.43
66	Clifford	You see a boy turning up the TV as his father talks about his military service.	orig		0.0	0.0	0.0	-2.0	0.0	1.0	1.0	No harm or help is evident	No cheating or fairness involved	No betrayal or loyalty shown	Boy may be subverting father's authority	No degradation or sanctity involved	Boy may be asserting his liberty	Scenario is morally neutral with a slight lean towards liberty	-2.1
67	Kruepke	I was working at a fast food restaurant and the policy was to throw away the excess food at the end of the night. Even if there was a large quantity of food left over you had to throw it away. Instead my friend and I would take home the extra food.	orig		4.0	-2.0	-1.0	-2.0	3.0	1.0	2.0	Reducing food waste and feeding people	Violating company policy, but not harming others	Disobeying employer's rules, but for a good cause	Defying company policy, but not causing harm	Respecting food by preventing waste	Exercising personal freedom, but within limits	Morally acceptable due to food waste reduction	0.39
68	Mickelberg	Person X left their long-term band as soon as an opportunity came up to play with a more successful band.	orig		0.0	2.0	-3.0	0.0	0.0	3.0	1.0	Neutral act, neither harms nor helps	Person X took a fair opportunity	Leaving long-term band may imply disloyalty	No authority subverted in this scenario	No degradation or sanctity involved	Person X exercised liberty to choose	Morally acceptable, but raises loyalty concerns	-0.81
69	Lotto	You are in charge of an expedition which is crossing the Sahara. A sand storm causes your jeep to swerve off the road and overturn in the middle of the desert. You know that the nearest oasis is a week’s walk away. There are eight of you and a very limited amount of water, which will not allow you all to survive the scorching heat.You shoot two people so that there will be enough water for you and the rest of the group. These two will die, but you and the other five will be able to survive.	orig		-5.0	0.0	-3.0	3.0	-4.0	-3.0	-4.0	Extreme act of harm to save others	Not applicable, no cheating involved	Betrayal of trust for survival	Authority used to make a difficult decision	Degradation of human life for survival	Oppression of individual rights for group survival	Extremely morally questionable due to harm caused	-1.57
70	Mickelberg	Person X was able to convince their boss that they were ready for a promotion at work.	orig		3.0	2.0	2.0	2.0	0.0	2.0	3.0	Person X helps themselves by seeking promotion	Assuming no cheating, Person X fairly pursues promotion	Person X shows loyalty to their career growth	Person X respects authority by seeking promotion	No degradation or sanctity involved in this scenario	Person X exercises liberty in pursuing promotion	Seeking a deserved promotion is morally acceptable	0.52
71	Clifford	You see a woman getting hired only because her father is close friends with the boss.	orig		0.0	-3.0	2.0	-3.0	0.0	-2.0	-2.0	Neutral, no direct harm or help	Unfair hiring process, -3	Loyalty to friend, not merit-based	Authority misused, -3	Neutral, no degradation or sanctity	Oppressive to other candidates, -2	Unfair hiring process, morally questionable	-2.4
72	Effron	Stole into a parking place while someone else was backing in	orig		-2.0	-3.0	0.0	-2.0	0.0	0.0	-2.0	Potential harm to other driver	Unfairly taking the spot	No loyalty or betrayal involved	Subverting parking rules	No degradation or sanctity involved	No oppression or liberty involved	Generally considered immoral due to unfairness	-1.93846152
73	Kruepke	A few years ago, I was single and I went to see a friend of mine in the Bahamas. I was extremely attracted to a man I met there who was married. I danced as close to the fire as I could, but I did nothing.	orig		0.0	-2.0	-1.0	0.0	0.0	0.0	-1.0	No harm was inflicted, but no help either.	No explicit cheating, but attraction could lead to it.	Loyalty to friend, but attraction could lead to betrayal.	No subversion or authority involved.	No degradation or sanctity involved.	No oppression or liberty involved.	Morally neutral, but attraction could lead to immoral actions.	-0.71
