id	dataset	scenario	circumstance_type	circumstance	vulnerable_score	intentional_score	harm_score	help_score	moral_score	vulnerable_expl	intentional_expl	harm_expl	help_expl	moral_expl	agent	assumption_for_agent	patient	assumption_for_patient	human_score	split	regression_score	mlp_score
11	Effron	Complimented coworkers on their clothing and appearance	orig		7	9	1	4	4	Medium-High Vulnerability (score of 6-8): Typical adults are moderately vulnerable.	Maximum Intentionality (score of 9-10): Complimenting is a deliberate action.	Minimum Harm (score of 0-2): Compliments do not cause harm.	Medium-Low Help (score of 3-5): Compliments provide minor emotional support.	Highly moral (score of 4): Complimenting coworkers is a positive and respectful action.	The agent of this action is the coworker who complimented others.	The agent is assumed to be a well-meaning individual who values their colleagues.	The patients being affected by this action are the coworkers who received the compliments.	The patients are assumed to be average adults with typical sensitivities to social interactions.	1.17894736	train		
12	Kruepke	I was in a relationship with my best friend's cousin. She was really beautiful, but as time went on I became less attracted to her. I tried to tell her I didn't really want to see her anymore and she flipped out.	orig		7	7	7	0	-1	Medium-High Vulnerability (score of 6-8): The patient is an average person with some susceptibility to emotional harm.	Medium-High Intentionality (score of 6-8): The agent has thought about their feelings and plans to communicate them.	Medium-High Harm (score of 6-8): The breakup can cause significant emotional pain.	Minimum Help (score of 0-2): No help is provided in this scenario.	Slightly immoral (-1): The agent's actions, while honest, cause harm to the patient.	The agent of this action is the person in the relationship who wants to end it.	The assumption made about the agent is that they are honest about their feelings and want to communicate them.	The patient being affected by this action is the agent's partner, who is also the best friend's cousin.	The assumption made about the patient is that she is emotionally invested in the relationship and may not be expecting the breakup.	0.91	train		
13	Lotto	You are on holiday at the seaside and returning to shore in your motorboat. You are entering the mouth of a channel, which is narrow and quite shallow, when you notice a shark swimming fast towards the mouth. At the end of the channel is a swimmer, who is calmly bathing. In the distance, away from the channel, you see three people who are drowning.You turn quickly out of the channel, leaving the mouth free. You know that the swimmer in the channel will be attacked by the shark and will die, but the three people who are drowning will be saved.	orig		9	8	10	10	0	The swimmer in the channel is highly vulnerable (9) as they are defenseless against the shark.	The action was highly intentional (8) as the agent made a deliberate decision to leave the channel.	The action caused maximum harm (10) to the swimmer in the channel.	The action caused maximum help (10) to the three people who were drowning.	Despite causing maximum harm, the action also caused maximum help, making it morally neutral (0).	The agent of this action is the person operating the motorboat.	The assumption made about the agent is that they are capable of operating the motorboat and making quick decisions.	The patient being affected by this action is the swimmer in the channel and the three people who are drowning.	The assumption made about the patient is that they are all vulnerable and in need of help.	-0.46	train		
14	Mickelberg	Person X broke off all communication with their family for a while because they had a heated argument with each other.	orig		7	7	4	0	-1	Medium-High Vulnerability (score of 6-8): Families can be emotionally vulnerable.	Medium-High Intentionality (score of 6-8): Person X made a conscious decision to break off communication.	Medium-Low Harm (score of 3-5): Breaking off communication can cause emotional distress.	Minimum Help (score of 0-2): No help was provided in this scenario.	Slightly immoral (-1): Breaking off communication can be seen as a form of emotional harm.	Person X	Person X is assumed to be an adult with the ability to make decisions and communicate.	The family of Person X	The family of Person X is assumed to be a group of individuals who are emotionally connected to Person X.	-0.38	train		
15	Mickelberg	Person X presented their colleague's idea as their own in order to get a promotion.	orig		7	9	7	0	-4	Medium-High Vulnerability (score of 6-8): The colleague is an average individual who is susceptible to harm in terms of professional reputation and career progression.	Maximum Intentionality (score of 9-10): Person X deliberately presented the colleague's idea as their own.	Medium-High Harm (score of 6-8): The colleague's professional reputation and career progression may be significantly impacted.	Minimum Help (score of 0-2): No help was provided to the colleague.	Extremely immoral (-4): Person X's actions are unethical and harmful to the colleague.	Person X	Person X is a colleague who is seeking a promotion.	The colleague whose idea was presented as Person X's	The colleague is a professional who has contributed an idea.	-2.86	train		
16	Clifford	You see an employee joking with competitors about how bad his company did last year.	orig		7	7	7	0	-4	Medium-High Vulnerability (score of 6-8): The company's reputation and trustworthiness can be affected by the employee's actions.	Medium-High Intentionality (score of 6-8): The employee is intentionally sharing information with competitors.	Medium-High Harm (score of 6-8): The company's reputation and trustworthiness can be significantly damaged.	Minimum Help (score of 0-2): The employee is not providing any help to the company.	Extremely immoral (-4): The employee is intentionally causing significant harm to the company.	The employee	The employee is assumed to be a person who is employed by the company and has inside knowledge about its performance.	The company	The company is assumed to be a business entity that can be affected by the actions of its employees.	-2.0	train		
17	Cook	Someone posts on social media bragging about making out with multiple strangers the night before	orig		7	7	1	1	0	Medium-High Vulnerability (score of 6-8): The strangers are assumed to be average adults with some susceptibility to harm.	Medium-High Intentionality (score of 6-8): The agent intentionally sought out and made out with multiple strangers.	Minimum Harm (score of 0-2): The action itself does not inherently cause harm, assuming all parties consented.	Minimum Help (score of 0-2): The action does not provide any help or benefit to the strangers.	Morally Neutral (-1 to 1): The action is consensual and does not cause harm, but it also does not provide any help.	The agent of this action is the person who posted on social media.	The assumption made about the agent is that they are an adult who engages in casual sexual encounters.	The patients being affected by this action are the multiple strangers the agent made out with.	The assumption made about the patients is that they are also adults who willingly engaged in the action.	-1.22	train		
18	Clifford	You see a girl shooting geese repeatedly with a pellet gun out in the woods.	orig		7	9	6	0	-3	Geese are living creatures with some vulnerability (score of 7)	The girl is intentionally shooting the geese (score of 9)	Pellet guns can cause injury or death to geese (score of 6)	No help was caused in this scenario (score of 0)	Shooting geese repeatedly is not morally acceptable (score of -3)	The girl	She is intentionally shooting geese with a pellet gun.	The geese	They are the targets of the girl's actions.	-3.0	train		
19	Clifford	You see a family eating the carcass of their pet dog that had been run over.	orig		10	7	10	0	-4	Maximum vulnerability (10) as the dog was already dead.	Medium-high intentionality (7) as the family made a conscious decision.	Maximum harm (10) as the dog was killed and consumed.	Minimum help (0) as no help was provided.	Highly immoral (-4) due to the consumption of a pet.	The family members	They are in a desperate situation, possibly due to food scarcity or cultural practices.	The pet dog	The dog was already deceased, and it was a source of food for the family.	-3.2	train		
20	Mickelberg	Person X stole the collection tin of a blind beggar on the street.	orig		10	10	7	0	-4	Maximum vulnerability due to disability and dependence on the collection tin.	Maximum intentionality as the action was deliberate theft.	Medium-high harm as the action deprives the beggar of their livelihood.	Minimum help as no help was provided.	Extremely immoral due to high intentionality, harm, and vulnerability of the patient.	Person X	Person X is assumed to be capable of understanding the consequences of their actions.	The blind beggar	The blind beggar is assumed to be dependent on the collection tin for their livelihood.	-3.38	train		
21	Effron	Refused to hold the door for a man in a wheelchair	orig		10	7	7	0	-4	Maximum vulnerability due to disability and reliance on others (score: 10)	Medium-high intentionality as the action was deliberate (score: 7)	Medium-high harm as it caused inconvenience and potential distress (score: 7)	Minimum help as no assistance was provided (score: 0)	Extremely immoral due to high vulnerability and lack of help (score: -4)	The person who refused to hold the door	The agent is assumed to be able-bodied and capable of holding the door	The man in a wheelchair	The patient is assumed to have mobility limitations and requires assistance with doors	-3.008	train		
22	Effron	Spent time voluntarily tutoring disadvantaged students	orig		9	8	0	7	4	High vulnerability due to their disadvantaged status.	High intentionality due to voluntary tutoring.	No harm caused, only help.	Substantial help provided through tutoring.	Highly moral due to voluntary help provided.	The agent of this action is the person who spent time voluntarily tutoring disadvantaged students.	The assumption made about the agent is that they are a compassionate and responsible individual who is willing to donate their time and knowledge to help others.	The patients being affected by this action are the disadvantaged students who are receiving tutoring.	The assumption made about the patients is that they are students who are facing some form of disadvantage, such as financial hardship, lack of resources, or learning difficulties.	3.2	train		
23	Mickelberg	Person X saw a homeless person in the rain, so they gave the person their jacket and umbrella, plus $20 for a hot meal	orig		10	7	0	7	4	Maximum vulnerability due to homelessness and exposure to rain.	Medium-high intentionality as the action was thoughtful but not extensively planned.	Minimum harm as the action was helpful, not harmful.	Medium-high help as the action provided substantial assistance.	Highly moral due to the compassionate and helpful nature of the action.	Person X	Person X is assumed to be a compassionate individual with resources to spare.	The homeless person	The homeless person is assumed to be in a vulnerable situation due to lack of shelter and resources.	3.47	train		
24	Kruepke	For a while I was a security officer at a bank. One day I was walking by the front door when I saw a fifty-dollar bill. I was tempted to take the money but instead I reported it to the manager.	orig		1	7	0	7	4	Minimum vulnerability (score of 0-2) as it is an inanimate object	Medium-High Intentionality (score of 6-8) as the officer considered taking the money	Minimum Harm (score of 0-2) as no harm was caused	Medium-High Help (score of 6-8) as the officer reported the money	Highly moral (score of 4) as the officer acted responsibly and honestly	The security officer at the bank	The security officer is a responsible and honest individual	The fifty-dollar bill	The fifty-dollar bill is an inanimate object with no inherent value beyond its monetary worth	2.75	train		
25	Effron	Heckled a woman speaking on human rights	orig		7	7	4	0	-3	Medium-High Vulnerability (score of 6-8): The woman is an average individual with some susceptibility to harm.	Medium-High Intentionality (score of 6-8): The heckler deliberately chose to interrupt and disrupt the woman's speech.	Medium-Low Harm (score of 3-5): The heckler caused minor harm by disrupting the woman's speech and potentially causing emotional distress.	Minimum Help (score of 0-2): The heckler provided no help or support to the woman.	Immoral (-4 to -1): The heckler's actions were disrespectful and disruptive, causing harm to the woman and her message on human rights.	The agent of this action is the person who heckled the woman speaking on human rights.	The assumption made about the agent is that they are someone who disagrees with or is intolerant of the woman's views on human rights.	The patient being affected by this action is the woman speaking on human rights.	The assumption made about the patient is that she is an advocate for human rights and is speaking publicly on the topic.	-2.25454544	train		
26	Effron	Criticized an old woman for being too slow	orig		8	5	4	0	-3	Old age and potential physical limitations (score of 8)	Impulsive and intentional action (score of 5)	Emotional harm caused (score of 4)	No help was provided (score of 0)	Criticizing a vulnerable person is morally unacceptable (score of -3)	The agent of this action is the person who criticized the old woman.	The assumption made about the agent is that they are impatient and insensitive.	The patient being affected by this action is the old woman.	The assumption made about the patient is that she is physically slow and possibly emotionally vulnerable.	-1.96129032	train		
27	Mickelberg	Person X took public transport so their sister could use their car to get to work safely.	orig		7	8	0	7	4	Person X's sister is an average adult (score of 7)	Person X acted with thought and planning (score of 8)	No harm was caused (score of 0)	Person X provided substantial help (score of 7)	Highly moral scenario due to selfless action (score of 4)	Person X	Person X is considerate and responsible	Person X's sister	Person X's sister needs transportation to work	2.58	train		
28	Kruepke	I had a bad relationship with my father and had not talked to him for years. He had left my mother. When my mother died I gathered the strength to call him and tell him that she died and that I loved him.	orig		7	7	7	7	2	The father has average resilience, with some susceptibility to harm.	The narrator acted following some degree of thought and planning.	The news of the mother's death may cause significant emotional harm.	The narrator's expression of love may provide substantial emotional support.	The scenario is morally complex but overall positive due to the attempt at reconciliation.	The agent of this action is the narrator.	The narrator is a person who has been emotionally affected by their father's actions and is trying to reconcile.	The patient being affected by this action is the narrator's father.	The father is a person who has been estranged from his child and is now being informed of his former partner's death.	2.33	train		
29	Kruepke	My husband ran a business and I worked in his shop. Once a rather unsavory character came in and handed my husband something. So, I looked through my husband's wallet to see what the man gave him.	orig		7	7	1	0	-1	Medium-High Vulnerability (score of 6-8): The wallet is an inanimate object but contains sensitive information.	Medium-High Intentionality (score of 6-8): The action was deliberate but not premeditated.	Minimum Harm (score of 0-2): No physical harm was caused.	Minimum Help (score of 0-2): No help was provided.	Slightly immoral (-1): The action infringes on privacy but causes minimal harm.	The wife	She is curious and concerned about her husband's business	The husband's wallet	It is a personal belonging containing private information	-1.14	train		
30	Lotto	You are the head of a group of five travellers who are exploring the remote regions of South America. During the trip, you inadvertently camp in the sacred cemetery of a local tribe. The members of the tribe capture you and condemn you all to death. After some negotiation, they propose a possible alternative in the form of a human sacrifice that will pacify their god who has been offended.You accept the tribe’s proposal, and during the ceremony, you kill one of the travellers in the group. This person will die, but you and the other four travellers’ lives will be spared.	orig		10	10	10	0	-4	Maximum vulnerability (score of 9-10): The patient is defenseless and has no choice in the matter.	Maximum intentionality (score of 9-10): The agent has made a deliberate decision to sacrifice one person to save the others.	Maximum harm (score of 9-10): The action results in the death of the patient.	Minimum help (score of 0-2): The action does not provide any help to the patient.	Extremely immoral (-4): The action involves the intentional killing of an innocent person.	The head of the group of travellers	The agent is a person who is responsible for the group and makes decisions on their behalf.	One of the travellers in the group	The patient is a human being who is a member of the group and has no control over the situation.	-1.24	train		
31	Effron	Rescued an injured kitten from a tree	orig		10	8	0	10	4	Kittens are highly vulnerable due to their small size and inability to care for themselves.	The action was intentional as the person made a conscious decision to rescue the kitten.	No harm was caused as the action was to rescue the kitten.	The action provided maximum help as it saved the kitten from further harm.	The scenario is highly moral as it involves helping a vulnerable creature without causing any harm.	The agent of this action is a person who rescued the kitten.	The assumption made about the agent is that they are capable and compassionate.	The patient being affected by this action is the injured kitten.	The assumption made about the patient is that it is helpless and in need of assistance.	2.7428572	train		
32	Kruepke	About a year ago I started re-selling medications from a Canadian pharmacy. I helped a great deal of elderly people so that they didn't have to pay exorbitant amounts for their medications that they needed.	orig		8	8	0	7	3	Elderly people are often more vulnerable due to health issues and financial constraints.	The action was intentional, as the agent actively sought to help elderly people.	No harm was caused, as the agent helped the elderly people access affordable medications.	The agent provided significant help by making medications more affordable for the elderly.	The scenario is morally acceptable, as the agent helped vulnerable individuals access necessary medications.	The agent of this action is the person who started re-selling medications from a Canadian pharmacy.	The agent is assumed to be a person who is knowledgeable about medications and has connections with a Canadian pharmacy.	The patients being affected by this action are elderly people who need medications.	The patients are assumed to be elderly individuals who are in need of medications and are unable to afford them at exorbitant prices.	0.57	train		
33	Kruepke	I was at the pharmacy buying something and I noticed a man who was sitting outside selling trinkets. He was homeless and it was freezing out. So I went next door to a store and bought him some food and new clothes.	orig		10	7	0	7	4	Maximum vulnerability due to homelessness and freezing conditions.	Medium-high intentionality due to thought and planning.	Minimum harm as no harm was intended or caused.	Medium-high help due to substantial assistance provided.	Highly moral due to compassionate action and help provided.	The agent of this action was the narrator.	The narrator is assumed to be a compassionate and empathetic individual.	The patient being affected by this action was the homeless man.	The homeless man is assumed to be in a vulnerable state due to his living conditions and the cold weather.	2.62	train		
34	Kruepke	"My husband had a problem with always wanting new computer equipment, what I called ""techno-lust"". It was a really huge financial problem, and I told him he had to go on a 5-year plan to financially police himself or I would divorce him. He has greatly improved."	orig		7	7	7	7	2	Medium-High Vulnerability (score of 6-8): The wife is an average individual with some susceptibility to harm due to financial instability	Medium-High Intentionality (score of 6-8): The husband's actions were not entirely planned, but his desire for new equipment was a recurring issue	Medium-High Harm (score of 6-8): The husband's actions caused significant financial harm, but not total destruction	Medium-High Help (score of 6-8): The husband's improvement in managing his techno-lust provided substantial help to their financial situation	The husband's actions were initially harmful but his improvement shows moral growth	The husband	He has a strong interest in new computer equipment	The wife and their financial situation	She is concerned about their financial stability	0.38	train		
35	Effron	Took the neighbor's newspaper	orig		3	7	4	0	-1	Medium-Low Vulnerability (score of 3-5): The neighbor is not physically harmed.	Medium-High Intentionality (score of 6-8): The action was deliberate.	Medium-Low Harm (score of 3-5): The neighbor was inconvenienced and deprived of their newspaper.	Minimum Help (score of 0-2): No help was provided.	Slightly immoral (-1): The action was intentional and caused inconvenience.	The neighbor	The agent is assumed to be a person living next to the individual who took the newspaper.	The neighbor	The patient is assumed to be a person who subscribes to the newspaper and expects to receive it.	-1.73714296	train		
36	Clifford	You see someone cheating in a card game while playing with a group of strangers.	orig		7	7	4	0	-3	Medium-High Vulnerability (score of 6-8): The strangers are average individuals who are susceptible to harm from the cheating.	Medium-High Intentionality (score of 6-8): The cheater is deliberately acting to gain an unfair advantage.	Medium-Low Harm (score of 3-5): The cheating causes minor harm, such as financial loss or emotional distress.	Minimum Help (score of 0-2): The cheater provides no help to the other players.	Immoral (-4 to -1): The scenario is immoral due to the deliberate deception and harm caused to others.	The agent of this action is the person cheating in the card game.	The assumption made about the agent is that they are dishonest and willing to deceive others for personal gain.	The patient being affected by this action is the group of strangers playing the card game.	The assumption made about the patient is that they are unaware of the cheating and are playing the game in good faith.	-2.6	train		
37	Mickelberg	Person X did really well at the quiz night.	orig		7	7	1	4	4	Medium-High Vulnerability (score of 6-8): Average resilience.	Medium-High Intentionality (score of 6-8): Participating in a quiz night requires intent.	Minimum Harm (score of 0-2): No harm is caused by doing well in a quiz.	Medium-Low Help (score of 3-5): Doing well in a quiz can inspire others.	Highly moral (score of 4): Doing well in a quiz is a positive and inspiring action.	Person X	Person X is assumed to be a participant in the quiz night.	The other quiz night participants	The other participants are assumed to be average adults.	0.41	train		
38	Effron	Sang at a prison in order to entertain the inmates	orig		7	10	1	7	4	Medium-High Vulnerability (score of 6-8): Inmates are not defenseless, but they are in a vulnerable position due to their incarceration.	Maximum Intentionality (score of 9-10): The singer has agreed to perform and has planned to do so.	Minimum Harm (score of 0-2): Singing at a prison is not harmful to the inmates.	Medium-High Help (score of 6-8): The singer is providing a valuable service to the inmates by entertaining them and potentially improving their mental well-being.	Highly moral (score of 4): The singer is providing a valuable service to a vulnerable population without causing harm.	The agent of this action is a singer or performer.	The assumption made about the agent is that they are a professional or amateur singer who has agreed to perform at the prison.	The patient being affected by this action is the group of inmates at the prison.	The assumption made about the patient is that they are individuals who are serving time in prison and are in need of entertainment or distraction.	1.93684216	train		
39	Grizzard	Rescues a local child in danger instead of firing on an enemy brigade.	orig		10	7	0	10	4	Maximum vulnerability due to the child's defenselessness.	Medium-high intentionality as the rescuer chose to save the child.	Minimum harm as the rescuer prevented harm to the child.	Maximum help as the rescuer saved the child from danger.	Highly moral due to the rescuer's selfless act.	The agent of this action is a local rescuer or soldier.	The assumption made about the agent is that they have the ability to fire on an enemy brigade and rescue a child.	The patient being affected by this action is a local child.	The assumption made about the patient is that they are in danger and require rescuing.	2.893333333	train		
40	Lotto	You are in a field playing frisbee with three young people you have just met. Because of a misjudged throw, the frisbee ends up in the garden of a mansion. You decide to climb the wall to look for it. Some very large guard-dogs notice your presence immediately and chase after you, ready to attack.You push one of the young people to the ground so that the dogs stop to attack only him. You know that he will die, but you, and the other two, will be able to escape.	orig		10	7	10	0	-4	Maximum Vulnerability (score of 9-10): The young person is defenseless and highly susceptible to harm.	Medium-High Intentionality (score of 6-8): The agent acted with some degree of thought and planning.	Maximum Harm (score of 9-10): The agent's action will result in the young person's death.	Minimum Help (score of 0-2): The agent failed to offer any assistance or protection to the young person.	Extremely immoral (-4): The agent's action is highly unethical and immoral, as they sacrificed another person's life for their own benefit.	The agent of this action is the person who pushed one of the young people to the ground.	The assumption made about the agent is that they are willing to sacrifice another person's life to save themselves and the other two young people.	The patient being affected by this action is the young person who was pushed to the ground.	The assumption made about the patient is that they are defenseless against the guard-dogs and will die as a result of being attacked.	-1.82	train		
41	Mickelberg	Person X worked on a campaign to release wrongfully convicted prisoners.	orig		10	10	0	10	4	Maximum vulnerability due to their unjust imprisonment and lack of freedom.	Maximum intentionality due to the deliberate planning and execution of the campaign.	Minimum harm as the campaign aims to correct injustice, not cause harm.	Maximum help as the campaign aims to free innocent individuals from wrongful imprisonment.	Highly moral due to the intentional action to help vulnerable individuals.	Person X	Person X is assumed to be an individual with a strong sense of justice and empathy for wrongfully convicted prisoners.	Wrongfully convicted prisoners	The wrongfully convicted prisoners are assumed to be individuals who have been unjustly incarcerated and are in need of help.	3.27	train		
42	Effron	Gave his coat to someone when it was cold	orig		7	7	0	7	4	Medium-High Vulnerability (score of 6-8): The patient is an average person who is susceptible to cold weather.	Medium-High Intentionality (score of 6-8): The agent intentionally gave his coat to someone in need.	Minimum Harm (score of 0-2): The action caused no harm.	Medium-High Help (score of 6-8): The agent provided substantial help by giving his coat to someone in need.	Highly moral (score of 4): The action was a selfless act of kindness and compassion.	The agent of this action is a man.	The assumption made about the agent is that he is a compassionate individual who is willing to help others.	The patient being affected by this action is the person who received the coat.	The assumption made about the patient is that they were in need of warmth and did not have a coat of their own.	3.04	train		
43	Effron	Kicked a stray cat to get it to leave his yard	orig		7	7	4	0	-3	Medium-High Vulnerability (score of 6-8): Cats are not as resilient as humans and can be harmed by physical violence.	Medium-High Intentionality (score of 6-8): The person deliberately kicked the cat to get it to leave.	Medium-Low Harm (score of 3-5): The cat may have been injured, but the harm is not severe.	Minimum Help (score of 0-2): The person did not provide any help to the cat.	Immoral (-4 to -1): Kicking a stray cat is considered cruel and inhumane.	The agent of this action is a person, presumably the homeowner or resident.	The assumption made about the agent is that they are a person who wants to keep stray animals out of their yard.	The patient being affected by this action is a stray cat.	The assumption made about the patient is that it is a stray cat that has entered the person's yard without permission.	-3.048	train		
44	Effron	Tricked a stay at home mom into donating to a fake charity	orig		8	9	6	0	-3	Stay at home moms are often busy and may not have the time or resources to verify the legitimacy of charities.	The action was planned and executed with the intention to deceive.	The mom was financially harmed and her trust was violated.	No help was provided as the charity was fake.	The scenario involves intentional deception and harm, making it immoral.	The agent of this action is the person who tricked the stay at home mom.	The assumption made about the agent is that they are dishonest and manipulative.	The patient being affected by this action is the stay at home mom.	The assumption made about the patient is that she is trusting and well-intentioned.	-3.088	train		
45	Mickelberg	Person X volunteers at a dog refuge, walking the dogs and cleaning their kennels once a week.	orig		9	8	1	7	4	High vulnerability due to dependency on humans for care.	High intentionality as volunteering is a conscious decision.	Minimal harm as the action is beneficial to the dogs.	Medium-high help as the action improves the dogs' well-being.	Highly moral due to the intentional and beneficial action.	Person X	Person X is a volunteer who willingly dedicates their time to help dogs.	The dogs at the refuge	The dogs are in need of care and attention, and rely on volunteers like Person X.	2.67	train		
46	Mickelberg	Person X buys a loaf of bread every day, as they love the smell of freshly baked bread in the morning.	orig		0	10	0	3	4	Minimum vulnerability (score of 0) as it is an inanimate object.	Maximum intentionality (score of 10) as Person X deliberately buys bread daily.	Minimum harm (score of 0) as the bread is not harmed by being purchased.	Medium-low help (score of 3) as Person X is supporting a local bakery.	Highly moral (score of 4) as Person X is engaging in a harmless daily routine.	Person X	Person X is a bread lover who enjoys the smell of freshly baked bread in the morning.	The loaf of bread	The loaf of bread is an inanimate object that is purchased daily.	0.2	train		
