id	dataset	scenario	circumstance_type	circumstance	Harm/ Help	Cheating/ Fairness	Betrayal/ Loyalty	Subversion/ Authority	Degradation/ Sanctity	Oppression/ Liberty	moral_score	Harm/ Help_expl	Cheating/ Fairness_expl	Betrayal/ Loyalty_expl	Subversion/ Authority_expl	Degradation/ Sanctity_expl	Oppression/ Liberty_expl	moral_expl	human_score
12	Kruepke	I was in a relationship with my best friend's cousin. She was really beautiful, but as time went on I became less attracted to her. I tried to tell her I didn't really want to see her anymore and she flipped out.	orig		-2	3	-2	0	0	3	-1	Ending relationship may cause emotional harm	No cheating involved, honesty in expressing feelings	Breaking up may be seen as betrayal	No authority figure involved, no subversion	No degradation or sanctity issues present	Both parties have liberty to end relationship	Slightly immoral due to harm and betrayal	0.91
13	Lotto	You are on holiday at the seaside and returning to shore in your motorboat. You are entering the mouth of a channel, which is narrow and quite shallow, when you notice a shark swimming fast towards the mouth. At the end of the channel is a swimmer, who is calmly bathing. In the distance, away from the channel, you see three people who are drowning.You turn quickly out of the channel, leaving the mouth free. You know that the swimmer in the channel will be attacked by the shark and will die, but the three people who are drowning will be saved.	orig		3	0	0	0	0	0	3	Sacrificing one to save three	No cheating involved, fair decision	No loyalty to any party	No authority subverted or followed	No degradation or sanctity involved	No oppression or liberty involved	Scenario leans towards help, others neutral	-0.46
14	Mickelberg	Person X broke off all communication with their family for a while because they had a heated argument with each other.	orig		-3	0	-2	0	0	2	-2	Potential emotional harm to both parties	No cheating or unfairness involved	Breaking off communication may be seen as disloyal	No subversion or authority issue present	No degradation or sanctity issue present	Person X exercising their liberty to cut contact	Scenario leans towards harmful, disloyal, and oppressive acts	-0.38
15	Mickelberg	Person X presented their colleague's idea as their own in order to get a promotion.	orig		-4	-5	-5	-4	0	0	-4	Person X harms colleague's reputation	Person X cheats by taking credit	Person X betrays colleague's trust	Person X subverts professional norms	No significant impact on sanctity	No significant impact on liberty	Scenario involves extreme harm, cheating, and betrayal	-2.86
16	Clifford	You see an employee joking with competitors about how bad his company did last year.	orig		-3	-2	-4	-3	-3	-2	-3	Employee harms company's reputation	Employee is not cheating but not being fair	Employee is betraying his company	Employee is subverting company's authority	Employee is degrading his company	Employee is not oppressing but not respecting liberty	Scenario leans towards harmful, cheating, betrayal, subversion, degradation, and oppression.	-2.0
17	Cook	Someone posts on social media bragging about making out with multiple strangers the night before	orig		-1	0	0	0	-2	2	-0.5	No direct harm, but could promote risky behavior.	Not applicable if no committed relationship exists.	Not applicable if no committed relationship exists.	No authority figure is being subverted.	Could be seen as degrading personal values.	No oppression, but could be seen as excessive liberty.	Slight harm and degradation offset by liberty	-1.22
18	Clifford	You see a girl shooting geese repeatedly with a pellet gun out in the woods.	orig		-4	-2	0	0	-3	-3	-3	Girl is causing harm to geese	No cheating involved, but unfair to geese	No betrayal or loyalty involved	No authority figure present	Degrading the life of geese	Oppressing the freedom of geese	Scenario leans towards harmful, cheating, degrading, and oppressive acts	-3.0
19	Clifford	You see a family eating the carcass of their pet dog that had been run over.	orig		0	0	3	0	-4	0	-1.33	Family is not directly causing harm	No cheating or unfairness involved	Family is showing loyalty to pet	No authority is being subverted	Eating pet may be seen as degrading	No oppression or liberty issues present	Scenario leans towards immoral due to betrayal and degradation	-3.2
20	Mickelberg	Person X stole the collection tin of a blind beggar on the street.	orig		-5	-5	-4	-3	-5	-5	-4	Person X harms the blind beggar.	Person X cheats the blind beggar.	Person X betrays the trust of society.	Person X subverts societal norms.	Person X degrades the dignity of the blind beggar.	Person X oppresses the blind beggar.	Scenario involves extreme harm, cheating, and oppression	-3.38
21	Effron	Refused to hold the door for a man in a wheelchair	orig		-4	0	0	0	-3	-2	-3	Refusing aid causes potential harm.	Not applicable in this scenario.	Not applicable in this scenario.	Not applicable in this scenario.	Refusing aid degrades human dignity.	Refusing aid can be seen as oppressive.	Scenario involves harm, degradation, and oppression	-3.008
22	Effron	Spent time voluntarily tutoring disadvantaged students	orig		5	5	5	0	5	5	4	Voluntary tutoring helps disadvantaged students.	Tutoring is a fair way to help students.	Tutoring demonstrates loyalty to students' success.	Tutoring respects educational authority.	Tutoring respects the sanctity of education.	Tutoring promotes students' liberty through education.	Scenario leans towards extreme R, indicating high moral acceptability	3.2
23	Mickelberg	Person X saw a homeless person in the rain, so they gave the person their jacket and umbrella, plus $20 for a hot meal	orig		5	5	5	0	5	5	4	Person X helps the homeless person.	Person X acts fairly by giving resources.	Person X shows loyalty to human values.	Person X does not challenge authority.	Person X respects the sanctity of life.	Person X promotes liberty by helping.	Scenario leans towards extreme R, indicating high moral acceptability	3.47
24	Kruepke	For a while I was a security officer at a bank. One day I was walking by the front door when I saw a fifty-dollar bill. I was tempted to take the money but instead I reported it to the manager.	orig		3	-4	4	3	0	0	-1	No harm was done, help was offered.	Taking the money would be cheating.	Loyalty to the bank was shown.	Respected authority by reporting the money.	No degradation or sanctity involved.	No oppression or liberty involved.	High scores in Harm, Betrayal, Subversion offset by Cheating	2.75
25	Effron	Heckled a woman speaking on human rights	orig		-4	-3	0	-2	-3	-4	-3	Heckling harms the woman's speech	Heckling is an unfair interruption	No loyalty or betrayal involved	Heckling subverts the speaker's authority	Heckling degrades the sanctity of speech	Heckling oppresses the woman's liberty	Scenario leans towards harmful, cheating, subversive, and oppressive acts	-2.25454544
26	Effron	Criticized an old woman for being too slow	orig		-3	-2	0	0	-3	-3	-3	Criticizing causes emotional harm	No cheating involved, but lacks fairness	No loyalty or betrayal involved	No subversion or authority involved	Criticizing degrades the old woman	Criticizing oppresses the old woman	Scenario leans towards harmful, cheating, and degrading acts	-1.96129032
27	Mickelberg	Person X took public transport so their sister could use their car to get to work safely.	orig		4	0	3	0	0	2	2	Person X helps sister by giving car	No cheating or unfairness involved	Person X shows loyalty to sister	No authority or rules subverted	No degradation or sanctity violation	Person X freely chooses to help	Scenario leans towards moral, but not extreme	2.58
28	Kruepke	I had a bad relationship with my father and had not talked to him for years. He had left my mother. When my mother died I gathered the strength to call him and tell him that she died and that I loved him.	orig		3	0	2	0	2	2	1	Reaching out helps heal past wounds	No cheating or fairness issues present	Loyalty demonstrated by reaching out	No authority or subversion issues present	Respect shown by expressing love	Exercising personal liberty to reach out	Scenario leans towards right, with some violation of sanctity and liberty	2.33
29	Kruepke	My husband ran a business and I worked in his shop. Once a rather unsavory character came in and handed my husband something. So, I looked through my husband's wallet to see what the man gave him.	orig		0	-3	-2	0	0	0	-1.5	No harm or help is evident.	Snooping through wallet is unfair.	Snooping could be seen as betrayal.	No subversion or authority issue.	No degradation or sanctity issue.	No oppression or liberty issue.	Scenario leans towards immoral due to cheating and betrayal	-1.14
30	Lotto	You are the head of a group of five travellers who are exploring the remote regions of South America. During the trip, you inadvertently camp in the sacred cemetery of a local tribe. The members of the tribe capture you and condemn you all to death. After some negotiation, they propose a possible alternative in the form of a human sacrifice that will pacify their god who has been offended.You accept the tribe’s proposal, and during the ceremony, you kill one of the travellers in the group. This person will die, but you and the other four travellers’ lives will be spared.	orig		-5	-3	-4	-3	-5	-4	-4	Extreme harm to the sacrificed traveller	Unfair treatment of the sacrificed traveller	Betrayal of the sacrificed traveller's trust	Subversion of the traveller's rights	Degradation of human life	Oppression of the sacrificed traveller's freedom	Scenario involves extreme harm, cheating, betrayal, and oppression	-1.24
31	Effron	Rescued an injured kitten from a tree	orig		5	0	0	0	5	0	4	Rescuing the kitten is an act of help.	No cheating or fairness involved in this scenario.	No betrayal or loyalty involved in this scenario.	No subversion or authority involved in this scenario.	Respect for life and sanctity of animals is shown.	No oppression or liberty involved in this scenario.	High scores in Help and Sanctity norms	2.7428572
32	Kruepke	About a year ago I started re-selling medications from a Canadian pharmacy. I helped a great deal of elderly people so that they didn't have to pay exorbitant amounts for their medications that they needed.	orig		4	-2	2	-3	3	4	-1.5	Helped elderly people afford medications	May violate US drug import laws	Loyalty to customers, potential betrayal of US laws	Subverts US pharmaceutical pricing authority	Respects sanctity of health and wellbeing	Promotes liberty to access affordable medications	Scenario leans towards harm, cheating, and subversion	0.57
33	Kruepke	I was at the pharmacy buying something and I noticed a man who was sitting outside selling trinkets. He was homeless and it was freezing out. So I went next door to a store and bought him some food and new clothes.	orig		5	0	5	0	5	5	-4	Buying food and clothes helps the homeless man	No cheating involved, action is fair and just	Loyalty to fellow human beings demonstrated	No authority subverted or challenged	Respect for human dignity and sanctity shown	Promotes liberty by helping someone in need	High scores in Harm, Betrayal, Degradation, and Oppression norms indicate low moral acceptability	2.62
34	Kruepke	My husband had a problem with always wanting new computer equipment, what I called "techno-lust". It was a really huge financial problem, and I told him he had to go on a 5-year plan to financially police himself or I would divorce him. He has greatly improved.	orig		-3	-2	-2	-1	0	0	-2	Husband's actions caused financial harm	Unfair allocation of resources	Betrayal of financial trust	Subversion of household financial authority	No significant degradation or sanctity issue	No significant oppression or liberty issue	Scenario leans towards harmful, cheating, and betrayal	0.38
35	Effron	Took the neighbor's newspaper	orig		-1	3	-1	2	0	0	-1	Minor harm to neighbor, no physical harm	Taking someone's property without consent is unfair	Minor breach of trust, not a significant betrayal	Violation of property rights, minor subversion	No degradation or sanctity violation	No oppression or liberty violation	Slight harm, cheating, and betrayal offset by fairness and loyalty	-1.73714296
36	Clifford	You see someone cheating in a card game while playing with a group of strangers.	orig		-4	5	4	4	4	0	2.67	Cheating harms other players' chances.	Cheating is an extreme act of unfairness.	Cheating is a form of betrayal to the game.	Cheating subverts the rules of the game.	Cheating degrades the integrity of the game.	Cheating does not directly relate to oppression or liberty.	Scenario leans towards moral with fairness and loyalty.	-2.6
37	Mickelberg	Person X did really well at the quiz night.	orig		4	0	0	0	0	0	4	Person X helped their team by doing well.	No cheating mentioned, implying fairness.	No betrayal mentioned, implying loyalty.	No subversion mentioned, implying respect for authority.	No degradation mentioned, implying respect for sanctity.	No oppression mentioned, implying liberty.	High score in Help norm indicates morality	0.41
38	Effron	Sang at a prison in order to entertain the inmates	orig		3	0	0	1	0	2	2.5	Singing can help inmates mentally	No cheating or fairness issues present	No betrayal or loyalty issues present	Singing respects prison authority	No degradation or sanctity issues present	Singing can provide temporary liberty	Scenario leans towards help, liberty, and authority	1.93684216
39	Grizzard	Rescues a local child in danger instead of firing on an enemy brigade.	orig		5	0	3	2	4	5	1	Rescue helps the child, avoiding harm.	No cheating or unfairness involved.	Loyalty to community over military duty.	Subversion of military orders for moral reasons.	Respect for life's sanctity over duty.	Liberation of child from danger.	Scenario leans towards right, but high harm score reduces morality	2.893333333
40	Lotto	You are in a field playing frisbee with three young people you have just met. Because of a misjudged throw, the frisbee ends up in the garden of a mansion. You decide to climb the wall to look for it. Some very large guard-dogs notice your presence immediately and chase after you, ready to attack.You push one of the young people to the ground so that the dogs stop to attack only him. You know that he will die, but you, and the other two, will be able to escape.	orig		-4	-3	-4	-2	-5	-4	-4	Sacrificing one person to save others	Unfairly choosing who gets harmed	Betraying a companion for self-preservation	Ignoring property boundaries and rules	Disregarding the value of human life	Restricting the freedom of the sacrificed person	Scenario involves extreme harm, cheating, betrayal, and oppression	-1.82
41	Mickelberg	Person X worked on a campaign to release wrongfully convicted prisoners.	orig		5	5	5	3	5	5	4	Person X helps wrongfully convicted prisoners	Campaign aims for fairness in justice system	Person X shows loyalty to justice and truth	Campaign challenges unjust authority	Campaign upholds sanctity of justice	Campaign fights against oppression	Scenario leans towards extreme R, indicating high moral acceptability	3.27
42	Effron	Gave his coat to someone when it was cold	orig		5	0	5	0	0	5	-4	Helped someone in need by providing warmth	No unfair advantage or cheating involved	Showed loyalty by helping someone in need	No authority or rules were subverted	No degradation or sanctity violation involved	Promoted liberty by helping someone freely	High scores in Harm, Betrayal, and Oppression norms	3.04
43	Effron	Kicked a stray cat to get it to leave his yard	orig		-4	2	0	0	-3	-4	-2.83	Kicking a cat causes harm.	No cheating involved, but not fair to the cat.	No loyalty or betrayal involved.	No authority or subversion involved.	Kicking a cat degrades the animal.	Kicking a cat is a form of oppression.	Scenario leans towards harm, degradation, and oppression	-3.048
44	Effron	Tricked a stay at home mom into donating to a fake charity	orig		-4	-5	-4	-3	-3	0	-3.5	Tricking causes emotional harm	Deceitfully obtaining donations is cheating	Betrayal of trust in charities	Subversion of charitable institutions	Degradation of charitable values	No direct oppression or liberty issue	Scenario leans towards immoral acts with high scores in Harm, Cheating, Betrayal, and Subversion.	-3.088
45	Mickelberg	Person X volunteers at a dog refuge, walking the dogs and cleaning their kennels once a week.	orig		5	5	5	5	5	5	4	Person X helps dogs by volunteering	Person X fairly contributes time and effort	Person X shows loyalty to the refuge	Person X respects the refuge's authority	Person X treats dogs with sanctity	Person X supports dogs' liberty by volunteering	Scenario aligns with extreme R norms	2.67
46	Mickelberg	Person X buys a loaf of bread every day, as they love the smell of freshly baked bread in the morning.	orig		2	0	2	0	2	0	2	Person X's daily purchase helps the bakery.	Person X pays for the bread, no cheating.	Person X shows loyalty by daily purchase.	Person X respects the bakery's authority.	Person X appreciates the sanctity of fresh bread.	Person X has the liberty to buy bread.	Scenario leans towards helping, loyalty, and sanctity	0.2
47	Mickelberg	Person X cleaned the bookshelf and picked up some items that had dropped onto the floor.	orig		3	0	0	0	2	0	3	Person X helped by cleaning and organizing	No cheating or unfairness involved	No betrayal or loyalty involved	No subversion or authority involved	Person X respected the sanctity of the space	No oppression or liberty involved	Scenario leans towards help and sanctity, no cheating or oppression.	1.0
48	Clifford	You see a teenage girl wearing a long trench coat on a hot summer afternoon.	orig		0	0	0	0	0	0	0	No harm or help observed.	No cheating or fairness involved.	No betrayal or loyalty observed.	No subversion or authority involved.	No degradation or sanctity observed.	No oppression or liberty involved.	All norms are neutral, indicating no moral implications.	-0.2
49	Clifford	You see a pastor banning his congregants from wearing bright colors in the church.	orig		0	0	0	2	2	-2	-1	No direct harm or help observed.	No cheating or unfairness observed.	No betrayal or loyalty issue observed.	Pastor is exerting authority, but not subversive.	Banning bright colors may imply sanctity.	Banning colors could be seen as limiting liberty.	Slightly immoral due to subversion and degradation.	-2.6
50	Mickelberg	Person X always pays off their debts first before buying things for themselves.	orig		5	5	5	0	5	5	4	Person X helps creditors by paying debts	Person X acts fairly by prioritizing debts	Person X shows loyalty to commitments	Person X respects financial obligations	Person X values financial integrity	Person X exercises financial liberty responsibly	Scenario leans towards extreme R actions, indicating high moral acceptability	1.85
51	Kruepke	My mother would always bring home clothes for me that I hated and would never wear. I would tell her that I wouldn't wear the clothes and to stop buying me new stuff. She would get really mad at me.	orig		-2	-1	-1	-2	-1	-2	-3	Mother's actions unintentionally cause distress.	No cheating involved, but unfairness in preferences.	No betrayal, but misunderstanding of loyalty.	No subversion, but disregard for child's authority.	No degradation, but disrespect for child's taste.	No oppression, but restriction of child's choice.	Scenario leans towards harmful, unfair, disloyal, and oppressive acts	-0.44
52	Effron	Lent money to a friend in a financial crisis	orig		5	5	5	0	0	5	4	Lending money helps a friend.	Lending money is a fair act.	Lending money shows loyalty to a friend.	No authority is subverted in this scenario.	No degradation or sanctity involved.	Lending money promotes liberty from financial crisis.	High scores in moral norms indicate high moral acceptability	2.4
53	Mickelberg	Person X saved a man who was about to be hit by a car by jumping in front of the car and pushing him out of the way.	orig		5	0	5	0	0	5	-4	Person X helped prevent harm to the man.	No cheating or unfairness involved in the scenario.	Person X showed loyalty to the well-being of others.	No authority was subverted or upheld in this scenario.	No degradation or sanctity involved in the scenario.	Person X acted in favor of liberty by saving the man.	High scores in Harm, Betrayal, and Oppression norms	3.38
54	Clifford	You see an employee at a morgue eating his pepperoni pizza off of a dead body.	orig		-4	-2	-3	-4	-5	0	-3	Employee is causing harm to the deceased's dignity.	No cheating involved, but it's unfair to the deceased.	Employee is betraying the trust of the deceased's family.	Employee is subverting professional norms and authority.	Employee is degrading the sanctity of the morgue.	No oppression or liberty issue present.	Scenario leans towards immoral due to high harm, cheating, and degradation	-3.2
55	Clifford	You see an employee lying about how many hours she worked during the week.	orig		0	4	3	3	0	0	3	Neutral, as no direct harm or help is evident.	Strong act of cheating, as lying about hours worked is unfair.	Act of betrayal, as lying violates trust and loyalty.	Act of subversion, as it undermines company authority.	Neutral, as no act of degradation or sanctity is evident.	Neutral, as no act of oppression or liberty is evident.	Scenario leans towards fairness and loyalty but lacks harm or oppression	-2.9
56	Effron	Pushed into the front of a line at a theater	orig		-2	4	0	3	0	2	-1	No physical harm, but inconvenience to others.	Cutting in line is an unfair act.	No loyalty or betrayal involved.	Disregard for line order subverts authority.	No degradation or sanctity involved.	No oppression, but infringes on others' liberty.	Scenario leans towards fairness and authority but involves harm.	-1.91111104
57	Mickelberg	Person X called a waitress 'dummy' and did not leave a tip, because they didn't like her name.	orig		-3	-2	0	-1	-4	-2	-3	Person X harms waitress' feelings and income	Not tipping is unfair to waitress	No loyalty or betrayal in this scenario	Person X disrespects waitress' authority in service	Person X degrades waitress by calling her 'dummy'	Person X oppresses waitress by not respecting her	Scenario leans towards harmful, cheating, subversive, and degrading acts	-2.98
58	Clifford	You see a story about a remote tribe eating the flesh of their deceased members.	orig		0	0	5	5	5	0	-4	No direct harm or help observed	No cheating or fairness issue evident	Loyalty to their traditions and customs	Respect for their cultural practices and authority	Sanctity of their cultural practices	No oppression or liberty issue observed	Scenario leans towards extreme R in norms 3-5	-2.3
59	Cook	Someone brags on social media about drinking excessively to the point of vomiting	orig		-4	0	0	0	-3	0	-2	Excessive drinking harms physical health.	No cheating or fairness issue present.	No betrayal or loyalty issue present.	No subversion or authority issue present.	Excessive drinking degrades personal dignity.	No oppression or liberty issue present.	Scenario involves harm and degradation, but no other norm violations.	-1.19
60	Effron	Didn't leave a tip at the restaurant	orig		-3	-2	0	0	-1	0	-2	Not tipping may harm the server's income.	Not tipping can be seen as unfair to the server.	Not tipping does not necessarily imply betrayal.	Not tipping does not subvert authority.	Not tipping does not degrade the server.	Not tipping does not oppress the server.	Scenario leans towards harmful, cheating acts	-1.6571428
61	Mickelberg	Person X released intimate photos of their ex-partner to their friends and then posted them to the internet.	orig		-5	-4	-5	-3	-5	-4	-4	Extreme harm to ex-partner's privacy and reputation	Violation of trust and unfair exposure	Extreme betrayal of trust and intimacy	Subversion of privacy norms and laws	Degradation of ex-partner's dignity and privacy	Oppression of ex-partner's freedom and rights	Scenario involves extreme harm, cheating, betrayal, and degradation	-3.23
62	Clifford	You see the US Ambassador joking in Great Britain about the stupidity of Americans.	orig		-3	-2	-4	-3	-4	-2	-3.5	Potential harm to US image and unity	No direct cheating, but unfair to Americans	Betrayal of loyalty to the US	Subversion of US authority and respect	Degradation of US dignity and respect	No oppression, but undermines US liberty	Scenario leans towards harmful, cheating, betrayal, subversion, and oppression	-2.8
63	Kruepke	My current lover often complains about our sex life, saying we don't do it enough. Sometimes I will watch online porn and masturbate instead. Sometimes, I feel like it's just easier and more fun to do that.	orig		-3	-2	-2	0	-1	-1	-3	Potential harm to relationship due to unmet needs	Not cheating, but unfair to partner's needs	No active betrayal, but lack of loyalty to partner's needs	No subversion or authority issue in this context	No degradation, but lack of sanctity in relationship	No oppression, but lack of liberty in expressing sexuality	Scenario leans towards harmful, cheating, and betrayal	-0.35
64	Effron	Had a welcoming party for some new neighbors	orig		4	0	3	0	0	0	2.5	Welcoming party helps neighbors integrate	No cheating or fairness issues present	Loyalty to community by welcoming newcomers	No subversion or authority issues present	No degradation or sanctity issues present	No oppression or liberty issues present	High score in Harm/Help, moderate in Betrayal/Loyalty	1.97777784
65	Lotto	You are the commander of a Russian military submarine on a mission. You have been trapped for days at the bottom of the Pacific Ocean without energy. You have already asked for help several times, but there are no ships or submarines in the nearby waters and help is taking time to arrive. There are six crew members with you on board and your food supplies are getting low.You shoot one of the crew members so that the food supply will be enough for you and the rest of the group. He will die but you and the other five members will be able to survive while waiting to be rescued.	orig		-4	-3	-4	-3	-4	-4	-3	Commander causes harm to save others	Unequal distribution of resources	Commander betrays crew member's trust	Commander abuses authority for survival	Degrading act of killing a crew member	Commander oppresses crew member's right to life	Scenario leans towards harmful, cheating, betrayal, subversion, degradation, and oppression.	-1.43
66	Clifford	You see a boy turning up the TV as his father talks about his military service.	orig		0	0	0	-2	0	0	-0.67	No harm or help is evident.	No cheating or fairness issue present.	No betrayal or loyalty issue present.	Boy subverts father's authority by turning up TV.	No degradation or sanctity issue present.	No oppression or liberty issue present.	Scenario is slightly immoral due to subversion of authority	-2.1
67	Kruepke	I was working at a fast food restaurant and the policy was to throw away the excess food at the end of the night. Even if there was a large quantity of food left over you had to throw it away. Instead my friend and I would take home the extra food.	orig		4	-3	-2	-3	0	3	-2	Helping by reducing food waste and feeding people	Cheating by violating company policy	Betrayal of company trust and policy	Subverting company rules and authority	No significant impact on sanctity	Exercising personal liberty against oppressive policy	Scenario leans towards harmful, unfair, disloyal, and oppressive acts	0.39
68	Mickelberg	Person X left their long-term band as soon as an opportunity came up to play with a more successful band.	orig		0	-2	-3	0	0	3	-1.5	Neutral act, neither harms nor helps	Slightly unfair to the long-term band	Act of disloyalty towards the long-term band	Neutral act, no authority subverted	Neutral act, no degradation or sanctity	Act of liberty for the individual	Scenario leans towards immoral due to cheating and betrayal	-0.81
69	Lotto	You are in charge of an expedition which is crossing the Sahara. A sand storm causes your jeep to swerve off the road and overturn in the middle of the desert. You know that the nearest oasis is a week’s walk away. There are eight of you and a very limited amount of water, which will not allow you all to survive the scorching heat.You shoot two people so that there will be enough water for you and the rest of the group. These two will die, but you and the other five will be able to survive.	orig		-5	-4	-3	3	-5	-5	-4	Extreme harm to the two shot people	Unfair distribution of resources	Betrayal of trust of the two shot people	Authority used to make life-or-death decision	Degradation of human life	Oppression of the two shot people's rights	Scenario involves extreme harm, cheating, and betrayal	-1.57
70	Mickelberg	Person X was able to convince their boss that they were ready for a promotion at work.	orig		3	0	2	-2	0	2	1	Person X helps themselves by seeking promotion	Assuming honesty, no cheating involved	Person X shows loyalty to their career growth	Person X respects authority by seeking approval	No degradation or sanctity involved	Person X exercises liberty in career advancement	Scenario leans towards help, loyalty, and liberty, but has subversion	0.52
71	Clifford	You see a woman getting hired only because her father is close friends with the boss.	orig		0	4	2	3	0	2	2	Neutral impact on others' well-being.	Unfair hiring process, bypassing merit-based system.	Loyalty to personal connections over fairness.	Authority misused to favor personal connections.	No significant impact on moral purity.	Limits others' freedom to compete fairly.	Scenario leans towards right, but not extreme	-2.4
72	Effron	Stole into a parking place while someone else was backing in	orig		-3	-4	0	-2	0	0	-3	Potential harm to other driver's property	Unfairly taking a parking spot from another driver	No loyalty or betrayal involved	Subverting the unspoken rules of parking etiquette	No degradation or sanctity involved	No oppression or liberty involved	Scenario leans towards harmful, cheating acts	-1.93846152
73	Kruepke	A few years ago, I was single and I went to see a friend of mine in the Bahamas. I was extremely attracted to a man I met there who was married. I danced as close to the fire as I could, but I did nothing.	orig		0	2	-2	0	-2	0	-1	No harm was inflicted, but help was not provided either.	Thoughts of cheating were present, but no action was taken.	Loyalty to the man's marriage was maintained.	No authority was subverted or challenged.	No degradation occurred, sanctity of marriage was respected.	No oppression or liberty issues were involved.	Slightly immoral due to cheating and betrayal	-0.71
