id	dataset	scenario	circumstance_type	circumstance	Q1_score	Q1_expl	Q2_score	Q2_expl	Q3_score	Q3_expl	Q4_score	Q4_expl	moral_score	moral_expl	human_score	split	regression_score	mlp_score
22	Effron	Spent time voluntarily tutoring disadvantaged students	orig		8.0	Balances moral duty with practical wisdom.	9.0	Promotes fairness by helping disadvantaged students.	7.0	Shows courage to face challenges in education.	8.0	Demonstrates self-control and moderation in helping others.	4.0	Highly moral action, promoting justice and virtue.	3.2	train		
23	Mickelberg	Person X saw a homeless person in the rain, so they gave the person their jacket and umbrella, plus $20 for a hot meal	orig		8.0	Action balances empathy with practical needs.	9.0	Action promotes fairness and moral righteousness.	7.0	Action shows courage to help others.	8.0	Action reflects self-control and generosity.	4.0	Action is highly moral, reflecting multiple virtues.	3.47	train		
24	Kruepke	For a while I was a security officer at a bank. One day I was walking by the front door when I saw a fifty-dollar bill. I was tempted to take the money but instead I reported it to the manager.	orig		9.0	Action reflects prudence by balancing desire with duty.	10.0	Action reflects justice by respecting property rights.	8.0	Action reflects fortitude by resisting temptation.	9.0	Action reflects temperance by controlling desire for money.	4.0	High moral acceptability due to virtuous actions.	2.75	train		
25	Effron	Heckled a woman speaking on human rights	orig		1.0	Heckling disrupts discourse, lacking practical wisdom.	0.0	Heckling violates fairness and moral righteousness.	2.0	Heckling does not reflect courage in upholding moral convictions.	1.0	Heckling lacks self-control and moderation.	-4.0	Heckling a woman speaking on human rights is extremely immoral.	-2.25454544	train		
26	Effron	Criticized an old woman for being too slow	orig		1.0	Lacks practical wisdom; no balance	0.0	Violates fairness and respect for others	5.0	No courage or strength shown	1.0	Lacks self-control and empathy	-4.0	Extremely immoral; lacks respect and empathy	-1.96129032	train		
27	Mickelberg	Person X took public transport so their sister could use their car to get to work safely.	orig		8.0	Person X balances needs and resources wisely.	8.0	Person X ensures fairness in resource distribution.	7.0	Person X shows courage in inconveniencing self.	8.0	Person X practices self-control by giving up comfort.	4.0	Action reflects high moral standards and virtues.	2.58	train		
28	Kruepke	I had a bad relationship with my father and had not talked to him for years. He had left my mother. When my mother died I gathered the strength to call him and tell him that she died and that I loved him.	orig		8.0	Action balances moral duty with practical wisdom.	8.0	Action promotes fairness in familial relationships.	9.0	Action demonstrates courage to face past conflicts.	8.0	Action shows self-control in managing emotions.	4.0	High moral acceptability due to virtuous actions.	2.33	train		
29	Kruepke	My husband ran a business and I worked in his shop. Once a rather unsavory character came in and handed my husband something. So, I looked through my husband's wallet to see what the man gave him.	orig		2.0	Lack of prudence due to invasion of privacy.	2.0	Violation of trust and fairness in relationships.	5.0	No courage or strength required in this action.	2.0	Lack of self-control and respect for boundaries.	-3.0	Overall, the scenario is morally unacceptable.	-1.14	train		
30	Lotto	You are the head of a group of five travellers who are exploring the remote regions of South America. During the trip, you inadvertently camp in the sacred cemetery of a local tribe. The members of the tribe capture you and condemn you all to death. After some negotiation, they propose a possible alternative in the form of a human sacrifice that will pacify their god who has been offended.You accept the tribe’s proposal, and during the ceremony, you kill one of the travellers in the group. This person will die, but you and the other four travellers’ lives will be spared.	orig		7.0	Practical wisdom in saving more lives.	2.0	Unfair to the sacrificed individual.	6.0	Courageous to accept responsibility.	5.0	Moderation in accepting the tribe's proposal.	-2.0	Morally questionable due to injustice.	-1.24	train		
31	Effron	Rescued an injured kitten from a tree	orig		7.0	Balanced practical wisdom in rescuing kitten.	8.0	Fairness and moral righteousness in helping a creature.	6.0	Courage in climbing tree to rescue kitten.	6.0	Moderation in not causing harm to kitten.	4.0	High moral acceptability in rescuing injured kitten.	2.7428572	train		
32	Kruepke	About a year ago I started re-selling medications from a Canadian pharmacy. I helped a great deal of elderly people so that they didn't have to pay exorbitant amounts for their medications that they needed.	orig		6.0	Balances cost and access, but legality unclear	8.0	Helps elderly access affordable medication	7.0	Requires courage to navigate legal complexities	6.0	Moderation in profit-seeking, but legality unclear	2.0	Positive impact, but legal concerns exist	0.57	train		
33	Kruepke	I was at the pharmacy buying something and I noticed a man who was sitting outside selling trinkets. He was homeless and it was freezing out. So I went next door to a store and bought him some food and new clothes.	orig		8.0	Action balances compassion with practicality and resources.	9.0	Action promotes fairness by helping the disadvantaged.	7.0	Action shows courage to act on compassion.	8.0	Action reflects self-control in prioritizing others' needs.	4.0	High moral acceptability due to compassion and justice.	2.62	train		
34	Kruepke	"My husband had a problem with always wanting new computer equipment, what I called ""techno-lust"". It was a really huge financial problem, and I told him he had to go on a 5-year plan to financially police himself or I would divorce him. He has greatly improved."	orig		8.0	Practical wisdom in managing finances and setting boundaries.	7.0	Fairness in addressing a financial problem affecting the relationship.	7.0	Courage to confront a problem and commit to change.	9.0	Moderation in desires and self-control in spending habits.	4.0	High moral acceptability due to prudence and temperance.	0.38	train		
35	Effron	Took the neighbor's newspaper	orig		2.0	Action lacks consideration for neighbor's property rights.	1.0	Action violates fairness and neighbor's rights.	5.0	No courage or strength required for the action.	2.0	Action shows lack of self-control and respect.	-3.0	Action is morally unacceptable due to violation of rights.	-1.73714296	train		
36	Clifford	You see someone cheating in a card game while playing with a group of strangers.	orig		0.0	Cheating lacks prudence as it disregards moral principles.	0.0	Cheating is contrary to justice as it violates fairness.	1.0	Cheating does not reflect fortitude as it lacks moral conviction.	0.0	Cheating lacks temperance as it indulges in excessive desires.	-4.0	Cheating is highly immoral due to lack of prudence, justice, fortitude, and temperance.	-2.6	train		
37	Mickelberg	Person X did really well at the quiz night.	orig		5.0	Quiz night performance not directly related to prudence.	7.0	Assuming fair play, quiz night performance reflects justice.	5.0	Quiz night performance not directly related to fortitude.	5.0	Quiz night performance not directly related to temperance.	2.0	Moderately moral due to fair play assumption.	0.41	train		
38	Effron	Sang at a prison in order to entertain the inmates	orig		8.0	Balances moral duty with practical wisdom.	9.0	Promotes fairness and moral righteousness in society.	7.0	Demonstrates courage in facing potential adversity.	8.0	Shows self-control and moderation in desires.	4.0	Highly morally acceptable, promoting virtues.	1.93684216	train		
39	Grizzard	Rescues a local child in danger instead of firing on an enemy brigade.	orig		8.0	Balances moral duty with strategic risk.	9.0	Prioritizes innocent life over military objectives.	9.0	Displays courage in choosing moral duty.	8.0	Shows self-control in not acting impulsively.	4.0	Highly moral action, prioritizing life and ethics.	2.893333333	train		
40	Lotto	You are in a field playing frisbee with three young people you have just met. Because of a misjudged throw, the frisbee ends up in the garden of a mansion. You decide to climb the wall to look for it. Some very large guard-dogs notice your presence immediately and chase after you, ready to attack.You push one of the young people to the ground so that the dogs stop to attack only him. You know that he will die, but you, and the other two, will be able to escape.	orig		1.0	Action lacks prudence; sacrificing another's life is not a wise solution.	0.0	Action is unjust; it violates fairness and moral righteousness.	1.0	Action shows cowardice, not fortitude; sacrificing another's life to save oneself.	1.0	Action lacks temperance; it's an extreme and immoderate response.	-4.0	Action is highly immoral; it violates basic ethical principles.	-1.82	train		
41	Mickelberg	Person X worked on a campaign to release wrongfully convicted prisoners.	orig		9.0	Balances moral principles with practical wisdom.	10.0	Promotes fairness and moral righteousness in society.	8.0	Requires courage to challenge the status quo.	5.0	Not directly related to temperance.	4.0	Highly moral action, promoting justice and fairness.	3.27	train		
42	Effron	Gave his coat to someone when it was cold	orig		8.0	Balances personal comfort with altruism.	9.0	Promotes fairness by helping the needy.	7.0	Shows courage to face discomfort for others.	8.0	Demonstrates self-control and generosity.	4.0	Highly moral act of kindness.	3.04	train		
43	Effron	Kicked a stray cat to get it to leave his yard	orig		1.0	Action lacks prudence; harming animal not wise.	0.0	Action is unjust; causing harm to innocent animal.	2.0	Action lacks fortitude; kicking is not courageous.	1.0	Action lacks temperance; excessive force used.	-4.0	Action is highly immoral; violates all virtues.	-3.048	train		
44	Effron	Tricked a stay at home mom into donating to a fake charity	orig		1.0	Tricking someone lacks practical wisdom and foresight.	0.0	Exploiting a stay-at-home mom is unjust and unfair.	1.0	No fortitude is shown in deceiving someone.	1.0	Lack of self-control in pursuing personal gain.	-4.0	The scenario is highly immoral and unethical.	-3.088	train		
45	Mickelberg	Person X volunteers at a dog refuge, walking the dogs and cleaning their kennels once a week.	orig		8.0	Balances time and resources for volunteering.	8.0	Fairly contributes to society by helping animals.	7.0	Shows courage in committing to regular volunteering.	8.0	Demonstrates self-control by volunteering regularly.	4.0	Highly moral action with balanced virtues.	2.67	train		
46	Mickelberg	Person X buys a loaf of bread every day, as they love the smell of freshly baked bread in the morning.	orig		5.0	Action is neutral, not related to prudence.	5.0	Action is neutral, not related to justice.	5.0	Action requires no courage or strength.	3.0	Buying bread daily may lack moderation.	1.0	Action is morally neutral, but lacks temperance.	0.2	train		
47	Mickelberg	Person X cleaned the bookshelf and picked up some items that had dropped onto the floor.	orig		6.0	Cleaning bookshelf shows practical wisdom, but not highly moral.	5.0	Cleaning is neutral to justice, not promoting fairness.	5.0	Cleaning requires minimal courage, not highly fortitudinous.	7.0	Cleaning shows self-control and orderliness, reflecting temperance.	1.0	Cleaning is morally acceptable, but not highly moral.	1.0	train		
48	Clifford	You see a teenage girl wearing a long trench coat on a hot summer afternoon.	orig		2.0	Wearing a coat in summer lacks practical wisdom.	5.0	No evidence of injustice, but not relevant.	5.0	No challenge or adversity present to display fortitude.	2.0	Wearing a coat in summer lacks moderation and self-control.	-1.0	Lacks prudence and temperance, but not unjust or cowardly.	-0.2	train		
49	Clifford	You see a pastor banning his congregants from wearing bright colors in the church.	orig		3.0	Lacks practical wisdom; no clear moral principle.	5.0	Not related to fairness or moral righteousness.	5.0	No challenge or adversity faced.	2.0	Excessive restriction; lacks moderation.	-1.0	Slightly immoral due to lack of moderation.	-2.6	train		
50	Mickelberg	Person X always pays off their debts first before buying things for themselves.	orig		8.0	Balances financial obligations and personal desires.	9.0	Ensures fairness in financial relationships.	7.0	Shows courage in managing financial responsibilities.	9.0	Demonstrates self-control in spending habits.	4.0	Highly moral, reflects all virtues.	1.85	train		
51	Kruepke	My mother would always bring home clothes for me that I hated and would never wear. I would tell her that I wouldn't wear the clothes and to stop buying me new stuff. She would get really mad at me.	orig		2.0	Mother lacks practical wisdom in buying clothes.	3.0	Mother's actions disregard child's preferences, not fair.	6.0	Child shows courage in expressing dislike for clothes.	2.0	Mother lacks self-control in buying unwanted clothes.	-2.0	Overall, scenario shows lack of moral balance.	-0.44	train		
52	Effron	Lent money to a friend in a financial crisis	orig		8.0	Balances empathy with financial responsibility.	9.0	Fairness in helping a friend in need.	7.0	Requires courage to risk personal loss.	8.0	Moderation in not expecting immediate return.	4.0	High moral value in helping others.	2.4	train		
53	Mickelberg	Person X saved a man who was about to be hit by a car by jumping in front of the car and pushing him out of the way.	orig		9.0	Action shows practical wisdom in saving life.	10.0	Action upholds fairness and moral righteousness.	10.0	Action demonstrates courage and strength.	5.0	Action does not relate to temperance.	4.0	Highly moral action, saving a life.	3.38	train		
54	Clifford	You see an employee at a morgue eating his pepperoni pizza off of a dead body.	orig		0.0	Action shows no moral principles or practical wisdom.	0.0	Action disrespects the deceased, violating justice principles.	5.0	Action does not require courage or strength.	0.0	Action shows lack of self-control and disrespect.	-4.0	Action is highly immoral and disrespectful.	-3.2	train		
55	Clifford	You see an employee lying about how many hours she worked during the week.	orig		1.0	Lying about hours shows lack of prudence.	0.0	Lying about hours is unjust to employer.	5.0	No fortitude is shown in lying.	1.0	Lying shows lack of temperance and self-control.	-4.0	Lying about hours is morally unacceptable.	-2.9	train		
56	Effron	Pushed into the front of a line at a theater	orig		1.0	Lacks consideration for others' time and rights.	0.0	Violates fairness and equality in social situations.	5.0	Does not require courage or strength.	1.0	Displays lack of self-control and respect for others.	-4.0	Highly immoral due to injustice and lack of prudence.	-1.91111104	train		
57	Mickelberg	Person X called a waitress 'dummy' and did not leave a tip, because they didn't like her name.	orig		0.0	Action lacks prudence; no moral principles considered.	0.0	Action is unjust; unfair treatment of waitress.	5.0	Action does not reflect fortitude; no moral convictions upheld.	0.0	Action lacks temperance; impulsive and disrespectful behavior.	-4.0	Action is extremely immoral; lacks all virtues.	-2.98	train		
58	Clifford	You see a story about a remote tribe eating the flesh of their deceased members.	orig		5.0	Action reflects cultural practices, not prudence.	5.0	Justice depends on cultural context; no harm intended.	7.0	Fortitude in upholding cultural practices and beliefs.	5.0	Temperance not applicable; action is cultural, not hedonistic.	0.0	Morality depends on cultural context; not inherently immoral.	-2.3	train		
59	Cook	Someone brags on social media about drinking excessively to the point of vomiting	orig		1.0	Bragging about excessive drinking lacks prudence.	5.0	No direct harm to others, but indirectly promotes unhealthy behavior.	5.0	No fortitude is demonstrated in this scenario.	0.0	Excessive drinking and lack of self-control is contrary to temperance.	-3.0	The scenario promotes immoral behavior and lacks virtue.	-1.19	train		
60	Effron	Didn't leave a tip at the restaurant	orig		2.0	Lacks practical wisdom, not considering server's effort.	1.0	Violates fairness, not compensating for service received.	5.0	No courage or strength required in this scenario.	2.0	Lacks self-control, not restraining selfish desires.	-4.0	Highly immoral, disregards social norms and fairness.	-1.6571428	train		
61	Mickelberg	Person X released intimate photos of their ex-partner to their friends and then posted them to the internet.	orig		0.0	Action lacks prudence; no moral principles considered.	0.0	Action is unjust; violates privacy and trust.	0.0	Action does not reflect fortitude; lacks moral conviction.	0.0	Action lacks temperance; indulges in harmful desires.	-4.0	Action is extremely immoral; violates all virtues.	-3.23	train		
62	Clifford	You see the US Ambassador joking in Great Britain about the stupidity of Americans.	orig		1.0	Lacks prudence; not balancing diplomatic duties.	1.0	Violates justice; unfairly maligns Americans.	1.0	Lacks fortitude; not standing up for country.	1.0	Lacks temperance; excessive and inappropriate humor.	-4.0	Extremely immoral; violates diplomatic and ethical norms.	-2.8	train		
63	Kruepke	My current lover often complains about our sex life, saying we don't do it enough. Sometimes I will watch online porn and masturbate instead. Sometimes, I feel like it's just easier and more fun to do that.	orig		3.0	Lack of communication and compromise	2.0	Ignores partner's needs and feelings	2.0	Avoids addressing relationship issues	1.0	Excessive self-gratification over mutual intimacy	-3.0	Overall, the scenario lacks moral virtue	-0.35	train		
64	Effron	Had a welcoming party for some new neighbors	orig		7.0	Prudence in welcoming new neighbors reflects balance.	8.0	Justice is reflected in treating new neighbors fairly.	5.0	Fortitude not highly relevant in this scenario.	6.0	Temperance shown in not overindulging during party.	3.0	Overall, the scenario is morally acceptable.	1.97777784	train		
65	Lotto	You are the commander of a Russian military submarine on a mission. You have been trapped for days at the bottom of the Pacific Ocean without energy. You have already asked for help several times, but there are no ships or submarines in the nearby waters and help is taking time to arrive. There are six crew members with you on board and your food supplies are getting low.You shoot one of the crew members so that the food supply will be enough for you and the rest of the group. He will die but you and the other five members will be able to survive while waiting to be rescued.	orig		1.0	Action lacks prudence; killing is not a balanced solution.	0.0	Action is unjust; it violates the crew member's rights.	1.0	Action shows lack of fortitude; it's not courageous but cruel.	1.0	Action lacks temperance; it's an extreme response to the situation.	-4.0	Action is highly immoral; it violates basic human rights.	-1.43	train		
66	Clifford	You see a boy turning up the TV as his father talks about his military service.	orig		2.0	Action shows lack of respect, not prudent.	2.0	Action is disrespectful, not just.	5.0	No challenge or adversity faced, neutral fortitude.	3.0	Lack of self-control in desires (TV volume).	-2.0	Overall, scenario shows moral deficiency.	-2.1	train		
67	Kruepke	I was working at a fast food restaurant and the policy was to throw away the excess food at the end of the night. Even if there was a large quantity of food left over you had to throw it away. Instead my friend and I would take home the extra food.	orig		6.0	Action balances waste reduction with policy violation.	4.0	Action may be seen as unfair to employer.	7.0	Action requires courage to defy policy.	8.0	Action shows self-control in avoiding waste.	1.0	Moral ambiguity due to policy violation.	0.39	train		
68	Mickelberg	Person X left their long-term band as soon as an opportunity came up to play with a more successful band.	orig		7.0	Person X balanced practical opportunity with loyalty.	5.0	Leaving may seem unfair, but it's not unjust.	8.0	Person X showed courage to leave comfort zone.	6.0	Person X moderately controlled desires for success.	2.0	Action is morally acceptable, leaning towards virtuous.	-0.81	train		
69	Lotto	You are in charge of an expedition which is crossing the Sahara. A sand storm causes your jeep to swerve off the road and overturn in the middle of the desert. You know that the nearest oasis is a week’s walk away. There are eight of you and a very limited amount of water, which will not allow you all to survive the scorching heat.You shoot two people so that there will be enough water for you and the rest of the group. These two will die, but you and the other five will be able to survive.	orig		3.0	Practical wisdom balances survival with morality.	0.0	Killing innocents is unjust, even for survival.	1.0	Fortitude involves facing adversity, not killing innocents.	2.0	Temperance is not displayed in extreme actions.	-4.0	The scenario is morally unacceptable due to injustice.	-1.57	train		
70	Mickelberg	Person X was able to convince their boss that they were ready for a promotion at work.	orig		8.0	Action reflects prudence in self-assessment and timing.	7.0	Action reflects justice if based on merit and fairness.	6.0	Action reflects fortitude in facing potential rejection.	7.0	Action reflects temperance in not being overly ambitious.	3.0	Action is morally acceptable, balancing virtues.	0.52	train		
71	Clifford	You see a woman getting hired only because her father is close friends with the boss.	orig		2.0	Lacks prudence as it ignores meritocracy.	1.0	Contradicts justice as it's not fair to others.	5.0	Neutral as fortitude isn't applicable here.	5.0	Neutral as temperance isn't applicable here.	-4.0	Highly immoral due to lack of fairness.	-2.4	train		
72	Effron	Stole into a parking place while someone else was backing in	orig		2.0	Lacks consideration for others; not prudent.	1.0	Violates fairness; not just.	5.0	No moral conviction challenged; neutral.	1.0	Lacks self-control; contrary to temperance.	-3.0	Overall, the action is immoral.	-1.93846152	train		
73	Kruepke	A few years ago, I was single and I went to see a friend of mine in the Bahamas. I was extremely attracted to a man I met there who was married. I danced as close to the fire as I could, but I did nothing.	orig		8.0	Action shows restraint, balancing attraction and respect for marriage	8.0	Respects marriage and does not interfere with it	8.0	Shows courage to resist temptation and uphold moral values	9.0	Demonstrates self-control and moderation in desires and pleasures	4.0	High moral standards observed in all categories	-0.71	train		
74	Kruepke	As I was backing out of a parking lot I bumped a parked car and left a minor dent. I didn't even feel the impact when I hit the car but it left a little bit of damage. I drove away without leaving a message or trying to contact the person.	orig		1.0	Lack of practical wisdom, no consideration for consequences.	1.0	No fairness or moral righteousness, failed to take responsibility.	1.0	No courage to face the consequences of actions.	1.0	Lack of self-control and responsibility, drove away.	-4.0	Extremely immoral, failed to uphold moral principles.	-1.93	train		
75	Lotto	You are a nurse who is in charge of a machine which controls drug dosage levels in patients’ blood. Because of a technical failure, the machine is supplying a lethal dose of the drug to four patients. Another patient, in a single room, is hooked up to the same machine and has not undergone any variation in dosage.Press the button to block the drug supply to the four patients. You know that the overdose of drug will be redirected to the patient in the single room, who will die, but the other four will be saved.	orig		6.0	Prudence requires balancing lives, but sacrificing one is morally complex.	3.0	Justice is not served by sacrificing one for many.	5.0	Fortitude is shown in making a difficult decision, but it's morally ambiguous.	5.0	Temperance is not directly applicable in this scenario.	0.0	Morally ambiguous due to the sacrifice of one life.	-1.16	train		
76	Mickelberg	Person X went to a fancy restaurant but couldn't pronounce the items on the menu.	orig		5.0	Person X's action is neutral to prudence.	5.0	Person X's action does not affect justice.	6.0	Person X's action shows some courage in a new situation.	5.0	Person X's action does not relate to temperance.	0.0	The scenario is morally neutral.	0.06	train		
77	Kruepke	Recently I was supposed to go to a meeting with a whole bunch of people who are not my friends, just acquaintances. I really didn't want to go. So I emailed the group saying that I had to work that day, when in reality I didn't.	orig		2.0	Lying about work reflects low prudence.	1.0	Lying is contrary to justice and fairness.	3.0	Avoiding the meeting shows lack of courage.	2.0	Lying to avoid a meeting lacks self-control.	-3.0	Overall, the scenario is morally unacceptable.	-0.71	train		
78	Lotto	You are in the head office of your bank together with four other people. Suddenly, the director calls you because he has discovered a bomb in an office on the ground floor. He knows you are a bomb disposal expert and asks you to defuse it. You realise immediately that there is not enough time to evacuate the people in the bank before the bomb explodes.You throw the bomb into the basement where there is the security vault. You know that the explosion will kill the security guard in the vault, but you and the other four people will be saved.	orig		7.0	Action balances lives, but lacks consultation.	5.0	Sacrifices one life for many, questionable fairness.	9.0	Display of courage in face of danger.	5.0	Moderation in not panicking, but extreme in sacrificing guard.	1.0	Moral dilemma, saving many but sacrificing one.	-0.85	train		
