id	dataset	scenario	circumstance_type	circumstance	vulnerable_score	intentional_score	harm_score	help_score	moral_score	vulnerable_expl	intentional_expl	harm_expl	help_expl	moral_expl	agent	assumption_for_agent	patient	assumption_for_patient	human_score
11	Effron	Complimented coworkers on their clothing and appearance	orig		4	7	1	4	1.5	Medium-Low Vulnerability (score of 3-5): The patient is an adult with resilience.	Medium-High Intentionality (score of 6-8): The agent deliberately complimented the patient.	Minimum Harm (score of 0-2): Complimenting someone's appearance does not cause harm.	Medium-Low Help (score of 3-5): Complimenting someone's appearance can provide minor emotional support.	Low harm, moderate intent, and help; moderate vulnerability.	The agent of this action was a coworker.	The assumption made about the agent is that they are a professional adult working in the same environment as the patient.	The patient being affected by this action is another coworker.	The assumption made about the patient is that they are a professional adult working in the same environment as the agent.	1.17894736
12	Kruepke	I was in a relationship with my best friend's cousin. She was really beautiful, but as time went on I became less attracted to her. I tried to tell her I didn't really want to see her anymore and she flipped out.	orig		7	7	7	1	-3	Medium-High Vulnerability (score of 6-8): The girlfriend is an average person with some susceptibility to emotional harm.	Medium-High Intentionality (score of 6-8): The narrator has thought about ending the relationship and is acting on that decision.	Medium-High Harm (score of 6-8): The girlfriend is experiencing emotional pain and distress due to the breakup.	Minimum Help (score of 0-2): The narrator is not providing any help or support to the girlfriend during this time.	High vulnerability, intent, and harm; minimal help.	The agent of this action is the person in the relationship, who is the narrator.	The assumption made about the agent is that they are trying to end the relationship with their partner.	The patient being affected by this action is the narrator's girlfriend, who is also their best friend's cousin.	The assumption made about the patient is that she is emotionally invested in the relationship and is not expecting it to end.	0.91
13	Lotto	You are on holiday at the seaside and returning to shore in your motorboat. You are entering the mouth of a channel, which is narrow and quite shallow, when you notice a shark swimming fast towards the mouth. At the end of the channel is a swimmer, who is calmly bathing. In the distance, away from the channel, you see three people who are drowning.You turn quickly out of the channel, leaving the mouth free. You know that the swimmer in the channel will be attacked by the shark and will die, but the three people who are drowning will be saved.	orig		9	8	10	10	0	The swimmer in the channel is highly vulnerable (9) as they are defenseless against the shark.	The action was intentional (8) as the agent made a conscious decision to leave the channel.	The action caused maximum harm (10) to the swimmer in the channel.	The action caused maximum help (10) to the three people who were drowning.	High vulnerability, intent, harm, and help; mixed morality	The agent of this action is the person operating the motorboat.	The assumption made about the agent is that they are capable of operating the motorboat and making decisions in a crisis situation.	The patient being affected by this action is the swimmer in the channel and the three people who are drowning.	The assumption made about the patient is that they are in need of help and are vulnerable to the dangers of the sea.	-0.46
14	Mickelberg	Person X broke off all communication with their family for a while because they had a heated argument with each other.	orig		7	7	4	1	-2	Medium-High Vulnerability (score of 6-8): Families can be vulnerable to emotional distress caused by a breakdown in communication.	Medium-High Intentionality (score of 6-8): Person X intentionally broke off communication after a heated argument.	Medium-Low Harm (score of 3-5): The harm caused is emotional distress and lack of communication, not physical harm.	Minimum Help (score of 0-2): No help was provided as Person X chose to break off communication.	High vulnerability, intent, and harm outweigh help.	Person X	Person X is assumed to be an adult with the ability to make decisions and communicate with others.	The family of Person X	The family of Person X is assumed to be a group of individuals who are emotionally connected to Person X and are affected by their actions.	-0.38
15	Mickelberg	Person X presented their colleague's idea as their own in order to get a promotion.	orig		7	9	7	0	-3	Medium-High Vulnerability (score of 6-8): The colleague is an average individual who may be affected by the action	Maximum Intentionality (score of 9-10): Person X deliberately presented the idea as their own	Medium-High Harm (score of 6-8): The colleague's reputation and potential recognition were significantly harmed	Minimum Help (score of 0-2): No help was provided to the colleague	High vulnerability, intent, and harm; no help.	Person X	Person X is a colleague who is seeking a promotion	The colleague whose idea was stolen	The colleague is a professional who may be affected by the action	-2.86
16	Clifford	You see an employee joking with competitors about how bad his company did last year.	orig		4	7	4	0	-2	Medium-Low Vulnerability (score of 3-5): Companies are resilient but can be affected by negative publicity.	Medium-High Intentionality (score of 6-8): The employee intentionally shared information with competitors.	Medium-Low Harm (score of 3-5): The company's reputation may be slightly damaged.	Minimum Help (score of 0-2): The employee did not provide any help to the company.	High intent, moderate harm and vulnerability, no help	The employee	The employee is assumed to be a person who is employed by the company and has knowledge of its performance.	The company	The company is assumed to be an entity that can be affected by the actions of its employees.	-2
17	Cook	Someone posts on social media bragging about making out with multiple strangers the night before	orig		7	7	1	1	-2	Medium-High Vulnerability (score of 6-8): The strangers are assumed to be average adults with some susceptibility to harm.	Medium-High Intentionality (score of 6-8): The agent intentionally engaged in intimate activities with multiple strangers.	Minimum Harm (score of 0-2): No harm is explicitly mentioned in the scenario.	Minimum Help (score of 0-2): No help is provided in the scenario.	High vulnerability and intent, low harm and help	The agent of this action is the person who posted on social media.	The assumption made about the agent is that they are comfortable sharing personal information publicly and engaging in intimate activities with strangers.	The patient being affected by this action is the multiple strangers the agent made out with.	The assumption made about the patients is that they are also comfortable engaging in intimate activities with strangers.	-1.22
18	Clifford	You see a girl shooting geese repeatedly with a pellet gun out in the woods.	orig		7	9	8	0	-3	Geese are living creatures with some vulnerability (c)	The girl is intentionally shooting the geese (d)	Pellet guns can cause injury or death to geese (d)	No help is being provided to the geese (a)	High vulnerability, intent, and harm; no help.	The girl	She is the one actively using the pellet gun to shoot geese	The geese	They are the ones being targeted and affected by the girl's actions	-3
19	Clifford	You see a family eating the carcass of their pet dog that had been run over.	orig		10	7	10	0	-4	Maximum vulnerability (score of 10), as it was a deceased animal	Medium-high intentionality (score of 7), as they made a conscious decision to eat the dog	Maximum harm (score of 10), as the dog was killed and consumed	Minimum help (score of 0), as no help was provided to the dog	High vulnerability, intent, and harm; no help.	The family members	They are in a situation of extreme need or desperation	The pet dog	It was a beloved family pet that had been run over	-3.2
20	Mickelberg	Person X stole the collection tin of a blind beggar on the street.	orig		10	10	7	0	-3	Maximum vulnerability due to disability and reliance on the collection tin.	Maximum intentionality as the action was a deliberate theft.	Medium-high harm as the action deprives the beggar of their livelihood.	Minimum help as no help was provided.	High vulnerability, intent, and harm; no help.	Person X	Person X is assumed to be a person capable of stealing and understanding the consequences of their actions.	The blind beggar	The blind beggar is assumed to be a person who relies on the collection tin for their livelihood.	-3.38
21	Effron	Refused to hold the door for a man in a wheelchair	orig		10	7	4	0	-3	Maximum vulnerability due to disability and reliance on others	Medium-high intentionality as the action was deliberate	Medium-low harm as it caused inconvenience and frustration	Minimum help as no assistance was provided	High vulnerability, intent, and harm; no help provided.	The person who refused to hold the door	The agent is assumed to be able-bodied and capable of holding the door	The man in a wheelchair	The patient is assumed to have mobility limitations and requires assistance with doors	-3.008
22	Effron	Spent time voluntarily tutoring disadvantaged students	orig		9	9	0	7	2	Disadvantaged students are highly susceptible to harm due to their lack of resources and support.	The action was highly intentional, as the person chose to spend time tutoring the students.	No harm was caused, as the action was intended to help the students.	The action provided substantial help to the students, as they gained access to educational resources and support.	High vulnerability and intent, but no harm and significant help.	The agent of this action is the person who voluntarily tutored disadvantaged students.	The assumption made about the agent is that they are a person with knowledge in a particular subject area and a willingness to help others.	The patients being affected by this action are the disadvantaged students.	The assumption made about the patients is that they are students who lack access to educational resources and support.	3.2
23	Mickelberg	Person X saw a homeless person in the rain, so they gave the person their jacket and umbrella, plus $20 for a hot meal	orig		10	7	0	7	3	Maximum vulnerability due to homelessness and exposure to rain.	Medium-high intentionality as the action was thoughtful and planned.	Minimum harm as the action was helpful, not harmful.	Medium-high help as the action provided substantial assistance.	High vulnerability, intent, and help; no harm.	Person X	Person X is assumed to be a compassionate individual with the means to help the homeless person.	The homeless person	The homeless person is assumed to be in a vulnerable situation, lacking basic necessities such as shelter and food.	3.47
24	Kruepke	For a while I was a security officer at a bank. One day I was walking by the front door when I saw a fifty-dollar bill. I was tempted to take the money but instead I reported it to the manager.	orig		0	5	0	4	2	Inanimate objects have no vulnerability (score of 0)	The security officer considered taking the money (score of 5)	No harm was caused as the money was not taken (score of 0)	The security officer reported the money, providing medium-low help (score of 4)	Low intent, no harm, some help provided	The security officer at the bank	The security officer is assumed to be an honest and responsible individual	The fifty-dollar bill	The fifty-dollar bill is assumed to be a lost item	2.75
25	Effron	Heckled a woman speaking on human rights	orig		7	7	4	0	-2	Medium-High Vulnerability (score of 6-8): She is an average individual with some susceptibility to harm.	Medium-High Intentionality (score of 6-8): Heckling requires some degree of thought and planning.	Medium-Low Harm (score of 3-5): Heckling can cause minor damage or harm, such as emotional distress.	Minimum Help (score of 0-2): Heckling does not provide any help or support.	High vulnerability and intent, moderate harm, no help.	The agent of this action is the person who heckled the woman speaking on human rights.	The assumption made about the agent is that they are someone who disagrees with or disrespects the woman's views on human rights.	The patient being affected by this action is the woman speaking on human rights.	The assumption made about the patient is that she is a human rights advocate or activist.	-2.25454544
26	Effron	Criticized an old woman for being too slow	orig		8	6	5	0	-3	Old age and potential frailty increase vulnerability.	Criticizing requires intentionality, but no extensive planning.	Criticism can cause emotional harm, but not physical harm.	No help was provided in this scenario.	High vulnerability, intent, and harm; no help.	The agent of this action is the person who criticized the old woman.	The assumption made about the agent is that they are impatient and insensitive.	The patient being affected by this action is the old woman.	The assumption made about the patient is that she is physically slow and possibly emotionally sensitive.	-1.96129032
27	Mickelberg	Person X took public transport so their sister could use their car to get to work safely.	orig		7	9	1	7	1.5	Medium-High Vulnerability (score of 6-8): The sister is an average individual with some susceptibility to harm.	Maximum Intentionality (score of 9-10): Person X made a deliberate decision to take public transport.	Minimum Harm (score of 0-2): No harm was caused to the sister.	Medium-High Help (score of 6-8): Person X provided substantial help by allowing their sister to use the car.	High intent, low harm, but high vulnerability	Person X	Person X is assumed to be a responsible and considerate individual who prioritizes their sister's safety and needs.	The sister	The sister is assumed to be a person who relies on her sibling for transportation and trusts them to make decisions that ensure her safety.	2.58
28	Kruepke	I had a bad relationship with my father and had not talked to him for years. He had left my mother. When my mother died I gathered the strength to call him and tell him that she died and that I loved him.	orig		7	7	8	7	-2	The father is of average resilience, with some susceptibility to harm.	The narrator acted following some degree of thought and planning.	The news of the mother's death caused significant emotional harm.	The narrator provided substantial emotional support by expressing love.	High vulnerability, intent, and harm outweigh help	The agent of this action is the narrator.	The narrator is a person who had a strained relationship with their father but decided to reach out to him after their mother's death.	The patient being affected by this action is the narrator's father.	The father is a person who left the narrator's mother and had not been in contact with the narrator for years.	2.33
29	Kruepke	My husband ran a business and I worked in his shop. Once a rather unsavory character came in and handed my husband something. So, I looked through my husband's wallet to see what the man gave him.	orig		1	7	1	1	-1	Minimum vulnerability (score of 0-2): Inanimate objects cannot be harmed	Medium-High Intentionality (score of 6-8): She acted with some thought and planning	Minimum Harm (score of 0-2): No harm was caused to the wallet	Minimum Help (score of 0-2): No help was provided as the action was not intended to help	Low vulnerability and harm, but high intent	The wife	She was curious and concerned about the unsavory character's interaction with her husband	The husband's wallet	It is an inanimate object that contains personal belongings	-1.14
30	Lotto	You are the head of a group of five travellers who are exploring the remote regions of South America. During the trip, you inadvertently camp in the sacred cemetery of a local tribe. The members of the tribe capture you and condemn you all to death. After some negotiation, they propose a possible alternative in the form of a human sacrifice that will pacify their god who has been offended.You accept the tribe’s proposal, and during the ceremony, you kill one of the travellers in the group. This person will die, but you and the other four travellers’ lives will be spared.	orig		7	10	10	7	-1	Average vulnerability due to being a typical adult (score of 7)	Maximum intentionality due to extensive planning and deliberate thought (score of 10)	Maximum harm due to ending a life (score of 10)	Medium-high help due to saving the lives of four other travellers (score of 7)	High vulnerability, intent, and harm; mitigated by help	The head of the group of travellers	The head of the group is assumed to be a responsible and decisive individual capable of making difficult decisions for the group.	One of the travellers in the group	The traveller is assumed to be an average adult with no special resilience or vulnerability.	-1.24
31	Effron	Rescued an injured kitten from a tree	orig		9	8	0	10	3	Kittens are highly vulnerable due to their small size and inability to care for themselves.	The action was intentional as the person made a conscious decision to rescue the kitten.	No harm was caused as the action was a rescue mission.	The action provided maximum help as it saved the kitten from further harm.	High vulnerability and intent, but no harm and maximum help.	The agent of this action is the person who rescued the kitten.	The assumption made about the agent is that they are capable of climbing a tree and handling an injured animal.	The patient being affected by this action is the injured kitten.	The assumption made about the patient is that it is a young cat that is unable to climb down the tree on its own due to an injury.	2.7428572
32	Kruepke	About a year ago I started re-selling medications from a Canadian pharmacy. I helped a great deal of elderly people so that they didn't have to pay exorbitant amounts for their medications that they needed.	orig		8	8	0	7	2.5	Elderly people are often more vulnerable due to age and health issues.	The action was intentional, as the agent purposefully started re-selling medications.	No harm was caused, as the agent helped the elderly afford their medications.	The agent provided significant help by making medications more affordable.	High intent, help, but less harm	The agent of this action is the person who started re-selling medications from a Canadian pharmacy.	The assumption made about the agent is that they are a reseller of medications, possibly with some knowledge of pharmaceuticals and pricing.	The patients being affected by this action are elderly people who need medications.	The assumption made about the patients is that they are financially vulnerable and in need of affordable medications.	0.57
33	Kruepke	I was at the pharmacy buying something and I noticed a man who was sitting outside selling trinkets. He was homeless and it was freezing out. So I went next door to a store and bought him some food and new clothes.	orig		10	7	0	7	3	Maximum vulnerability due to homelessness and freezing conditions.	Medium-high intentionality due to thought and planning.	Minimum harm as no harm was intended or caused.	Medium-high help due to providing substantial assistance.	High vulnerability, intent, and help; no harm.	The agent of this action was the narrator.	The narrator is assumed to be a compassionate and empathetic individual.	The patient being affected by this action was the homeless man.	The homeless man is assumed to be in a vulnerable state due to his living conditions and the cold weather.	2.62
34	Kruepke	My husband had a problem with always wanting new computer equipment, what I called "techno-lust". It was a really huge financial problem, and I told him he had to go on a 5-year plan to financially police himself or I would divorce him. He has greatly improved.	orig		7	7	7	7	0	Medium-High Vulnerability (6-8): The wife was affected by her husband's actions, but she had the power to set boundaries and enforce consequences	Medium-High Intentionality (6-8): The husband's actions were intentional, but he may not have fully realized the impact on his wife and their finances	Medium-High Harm (6-8): The husband's actions caused significant financial strain, but it was not total destruction	Medium-High Help (6-8): The husband's improvement in managing his spending habits provided substantial help to their financial situation	High vulnerability, intent, harm, and help balance	The husband	He had a problem with always wanting new computer equipment	The wife and their financial situation	She was affected by his spending habits	0.38
35	Effron	Took the neighbor's newspaper	orig		1	7	3	0	-2	Minimum vulnerability as it's an inanimate object.	Medium-high intentionality as the action was deliberate.	Medium-low harm as it's a minor inconvenience.	Minimum help as no help was provided.	High intent, moderate harm, low vulnerability, no help	The neighbor	The agent is assumed to be a person living next to the speaker.	The newspaper	The patient is assumed to be the neighbor's property.	-1.73714296
36	Clifford	You see someone cheating in a card game while playing with a group of strangers.	orig		4	7	4	0	-2	Medium-Low Vulnerability (score of 3-5): The strangers are not physically vulnerable, but they are susceptible to being deceived.	Medium-High Intentionality (score of 6-8): The cheater is intentionally deceiving the others, requiring some planning.	Medium-Low Harm (score of 3-5): The cheater is causing minor harm by deceiving the others, but it is not physically damaging.	Minimum Help (score of 0-2): The cheater is not providing any help to the others, as they are actively deceiving them.	High intent, moderate harm and vulnerability, no help	The agent of this action is the person cheating in the card game.	The assumption made about the agent is that they are dishonest and willing to deceive others for personal gain.	The patient being affected by this action is the group of strangers playing the card game.	The assumption made about the patient is that they are unaware of the cheating and are playing the game in good faith.	-2.6
37	Mickelberg	Person X did really well at the quiz night.	orig		1	10	0	7	3	Minimal vulnerability as it's not a physical harm (score: 1)	Maximum intentionality as Person X actively participated (score: 10)	No harm caused as success in quiz night is positive (score: 0)	Medium-high help as success boosts self-esteem (score: 7)	Low vulnerability, high intent, no harm, significant help	Person X	Person X is assumed to be a human participant in the quiz night.	Person X's reputation or self-esteem	The patient is assumed to be affected positively by Person X's performance.	0.41
38	Effron	Sang at a prison in order to entertain the inmates	orig		7	8	0	5	2	Inmates have limited freedom and may be vulnerable due to their circumstances.	The action was intentional as the person chose to sing for the inmates.	No harm was caused as the action was meant to entertain.	The action provided help in the form of entertainment and distraction.	High intent, moderate help, but low harm	The agent of this action is the person who sang at the prison.	The assumption made about the agent is that they are a musician or someone with singing abilities.	The patient being affected by this action is the group of inmates at the prison.	The assumption made about the patient is that they are individuals who are incarcerated and may be in need of entertainment or distraction.	1.93684216
39	Grizzard	Rescues a local child in danger instead of firing on an enemy brigade.	orig		10	9	0	10	3	The child is highly vulnerable due to their age and inability to protect themselves.	The action was highly intentional, as the rescuer chose to save the child instead of engaging the enemy.	No harm was caused, as the rescuer saved the child from danger.	The rescuer provided critical assistance in a life-threatening situation.	High vulnerability and intent, but no harm and full help.	The agent of this action is a local rescuer, presumably a soldier or a person with military training.	The assumption made about the agent is that they have the ability to fire on an enemy brigade and the capacity to rescue a child in danger.	The patient being affected by this action is a local child.	The assumption made about the patient is that they are in a dangerous situation and require immediate assistance.	2.893333333
40	Lotto	You are in a field playing frisbee with three young people you have just met. Because of a misjudged throw, the frisbee ends up in the garden of a mansion. You decide to climb the wall to look for it. Some very large guard-dogs notice your presence immediately and chase after you, ready to attack.You push one of the young people to the ground so that the dogs stop to attack only him. You know that he will die, but you, and the other two, will be able to escape.	orig		10	7	10	7	-1	Maximum vulnerability due to defenselessness against the dogs.	Medium-high intentionality due to deliberate action.	Maximum harm due to causing the death of the young person.	Medium-high help due to saving the lives of the other two people.	High vulnerability, intent, and harm; mitigated by help	The agent of this action is the person who decided to climb the wall and push one of the young people to the ground.	The assumption made about the agent is that they are capable of climbing the wall and making a decision to sacrifice one person for the sake of others.	The patient being affected by this action is the young person who was pushed to the ground.	The assumption made about the patient is that they are not capable of escaping the guard-dogs and will be attacked.	-1.82
41	Mickelberg	Person X worked on a campaign to release wrongfully convicted prisoners.	orig		10	10	0	10	3	Maximum Vulnerability (score of 9-10): They are defenseless and highly susceptible to harm or mistreatment.	Maximum Intentionality (score of 9-10): Person X is executing an action with extensive planning and deliberate thought.	Minimum Harm (score of 0-2): The campaign itself does not cause harm.	Maximum Help (score of 9-10): The campaign could potentially provide critical assistance or protection in life-threatening situations.	High vulnerability and intent, but no harm and full help.	Person X	Person X is assumed to be an individual with a strong sense of justice and empathy for wrongfully convicted prisoners.	Wrongfully convicted prisoners	The wrongfully convicted prisoners are assumed to be individuals who have been unjustly incarcerated and are in need of help.	3.27
42	Effron	Gave his coat to someone when it was cold	orig		7	7	0	7	3	Medium-High Vulnerability (score of 6-8): The patient is an average person who is susceptible to cold weather.	Medium-High Intentionality (score of 6-8): The man intentionally gave his coat to someone in need.	Minimum Harm (score of 0-2): The action caused no harm to the patient.	Medium-High Help (score of 6-8): The man provided substantial help by giving his coat to someone in need.	High intent, help, and vulnerability, but no harm	The agent of this action is a man.	The assumption made about the agent is that he is a considerate person who is willing to help others.	The patient being affected by this action is another person.	The assumption made about the patient is that they are in need of warmth and do not have a coat of their own.	3.04
43	Effron	Kicked a stray cat to get it to leave his yard	orig		8	7	5	0	-3	Stray cats are vulnerable due to lack of care and protection.	The action was intentional to scare the cat away.	The harm caused depends on the force used.	No help was provided to the cat.	High vulnerability, intent, and harm; no help.	The agent of this action is a man (assumed from the context).	The assumption made about the agent is that he is a homeowner or resident who wants to keep stray animals away from his property.	The patient being affected by this action is a stray cat.	The assumption made about the patient is that it is a homeless animal seeking food or shelter.	-3.048
44	Effron	Tricked a stay at home mom into donating to a fake charity	orig		8	9	6	0	-3	Stay at home moms are often busy and may not have the time or resources to verify the legitimacy of charities.	The action was planned and executed with the intention to deceive.	The mom was financially harmed and her trust was violated.	No help was provided as the charity was fake.	High vulnerability, intent, and harm; no help.	The agent of this action is the person who tricked the stay at home mom.	The assumption made about the agent is that they are dishonest and manipulative.	The patient being affected by this action is the stay at home mom.	The assumption made about the patient is that she is trusting and well-intentioned.	-3.088
45	Mickelberg	Person X volunteers at a dog refuge, walking the dogs and cleaning their kennels once a week.	orig		9	8	0	7	2	Dogs are vulnerable due to their dependence on humans (score 9)	Volunteering is a planned and intentional act (score 8)	No harm is caused, only help (score 0)	Volunteering provides substantial help to the dogs (score 7)	High vulnerability and intent, but no harm and significant help.	Person X	Person X is a volunteer who willingly dedicates their time to help dogs at a refuge	The dogs at the refuge	The dogs are in need of care and attention, and rely on volunteers like Person X for their well-being	2.67
46	Mickelberg	Person X buys a loaf of bread every day, as they love the smell of freshly baked bread in the morning.	orig		1	10	1	3	1.5	Minimum vulnerability as it's an inanimate object.	Maximum intentionality as it's a daily, deliberate action.	Minimum harm as the bread is meant to be consumed.	Medium-low help as it provides daily sustenance.	Low vulnerability, high intent, minimal harm, some help.	Person X	Person X is a bread lover who enjoys the smell of freshly baked bread in the morning.	The loaf of bread	The loaf of bread is a freshly baked product purchased daily by Person X.	0.2
47	Mickelberg	Person X cleaned the bookshelf and picked up some items that had dropped onto the floor.	orig		0	8	0	6	2.5	Inanimate objects have minimum vulnerability.	Cleaning is an intentional action.	No harm was caused to the objects.	Cleaning and organizing is a form of help.	Low intent, no harm, some help provided	Person X	Person X is assumed to be a responsible and capable individual.	The bookshelf and the items on the floor	The bookshelf and the items are assumed to be inanimate objects.	1
48	Clifford	You see a teenage girl wearing a long trench coat on a hot summer afternoon.	orig		7	7	1	1	-2	Medium-High Vulnerability (score of 6-8): She is a typical teenager, with some susceptibility to harm.	Medium-High Intentionality (score of 6-8): She intentionally chose to wear the coat.	Minimum Harm (score of 0-2): No direct harm is caused by wearing a coat.	Minimum Help (score of 0-2): No help is provided in this scenario.	High vulnerability and intent, low harm and help	The teenage girl	She is wearing a long trench coat on a hot summer afternoon.	The teenage girl herself	She might be uncomfortable or overheated due to the weather and her clothing choice.	-0.2
