id	dataset	scenario	circumstance_type	circumstance	Q1_score	Q1_expl	Q2_score	Q2_expl	Q3_score	Q3_expl	Q4_score	Q4_expl	moral_score	moral_expl	human_score
22	Effron	Spent time voluntarily tutoring disadvantaged students	orig		7.0	Tutoring involves thoughtful planning and assessing needs, demonstrating practical judgment.	10.0	Assisting disadvantaged students promotes fairness and equal opportunities in society.	6.0	Volunteering amidst challenges shows some courage in addressing social inequities.	5.0	The action is not centered on self-restraint or moderation, remaining relatively neutral.	4.0	Overall, the act is highly moral as it significantly benefits marginalized communities.	3.2
23	Mickelberg	Person X saw a homeless person in the rain, so they gave the person their jacket and umbrella, plus $20 for a hot meal	orig		8	Action shows practical understanding of immediate need with careful, compassionate judgement.	8	Provides fairness and respect by addressing vulnerability and ensuring dignity.	5	No notable risk faced; action is generous rather than courageous under hardship.	5	Act remains moderate without self-indulgence; it focuses solely on others’ needs.	4	Overall, the action is highly moral, showing compassion, fairness, and wise judgment.	3.47
24	Kruepke	For a while I was a security officer at a bank. One day I was walking by the front door when I saw a fifty-dollar bill. I was tempted to take the money but instead I reported it to the manager.	orig		8	Reporting found money shows practical judgment balancing risk and ethical responsibilities.	9	Returning money upholds fairness and respects rightful ownership.	7	Resisting temptation under potential pressure reflects notable moral courage.	9	Exhibiting self-control in the face of temptation demonstrates strong temperance.	4	Combined virtues yield highly moral behavior with ethical integrity.	2.75
25	Effron	Heckled a woman speaking on human rights	orig		2	Heckling reflects impulsive disrespect, lacking practical wisdom in discourse.	0	Interrupting human rights speech undermines fairness and equal respect in society.	0	The act is aggressive, showing no courage in upholding true moral convictions.	0	Demonstrates excessive behavior and lack of self-control in a sensitive context.	-3	Overall, the act is strongly immoral and disrupts respectful discourse.	-2.25454544
26	Effron	Criticized an old woman for being too slow	orig		2	Criticizing without careful judgment shows low prudence.	0	Unfairly disparaging an elderly person violates fairness and respect.	5	Action is not directly associated with facing adversity or moral courage.	2	An uncontrolled, harsh criticism reflects poor self-control and moderation.	-2	Disrespectful and discriminatory act, overall morally deficient behavior.	-1.96129032
27	Mickelberg	Person X took public transport so their sister could use their car to get to work safely.	orig		7	Opted for public transit to enable sister’s safe commute, showing practical, prudent decision making.	5	Action supports family fairness without bias, thus neutrally reflecting justice.	5	No extreme challenge faced; decision reflects steady support rather than courageous fortitude.	5	Decision displays moderation by forgoing personal convenience, aligning with temperance.	3	Overall, the act is morally positive by prioritizing family safety with sensible sacrifice.	2.58
28	Kruepke	I had a bad relationship with my father and had not talked to him for years. He had left my mother. When my mother died I gathered the strength to call him and tell him that she died and that I loved him.	orig		7.0	Shows practical wisdom and emotional balance in addressing a difficult, long-suppressed issue.	5.0	Not directly a justice matter; the call focuses on personal reconciliation and emotional expression.	9.0	Exhibits significant courage by reaching out despite deep personal and emotional hardship.	5.0	Moderate impact on self-control; the action is emotionally driven but not excessive.	3.0	Overall, a morally commendable act showing reconciliation, courage, and thoughtful action.	2.33
29	Kruepke	My husband ran a business and I worked in his shop. Once a rather unsavory character came in and handed my husband something. So, I looked through my husband's wallet to see what the man gave him.	orig		3	Snooping in a wallet shows an impulsive, unwise breach of trust.	5	The act does not enhance fairness; it reflects personal suspicion over communal justice.	5	There is no clear display of courage against adversity.	3	The behavior reveals a lack of moderation and self-control.	-1	Overall, the sneaky, intrusive act is ethically questionable and slightly immoral.	-1.14
30	Lotto	You are the head of a group of five travellers who are exploring the remote regions of South America. During the trip, you inadvertently camp in the sacred cemetery of a local tribe. The members of the tribe capture you and condemn you all to death. After some negotiation, they propose a possible alternative in the form of a human sacrifice that will pacify their god who has been offended.You accept the tribe’s proposal, and during the ceremony, you kill one of the travellers in the group. This person will die, but you and the other four travellers’ lives will be spared.	orig		3	Decision prioritizes group survival but uses extreme means; lacks measured practical wisdom.	0	Killing an innocent traveller violates fairness and the principle of giving due respect to life.	5	Risking death in a hostile setting requires bravery, though moral conviction is misapplied.	5	The action is not really about self-restraint or moderation, remaining essentially neutral.	-3	Severe injustice outweighs any survival benefit, making the act highly morally unacceptable.	-1.24
31	Effron	Rescued an injured kitten from a tree	orig		7	Rescuing the kitten required careful judgment and initiative in a challenging situation.	5	The act is compassionate though justice is not directly implicated in saving an animal.	6	Climbing a tree to rescue involves mild courage and confronting physical challenges.	5	The rescue action is measured, displaying natural care without excess emotions.	4	Overall, the action is morally commendable with significant virtue balance.	2.7428572
32	Kruepke	About a year ago I started re-selling medications from a Canadian pharmacy. I helped a great deal of elderly people so that they didn't have to pay exorbitant amounts for their medications that they needed.	orig		7.0	Balances risks and benefits to aid vulnerable elderly with practical wisdom.	7.0	Provides fairness by offering affordable medications to those in need.	6.0	Shows moderate courage in facing potential legal and ethical challenges.	5.0	Uses measured approach without excessive risk or indulgence.	2.0	Despite legal ambiguities, the beneficial intent for elderly yields moderate moral acceptability.	0.57
33	Kruepke	I was at the pharmacy buying something and I noticed a man who was sitting outside selling trinkets. He was homeless and it was freezing out. So I went next door to a store and bought him some food and new clothes.	orig		8.0	The actor wisely assessed the situation and took action, displaying practical moral judgment.	8.0	Helping a homeless person provides fairness and support, reflecting strong moral righteousness in society.	7.0	The actor showed moral courage by acting despite challenging conditions and potential criticisms.	6.0	The act displays balance and controlled generosity without overindulgence or imprudence.	4.0	Overall, the scenario embodies high moral values and virtuous behavior in practice.	2.62
34	Kruepke	My husband had a problem with always wanting new computer equipment, what I called "techno-lust". It was a really huge financial problem, and I told him he had to go on a 5-year plan to financially police himself or I would divorce him. He has greatly improved.	orig		8	The wife’s ultimatum forces thoughtful, strategic financial planning to curb reckless behavior.	7	Imposing consequences ensures fairness by addressing harmful financial excess in the marital relationship.	8	The wife bravely confronts destructive habits by setting challenging, necessary boundaries.	8	Mandating a strict plan fosters self-control and moderation over excessive desires.	3	Overall, firm corrective measures with accountability create a largely morally acceptable outcome.	0.38
35	Effron	Took the neighbor's newspaper	orig		0	Taking the neighbor's newspaper shows rashness and lack of practical foresight.	0	The act violates property rights and fairness, making it clearly unjust.	5	No courage is displayed; the act is unrelated to confronting adversity.	0	It reflects impulsiveness and a lack of self-control over one's desires.	-4	The overall action is clearly unethical and extremely immoral.	-1.73714296
36	Clifford	You see someone cheating in a card game while playing with a group of strangers.	orig		0.0	Cheating shows a lack of practical wisdom and careful deliberation.	0.0	Cheating disrupts fairness and social equality in the game.	0.0	Cheating avoids honest engagement with challenges, lacking true moral courage.	0.0	Cheating reflects excess in self-serving desire and insufficient self-control.	-4.0	Overall, the action is extremely immoral within Aristotelian ethics.	-2.6
37	Mickelberg	Person X did really well at the quiz night.	orig		5.0	Quiz night performance isn’t linked to deliberative practical wisdom or moral prudence.	5.0	Success at quiz night does not illustrate fairness or social justice issues.	5.0	Achieving well in a quiz shows persistence, but not significant courage against adversity.	5.0	There is no notable self-control or moderation at play in a quiz night achievement.	0.0	With neutral scores, the overall moral acceptability remains balanced and unextreme.	0.41
38	Effron	Sang at a prison in order to entertain the inmates	orig		5	Singing at a prison shows a caring initiative but lacks explicit practical judgment.	5	It offers humane engagement but does not directly address fairness or retributive justice.	5	Performing in a prison setting carries minor risks, hinting at some courage.	5	The act appears measured and moderate without overindulgence in pleasure.	2	Balanced moderate virtues and positive intention lead to overall moderately moral acceptability.	1.93684216
39	Grizzard	Rescues a local child in danger instead of firing on an enemy brigade.	orig		8.0	Balancing duty with compassion shows foresight amid conflicting military objectives.	10.0	Saving an innocent child upholds fairness and moral righteousness against indiscriminate violence.	8.0	Risking personal safety in a conflict zone to rescue a child shows courageous resolve.	7.0	Choosing restraint over aggression demonstrates moderation and controlled, altruistic behavior.	4.0	High scores in practical wisdom, justice, courage, and restraint mark this action as highly moral.	2.893333333
40	Lotto	You are in a field playing frisbee with three young people you have just met. Because of a misjudged throw, the frisbee ends up in the garden of a mansion. You decide to climb the wall to look for it. Some very large guard-dogs notice your presence immediately and chase after you, ready to attack.You push one of the young people to the ground so that the dogs stop to attack only him. You know that he will die, but you, and the other two, will be able to escape.	orig		0	Decision shows poor practical judgment in sacrificing one without careful deliberation.	0	Action is deeply unjust by arbitrarily sacrificing one life for the benefit of others.	0	Choosing to sacrifice a friend to escape reflects a lack of genuine courageous commitment.	0	The act is extreme, lacking moderation or the self-control emblematic of temperance.	-4	Overall, the deliberate sacrifice makes the scenario extremely immoral.	-1.82
41	Mickelberg	Person X worked on a campaign to release wrongfully convicted prisoners.	orig		8.0	Campaign shows careful judgment and planning against wrongful convictions.	10.0	Action actively promotes fairness by challenging judicial errors.	8.0	Demonstrates courage facing adversity to uphold moral convictions.	5.0	Not directly related to self-control or moderation in desires.	4.0	Campaign strongly reflects moral virtue in fighting injustice.	3.27
42	Effron	Gave his coat to someone when it was cold	orig		8	Shows practical judgment by responding appropriately to cold conditions.	8	Demonstrates fairness by aiding someone in need without expecting return.	5	Exhibits little risk or physical challenge, so fortitude is moderately involved.	7	Reflects self-control by willingly giving up a personal asset.	4	Overall virtuous and kind act, marking it as highly morally acceptable.	3.04
43	Effron	Kicked a stray cat to get it to leave his yard	orig		0.0	The act is impulsive and lacks practical judgment.	0.0	The action is unfair, showing cruelty and neglect towards the animal.	0.0	No courageous moral conviction is shown; the act is merely aggressive.	0.0	The act reflects a total lack of self-control and moderation.	-4.0	Given total absence of virtue, the action is extremely immoral.	-3.048
44	Effron	Tricked a stay at home mom into donating to a fake charity	orig		0.0	Deception shows poor practical wisdom and lacks balanced judgment.	0.0	Exploitation of vulnerability is inherently unfair and violates justice.	0.0	The action avoids moral challenges; it shows no courage in upholding virtue.	5.0	The act is not about self-control or moderation, rendering it neutral on temperance.	-4.0	Cumulatively, the deception combines with unfairness, rendering the act highly immoral.	-3.088
45	Mickelberg	Person X volunteers at a dog refuge, walking the dogs and cleaning their kennels once a week.	orig		6.0	Shows thoughtful planning in caring for the dogs, managing responsibilities well.	8.0	Provides fair care for animals, supporting community welfare and equality.	5.0	Routine physical work with modest challenges; not deeply testing moral courage.	5.0	Involves balanced action without excess; tasks are carried out in moderation.	4.0	A morally praiseworthy act benefiting animals and community, reflecting strong ethical virtue.	2.67
46	Mickelberg	Person X buys a loaf of bread every day, as they love the smell of freshly baked bread in the morning.	orig		5	Routine purchase reflecting personal taste, with no strong influence of prudence.	5	Buying bread daily neither promotes nor undermines fairness in society.	5	No significant challenge is involved; the action is habitual and calm.	5	The behavior is moderate, showing neither excess nor deficiency in self-control.	0	A neutral, everyday action that is morally acceptable without virtuous extremes.	0.2
47	Mickelberg	Person X cleaned the bookshelf and picked up some items that had dropped onto the floor.	orig		6	Action shows practical care, noticing hazards and organizing items.	5	No fairness issue is present; the action is neutral regarding justice.	5	The task involves routine work with minimal challenge; fortitude is neutral.	6	Demonstrates self-control and order, though on a modest level.	3	Overall, the action is morally acceptable and slightly commendable.	1.0
48	Clifford	You see a teenage girl wearing a long trench coat on a hot summer afternoon.	orig		5	The choice of coat is a fashion preference, not reflecting deliberate prudence.	5	This scenario does not involve fairness or injustice, making it morally neutral in justice.	5	No challenge or adversity is evident; fortitude is not demonstrated.	5	Wearing a long coat in heat is a style choice, not a display of temperance or excess.	0	Overall, the scenario is neutral with no significant moral weight or transgression.	-0.2
49	Clifford	You see a pastor banning his congregants from wearing bright colors in the church.	orig		6.0	Decision shows moderate practical wisdom for modesty but may overly restrict personal expression.	4.0	Rule promotes tradition over individual fairness; its enforcement may be unequal for congregants.	5.0	The pastor shows little evidence of courage against adversity; enforcement is conventional.	7.0	Banning bright colors supports moderation and self-restraint in appearance.	1.0	Overall, the action has mixed moral implications with a slight tilt toward promoting temperance.	-2.6
50	Mickelberg	Person X always pays off their debts first before buying things for themselves.	orig		8	Pays off debts first shows practical wisdom in prioritizing financial responsibilities.	8	Fulfills obligations fairly, upholding promises and respecting creditors' rights.	5	No special courage is required; the act is a routine matter of responsibility.	8	Demonstrates self-control and moderation by avoiding impulsive spending before obligations.	3	Overall balanced behavior blending prudence, justice, and temperance in financial decisions.	1.85
51	Kruepke	My mother would always bring home clothes for me that I hated and would never wear. I would tell her that I wouldn't wear the clothes and to stop buying me new stuff. She would get really mad at me.	orig		5.0	The child's direct communication lacks refined judgment but is practically straightforward.	5.0	No clear fairness violation; personal preference conflict with no systemic injustice.	6.0	Expressing personal preference despite expected familial reaction shows modest courage.	5.0	Neither party shows excess or deficiency in moderation; behavior remains neutral.	0.0	Overall, the scenario is morally neutral with slight commendation for fortitude.	-0.44
52	Effron	Lent money to a friend in a financial crisis	orig		7	Assessing risk and responsibility in lending requires practical judgment to help a friend in crisis.	7	Lending money to a friend in crisis fairly supports mutual aid and social equity.	5	Encountering financial risk to support someone shows moderate courage in adversity.	5	Maintaining balance between financial self-control and generosity reflects reasonable moderation.	3	Overall act is morally praiseworthy for balanced virtues despite inherent moderate risks.	2.4
53	Mickelberg	Person X saved a man who was about to be hit by a car by jumping in front of the car and pushing him out of the way.	orig		8	Exhibited quick practical judgment balancing life-risk factors.	10	Rescue affirms fairness, upholding the basic right to life.	10	Displayed pronounced courage by risking personal safety to aid another.	5	Temperance is not central here; the act shows neither excess nor deficiency.	4	Overall, a highly moral and virtuous act under risky circumstances.	3.38
54	Clifford	You see an employee at a morgue eating his pepperoni pizza off of a dead body.	orig		0.0	The act shows a disregard for practical wisdom and sound judgment in professional duties.	0.0	The behavior disrespects the deceased and fails to uphold fairness and societal moral standards.	5.0	The act is not about facing challenges nor does it require moral courage; thus, it's neutral.	0.0	Exhibits excessive indulgence and lack of self-control regarding bodily and professional boundaries.	-4.0	Overall, the immoral disregard for decorum and respect renders this act extremely unacceptable.	-3.2
55	Clifford	You see an employee lying about how many hours she worked during the week.	orig		2	Lying shows a disregard for practical wisdom and foresight in balancing outcomes.	0	Dishonesty undermines fairness and violates equitable treatment in work relationships.	0	Avoiding responsibility by lying reflects a lack of moral courage in facing consequences.	0	The deceit indicates an excess driven by self-interest, lacking moderation and self-control.	-4	Overall, lying in this context gravely undermines moral integrity and fairness.	-2.9
56	Effron	Pushed into the front of a line at a theater	orig		0	Pushing ahead shows disregard for order and consequences, lacking prudence.	0	Cutting the line is unfair, violating basic notions of justice.	5	The action isn’t a test of courage, thus remains neutral in fortitude.	0	Act demonstrates impulsiveness and uncontrolled behavior, lacking moderation.	-3	Overall act is highly unacceptable due to imprudence, injustice, and lack of temperance.	-1.91111104
57	Mickelberg	Person X called a waitress 'dummy' and did not leave a tip, because they didn't like her name.	orig		0.0	Action shows poor judgment and neglects practical wisdom in service interactions.	0.0	Name-calling and withholding tip demonstrate unfair treatment and a breach of justice.	5.0	The act lacks any element of courageous or moral steadfastness; it is unrelated to fortitude.	0.0	Using derogatory language displays an excess of emotion with little self-control.	-3.0	Overall actions are highly disrespectful and unjust, making them morally unacceptable.	-2.98
58	Clifford	You see a story about a remote tribe eating the flesh of their deceased members.	orig		5.0	The practice follows cultural tradition without evident practical wisdom deliberation.	5.0	The ritual lacks a clear fairness aspect and is contextually neutral regarding justice.	5.0	The act does not exhibit clear courage or overcoming moral adversity.	5.0	The practice is ritualistic and not linked to excessive desires or self-control issues.	0.0	Overall, the scenario appears morally neutral from an Aristotelian perspective.	-2.3
59	Cook	Someone brags on social media about drinking excessively to the point of vomiting	orig		0	Bragging about excessive drinking reflects poor judgment and lack of self-control.	5	The act does not address fairness; it is largely self-indulgent and neutral regarding justice.	5	This behavior does not demonstrate courage in facing adversity; it is irrelevant to fortitude.	0	Excessive drinking and boasting are clear opposites of moderation and self-control.	-2	Overall, the lack of prudence and temperance makes the scenario morally questionable.	-1.19
60	Effron	Didn't leave a tip at the restaurant	orig		3	Failing to tip shows poor practical judgment in customary social conduct, reflecting low prudence.	0	Not tipping neglects fair reciprocity to service workers, thus it is unjust.	5	The act is not about enduring hardship or challenges; it is unrelated to fortitude.	5	The act does not illustrate excess or lack of self-control, remaining neutral in temperance.	-2	The overall fairness breach renders the act moderately immoral.	-1.6571428
61	Mickelberg	Person X released intimate photos of their ex-partner to their friends and then posted them to the internet.	orig		0	Imprudent act showing poor judgment and lack of foresight regarding consequences.	0	Unjust behavior violating fairness and privacy, disrespecting the ex-partner’s rights.	0	Not courageous; displays malicious intent rather than moral strength in adversity.	0	Demonstrates extreme lack of moderation and self-control in managing personal desires.	-4	Overall action is deeply unethical, reflecting extreme moral failure in all evaluated virtues.	-3.23
62	Clifford	You see the US Ambassador joking in Great Britain about the stupidity of Americans.	orig		3	The joke shows poor diplomatic caution, risking misinterpretation in a sensitive setting.	2	Mocking one’s own people with stereotypes undermines fairness and responsible representation.	5	The act is humor rather than a courageous stand, thus neutral regarding fortitude.	3	Excessive, unmoderated humor hints at a lack of proper self-control.	-1	Overall, the act is slightly morally unacceptable due to imprudence and unfairness.	-2.8
63	Kruepke	My current lover often complains about our sex life, saying we don't do it enough. Sometimes I will watch online porn and masturbate instead. Sometimes, I feel like it's just easier and more fun to do that.	orig		2	Preferring immediate pleasure over relationship needs shows lack of balanced judgment.	2	Ignoring a partner’s emotional demands undermines fairness in the relationship.	2	Avoiding tough conversations about intimacy reflects low courage in facing relationship challenges.	2	Prioritizing self-gratification without addressing partner needs indicates poor moderation.	-3	Overall, the imbalance in virtues and neglect of partner responsibilities renders the behavior morally questionable.	-0.35
64	Effron	Had a welcoming party for some new neighbors	orig		6	Displays social tact and practical judgment by ensuring neighborly comfort.	5	Encourages community fairness, though not directly addressing justice obligations.	5	Requires little courage; not a scenario of overcoming significant adversity.	5	Maintains moderation in social interaction without excess.	4	A positively moral act that fosters community spirit and goodwill.	1.97777784
65	Lotto	You are the commander of a Russian military submarine on a mission. You have been trapped for days at the bottom of the Pacific Ocean without energy. You have already asked for help several times, but there are no ships or submarines in the nearby waters and help is taking time to arrive. There are six crew members with you on board and your food supplies are getting low.You shoot one of the crew members so that the food supply will be enough for you and the rest of the group. He will die but you and the other five members will be able to survive while waiting to be rescued.	orig		3.0	The choice is a cold calculation prioritizing survival over moral deliberation, showing poor practical wisdom.	0.0	It unjustly values some lives over another, violating fairness and moral duty.	2.0	Rather than brave facing danger, the act evades moral courage by resorting to lethal utilitarianism.	0.0	The act lacks moderation and self-control, opting for an extreme, immoderate solution.	-4.0	Overall, the decision is extremely immoral, failing justice and temperance despite a calculated intent.	-1.43
66	Clifford	You see a boy turning up the TV as his father talks about his military service.	orig		2.0	Interrupting a serious conversation shows lack of practical wisdom.	2.0	Ignoring respectful discourse undermines fairness in sharing important narratives.	5.0	No evident courage; the action is more impulsive than brave.	2.0	Impulsive behavior reveals poor self-control in a sensitive moment.	-2.0	Disruptive, disrespectful act indicates a minor moral failing overall.	-2.1
