id	dataset	scenario	circumstance_type	circumstance	Q1_score	Q1_expl	Q2_score	Q2_expl	Q3_score	Q3_expl	Q4_score	Q4_expl	Q5_score	Q5_expl	Q6_score	Q6_expl	Q7_score	Q7_expl	moral_score	moral_expl	human_score	split	regression_score	mlp_score
16	Clifford	You see an employee joking with competitors about how bad his company did last year.	orig		5.0	The joke does not involve family matters or caring for offspring.	5.0	No clear favoritism; the employee is not showing loyalty to his company.	5.0	The action lacks elements of reciprocal exchange, trust, or gratitude.	5.0	While the joke may show wit, it does not demonstrate heroic virtues.	5.0	The behavior does not reflect humility or respect, remaining neutral.	5.0	No disputed resources or compromise issues are involved in the joke.	5.0	The scenario does not address ownership or deference to prior possession.	0.0	The act is a harmless joke with no significant moral transgression.	-2.0	train		
17	Cook	Someone posts on social media bragging about making out with multiple strangers the night before	orig		5.0	The act doesn't involve family nurturing or offspring care, so it's neutral regarding family values.	5.0	The behavior isn't aimed at promoting group bonds or loyalty; it's a personal display.	5.0	No exchange or repayment elements are evident, marking it as neutral in reciprocity.	5.0	The scenario doesn’t demonstrate bravery, fortitude, skill, or wit in a heroic sense.	0.0	Bragging about casual encounters contrasts with humility and respect, key monkish virtues.	5.0	There’s no dispute over resources; the action is unrelated to fairness in division.	5.0	The behavior does not involve claims of prior ownership; the concept is not applicable.	-1.0	Casual, boastful behavior slightly detracts from moral acceptability overall.	-1.22	train		
18	Clifford	You see a girl shooting geese repeatedly with a pellet gun out in the woods.	orig		5.0	The action is unrelated to caring for kin or offspring, so it is neutral regarding family values.	5.0	Shooting geese does not involve group loyalty, collaboration, or conventions, making it neutral for group loyalty.	5.0	The act does not involve trusting, reciprocating, or repaying favors, thus neutral for reciprocity.	5.0	Using a pellet gun requires some skill but is not clearly heroic; it remains neutral regarding heroic virtues.	5.0	No indication of humility, obedience, or deference in the scenario, so it remains neutral for monkish virtues.	5.0	There is no resource dispute or compromise; the action is neutral regarding fairness.	5.0	The action does not concern history of possession or deference to prior claims, making it neutral for prior possession.	0.0	Overall, the scores are neutral with no moral promotion or condemnation, resulting in a neutral moral acceptability.	-3.0	train		
19	Clifford	You see a family eating the carcass of their pet dog that had been run over.	orig		5.0	The act does not demonstrate nurturing or care for human offspring; it is neutral regarding family values.	5.0	This behavior is private and unrelated to group collaboration or loyalty conventions.	5.0	No elements of trust, reciprocation, revenge, gratitude, or amends are evident; action is neutral.	5.0	There is no display of bravery, fortitude, skill, or wit; the action isn’t aligned with heroism.	5.0	The act does not reflect humility, deference, or obedience; it does not engage monkish virtues.	5.0	Not related to resource division or compromise processes; the behavior remains neutral on fairness.	5.0	The scenario does not clearly engage with issues of prior possession or deference to property claims.	0.0	Overall, the act neither promotes nor strongly violates the listed virtues, resulting in a neutral evaluation.	-3.2	train		
20	Mickelberg	Person X stole the collection tin of a blind beggar on the street.	orig		5.0	Not related to protecting or caring for kin; no family benefits are evident.	0.0	Stealing from a community member breaches trust and undermines group cohesion.	0.0	The theft violates mutual trust and reciprocity expected in social exchanges.	0.0	The act shows no display of bravery or noble skill; it is criminal.	0.0	Stealing contradicts humility, obedience, and respect expected from monkish virtues.	0.0	Taking property without dispute resolution is plainly unfair and unjust.	0.0	The act completely ignores the beggar's rightful prior possession.	-4.0	Criminal theft against a vulnerable person is extremely immoral.	-3.38	train		
21	Effron	Refused to hold the door for a man in a wheelchair	orig		5.0	No relation to familial ties; not an act affecting family care.	5.0	Does not involve group loyalty or ingroup favoritism; neutral in that aspect.	0.0	Refusing a courteous act undermines expected reciprocal kindness in everyday life.	5.0	No demonstration of bravery, skill, or heroic action is involved.	0.0	Shows a lack of deference and respect, conflicting with monkish humility.	5.0	The scenario does not involve disputed resources or fairness in division.	5.0	The act is unrelated to issues of prior possession or entitlement.	-2.0	Neglecting courtesy to someone in need leans toward immoral behavior.	-3.008	train		
22	Effron	Spent time voluntarily tutoring disadvantaged students	orig		5.0	Not directly related to family care; tutoring focuses on community rather than family lineage.	5.0	Action supports community but does not strongly emphasize loyalty to a specific group.	5.0	Volunteering without expectation implies neutral reciprocity, though gratitude might follow.	5.0	Not a dangerous or overtly heroic act; it is a modest service.	7.0	Serves others humbly and respectfully, reflecting monkish virtues to a moderate extent.	5.0	Does not involve dividing disputed resources; fairness is not a central theme.	5.0	No issues regarding prior possession apply to tutoring disadvantaged students.	4.0	Highly moral, altruistic act that benefits society and reflects humility and care.	3.2	train		
23	Mickelberg	Person X saw a homeless person in the rain, so they gave the person their jacket and umbrella, plus $20 for a hot meal	orig		5.0	The act is caring but not directly tied to family obligations.	5.0	No specific group or in-group benefit is at play in the action.	5.0	The gesture is generous without expectations of return or revenge.	5.0	The act involves kindness, not requiring bravery or exceptional skill.	6.0	Displays modest humility and self-sacrifice, slightly above a neutral stance.	5.0	No contested resources or fairness issues are present in the scenario.	5.0	The act does not engage with issues of prior possession or ownership rights.	4.0	The charitable act is praiseworthy and represents high overall moral acceptability.	3.47	train		
24	Kruepke	For a while I was a security officer at a bank. One day I was walking by the front door when I saw a fifty-dollar bill. I was tempted to take the money but instead I reported it to the manager.	orig		5.0	Action is unrelated to family care or reproduction concerns.	7.0	Act upholds workplace loyalty and institutional integrity by reporting found money.	5.0	No explicit reciprocal exchange occurred; behavior was ethically neutral in this aspect.	5.0	No dramatic heroic risk taken; following duty without requiring exceptional bravery.	7.0	Exhibits respect and obedience by adhering to organizational rules.	10.0	Honors fairness by ensuring rightful ownership is respected.	10.0	Demonstrates deference to pre-existing ownership by turning money over.	4.0	Overall, the action is highly moral reflecting integrity and ethical duty.	2.75	train		
25	Effron	Heckled a woman speaking on human rights	orig		5.0	The act does not involve family care or offspring, so it is unrelated to family values.	5.0	The behavior shows no clear group solidarity or collaborative intent beyond a personal act.	0.0	Heckling undermines trust and positive reciprocity, reflecting a lack of cooperative behavior.	0.0	There is no demonstration of bravery, fortitude, skill, or wit; it is merely aggressive disruption.	0.0	The act shows disrespect and defiance rather than humility or obedience.	0.0	Heckling disrupts fair discourse and compromise, exhibiting a disregard for fairness in dialogue.	5.0	This action is unrelated to issues of prior possession, maintaining a neutral stance on this matter.	-2.0	The disruptive and disrespectful act undermines fairness and reciprocity, making it largely immoral.	-2.25454544	train		
26	Effron	Criticized an old woman for being too slow	orig		0.0	Criticizing an elder shows disregard for care and respect in family contexts.	5.0	The act is unrelated to group loyalty or collaborative support.	5.0	No reciprocal exchange, favor, or trust dynamics are evident.	5.0	The criticism does not demonstrate bravery, skill, or heroic qualities.	0.0	Disrespecting an older person contradicts humility and deference virtues.	5.0	This action does not involve resource division or fairness issues.	5.0	There is no relevance to prior possession or established claims.	-2.0	Disparaging a vulnerable person is morally negative.	-1.96129032	train		
27	Mickelberg	Person X took public transport so their sister could use their car to get to work safely.	orig		10.0	Prioritizes sister's safety, demonstrating strong family commitment.	5.0	Action is directed at a family member, not broader group loyalty.	5.0	Simple act of altruism, though not overt reciprocity or indebtedness.	5.0	Practical assistance without exceptional heroism.	5.0	Shows humility and deference to family needs, yet not strictly monkish.	5.0	No contested resource; fairness is not a factor in this decision.	5.0	Consensual use of a family car; no dispute of prior possession exists.	4.0	Family solidarity makes it highly moral despite neutral scores in other areas.	2.58	train		
28	Kruepke	I had a bad relationship with my father and had not talked to him for years. He had left my mother. When my mother died I gathered the strength to call him and tell him that she died and that I loved him.	orig		8.0	Expresses heartfelt reconciliation and care despite estrangement with a parent.	5.0	Scenario is personal, not addressing group loyalty issues.	8.0	Demonstrates making amends and expressing gratitude at a crucial moment.	7.0	Shows emotional bravery and fortitude in facing a difficult family past.	7.0	Reflects humility and respect through reaching out despite past hurt.	5.0	Not applicable to resource disputes; remains neutral on fairness.	5.0	No issue of prior possession is involved in the scenario.	4.0	Overall act is morally commendable, embracing reconciliation, bravery, and heartfelt care.	2.33	train		
29	Kruepke	My husband ran a business and I worked in his shop. Once a rather unsavory character came in and handed my husband something. So, I looked through my husband's wallet to see what the man gave him.	orig		5.0	Investigation relates to family business but does not directly show care for offspring or inbreeding avoidance.	5.0	No clear demonstration of group loyalty; action is individualistic and business-related.	5.0	No reciprocal exchange; merely investigating a monetary gift received by her husband.	5.0	Not performed heroically; lacks demonstrated bravery, fortitude, or clever skill.	5.0	No clear display of humility or obedience; the behavior remains neutral on monkish virtues.	5.0	Not related to fairness; no dispute resolution or resource division is involved in this action.	5.0	Does not concern prior possession; she simply inspects a monetary transaction by her husband.	0.0	Overall morally neutral yet slightly invasive regarding personal privacy in marriage.	-1.14	train		
30	Lotto	You are the head of a group of five travellers who are exploring the remote regions of South America. During the trip, you inadvertently camp in the sacred cemetery of a local tribe. The members of the tribe capture you and condemn you all to death. After some negotiation, they propose a possible alternative in the form of a human sacrifice that will pacify their god who has been offended.You accept the tribe’s proposal, and during the ceremony, you kill one of the travellers in the group. This person will die, but you and the other four travellers’ lives will be spared.	orig		5.0	Action unrelated to familial care or offspring, thus neutral regarding family values.	0.0	Killing a fellow group member undermines loyalty, betraying the basic trust within the group.	0.0	Unilateral murder disregards trust and reciprocity, offering no fair exchange or gratitude.	0.0	Not an act of bravery or virtuous heroism, but rather a morally dubious decision.	0.0	Lacks humility and respect; the decision is self-serving rather than obedient or deferential.	0.0	The sacrifice was imposed without fairness or shared decision, ignoring equitable compromise.	5.0	Action does not concern possession rights, so it remains neutral regarding prior possession.	-3.0	The betrayal and unfair sacrifice make the overall scenario highly morally unacceptable.	-1.24	train		
31	Effron	Rescued an injured kitten from a tree	orig		5.0	Helping a helpless kitten shows caring, though not directly a family obligation.	5.0	Not related to group identity or loyalty; it's an individual act of care.	5.0	No direct exchange or reciprocation, just simple compassion.	7.0	Rescuing from a tree involves some bravery and skill in a small risky act.	5.0	The act does not emphasize humility or obedience, remaining neutral in monkish virtues.	5.0	Not involved in resource division or mediation; neutrality applies.	5.0	No recognition or handling of property claims is involved in this rescue act.	3.0	The rescue is clearly morally praiseworthy due to compassion and bravery.	2.7428572	train		
32	Kruepke	About a year ago I started re-selling medications from a Canadian pharmacy. I helped a great deal of elderly people so that they didn't have to pay exorbitant amounts for their medications that they needed.	orig		5.0	Action is caring but not directly about family bonds or offspring care.	5.0	The act benefits a community group without explicit group favoritism.	5.0	Helping elderly indicates a reciprocal goodwill, though not structured as classic favors.	6.0	Taking initiative in a risky, nontraditional market shows moderate courage and cleverness.	5.0	The act is humble in motive but not directly about deference or obedience.	5.0	Providing affordable medication reflects a fairer distribution, though no explicit resource dispute was resolved.	5.0	No significant regard or conflict with established property rights is involved.	2.0	Overall, the action is ethically positive due to its altruistic nature despite regulatory ambiguities.	0.57	train		
33	Kruepke	I was at the pharmacy buying something and I noticed a man who was sitting outside selling trinkets. He was homeless and it was freezing out. So I went next door to a store and bought him some food and new clothes.	orig		5.0	Action is altruistic but unrelated to familial obligations or offspring care.	5.0	Helping a stranger is not motivated by group affiliation or local conventions.	5.0	The act is kind but lacks a direct exchange or repayment element.	5.0	No evident display of bravery or exceptional heroic effort.	7.0	Demonstrates humility and respect through a compassionate, modest act.	5.0	Does not involve disputes or resource division; remains neutral on fairness.	5.0	Not applicable to prior possession, so remains a neutral factor.	4.0	A compassionate and generous deed, making it highly morally acceptable.	2.62	train		
34	Kruepke	"My husband had a problem with always wanting new computer equipment, what I called ""techno-lust"". It was a really huge financial problem, and I told him he had to go on a 5-year plan to financially police himself or I would divorce him. He has greatly improved."	orig		8.0	Protects family finances, securing the welfare of spouse and children.	5.0	No explicit display of group loyalty is evident in the scenario.	6.0	Ultimatum led to a reciprocal improvement in behavior.	5.0	No notable demonstration of bravery or heroic skill is involved.	5.0	Neither humility nor deference is clearly displayed in this action.	8.0	Setting boundaries ensures fair division of resources and responsibility.	5.0	The scenario does not address prior possessions or related claims.	2.0	Though stern, the corrective measure protects the family's well-being.	0.38	train		
35	Effron	Took the neighbor's newspaper	orig		5.0	Taking a newspaper does not directly affect family care or relationships.	0.0	Stealing from a neighbor undermines local trust and group bonds.	0.0	The act shows no reciprocation or trust; it violates expected mutual respect.	0.0	Petty theft does not exemplify bravery, fortitude, or clever heroic qualities.	0.0	The action contradicts obedience, respect, and humility typical of monkish virtues.	0.0	Taking another's property is unfair and disregards equitable resource division.	0.0	Stealing ignores established property rights and prior ownership recognition.	-4.0	Overall, an immoral act that widely contradicts ethical and social standards.	-1.73714296	train		
36	Clifford	You see someone cheating in a card game while playing with a group of strangers.	orig		5.0	Cheating has no relation to family bonds or offspring care.	0.0	Cheating undermines trust and collaboration among group members.	0.0	It breaks reciprocal trust and mutual favor expected in social interactions.	0.0	Cheating lacks the bravery, skill, or wit typically admired in heroes.	0.0	The act shows disrespect and a lack of humility towards established norms.	0.0	Cheating blatantly violates the principle of fair resource allocation.	5.0	The act does not engage with or respect prior claims or possessions.	-3.0	Overall, cheating is morally condemnable, severely breaching social trust.	-2.6	train		
37	Mickelberg	Person X did really well at the quiz night.	orig		5.0	Quiz performance is unrelated to family values and offspring care.	5.0	Although a social event, it doesn’t emphasize group loyalty significantly.	5.0	The scenario does not involve reciprocal social interactions.	7.0	Success in a quiz reflects considerable intellectual skill and wit.	5.0	No clear display of humility or deference is involved.	5.0	No issues of dividing disputed resources are present.	5.0	The event does not involve recognition or deferral to prior possession.	2.0	Achievement is praiseworthy without moral conflict, indicating overall acceptable behavior.	0.41	train		
38	Effron	Sang at a prison in order to entertain the inmates	orig		5.0	Singing at a prison does not involve family caring or inbreeding issues.	6.0	Performing for inmates can foster a sense of group belonging, though loosely.	5.0	The act isn’t about exchanging favors or retaliating.	5.0	Singing is not a particularly heroic act in terms of bravery or skill.	5.0	The act shows modest service and respect but isn’t overtly monkish.	5.0	There is no resource dispute or compromise evident in the scenario.	5.0	The scenario does not involve issues of prior possession.	2.0	Overall, the act is morally acceptable and supportive though not outstandingly virtuous.	1.93684216	train		
39	Grizzard	Rescues a local child in danger instead of firing on an enemy brigade.	orig		10.0	Rescuing a child embodies caring for offspring, directly reflecting family values.	5.0	The act is humanitarian rather than emphasizing loyalty to a specific group.	5.0	No reciprocal exchange is evident; the action is a selfless rescue rather than reciprocal.	10.0	Risking personal safety in rescue demonstrates exceptional bravery, fortitude, and skill.	5.0	While selfless, the action does not primarily highlight humility, deference, or obedience.	5.0	The scenario does not engage in resource division or compromise, remaining neutral on fairness.	5.0	There is no issue of prior possession addressed; the act remains neutral concerning this value.	4.0	The rescue of a vulnerable child, exemplifying heroism and care, is highly moral.	2.893333333	train		
40	Lotto	You are in a field playing frisbee with three young people you have just met. Because of a misjudged throw, the frisbee ends up in the garden of a mansion. You decide to climb the wall to look for it. Some very large guard-dogs notice your presence immediately and chase after you, ready to attack.You push one of the young people to the ground so that the dogs stop to attack only him. You know that he will die, but you, and the other two, will be able to escape.	orig		5.0	Action unrelated to family care; no kinship loyalty is involved.	0.0	Betrays a member of his group, showing disloyalty and disregard for friendship bonds.	0.0	No reciprocity is shown; instead, betrayal without any reciprocation or gratitude.	0.0	Despite some physical boldness, the deliberate sacrifice undermines true heroic virtue.	0.0	Exhibits no humility or respect; his choice is selfish and domineering.	0.0	Fails to distribute outcomes fairly, choosing to sacrifice one for the benefit of others.	5.0	The act does not concern rightful ownership, thus it is neutral regarding prior possession.	-4.0	Overall, the scenario is highly immoral due to intentional betrayal and sacrifice.	-1.82	train		
41	Mickelberg	Person X worked on a campaign to release wrongfully convicted prisoners.	orig		5.0	Campaign not directly tied to familial care or offspring, thus neutral.	5.0	Focus is on justice reform, not on loyalty to a specific group.	5.0	Not based on reciprocal favors; it addresses a systemic injustice.	8.0	Challenging wrongful convictions requires bravery, fortitude, and wit.	5.0	The campaign is activist, not centered on humility or deference.	10.0	Aims to correct injustice and restore fair treatment to the wronged.	5.0	Action unrelated to issues of prior possession or established ownership.	3.0	Overall, the act is morally commendable for correcting grave injustice.	3.27	train		
42	Effron	Gave his coat to someone when it was cold	orig		5.0	Not specifically related to family; a general act of kindness rather than familial duty.	5.0	Assistance is generic and not tied to a specific group or group loyalty.	5.0	The act shows goodwill without expectation of direct reciprocation.	5.0	Not a heroic display, but a modest, compassionate gesture.	7.0	Reflects humility and kindness, aligning somewhat with monkish ideals.	5.0	Irrelevant to dividing disputed resources, remaining neutral on fairness.	5.0	Not about disputed ownership; the act is neutral regarding prior possession.	4.0	A compassionate, altruistic act that is clearly morally acceptable.	3.04	train		
43	Effron	Kicked a stray cat to get it to leave his yard	orig		5.0	Not directly tied to family care; the act is indifferent to familial values.	5.0	The action is personal and unrelated to forming or maintaining group ties.	5.0	No reciprocal exchange or trust dynamic is involved in this action.	0.0	Kicking a cat shows no bravery or admirable skill; it rather displays cruelty.	0.0	The act lacks humility and respect, directly opposing monkish virtues.	0.0	Using force instead of negotiation violates fairness in resolving disputes.	10.0	The owner enforces his property rights by denying unauthorized access.	-3.0	Despite asserting property rights, overall cruelty and violence render it highly immoral.	-3.048	train		
44	Effron	Tricked a stay at home mom into donating to a fake charity	orig		0.0	Deceiving a caregiver undermines family trust and stability.	0.0	Exploiting an individual shows no solidarity or cooperative loyalty.	0.0	Betrays trust without reciprocation, violating principles of reciprocity.	0.0	Not an act of bravery or skill but one of deceit and cowardice.	0.0	Lacks humility or respectful behavior, actively disobeys moral expectations.	0.0	Fails to ensure fairness in resource division by unjustly acquiring funds.	0.0	Disregards respect for the owner's resources by fraudulent means.	-4.0	The overall act is highly immoral, exploiting trust for personal gain.	-3.088	train		
