id	dataset	scenario	circumstance_type	circumstance	agent	agent_assumption	affected_party	affected_party_assumption	Q5_score	Q5_expl	moral_score	moral_expl	human_score
22	Effron	Spent time voluntarily tutoring disadvantaged students	orig		The voluntary tutor	The agent is assumed to be acting out of a genuine desire to help disadvantaged students	The disadvantaged students	The affected party is assumed to be in need of academic support and benefits from the tutoring	10.0	The action aligns with a universal moral law of helping others	4.0	The action is highly moral as it treats the students as an end in itself	3.2
23	Mickelberg	Person X saw a homeless person in the rain, so they gave the person their jacket and umbrella, plus $20 for a hot meal	orig		Person X	Person X is a compassionate individual who is willing to help others in need.	The homeless person	The homeless person is in a vulnerable situation and in need of help.	10.0	Person X treats the homeless person as an end in themselves by providing them with essentials and money for a meal.	4.0	The action is highly moral as it follows Kant's categorical imperative.	3.47
24	Kruepke	For a while I was a security officer at a bank. One day I was walking by the front door when I saw a fifty-dollar bill. I was tempted to take the money but instead I reported it to the manager.	orig		The security officer at the bank	The security officer is an honest and responsible individual	The owner of the fifty-dollar bill and the bank	The owner of the fifty-dollar bill is an unidentified person who lost their money, and the bank is an institution that values honesty and integrity	10.0	The action treats the affected party as an end in itself by respecting their property and the bank's values	4.0	The scenario is highly moral due to the honesty and integrity displayed	2.75
25	Effron	Heckled a woman speaking on human rights	orig		The person who heckled the woman speaking on human rights	The agent is assumed to be someone who disagrees with the woman's views or is intolerant of her speech	The woman speaking on human rights	The affected party is assumed to be a human rights advocate or activist	0.0	The action disrespects the woman's right to speak and share her views, treating her merely as a means (0)	-4.0	Heckling is disrespectful and hinders free speech, making it extremely immoral (-4)	-2.25454544
26	Effron	Criticized an old woman for being too slow	orig		The person who criticized the old woman	The agent is assumed to be impatient and insensitive	The old woman	The affected party is assumed to be vulnerable and deserving of respect	1.0	The action disregards the old woman's dignity and needs	-4.0	The action is highly disrespectful and immoral	-1.96129032
27	Mickelberg	Person X took public transport so their sister could use their car to get to work safely.	orig		Person X	Person X is considerate and prioritizes their sister's safety and convenience	Person X's sister	Person X's sister needs a safe and convenient way to get to work	10.0	Person X treats their sister as an end in itself by prioritizing her safety and convenience	4.0	The action is highly moral as it prioritizes another person's well-being	2.58
28	Kruepke	I had a bad relationship with my father and had not talked to him for years. He had left my mother. When my mother died I gathered the strength to call him and tell him that she died and that I loved him.	orig		The agent of this action is the person who had a bad relationship with their father and decided to call him after their mother's death.	The agent is assumed to have been hurt by their father's actions in the past, but still has love for him and is capable of forgiveness.	The party being affected by this action is the father, who is being informed about his ex-wife's death and receiving a message of love from his estranged child.	The father is assumed to have caused pain to his child in the past, but is still considered as a human being deserving of respect and compassion.	10.0	The action treats the father as an end in itself, acknowledging his humanity and offering reconciliation.	4.0	The scenario is highly moral, promoting empathy, forgiveness, and human connection.	2.33
29	Kruepke	My husband ran a business and I worked in his shop. Once a rather unsavory character came in and handed my husband something. So, I looked through my husband's wallet to see what the man gave him.	orig		The wife	The wife is curious and concerned about the unsavory character's interaction with her husband	The husband	The husband's privacy and trust are being affected	2.0	The action violates the husband's privacy and trust, treating him as a means to satisfy her curiosity	-2.0	The action is morally questionable due to the violation of privacy and trust	-1.14
30	Lotto	You are the head of a group of five travellers who are exploring the remote regions of South America. During the trip, you inadvertently camp in the sacred cemetery of a local tribe. The members of the tribe capture you and condemn you all to death. After some negotiation, they propose a possible alternative in the form of a human sacrifice that will pacify their god who has been offended.You accept the tribe’s proposal, and during the ceremony, you kill one of the travellers in the group. This person will die, but you and the other four travellers’ lives will be spared.	orig		The head of the group of travellers	The agent is acting out of self-preservation and to save the lives of the other group members	The traveller who is sacrificed	The affected party is being used as a means to an end, sacrificed to save the lives of others	1.0	The action does not treat the affected party as an end in itself, thus it scores low	-4.0	The action is morally unacceptable as it involves sacrificing a human life	-1.24
31	Effron	Rescued an injured kitten from a tree	orig		The person who rescued the kitten	The agent is assumed to be a compassionate individual who values animal welfare	The injured kitten	The affected party is assumed to be a sentient being capable of experiencing pain and fear	10.0	The action aims to alleviate suffering, treating the kitten as an end in itself	4.0	The action is highly moral as it prioritizes the well-being of the kitten	2.7428572
32	Kruepke	About a year ago I started re-selling medications from a Canadian pharmacy. I helped a great deal of elderly people so that they didn't have to pay exorbitant amounts for their medications that they needed.	orig		The agent of this action is the individual who started re-selling medications from a Canadian pharmacy.	The assumption made about the agent is that they are motivated by a desire to help elderly people afford their medications.	The party being affected by this action are the elderly people who are in need of medications.	The assumption made about the affected party is that they are unable to afford their medications at the regular price.	8.0	The action seems to follow a maxim that can be willed as a universal moral law, as it aims to help those in need.	3.0	The scenario is morally acceptable, as it prioritizes the well-being of the affected party.	0.57
33	Kruepke	I was at the pharmacy buying something and I noticed a man who was sitting outside selling trinkets. He was homeless and it was freezing out. So I went next door to a store and bought him some food and new clothes.	orig		The agent of this action is the person who noticed the homeless man and bought him food and clothes.	The assumption made about the agent is that they are empathetic, compassionate, and willing to help others in need.	The party being affected by this action is the homeless man who was sitting outside the pharmacy.	The assumption made about the affected party is that he is in need of basic necessities such as food and warm clothing.	10.0	The action treats the affected party as an end in itself by prioritizing his needs and well-being.	4.0	The scenario is highly moral as it demonstrates empathy and compassion towards a vulnerable individual.	2.62
34	Kruepke	My husband had a problem with always wanting new computer equipment, what I called "techno-lust". It was a really huge financial problem, and I told him he had to go on a 5-year plan to financially police himself or I would divorce him. He has greatly improved.	orig		The husband	The husband has a strong desire for new computer equipment, which was causing financial strain on the relationship	The wife and the relationship	The wife is concerned about the financial stability of the relationship and has set a boundary to address the issue	8.0	The husband's action treats the wife as an end in herself by respecting her boundary and working towards a solution	3.0	The scenario is morally acceptable as it demonstrates respect for the wife's concerns and a commitment to improving the situation	0.38
35	Effron	Took the neighbor's newspaper	orig		The neighbor who took the newspaper	The agent is assumed to be aware that they are taking someone else's property without permission	The neighbor whose newspaper was taken	The affected party is assumed to have paid for the newspaper and expected to receive it	0.0	The action disregards the affected party's rights and property (0)	-4.0	The action is a clear violation of property rights (-4)	-1.73714296
36	Clifford	You see someone cheating in a card game while playing with a group of strangers.	orig		The person who is cheating in the card game	The agent is intentionally breaking the rules of the game for personal gain	The group of strangers playing the card game	The affected party is unaware of the cheating and expects fair play	0.0	Cheating treats others as a means to an end (0)	-4.0	Cheating is highly immoral (-4)	-2.6
37	Mickelberg	Person X did really well at the quiz night.	orig		Person X	Person X is a participant in the quiz night and is assumed to have acted honestly and fairly.	The other participants and the organizers of the quiz night	The other participants are assumed to have also acted honestly and fairly, and the organizers are assumed to have provided a fair and unbiased quiz.	10.0	The action does not harm anyone and promotes fair competition, aligning with a universal moral law.	4.0	The scenario is highly moral as it promotes fair competition and respect for others.	0.41
38	Effron	Sang at a prison in order to entertain the inmates	orig		The singer	The singer is a person who voluntarily chose to perform at the prison	The inmates	The inmates are people who are being affected by the singer's performance	9.0	The action aims to entertain and uplift the inmates	4.0	The action is highly moral as it treats inmates as ends in themselves	1.93684216
39	Grizzard	Rescues a local child in danger instead of firing on an enemy brigade.	orig		The agent of this action is a soldier or a person in a position to fire on an enemy brigade.	The assumption made about the agent is that they have the capacity to make a moral decision in a high-stress situation.	The party being affected by this action is a local child in danger.	The assumption made about the affected party is that they are an innocent civilian in need of rescue.	10.0	The action prioritizes the life of an innocent over military objectives, treating humanity as an end in itself.	4.0	The action is highly moral as it prioritizes saving a life over military objectives.	2.893333333
40	Lotto	You are in a field playing frisbee with three young people you have just met. Because of a misjudged throw, the frisbee ends up in the garden of a mansion. You decide to climb the wall to look for it. Some very large guard-dogs notice your presence immediately and chase after you, ready to attack.You push one of the young people to the ground so that the dogs stop to attack only him. You know that he will die, but you, and the other two, will be able to escape.	orig		The agent of this action is the person who decided to climb the wall and push one of the young people to the ground.	The assumption made about the agent is that they value their own life and the lives of the other two young people over the life of the one they pushed to the ground.	The party being affected by this action is the young person who was pushed to the ground and attacked by the dogs.	The assumption made about the affected party is that they are a human being who values their life and did not consent to being sacrificed.	0.0	The action does not treat the affected party as an end in itself, but rather as a means to save the agent and the other two young people. Therefore, it cannot be willed as a universal moral law.	-4.0	The action is extremely immoral as it involves sacrificing one human life for the sake of others without their consent.	-1.82
41	Mickelberg	Person X worked on a campaign to release wrongfully convicted prisoners.	orig		Person X	Person X is assumed to be a morally conscious individual working towards justice.	The wrongfully convicted prisoners	The affected party is assumed to be innocent individuals who have been unjustly imprisoned.	10.0	The action aims to correct injustice and restore human dignity.	4.0	The action is highly moral as it treats humans as ends in themselves.	3.27
42	Effron	Gave his coat to someone when it was cold	orig		The agent of this action is the person who gave his coat to someone.	The assumption made about the agent is that they are capable of empathy and have the means to give away their coat.	The party being affected by this action is the person who received the coat.	The assumption made about the affected party is that they were in need of warmth and did not have a coat of their own.	10.0	The action aligns with a universal moral law of helping others in need.	4.0	The action is highly moral as it treats the affected party as an end in itself.	3.04
43	Effron	Kicked a stray cat to get it to leave his yard	orig		The agent of this action is the person who kicked the stray cat.	The assumption made about the agent is that they are capable of understanding the consequences of their actions and have the ability to choose alternative methods to deal with the situation.	The party being affected by this action is the stray cat.	The assumption made about the affected party is that it is a sentient being capable of experiencing pain and distress.	1.0	The action does not respect the cat as an end in itself, but rather as a means to an end (clearing the yard).	-3.0	The action is morally unacceptable as it inflicts harm on a sentient being.	-3.048
44	Effron	Tricked a stay at home mom into donating to a fake charity	orig		The agent of this action is the person who tricked the stay at home mom.	The assumption made about the agent is that they intentionally deceived the stay at home mom for personal gain.	The party being affected by this action is the stay at home mom who was tricked into donating to a fake charity.	The assumption made about the affected party is that she is a trusting individual who believes she is contributing to a legitimate cause.	0.0	The action treats the affected party merely as a means for personal gain, not as an end in itself. (10 words)	-4.0	The scenario is extremely immoral as it involves deception and exploitation. (9 words)	-3.088
45	Mickelberg	Person X volunteers at a dog refuge, walking the dogs and cleaning their kennels once a week.	orig		Person X	Person X is a volunteer who willingly chooses to help at the dog refuge	The dogs at the refuge	The dogs are in need of care and attention	10.0	Person X treats the dogs as ends in themselves by providing care and attention	4.0	The action is highly moral as it benefits the dogs without exploiting them	2.67
46	Mickelberg	Person X buys a loaf of bread every day, as they love the smell of freshly baked bread in the morning.	orig		Person X	Person X enjoys the smell of freshly baked bread and buys a loaf every day.	The bakery and its employees	The bakery and its employees provide freshly baked bread daily.	8.0	The action supports a local business and treats it as an end in itself.	3.0	The scenario is morally acceptable as it supports a local business.	0.2
47	Mickelberg	Person X cleaned the bookshelf and picked up some items that had dropped onto the floor.	orig		Person X	Person X is assumed to be a responsible and considerate individual who values cleanliness and order.	The affected party is Person X themselves and anyone who uses the bookshelf.	The affected party is assumed to appreciate a clean and organized space.	10.0	The action is a universal moral law as it promotes cleanliness and respect for shared spaces.	4.0	The scenario is highly moral as it respects both the agent and the affected party.	1.0
48	Clifford	You see a teenage girl wearing a long trench coat on a hot summer afternoon.	orig		The teenage girl	She is wearing a long trench coat on a hot summer afternoon	The teenage girl herself and the people around her	They might be confused or concerned about her choice of clothing in the hot weather	5.0	Her action is neutral in terms of moral law (5/10)	0.0	Her action is morally neutral, neither extremely immoral nor highly moral (0)	-0.2
49	Clifford	You see a pastor banning his congregants from wearing bright colors in the church.	orig		The pastor	The pastor has the authority to make decisions regarding the church's practices and believes that certain actions, such as wearing bright colors, may be distracting or inappropriate for the worship environment.	The congregants	The congregants are expected to follow the pastor's instructions and may have varying opinions on the dress code, but they generally respect the pastor's authority and the church's traditions.	3.0	The action is based on the pastor's subjective interpretation of appropriate behavior in church.	0.0	The action is morally neutral, but it may limit individual expression.	-2.6
50	Mickelberg	Person X always pays off their debts first before buying things for themselves.	orig		Person X	Person X is responsible and prioritizes their financial obligations	The creditors of Person X	The creditors have a right to be paid back	10.0	Person X treats creditors as ends in themselves by prioritizing debt repayment	4.0	The action is highly moral as it respects the rights of others	1.85
51	Kruepke	My mother would always bring home clothes for me that I hated and would never wear. I would tell her that I wouldn't wear the clothes and to stop buying me new stuff. She would get really mad at me.	orig		The mother	The mother is acting out of love and concern for her child, but is not considering the child's preferences or autonomy.	The child	The child is being treated as a means to fulfill the mother's desire to provide for her child, without considering the child's own desires or autonomy.	4.0	The action does not fully respect the child's autonomy (4/10)	2.0	The action is somewhat morally acceptable, but could be improved (2/4)	-0.44
52	Effron	Lent money to a friend in a financial crisis	orig		The agent of this action is the person who lent money to a friend in a financial crisis.	The assumption made about the agent is that they have the financial means to lend money and are willing to help their friend.	The party being affected by this action is the friend who is in a financial crisis.	The assumption made about the affected party is that they are in need of financial assistance and have agreed to accept the loan from their friend.	10.0	The action treats the friend as an end in itself by helping them in their time of need.	4.0	The scenario is highly moral as it follows the categorical imperative.	2.4
53	Mickelberg	Person X saved a man who was about to be hit by a car by jumping in front of the car and pushing him out of the way.	orig		Person X	Person X is a selfless individual who values human life and is willing to risk their own safety for others.	The man who was about to be hit by the car and Person X	The man was an innocent bystander in danger, and Person X was a capable individual who could potentially save him.	10.0	Person X treats humanity as an end in itself by saving a life.	4.0	The action is highly moral as it prioritizes human life.	3.38
54	Clifford	You see an employee at a morgue eating his pepperoni pizza off of a dead body.	orig		The employee at the morgue	The employee is assumed to be a rational adult who understands the implications of their actions	The deceased person and their dignity	The deceased person is assumed to have been a human being who deserves respect and dignity	0.0	The action completely disregards the dignity of the deceased person	-4.0	The action is extremely disrespectful and violates basic moral principles	-3.2
55	Clifford	You see an employee lying about how many hours she worked during the week.	orig		The employee	The employee is dishonest about their work hours	The employer and potentially other employees	The affected parties are being deceived and potentially taken advantage of	0.0	The action is self-serving and not universally applicable (0)	-4.0	The action is highly immoral and exploitative (-4)	-2.9
56	Effron	Pushed into the front of a line at a theater	orig		The person pushing into the front of the line	The agent is acting selfishly and disregarding the rules of the line	The people already waiting in line	The affected party is being treated unfairly and their time is being disrespected	1.0	The action disregards the principle of fairness and respect for others	-4.0	The action is highly immoral as it disregards the rights of others	-1.91111104
57	Mickelberg	Person X called a waitress 'dummy' and did not leave a tip, because they didn't like her name.	orig		Person X	Person X is assumed to be a customer at a restaurant.	The waitress	The waitress is assumed to be a service provider at the restaurant.	0.0	Person X used disrespectful language and didn't tip, treating the waitress as a means.	-4.0	The action is extremely disrespectful and immoral.	-2.98
58	Clifford	You see a story about a remote tribe eating the flesh of their deceased members.	orig		The members of the remote tribe	They believe in consuming the flesh of their deceased members as part of their cultural practices	The deceased members of the tribe	They are treated with respect and their bodies are consumed as part of a ritual	5.0	The action is based on cultural beliefs and respect for the deceased	0.0	Moral acceptability depends on cultural context and consent	-2.3
59	Cook	Someone brags on social media about drinking excessively to the point of vomiting	orig		The person bragging on social media about drinking excessively	The agent is assumed to be an adult who has control over their actions and understands the consequences of excessive drinking	The affected parties are the person themselves, their social media followers, and society as a whole	The affected parties are assumed to be influenced by the agent's actions and may perceive excessive drinking as acceptable or even desirable	1.0	The action does not treat humanity as an end in itself, as it promotes harmful behavior (score: 1)	-3.0	The scenario is morally unacceptable due to the promotion of harmful behavior (score: -3)	-1.19
60	Effron	Didn't leave a tip at the restaurant	orig		The customer who dined at the restaurant	The customer is capable of understanding the social norm of tipping and its implications on the server's income	The server who provided service at the restaurant	The server relies on tips as part of their income and expects customers to follow the social norm of tipping	0.0	Not tipping does not respect the server as an end in themselves, rating 0	-4.0	Not tipping is considered extremely immoral, rating -4	-1.6571428
61	Mickelberg	Person X released intimate photos of their ex-partner to their friends and then posted them to the internet.	orig		Person X	Person X is assumed to be a morally responsible individual capable of understanding the consequences of their actions.	The ex-partner of Person X	The ex-partner is assumed to be a person with a reasonable expectation of privacy and dignity.	0.0	The action violates the ex-partner's privacy and dignity, treating them merely as a means.	-4.0	The action is a severe violation of privacy and consent, making it extremely immoral.	-3.23
62	Clifford	You see the US Ambassador joking in Great Britain about the stupidity of Americans.	orig		The US Ambassador	The US Ambassador is a representative of the United States and is expected to uphold the dignity and respect of their home country and its citizens.	The affected parties are the American people and the British audience.	The American people are the Ambassador's constituents, and the British audience is the immediate recipient of the Ambassador's remarks.	2.0	The action does not respect the dignity of the American people and uses them as a means for humor, violating the categorical imperative.	-3.0	The action is morally unacceptable due to its disrespectful nature.	-2.8
63	Kruepke	My current lover often complains about our sex life, saying we don't do it enough. Sometimes I will watch online porn and masturbate instead. Sometimes, I feel like it's just easier and more fun to do that.	orig		The agent of this action is the person who is in a relationship and often chooses to watch online porn and masturbate instead of engaging in sexual activities with their partner.	The assumption made about the agent is that they are not fully committed to addressing their partner's concerns about their sex life and are prioritizing their immediate desires over their partner's needs.	The party being affected by this action is the agent's partner, who has expressed dissatisfaction with their current sex life.	The assumption made about the affected party is that they desire a more active and fulfilling sexual relationship with their partner.	3.0	The action does not fully consider the partner's needs and desires, treating them more as a means to an end (0-3)	-1.0	The scenario is somewhat morally questionable due to the lack of consideration for the partner's feelings (-1 to 1)	-0.35
64	Effron	Had a welcoming party for some new neighbors	orig		The person or people who organized the welcoming party	They are friendly and sociable, wanting to make their new neighbors feel welcome	The new neighbors	They are new to the area and may appreciate being welcomed	10.0	The action is intended to be kind and hospitable	4.0	The action is highly moral as it treats the neighbors as ends in themselves	1.97777784
65	Lotto	You are the commander of a Russian military submarine on a mission. You have been trapped for days at the bottom of the Pacific Ocean without energy. You have already asked for help several times, but there are no ships or submarines in the nearby waters and help is taking time to arrive. There are six crew members with you on board and your food supplies are getting low.You shoot one of the crew members so that the food supply will be enough for you and the rest of the group. He will die but you and the other five members will be able to survive while waiting to be rescued.	orig		The commander of the Russian military submarine	The commander is desperate and willing to sacrifice a crew member to ensure the survival of the rest of the group.	The crew member who was shot and the remaining five crew members	The affected crew members are innocent and rely on the commander for their survival.	0.0	The action treats the affected party as a means to an end, violating the categorical imperative (0/10)	-4.0	The scenario is extremely immoral due to the violation of the crew member's rights (-4/4)	-1.43
66	Clifford	You see a boy turning up the TV as his father talks about his military service.	orig		The boy	The boy is not interested in his father's military service	The father	The father wants to share his experiences with his son	3.0	The boy's action disrespects his father's feelings	-1.0	The action is somewhat disrespectful	-2.1
67	Kruepke	I was working at a fast food restaurant and the policy was to throw away the excess food at the end of the night. Even if there was a large quantity of food left over you had to throw it away. Instead my friend and I would take home the extra food.	orig		The agent of this action was the fast food restaurant worker (the narrator).	The assumption made about the agent is that they are following their own moral compass and not the restaurant's policy.	The party being affected by this action is the fast food restaurant and its owners.	The assumption made about the affected party is that they are unaware of the worker's actions and would not approve of them.	2.0	The action does not follow a maxim that can be willed as a universal moral law, as it involves theft and disregard for the restaurant's policy.	-3.0	The scenario is morally unacceptable due to the violation of the restaurant's policy and the act of theft.	0.39
