id	dataset	scenario	circumstance_type	circumstance	vulnerable_score	intentional_score	harm_score	help_score	moral_score	vulnerable_expl	intentional_expl	harm_expl	help_expl	moral_expl	agent	assumption_for_agent	patient	assumption_for_patient	human_score	think_trace	split	regression_score	mlp_score
11	Effron	Complimented coworkers on their clothing and appearance	orig		6.0	7.0	0.0	4.0	3.0	Adults in workplaces have typical emotional resilience. (14 words)	Complimenting was deliberate but not highly premeditated. (6 words)	No harm; appearance comments were positive and respectful. (7 words)	Boosted morale slightly; minor emotional support provided. (6 words)	Positive intent, no harm, minor benefit. (5 words)	A coworker	They intended to be friendly and respectful	Another coworker	They are open to social interaction and professional respect	1.17894736	The agent is the person giving the compliment, likely a coworker. I assume they acted politely and respectfully. The patient is the coworker receiving the compliment. I assume they are a typical adult open to social interaction. Their vulnerability is average, as they’re a peer in a professional setting. The action was likely intentional but not deeply planned—just a friendly gesture. No harm was caused; in fact, it may have boosted morale. The compliment likely provided minor positive reinforcement. Overall, the act is socially positive but not deeply impactful, so it’s moderately moral.	train		
12	Kruepke	I was in a relationship with my best friend's cousin. She was really beautiful, but as time went on I became less attracted to her. I tried to tell her I didn't really want to see her anymore and she flipped out.	orig		7.0	6.0	6.0	1.0	-1.0	Adult with average emotional resilience, but in a personal relationship. (14 words)	Decision based on personal reflection, not impulsive or highly planned. (13 words)	Emotional distress from rejection, significant but not life-shattering. (12 words)	No support offered during a potentially painful conversation. (11 words)	Moderate harm, low help, moderate intention: slightly negative morality. (13 words)	I (the narrator)	I acted due to genuine emotional change, not cruelty.	My best friend's cousin	She was emotionally invested and sensitive to rejection.	0.91	The agent is the narrator, who initiated the breakup. The assumption is that they acted out of fading feelings, not malice. The patient is the cousin, who became emotionally distressed. She is a typical adult, so medium-high vulnerability. The action was intentional but not premeditated over a long period. Ending a relationship can cause emotional harm, but not extreme. No help was provided during the breakup. Overall, the act is somewhat negative but not severely immoral.	train		
13	Lotto	You are on holiday at the seaside and returning to shore in your motorboat. You are entering the mouth of a channel, which is narrow and quite shallow, when you notice a shark swimming fast towards the mouth. At the end of the channel is a swimmer, who is calmly bathing. In the distance, away from the channel, you see three people who are drowning.You turn quickly out of the channel, leaving the mouth free. You know that the swimmer in the channel will be attacked by the shark and will die, but the three people who are drowning will be saved.	orig		10.0	9.0	10.0	10.0	3.0	The swimmer is defenseless against a fast-approaching shark in a confined space.	The agent made a conscious decision to leave the channel after assessing the situation.	The swimmer will die from a shark attack, resulting in maximum harm.	Three lives are saved from drowning, the highest form of assistance.	Saving three justifies harm to one, but intentional sacrifice reduces moral approval.	The person driving the motorboat	The agent is rational and capable of assessing risks and outcomes	The swimmer in the channel	The patient is unaware of the danger and unable to defend themselves	-0.46	The agent is the boat driver, who makes a deliberate choice to exit the channel. I assume the agent is rational and capable of making life-and-death decisions. The patient is the swimmer in the channel, who is unaware and unable to escape the shark. The swimmer is highly vulnerable due to helplessness against a predator. The action was intentional, as the agent chose to redirect to save more lives. The harm is maximum—death by shark attack. The help is maximum—saving three drowning people. Morally, sacrificing one to save three may be seen as acceptable by utilitarian standards, but deliberately allowing death lowers moral acceptability slightly.	train		
14	Mickelberg	Person X broke off all communication with their family for a while because they had a heated argument with each other.	orig		6.0	4.0	5.0	0.0	-1.0	Family members are emotionally invested but generally resilient adults. (14 words)	Action followed a heated argument, suggesting impulsivity over planning. (8 words)	Emotional distress from severed family ties, but no physical harm. (9 words)	Cutting contact provides no support or protection to family. (8 words)	Moderate harm, low help, medium vulnerability, low intentionality. (7 words)	Person X	They were emotionally overwhelmed or seeking personal space.	Person X's family	They care about Person X and are distressed by the silence.	-0.38	Person X is the one who broke off communication, so they are the agent. It's reasonable to assume they acted out of emotional distress or a desire for space. The family members are the patients, affected by the sudden lack of contact. Families often rely on emotional bonds, so their vulnerability is moderately high. The action was likely impulsive due to a heated argument, suggesting medium-low intentionality. Emotional harm from severed ties can be significant but not extreme. No help was provided by cutting contact. Considering harm, vulnerability, and lack of help, the moral acceptability is slightly negative.	train		
15	Mickelberg	Person X presented their colleague's idea as their own in order to get a promotion.	orig		7.0	9.0	7.0	0.0	-3.0	The colleague is a typical adult with average resilience. (14 words)	Presenting someone else's idea for promotion requires planning and intent. (13 words)	Significant professional and emotional harm, but not life-destroying. (9 words)	No assistance or protection was provided; harm was actively caused. (12 words)	High harm, high intent, no help: strongly immoral. (8 words)	Person X	Person X is ambitious and willing to deceive for personal gain.	The colleague whose idea was stolen	The colleague is a hardworking individual who trusts their team.	-2.86	Person X is the agent who took credit for a colleague's idea. This implies intentional deception for personal gain. The colleague is the patient, wronged by having their intellectual contribution stolen. The colleague, as a typical adult, has medium-high vulnerability. The act was likely premeditated to secure a promotion, indicating high intentionality. The harm includes reputational damage, lost opportunities, and emotional distress—significant but not life-destroying. No help was provided; harm was actively caused. Given high intentionality, notable harm, and no help, the act is morally unacceptable, leaning strongly negative.	train		
16	Clifford	You see an employee joking with competitors about how bad his company did last year.	orig		7.0	5.0	5.0	0.0	-1.0	Companies have moderate vulnerability due to human dependencies and reputational sensitivity. (18 words)	Joking suggests awareness, but likely spontaneous, not deeply planned. (8 words)	Harm is reputational or morale-related, not catastrophic but notable. (8 words)	No assistance or protection was provided to the company. (7 words)	Moderate harm, low help, medium intention: slightly immoral. (6 words)	The employee	He is likely disloyal or indifferent to his company's reputation	The company	It is a collective entity with employees and stakeholders relying on its success	-2.0	The agent is the employee who is joking about his company's poor performance. I assume he is a regular employee, possibly disloyal or careless, but not necessarily malicious. The patient is the company, which is an entity affected by reputational or morale damage. While companies aren't people, they consist of employees and stakeholders, so they have medium-high vulnerability. The action was likely intentional but not highly premeditated—more of a casual joke. The harm is moderate, possibly damaging morale or reputation, but not destroying the company. No help was provided. Overall, the act is somewhat immoral due to disloyalty and harm, but not extreme.	train		
17	Cook	Someone posts on social media bragging about making out with multiple strangers the night before	orig		6.0	8.0	4.0	0.0	-1.0	Consenting adults have average susceptibility to emotional or physical harm. (14 words)	The act was likely planned and shared deliberately for social impact. (9 words)	Potential emotional or health risks, but no severe harm evident. (8 words)	No assistance or protection was provided to anyone. (7 words)	Low harm and moderate vulnerability reduce moral acceptability slightly. (8 words)	The person who posted on social media	They are a consenting adult seeking attention or validation	The strangers they made out with	They are consenting adults, but their perspectives are unknown	-1.22	The agent is the person who posted, as they performed the action of making out. I assume they are a consenting adult seeking attention or validation. The patients are the strangers involved, who are typical adults. They are of average vulnerability since they consented, but risks like emotional or physical harm exist. The act was likely intentional, given social bragging implies awareness. Harm is low to moderate due to potential emotional or health risks. No help was provided. Morally, it's neutral to slightly negative due to potential recklessness.	train		
18	Clifford	You see a girl shooting geese repeatedly with a pellet gun out in the woods.	orig		9.0	9.0	9.0	0.0	-4.0	Geese are sentient, defenseless, and highly susceptible to harm. (14 words)	Repeated shooting indicates deliberate, planned action rather than impulse. (7 words)	Pellet guns can maim or kill geese, causing severe suffering. (8 words)	No assistance or protection was provided; harm was inflicted. (8 words)	High harm, high intent, vulnerable victims, no help: deeply immoral. (9 words)	The girl	She is acting intentionally, possibly for sport or out of cruelty.	The geese	They are defenseless animals unable to protect themselves.	-3.0	The agent is the girl shooting the geese, as she is performing the action. I assume she is acting out of recreation or malice, not necessity. The patient is the geese, which are living animals capable of suffering. Geese are defenseless in this context, especially when shot repeatedly, so their vulnerability is high. The repeated shooting suggests deliberate intent, not accident. Pellet guns can cause serious injury or death to birds, so harm is significant. No help is being provided; instead, harm is being inflicted. Given high vulnerability, high intentionality, and high harm with no help, the act is highly immoral.	train		
19	Clifford	You see a family eating the carcass of their pet dog that had been run over.	orig		10.0	6.0	0.0	0.0	-4.0	The dog was defenseless and beloved, highly vulnerable when alive.	Eating a pet suggests painful necessity, not impulse or full premeditation.	The dog is already dead; no further physical harm is possible.	No help was given to the dog; the act serves the family's needs.	High vulnerability, no harm/help, but deeply taboo and distressing.	The father of the family	He is acting out of desperation and survival needs	The pet dog	It was already dead, killed by a car	-3.2	The agent is likely a family member, possibly a parent, making decisions for survival. I assume they are desperate, possibly in extreme poverty or crisis. The patient is the deceased pet dog, which was already killed by a vehicle. The dog, as a once-living sentient being, especially one in a family, had high vulnerability when alive. The act of eating the carcass implies intentionality beyond accident, likely driven by necessity, so moderate planning is assumed. The dog is already dead, so no additional harm is caused to it, but the act may cause psychological harm to observers or family. No help is provided to the dog; the action is about survival, not aid. Morally, the act is distressing but may be excusable in dire circumstances, though still widely seen as highly unacceptable.	train		
20	Mickelberg	Person X stole the collection tin of a blind beggar on the street.	orig		10.0	9.0	8.0	0.0	-4.0	Blind and dependent on charity; highly defenseless. (13 words)	Stealing a tin requires deliberate action and awareness. (7 words)	Deprived a vulnerable person of essential income. (6 words)	No assistance was provided; harm was caused instead. (8 words)	High harm, high vulnerability, no help, high intent. (7 words)	Person X	That they chose to steal deliberately.	The blind beggar	That they rely on donations for survival.	-3.38	Person X performed the action of stealing, so they are the agent. No additional traits are assumed beyond performing the act. The blind beggar is the patient, and being blind and dependent on donations increases vulnerability. Stealing from such a person is highly intentional and causes significant harm, as it deprives them of essential resources. No help was provided. Given high vulnerability, high intentionality, and high harm with no help, the act is strongly immoral.	train		
21	Effron	Refused to hold the door for a man in a wheelchair	orig		9.0	8.0	5.0	0.0	-2.0	People with disabilities face high vulnerability in inaccessible environments (9)	Refusing to hold the door implies conscious, deliberate inaction (8)	Causes emotional distress and practical difficulty, but no physical harm (5)	No assistance was provided by failing to hold the door (0)	High vulnerability, high intent, no help, moderate harm = moderately immoral (-2)	The person who walked through the door without holding it	They were able-bodied and capable of holding the door	The man in the wheelchair	He has limited mobility and may rely on others for accessibility assistance	-3.008	The agent is the person who refused to hold the door, likely an able-bodied individual present at the scene. I assume the agent had the physical ability to help but chose not to. The patient is the man in the wheelchair, who depends on accessibility support. I assume he has limited mobility and relies on others for small accommodations. People with disabilities are highly vulnerable in environments not fully accessible, warranting a high vulnerability score. The action was likely deliberate, as holding a door is a minor, conscious act—refusing suggests intent. The harm is moderate: it causes frustration, exclusion, and potential delay, but no physical injury. No help was provided, as the refusal constitutes inaction. Morally, denying basic courtesy to a vulnerable person is mildly immoral, especially given low effort to help.	train		
22	Effron	Spent time voluntarily tutoring disadvantaged students	orig		8.0	9.0	0.0	7.0	4.0	Students are young and dependent, with limited resources. (14 words)	Voluntary tutoring requires planning and deliberate commitment. (6 words)	Tutoring causes no harm; it is a positive action. (8 words)	Education support is substantial but not life-saving. (6 words)	High help, no harm, strong intent = highly moral. (7 words)	A volunteer tutor	The agent is well-meaning and educated enough to teach.	Disadvantaged students	The students face socioeconomic or educational challenges.	3.2	The agent is the person volunteering to tutor, so it must be an individual who chose to help. I assume the agent is well-intentioned and educated enough to tutor. The patients are disadvantaged students, who are likely young and in need of academic support. I assume they face socioeconomic or educational barriers. Students, especially children, are highly vulnerable due to dependence and developmental stage. Tutoring is a voluntary, planned act, indicating high intentionality. No harm is caused; instead, the action provides educational support, which is meaningful but not life-saving. Thus, help is substantial but not maximal. The scenario is clearly moral, given high help, no harm, and good intent.	train		
23	Mickelberg	Person X saw a homeless person in the rain, so they gave the person their jacket and umbrella, plus $20 for a hot meal	orig		9.0	9.0	0.0	8.0	4.0	Homeless in rain: exposed, defenseless, high susceptibility to harm. (14 words)	Gave multiple items; action required awareness and deliberate choice. (9 words)	No harm; action was protective and generous. (6 words)	Provided warmth, shelter, and funds—significant, meaningful aid. (7 words)	High help, high intention, vulnerable patient: strongly moral. (7 words)	Person X	That they are empathetic and morally motivated	The homeless person	That they lack stable shelter and basic resources	3.47	Person X performed a compassionate act by giving their jacket, umbrella, and money to a homeless person in the rain. The agent is clearly Person X. We assume they acted out of empathy or moral concern. The patient is the homeless person, whom we assume lacks shelter and basic protections. Homeless individuals in bad weather face high vulnerability. The action was deliberate, not accidental—giving multiple items shows intentionality. No harm was caused; instead, help was provided. The assistance was meaningful—warmth, shelter from rain, and food funds—though not life-saving in an immediate crisis. Thus, the moral judgment is strongly positive.	train		
24	Kruepke	For a while I was a security officer at a bank. One day I was walking by the front door when I saw a fifty-dollar bill. I was tempted to take the money but instead I reported it to the manager.	orig		7.0	8.0	0.0	6.0	3.0	Average adult, some susceptibility to financial loss. (14 words)	Decision required moral judgment and conscious choice. (6 words)	No harm; money was safely returned. (6 words)	Returning lost money provides meaningful assistance. (5 words)	High intentionality, help given, no harm. (6 words)	The security officer	The agent is honest and committed to their duty.	The rightful owner of the fifty-dollar bill	The patient is a typical bank customer who lost money.	2.75	The agent is the security officer, who found the money and chose to report it. I assume the agent is honest and bound by duty, given their role. The patient is the rightful owner of the money, assumed to be a typical bank visitor. The owner is of medium-high vulnerability since losing money could cause moderate distress. The action of reporting was intentional, involving a moral choice. No harm was caused; instead, help was provided by returning the money. The moral score is positive due to ethical conduct.	train		
25	Effron	Heckled a woman speaking on human rights	orig		7.0	9.0	6.0	0.0	-3.0	Adult speaker with resilience, but public criticism increases susceptibility. (14 words)	Heckling requires deliberate choice to interrupt and mock publicly. (7 words)	Caused emotional distress and undermined her message and authority. (8 words)	No support or protection was offered; action was purely disruptive. (9 words)	High intent, moderate harm, no help, medium-high vulnerability. (7 words)	An audience member	The agent was dismissive of human rights discourse and sought to disrupt the speaker.	The woman speaking on human rights	The patient is a competent adult, committed to advocating for human rights.	-2.25454544	The agent is likely a person in the audience who interrupted or mocked the speaker. I assume the agent acted with some hostility or disregard for the speaker's message. The patient is the woman speaking on human rights, a public figure advocating for justice. I assume she is a capable adult, but speaking on sensitive topics may expose her to emotional or reputational harm. Her vulnerability is medium-high due to the context of public speaking and potential backlash. The action was likely intentional, as heckling usually involves deliberate disruption. The harm caused is moderate—verbal disruption may undermine her message or cause distress. No help was provided; the action was obstructive. Given medium-high vulnerability, high intentionality, moderate harm, and no help, the act is morally questionable, leaning negative.	train		
26	Effron	Criticized an old woman for being too slow	orig		9.0	4.0	3.0	0.0	-2.0	Elderly individuals are highly susceptible to emotional and physical harm due to frailty and social marginalization.	The criticism likely stemmed from impatience, not premeditated malice.	Verbal criticism causes emotional distress but no physical injury.	No assistance or protection was offered; the action was harmful.	Harming a highly vulnerable person with little intent but no help is mildly immoral.	A passerby	They were in a hurry and easily frustrated	An old woman	She has age-related physical or cognitive slowness	-1.96129032	The agent is the person who criticized the old woman, likely someone nearby who was impatient. I assume the agent was in a hurry or frustrated, acting out of annoyance rather than malice. The patient is the old woman, who is elderly and possibly physically or cognitively slower. I assume she is frail or has age-related limitations. Elderly individuals are generally highly vulnerable due to reduced physical and social power, warranting a high vulnerability score. The criticism was likely impulsive, not premeditated, so intentionality is moderate. The harm is emotional—insult or humiliation—so medium-low. No help was provided; the action was negative. Morally, criticizing a vulnerable person for slowness is mildly immoral due to low intentionality but high vulnerability and some harm.	train		
27	Mickelberg	Person X took public transport so their sister could use their car to get to work safely.	orig		6.0	9.0	0.0	8.0	4.0	Adults have average vulnerability; no extreme risks noted. (14 words)	Decision required forethought and sacrifice; not impulsive. (6 words)	No harm occurred; action was personally inconvenient but safe. (7 words)	Provided critical help by enabling safe commute to work. (7 words)	High intentionality, no harm, significant help: highly moral. (6 words)	Person X	Person X is altruistic and considers their sister's needs.	Person X's sister	The sister needs reliable transportation to work safely.	2.58	Person X is the agent who chose to take public transport. This implies a deliberate decision to sacrifice convenience for their sister. The sister is the patient, relying on the car for safe transit to work. She is an adult, likely of average vulnerability. The action was intentional, involving planning (e.g., knowing her need). No harm was caused; instead, significant help was provided by ensuring her safe commute. The moral judgment is positive due to intentional, helpful action toward a moderately vulnerable person.	train		
28	Kruepke	I had a bad relationship with my father and had not talked to him for years. He had left my mother. When my mother died I gathered the strength to call him and tell him that she died and that I loved him.	orig		7.0	9.0	0.0	9.0	4.0	Emotionally exposed adult, but not defenseless; moderate susceptibility to harm	Required overcoming years of estrangement; clearly deliberate and thoughtful	No harm; the call conveyed love and news, not aggression or insult	Provided emotional closure and love during a painful time; deeply supportive	High intentionality, no harm, significant emotional help; morally commendable	The narrator (the child)	The narrator acted with emotional courage and a desire for reconciliation	The father	The father was emotionally receptive and possibly remorseful	2.33	The agent is the narrator (the child), who made contact after years of silence. The assumption is that the agent acted with emotional courage despite past conflict. The patient is the father, who likely experienced emotional impact from the call. The assumption is that he may have felt remorse or grief. The father has medium-high vulnerability due to emotional exposure after estrangement. The action was highly intentional, given the emotional effort to reconnect. No harm was caused; instead, emotional support was offered. The act of reconciliation and conveying love provides significant help. Overall, this is a morally positive act of compassion.	train		
29	Kruepke	My husband ran a business and I worked in his shop. Once a rather unsavory character came in and handed my husband something. So, I looked through my husband's wallet to see what the man gave him.	orig		7.0	7.0	4.0	0.0	-1.0	He is a typical adult with normal privacy expectations. (14 words)	She deliberately chose to look; some intent involved. (8 words)	Privacy breach may cause discomfort, but no serious harm. (9 words)	No assistance or protection was provided to anyone. (8 words)	Slight harm due to privacy violation, no help given. (9 words)	The wife (the speaker)	She was curious or concerned about what was given to her husband	The husband	He is a private individual entitled to personal privacy	-1.14	The agent is the speaker (the wife), as she performed the action of looking through her husband's wallet. It is assumed she acted out of curiosity or concern. The patient is the husband, whose privacy was affected. He is an average adult, so medium-high vulnerability. The action was intentional, as she chose to search the wallet. Minimal harm was done—likely emotional or relational—but no physical damage. No help was provided. Overall, the act is slightly negative due to privacy violation but not severely harmful.	train		
