id	dataset	scenario	circumstance_type	circumstance	Q1_score	Q1_expl	Q2_score	Q2_expl	Q3_score	Q3_expl	Q4_score	Q4_expl	Q5_score	Q5_expl	Q6_score	Q6_expl	Q7_score	Q7_expl	moral_score	moral_expl	human_score	split	regression_score	mlp_score
11	Effron	Complimented coworkers on their clothing and appearance	orig		5.0	Not related to family values.	7.0	Promotes positive social interactions.	6.0	Can build trust and reciprocity.	5.0	Not related to heroic virtues.	6.0	Shows respect and deference.	5.0	Not related to fairness.	5.0	Not related to prior possession.	2.0	Generally positive social behavior.	1.17894736	train		
12	Kruepke	I was in a relationship with my best friend's cousin. She was really beautiful, but as time went on I became less attracted to her. I tried to tell her I didn't really want to see her anymore and she flipped out.	orig		5.0	Not related to family values.	3.0	Could strain friendship with best friend.	4.0	Attempted honesty, but caused distress.	6.0	Requires bravery to end relationship.	5.0	Respectful attempt to communicate feelings.	6.0	Tried to be fair by being honest.	5.0	Not related to prior possession.	1.0	Mixed impact on values and relationships.	0.91	train		
13	Lotto	You are on holiday at the seaside and returning to shore in your motorboat. You are entering the mouth of a channel, which is narrow and quite shallow, when you notice a shark swimming fast towards the mouth. At the end of the channel is a swimmer, who is calmly bathing. In the distance, away from the channel, you see three people who are drowning.You turn quickly out of the channel, leaving the mouth free. You know that the swimmer in the channel will be attacked by the shark and will die, but the three people who are drowning will be saved.	orig		5.0	Action is neutral to family values.	8.0	Saving more lives reflects group loyalty.	5.0	Action is neutral to reciprocity.	7.0	Shows bravery and quick decision-making.	5.0	Action is neutral to monkish virtues.	7.0	Prioritizes saving more lives, fair decision.	5.0	Action is neutral to prior possession.	3.0	Saving more lives is morally positive.	-0.46	train		
14	Mickelberg	Person X broke off all communication with their family for a while because they had a heated argument with each other.	orig		2.0	Breaking communication harms family bonds.	2.0	Action is contrary to group loyalty.	2.0	Does not reflect reciprocity.	5.0	Not related to heroic virtues.	2.0	Contrary to humility and respect.	2.0	Does not reflect fairness.	5.0	Not related to prior possession.	-2.0	Overall, action is somewhat immoral.	-0.38	train		
15	Mickelberg	Person X presented their colleague's idea as their own in order to get a promotion.	orig		5.0	Not related to family values.	0.0	Betrays group loyalty by stealing a colleague's idea.	0.0	Contrary to reciprocity; involves deceit and lack of trust.	0.0	Lacks bravery and fortitude; involves deceit.	0.0	Contrary to humility and respect.	0.0	Unfairly takes credit for another's work.	0.0	Does not recognize prior possession of the idea.	-4.0	Highly immoral due to deceit and unfairness.	-2.86	train		
16	Clifford	You see an employee joking with competitors about how bad his company did last year.	orig		5.0	Not related to family values.	0.0	Contrary to group loyalty, disloyal.	5.0	Not related to reciprocity.	5.0	Not related to heroic virtues.	0.0	Contrary to humility and respect.	5.0	Not related to fairness.	5.0	Not related to prior possession.	-3.0	Disloyal and disrespectful behavior.	-2.0	train		
17	Cook	Someone posts on social media bragging about making out with multiple strangers the night before	orig		0.0	Action is contrary to family values.	3.0	Action does not reflect group loyalty.	5.0	Action is neutral to reciprocity.	2.0	Action does not reflect heroic virtues.	0.0	Action is contrary to monkish virtues.	5.0	Action is neutral to fairness.	5.0	Action is neutral to prior possession.	-3.0	Action is generally immoral.	-1.22	train		
18	Clifford	You see a girl shooting geese repeatedly with a pellet gun out in the woods.	orig		5.0	Shooting geese does not relate to family values.	5.0	Action does not reflect group loyalty.	5.0	No relation to reciprocity.	4.0	Requires some skill but not heroic.	2.0	Contrary to humility and respect.	5.0	Unrelated to fairness in resources.	3.0	Does not recognize prior possession.	-2.0	Action is generally immoral.	-3.0	train		
19	Clifford	You see a family eating the carcass of their pet dog that had been run over.	orig		2.0	Action does not reflect typical family values.	6.0	Action may reflect group loyalty within the family.	5.0	Action is not related to reciprocity.	2.0	Action does not reflect heroic virtues.	2.0	Action does not reflect monkish virtues.	5.0	Action is not related to fairness.	2.0	Action does not reflect prior possession.	-3.0	Action is generally seen as immoral.	-3.2	train		
20	Mickelberg	Person X stole the collection tin of a blind beggar on the street.	orig		0.0	Stealing harms others, contrary to family values.	0.0	Stealing from a beggar undermines group loyalty.	0.0	Stealing violates trust and reciprocity principles.	0.0	No bravery or skill in stealing from a blind beggar.	0.0	Stealing shows no humility or respect.	0.0	Stealing is inherently unfair.	0.0	Disregards prior possession of the beggar.	-4.0	Highly immoral action, harming a vulnerable person.	-3.38	train		
21	Effron	Refused to hold the door for a man in a wheelchair	orig		5.0	Not related to family values.	0.0	Contrary to group loyalty; shows lack of support.	0.0	Contrary to reciprocity; fails to help others.	5.0	Not related to heroic virtues.	0.0	Contrary to humility and respect.	5.0	Not related to fairness.	5.0	Not related to prior possession.	-3.0	Lacks group loyalty, reciprocity, and respect.	-3.008	train		
22	Effron	Spent time voluntarily tutoring disadvantaged students	orig		5.0	Not directly related to family values.	8.0	Reflects group loyalty by helping community members.	6.0	Shows trust and gratitude, but not direct reciprocity.	6.0	Requires dedication and skill, but not extreme bravery.	8.0	Reflects humility and respect for others.	7.0	Promotes fairness by providing equal educational opportunities.	5.0	Not related to prior possession.	4.0	Highly moral due to positive community impact.	3.2	train		
23	Mickelberg	Person X saw a homeless person in the rain, so they gave the person their jacket and umbrella, plus $20 for a hot meal	orig		5.0	Action is unrelated to family values.	7.0	Action shows care for a community member.	6.0	Action is generous without expectation of return.	5.0	Action shows compassion but not bravery or skill.	8.0	Action reflects humility and respect.	5.0	Action is unrelated to fairness in disputes.	5.0	Action is unrelated to prior possession.	4.0	Highly moral due to compassion and generosity.	3.47	train		
24	Kruepke	For a while I was a security officer at a bank. One day I was walking by the front door when I saw a fifty-dollar bill. I was tempted to take the money but instead I reported it to the manager.	orig		5.0	Not related to family values.	8.0	Reflects loyalty to the bank.	7.0	Shows trust and responsibility.	5.0	Not related to heroic virtues.	8.0	Shows obedience and respect.	7.0	Reflects fairness in handling found money.	9.0	Defers to rightful ownership.	4.0	Highly moral action.	2.75	train		
25	Effron	Heckled a woman speaking on human rights	orig		5.0	Heckling disrupts, not related to family values.	0.0	Heckling disrupts group harmony and loyalty.	0.0	Heckling shows lack of trust and respect.	0.0	Heckling is not brave or skillful.	0.0	Heckling shows disrespect and lack of humility.	0.0	Heckling is unfair and disruptive.	0.0	Heckling disregards speaker's right to speak.	-4.0	Heckling is highly immoral and disruptive.	-2.25454544	train		
26	Effron	Criticized an old woman for being too slow	orig		0.0	Criticizing an old woman is contrary to family values.	0.0	Criticism can harm group cohesion and loyalty.	0.0	Criticism does not reflect reciprocity or trust.	0.0	Criticizing someone is not brave or skillful.	0.0	Criticism shows a lack of respect and humility.	5.0	Criticism is not related to fairness.	5.0	Criticism does not involve prior possession.	-4.0	Overall, the action is highly immoral.	-1.96129032	train		
27	Mickelberg	Person X took public transport so their sister could use their car to get to work safely.	orig		8.0	Action shows care for family safety.	5.0	Action is not related to group loyalty.	7.0	Action reflects helping a family member.	5.0	Action does not involve bravery or skill.	7.0	Action shows humility and deference.	7.0	Action reflects fairness in resource use.	5.0	Action does not involve prior possession.	3.0	Action is morally positive.	2.58	train		
28	Kruepke	I had a bad relationship with my father and had not talked to him for years. He had left my mother. When my mother died I gathered the strength to call him and tell him that she died and that I loved him.	orig		8.0	Reconnecting with a parent reflects family values.	5.0	Action is more about family than group loyalty.	7.0	Making amends and expressing love reflect reciprocity.	8.0	Calling father after years shows bravery.	7.0	Expressing love and respect reflects monkish virtues.	5.0	Action is not directly related to fairness.	5.0	Action is not related to prior possession.	3.0	Reconnecting and expressing love is morally positive.	2.33	train		
29	Kruepke	My husband ran a business and I worked in his shop. Once a rather unsavory character came in and handed my husband something. So, I looked through my husband's wallet to see what the man gave him.	orig		7.0	Action shows concern for husband's safety.	3.0	Action may undermine trust within the group.	5.0	Action does not involve reciprocity.	4.0	Action involves curiosity, not bravery.	2.0	Action shows lack of respect for privacy.	5.0	Action does not involve fairness.	2.0	Action disregards husband's possession.	-1.0	Action is slightly immoral due to privacy invasion.	-1.14	train		
30	Lotto	You are the head of a group of five travellers who are exploring the remote regions of South America. During the trip, you inadvertently camp in the sacred cemetery of a local tribe. The members of the tribe capture you and condemn you all to death. After some negotiation, they propose a possible alternative in the form of a human sacrifice that will pacify their god who has been offended.You accept the tribe’s proposal, and during the ceremony, you kill one of the travellers in the group. This person will die, but you and the other four travellers’ lives will be spared.	orig		5.0	Action does not relate to family values.	8.0	Sacrificing one to save the group shows group loyalty.	5.0	Action does not involve reciprocity.	6.0	Action involves difficult decision-making under pressure.	7.0	Action shows deference to local customs.	2.0	Action is unfair to the sacrificed individual.	7.0	Action respects the tribe's sacred site.	-2.0	Morally complex, but leans towards immoral.	-1.24	train		
31	Effron	Rescued an injured kitten from a tree	orig		5.0	Not directly related to family values.	7.0	Shows care for community and animals.	5.0	Not directly related to reciprocity.	8.0	Demonstrates bravery and skill.	5.0	Not related to humility or obedience.	5.0	Not related to fairness or compromise.	5.0	Not related to prior possession.	3.0	Overall positive and moral action.	2.7428572	train		
32	Kruepke	About a year ago I started re-selling medications from a Canadian pharmacy. I helped a great deal of elderly people so that they didn't have to pay exorbitant amounts for their medications that they needed.	orig		5.0	Not directly related to family values.	8.0	Helping elderly people reflects group loyalty.	7.0	Shows trust and reciprocation of community support.	6.0	Requires bravery and wit to navigate legal risks.	5.0	Not related to humility or obedience.	7.0	Helps in fair access to medications.	3.0	Does not defer to legal possession norms.	2.0	Morally positive but legally questionable.	0.57	train		
33	Kruepke	I was at the pharmacy buying something and I noticed a man who was sitting outside selling trinkets. He was homeless and it was freezing out. So I went next door to a store and bought him some food and new clothes.	orig		5.0	Action is unrelated to family values.	7.0	Action shows care for a community member.	6.0	Action is a one-sided act of kindness.	5.0	Action shows compassion, not bravery.	8.0	Action reflects humility and respect.	5.0	Action is unrelated to fairness in disputes.	5.0	Action is unrelated to prior possession.	4.0	Highly moral act of kindness.	2.62	train		
34	Kruepke	"My husband had a problem with always wanting new computer equipment, what I called ""techno-lust"". It was a really huge financial problem, and I told him he had to go on a 5-year plan to financially police himself or I would divorce him. He has greatly improved."	orig		8.0	Promotes financial stability for family.	7.0	Encourages responsible behavior within the family unit.	6.0	Involves setting boundaries and expectations.	7.0	Shows fortitude in addressing a difficult issue.	6.0	Demands respect and obedience to agreed terms.	8.0	Seeks a fair compromise to a financial issue.	7.0	Recognizes the need for financial responsibility.	3.0	Promotes family stability and fairness.	0.38	train		
35	Effron	Took the neighbor's newspaper	orig		5.0	Not related to family values.	0.0	Contrary to group loyalty; harms neighborly trust.	0.0	Contrary to reciprocity; taking without permission.	5.0	Not related to heroic virtues.	0.0	Contrary to humility and respect.	0.0	Contrary to fairness; taking without consent.	0.0	Contrary to recognizing prior possession.	-4.0	Immoral due to lack of respect and fairness.	-1.73714296	train		
36	Clifford	You see someone cheating in a card game while playing with a group of strangers.	orig		5.0	Cheating in a card game is unrelated to family values.	0.0	Cheating undermines group loyalty and trust among players.	0.0	Cheating breaks trust and reciprocity among players.	0.0	Cheating lacks bravery, fortitude, skill, and wit.	0.0	Cheating shows a lack of humility and respect.	0.0	Cheating is inherently unfair in a game setting.	0.0	Cheating disregards prior possession of fair play.	-4.0	Cheating is highly immoral in this context.	-2.6	train		
37	Mickelberg	Person X did really well at the quiz night.	orig		5.0	Quiz night performance is unrelated to family values.	7.0	Participating in quiz night can reflect group loyalty.	5.0	Quiz night performance is neutral to reciprocity.	8.0	Doing well shows skill and wit.	5.0	Quiz night performance is unrelated to monkish virtues.	5.0	Quiz night performance is neutral to fairness.	5.0	Quiz night performance is neutral to prior possession.	2.0	Overall, the scenario is morally neutral.	0.41	train		
38	Effron	Sang at a prison in order to entertain the inmates	orig		5.0	Not related to family values.	8.0	Promotes group cohesion and morale.	7.0	Shows kindness and goodwill.	6.0	Requires bravery to perform in prison.	7.0	Shows humility and respect.	5.0	Not related to fairness.	5.0	Not related to prior possession.	3.0	Overall positive and moral action.	1.93684216	train		
39	Grizzard	Rescues a local child in danger instead of firing on an enemy brigade.	orig		8.0	Rescuing a child reflects caring for offspring.	7.0	Prioritizing a local child shows loyalty to the community.	5.0	Action is not directly related to reciprocity.	9.0	Rescuing a child in danger shows bravery and fortitude.	5.0	Action is not related to humility or obedience.	5.0	Action is not related to fairness in resources.	5.0	Action is not related to prior possession.	3.0	Highly moral due to bravery and community loyalty.	2.893333333	train		
40	Lotto	You are in a field playing frisbee with three young people you have just met. Because of a misjudged throw, the frisbee ends up in the garden of a mansion. You decide to climb the wall to look for it. Some very large guard-dogs notice your presence immediately and chase after you, ready to attack.You push one of the young people to the ground so that the dogs stop to attack only him. You know that he will die, but you, and the other two, will be able to escape.	orig		5.0	Action is unrelated to family values.	0.0	Betrays group loyalty by sacrificing a member.	0.0	Contrary to reciprocity; no trust or favor.	0.0	Lacks bravery and fortitude; cowardly act.	0.0	Disrespectful and disobedient action.	0.0	Unfairly sacrifices one for others' safety.	5.0	Unrelated to prior possession.	-4.0	Highly immoral; betrays and sacrifices another.	-1.82	train		
41	Mickelberg	Person X worked on a campaign to release wrongfully convicted prisoners.	orig		5.0	Not directly related to family values.	7.0	Reflects group loyalty by advocating for justice.	8.0	Promotes fairness and justice, reflecting reciprocity.	8.0	Requires bravery and fortitude to challenge wrongful convictions.	7.0	Shows humility and respect for justice.	9.0	Highly reflects fairness in correcting injustices.	5.0	Not directly related to prior possession.	4.0	Promotes justice and fairness, highly moral.	3.27	train		
42	Effron	Gave his coat to someone when it was cold	orig		5.0	Action is neutral to family values.	7.0	Reflects group loyalty by helping another person.	6.0	Shows trust and potential for reciprocation.	6.0	Requires some bravery and fortitude.	7.0	Demonstrates humility and respect.	5.0	Not directly related to fairness.	5.0	Not related to prior possession.	3.0	Overall, a morally positive action.	3.04	train		
43	Effron	Kicked a stray cat to get it to leave his yard	orig		5.0	Action is unrelated to family values.	5.0	Action does not reflect group loyalty.	0.0	Action is contrary to reciprocity.	5.0	Action does not reflect heroic virtues.	0.0	Action is contrary to monkish virtues.	5.0	Action is unrelated to fairness.	7.0	Action reflects recognition of prior possession.	-3.0	Action is generally immoral.	-3.048	train		
44	Effron	Tricked a stay at home mom into donating to a fake charity	orig		0.0	Deceiving a mom harms her family resources.	0.0	Tricking someone undermines group trust.	0.0	Deception breaks trust and reciprocity.	0.0	Deception lacks bravery and skill.	0.0	Deception shows no humility or respect.	0.0	Unfairly takes resources under false pretenses.	0.0	Ignores rightful ownership of resources.	-4.0	Deception is highly immoral.	-3.088	train		
45	Mickelberg	Person X volunteers at a dog refuge, walking the dogs and cleaning their kennels once a week.	orig		5.0	Not related to family values.	7.0	Reflects group loyalty by helping a community cause.	6.0	Reflects reciprocity by giving time and care.	6.0	Requires fortitude and dedication.	7.0	Shows humility and respect for animals.	5.0	Not directly related to fairness.	5.0	Not related to prior possession.	3.0	Overall positive and moral action.	2.67	train		
46	Mickelberg	Person X buys a loaf of bread every day, as they love the smell of freshly baked bread in the morning.	orig		5.0	Buying bread is neutral to family values.	5.0	Action is neutral to group loyalty.	5.0	Action is neutral to reciprocity.	5.0	Action does not reflect heroic virtues.	5.0	Action is neutral to monkish virtues.	5.0	Action is neutral to fairness.	5.0	Action is neutral to prior possession.	0.0	Action is morally neutral.	0.2	train		
47	Mickelberg	Person X cleaned the bookshelf and picked up some items that had dropped onto the floor.	orig		5.0	Cleaning is neutral to family values.	5.0	Cleaning is neutral to group loyalty.	6.0	Cleaning may reflect a small favor.	5.0	Cleaning does not reflect heroic virtues.	6.0	Cleaning shows humility and respect.	5.0	Cleaning is neutral to fairness.	5.0	Cleaning is neutral to prior possession.	2.0	Cleaning is generally a positive action.	1.0	train		
48	Clifford	You see a teenage girl wearing a long trench coat on a hot summer afternoon.	orig		5.0	Wearing a trench coat is unrelated to family values.	5.0	The action does not reflect group loyalty.	5.0	The action is neutral regarding reciprocity.	6.0	Wearing a trench coat in heat may show fortitude.	5.0	The action does not reflect monkish virtues.	5.0	The action is neutral regarding fairness.	5.0	The action is neutral regarding prior possession.	0.0	The action is morally neutral.	-0.2	train		
49	Clifford	You see a pastor banning his congregants from wearing bright colors in the church.	orig		5.0	Not related to family values.	7.0	Reflects group loyalty by enforcing a dress code.	5.0	Not related to reciprocity.	5.0	Not related to heroic virtues.	8.0	Reflects obedience and respect for church rules.	5.0	Not related to fairness.	5.0	Not related to prior possession.	1.0	Morally neutral, reflects group loyalty and obedience.	-2.6	train		
50	Mickelberg	Person X always pays off their debts first before buying things for themselves.	orig		5.0	Not directly related to family values.	5.0	Not directly related to group loyalty.	8.0	Reflects making amends and trust.	5.0	Not related to heroic virtues.	7.0	Reflects humility and respect.	8.0	Reflects fairness in obligations.	8.0	Reflects deferring to prior debts.	3.0	Generally moral due to fairness and respect.	1.85	train		
51	Kruepke	My mother would always bring home clothes for me that I hated and would never wear. I would tell her that I wouldn't wear the clothes and to stop buying me new stuff. She would get really mad at me.	orig		6.0	Mother's action shows care but not understanding.	5.0	Action is neutral to group loyalty.	5.0	No reciprocity involved in the scenario.	5.0	No heroic virtues displayed.	3.0	Child's response lacks deference and respect.	5.0	No fairness or compromise shown.	5.0	No prior possession issues involved.	-1.0	Scenario is slightly negative due to lack of respect.	-0.44	train		
52	Effron	Lent money to a friend in a financial crisis	orig		5.0	Not directly related to family values.	8.0	Reflects group loyalty by helping a friend.	9.0	Strongly reflects reciprocity and trust.	7.0	Shows bravery and fortitude in supporting a friend.	6.0	Reflects humility and respect for friend's needs.	5.0	Not directly related to fairness in resource division.	5.0	Not related to prior possession.	3.0	Highly moral due to loyalty and reciprocity.	2.4	train		
53	Mickelberg	Person X saved a man who was about to be hit by a car by jumping in front of the car and pushing him out of the way.	orig		5.0	Action is unrelated to family values.	8.0	Action shows loyalty to another person.	5.0	Action is not based on reciprocity.	10.0	Action demonstrates bravery and fortitude.	5.0	Action is unrelated to monkish virtues.	5.0	Action is unrelated to fairness.	5.0	Action is unrelated to prior possession.	4.0	Action is highly moral due to bravery.	3.38	train		
54	Clifford	You see an employee at a morgue eating his pepperoni pizza off of a dead body.	orig		5.0	Action is unrelated to family values.	0.0	Action is contrary to group loyalty norms.	5.0	Action is unrelated to reciprocity.	0.0	Action does not reflect heroic virtues.	0.0	Action is contrary to monkish virtues.	5.0	Action is unrelated to fairness.	0.0	Action is contrary to deferring to prior possession.	-4.0	Highly disrespectful and inappropriate behavior.	-3.2	train		
55	Clifford	You see an employee lying about how many hours she worked during the week.	orig		5.0	Lying about hours is unrelated to family values.	0.0	Lying undermines trust and group loyalty.	0.0	Lying breaks trust and reciprocity.	0.0	Lying lacks bravery and fortitude.	0.0	Lying shows a lack of humility and respect.	0.0	Lying is unfair in resource division.	0.0	Lying disregards prior agreements.	-4.0	Lying about hours is highly immoral.	-2.9	train		
56	Effron	Pushed into the front of a line at a theater	orig		5.0	Not related to family values.	0.0	Contrary to group loyalty; disrupts social order.	0.0	Contrary to reciprocity; unfair advantage.	5.0	Not related to heroic virtues.	0.0	Contrary to humility and respect.	0.0	Contrary to fairness; unfair advantage.	0.0	Contrary to prior possession; line order matters.	-4.0	Highly immoral; disrupts social norms.	-1.91111104	train		
57	Mickelberg	Person X called a waitress 'dummy' and did not leave a tip, because they didn't like her name.	orig		5.0	Action is unrelated to family values.	0.0	Action is contrary to group loyalty.	0.0	Action is contrary to reciprocity.	5.0	Action is unrelated to heroic virtues.	0.0	Action is contrary to monkish virtues.	0.0	Action is contrary to fairness.	5.0	Action is unrelated to prior possession.	-4.0	Action is highly immoral.	-2.98	train		
58	Clifford	You see a story about a remote tribe eating the flesh of their deceased members.	orig		5.0	Action is not directly related to family values.	8.0	Reflects group loyalty through shared cultural practices.	5.0	Not directly related to reciprocity.	5.0	Does not reflect heroic virtues.	7.0	Shows respect for cultural traditions.	5.0	Not related to fairness in resource division.	5.0	Not related to prior possession.	0.0	Culturally specific practice, neutral morality.	-2.3	train		
59	Cook	Someone brags on social media about drinking excessively to the point of vomiting	orig		0.0	Excessive drinking harms family values and responsibilities.	2.0	Bragging about harmful behavior can damage group loyalty.	5.0	No direct relation to reciprocity.	2.0	Not related to bravery or skill; potentially reckless.	0.0	Contrary to humility and respect.	5.0	Not related to fairness or resource division.	5.0	Not related to prior possession.	-3.0	Overall, the action is irresponsible and harmful.	-1.19	train		
60	Effron	Didn't leave a tip at the restaurant	orig		5.0	Not related to family values.	0.0	Contrary to group loyalty norms.	0.0	Contrary to reciprocity norms.	5.0	Not related to heroic virtues.	0.0	Contrary to respect and deference.	0.0	Contrary to fairness in service.	5.0	Not related to prior possession.	-3.0	Generally seen as inconsiderate.	-1.6571428	train		
61	Mickelberg	Person X released intimate photos of their ex-partner to their friends and then posted them to the internet.	orig		0.0	Action harms relationships, contrary to family values.	0.0	Betrays trust, contrary to group loyalty.	0.0	Violates trust and reciprocity principles.	0.0	Lacks bravery, fortitude, skill, and wit.	0.0	Disrespectful and lacks humility.	0.0	Unfair and harmful to the ex-partner.	0.0	Disregards ex-partner's privacy and prior possession.	-4.0	Extremely immoral due to harm and betrayal.	-3.23	train		
62	Clifford	You see the US Ambassador joking in Great Britain about the stupidity of Americans.	orig		5.0	Not related to family values.	0.0	Contrary to group loyalty; mocks own group.	5.0	Not related to reciprocity.	5.0	Not related to heroic virtues.	0.0	Contrary to humility and respect.	5.0	Not related to fairness.	5.0	Not related to prior possession.	-3.0	Disrespectful and disloyal, thus immoral.	-2.8	train		
63	Kruepke	My current lover often complains about our sex life, saying we don't do it enough. Sometimes I will watch online porn and masturbate instead. Sometimes, I feel like it's just easier and more fun to do that.	orig		5.0	Not related to family values.	5.0	Does not reflect group loyalty.	2.0	Lacks reciprocity in relationship.	2.0	Avoids addressing relationship issues.	2.0	Shows lack of respect for partner.	2.0	Unfair to partner's needs.	5.0	Not related to prior possession.	-2.0	Generally neglects partner's feelings.	-0.35	train		
64	Effron	Had a welcoming party for some new neighbors	orig		5.0	Not directly related to family values.	8.0	Promotes group loyalty by welcoming new neighbors.	7.0	Encourages reciprocity by fostering good relations.	5.0	Not related to heroic virtues.	6.0	Shows respect and humility towards new neighbors.	5.0	Fairness not directly involved.	5.0	Not related to prior possession.	3.0	Overall positive action, promoting community.	1.97777784	train		
65	Lotto	You are the commander of a Russian military submarine on a mission. You have been trapped for days at the bottom of the Pacific Ocean without energy. You have already asked for help several times, but there are no ships or submarines in the nearby waters and help is taking time to arrive. There are six crew members with you on board and your food supplies are getting low.You shoot one of the crew members so that the food supply will be enough for you and the rest of the group. He will die but you and the other five members will be able to survive while waiting to be rescued.	orig		0.0	Action is contrary to family values.	0.0	Action undermines group loyalty.	0.0	Action is contrary to reciprocity.	0.0	Action lacks heroic virtues.	0.0	Action is contrary to monkish virtues.	0.0	Action is unfair in resource division.	0.0	Action disregards prior possession.	-4.0	Action is extremely immoral.	-1.43	train		
66	Clifford	You see a boy turning up the TV as his father talks about his military service.	orig		2.0	Turning up TV shows disregard for father's story.	2.0	Action shows lack of respect for family bond.	1.0	No reciprocity; ignoring father's sharing.	5.0	No bravery or skill involved.	1.0	Disrespectful and not obedient to father.	5.0	Not related to fairness or compromise.	2.0	Disregards father's prior possession of attention.	-3.0	Disrespectful, lacks family values and loyalty.	-2.1	train		
