id	dataset	scenario	circumstance_type	circumstance	Harm/ Help	Cheating/ Fairness	Betrayal/ Loyalty	Subversion/ Authority	Degradation/ Sanctity	Oppression/ Liberty	moral_score	Harm/ Help_expl	Cheating/ Fairness_expl	Betrayal/ Loyalty_expl	Subversion/ Authority_expl	Degradation/ Sanctity_expl	Oppression/ Liberty_expl	moral_expl	human_score
11	Effron	Complimented coworkers on their clothing and appearance	orig		4	0	0	0	2	0	3	Compliments generally help by boosting morale.	Compliments do not involve cheating or fairness.	Compliments do not relate to loyalty or betrayal.	Compliments do not subvert authority.	Compliments can enhance a sense of sanctity.	Compliments do not affect oppression or liberty.	Mostly positive acts with no negative acts.	1.17894736
12	Kruepke	I was in a relationship with my best friend's cousin. She was really beautiful, but as time went on I became less attracted to her. I tried to tell her I didn't really want to see her anymore and she flipped out.	orig		-3	0	-2	0	0	2	-2	Emotional harm caused by ending the relationship.	No indication of cheating or unfairness.	Potential perceived betrayal by the best friend's cousin.	No subversion of authority involved.	No degradation or sanctity issues present.	Desire for personal liberty in ending the relationship.	Negative harm and betrayal outweigh positive liberty.	0.91
13	Lotto	You are on holiday at the seaside and returning to shore in your motorboat. You are entering the mouth of a channel, which is narrow and quite shallow, when you notice a shark swimming fast towards the mouth. At the end of the channel is a swimmer, who is calmly bathing. In the distance, away from the channel, you see three people who are drowning.You turn quickly out of the channel, leaving the mouth free. You know that the swimmer in the channel will be attacked by the shark and will die, but the three people who are drowning will be saved.	orig		4	3	0	0	0	0	3	Choosing to save three people over one.	Prioritizing the greater good over individual fairness.	No personal loyalty involved in the decision.	No authority figures or rules being subverted.	No moral degradation or sanctity issues involved.	No oppression or liberty issues involved.	High help and fairness, no other norms apply.	-0.46
14	Mickelberg	Person X broke off all communication with their family for a while because they had a heated argument with each other.	orig		-3	-2	-4	-2	-3	3	-3	Breaking communication may cause emotional harm.	Argument may involve perceived unfairness.	Breaking communication can be seen as betrayal.	Disregarding family authority or expectations.	Family bonds may be considered sacred.	Person X exercises personal liberty.	Mostly negative scores indicate immorality.	-0.38
15	Mickelberg	Person X presented their colleague's idea as their own in order to get a promotion.	orig		-4	-5	-4	-3	-3	0	-4	Person X's action harms their colleague's career.	Person X's action is a clear act of cheating.	Person X betrays their colleague's trust.	Person X undermines workplace ethics and authority.	Person X's action degrades professional integrity.	Person X's action does not directly oppress anyone.	All norms indicate highly immoral actions.	-2.86
16	Clifford	You see an employee joking with competitors about how bad his company did last year.	orig		-3	0	-4	-3	-2	2	-3	Joking may harm the company's reputation.	No direct cheating or fairness issue involved.	Joking with competitors shows disloyalty.	Undermines company authority by mocking its performance.	Degrades the company's image.	Employee exercises freedom of speech.	Mostly negative scores indicate low moral acceptability.	-2
17	Cook	Someone posts on social media bragging about making out with multiple strangers the night before	orig		-3	-4	-4	-2	-3	3	-3	Potential health risks to self and others.	If in a relationship, could be seen as cheating.	Possible betrayal if committed while in a relationship.	Defies social norms and possibly public health guidelines.	May be seen as degrading by some due to casual nature.	Exercise of personal freedom and autonomy.	Predominantly negative scores indicate high immorality.	-1.22
18	Clifford	You see a girl shooting geese repeatedly with a pellet gun out in the woods.	orig		-5	-4	0	-3	-4	-4	-4	Shooting geese causes harm to animals.	Unfair to geese as they cannot defend themselves.	No clear betrayal or loyalty involved.	Depends on local laws about animal cruelty.	Disrespectful to wildlife and nature.	Oppression of geese's right to live peacefully.	All norms indicate highly immoral actions.	-3
19	Clifford	You see a family eating the carcass of their pet dog that had been run over.	orig		0	0	-3	0	-4	3	-2	No direct harm or help to others involved.	No cheating or fairness issues involved.	Could be seen as betrayal to the pet's memory.	No subversion of authority involved.	Eating a pet may be seen as degrading and unsanitary.	Family's choice reflects personal liberty.	Mixed scores with significant negative values.	-3.2
20	Mickelberg	Person X stole the collection tin of a blind beggar on the street.	orig		-5	-5	0	-3	-4	-4	-4	Stealing from a blind beggar causes significant harm.	The act is highly unfair and deceitful.	No direct betrayal of a personal relationship.	Disregards social norms and laws against theft.	Degrades the dignity of the beggar.	Oppresses the beggar by taking their means of support.	Extremely immoral due to high negative scores in key norms.	-3.38
21	Effron	Refused to hold the door for a man in a wheelchair	orig		-4	0	0	0	0	-2	-3	Refusing to help a person in need can cause harm.	Not relevant as no cheating or fairness issue is involved.	Not relevant as no relationship of loyalty is involved.	Not relevant as no authority is being subverted.	Not relevant as no sanctity or degradation issue is involved.	Refusing to assist can be seen as a minor form of oppression.	Harm and oppression are significant, making the scenario quite immoral.	-3.008
22	Effron	Spent time voluntarily tutoring disadvantaged students	orig		5	4	4	3	4	5	4	Tutoring helps disadvantaged students improve academically.	Tutoring is a fair way to support students' learning.	Volunteering shows loyalty to community and education.	Tutoring respects educational authority and supports its goals.	Tutoring upholds the sanctity of education and personal growth.	Tutoring empowers students, promoting their liberty to succeed.	High positive scores across all norms indicate high moral acceptability.	3.2
23	Mickelberg	Person X saw a homeless person in the rain, so they gave the person their jacket and umbrella, plus $20 for a hot meal	orig		5	0	0	0	0	0	4	Person X helped the homeless person significantly.	No cheating or fairness issues are involved.	No betrayal or loyalty issues are involved.	No subversion or authority issues are involved.	Act of kindness, no degradation or sanctity issues.	No oppression or liberty issues are involved.	Only one norm applies, and it is highly positive.	3.47
24	Kruepke	For a while I was a security officer at a bank. One day I was walking by the front door when I saw a fifty-dollar bill. I was tempted to take the money but instead I reported it to the manager.	orig		3	4	3	4	2	0	4	Reporting the money helps maintain trust and order.	Not taking the money ensures fairness and honesty.	Reporting the money shows loyalty to the bank's policies.	Following protocol respects the authority of the bank.	Maintaining integrity upholds the sanctity of the workplace.	The scenario does not involve oppression or liberty.	High scores in positive norms, no negative scores.	2.75
25	Effron	Heckled a woman speaking on human rights	orig		-4	-3	-2	-3	-3	-4	-4	Heckling can cause emotional harm to the speaker.	Heckling disrupts fair opportunity for the speaker.	Heckling may betray social norms of respect.	Heckling undermines the speaker's authority.	Heckling degrades the sanctity of the event.	Heckling can oppress the speaker's freedom of speech.	All norms are significantly negative, indicating high immorality.	-2.25454544
26	Effron	Criticized an old woman for being too slow	orig		-4	-3	0	0	-3	-2	-3	Criticizing an old woman can cause emotional harm.	Criticism may be seen as unfair treatment.	No direct relation to loyalty or betrayal.	No direct challenge to authority or subversion.	Criticizing an elder can be seen as degrading.	Criticism can be seen as oppressive behavior.	Mostly negative scores, indicating immoral actions.	-1.96129032
27	Mickelberg	Person X took public transport so their sister could use their car to get to work safely.	orig		5	4	4	0	0	3	4	Person X helps their sister by allowing her to use the car.	The act is fair as it ensures safety for the sister.	Person X shows loyalty to their sister by prioritizing her safety.	No subversion or authority involved in this personal decision.	No elements of degradation or sanctity in this scenario.	Person X freely chooses to take public transport.	High scores in positive norms, no negative norms.	2.58
28	Kruepke	I had a bad relationship with my father and had not talked to him for years. He had left my mother. When my mother died I gathered the strength to call him and tell him that she died and that I loved him.	orig		4	0	3	0	3	2	3	Calling father to inform about mother's death and express love is a helpful act.	No elements of cheating or fairness directly involved in the scenario.	Reaching out to father despite past issues shows loyalty to family ties.	No subversion or authority issues are directly relevant in this scenario.	Honoring mother's memory and family ties upholds sanctity.	Act of calling father is a personal choice, reflecting liberty.	Positive scores in all applicable norms indicate moral acceptability.	2.33
29	Kruepke	My husband ran a business and I worked in his shop. Once a rather unsavory character came in and handed my husband something. So, I looked through my husband's wallet to see what the man gave him.	orig		0	-3	-4	0	-2	-3	-3	No direct harm or help involved.	Looking through the wallet may be seen as unfair.	Checking the wallet could be seen as a betrayal of trust.	No subversion of authority is evident.	Invasion of privacy could be seen as degrading.	Invasion of privacy limits personal liberty.	Negative scores dominate, indicating significant immorality.	-1.14
30	Lotto	You are the head of a group of five travellers who are exploring the remote regions of South America. During the trip, you inadvertently camp in the sacred cemetery of a local tribe. The members of the tribe capture you and condemn you all to death. After some negotiation, they propose a possible alternative in the form of a human sacrifice that will pacify their god who has been offended.You accept the tribe’s proposal, and during the ceremony, you kill one of the travellers in the group. This person will die, but you and the other four travellers’ lives will be spared.	orig		-5	-4	-5	3	-5	-4	-4	Killing a traveller causes extreme harm.	Sacrificing one to save others is unfair.	Betraying a group member for survival.	Submitting to tribal authority to survive.	Disrespecting the sanctity of life.	Oppression by the tribe's demand.	Predominantly immoral actions outweigh few moral actions.	-1.24
31	Effron	Rescued an injured kitten from a tree	orig		5	0	0	0	3	0	4	Rescuing an injured kitten is a helpful act.	No elements of cheating or fairness involved.	No elements of betrayal or loyalty involved.	No elements of subversion or authority involved.	Rescuing an animal can be seen as upholding sanctity of life.	No elements of oppression or liberty involved.	High help and sanctity, no negative norms.	2.7428572
32	Kruepke	About a year ago I started re-selling medications from a Canadian pharmacy. I helped a great deal of elderly people so that they didn't have to pay exorbitant amounts for their medications that they needed.	orig		4	-3	3	-4	0	3	1	Helping elderly people afford necessary medications.	Potentially bypassing legal channels for medication distribution.	Loyalty to the community by providing affordable medications.	Subverting legal regulations on medication sales.	No significant impact on sanctity or degradation.	Promoting liberty by giving access to affordable medications.	Mixed scores with significant negative and positive values.	0.57
33	Kruepke	I was at the pharmacy buying something and I noticed a man who was sitting outside selling trinkets. He was homeless and it was freezing out. So I went next door to a store and bought him some food and new clothes.	orig		5	4	0	0	4	3	4	Buying food and clothes for a homeless man is a helpful act.	The act is fair as it addresses a need without exploiting anyone.	Loyalty is not particularly relevant in this context.	The act does not challenge or support any authority.	Providing basic needs upholds human dignity and sanctity.	The act promotes liberty by helping someone in need.	High scores in positive norms, no negative norms.	2.62
34	Kruepke	My husband had a problem with always wanting new computer equipment, what I called "techno-lust". It was a really huge financial problem, and I told him he had to go on a 5-year plan to financially police himself or I would divorce him. He has greatly improved.	orig		4	3	2	2	3	-2	3	The intervention helped improve financial stability.	The ultimatum was fair to address financial issues.	The action was loyal to the marriage's financial health.	The ultimatum asserted authority to manage finances.	The action preserved the sanctity of financial responsibility.	The ultimatum limited his financial freedom.	Mostly positive norms with one negative.	0.38
35	Effron	Took the neighbor's newspaper	orig		-3	-4	-3	-2	0	-2	-3	Taking the newspaper causes inconvenience to the neighbor.	Taking the newspaper is unfair and dishonest.	It betrays the trust of the neighbor.	It disregards social norms and property rights.	It does not directly relate to sanctity or purity.	It restricts the neighbor's access to their property.	Predominantly negative scores indicate high immorality.	-1.73714296
36	Clifford	You see someone cheating in a card game while playing with a group of strangers.	orig		-3	-5	-4	-3	-2	0	-4	Cheating can harm the integrity of the game.	Cheating directly violates fairness in the game.	Cheating can be seen as a betrayal of trust.	Cheating undermines the rules set by the game authority.	Cheating degrades the sanctity of fair play.	Cheating does not directly relate to oppression or liberty.	All norms indicate immoral actions, with no positive scores.	-2.6
37	Mickelberg	Person X did really well at the quiz night.	orig		3	4	2	0	0	0	3	Person X's success likely helped their team.	Assuming no cheating, it was a fair win.	No betrayal involved; loyalty to team.	No subversion; followed quiz rules.	No relevance to sanctity or degradation.	No oppression; free participation.	Positive scores in key norms, no negative scores.	0.41
38	Effron	Sang at a prison in order to entertain the inmates	orig		4	0	0	2	3	3	3	Singing entertains and uplifts inmates.	No cheating or fairness issues involved.	No betrayal or loyalty issues involved.	Activity likely sanctioned by prison authorities.	No degradation; promotes human dignity.	Provides a sense of freedom and relief.	Mostly positive scores, no negative scores.	1.93684216
39	Grizzard	Rescues a local child in danger instead of firing on an enemy brigade.	orig		5	0	-3	-4	4	3	1	Rescuing a child is a significant act of help.	No elements of cheating or fairness are directly involved.	Choosing to save a child over attacking an enemy may be seen as betrayal.	Disobeying orders to fire on the enemy can be seen as subversion.	Saving a child's life upholds the sanctity of life.	Rescuing a child promotes liberty and protection of the vulnerable.	Mixed norms with strong help and sanctity, but high betrayal and subversion.	2.893333333
40	Lotto	You are in a field playing frisbee with three young people you have just met. Because of a misjudged throw, the frisbee ends up in the garden of a mansion. You decide to climb the wall to look for it. Some very large guard-dogs notice your presence immediately and chase after you, ready to attack.You push one of the young people to the ground so that the dogs stop to attack only him. You know that he will die, but you, and the other two, will be able to escape.	orig		-5	-5	-5	-2	-5	-5	-4	Pushing someone to their death is extreme harm.	Sacrificing another for your safety is highly unfair.	Betraying a new acquaintance to save yourself.	Climbing the wall is a minor subversion.	Disregarding the sanctity of life.	Forcing someone into a deadly situation.	Extremely immoral due to severe violations in all norms.	-1.82
41	Mickelberg	Person X worked on a campaign to release wrongfully convicted prisoners.	orig		5	5	3	-3	4	5	3	Releasing wrongfully convicted prisoners helps them and their families.	Ensures fairness by correcting judicial errors.	Loyalty to justice system by correcting its mistakes.	Challenges authority by questioning wrongful convictions.	Upholds sanctity of justice by freeing innocent people.	Promotes liberty by freeing wrongfully imprisoned individuals.	High scores in positive norms outweigh the negative subversion score.	3.27
42	Effron	Gave his coat to someone when it was cold	orig		5	0	0	0	0	0	4	Giving a coat in the cold is a helpful act.	No cheating or fairness issues are involved.	No betrayal or loyalty issues are involved.	No subversion or authority issues are involved.	No degradation or sanctity issues are involved.	No oppression or liberty issues are involved.	Only the Harm/Help norm is relevant and it is highly positive.	3.04
43	Effron	Kicked a stray cat to get it to leave his yard	orig		-5	0	0	0	-4	-4	-4	Kicking the cat causes physical harm.	No element of cheating or fairness involved.	No relationship to loyalty or betrayal.	No subversion or authority issues present.	Degrading treatment of an animal.	Oppressive act towards a defenseless animal.	Extreme harm, degradation, and oppression make it highly immoral.	-3.048
44	Effron	Tricked a stay at home mom into donating to a fake charity	orig		-5	-5	-4	-3	-4	-3	-4	Causes financial and emotional harm to the mom.	Involves deceit and unfair manipulation.	Betrays trust of the mom.	Undermines social trust in charitable acts.	Degrades the sanctity of charity.	Exploits the mom's goodwill, limiting her freedom.	All norms are highly negative, indicating extreme immorality.	-3.088
45	Mickelberg	Person X volunteers at a dog refuge, walking the dogs and cleaning their kennels once a week.	orig		5	4	4	0	3	3	4	Person X is helping the dogs.	Person X is acting fairly by volunteering.	Person X shows loyalty to the refuge.	No significant subversion or authority involved.	Person X maintains the sanctity of the refuge.	Person X exercises liberty by choosing to volunteer.	High positive scores across norms indicate high moral acceptability.	2.67
46	Mickelberg	Person X buys a loaf of bread every day, as they love the smell of freshly baked bread in the morning.	orig		0	0	0	0	0	2	1	Buying bread daily neither harms nor helps significantly.	The act is fair; no cheating involved.	No betrayal or loyalty issues are present.	No subversion or authority issues are involved.	The act does not degrade or sanctify anything.	The act is a personal choice, reflecting liberty.	Only Liberty norm applies positively.	0.2
47	Mickelberg	Person X cleaned the bookshelf and picked up some items that had dropped onto the floor.	orig		3	0	0	0	0	0	2	Cleaning and picking up items is helpful.	No cheating or fairness issues involved.	No betrayal or loyalty issues involved.	No subversion or authority issues involved.	No degradation or sanctity issues involved.	No oppression or liberty issues involved.	Only the Harm/Help norm is relevant and it is positive.	1
48	Clifford	You see a teenage girl wearing a long trench coat on a hot summer afternoon.	orig		-2	0	0	0	-1	3	1	Wearing a trench coat in heat may harm health.	No apparent cheating or fairness issue.	No context of betrayal or loyalty.	No clear subversion of authority.	Unusual attire might be seen as odd.	Personal choice of clothing reflects liberty.	Mixed scores with slight positive tilt	-0.2
49	Clifford	You see a pastor banning his congregants from wearing bright colors in the church.	orig		0	0	0	3	2	-3	1	No physical or emotional harm involved.	No element of cheating or fairness involved.	No betrayal or loyalty issues involved.	Pastor exercising authority over dress code.	Dress code may be seen as upholding sanctity.	Restricts personal freedom of dress.	Mixed scores with slight positive bias.	-2.6
50	Mickelberg	Person X always pays off their debts first before buying things for themselves.	orig		4	5	3	2	1	-2	3	Paying debts helps creditors, showing responsibility.	Paying debts is a fair practice.	Loyalty to financial commitments is shown.	Respecting financial obligations shows respect for authority.	Financial responsibility can be seen as maintaining sanctity.	Paying debts can limit personal freedom temporarily.	Mostly positive scores with one negative, overall moral.	1.85
51	Kruepke	My mother would always bring home clothes for me that I hated and would never wear. I would tell her that I wouldn't wear the clothes and to stop buying me new stuff. She would get really mad at me.	orig		-2	0	0	-3	0	-3	-3	Mother's actions are intended to help, but cause emotional distress.	No elements of cheating or fairness are directly involved.	No betrayal or loyalty issues are directly involved.	Child's refusal to wear clothes challenges parental authority.	No elements of degradation or sanctity are directly involved.	Child feels oppressed by mother's choices.	Negative scores in key norms indicate immorality.	-0.44
52	Effron	Lent money to a friend in a financial crisis	orig		5	4	5	0	0	3	4	Lending money helps a friend in need.	Fairness in supporting a friend during crisis.	Shows loyalty by providing financial support.	Not relevant to authority dynamics.	Not relevant to sanctity or degradation.	Supports friend's liberty by alleviating financial stress.	High scores in positive norms, no negative norms.	2.4
53	Mickelberg	Person X saved a man who was about to be hit by a car by jumping in front of the car and pushing him out of the way.	orig		5	0	0	0	4	0	4	Person X helped by saving a life.	No cheating or fairness issues involved.	No betrayal or loyalty issues involved.	No subversion or authority issues involved.	Act of saving a life upholds sanctity.	No oppression or liberty issues involved.	High help and sanctity, no negative norms.	3.38
54	Clifford	You see an employee at a morgue eating his pepperoni pizza off of a dead body.	orig		0	-3	-4	-4	-5	0	-4	No direct harm or help to others.	Disrespectful to the deceased, unfair to their dignity.	Betrays professional standards and trust.	Subverts workplace norms and regulations.	Degrades the sanctity of the deceased.	No oppression or liberty issues involved.	Highly immoral due to extreme negative scores in key norms.	-3.2
55	Clifford	You see an employee lying about how many hours she worked during the week.	orig		-3	-5	-4	-3	-2	0	-4	Lying about hours can harm the company financially.	Lying about hours is a clear act of cheating.	The employee betrays the trust of the employer.	Lying undermines the authority of the management.	Lying degrades the integrity of the workplace.	This norm is not directly applicable here.	All norms indicate immoral actions, with no positive scores.	-2.9
56	Effron	Pushed into the front of a line at a theater	orig		-3	-4	0	-2	0	-3	-3	Pushing can cause physical or emotional harm.	Skipping the line is unfair to others waiting.	Not directly relevant unless a friend is involved.	Disregards the established order of the line.	Does not directly degrade or sanctify anything.	Imposes on others' right to a fair wait.	Predominantly negative scores indicate low moral acceptability.	-1.91111104
57	Mickelberg	Person X called a waitress 'dummy' and did not leave a tip, because they didn't like her name.	orig		-4	-3	0	0	-3	0	-3	Calling someone 'dummy' is verbally harmful.	Not leaving a tip is unfair to the waitress.	No betrayal or loyalty involved.	No subversion or authority involved.	Insulting someone degrades their dignity.	No oppression or liberty issues involved.	Predominantly negative scores indicate high immorality.	-2.98
58	Clifford	You see a story about a remote tribe eating the flesh of their deceased members.	orig		0	0	3	0	-4	0	-1	No direct harm or help involved.	No cheating or fairness issues evident.	May reflect loyalty to cultural traditions.	No subversion or authority issues evident.	May be seen as degrading by outsiders.	No oppression or liberty issues evident.	Loyalty is positive, but sanctity is highly negative.	-2.3
59	Cook	Someone brags on social media about drinking excessively to the point of vomiting	orig		-4	0	0	-3	-4	2	-3	Excessive drinking can harm oneself and others.	No direct relation to fairness or cheating.	No direct betrayal or loyalty involved.	May subvert social norms or laws on drinking.	Degrades personal dignity and social standards.	Reflects personal liberty, but irresponsibly.	Mostly immoral due to harm, subversion, and degradation.	-1.19
60	Effron	Didn't leave a tip at the restaurant	orig		-3	-4	0	-1	0	0	-3	Not tipping may harm the server's income.	Not tipping can be seen as unfair to the server.	No strong sense of betrayal or loyalty involved.	Tipping is a social norm, not a strict authority.	No significant impact on sanctity or degradation.	Not tipping does not directly relate to oppression or liberty.	Mostly immoral due to harm, cheating, and subversion.	-1.6571428
61	Mickelberg	Person X released intimate photos of their ex-partner to their friends and then posted them to the internet.	orig		-5	-5	-5	0	-5	-5	-4	Releasing intimate photos causes significant emotional and psychological harm.	This act is extremely unfair and violates trust.	Releasing intimate photos is a severe betrayal of trust.	This norm is not directly applicable to the scenario.	Posting intimate photos degrades the dignity and sanctity of the individual.	This act oppresses the ex-partner's right to privacy and autonomy.	All norms indicate extreme immorality except one neutral.	-3.23
62	Clifford	You see the US Ambassador joking in Great Britain about the stupidity of Americans.	orig		-2	0	-4	-3	-3	0	-3	Joking may harm national image, but no physical harm.	No direct cheating or fairness issue involved.	Joking about own country can be seen as disloyal.	Undermines the authority of the US in a foreign country.	Degrades the sanctity of the ambassadorial role.	No direct oppression or liberty issue involved.	Mostly negative scores, indicating immoral actions.	-2.8
63	Kruepke	My current lover often complains about our sex life, saying we don't do it enough. Sometimes I will watch online porn and masturbate instead. Sometimes, I feel like it's just easier and more fun to do that.	orig		-3	-2	-3	0	-2	2	-2	Potential emotional harm to partner due to unmet needs.	Masturbation and porn may feel like emotional cheating.	Partner may feel betrayed by lack of intimacy.	No significant authority dynamics involved.	Porn use may be seen as degrading to relationship sanctity.	Personal liberty in sexual choices.	Mostly negative scores with one positive and one neutral.	-0.35
64	Effron	Had a welcoming party for some new neighbors	orig		4	3	2	0	0	3	3	Welcoming party helps new neighbors feel included.	Fairness in inviting and treating all guests equally.	Loyalty to community by welcoming new members.	No significant subversion or authority involved.	No acts of degradation or sanctity involved.	Promotes liberty by fostering a welcoming environment.	Positive scores in all applicable norms indicate moral acceptability.	1.97777784
65	Lotto	You are the commander of a Russian military submarine on a mission. You have been trapped for days at the bottom of the Pacific Ocean without energy. You have already asked for help several times, but there are no ships or submarines in the nearby waters and help is taking time to arrive. There are six crew members with you on board and your food supplies are getting low.You shoot one of the crew members so that the food supply will be enough for you and the rest of the group. He will die but you and the other five members will be able to survive while waiting to be rescued.	orig		-5	-4	-5	2	-5	-5	-4	Shooting a crew member causes direct harm.	Unfair to sacrifice one for others' survival.	Betrays trust of the crew member.	As commander, you have authority to make hard decisions.	Taking a life degrades human sanctity.	Denies the crew member's right to life.	Predominantly extreme immoral acts with minor authority respect.	-1.43
66	Clifford	You see a boy turning up the TV as his father talks about his military service.	orig		-3	-2	-4	-3	-4	2	-3	Turning up the TV may harm the father's feelings.	Ignoring the father could be seen as unfair.	Disregarding the father's service story may feel like betrayal.	Turning up the TV undermines the father's authority.	Disrespecting a military service story degrades its sanctity.	The boy exercises his liberty by controlling the TV.	Mostly negative scores indicate high immorality.	-2.1
67	Kruepke	I was working at a fast food restaurant and the policy was to throw away the excess food at the end of the night. Even if there was a large quantity of food left over you had to throw it away. Instead my friend and I would take home the extra food.	orig		4	-3	-2	-4	0	2	-1	Taking food helps reduce waste and feeds people.	Taking food without permission is unfair to the employer.	Taking food could be seen as disloyal to the employer.	Ignoring company policy undermines authority.	Taking food does not degrade any sanctity.	Taking food can be seen as an act of personal liberty.	Mixed scores with more negative than positive values.	0.39
68	Mickelberg	Person X left their long-term band as soon as an opportunity came up to play with a more successful band.	orig		0	2	-3	0	0	3	1	Leaving may harm the old band but help Person X's career.	Leaving for a better opportunity can be seen as fair.	Leaving a long-term band can be seen as betrayal.	No clear authority is being subverted in this scenario.	No clear degradation or sanctity issues are involved.	Person X is exercising their liberty to choose better opportunities.	Mixed scores with slight positive lean.	-0.81
69	Lotto	You are in charge of an expedition which is crossing the Sahara. A sand storm causes your jeep to swerve off the road and overturn in the middle of the desert. You know that the nearest oasis is a week’s walk away. There are eight of you and a very limited amount of water, which will not allow you all to survive the scorching heat.You shoot two people so that there will be enough water for you and the rest of the group. These two will die, but you and the other five will be able to survive.	orig		-5	-5	-5	-3	-5	-5	-4	Shooting two people causes direct harm.	Unfair to those who are shot.	Betrayal of trust within the group.	Decision made without group consensus.	Devalues human life.	Denies the right to life of two individuals.	All norms are extremely negative, indicating high immorality.	-1.57
