id	dataset	scenario	circumstance_type	circumstance	aspect1	aspect1_score	aspect1_expl	aspect2	aspect2_score	aspect2_expl	aspect3	aspect3_score	aspect3_expl	aspect4	aspect4_score	aspect4_expl	aspect5	aspect5_score	aspect5_expl	aspect6	aspect6_score	aspect6_expl	moral_score	moral_expl	human_score
11	Effron	Complimented coworkers on their clothing and appearance	orig		Intent	9.0	Whether the compliments are genuine and meant to uplift.	Context	8.0	Appropriateness of the setting and timing for compliments.	Relationship	7.0	Nature of the relationship between the coworkers.	Consent	6.0	Whether the coworkers are comfortable with receiving such compliments.	Frequency	5.0	How often the compliments are given.	Cultural Sensitivity	7.0	Awareness of cultural norms regarding compliments.	3.0	Generally positive if done respectfully and appropriately.	1.17894736
12	Kruepke	I was in a relationship with my best friend's cousin. She was really beautiful, but as time went on I became less attracted to her. I tried to tell her I didn't really want to see her anymore and she flipped out.	orig		Honesty	8	You were honest about your feelings.	Respect	6	Attempted to end relationship respectfully.	Emotional Impact	3	Caused emotional distress to her.	Communication	5	Communicated your feelings, but her reaction was negative.	Timing	4	Timing of the conversation could have been better.	Consideration for Friend	5	Potential impact on friendship with best friend.	1	Overall, you acted with honesty and respect.	0.91
13	Lotto	You are on holiday at the seaside and returning to shore in your motorboat. You are entering the mouth of a channel, which is narrow and quite shallow, when you notice a shark swimming fast towards the mouth. At the end of the channel is a swimmer, who is calmly bathing. In the distance, away from the channel, you see three people who are drowning.You turn quickly out of the channel, leaving the mouth free. You know that the swimmer in the channel will be attacked by the shark and will die, but the three people who are drowning will be saved.	orig		Number of lives saved	9.0	Three lives saved versus one lost.	Intent	8.0	Intent to save the maximum number of people.	Immediate danger	9.0	Three people are in immediate danger of drowning.	Proximity and ability to act	7.0	Closer to the three drowning people, can act quickly.	Uncertainty of shark attack	5.0	Uncertainty if the shark will definitely attack the swimmer.	Moral duty to prevent harm	8.0	Moral duty to prevent harm where possible.	3.0	Saving three lives outweighs the loss of one.	-0.46
14	Mickelberg	Person X broke off all communication with their family for a while because they had a heated argument with each other.	orig		Intentions behind the break	7.0	If X needed space to cool down.	Impact on mental health	8.0	If the break improved X's mental well-being.	Duration of the break	6.0	If the break was temporary and reasonable.	Efforts to reconcile	5.0	If X plans to mend the relationship.	Family's reaction	4.0	If the family understands and respects the break.	Nature of the argument	7.0	If the argument was severe and justified the break.	2.0	X needed space for mental health and plans to reconcile.	-0.38
15	Mickelberg	Person X presented their colleague's idea as their own in order to get a promotion.	orig		Honesty	1.0	Person X was dishonest by claiming another's idea.	Integrity	1.0	Lack of integrity in taking credit for someone else's work.	Impact on Colleague	2.0	The colleague is unfairly deprived of recognition and potential promotion.	Impact on Workplace Trust	2.0	Such actions can erode trust among colleagues.	Professional Ethics	1.0	Violates professional ethical standards.	Long-term Consequences	3.0	May lead to long-term negative consequences for workplace culture.	-4.0	The scenario is highly immoral due to dishonesty and unfairness.	-2.86
16	Clifford	You see an employee joking with competitors about how bad his company did last year.	orig		Loyalty to the Company	2.0	Employee's loyalty is questioned by joking about company's failures.	Professionalism	3.0	Joking about company performance with competitors is unprofessional.	Confidentiality	4.0	Discussing company performance may breach confidentiality.	Impact on Company Reputation	5.0	Negative comments can harm the company's reputation.	Intent	6.0	If the intent was harmless, it slightly mitigates the issue.	Competitor Relations	4.0	Joking with competitors can affect business relations.	-2.0	Overall, the scenario is mildly immoral due to professionalism and loyalty concerns.	-2.0
17	Cook	Someone posts on social media bragging about making out with multiple strangers the night before	orig		Consent	8.0	Assuming all parties consented to the interactions.	Health Risks	3.0	Potential spread of diseases if precautions weren't taken.	Public Decorum	4.0	Bragging about intimate encounters may be seen as inappropriate.	Honesty	7.0	Assuming the post is truthful and not misleading.	Impact on Others	2.0	Could influence others to engage in risky behavior.	Privacy	5.0	Respecting the privacy of the strangers involved.	0.0	Mixed aspects with some positive and negative implications.	-1.22
18	Clifford	You see a girl shooting geese repeatedly with a pellet gun out in the woods.	orig		Intent	2.0	Understanding if the girl intends to harm or practice shooting.	Harm to Animals	1.0	Assessing the physical and psychological harm to the geese.	Legal Implications	3.0	Considering if the act is legal or illegal in the area.	Supervision	2.0	Determining if an adult is supervising the activity.	Environmental Impact	2.0	Evaluating the broader impact on the local ecosystem.	Educational Context	3.0	Considering if this is part of a learning experience.	-3.0	The act is largely harmful and lacks clear moral justification.	-3.0
19	Clifford	You see a family eating the carcass of their pet dog that had been run over.	orig		Cultural Norms	3.0	Different cultures have varying views on eating pets.	Necessity	5.0	If the family is in dire need of food, it may be more understandable.	Emotional Attachment	2.0	Eating a pet may be emotionally distressing and seen as disrespectful.	Health and Safety	4.0	Consuming roadkill can pose health risks.	Respect for the Deceased	2.0	Respecting the remains of a pet is important to many people.	Legal Implications	3.0	Laws regarding the consumption of pets vary by region.	-2.0	Cultural norms and necessity slightly mitigate immorality.	-3.2
20	Mickelberg	Person X stole the collection tin of a blind beggar on the street.	orig		Harm to the victim	10.0	The blind beggar loses essential financial support.	Intent of the perpetrator	10.0	Person X intentionally stole from a vulnerable individual.	Societal norms and laws	10.0	Stealing is illegal and against societal norms.	Economic status of the perpetrator	2.0	If Person X is also in dire need, it might slightly mitigate the act.	Potential for restitution	1.0	Possibility of returning the stolen money or compensating the victim.	Impact on public trust	9.0	Such acts erode trust in society and discourage helping the needy.	-4.0	The act is highly immoral due to harm and intent.	-3.38
21	Effron	Refused to hold the door for a man in a wheelchair	orig		Intent	3.0	Whether the refusal was intentional or accidental.	Impact on the individual	7.0	The inconvenience or harm caused to the man in the wheelchair.	Social norms	8.0	Societal expectations regarding helping those with disabilities.	Empathy	2.0	The level of empathy shown towards the man in the wheelchair.	Opportunity to help	6.0	Whether there was a reasonable opportunity to hold the door.	Alternative assistance	4.0	If other forms of assistance were available or provided.	-3.0	Lack of empathy and social norms make it largely immoral.	-3.008
22	Effron	Spent time voluntarily tutoring disadvantaged students	orig		Intent	10	The intention is to help disadvantaged students voluntarily.	Impact on Students	9	Provides educational support and opportunities for disadvantaged students.	Personal Sacrifice	8	Voluntarily giving up personal time to tutor.	Equity	9	Promotes educational equity by supporting those in need.	Community Benefit	8	Strengthens the community by uplifting its members.	Sustainability	7	Depends on the consistency and long-term commitment of the tutor.	4	Highly moral due to positive intent and impact.	3.2
23	Mickelberg	Person X saw a homeless person in the rain, so they gave the person their jacket and umbrella, plus $20 for a hot meal	orig		Intent	10.0	Person X's intention was to help the homeless person.	Impact	9.0	The homeless person received immediate relief and support.	Sacrifice	8.0	Person X gave up their jacket, umbrella, and money.	Respect for Dignity	9.0	Person X treated the homeless person with respect.	Long-term Effect	6.0	The act provided temporary relief but no long-term solution.	Social Influence	7.0	The act could inspire others to help.	4.0	The act is highly moral due to positive intent and impact.	3.47
24	Kruepke	For a while I was a security officer at a bank. One day I was walking by the front door when I saw a fifty-dollar bill. I was tempted to take the money but instead I reported it to the manager.	orig		Honesty	10	Reported found money instead of taking it.	Integrity	10	Acted in accordance with ethical standards.	Responsibility	9	Fulfilled duty as a security officer.	Respect for property	10	Did not claim money that wasn't theirs.	Trustworthiness	9	Demonstrated reliability to employer.	Professionalism	9	Maintained professional conduct.	4	Acted ethically and responsibly.	2.75
25	Effron	Heckled a woman speaking on human rights	orig		Respect for Freedom of Speech	2.0	Heckling disrupts the speaker's right to express views.	Respect for Human Dignity	3.0	Heckling can demean and belittle the speaker.	Intent of the Heckler	2.0	If the intent is malicious, it worsens the act.	Context of the Discussion	1.0	Human rights discussions are sensitive and important.	Impact on Audience	3.0	Heckling can disrupt the audience's ability to engage.	Constructive Criticism	1.0	Heckling is not a constructive way to offer criticism.	-3.0	Heckling is generally disrespectful and disruptive.	-2.25454544
26	Effron	Criticized an old woman for being too slow	orig		Intent	2.0	The intention behind the criticism matters.	Respect for Elders	1.0	Respecting elders is a societal norm.	Empathy	1.0	Lack of empathy towards the old woman's situation.	Public Humiliation	2.0	Criticism in public can be humiliating.	Constructive Feedback	3.0	Whether the criticism was constructive or just hurtful.	Cultural Context	4.0	Cultural norms around respect and criticism.	-3.0	Overall, the scenario is largely negative.	-1.96129032
27	Mickelberg	Person X took public transport so their sister could use their car to get to work safely.	orig		Intent	9.0	X's intent is to help their sister get to work safely.	Sacrifice	8.0	X sacrifices their convenience for their sister's safety.	Outcome	9.0	The sister gets to work safely, a positive outcome.	Risk	6.0	X faces potential risks using public transport.	Autonomy	8.0	X voluntarily chooses to take public transport.	Fairness	7.0	The action seems fair as it prioritizes safety.	3.0	The scenario shows selflessness and prioritizes safety.	2.58
28	Kruepke	I had a bad relationship with my father and had not talked to him for years. He had left my mother. When my mother died I gathered the strength to call him and tell him that she died and that I loved him.	orig		Reconciliation effort	8	Attempting to mend a broken relationship is morally positive.	Honesty	9	Being truthful about your mother's death is important.	Emotional courage	7	Gathering strength to make the call shows bravery.	Respect for the deceased	8	Informing your father about your mother's death is respectful.	Expression of love	9	Telling your father you love him is a positive moral action.	Timing	5	The timing of the call could be seen as opportunistic.	3	Overall, the actions taken are morally positive.	2.33
29	Kruepke	My husband ran a business and I worked in his shop. Once a rather unsavory character came in and handed my husband something. So, I looked through my husband's wallet to see what the man gave him.	orig		Trust in Relationship	3	Looking through the wallet indicates a lack of trust.	Privacy Invasion	2	Invasion of husband's privacy by looking through his wallet.	Intent to Protect	7	Motivated by concern for husband's safety.	Communication	4	Lack of direct communication with husband about concerns.	Suspicion Justification	6	Suspicion based on interaction with unsavory character.	Potential Harm	8	Potential harm if the item was dangerous.	1	Balancing privacy invasion with intent to protect.	-1.14
30	Lotto	You are the head of a group of five travellers who are exploring the remote regions of South America. During the trip, you inadvertently camp in the sacred cemetery of a local tribe. The members of the tribe capture you and condemn you all to death. After some negotiation, they propose a possible alternative in the form of a human sacrifice that will pacify their god who has been offended.You accept the tribe’s proposal, and during the ceremony, you kill one of the travellers in the group. This person will die, but you and the other four travellers’ lives will be spared.	orig		Intent	5.0	The intent was to save lives, not to harm.	Consent	0.0	The sacrificed traveller did not consent.	Cultural Sensitivity	3.0	Respecting local customs but at a high cost.	Necessity	6.0	The action was taken under duress.	Consequences	4.0	One life lost, four lives saved.	Alternatives	2.0	No other alternatives were explored.	-2.0	The act was under duress but lacked consent.	-1.24
31	Effron	Rescued an injured kitten from a tree	orig		Intent	10	The intent was to help an injured animal.	Risk to Rescuer	6	Climbing a tree can be dangerous.	Outcome for Kitten	10	The kitten was rescued and received care.	Legal Considerations	10	No laws were broken in the rescue.	Community Impact	8	Positive impact on community morale.	Resource Use	9	Minimal resources were used for the rescue.	4	The act was highly moral with minor risks.	2.7428572
32	Kruepke	About a year ago I started re-selling medications from a Canadian pharmacy. I helped a great deal of elderly people so that they didn't have to pay exorbitant amounts for their medications that they needed.	orig		Intent	9.0	Helping elderly people afford medications.	Legality	2.0	Re-selling medications may violate laws/regulations.	Impact on Recipients	8.0	Elderly people benefit from affordable medications.	Safety	4.0	Potential risks if medications are mishandled.	Economic Impact	3.0	Disrupts pharmaceutical pricing and market dynamics.	Transparency	3.0	Lack of transparency in sourcing and distribution.	1.0	Good intent but legal and safety concerns.	0.57
33	Kruepke	I was at the pharmacy buying something and I noticed a man who was sitting outside selling trinkets. He was homeless and it was freezing out. So I went next door to a store and bought him some food and new clothes.	orig		Intent	10	The intent was to help a person in need.	Impact	9	The action provided immediate relief and comfort.	Effort	8	The effort involved going to another store and purchasing items.	Respect for Dignity	9	The action respected the man's dignity by providing essentials.	Resource Allocation	8	The resources used were personal and not excessive.	Long-term Benefit	6	The action provided temporary relief but not a long-term solution.	4	The action was compassionate and helpful.	2.62
34	Kruepke	My husband had a problem with always wanting new computer equipment, what I called "techno-lust". It was a really huge financial problem, and I told him he had to go on a 5-year plan to financially police himself or I would divorce him. He has greatly improved.	orig		Financial Responsibility	9	Addressing financial issues is crucial for stability.	Communication	8	Clear communication about expectations and consequences.	Ultimatum	5	Using divorce as leverage can be harsh.	Personal Growth	8	Husband's improvement shows positive change.	Mutual Respect	7	Respecting each other's concerns and boundaries.	Emotional Impact	6	Potential emotional strain from ultimatum.	2	Overall, the scenario promotes responsibility and improvement.	0.38
35	Effron	Took the neighbor's newspaper	orig		Intent	2.0	Whether the act was done with malicious intent.	Harm caused	4.0	The level of inconvenience or harm caused to the neighbor.	Consent	0.0	Whether the neighbor gave permission to take the newspaper.	Frequency	3.0	How often this act is committed.	Alternatives	7.0	Availability of other ways to obtain the newspaper.	Relationship impact	5.0	Effect on the relationship with the neighbor.	-3.0	Low consent and moderate harm make it mostly immoral.	-1.73714296
36	Clifford	You see someone cheating in a card game while playing with a group of strangers.	orig		Intent	2.0	The cheater's intention behind cheating.	Harm	8.0	Potential harm caused to other players.	Fairness	9.0	Impact on the fairness of the game.	Trust	7.0	Effect on trust among players.	Context	5.0	Casual game vs. high-stakes game.	Reputation	6.0	Impact on the cheater's reputation.	-3.0	Cheating undermines fairness and trust.	-2.6
37	Mickelberg	Person X did really well at the quiz night.	orig		Honesty	10.0	Person X did not cheat during the quiz.	Fairness	10.0	The quiz was conducted fairly without bias.	Effort	9.0	Person X put in genuine effort to prepare.	Impact on Others	10.0	Person X's success did not harm others.	Respect for Rules	10.0	Person X followed all the quiz rules.	Humility	8.0	Person X remained humble about their success.	4.0	Person X's actions were honest, fair, and respectful.	0.41
38	Effron	Sang at a prison in order to entertain the inmates	orig		Intent	9	The purpose is to entertain and uplift inmates.	Consent	8	Inmates' consent to attend the performance.	Impact on Inmates	9	Positive impact on inmates' mental health and morale.	Security Concerns	7	Ensuring the event does not compromise prison security.	Respect for Inmates' Dignity	8	Treating inmates with respect during the performance.	Resource Allocation	7	Use of resources for the event is justified.	3	Overall positive impact with minor concerns.	1.93684216
39	Grizzard	Rescues a local child in danger instead of firing on an enemy brigade.	orig		Intention	10	The intention to save a child's life is noble.	Consequences for the child	10	The child is saved from immediate danger.	Consequences for the enemy brigade	3	The enemy brigade remains a threat.	Consequences for own side	4	Potential risk to own side due to enemy brigade.	Moral duty	9	Moral duty to protect innocent life.	Long-term impact	5	Long-term impact on the war effort is uncertain.	3	Saving a child's life is highly moral despite risks.	2.893333333
40	Lotto	You are in a field playing frisbee with three young people you have just met. Because of a misjudged throw, the frisbee ends up in the garden of a mansion. You decide to climb the wall to look for it. Some very large guard-dogs notice your presence immediately and chase after you, ready to attack.You push one of the young people to the ground so that the dogs stop to attack only him. You know that he will die, but you, and the other two, will be able to escape.	orig		Intent	1.0	The intent was to save oneself and others at the cost of another's life.	Consequences	0.0	The consequence is the death of an innocent person.	Self-preservation	2.0	Acting in self-preservation is natural but not at the cost of another's life.	Responsibility	1.0	You are responsible for the situation by climbing the wall.	Alternatives	1.0	There were likely other ways to escape without sacrificing someone.	Moral Duty	0.0	Moral duty to protect others, not endanger them.	-4.0	Sacrificing another for self-preservation is highly immoral.	-1.82
41	Mickelberg	Person X worked on a campaign to release wrongfully convicted prisoners.	orig		Justice	10.0	Promotes fairness by addressing wrongful convictions.	Impact on Society	9.0	Helps reintegrate innocent people into society.	Intentions	10.0	Aims to correct judicial errors.	Transparency	8.0	Requires clear evidence and legal processes.	Potential Risks	6.0	Risk of releasing actual criminals if errors occur.	Resource Allocation	7.0	Uses resources that could be spent elsewhere.	3.0	Promotes justice and societal good despite some risks.	3.27
42	Effron	Gave his coat to someone when it was cold	orig		Intent	10	The intent was to help someone in need.	Consequence	9	The person receiving the coat is warmer.	Self-Sacrifice	8	The giver may become cold themselves.	Urgency	9	The situation was urgent due to the cold weather.	Recipient's Need	10	The recipient was in need of warmth.	Alternative Solutions	6	There may have been other ways to help.	4	The act is highly moral due to intent and positive consequences.	3.04
43	Effron	Kicked a stray cat to get it to leave his yard	orig		Intent	3.0	The intent was to remove the cat from the yard.	Harm caused to the cat	1.0	Kicking likely caused physical and emotional harm to the cat.	Alternative actions available	2.0	There were likely more humane ways to remove the cat.	Respect for animal life	1.0	Kicking shows a lack of respect for the cat's well-being.	Legal considerations	2.0	Animal cruelty laws may have been violated.	Social norms and values	2.0	Society generally condemns harming animals.	-3.0	The action is largely considered immoral due to harm and lack of respect.	-3.048
44	Effron	Tricked a stay at home mom into donating to a fake charity	orig		Intent	0.0	The intent was to deceive for personal gain.	Harm caused	1.0	Financial and emotional harm to the stay-at-home mom.	Consent	0.0	The mom was tricked, so no informed consent.	Beneficiary	0.0	No real charity benefits; only the deceiver gains.	Trust violation	1.0	Betrays trust in charitable giving.	Legal implications	1.0	Fraudulent activity, likely illegal.	-4.0	Deception and harm make this highly immoral.	-3.088
45	Mickelberg	Person X volunteers at a dog refuge, walking the dogs and cleaning their kennels once a week.	orig		Intent	10	Person X aims to help dogs in need.	Impact on Dogs	10	Dogs receive care, exercise, and attention.	Personal Sacrifice	8	Person X dedicates personal time and effort.	Consistency	9	Person X volunteers regularly, showing commitment.	Community Benefit	9	Improves the well-being of the local dog refuge.	Legal and Ethical Compliance	10	Actions are legal and ethically sound.	4	Person X's actions are highly beneficial and morally sound.	2.67
46	Mickelberg	Person X buys a loaf of bread every day, as they love the smell of freshly baked bread in the morning.	orig		Environmental Impact	4.0	Daily purchase may increase waste and carbon footprint.	Economic Impact	8.0	Supports local bakery, contributing to local economy.	Personal Health	7.0	Fresh bread can be part of a healthy diet.	Social Impact	6.0	Promotes social interaction with local vendors.	Ethical Sourcing	5.0	Depends on the bakery's sourcing practices.	Waste Management	3.0	Potential for food waste if bread is not consumed.	3.0	Overall positive impact with minor environmental concerns.	0.2
47	Mickelberg	Person X cleaned the bookshelf and picked up some items that had dropped onto the floor.	orig		Intent	10	Person X aimed to clean and organize.	Harm	10	No harm was caused to anyone.	Benefit	9	The area is now cleaner and more organized.	Consent	8	Assumed consent if it's their own space.	Effort	9	Person X put in effort to clean.	Respect for Property	9	Handled items with care.	4	Positive actions with no negative impact.	1.0
48	Clifford	You see a teenage girl wearing a long trench coat on a hot summer afternoon.	orig		Intent	8	No clear harmful intent is evident.	Context	7	Unusual attire for weather but not inherently immoral.	Impact on Others	9	No immediate negative impact on others.	Personal Autonomy	10	Individual's choice of clothing.	Cultural Sensitivity	8	May be cultural or personal preference.	Safety Concerns	6	Potential for overheating, but not immoral.	3	No evident immorality in the scenario.	-0.2
49	Clifford	You see a pastor banning his congregants from wearing bright colors in the church.	orig		Freedom of Expression	3.0	Restricts personal choice in attire.	Cultural Sensitivity	7.0	May align with specific cultural or religious norms.	Community Unity	6.0	Could promote a sense of uniformity and belonging.	Respect for Authority	5.0	Shows respect for the pastor's leadership.	Impact on Worship Experience	4.0	May distract or enhance the spiritual atmosphere.	Inclusivity	3.0	Could alienate those who prefer bright colors.	1.0	Mixed impact on freedom, culture, and community.	-2.6
50	Mickelberg	Person X always pays off their debts first before buying things for themselves.	orig		Responsibility	10.0	Prioritizing debt repayment shows financial responsibility.	Integrity	10.0	Honoring debts reflects personal integrity.	Self-care	6.0	May neglect personal needs for financial obligations.	Impact on Others	9.0	Ensures creditors are paid, positively affecting others.	Long-term Planning	8.0	Promotes financial stability and future planning.	Stress Management	5.0	Could cause stress if personal needs are unmet.	3.0	Overall, prioritizing debt repayment is highly moral.	1.85
51	Kruepke	My mother would always bring home clothes for me that I hated and would never wear. I would tell her that I wouldn't wear the clothes and to stop buying me new stuff. She would get really mad at me.	orig		Respect for autonomy	3.0	Mother disregards child's preferences.	Intentions behind actions	7.0	Mother's intentions are likely good.	Communication effectiveness	4.0	Poor communication leads to conflict.	Emotional impact	3.0	Both parties experience negative emotions.	Respect for boundaries	4.0	Mother oversteps child's boundaries.	Effort to understand	3.0	Mother does not try to understand child's preferences.	-1.0	Scenario shows poor communication and respect.	-0.44
52	Effron	Lent money to a friend in a financial crisis	orig		Intentions	9	Helping a friend in need shows good intentions.	Ability to Repay	6	Friend's ability to repay affects fairness.	Impact on Friendship	7	Lending money can strain or strengthen the relationship.	Financial Stability	8	Lender's financial stability is crucial.	Consent and Agreement	8	Clear terms prevent misunderstandings.	Urgency of Need	9	Friend's crisis severity justifies the loan.	3	Overall, lending money in a crisis is morally positive.	2.4
53	Mickelberg	Person X saved a man who was about to be hit by a car by jumping in front of the car and pushing him out of the way.	orig		Intent	10.0	Person X intended to save a life.	Outcome	10.0	The man was saved from being hit by the car.	Risk to Person X	9.0	Person X risked their own life.	Consent	7.0	The man did not consent to being saved.	Impact on Bystanders	10.0	No negative impact on bystanders.	Legal Implications	10.0	No laws were broken in the act.	4.0	High moral act with minor concerns about consent.	3.38
54	Clifford	You see an employee at a morgue eating his pepperoni pizza off of a dead body.	orig		Respect for the deceased	1.0	Eating off a dead body shows a lack of respect.	Hygiene and health standards	2.0	Unsanitary and poses health risks.	Professional conduct	1.0	Unprofessional behavior in a workplace.	Impact on colleagues	3.0	May disturb or offend coworkers.	Legal implications	4.0	Potentially violates workplace regulations.	Cultural and societal norms	2.0	Widely considered inappropriate and disrespectful.	-3.0	Highly inappropriate and disrespectful behavior.	-3.2
55	Clifford	You see an employee lying about how many hours she worked during the week.	orig		Honesty	2.0	Lying about hours worked is dishonest.	Impact on Company	3.0	False reporting affects company finances and trust.	Fairness to Colleagues	4.0	Unfair to colleagues who report hours accurately.	Personal Integrity	2.0	Reflects poorly on employee's character.	Legal Implications	5.0	Could lead to legal issues for fraud.	Intent	3.0	Intent to deceive for personal gain.	-3.0	Lying about hours is generally immoral.	-2.9
56	Effron	Pushed into the front of a line at a theater	orig		Intent	2.0	Whether the person intended to cut the line.	Harm to Others	7.0	Inconvenience caused to those who were waiting.	Consent	1.0	If others in line consented to the person being pushed ahead.	Fairness	8.0	Violation of the principle of first-come, first-served.	Context	3.0	Any special circumstances justifying the action.	Authority	2.0	If an authority figure allowed the person to be pushed ahead.	-3.0	Unfair and inconvenient to others.	-1.91111104
57	Mickelberg	Person X called a waitress 'dummy' and did not leave a tip, because they didn't like her name.	orig		Respect for others	1.0	Calling someone 'dummy' is disrespectful.	Fairness	2.0	Not tipping due to a name is unfair.	Kindness	1.0	The action lacks kindness.	Professionalism	2.0	Person X's behavior is unprofessional.	Empathy	1.0	Shows a lack of empathy towards the waitress.	Social norms	2.0	Violates social norms of politeness and tipping.	-4.0	The scenario is highly disrespectful and unfair.	-2.98
