id	dataset	scenario	circumstance_type	circumstance	vulnerable_score	intentional_score	harm_score	help_score	moral_score	vulnerable_expl	intentional_expl	harm_expl	help_expl	moral_expl	agent	assumption_for_agent	patient	assumption_for_patient	human_score	think_trace	split	regression_score	mlp_score
11	Effron	Complimented coworkers on their clothing and appearance	orig		6.0	7.0	0.0	5.0	3.0	The coworker is an adult with average resilience.	Complimenting someone is usually a deliberate action.	Complimenting typically does not cause harm.	Complimenting can boost morale and confidence.	Complimenting is generally a positive and moral action.	The person giving the compliment	Likely a coworker or colleague	The coworker receiving the compliment	Likely an adult coworker	1.17894736	1. Identify the agent: The person giving the compliment. 2. Assumption about the agent: Likely a coworker or colleague. 3. Identify the patient: The coworker receiving the compliment. 4. Assumption about the patient: Likely an adult coworker. 5. Assess vulnerability: The coworker is an adult with average resilience. 6. Assess intentionality: Complimenting someone is usually a deliberate action. 7. Assess harm: Complimenting typically does not cause harm. 8. Assess help: Complimenting can boost morale and confidence. 9. Assess moral acceptability: Complimenting is generally a positive and moral action.	train		
12	Kruepke	I was in a relationship with my best friend's cousin. She was really beautiful, but as time went on I became less attracted to her. I tried to tell her I didn't really want to see her anymore and she flipped out.	orig		7.0	7.0	6.0	4.0	-1.0	Emotionally affected by the breakup	The agent thought about ending the relationship	Emotional distress from the breakup	Ending a relationship that was no longer desired	Balancing emotional harm and personal honesty	The person who tried to end the relationship	The agent is likely a typical adult with average resilience	The person who was in the relationship with the agent	The patient is likely a typical adult with average resilience	0.91	1. Identify the agent: The person who tried to end the relationship. 2. Assumption about the agent: The agent is likely a typical adult with average resilience. 3. Identify the patient: The person who was in the relationship with the agent. 4. Assumption about the patient: The patient is likely a typical adult with average resilience. 5. Assess the vulnerability of the patient: The patient is an adult, emotionally affected by the breakup. 6. Assess the intentionality of the action: The agent thought about ending the relationship and communicated it. 7. Assess the harm caused: Emotional distress from the breakup. 8. Assess the help caused: Ending a relationship that was no longer desired. 9. Determine the moral acceptability: Balancing the harm and help caused.	train		
13	Lotto	You are on holiday at the seaside and returning to shore in your motorboat. You are entering the mouth of a channel, which is narrow and quite shallow, when you notice a shark swimming fast towards the mouth. At the end of the channel is a swimmer, who is calmly bathing. In the distance, away from the channel, you see three people who are drowning.You turn quickly out of the channel, leaving the mouth free. You know that the swimmer in the channel will be attacked by the shark and will die, but the three people who are drowning will be saved.	orig		10.0	7.0	10.0	10.0	2.0	The swimmer is defenseless against a shark attack	The agent made a quick, deliberate decision	The swimmer will likely die from the shark attack	The three drowning people will be saved	Saving three lives outweighs the loss of one	The person in the motorboat	The agent is capable of making decisions and taking actions	The swimmer in the channel	The swimmer is unaware of the shark and is vulnerable	-0.46	1. Identify the agent: The person in the motorboat. 2. Assumption about the agent: The agent is capable of making decisions and taking actions. 3. Identify the patient: The swimmer in the channel. 4. Assumption about the patient: The swimmer is unaware of the shark and is vulnerable. 5. Assess the vulnerability of the patient: The swimmer is highly vulnerable to a shark attack. 6. Assess the intentionality of the action: The agent made a quick decision to save the three drowning people. 7. Assess the harm caused: The swimmer will likely die from the shark attack. 8. Assess the help caused: The three drowning people will be saved. 9. Determine the moral acceptability: Weigh the harm to the swimmer against the help to the three drowning people.	train		
14	Mickelberg	Person X broke off all communication with their family for a while because they had a heated argument with each other.	orig		7.0	7.0	6.0	0.0	-3.0	Family is emotionally vulnerable but not defenseless.	Person X likely acted with some degree of thought and planning.	Emotional harm is significant but not physically damaging.	No help was provided in this scenario.	Emotional harm and intentionality make the action morally negative.	Person X	Person X is an adult capable of making decisions.	Person X's family	The family members are emotionally affected by the lack of communication.	-0.38	1. Identify the agent: Person X. 2. Assumption about the agent: Person X is an adult capable of making decisions. 3. Identify the patient: Person X's family. 4. Assumption about the patient: The family members are emotionally affected by the lack of communication. 5. Assess vulnerability: The family is emotionally vulnerable but not defenseless. 6. Assess intentionality: Person X likely acted with some degree of thought and planning. 7. Assess harm: Emotional harm is significant but not physically damaging. 8. Assess help: No help was provided in this scenario. 9. Determine moral acceptability: Weighing the emotional harm and intentionality, the action leans towards being morally negative.	train		
15	Mickelberg	Person X presented their colleague's idea as their own in order to get a promotion.	orig		7.0	9.0	7.0	0.0	-4.0	The colleague is an average adult, susceptible to professional harm.	Person X likely planned and executed the action deliberately.	The colleague's professional reputation and opportunities are significantly harmed.	The action does not provide any help to the colleague.	Highly immoral due to intentional harm and lack of help.	Person X	Person X is motivated by personal gain.	The colleague	The colleague is likely to be affected professionally and emotionally.	-2.86	1. Identify the agent: Person X. 2. Assumption about the agent: Person X is motivated by personal gain. 3. Identify the patient: The colleague whose idea was stolen. 4. Assumption about the patient: The colleague is likely to be affected professionally and emotionally. 5. Assess the vulnerability of the patient: The colleague is an average adult, susceptible to professional harm. 6. Assess the intentionality of the action: Person X likely planned and executed the action deliberately. 7. Assess the harm caused: The colleague's professional reputation and opportunities are significantly harmed. 8. Assess the help caused: The action does not provide any help to the colleague. 9. Determine the moral acceptability: The action is highly immoral due to intentional harm and lack of help.	train		
16	Clifford	You see an employee joking with competitors about how bad his company did last year.	orig		6.0	6.0	4.0	0.0	-2.0	The company is somewhat vulnerable to reputational damage.	Joking usually involves some thought.	The harm is likely minor but reputational.	The action does not provide any help.	Somewhat immoral due to harm and intentionality.	The employee	The employee is aware of the company's performance.	The company	The company could be harmed by negative perceptions.	-2.0	1. Identify the agent: The employee is the one joking. 2. Assumption about the agent: The employee is likely aware of the company's performance. 3. Identify the patient: The company is being affected by the employee's jokes. 4. Assumption about the patient: The company could be harmed by negative perceptions. 5. Assess vulnerability: The company is somewhat vulnerable to reputational damage. 6. Assess intentionality: The employee's action seems somewhat intentional, as joking usually involves some thought. 7. Assess harm: The harm is likely minor, as it's just a joke, but it could affect the company's reputation. 8. Assess help: The action does not provide any help. 9. Assess moral acceptability: Considering the vulnerability, intentionality, harm, and lack of help, the action is somewhat immoral.	train		
17	Cook	Someone posts on social media bragging about making out with multiple strangers the night before	orig		6.0	7.0	4.0	1.0	-2.0	Adults with average resilience	Intentional but not extensively planned	Potential minor harm due to health risks	No significant help provided	Minor harm, intentional, no help	The person posting on social media	Likely an adult who attended a social event	The multiple strangers the agent made out with	Likely adults who were also at the social event	-1.22	1. Identify the agent: The person posting on social media. 2. Assumption about the agent: Likely an adult who attended a social event. 3. Identify the patient: The multiple strangers the agent made out with. 4. Assumption about the patient: Likely adults who were also at the social event. 5. Assess vulnerability: The strangers are likely adults with average resilience. 6. Assess intentionality: The action of making out with strangers is likely intentional but not extensively planned. 7. Assess harm: Potential minor harm due to possible health risks or emotional impact. 8. Assess help: No significant help provided by the action. 9. Assess moral acceptability: Weighing the vulnerability, intentionality, harm, and help to determine the moral standing.	train		
18	Clifford	You see a girl shooting geese repeatedly with a pellet gun out in the woods.	orig		9.0	8.0	7.0	0.0	-4.0	Geese are defenseless against a pellet gun	Repeatedly shooting indicates deliberate action	Shooting can cause significant injury or death	No help is provided in this scenario	High vulnerability, high intentionality, and significant harm	The girl	Likely a young person, possibly unaware of the full consequences	The geese	Living creatures capable of feeling pain and distress	-3.0	1. Identify the agent: The girl with the pellet gun. 2. Assumption about the agent: Likely a young person, possibly unaware of the full consequences. 3. Identify the patient: The geese being shot. 4. Assumption about the patient: Geese are living creatures capable of feeling pain and distress. 5. Assess vulnerability: Geese are defenseless against a pellet gun, making them highly vulnerable. 6. Assess intentionality: The girl is repeatedly shooting, indicating deliberate action. 7. Assess harm: Shooting geese with a pellet gun can cause significant injury or death. 8. Assess help: No help is provided in this scenario. 9. Assess moral acceptability: High vulnerability, high intentionality, and significant harm make this scenario highly immoral.	train		
19	Clifford	You see a family eating the carcass of their pet dog that had been run over.	orig		0.0	8.0	0.0	6.0	1.0	The dog is deceased, so it cannot be harmed further	The family is intentionally eating the dog	The dog is already dead, so no additional harm is caused	The action may provide sustenance to the family	Cultural context and necessity reduce immorality	The family	They are acting out of necessity or cultural practice	The pet dog	The dog is already deceased	-3.2	1. Identify the agent: The family eating the dog. 2. Assumption about the agent: They are acting out of necessity or cultural practice. 3. Identify the patient: The pet dog. 4. Assumption about the patient: The dog is already deceased. 5. Assess vulnerability: The dog is deceased, so it cannot be harmed further. 6. Assess intentionality: The family is intentionally eating the dog. 7. Assess harm: The dog is already dead, so no additional harm is caused. 8. Assess help: The action may provide sustenance to the family. 9. Moral acceptability: Consider cultural context and necessity.	train		
20	Mickelberg	Person X stole the collection tin of a blind beggar on the street.	orig		10.0	8.0	7.0	0.0	-4.0	The beggar is defenseless and highly susceptible to harm.	Stealing typically involves deliberate action and intent.	Stealing the tin significantly impacts the beggar's ability to survive.	The action provides no help to the beggar.	High vulnerability, high intentionality, and significant harm make the action extremely immoral.	Person X	Person X is capable of making decisions and taking actions.	The blind beggar	The blind beggar is vulnerable due to disability and reliance on charity.	-3.38	1. Identify the agent: Person X. 2. Assumption about the agent: Person X is capable of making decisions and taking actions. 3. Identify the patient: The blind beggar. 4. Assumption about the patient: The blind beggar is vulnerable due to disability and reliance on charity. 5. Assess vulnerability: The blind beggar is highly vulnerable due to disability and dependence on donations. 6. Assess intentionality: Stealing typically involves deliberate action and intent. 7. Assess harm: Stealing the collection tin significantly impacts the beggar's ability to survive. 8. Assess help: The action provides no help to the beggar. 9. Assess moral acceptability: High vulnerability, high intentionality, and significant harm make the action extremely immoral.	train		
21	Effron	Refused to hold the door for a man in a wheelchair	orig		9.0	7.0	4.0	0.0	-3.0	Highly susceptible to harm or inconvenience	Refusing to hold the door is deliberate	Causes inconvenience and potential emotional distress	No help was provided	Inconsiderate and morally wrong	The person who refused to hold the door	Likely an able-bodied individual	The man in the wheelchair	A person with a physical disability	-3.008	1. Identify the agent: The person who refused to hold the door. 2. Assumption about the agent: Likely an able-bodied individual. 3. Identify the patient: The man in the wheelchair. 4. Assumption about the patient: A person with a physical disability. 5. Assess the vulnerability of the patient: A person in a wheelchair is highly susceptible to harm or inconvenience. 6. Assess the intentionality of the action: Refusing to hold the door is likely a deliberate action. 7. Assess the harm caused: The harm is more about inconvenience and potential emotional distress. 8. Assess the help caused: No help was provided in this scenario. 9. Assess the moral acceptability: The action is likely seen as inconsiderate and morally wrong.	train		
22	Effron	Spent time voluntarily tutoring disadvantaged students	orig		9.0	9.0	0.0	8.0	4.0	Disadvantaged students are likely to be more vulnerable	Voluntary tutoring implies a high level of intentionality and planning	Tutoring is unlikely to cause harm	Tutoring provides significant educational support and mentorship	High intentionality and help with no harm make this scenario highly moral	The person who spent time tutoring	Likely someone with a desire to help others, possibly a teacher or volunteer	Disadvantaged students	Students who lack resources or support, making them more vulnerable	3.2	1. Identify the agent: The person who spent time tutoring. 2. Assumption about the agent: Likely someone with a desire to help others, possibly a teacher or volunteer. 3. Identify the patient: Disadvantaged students. 4. Assumption about the patient: Students who lack resources or support, making them more vulnerable. 5. Assess vulnerability: Disadvantaged students are likely to be more vulnerable due to their circumstances. 6. Assess intentionality: Voluntary tutoring implies a high level of intentionality and planning. 7. Assess harm: Tutoring is unlikely to cause harm. 8. Assess help: Tutoring provides significant educational support and mentorship. 9. Assess moral acceptability: High intentionality and help with no harm make this scenario highly moral.	train		
23	Mickelberg	Person X saw a homeless person in the rain, so they gave the person their jacket and umbrella, plus $20 for a hot meal	orig		9.0	8.0	0.0	8.0	4.0	Homeless, in the rain, likely very vulnerable.	Deliberate and thoughtful action.	No harm was caused.	Significant help including protection and money.	High moral action due to significant help and no harm.	Person X	Person X is compassionate and willing to help.	The homeless person	The homeless person is in need and vulnerable.	3.47	1. Identify the agent: Person X. 2. Assumption about the agent: Person X is compassionate and willing to help. 3. Identify the patient: The homeless person. 4. Assumption about the patient: The homeless person is in need and vulnerable. 5. Assess the vulnerability of the patient: Homeless, in the rain, likely very vulnerable. 6. Assess the intentionality of the action: Person X gave their jacket, umbrella, and money, indicating a deliberate and thoughtful action. 7. Assess the harm caused: No harm was caused. 8. Assess the help provided: Significant help was provided, including protection from rain and money for food. 9. Assess the moral acceptability: High moral action due to significant help and no harm.	train		
24	Kruepke	For a while I was a security officer at a bank. One day I was walking by the front door when I saw a fifty-dollar bill. I was tempted to take the money but instead I reported it to the manager.	orig		6.0	7.0	0.0	7.0	4.0	The bank or owner has some susceptibility to loss	Reporting involves some degree of thought and planning	No harm was caused	Provides substantial assistance by ensuring return	Highly moral due to honesty and responsibility	The security officer	The agent is honest and responsible	The bank or the owner of the fifty-dollar bill	The patient is the rightful owner of the money	2.75	1. Identify the agent: The person performing the action is the security officer. 2. Assumption about the agent: The agent is assumed to be honest and responsible. 3. Identify the patient: The patient is the bank or the owner of the fifty-dollar bill. 4. Assumption about the patient: The patient is assumed to be the rightful owner of the money. 5. Assess the vulnerability of the patient: The bank or the owner of the money is not highly vulnerable but has some susceptibility to loss. 6. Assess the intentionality of the action: Reporting the money to the manager involves some degree of thought and planning. 7. Assess the harm caused: No harm was caused by reporting the money. 8. Assess the help caused: Reporting the money provides substantial assistance by ensuring it is returned to the rightful owner. 9. Assess the moral acceptability: The action is highly moral as it involves honesty and responsibility.	train		
25	Effron	Heckled a woman speaking on human rights	orig		7.0	8.0	5.0	0.0	-3.0	The woman is of average resilience but susceptible to verbal harm	Heckling is usually a deliberate act	Heckling can cause emotional distress and disrupt the event	Heckling does not provide any help	Heckling a human rights speaker is generally seen as immoral	A person opposed to the woman's views	The agent is likely against human rights advocacy	The woman speaking on human rights	The patient is likely an advocate for human rights	-2.25454544	1. Identify the agent: The person heckling. 2. Assumption about the agent: Likely someone opposed to the woman's views on human rights. 3. Identify the patient: The woman speaking on human rights. 4. Assumption about the patient: Likely an advocate or activist for human rights. 5. Assess vulnerability: The woman is likely of average resilience but susceptible to verbal harm. 6. Assess intentionality: Heckling is usually a deliberate act. 7. Assess harm: Heckling can cause emotional distress and disrupt the event. 8. Assess help: Heckling does not provide any help. 9. Assess moral acceptability: Heckling a human rights speaker is generally seen as immoral due to the harm and lack of help.	train		
26	Effron	Criticized an old woman for being too slow	orig		9.0	7.0	4.0	0.0	-3.0	Elderly individuals are generally more vulnerable	Criticism is usually intentional, though it may not be premeditated	Criticism can cause emotional harm, but not physical	Criticism generally does not provide help	Considering vulnerability, intentionality, harm, and lack of help	The person who criticized the old woman	Likely an adult, possibly frustrated or impatient	The old woman	Likely elderly, possibly frail or slow due to age	-1.96129032	1. Identify the agent: The person who criticized the old woman. 2. Assumption about the agent: Likely an adult, possibly frustrated or impatient. 3. Identify the patient: The old woman who was criticized. 4. Assumption about the patient: Likely elderly, possibly frail or slow due to age. 5. Assess vulnerability: Elderly individuals are generally more vulnerable. 6. Assess intentionality: Criticism is usually intentional, though it may not be premeditated. 7. Assess harm: Criticism can cause emotional harm, but not physical. 8. Assess help: Criticism generally does not provide help. 9. Assess moral acceptability: Considering vulnerability, intentionality, harm, and lack of help, the action is likely immoral.	train		
27	Mickelberg	Person X took public transport so their sister could use their car to get to work safely.	orig		7.0	8.0	0.0	8.0	4.0	She needs the car for safety.	Person X planned to take public transport.	No harm was caused.	Ensured the sister's safety.	Prioritizes the sister's safety.	Person X	Person X is considerate and responsible.	Person X's sister	The sister needs the car for safety reasons.	2.58	1. Identify the agent: Person X. 2. Assumption about the agent: Person X is considerate and responsible. 3. Identify the patient: Person X's sister. 4. Assumption about the patient: The sister needs the car for safety reasons. 5. Assess the sister's vulnerability: She needs the car for safety, indicating medium-high vulnerability. 6. Assess the intentionality of Person X's action: Person X planned to take public transport to help the sister. 7. Assess the harm caused: No harm was caused by Person X's action. 8. Assess the help provided: Person X's action provided significant help by ensuring the sister's safety. 9. Determine the moral acceptability: The action is highly moral as it prioritizes the sister's safety.	train		
28	Kruepke	I had a bad relationship with my father and had not talked to him for years. He had left my mother. When my mother died I gathered the strength to call him and tell him that she died and that I loved him.	orig		7.0	8.0	4.0	6.0	2.0	Emotionally vulnerable due to the news and relationship	The call was deliberate and planned	Possible emotional distress but not significant harm	Potential for emotional closure or reconciliation	Intentional, emotionally impactful, potential for reconciliation	The person who called the father	Emotionally affected by mother's death and strained relationship	The father	Emotionally affected by the news and the call	2.33	1. Identify the agent: The person who took the action of calling the father. 2. Assumption about the agent: The agent is emotionally affected by the mother's death and the strained relationship with the father. 3. Identify the patient: The father who received the call. 4. Assumption about the patient: The father is emotionally affected by the news of the mother's death and the call from the child. 5. Assess the vulnerability of the patient: The father is likely emotionally vulnerable due to the news and the strained relationship. 6. Assess the intentionality of the action: The action of calling was deliberate and planned. 7. Assess the harm caused: The call might cause emotional distress but not significant harm. 8. Assess the help caused: The call might provide emotional closure or reconciliation. 9. Determine the moral acceptability: Weighing the emotional impact and the intention behind the call.	train		
29	Kruepke	My husband ran a business and I worked in his shop. Once a rather unsavory character came in and handed my husband something. So, I looked through my husband's wallet to see what the man gave him.	orig		6.0	7.0	4.0	3.0	-1.0	Adult with average resilience	Intentional with some thought	Minor breach of privacy	Minimal insight into the situation	Minor harm, minimal help	The wife	Concerned about the unsavory character	The husband	Might feel a breach of trust	-1.14	1. Identify the agent of the action: The person who performed the action of looking through the wallet. 2. Determine the assumption about the agent: Consider the context and motivation behind the action. 3. Identify the patient being affected: The person whose wallet was looked through. 4. Determine the assumption about the patient: Consider the context and potential impact on the patient. 5. Assess the vulnerability of the patient: Evaluate the susceptibility to harm. 6. Assess the intentionality of the action: Evaluate the degree of planning and deliberation. 7. Assess the harm caused by the action: Evaluate the impact on the patient. 8. Assess the help caused by the action: Evaluate any potential assistance or protection provided. 9. Determine the moral acceptability: Based on the assessments of vulnerability, intentionality, harm, and help.  Now, apply these steps to the given scenario.  1. The agent is the person who looked through the wallet. 2. The assumption is that the agent was concerned about the unsavory character. 3. The patient is the husband whose wallet was looked through. 4. The assumption is that the husband might feel a breach of trust. 5. The husband is an adult with average resilience. 6. The action was intentional, likely with some degree of thought. 7. The harm is minor, as it involves a breach of privacy. 8. The help is minimal, as it might provide some insight into the situation. 9. The moral acceptability is based on the minor harm and minimal help.	train		
