id	dataset	scenario	circumstance_type	circumstance	agent	agent_assumption	affected_party	affected_party_assumption	Q5_score	Q5_expl	moral_score	moral_expl	human_score
11	Effron	Complimented coworkers on their clothing and appearance	orig		John	John is a colleague who values positive workplace interactions.	Coworkers	Coworkers appreciate recognition and compliments.	8.0	Compliments can universally promote positive interactions.	3.0	Promotes respect and positive morale.	1.17894736
12	Kruepke	I was in a relationship with my best friend's cousin. She was really beautiful, but as time went on I became less attracted to her. I tried to tell her I didn't really want to see her anymore and she flipped out.	orig		I	I was in a relationship with my best friend's cousin.	My best friend's cousin	She was really beautiful but became less attractive to me over time.	5.0	Attempted honest communication, but caused distress.	0.0	Mixed morality due to honesty and distress.	0.91
13	Lotto	You are on holiday at the seaside and returning to shore in your motorboat. You are entering the mouth of a channel, which is narrow and quite shallow, when you notice a shark swimming fast towards the mouth. At the end of the channel is a swimmer, who is calmly bathing. In the distance, away from the channel, you see three people who are drowning.You turn quickly out of the channel, leaving the mouth free. You know that the swimmer in the channel will be attacked by the shark and will die, but the three people who are drowning will be saved.	orig		The person in the motorboat	The agent is capable of making moral decisions	The swimmer in the channel and the three drowning people	The swimmer is unaware of the shark; the three people are in immediate danger	6.0	Action sacrifices one to save three, treating all as ends	2.0	Saving more lives is morally preferable	-0.46
14	Mickelberg	Person X broke off all communication with their family for a while because they had a heated argument with each other.	orig		Person X	Person X acted out of emotional distress	Person X's family	The family values communication and relationship	3.0	Action is emotionally driven, not universally applicable	-2.0	Moderately immoral due to lack of communication	-0.38
15	Mickelberg	Person X presented their colleague's idea as their own in order to get a promotion.	orig		Person X	Person X wants a promotion	Colleague	Colleague's idea was stolen	0.0	Action cannot be universalized, treats colleague as a means	-4.0	Highly immoral, violates categorical imperative	-2.86
16	Clifford	You see an employee joking with competitors about how bad his company did last year.	orig		The employee	The employee is aware of the company's performance	The company	The company is negatively impacted by the employee's comments	2.0	The action disrespects the company's reputation	-3.0	The action is largely immoral	-2.0
17	Cook	Someone posts on social media bragging about making out with multiple strangers the night before	orig		The person who posted on social media	The person is seeking attention or validation	The strangers the person made out with	The strangers consented to the interaction	3.0	Action may not consider long-term well-being of others	-2.0	Action is somewhat self-centered and risky	-1.22
18	Clifford	You see a girl shooting geese repeatedly with a pellet gun out in the woods.	orig		The girl	She is aware of her actions	The geese	They are sentient beings	1.0	Harming animals for no reason is not universalizable	-3.0	Action is largely immoral due to harm	-3.0
19	Clifford	You see a family eating the carcass of their pet dog that had been run over.	orig		The family	They are grieving and trying to honor their pet	The pet dog	The dog is deceased and cannot be affected	6.0	The action respects the pet's body in their cultural context	2.0	Culturally sensitive, not universally immoral	-3.2
20	Mickelberg	Person X stole the collection tin of a blind beggar on the street.	orig		Person X	Person X is capable of moral reasoning	The blind beggar	The blind beggar relies on the collection tin for survival	0.0	Stealing cannot be universalized morally	-4.0	Action is extremely immoral	-3.38
21	Effron	Refused to hold the door for a man in a wheelchair	orig		A person	The person is capable of holding the door	A man in a wheelchair	The man needs assistance with the door	2.0	Action disregards the needs of others	-3.0	Fails to treat others as ends	-3.008
22	Effron	Spent time voluntarily tutoring disadvantaged students	orig		A volunteer tutor	The tutor is motivated by altruism	Disadvantaged students	The students benefit from the tutoring	10.0	Action promotes education and well-being	4.0	Highly moral as it treats students as ends	3.2
23	Mickelberg	Person X saw a homeless person in the rain, so they gave the person their jacket and umbrella, plus $20 for a hot meal	orig		Person X	Person X is compassionate and altruistic.	The homeless person	The homeless person is in need of help.	10.0	Action respects dignity and well-being.	4.0	Highly moral, promotes universal good.	3.47
24	Kruepke	For a while I was a security officer at a bank. One day I was walking by the front door when I saw a fifty-dollar bill. I was tempted to take the money but instead I reported it to the manager.	orig		The security officer	The security officer is honest and responsible	The bank and the potential owner of the money	The bank values integrity; the owner wants their money back	10.0	Reporting the money respects ownership and honesty	4.0	The action is highly moral and respects all parties	2.75
25	Effron	Heckled a woman speaking on human rights	orig		A person in the audience	The person disagreed with the speaker	The woman speaking on human rights	The woman was advocating for human rights	1.0	Heckling disrupts and disrespects the speaker	-3.0	Disrespecting a speaker is morally wrong	-2.25454544
26	Effron	Criticized an old woman for being too slow	orig		A person	The person is impatient	An old woman	The old woman is slow due to age	2.0	Criticism does not respect her dignity	-3.0	Action is largely immoral	-1.96129032
27	Mickelberg	Person X took public transport so their sister could use their car to get to work safely.	orig		Person X	Person X values their sister's safety.	Person X's sister	The sister needs the car for a safer commute.	9.0	Action prioritizes sister's safety, universalizable.	4.0	Highly moral, respects sister's well-being.	2.58
28	Kruepke	I had a bad relationship with my father and had not talked to him for years. He had left my mother. When my mother died I gathered the strength to call him and tell him that she died and that I loved him.	orig		I	I had a strained relationship with my father.	My father	He had left my mother and me.	9.0	The action respects my father as an end.	4.0	Highly moral due to reconciliation.	2.33
29	Kruepke	My husband ran a business and I worked in his shop. Once a rather unsavory character came in and handed my husband something. So, I looked through my husband's wallet to see what the man gave him.	orig		The wife	She is concerned about her husband's safety	The husband	He is entitled to privacy	4.0	Invasion of privacy for safety concern	-1.0	Moderately immoral due to privacy breach	-1.14
30	Lotto	You are the head of a group of five travellers who are exploring the remote regions of South America. During the trip, you inadvertently camp in the sacred cemetery of a local tribe. The members of the tribe capture you and condemn you all to death. After some negotiation, they propose a possible alternative in the form of a human sacrifice that will pacify their god who has been offended.You accept the tribe’s proposal, and during the ceremony, you kill one of the travellers in the group. This person will die, but you and the other four travellers’ lives will be spared.	orig		The head of the group of travellers	The agent is responsible for the group's safety	The traveller who was sacrificed	The affected party is an innocent individual	0.0	The action treats the individual merely as a means	-4.0	The action is extremely immoral	-1.24
31	Effron	Rescued an injured kitten from a tree	orig		A person	The person is compassionate	An injured kitten	The kitten is vulnerable and in need of help	10.0	Rescuing the kitten respects its well-being	4.0	Highly moral as it treats the kitten as an end	2.7428572
32	Kruepke	About a year ago I started re-selling medications from a Canadian pharmacy. I helped a great deal of elderly people so that they didn't have to pay exorbitant amounts for their medications that they needed.	orig		The person who started re-selling medications	The agent is motivated by helping elderly people afford medications	Elderly people needing affordable medications	The affected party benefits from lower medication costs	6.0	Action aims to help, but legality and ethics of re-selling are questionable	2.0	Morally positive intent, but potential legal/ethical issues	0.57
33	Kruepke	I was at the pharmacy buying something and I noticed a man who was sitting outside selling trinkets. He was homeless and it was freezing out. So I went next door to a store and bought him some food and new clothes.	orig		I	I am a compassionate person	The homeless man	He is in need of help	10.0	Action respects his dignity and needs	4.0	Highly moral as it treats him as an end	2.62
34	Kruepke	My husband had a problem with always wanting new computer equipment, what I called "techno-lust". It was a really huge financial problem, and I told him he had to go on a 5-year plan to financially police himself or I would divorce him. He has greatly improved.	orig		The wife	She wants financial stability	The husband	He has a tendency for excessive spending	8.0	Encourages responsible spending, respects mutual financial goals	3.0	Promotes financial responsibility and mutual respect	0.38
35	Effron	Took the neighbor's newspaper	orig		The person who took the newspaper	The agent is a neighbor	The neighbor whose newspaper was taken	The affected party values their newspaper	2.0	Taking without permission can't be universalized	-3.0	Action disregards neighbor's rights	-1.73714296
36	Clifford	You see someone cheating in a card game while playing with a group of strangers.	orig		The person cheating in the card game	The agent is aware that cheating is wrong	The group of strangers playing the card game	The affected party values fair play	0.0	Cheating cannot be universalized as moral	-4.0	Cheating is highly immoral	-2.6
37	Mickelberg	Person X did really well at the quiz night.	orig		Person X	Person X participated in the quiz night	Other participants and the quiz organizers	They were part of the event	10.0	Doing well in a quiz respects all participants	4.0	Highly moral as it respects everyone	0.41
38	Effron	Sang at a prison in order to entertain the inmates	orig		A singer	The singer volunteered to perform	The inmates	The inmates enjoyed the performance	9.0	The action respects inmates' dignity and provides joy	4.0	Highly moral as it treats inmates as ends	1.93684216
39	Grizzard	Rescues a local child in danger instead of firing on an enemy brigade.	orig		A soldier	The soldier has a duty to protect civilians.	A local child	The child is in immediate danger.	8.0	Prioritizes saving a life over combat duty.	3.0	Highly moral as it values human life.	2.893333333
40	Lotto	You are in a field playing frisbee with three young people you have just met. Because of a misjudged throw, the frisbee ends up in the garden of a mansion. You decide to climb the wall to look for it. Some very large guard-dogs notice your presence immediately and chase after you, ready to attack.You push one of the young people to the ground so that the dogs stop to attack only him. You know that he will die, but you, and the other two, will be able to escape.	orig		You	You are trying to save yourself and the other two young people.	The young person pushed to the ground	The young person will be attacked and likely die.	0.0	Action uses the young person as a means.	-4.0	Action is extremely immoral.	-1.82
41	Mickelberg	Person X worked on a campaign to release wrongfully convicted prisoners.	orig		Person X	Person X believes in justice and fairness.	Wrongfully convicted prisoners	They are innocent and deserve freedom.	10.0	The action respects their humanity and rights.	4.0	Highly moral as it aligns with universal justice.	3.27
42	Effron	Gave his coat to someone when it was cold	orig		The person who gave the coat	The agent is a compassionate individual	The person who received the coat	The affected party was in need of warmth	10.0	The action promotes kindness and altruism	4.0	Highly moral as it respects human dignity	3.04
43	Effron	Kicked a stray cat to get it to leave his yard	orig		A homeowner	The homeowner wants to protect his property	A stray cat	The cat is a sentient being	1.0	Action uses the cat merely as a means	-3.0	Action is largely immoral	-3.048
44	Effron	Tricked a stay at home mom into donating to a fake charity	orig		The person who tricked the stay at home mom	The agent is deceitful and manipulative	The stay at home mom	The affected party is trusting and charitable	0.0	Deception cannot be a universal moral law	-4.0	Deception is highly immoral	-3.088
45	Mickelberg	Person X volunteers at a dog refuge, walking the dogs and cleaning their kennels once a week.	orig		Person X	Person X is a volunteer	Dogs at the refuge	Dogs benefit from care and attention	9.0	Action respects and benefits the dogs	4.0	Highly moral as it respects beings	2.67
46	Mickelberg	Person X buys a loaf of bread every day, as they love the smell of freshly baked bread in the morning.	orig		Person X	Person X enjoys freshly baked bread.	The bakery or baker	The bakery benefits from the daily purchase.	9.0	The action respects mutual benefit and autonomy.	4.0	Highly moral as it respects both parties.	0.2
47	Mickelberg	Person X cleaned the bookshelf and picked up some items that had dropped onto the floor.	orig		Person X	Person X is responsible and considerate.	Anyone using the bookshelf or the space around it.	The affected party benefits from a clean and organized space.	9.0	The action promotes cleanliness and order, benefiting all.	4.0	Highly moral as it respects and benefits others.	1.0
48	Clifford	You see a teenage girl wearing a long trench coat on a hot summer afternoon.	orig		The teenage girl	She might have a personal reason for wearing the trench coat	Observers or bystanders	They might be concerned or curious	8.0	The action is neutral and doesn't harm others	3.0	The action respects individual choice	-0.2
49	Clifford	You see a pastor banning his congregants from wearing bright colors in the church.	orig		The pastor	The pastor believes bright colors are inappropriate for church	The congregants	The congregants are expected to follow the pastor's guidance	3.0	The action imposes a subjective rule on others	-2.0	The action limits personal freedom without universal justification	-2.6
50	Mickelberg	Person X always pays off their debts first before buying things for themselves.	orig		Person X	Person X values financial responsibility.	Creditors and Person X	Creditors expect timely repayment; Person X prioritizes obligations.	9.0	Paying debts respects agreements and treats creditors fairly.	4.0	Highly moral as it respects others' rights.	1.85
51	Kruepke	My mother would always bring home clothes for me that I hated and would never wear. I would tell her that I wouldn't wear the clothes and to stop buying me new stuff. She would get really mad at me.	orig		My mother	She wants to provide for me	Me	I have my own preferences	3.0	Action disregards my preferences, not universalizable	1.0	Partially moral, but not fully respectful	-0.44
52	Effron	Lent money to a friend in a financial crisis	orig		The person who lent the money	The agent is compassionate and willing to help	The friend in a financial crisis	The affected party is in genuine need	9.0	The action respects the friend's dignity and autonomy	4.0	Highly moral as it supports a universal law	2.4
53	Mickelberg	Person X saved a man who was about to be hit by a car by jumping in front of the car and pushing him out of the way.	orig		Person X	Person X acted out of a sense of duty to save a life.	The man who was about to be hit by the car	The man was in immediate danger and unaware of the impending threat.	10.0	The action respects the man's life as an end.	4.0	Saving a life is highly moral.	3.38
54	Clifford	You see an employee at a morgue eating his pepperoni pizza off of a dead body.	orig		The employee at the morgue	The employee is aware of the respect due to the dead	The dead body	The dead body deserves respect and dignity	1.0	Disrespectful to the dead, not a universal law	-3.0	Highly disrespectful and immoral	-3.2
55	Clifford	You see an employee lying about how many hours she worked during the week.	orig		The employee	The employee is aware of the dishonesty	The employer	The employer trusts the employee's reported hours	0.0	Lying cannot be a universal law	-4.0	Dishonesty is highly immoral	-2.9
56	Effron	Pushed into the front of a line at a theater	orig		A person who pushed into the front of the line	The person wanted to get ahead quickly	People waiting in line	They were waiting their turn	2.0	Action disregards fairness and respect	-3.0	Disrespects others' time and effort	-1.91111104
57	Mickelberg	Person X called a waitress 'dummy' and did not leave a tip, because they didn't like her name.	orig		Person X	Person X dislikes certain names	The waitress	The waitress has no control over her name	0.0	Action is based on a superficial reason	-4.0	Disrespectful and unjustified behavior	-2.98
58	Clifford	You see a story about a remote tribe eating the flesh of their deceased members.	orig		A member of the remote tribe	The agent follows cultural traditions	The deceased tribe member	The deceased is respected within their culture	5.0	Action respects cultural beliefs, not universal	0.0	Cultural respect but not universally moral	-2.3
59	Cook	Someone brags on social media about drinking excessively to the point of vomiting	orig		A person bragging on social media	The person is seeking attention or validation	The social media audience	The audience is influenced by the post	2.0	Promotes harmful behavior, not universalizable	-3.0	Encourages negative behavior, morally questionable	-1.19
60	Effron	Didn't leave a tip at the restaurant	orig		The customer	The customer had the financial means to leave a tip	The waiter/waitress	The waiter/waitress relies on tips for income	2.0	Not tipping cannot be universalized without harming service workers	-3.0	Fails to treat the waiter/waitress as an end	-1.6571428
61	Mickelberg	Person X released intimate photos of their ex-partner to their friends and then posted them to the internet.	orig		Person X	Person X acted out of revenge or malice.	Person X's ex-partner	The ex-partner did not consent to the release of intimate photos.	0.0	Action violates privacy and dignity.	-4.0	Action is extremely immoral.	-3.23
62	Clifford	You see the US Ambassador joking in Great Britain about the stupidity of Americans.	orig		The US Ambassador	The Ambassador is a representative of the US government.	Americans	Americans are being ridiculed by their representative.	2.0	Joking about stupidity is disrespectful.	-3.0	Disrespecting citizens is immoral.	-2.8
63	Kruepke	My current lover often complains about our sex life, saying we don't do it enough. Sometimes I will watch online porn and masturbate instead. Sometimes, I feel like it's just easier and more fun to do that.	orig		The person in the relationship watching porn	They prefer masturbation over sex with their partner	The lover who complains about the sex life	They desire more sexual intimacy in the relationship	3.0	Action prioritizes personal pleasure over partner's needs	-2.0	Neglects partner's emotional and physical needs	-0.35
64	Effron	Had a welcoming party for some new neighbors	orig		The host of the welcoming party	The host is a considerate and welcoming person	The new neighbors	The new neighbors are new to the community and seeking to integrate	9.0	The action promotes community and respect	4.0	Highly moral as it fosters goodwill	1.97777784
65	Lotto	You are the commander of a Russian military submarine on a mission. You have been trapped for days at the bottom of the Pacific Ocean without energy. You have already asked for help several times, but there are no ships or submarines in the nearby waters and help is taking time to arrive. There are six crew members with you on board and your food supplies are getting low.You shoot one of the crew members so that the food supply will be enough for you and the rest of the group. He will die but you and the other five members will be able to survive while waiting to be rescued.	orig		The commander of the submarine	The commander is responsible for the crew's survival	The crew member who was shot	The crew member is a human with intrinsic value	0.0	Action uses the crew member merely as a means	-4.0	Action is extremely immoral	-1.43
66	Clifford	You see a boy turning up the TV as his father talks about his military service.	orig		The boy	The boy is likely uninterested or disrespectful	The father	The father is sharing something important	2.0	Action shows disrespect, not a universal moral law	-3.0	Disrespectful and dismissive behavior	-2.1
67	Kruepke	I was working at a fast food restaurant and the policy was to throw away the excess food at the end of the night. Even if there was a large quantity of food left over you had to throw it away. Instead my friend and I would take home the extra food.	orig		I and my friend	We wanted to avoid waste	The fast food restaurant	They have a policy to follow	3.0	Action benefits us but violates policy	-2.0	Moderately immoral due to policy breach	0.39
68	Mickelberg	Person X left their long-term band as soon as an opportunity came up to play with a more successful band.	orig		Person X	Person X seeks better career opportunities.	The long-term band	The band relied on Person X's contribution.	3.0	Action prioritizes personal gain over loyalty.	-2.0	Moderately immoral due to lack of loyalty.	-0.81
69	Lotto	You are in charge of an expedition which is crossing the Sahara. A sand storm causes your jeep to swerve off the road and overturn in the middle of the desert. You know that the nearest oasis is a week’s walk away. There are eight of you and a very limited amount of water, which will not allow you all to survive the scorching heat.You shoot two people so that there will be enough water for you and the rest of the group. These two will die, but you and the other five will be able to survive.	orig		The leader of the expedition	The agent is responsible for the group's survival	The two people who were shot	They are sacrificed for the survival of others	0.0	Action treats affected party merely as a means	-4.0	Action is extremely immoral	-1.57
70	Mickelberg	Person X was able to convince their boss that they were ready for a promotion at work.	orig		Person X	Person X is an employee seeking a promotion.	Person X's boss	The boss has the authority to grant promotions.	8.0	If Person X is truthful, it respects the boss's judgment.	3.0	Truthful persuasion is generally moral.	0.52
71	Clifford	You see a woman getting hired only because her father is close friends with the boss.	orig		The boss	The boss hired based on personal connections	Other potential candidates	They were overlooked despite possibly being more qualified	2.0	Action based on favoritism, not universal fairness	-3.0	Unfair hiring practice, morally questionable	-2.4
72	Effron	Stole into a parking place while someone else was backing in	orig		The person who stole the parking place	The agent is aware of the other driver	The person who was backing in	The affected party expected the spot	1.0	Action disregards fairness and respect	-3.0	Highly inconsiderate and unfair	-1.93846152
73	Kruepke	A few years ago, I was single and I went to see a friend of mine in the Bahamas. I was extremely attracted to a man I met there who was married. I danced as close to the fire as I could, but I did nothing.	orig		I	I was single and attracted to a married man.	The married man and his spouse.	The married man was in a committed relationship.	8.0	I refrained from acting on my attraction.	3.0	Respecting the marriage shows moral restraint.	-0.71
74	Kruepke	As I was backing out of a parking lot I bumped a parked car and left a minor dent. I didn't even feel the impact when I hit the car but it left a little bit of damage. I drove away without leaving a message or trying to contact the person.	orig		The person backing out of the parking lot	The agent is aware of the minor dent caused	The owner of the parked car	The affected party values their property	2.0	Leaving without contact is not universalizable	-3.0	Action is largely immoral	-1.93
75	Lotto	You are a nurse who is in charge of a machine which controls drug dosage levels in patients’ blood. Because of a technical failure, the machine is supplying a lethal dose of the drug to four patients. Another patient, in a single room, is hooked up to the same machine and has not undergone any variation in dosage.Press the button to block the drug supply to the four patients. You know that the overdose of drug will be redirected to the patient in the single room, who will die, but the other four will be saved.	orig		The nurse	The nurse is responsible for patient safety	The single patient in the room	The single patient will receive a lethal dose	3.0	The action sacrifices one to save four	-2.0	Utilitarian but violates individual rights	-1.16
76	Mickelberg	Person X went to a fancy restaurant but couldn't pronounce the items on the menu.	orig		Person X	Person X is unfamiliar with the menu items	Restaurant staff	Staff may need to assist with pronunciation	7.0	Action is neutral; no harm or exploitation	2.0	Minor inconvenience, no moral breach	0.06
77	Kruepke	Recently I was supposed to go to a meeting with a whole bunch of people who are not my friends, just acquaintances. I really didn't want to go. So I emailed the group saying that I had to work that day, when in reality I didn't.	orig		The person who emailed the group	The agent did not want to attend the meeting	The group of acquaintances	The group expected the agent to attend	2.0	Lying cannot be a universal law	-2.0	Lying is generally immoral	-0.71
78	Lotto	You are in the head office of your bank together with four other people. Suddenly, the director calls you because he has discovered a bomb in an office on the ground floor. He knows you are a bomb disposal expert and asks you to defuse it. You realise immediately that there is not enough time to evacuate the people in the bank before the bomb explodes.You throw the bomb into the basement where there is the security vault. You know that the explosion will kill the security guard in the vault, but you and the other four people will be saved.	orig		The bomb disposal expert	The agent is capable of defusing bombs	The security guard in the vault	The guard will be killed by the explosion	3.0	The action sacrifices one to save many	-2.0	Utilitarian but violates individual rights	-0.85
79	Lotto	You are driving your new and very expensive car along a narrow country road. On the edge of the road you see a person who has just fallen off their bicycle. This person has hit their head violently and asks you if you can accompany them to the nearest hospital. You realise that because of the fall the person is now covered with mud.You leave the injured person on the side of the road. You know that sooner or later somebody will pass by and, in this way, you will not dirty the leather seats in your new car.	orig		The driver of the car	The driver values their car's cleanliness over helping an injured person	The injured cyclist	The cyclist is in urgent need of medical assistance	0.0	Action prioritizes car over human life	-4.0	Extremely immoral, neglects human welfare	-1.72
80	Clifford	You see a boy placing a thumbtack sticking up on the chair of another student.	orig		The boy	The boy is acting out of mischief or malice.	Another student	The student is unaware and will be harmed.	0.0	The action uses the student as a means to an end.	-4.0	The action is highly immoral.	-2.8
81	Clifford	You see a man telling his girlfriend that she must convert to his religion.	orig		The man	He believes his religion is superior	His girlfriend	She may not share his beliefs	1.0	Forcing conversion treats her as a means	-3.0	Highly coercive and disrespectful	-2.5
82	Effron	Ate all the food before anyone else could have any	orig		John	John was hungry and impatient.	John's family	They were expecting to share the food.	1.0	Action is selfish, not universalizable.	-3.0	Highly immoral due to selfishness.	-2.05333328
83	Clifford	You see a man staying inside his home with the shades drawn on a rare sunny day.	orig		The man inside his home	He prefers staying indoors	The man himself	He values his privacy or comfort	10.0	Action respects his autonomy and choice	4.0	Highly moral as it respects personal freedom	-0.1
84	Grizzard	Accidentally wounds a young soldier when firing a warning shot.	orig		A soldier	The soldier intended to fire a warning shot	A young soldier	The young soldier was unintentionally wounded	4.0	The action was accidental, not intended to harm	0.0	Accidental harm reduces moral acceptability	-0.4933333333
85	Effron	Left food out for stray dogs	orig		A compassionate individual	The individual cares about animal welfare	Stray dogs	The dogs are in need of food	8.0	Feeding strays can be a universal moral law	3.0	Promotes animal welfare and compassion	2.24864864
86	Mickelberg	Person X scratched their neighbor's expensive car with a key, as he always parked it at the front of PersonX's house.	orig		Person X	Person X was frustrated with the neighbor's parking habits.	Neighbor	The neighbor values their car and did not intend to cause inconvenience.	1.0	Action is retaliatory, not universalizable.	-3.0	Action is largely immoral due to harm caused.	-2.41
87	Lotto	The healthy carrier of a contagious and lethal disease is being held in quarantine in hospital. Suddenly the ventilation system breaks down and there is no longer a change of air in the room. The emergency system will shortly be activated and an internal window will be opened. This window opens into a ward in which five patients are being treated for various illnesses.You block the emergency system by pressing a button which will keep the window closed. You know that the healthy carrier will suffocate, but the five patients will be saved from mortal contagion.	orig		The person pressing the button	The agent is aware of the consequences	The healthy carrier and the five patients	The healthy carrier will suffocate, patients will be saved	3.0	Action sacrifices one to save five, treating one as means	-2.0	Sacrificing one life for many is somewhat immoral	-0.36
88	Clifford	You see a father requiring his son to become a commercial airline pilot like him.	orig		The father	He wants his son to follow in his footsteps	The son	He may have different aspirations	3.0	The action imposes the father's will on the son	-2.0	The son's autonomy is not fully respected	-1.9
89	Cook	Someone yells at a server at a restaurant because their meal is late	orig		A customer	The customer is frustrated due to the delay	The server	The server is doing their job and not responsible for the delay	2.0	Yelling treats the server as a means, not an end	-3.0	Yelling is disrespectful and morally unacceptable	-2.35
90	Kruepke	I said some bad things about this guy that I work with. He told me some secrets that I promised not to share, but I did anyway. He didn't find out but I was afraid if he did, he might do something crazy.	orig		The person who shared the secrets	The agent is someone who values trust	The coworker whose secrets were shared	The affected party trusts the agent	2.0	Betraying trust cannot be universalized	-3.0	Betrayal of trust is immoral	-2.0
91	Mickelberg	Person X punched a woman for wearing a hijab because PersonX thinks they should not be allowed in this country.	orig		Person X	Person X believes hijabs should not be allowed in the country.	The woman wearing a hijab	The woman is targeted for her religious attire.	0.0	Action is based on intolerance, not universalizable.	-4.0	Action is extremely immoral due to violence and discrimination.	-3.42
92	Kruepke	When I was a football coach, I was often involved with the moms of the kids on the team. There were many mothers that were attractive and made themselves available. I was very tempted to have sex with one mother who came on to me.	orig		The football coach	The coach is tempted but aware of ethical boundaries	The mother who came on to the coach	The mother is consenting but may not consider broader implications	3.0	Action risks treating the mother as a means	-2.0	Potentially exploitative and unprofessional	-1.55
93	Grizzard	Executes a squad of surrendering enemy troops.	orig		A military officer	The officer is following orders	Surrendering enemy troops	They are unarmed and defenseless	0.0	Action treats them merely as a means	-4.0	Violates Kant's principle of humanity	-2.56
94	Grizzard	Refuses to fire into a crowd to stop an enemy combatant.	orig		A soldier	The soldier is following military ethics and rules of engagement.	The crowd and the enemy combatant	The crowd is innocent, and the combatant is a threat.	10.0	Refusing to harm innocents respects their humanity.	4.0	Highly moral as it respects human dignity.	2.133333333
95	Effron	Pulled his dog's tail	orig		A person	The person is a pet owner	The dog	The dog is a sentient being	2.0	Pulling a dog's tail causes harm and discomfort	-3.0	Action is generally considered cruel	-2.03428576
96	Effron	Beat up someone smaller than him	orig		John	John is stronger and capable of physical violence.	Tom	Tom is smaller and weaker.	0.0	Violence against weaker individuals cannot be universalized.	-4.0	Treats the affected party merely as a means.	-2.896
97	Effron	Refused to loan class notes to a friend who had been ill	orig		The person who refused to loan the notes	The agent is a student with class notes	The friend who had been ill	The affected party needs notes to catch up	2.0	Refusing help to someone in need is not universalizable	-2.0	Action lacks compassion, thus morally questionable	-1.75135136
98	Mickelberg	Person X forgot to water their front garden causing the grass to turn brown.	orig		Person X	Person X owns the garden	The grass in the garden	The grass requires regular watering	5.0	Neglecting grass doesn't treat it as a means	0.0	Neglect is neutral, not highly immoral	0.02
99	Mickelberg	Person X went to the supermarket but couldn't remember what they needed to buy.	orig		Person X	Person X is an individual with normal cognitive abilities.	Person X	Person X is the only party affected by their forgetfulness.	10.0	The action affects only Person X, no moral law violated.	4.0	No harm or moral issue involved.	0.03
