id	dataset	scenario	circumstance_type	circumstance	vulnerable_score	intentional_score	harm_score	help_score	moral_score	vulnerable_expl	intentional_expl	harm_expl	help_expl	moral_expl	agent	assumption_for_agent	patient	assumption_for_patient	human_score
58	Clifford	You see a story about a remote tribe eating the flesh of their deceased members.	orig		0	9	2	6	3	The deceased cannot be harmed further	Cultural rituals are typically planned and deliberate	No harm to the deceased, but potential emotional harm to outsiders	May provide cultural or spiritual benefits to the tribe	High intent, low harm, significant help, no vulnerability.	Members of the remote tribe	They follow cultural or ritualistic practices	Deceased members of the tribe	They are no longer alive	-2.3
59	Cook	Someone brags on social media about drinking excessively to the point of vomiting	orig		7	4	5	0	-3	Typical adult, some susceptibility to harm	Action is impulsive, minimal premeditation	Minor harm, potential for self-inflicted damage	No assistance or protection offered	High vulnerability and harm, low intent and no help.	The person bragging on social media	The person is likely an adult	The person bragging on social media	The person is likely an adult	-1.19
60	Effron	Didn't leave a tip at the restaurant	orig		7	7	4	0	-3	Waitstaff depend on tips, making them moderately vulnerable.	Not tipping is usually a deliberate choice.	Not tipping causes financial harm but not severe damage.	No help was provided by not tipping.	High vulnerability and intent, moderate harm, no help provided.	The customer	The customer had the financial means to leave a tip.	The waiter/waitress	The waiter/waitress relies on tips for income.	-1.6571428
61	Mickelberg	Person X released intimate photos of their ex-partner to their friends and then posted them to the internet.	orig		9	9	8	0	-4	The ex-partner is highly susceptible to emotional and social harm.	Releasing and posting photos involves deliberate actions and planning.	The action can cause severe emotional and reputational damage.	No help was provided; the action was harmful.	High vulnerability, high intent, high harm, no help.	Person X	Person X is the ex-partner who released the photos.	The ex-partner of Person X	The ex-partner is the individual whose intimate photos were released.	-3.23
62	Clifford	You see the US Ambassador joking in Great Britain about the stupidity of Americans.	orig		6	7	4	0	-3	Americans are of average resilience, some susceptibility to harm.	Joking likely involved some degree of thought and planning.	Insulting Americans causes minor harm.	No help was provided in this scenario.	High intent and vulnerability, moderate harm, no help.	The US Ambassador	The US Ambassador is a high-ranking diplomat representing the United States.	Americans	Americans are the citizens of the United States.	-2.8
63	Kruepke	My current lover often complains about our sex life, saying we don't do it enough. Sometimes I will watch online porn and masturbate instead. Sometimes, I feel like it's just easier and more fun to do that.	orig		7	7	5	0	-3	The lover is emotionally affected and feels neglected	The action is intentional and involves some degree of thought	The action causes emotional harm but not physical harm	The action provides no help or assistance to the lover	High vulnerability and intent, moderate harm, no help; overall immoral.	The person in the relationship who watches online porn and masturbates	The person is likely feeling unsatisfied or seeking an easier alternative to sex with their lover	The lover who complains about the sex life	The lover is likely feeling neglected or unsatisfied in the relationship	-0.35
64	Effron	Had a welcoming party for some new neighbors	orig		7	8	0	7	3	New neighbors are of average resilience, adjusting to a new environment.	Hosting a party involves planning and deliberate thought.	No harm was caused; it was a welcoming event.	The party provided substantial social support and integration for the new neighbors.	High intent and help, no harm, vulnerable patient.	The host of the party	The host is a friendly and welcoming person.	The new neighbors	The new neighbors are new to the community and likely seeking social connections.	1.97777784
65	Lotto	You are the commander of a Russian military submarine on a mission. You have been trapped for days at the bottom of the Pacific Ocean without energy. You have already asked for help several times, but there are no ships or submarines in the nearby waters and help is taking time to arrive. There are six crew members with you on board and your food supplies are getting low.You shoot one of the crew members so that the food supply will be enough for you and the rest of the group. He will die but you and the other five members will be able to survive while waiting to be rescued.	orig		9	9	10	9	-3	The crew member is defenseless and highly susceptible to harm	The action was taken with deliberate thought and planning	The action resulted in the death of the crew member	The action provided critical assistance for the survival of the remaining crew	High vulnerability, intent, and harm outweigh the help provided.	The commander of the Russian military submarine	The commander is responsible for the crew's survival	One of the crew members	The crew member is a human being	-1.43
66	Clifford	You see a boy turning up the TV as his father talks about his military service.	orig		6	4	4	0	-3	The father is an adult with average resilience.	The boy likely acted impulsively without much planning.	The action caused minor emotional harm by showing disrespect.	The action did not provide any help or assistance.	Moderate vulnerability, low intent, moderate harm, no help provided.	The boy	The boy is likely a child or teenager.	The father	The father is likely an adult, possibly a veteran.	-2.1
67	Kruepke	I was working at a fast food restaurant and the policy was to throw away the excess food at the end of the night. Even if there was a large quantity of food left over you had to throw it away. Instead my friend and I would take home the extra food.	orig		1	8	3	7	3	The restaurant is an inanimate entity, not easily harmed.	The action was deliberate and planned.	Minor financial loss to the restaurant.	Provided substantial help by reducing food waste and feeding people.	High intent and help, low vulnerability and harm.	I	I assumed the agent was an employee at the fast food restaurant.	The fast food restaurant	I assumed the patient was the business entity.	0.39
68	Mickelberg	Person X left their long-term band as soon as an opportunity came up to play with a more successful band.	orig		6	8	6	7	-2	The band has some resilience but can be affected.	Leaving a band for a better opportunity involves planning.	The band may face significant disruption.	Person X gains a better opportunity.	High intent and harm, moderate help and vulnerability.	Person X	Person X is a musician.	The long-term band	The band is a group of musicians.	-0.81
