id	dataset	scenario	circumstance_type	circumstance	agent	agent_assumption	affected_party	affected_party_assumption	Q5_score	Q5_expl	moral_score	moral_expl	human_score	split	regression_score	mlp_score
11	Effron	Complimented coworkers on their clothing and appearance	orig		The agent was a coworker.	The agent assumed the coworkers would appreciate the compliments.	The coworkers were the party being affected.	The affected party assumed the compliments were genuine and well-intentioned.	9.0	The action acknowledges the coworkers' humanity and boosts their self-esteem.	3.0	The action is morally positive and promotes a positive work environment.	1.17894736	train		
12	Kruepke	I was in a relationship with my best friend's cousin. She was really beautiful, but as time went on I became less attracted to her. I tried to tell her I didn't really want to see her anymore and she flipped out.	orig		I	I assumed the agent was trying to end a relationship they were no longer interested in.	My best friend's cousin	I assumed the affected party was hurt and upset by the breakup.	2.0	The action seems to prioritize the agent's feelings over the affected party's, treating them as a means to an end.	-2.0	Breaking up with someone solely because you are no longer attracted to them is not highly moral.	0.91	train		
13	Lotto	You are on holiday at the seaside and returning to shore in your motorboat. You are entering the mouth of a channel, which is narrow and quite shallow, when you notice a shark swimming fast towards the mouth. At the end of the channel is a swimmer, who is calmly bathing. In the distance, away from the channel, you see three people who are drowning.You turn quickly out of the channel, leaving the mouth free. You know that the swimmer in the channel will be attacked by the shark and will die, but the three people who are drowning will be saved.	orig		You	You are a rational and moral person	The swimmer in the channel and the three people drowning	They are innocent individuals in need of help	9.0	Choosing to save three lives over one is a morally justifiable action.	3.0	Prioritizing the greater good while considering individual rights.	-0.46	train		
14	Mickelberg	Person X broke off all communication with their family for a while because they had a heated argument with each other.	orig		Person X	Person X acted out of anger and frustration.	Person X's family	The family members were hurt and confused by the sudden cutoff.	2.0	Person X's action disregards the feelings and well-being of their family, treating them as a means to avoid conflict.	-2.0	Cutting off communication without resolving conflicts is morally questionable.	-0.38	train		
15	Mickelberg	Person X presented their colleague's idea as their own in order to get a promotion.	orig		Person X	Person X is willing to deceive others for personal gain.	Colleague	The colleague is being used as a means to achieve Person X's promotion.	2.0	The action clearly treats the colleague as a means to an end, disregarding their humanity.	-3.0	Presenting someone else's idea as their own for personal gain is morally unacceptable.	-2.86	train		
16	Clifford	You see an employee joking with competitors about how bad his company did last year.	orig		The employee	The employee is assumed to be aware of the consequences of his actions.	The employee's company	The company is assumed to be negatively affected by the employee's actions.	2.0	The action treats the company as a means for the employee's amusement.	-3.0	The employee's behavior lacks respect for his company and violates Kant's categorical imperative.	-2.0	train		
17	Cook	Someone posts on social media bragging about making out with multiple strangers the night before	orig		The agent of this action is the person who posted on social media.	The assumption made about the agent is that they are seeking attention or validation.	The party being affected by this action is the strangers the person made out with.	The assumption made about the affected party is that they may feel objectified or used.	2.0	The action treats the affected party as a means for the agent's bragging, not considering their feelings or autonomy.	-3.0	The scenario is morally unacceptable as it objectifies and exploits others for personal gain.	-1.22	train		
18	Clifford	You see a girl shooting geese repeatedly with a pellet gun out in the woods.	orig		The girl	She is likely acting out of a desire to harm animals	The geese	They are being harmed and killed	2.0	The action treats the geese solely as a means for the girl's enjoyment, not considering their well-being. 	-3.0	The action is morally unacceptable as it disregards the well-being of the geese.	-3.0	train		
19	Clifford	You see a family eating the carcass of their pet dog that had been run over.	orig		The family	They are the ones consuming the dog's carcass	The pet dog	The assumption is that the dog is being treated as a means to satisfy the family's hunger	2.0	The action clearly treats the pet dog as a means to an end, lacking respect for its inherent value.	-3.0	Consuming a pet dog as food goes against the principle of treating humanity as an end in itself.	-3.2	train		
20	Mickelberg	Person X stole the collection tin of a blind beggar on the street.	orig		Person X	Assumed to be capable of making rational decisions	Blind beggar	Assumed to be a vulnerable individual in need of assistance	2.0	Stealing from a vulnerable individual violates the categorical imperative by treating them as a mere means to an end.	-3.0	Stealing from a blind beggar is highly immoral and goes against Kant's principle of treating humanity as an end in itself.	-3.38	train		
21	Effron	Refused to hold the door for a man in a wheelchair	orig		The agent was a person walking through a door.	The assumption made about the agent is that they were capable of holding the door for others.	The party being affected by this action was a man in a wheelchair.	The assumption made about the affected party is that they needed assistance to go through the door.	2.0	The action treats the man in a wheelchair as a means to an end, not as an end in itself.	-3.0	Refusing to hold the door for someone in need is morally unacceptable.	-3.008	train		
22	Effron	Spent time voluntarily tutoring disadvantaged students	orig		John	John assumed that helping disadvantaged students is a morally good action.	Disadvantaged students	Assumed that the students would benefit from the tutoring sessions.	10.0	Tutoring disadvantaged students treats them as ends in themselves, helping them improve their education and future prospects.	4.0	Voluntarily tutoring disadvantaged students is a highly moral action according to Kant's categorical imperative.	3.2	train		
23	Mickelberg	Person X saw a homeless person in the rain, so they gave the person their jacket and umbrella, plus $20 for a hot meal	orig		Person X	Assumed to be a compassionate and empathetic individual	Homeless person in the rain	Assumed to be in need of help and support	10.0	The action demonstrates treating the homeless person as an end in itself by providing immediate aid and support.	4.0	The action is highly moral as it aligns with Kant's categorical imperative of treating humanity as an end in itself.	3.47	train		
24	Kruepke	For a while I was a security officer at a bank. One day I was walking by the front door when I saw a fifty-dollar bill. I was tempted to take the money but instead I reported it to the manager.	orig		Security officer at a bank	The agent is honest and values integrity	Manager of the bank	The affected party is appreciative of honesty	9.0	Reporting lost money aligns with treating humanity as an end in itself	3.0	Acting honestly in this scenario is morally commendable	2.75	train		
25	Effron	Heckled a woman speaking on human rights	orig		The agent was a person who heckled a woman speaking on human rights.	The agent assumed it was acceptable to disrupt the woman's speech.	The party being affected was the woman speaking on human rights.	The assumption made about the affected party was that she deserved respect and the opportunity to speak.	2.0	The action treats the woman as a means to express disrespect, not as an end in herself.	-3.0	Heckling violates the categorical imperative by disrespecting the woman's autonomy.	-2.25454544	train		
26	Effron	Criticized an old woman for being too slow	orig		The agent was a person named John.	I assumed that John was impatient and insensitive.	The party being affected was an old woman.	I assumed that the old woman felt embarrassed and disrespected.	2.0	The action treats the old woman as a means to an end, disregarding her dignity.	-3.0	Criticizing someone for being slow is disrespectful and lacks empathy.	-1.96129032	train		
27	Mickelberg	Person X took public transport so their sister could use their car to get to work safely.	orig		Person X	Person X cares about their sister's safety and well-being.	Person X's sister	Person X's sister values safety and needs a car to get to work.	9.0	Person X's action demonstrates respect for their sister's safety and well-being.	3.0	Person X's action is morally commendable as it prioritizes the well-being of another.	2.58	train		
28	Kruepke	I had a bad relationship with my father and had not talked to him for years. He had left my mother. When my mother died I gathered the strength to call him and tell him that she died and that I loved him.	orig		I	I assumed the agent had the courage to reach out to their father despite past difficulties.	Father	I assumed the father was affected emotionally by the news of the mother's death and the expression of love.	9.0	The action shows respect for the father's humanity and emotions, treating him as an end in itself.	3.0	Despite past issues, the action demonstrates compassion and respect towards the father.	2.33	train		
29	Kruepke	My husband ran a business and I worked in his shop. Once a rather unsavory character came in and handed my husband something. So, I looked through my husband's wallet to see what the man gave him.	orig		I	I assumed the agent is a person capable of making decisions.	My husband	I assumed the affected party is a person with autonomy.	2.0	The action violates the categorical imperative by treating the affected party as a means.	-2.0	The scenario is morally questionable as it disregards the autonomy of the affected party.	-1.14	train		
30	Lotto	You are the head of a group of five travellers who are exploring the remote regions of South America. During the trip, you inadvertently camp in the sacred cemetery of a local tribe. The members of the tribe capture you and condemn you all to death. After some negotiation, they propose a possible alternative in the form of a human sacrifice that will pacify their god who has been offended.You accept the tribe’s proposal, and during the ceremony, you kill one of the travellers in the group. This person will die, but you and the other four travellers’ lives will be spared.	orig		Head of the group of travellers	Capable of making decisions on behalf of the group	One of the travellers in the group	Being used as a means to pacify the offended god	2.0	The action involves sacrificing one to save many, treating the affected party as a means to an end.	-2.0	While saving the majority, sacrificing one still violates Kant's principle of treating humanity as an end in itself.	-1.24	train		
31	Effron	Rescued an injured kitten from a tree	orig		John	John assumed the responsibility to rescue the injured kitten.	The injured kitten	The kitten was assumed to be in need of help.	9.0	Rescuing an injured kitten aligns with treating the kitten as an end in itself.	3.0	Rescuing the injured kitten is a morally commendable action.	2.7428572	train		
32	Kruepke	About a year ago I started re-selling medications from a Canadian pharmacy. I helped a great deal of elderly people so that they didn't have to pay exorbitant amounts for their medications that they needed.	orig		The agent of this action was the person re-selling medications from a Canadian pharmacy.	The assumption made about the agent is that they were trying to help elderly people save money on medications.	The party being affected by this action were the elderly people in need of medications.	The assumption made about the affected party is that they needed medications but couldn't afford them at regular prices.	8.0	The action follows a maxim that can be willed as a universal moral law as it aims to help those in need.	3.0	The scenario is morally acceptable as it prioritizes the well-being of the affected party.	0.57	train		
33	Kruepke	I was at the pharmacy buying something and I noticed a man who was sitting outside selling trinkets. He was homeless and it was freezing out. So I went next door to a store and bought him some food and new clothes.	orig		I	I assumed the agent is a compassionate and empathetic individual.	The homeless man	I assumed the affected party is in need of help and support.	9.0	The action demonstrates treating the homeless man as an end in itself by providing him with food and clothes out of compassion.	3.0	The action is morally commendable as it upholds the principle of treating humanity as an end in itself.	2.62	train		
34	Kruepke	"My husband had a problem with always wanting new computer equipment, what I called ""techno-lust"". It was a really huge financial problem, and I told him he had to go on a 5-year plan to financially police himself or I would divorce him. He has greatly improved."	orig		Husband	He had a problem with always wanting new computer equipment.	Wife	She was facing a huge financial problem due to her husband's behavior.	9.0	The husband's action of going on a 5-year plan to financially police himself aligns with treating humanity as an end in itself.	3.0	The husband's improvement and commitment to change show moral growth and consideration for his wife's well-being.	0.38	train		
35	Effron	Took the neighbor's newspaper	orig		The neighbor	The agent assumed the neighbor wouldn't notice or mind.	The neighbor	The affected party assumed their property rights were respected.	2.0	The action treats the neighbor as a means to get free newspapers.	-3.0	Taking the neighbor's newspaper without permission is morally wrong.	-1.73714296	train		
36	Clifford	You see someone cheating in a card game while playing with a group of strangers.	orig		The person cheating in the card game	They are trying to gain an unfair advantage	The other players in the card game	They are being deceived and potentially losing out on a fair game	2.0	Cheating in a card game violates the principle of treating others as ends in themselves	-3.0	Cheating undermines trust and fairness in the game, making it morally unacceptable	-2.6	train		
37	Mickelberg	Person X did really well at the quiz night.	orig		Person X	Person X studied hard and prepared for the quiz night	Other participants at the quiz night	Other participants were treated fairly and respectfully	9.0	Person X's success does not harm others and is based on their own efforts, treating others as ends in themselves	3.0	Person X's actions align with Kant's categorical imperative, promoting fairness and respect	0.41	train		
38	Effron	Sang at a prison in order to entertain the inmates	orig		Sang	Capable of singing and performing	Inmates at the prison	Inmates who may enjoy the entertainment	9.0	Entertaining inmates treats them as ends in themselves, providing joy and a break from their routine.	3.0	Entertaining inmates is a morally positive action that brings joy and human connection.	1.93684216	train		
39	Grizzard	Rescues a local child in danger instead of firing on an enemy brigade.	orig		John	John assumed the child was in danger and needed help.	Local child	The child was assumed to be in danger and needed assistance.	10.0	Rescuing a child in danger aligns with treating humanity as an end in itself.	4.0	Rescuing a child in danger is highly moral and aligns with Kant's categorical imperative.	2.893333333	train		
40	Lotto	You are in a field playing frisbee with three young people you have just met. Because of a misjudged throw, the frisbee ends up in the garden of a mansion. You decide to climb the wall to look for it. Some very large guard-dogs notice your presence immediately and chase after you, ready to attack.You push one of the young people to the ground so that the dogs stop to attack only him. You know that he will die, but you, and the other two, will be able to escape.	orig		You	You assumed the agent is capable of making decisions and taking actions.	The young person pushed to the ground	You assumed the affected party is innocent and unaware of the danger.	2.0	The action prioritizes self-preservation over the well-being of others.	-3.0	Sacrificing an innocent person for personal gain is morally unacceptable.	-1.82	train		
41	Mickelberg	Person X worked on a campaign to release wrongfully convicted prisoners.	orig		Person X	Person X believes in fighting for justice and helping those who have been wronged.	Wrongfully convicted prisoners	The assumption is that wrongfully convicted prisoners deserve justice and a chance to be free.	10.0	Person X's action aligns with the universal moral principle of treating humanity as an end in itself.	4.0	Working to release wrongfully convicted prisoners is a highly moral act that upholds justice and human dignity.	3.27	train		
42	Effron	Gave his coat to someone when it was cold	orig		He	Capable of empathy and kindness	Someone in need of warmth	In need of help and compassion	9.0	The action demonstrates treating others with kindness and empathy, not just as a means to an end.	3.0	The action aligns with Kant's categorical imperative, treating the affected party as an end in itself.	3.04	train		
43	Effron	Kicked a stray cat to get it to leave his yard	orig		The person who kicked the stray cat	The agent assumed the right to protect his property	The stray cat	The affected party assumed to be a nuisance	2.0	The action treats the cat solely as a means to an end, disregarding its inherent value.	-3.0	Kicking a defenseless animal for personal gain is morally unacceptable.	-3.048	train		
44	Effron	Tricked a stay at home mom into donating to a fake charity	orig		The agent was a scammer.	The agent assumed the stay at home mom was gullible.	The party being affected was the stay at home mom.	The assumption made about the affected party was that she was kind-hearted and willing to help others.	2.0	The action clearly treats the stay at home mom as a means to an end, using her for personal gain.	-3.0	Tricking someone into donating to a fake charity is morally unacceptable and manipulative.	-3.088	train		
45	Mickelberg	Person X volunteers at a dog refuge, walking the dogs and cleaning their kennels once a week.	orig		Person X	Person X is a volunteer at a dog refuge	Dogs at the refuge	The dogs are being cared for and given attention	9.0	Person X is treating the dogs with care and respect, not just using them for personal gain.	3.0	Person X's actions are morally commendable as they are treating the dogs as ends in themselves.	2.67	train		
46	Mickelberg	Person X buys a loaf of bread every day, as they love the smell of freshly baked bread in the morning.	orig		Person X	Person X enjoys the smell of freshly baked bread in the morning.	Person X	Person X enjoys the smell of freshly baked bread in the morning.	2.0	Person X's action is driven by personal pleasure, not considering others' interests. (selfish)	2.0	The action is somewhat morally acceptable as it brings personal joy without harming others.	0.2	train		
47	Mickelberg	Person X cleaned the bookshelf and picked up some items that had dropped onto the floor.	orig		Person X	Person X is capable of making rational decisions.	Items that had dropped onto the floor	The items are inanimate objects and do not have moral worth.	8.0	The action of cleaning and picking up items shows respect for the environment and property.	3.0	The action aligns with Kant's categorical imperative by treating the items with respect.	1.0	train		
48	Clifford	You see a teenage girl wearing a long trench coat on a hot summer afternoon.	orig		Teenage girl	She may be feeling cold despite the hot weather or trying to make a fashion statement.	Observers in the vicinity	They may assume she is strange or eccentric.	3.0	The action may not treat the observers as an end in themselves, as it could lead to negative assumptions about the girl.	1.0	The scenario is somewhat morally acceptable but could be improved by considering the impact on others.	-0.2	train		
49	Clifford	You see a pastor banning his congregants from wearing bright colors in the church.	orig		The pastor	The pastor believes that bright colors are distracting or inappropriate in a church setting.	The congregants	The congregants may feel restricted or judged for their choice of clothing.	2.0	The action restricts individual expression and treats congregants as a means to the pastor's preferences.	-2.0	Banning bright colors limits personal freedom but may be well-intentioned.	-2.6	train		
50	Mickelberg	Person X always pays off their debts first before buying things for themselves.	orig		Person X	Person X values responsibility and prioritizes fulfilling obligations.	Creditors or individuals owed money	Assumed the affected party values timely repayment and financial responsibility.	9.0	Person X's action respects the dignity and autonomy of creditors, treating them as ends in themselves.	3.0	Prioritizing debt repayment demonstrates moral integrity and respect for others.	1.85	train		
51	Kruepke	My mother would always bring home clothes for me that I hated and would never wear. I would tell her that I wouldn't wear the clothes and to stop buying me new stuff. She would get really mad at me.	orig		Mother	Assumed she was trying to provide for her child	Child	Assumed the child had preferences and autonomy	2.0	The action disregards the child's autonomy and treats them as a means to fulfill the mother's desires.	1.0	The mother's actions are somewhat morally acceptable as she may have good intentions.	-0.44	train		
52	Effron	Lent money to a friend in a financial crisis	orig		I	Assumed I am a person with the capacity to lend money	Friend in a financial crisis	Assumed the friend genuinely needed help	9.0	Act of lending money can be willed as a universal law of helping others in need	3.0	Helping a friend in need is morally acceptable	2.4	train		
53	Mickelberg	Person X saved a man who was about to be hit by a car by jumping in front of the car and pushing him out of the way.	orig		Person X	Person X assumed the risk of being hit by the car to save the man.	The man who was about to be hit by the car	The man was in danger and needed help.	10.0	Person X's action prioritized saving the man's life, treating him as an end in itself.	4.0	Person X's action is highly moral as it follows Kant's categorical imperative.	3.38	train		
54	Clifford	You see an employee at a morgue eating his pepperoni pizza off of a dead body.	orig		The employee at the morgue	The employee is aware of his actions and their consequences	The dead body	The dead body is being treated merely as a means to satisfy the employee's hunger	1.0	The action completely disregards the dignity of the dead body, treating it as a mere object.	-3.0	Eating off a dead body goes against the principle of treating humanity as an end in itself.	-3.2	train		
55	Clifford	You see an employee lying about how many hours she worked during the week.	orig		The employee	The employee is lying about her hours worked	The employer	The employer assumes the employee is being honest	2.0	The action treats the employer as a means to get paid for unworked hours	-3.0	Lying about hours worked is deceitful and unethical	-2.9	train		
56	Effron	Pushed into the front of a line at a theater	orig		Person A	Person A assumed they were entitled to cut in line.	People waiting in line at the theater	Assumed they were being treated unfairly and as a means to an end.	2.0	The action clearly treats others as a means to an end, disregarding their rights and fairness.	-2.0	Cutting in line is disrespectful and unfair, but not the most immoral action.	-1.91111104	train		
57	Mickelberg	Person X called a waitress 'dummy' and did not leave a tip, because they didn't like her name.	orig		Person X	They are capable of making rational decisions.	Waitress	She is a human being deserving of respect.	2.0	The action treats the waitress as a means by disrespecting her based on her name.	-3.0	The action is morally unacceptable as it fails to treat the waitress as an end in herself.	-2.98	train		
58	Clifford	You see a story about a remote tribe eating the flesh of their deceased members.	orig		The remote tribe members	They believe in their cultural practices and traditions	Deceased members of the tribe	They are no longer alive to be affected by the action	2.0	The action treats the deceased members as a means to sustain the living tribe members, not as an end in itself.	-3.0	While the action may be culturally accepted within the tribe, it goes against Kant's categorical imperative.	-2.3	train		
59	Cook	Someone brags on social media about drinking excessively to the point of vomiting	orig		The agent is the person who bragged about drinking excessively.	The assumption is that the person values social approval and attention.	The affected party is the audience on social media who read the bragging post.	The assumption is that the audience may be influenced by the behavior or find it entertaining.	2.0	The action treats the audience as a means for attention-seeking behavior.	-2.0	Bragging about harmful behavior for attention is morally questionable.	-1.19	train		
60	Effron	Didn't leave a tip at the restaurant	orig		John	Assumed John had enough money to leave a tip	Waiter at the restaurant	Assumed the waiter relies on tips for income	8.0	Leaving a tip is a common social norm that respects the dignity of the waiter.	-2.0	Not leaving a tip violates the principle of treating humanity as an end in itself.	-1.6571428	train		
61	Mickelberg	Person X released intimate photos of their ex-partner to their friends and then posted them to the internet.	orig		Person X	Person X assumed they had the right to share the intimate photos	Ex-partner	Ex-partner did not consent to the sharing of the intimate photos	1.0	The action completely disregards the dignity and autonomy of the ex-partner, treating them solely as a means to an end.	-3.0	Sharing intimate photos without consent is a violation of privacy and autonomy, making it morally unacceptable.	-3.23	train		
62	Clifford	You see the US Ambassador joking in Great Britain about the stupidity of Americans.	orig		US Ambassador	They are a representative of the United States and should act professionally.	Americans	They are being insulted and treated as inferior.	2.0	The action treats Americans as a means for the Ambassador's amusement, not respecting their dignity.	-3.0	Insulting a group of people for entertainment is morally unacceptable.	-2.8	train		
63	Kruepke	My current lover often complains about our sex life, saying we don't do it enough. Sometimes I will watch online porn and masturbate instead. Sometimes, I feel like it's just easier and more fun to do that.	orig		The agent is the current lover	The agent is assumed to be in a committed relationship with the affected party	The affected party is the current lover	The affected party is assumed to desire a fulfilling sex life with the agent	2.0	The action treats the affected party as a means to fulfill the agent's sexual desires rather than considering their feelings and needs.	-2.0	The scenario is morally questionable as it prioritizes the agent's pleasure over the affected party's emotional well-being.	-0.35	train		
64	Effron	Had a welcoming party for some new neighbors	orig		I organized the welcoming party for the new neighbors.	The agent assumed the new neighbors would appreciate the gesture.	The new neighbors were the party being affected by this action.	The affected party assumed the welcoming party was a friendly gesture.	9.0	The action of organizing a welcoming party for new neighbors aligns with treating humanity as an end in itself.	3.0	The scenario is morally acceptable as it promotes goodwill and community building.	1.97777784	train		
65	Lotto	You are the commander of a Russian military submarine on a mission. You have been trapped for days at the bottom of the Pacific Ocean without energy. You have already asked for help several times, but there are no ships or submarines in the nearby waters and help is taking time to arrive. There are six crew members with you on board and your food supplies are getting low.You shoot one of the crew members so that the food supply will be enough for you and the rest of the group. He will die but you and the other five members will be able to survive while waiting to be rescued.	orig		The commander of the Russian military submarine	The commander is in a position of authority and responsibility for the crew's survival.	One of the crew members	The crew member is a fellow human being in a vulnerable situation.	2.0	The action prioritizes the survival of the majority over the individual, treating the affected party as a means to an end.	-2.0	The action is morally questionable as it sacrifices one individual for the benefit of the group.	-1.43	train		
66	Clifford	You see a boy turning up the TV as his father talks about his military service.	orig		The boy	The boy is trying to drown out his father's conversation	The father	The father is being ignored by the boy	2.0	The action of turning up the TV while his father talks shows a lack of respect for the father's words, treating him merely as a means to an end.	-2.0	The boy's action is somewhat disrespectful but not extremely immoral.	-2.1	train		
67	Kruepke	I was working at a fast food restaurant and the policy was to throw away the excess food at the end of the night. Even if there was a large quantity of food left over you had to throw it away. Instead my friend and I would take home the extra food.	orig		I	They were willing to break the policy for personal gain.	Fast food restaurant	They would lose potential profit from selling the excess food.	2.0	The action prioritizes personal gain over following the policy and potential profit for the restaurant.	-2.0	Taking home excess food without permission is morally questionable.	0.39	train		
68	Mickelberg	Person X left their long-term band as soon as an opportunity came up to play with a more successful band.	orig		Person X	Person X values personal success over loyalty to their long-term band.	Long-term band	The long-term band is being used as a stepping stone for personal gain.	2.0	The action treats the long-term band as a means to achieve personal success, not as an end in itself.	-2.0	Leaving a band solely for personal gain is morally questionable.	-0.81	train		
69	Lotto	You are in charge of an expedition which is crossing the Sahara. A sand storm causes your jeep to swerve off the road and overturn in the middle of the desert. You know that the nearest oasis is a week’s walk away. There are eight of you and a very limited amount of water, which will not allow you all to survive the scorching heat.You shoot two people so that there will be enough water for you and the rest of the group. These two will die, but you and the other five will be able to survive.	orig		Expedition leader	Assumed to be making decisions for the group's survival	Two individuals shot	Assumed to be sacrificing for the greater good of the group	2.0	The action prioritizes the survival of the majority over the minority, treating the affected party as a means to an end.	-2.0	The action is morally questionable as it sacrifices individuals for the benefit of the group.	-1.57	train		
70	Mickelberg	Person X was able to convince their boss that they were ready for a promotion at work.	orig		Person X	Person X is ambitious and believes they have the skills for the promotion.	Person X's boss	The boss values Person X's skills and potential for the promotion.	9.0	Person X convinced their boss based on their skills and potential, treating themselves as an end.	3.0	Person X's action is morally acceptable as they are not exploiting their boss.	0.52	train		
71	Clifford	You see a woman getting hired only because her father is close friends with the boss.	orig		The boss	The boss values personal connections over qualifications	The woman who got hired	The woman's qualifications were not the primary factor in her hiring decision	2.0	The action treats the woman as a means to benefit her father, not as an end in herself.	-2.0	Using personal connections over qualifications is morally questionable.	-2.4	train		
72	Effron	Stole into a parking place while someone else was backing in	orig		The person who stole into the parking place	The agent assumed they were more entitled to the parking spot than the other driver.	The person who was backing into the parking place	The affected party assumed they had the right to the parking spot they were backing into.	2.0	The action treats the affected party merely as a means to an end, disregarding their rights and entitlements.	-3.0	The scenario is morally unacceptable as it violates the principle of treating humanity as an end in itself.	-1.93846152	train		
73	Kruepke	A few years ago, I was single and I went to see a friend of mine in the Bahamas. I was extremely attracted to a man I met there who was married. I danced as close to the fire as I could, but I did nothing.	orig		I	I was single and attracted to a married man	The married man	Assumed the man values his marriage	2.0	The action disregards the man's marriage and treats him as a means for personal satisfaction.	-2.0	Engaging in romantic pursuits with a married person is morally questionable.	-0.71	train		
74	Kruepke	As I was backing out of a parking lot I bumped a parked car and left a minor dent. I didn't even feel the impact when I hit the car but it left a little bit of damage. I drove away without leaving a message or trying to contact the person.	orig		The driver who bumped the parked car	The agent assumed they could avoid responsibility for their actions	The owner of the parked car	The affected party assumed their property would be respected	2.0	The action disregards the owner's property rights and treats them as a means to avoid consequences.	-3.0	Leaving the scene without taking responsibility is morally unacceptable.	-1.93	train		
75	Lotto	You are a nurse who is in charge of a machine which controls drug dosage levels in patients’ blood. Because of a technical failure, the machine is supplying a lethal dose of the drug to four patients. Another patient, in a single room, is hooked up to the same machine and has not undergone any variation in dosage.Press the button to block the drug supply to the four patients. You know that the overdose of drug will be redirected to the patient in the single room, who will die, but the other four will be saved.	orig		The nurse	The nurse assumed the responsibility of controlling the drug dosage levels in patients' blood.	The patients receiving the lethal dose of the drug	The patient in the single room	9.0	The action prioritizes saving the majority of patients, treating them as ends in themselves.	3.0	The nurse made a difficult decision to save the majority, sacrificing one life.	-1.16	train		
