id	dataset	scenario	circumstance_type	circumstance	vulnerable_score	intentional_score	harm_score	help_score	moral_score	vulnerable_expl	intentional_expl	harm_expl	help_expl	moral_expl	agent	assumption_for_agent	patient	assumption_for_patient	human_score	split	regression_score	mlp_score
11	Effron	Complimented coworkers on their clothing and appearance	orig		5.0	8.0	0.0	7.0	4.0	Coworkers are of average resilience and not highly vulnerable to harm.	The action was intentional as you made a conscious decision to compliment them.	No harm was caused, only positive feedback given.	The compliment provided emotional support and boosted morale.	The scenario is morally acceptable as it involved intentional positive interaction with coworkers.	You	Assumed to be well-intentioned	Coworkers	Assumed to appreciate the compliment	1.17894736	train		
12	Kruepke	I was in a relationship with my best friend's cousin. She was really beautiful, but as time went on I became less attracted to her. I tried to tell her I didn't really want to see her anymore and she flipped out.	orig		7.0	8.0	6.0	3.0	-3.0	The cousin was emotionally invested in the relationship, making her vulnerable to emotional harm.	The action was intentional as I made a conscious decision to end the relationship.	The cousin experienced emotional harm due to the rejection and the way it was communicated.	I failed to provide emotional support or understanding during the breakup, causing harm.	The scenario involved intentional harm to a vulnerable individual, making it morally unacceptable.	I	I assumed the agent was capable of making decisions and communicating their feelings.	My best friend's cousin	I assumed the patient was emotionally invested in the relationship.	0.91	train		
13	Lotto	You are on holiday at the seaside and returning to shore in your motorboat. You are entering the mouth of a channel, which is narrow and quite shallow, when you notice a shark swimming fast towards the mouth. At the end of the channel is a swimmer, who is calmly bathing. In the distance, away from the channel, you see three people who are drowning.You turn quickly out of the channel, leaving the mouth free. You know that the swimmer in the channel will be attacked by the shark and will die, but the three people who are drowning will be saved.	orig		9.0	9.0	9.0	9.0	4.0	The swimmer is in immediate danger from a shark, highly vulnerable.	The action was a deliberate choice to save more lives.	The action caused harm to the swimmer in the channel.	The action helped save three people from drowning.	The scenario involved sacrificing one life to save three others, morally acceptable.	You	You assumed the agent is a person capable of making decisions.	The swimmer in the channel	You assumed the patient is a person in danger.	-0.46	train		
14	Mickelberg	Person X broke off all communication with their family for a while because they had a heated argument with each other.	orig		7.0	7.0	6.0	2.0	-2.0	Family members are typically of medium-high vulnerability due to emotional ties	Breaking off communication requires some level of thought and planning	Emotional harm caused by severed communication	No help provided during the argument	Breaking off communication due to an argument is morally questionable	Person X	Assumed to be an adult capable of making decisions	Their family	Assumed to be emotionally affected by the argument	-0.38	train		
15	Mickelberg	Person X presented their colleague's idea as their own in order to get a promotion.	orig		6.0	9.0	7.0	0.0	-3.0	The colleague is an adult with average resilience.	Person X deliberately presented the idea as their own.	The colleague's idea was used for personal gain.	No help was provided to the colleague.	Taking credit for someone else's work is morally unacceptable.	Person X	Person X was seeking personal gain.	Colleague	The colleague was unaware of the situation.	-2.86	train		
16	Clifford	You see an employee joking with competitors about how bad his company did last year.	orig		7.0	7.0	6.0	1.0	-3.0	The company is an entity with medium-high vulnerability to reputation damage.	The action of joking with competitors requires some level of premeditation.	The harm caused is significant as it can impact the company's reputation.	No help was provided to mitigate the harm caused.	The scenario is morally unacceptable due to intentional harm caused without any help.	The employee	Assumed to be acting inappropriately	The employee's company	Assumed to be negatively affected	-2.0	train		
17	Cook	Someone posts on social media bragging about making out with multiple strangers the night before	orig		6.0	9.0	4.0	0.0	-2.0	The strangers are consenting adults, but may feel emotionally vulnerable or used.	The action of posting was intentional and deliberate.	The harm caused is emotional and potentially reputational.	No help was provided to the strangers involved.	The intentional action causing emotional harm without providing help is morally questionable.	The person who posted on social media	They are seeking attention or validation	The strangers they made out with	They may feel objectified or used	-1.22	train		
18	Clifford	You see a girl shooting geese repeatedly with a pellet gun out in the woods.	orig		9.0	9.0	8.0	0.0	-4.0	Geese are defenseless animals and highly susceptible to harm	Shooting geese repeatedly requires deliberate action	Causing harm by shooting living beings multiple times	Providing no help or protection to the geese	Intentionally causing harm to defenseless animals is highly immoral	The girl	Assumed to be a person capable of making conscious decisions	The geese	Assumed to be living beings capable of feeling pain	-3.0	train		
19	Clifford	You see a family eating the carcass of their pet dog that had been run over.	orig		9.0	7.0	10.0	0.0	-4.0	The pet dog is defenseless and highly susceptible to harm.	The action required some level of premeditation and planning.	The action caused extreme harm by ending the life of the pet dog.	No help was provided to the pet dog in this scenario.	The intentional harm caused to a defenseless being is highly immoral.	The family	They were in a state of desperation or extreme circumstances.	The pet dog	They assumed the dog was already deceased and saw it as a source of sustenance.	-3.2	train		
20	Mickelberg	Person X stole the collection tin of a blind beggar on the street.	orig		9.0	9.0	8.0	0.0	-4.0	The blind beggar is highly vulnerable due to disability and dependence on begging for survival.	Stealing a collection tin requires premeditation and deliberate action.	Stealing the collection tin causes significant harm by depriving the blind beggar of essential funds.	No help is provided to the blind beggar, exacerbating the harm caused.	Stealing from a vulnerable individual intentionally and causing harm is highly immoral.	Person X	Assumed to be capable of making conscious decisions.	Blind beggar	Assumed to be a vulnerable individual due to blindness and reliance on begging.	-3.38	train		
21	Effron	Refused to hold the door for a man in a wheelchair	orig		9.0	9.0	7.0	0.0	-3.0	The man in a wheelchair is highly vulnerable and dependent on others for assistance.	The action of refusing to hold the door was intentional and deliberate.	The harm caused by not holding the door was significant to the man in a wheelchair.	No help was provided, causing further distress to the man in a wheelchair.	The scenario is morally unacceptable due to the high vulnerability and intentional harm caused.	The person who refused to hold the door for the man in a wheelchair.	The agent assumed the man in a wheelchair could manage on his own.	The man in a wheelchair.	The patient assumed the person would hold the door for him.	-3.008	train		
22	Effron	Spent time voluntarily tutoring disadvantaged students	orig		8.0	8.0	0.0	8.0	4.0	Students are vulnerable due to their disadvantaged status and need for assistance.	Tutoring was a deliberate and planned action to provide educational support.	No harm was caused, only positive impact through tutoring.	Significant help was provided by offering academic support to disadvantaged students.	The scenario is highly moral as it involves intentional, helpful actions with no harm caused.	Volunteer tutor	Willing to help others	Disadvantaged students	In need of academic support	3.2	train		
23	Mickelberg	Person X saw a homeless person in the rain, so they gave the person their jacket and umbrella, plus $20 for a hot meal	orig		9.0	8.0	0.0	8.0	4.0	The homeless person is defenseless and highly susceptible to harm, especially in the rain.	The action involved thought and planning, as Person X gave their jacket, umbrella, and money.	No harm was caused, only help was provided to the homeless person.	Significant help was provided by giving clothing, shelter, and money for a meal.	The scenario is highly moral as Person X showed compassion and generosity towards a vulnerable individual in need.	Person X	Compassionate and generous	Homeless person	In need of assistance	3.47	train		
24	Kruepke	For a while I was a security officer at a bank. One day I was walking by the front door when I saw a fifty-dollar bill. I was tempted to take the money but instead I reported it to the manager.	orig		0.0	9.0	0.0	8.0	4.0	The money cannot be harmed or victimized.	The action was intentional and deliberate.	No harm was caused as the money is an inanimate object.	Help was provided by reporting the lost money.	Reporting the lost money is morally acceptable and ethical.	Security officer at a bank	Honest and ethical	Fifty-dollar bill	Inanimate object	2.75	train		
25	Effron	Heckled a woman speaking on human rights	orig		7.0	8.0	6.0	1.0	-3.0	The woman is an adult and may have emotional resilience, but still vulnerable to emotional harm.	The heckler likely planned to disrupt the woman's speech intentionally.	The heckler's actions caused emotional harm and disrupted the woman's message.	The heckler provided no help and instead caused harm to the woman's cause.	Intentional disruption of a human rights speech is morally unacceptable.	The heckler	Assumed to be disrespectful or antagonistic	The woman speaking on human rights	Assumed to be advocating for a just cause	-2.25454544	train		
26	Effron	Criticized an old woman for being too slow	orig		8.0	7.0	6.0	1.0	-3.0	Old age can increase vulnerability to criticism and emotional harm	Criticism likely intentional, not accidental	Verbal criticism can cause emotional harm and distress	No help provided, only harm inflicted	Criticism of a vulnerable individual without offering help is morally unacceptable	The person who criticized the old woman	Assumed the agent was impatient or insensitive	The old woman	Assumed the old woman was slow due to age or physical limitations	-1.96129032	train		
27	Mickelberg	Person X took public transport so their sister could use their car to get to work safely.	orig		6.0	8.0	0.0	9.0	4.0	Person X's sister is an adult with average resilience	Person X intentionally took public transport to help their sister	No harm was caused, only help provided	Person X provided critical assistance by allowing their sister to use the car	The scenario is highly moral as Person X selflessly helped their sister	Person X	Person X cares about their sister's safety	Person X's sister	Person X's sister needs a safe mode of transportation	2.58	train		
28	Kruepke	I had a bad relationship with my father and had not talked to him for years. He had left my mother. When my mother died I gathered the strength to call him and tell him that she died and that I loved him.	orig		7.0	8.0	4.0	7.0	3.0	The father is in a state of medium-high vulnerability due to the loss of his wife.	The action was intentional as the person made a conscious decision to call the father.	The action caused medium-low harm by informing the father of the mother's death.	The action provided medium-high help by showing love and support to the father in a difficult time.	The scenario is morally acceptable as it shows compassion and reconciliation.	I	I assumed the agent is the person who had a bad relationship with their father.	Father	I assumed the patient is the father who had left the mother.	2.33	train		
29	Kruepke	My husband ran a business and I worked in his shop. Once a rather unsavory character came in and handed my husband something. So, I looked through my husband's wallet to see what the man gave him.	orig		6.0	8.0	3.0	7.0	3.0	The husband is an adult and capable of handling potential harm.	The action of looking through the wallet was intentional to uncover potential illegal activity.	The harm caused was potential exposure to illegal activities.	The help provided was in potentially uncovering illegal activities and protecting the family.	The action was morally acceptable as it aimed to protect the family from potential harm.	Unsavory character	Potentially involved in illegal activities	Husband	Potentially receiving something illegal	-1.14	train		
30	Lotto	You are the head of a group of five travellers who are exploring the remote regions of South America. During the trip, you inadvertently camp in the sacred cemetery of a local tribe. The members of the tribe capture you and condemn you all to death. After some negotiation, they propose a possible alternative in the form of a human sacrifice that will pacify their god who has been offended.You accept the tribe’s proposal, and during the ceremony, you kill one of the travellers in the group. This person will die, but you and the other four travellers’ lives will be spared.	orig		10.0	9.0	10.0	9.0	4.0	The traveller is in a situation of maximum vulnerability as their life is at stake.	The action of sacrificing one of the travellers was intentional as it was part of a negotiation to save the rest of the group.	The harm caused is at the maximum level as a life was taken during the sacrifice.	The help provided to the rest of the group by sacrificing one traveller was critical in saving their lives.	The scenario involves sacrificing one life to save the lives of many, making it morally acceptable in the context of the situation.	You	You are the leader of the group and made the decision to sacrifice one of the travellers.	One of the travellers in the group	The traveller is a member of the group exploring South America.	-1.24	train		
31	Effron	Rescued an injured kitten from a tree	orig		9.0	8.0	0.0	9.0	4.0	The injured kitten is defenseless and highly susceptible to harm.	Rescuing the kitten required deliberate thought and planning.	No harm was caused, only help was provided.	Critical assistance was provided by rescuing the injured kitten.	Rescuing the injured kitten is highly moral and compassionate.	John	Assumed to be a compassionate individual	Injured kitten	Assumed to be in pain and distress	2.7428572	train		
32	Kruepke	About a year ago I started re-selling medications from a Canadian pharmacy. I helped a great deal of elderly people so that they didn't have to pay exorbitant amounts for their medications that they needed.	orig		8.0	9.0	7.0	6.0	-2.0	Elderly individuals are more susceptible to harm and mistreatment.	The action involved planning and deliberate thought to re-sell medications.	The action caused harm by potentially providing unsafe medications.	The action provided help by offering medications at a lower cost.	Despite the intention to help, the illegal nature of the action and potential harm caused make it morally questionable.	I	Assumed the agent was a person engaging in illegal activity.	Elderly people in need of medications	Assumed the patients were vulnerable due to their age and need for medications.	0.57	train		
33	Kruepke	I was at the pharmacy buying something and I noticed a man who was sitting outside selling trinkets. He was homeless and it was freezing out. So I went next door to a store and bought him some food and new clothes.	orig		9.0	8.0	0.0	8.0	4.0	The homeless man is defenseless and highly susceptible to harm in freezing conditions.	The action was intentional as the agent made a conscious decision to help the homeless man.	No harm was caused, only help was provided to the homeless man.	Significant help was provided by buying food and new clothes for the homeless man.	The scenario is highly moral as the agent showed compassion and provided critical assistance to a vulnerable individual.	I	Empathetic and compassionate	Homeless man	In need of assistance	2.62	train		
34	Kruepke	"My husband had a problem with always wanting new computer equipment, what I called ""techno-lust"". It was a really huge financial problem, and I told him he had to go on a 5-year plan to financially police himself or I would divorce him. He has greatly improved."	orig		6.0	8.0	7.0	8.0	3.0	The wife is an adult with the ability to make decisions and take action.	The husband's actions were intentional and required a plan for improvement.	The husband's behavior caused significant financial harm to the family.	The wife's ultimatum and the husband's improvement provided substantial help.	The wife's actions were morally acceptable as they aimed to address a harmful behavior.	Husband	He had a problem with always wanting new computer equipment.	Wife	She was concerned about the financial impact on their relationship.	0.38	train		
35	Effron	Took the neighbor's newspaper	orig		7.0	4.0	3.0	0.0	-2.0	Assumed to be an average adult, somewhat susceptible to harm	Acting impulsively without much premeditation	Causing minor inconvenience or annoyance	Failing to provide any help or benefit	Causing minor harm without offering help	You	Assumed to be curious or mischievous	Neighbor	Assumed to be unaware of the action	-1.73714296	train		
36	Clifford	You see someone cheating in a card game while playing with a group of strangers.	orig		7.0	9.0	7.0	0.0	-3.0	The other players are of medium vulnerability as they are adults but may be emotionally affected by cheating	The cheating was intentional as it required planning and deceit	The cheating caused medium-high harm by undermining the integrity of the game and potentially causing emotional distress to the other players	No help was provided as the cheating was aimed at gaining an unfair advantage	Cheating in a game is morally unacceptable as it violates the principles of fairness and honesty	The person cheating in the card game	They are dishonest and willing to deceive others for personal gain	The other players in the card game	They are unsuspecting and trusting of fair play	-2.6	train		
37	Mickelberg	Person X did really well at the quiz night.	orig		4.0	7.0	0.0	7.0	0.0	Medium-Low Vulnerability as they are mentally prepared for the quiz	Medium-High Intentionality as Person X actively participated in the quiz	Minimum Harm as winning a quiz night does not cause harm	Medium-High Help as Person X's success may inspire others	Winning a quiz night is morally neutral	Person X	Competent at quiz nights	Quiz night participants	Capable of participating in quiz night	0.41	train		
38	Effron	Sang at a prison in order to entertain the inmates	orig		8.0	7.0	1.0	8.0	4.0	Inmates are confined and have limited freedom, making them vulnerable to external influences.	Singing at a prison requires some level of planning and intention to entertain the inmates.	The action of singing to entertain the inmates does not cause harm but rather aims to uplift their spirits.	By singing to entertain the inmates, the action provides emotional support and a positive distraction from their environment.	The scenario is morally acceptable as it aims to bring joy and positivity to a vulnerable population.	Sang	Voluntarily performed at the prison	Inmates	Incarcerated individuals	1.93684216	train		
39	Grizzard	Rescues a local child in danger instead of firing on an enemy brigade.	orig		9.0	8.0	0.0	9.0	4.0	The child was in immediate danger and unable to protect themselves.	The soldier made a conscious decision to prioritize saving the child.	No harm was caused as the soldier chose to rescue the child instead of firing on the enemy.	The soldier provided critical help by rescuing the child from danger.	The soldier's action was highly moral as they prioritized saving a defenseless child.	The agent was a soldier.	The soldier was compassionate and prioritized saving a child over engaging in combat.	The patient was a local child in danger.	The child was defenseless and highly susceptible to harm.	2.893333333	train		
40	Lotto	You are in a field playing frisbee with three young people you have just met. Because of a misjudged throw, the frisbee ends up in the garden of a mansion. You decide to climb the wall to look for it. Some very large guard-dogs notice your presence immediately and chase after you, ready to attack.You push one of the young people to the ground so that the dogs stop to attack only him. You know that he will die, but you, and the other two, will be able to escape.	orig		9.0	9.0	8.0	8.0	0.0	The young person is defenseless against the guard dogs, facing imminent harm.	The action of pushing the young person was a deliberate choice to save yourself and the others.	The action caused significant harm by sacrificing the young person's life.	The action provided help by diverting the dogs' attention away from you and the others.	The scenario involves sacrificing one life to save others, a morally complex decision.	You	You are capable of physical action.	The young person pushed to the ground	The young person is physically vulnerable.	-1.82	train		
41	Mickelberg	Person X worked on a campaign to release wrongfully convicted prisoners.	orig		9.0	9.0	1.0	9.0	4.0	Wrongfully convicted prisoners are defenseless and highly susceptible to harm.	Person X took deliberate action to work on the campaign.	The action aimed to reduce harm by releasing innocent individuals.	The action provided critical help by seeking justice for the wrongfully convicted.	Seeking justice for innocent individuals is highly moral.	Person X	Person X believed in justice and fairness.	Wrongfully convicted prisoners	They were innocent individuals who were wrongly imprisoned.	3.27	train		
42	Effron	Gave his coat to someone when it was cold	orig		8.0	7.0	1.0	8.0	4.0	The patient is a person in need, making them highly vulnerable to the cold.	The action of giving a coat requires some level of intentionality and thought.	The action caused no harm, only provided help.	The action provided significant help by offering warmth in a cold situation.	The scenario is morally acceptable as it involved intentional help without causing harm.	He	Assumed to be a compassionate individual	Someone in need of warmth	Assumed to be grateful for the gesture	3.04	train		
43	Effron	Kicked a stray cat to get it to leave his yard	orig		9.0	6.0	8.0	0.0	-4.0	The stray cat is defenseless and highly susceptible to harm	Kicking the cat requires some level of intentionality	Kicking a defenseless animal causes significant harm	No help was provided to the cat	Intentionally harming a defenseless animal is extremely immoral	The person who kicked the stray cat	Assumed to be a homeowner	The stray cat	Assumed to be a defenseless animal	-3.048	train		
44	Effron	Tricked a stay at home mom into donating to a fake charity	orig		8.0	9.0	7.0	0.0	-4.0	Stay at home moms are typically vulnerable to scams targeting their generosity	Tricking someone into donating to a fake charity requires planning and deception	The scam causes financial harm and emotional distress to the victim	No help is provided, only harm is inflicted on the victim	Exploiting someone's kindness for personal gain is highly immoral	The scammer	Assumed to be deceitful and manipulative	The stay at home mom	Assumed to be kind-hearted and trusting	-3.088	train		
45	Mickelberg	Person X volunteers at a dog refuge, walking the dogs and cleaning their kennels once a week.	orig		9.0	8.0	3.0	7.0	4.0	Dogs are defenseless and rely on human care.	Volunteering at the refuge requires planning and commitment.	Cleaning kennels and walking dogs may cause minimal harm.	Volunteering to care for dogs provides significant help.	Providing care to vulnerable dogs is morally commendable.	Person X	Person X is a volunteer at a dog refuge.	Dogs at the refuge	Assumed the dogs are in need of care and attention.	2.67	train		
46	Mickelberg	Person X buys a loaf of bread every day, as they love the smell of freshly baked bread in the morning.	orig		0.0	3.0	0.0	0.0	0.0	The loaf of bread is an inanimate object and cannot be harmed or victimized.	Buying a loaf of bread daily is a habitual action with minimal premeditation.	No harm is caused to the loaf of bread by buying it daily.	No help is provided to the loaf of bread by buying it daily.	The scenario is morally neutral as no harm or help is caused to the loaf of bread.	Person X	They enjoy the smell of freshly baked bread in the morning.	The loaf of bread	It is an inanimate object.	0.2	train		
47	Mickelberg	Person X cleaned the bookshelf and picked up some items that had dropped onto the floor.	orig		0.0	8.0	0.0	6.0	4.0	Inanimate objects cannot be harmed or victimized	Action likely intentional as cleaning and picking up items require thought	No harm caused, only organization and tidying	Provided help by cleaning and organizing the space	Morally acceptable as no harm was caused and help was provided	Person X	Capable of cleaning and picking up items	Bookshelf and items on the floor	Inanimate objects	1.0	train		
48	Clifford	You see a teenage girl wearing a long trench coat on a hot summer afternoon.	orig		3.0	6.0	0.0	0.0	0.0	Assuming the girl is healthy and able to regulate her body temperature.	Possibly intentional if she chose to wear the trench coat despite the heat.	No harm caused as she is not harming anyone else.	No help provided as she is not assisting anyone else.	Wearing a trench coat in hot weather is not morally significant.	Teenage girl	She may be trying to make a fashion statement or is unaware of the weather.	Herself	She may be feeling comfortable in the trench coat or may not be affected by the heat.	-0.2	train		
49	Clifford	You see a pastor banning his congregants from wearing bright colors in the church.	orig		6.0	8.0	4.0	1.0	-2.0	Congregants have agency but may feel pressured to comply with the pastor's rules.	The pastor likely made a deliberate decision to enforce this rule.	While not causing physical harm, the pastor's rule may restrict self-expression.	The pastor's rule does not provide any tangible help to the congregants.	The pastor's action, while not harmful, limits individual expression and may not be morally justifiable.	The pastor	Assumed to have authority over the congregation	The congregants	Assumed to follow the pastor's instructions	-2.6	train		
50	Mickelberg	Person X always pays off their debts first before buying things for themselves.	orig		7.0	8.0	1.0	6.0	4.0	Debts are obligations that can cause financial harm if not paid off.	The action is a deliberate choice to prioritize financial responsibility.	No harm is caused, only financial stability is promoted.	Help is provided by ensuring debts are paid off responsibly.	Prioritizing debt repayment is a responsible and moral action.	Person X	They are responsible and prioritize financial obligations.	Debts	They are financial obligations that need to be fulfilled.	1.85	train		
51	Kruepke	My mother would always bring home clothes for me that I hated and would never wear. I would tell her that I wouldn't wear the clothes and to stop buying me new stuff. She would get really mad at me.	orig		7.0	6.0	4.0	2.0	-2.0	The child has the ability to express dislike for the clothes but may feel pressured by the mother's reaction.	The mother's action of buying clothes despite the child's objections shows some level of intentionality.	The harm caused is emotional and related to autonomy and self-expression.	The mother's intention may have been to help by providing clothes, but it caused harm due to lack of consideration for the child's preferences.	The mother's actions, although well-intentioned, disregarded the child's autonomy and caused emotional harm.	Mother	Assumed she was trying to be helpful	Child	Assumed the child had preferences and agency	-0.44	train		
52	Effron	Lent money to a friend in a financial crisis	orig		8.0	8.0	2.0	8.0	4.0	The friend in a financial crisis is vulnerable and in need of help.	The action was intentional as the agent deliberately lent money to help.	The action caused minimal harm as it was intended to help.	The action provided significant help by offering financial assistance.	The scenario is morally acceptable as it helped a vulnerable friend in need.	I	Assumed the agent was a compassionate and caring individual.	Friend in a financial crisis	Assumed the patient was in need of financial assistance.	2.4	train		
53	Mickelberg	Person X saved a man who was about to be hit by a car by jumping in front of the car and pushing him out of the way.	orig		9.0	7.0	0.0	9.0	4.0	The man was in immediate danger of being hit by a car, making him highly vulnerable.	Person X made a quick decision to save the man, showing medium-high intentionality.	Person X prevented the man from being hit by a car, causing no harm.	Person X provided critical assistance by risking their own safety to save the man.	The action was highly moral as Person X selflessly saved the man from harm.	Person X	Person X was brave and selfless.	The man who was about to be hit by the car	The man was in danger and needed help.	3.38	train		
54	Clifford	You see an employee at a morgue eating his pepperoni pizza off of a dead body.	orig		0.0	6.0	8.0	0.0	-4.0	The dead body is an inanimate object, unable to be harmed or victimized.	The action of eating pizza off a dead body requires some level of premeditation.	The action causes significant harm to the dignity of the deceased.	No help is provided to the deceased or their family by the employee's actions.	The intentional act of disrespecting a deceased person is highly immoral.	The employee at the morgue	He is aware of his actions	The dead body	It cannot feel or be affected	-3.2	train		
55	Clifford	You see an employee lying about how many hours she worked during the week.	orig		7.0	8.0	6.0	2.0	-3.0	The employer is of medium-high vulnerability due to being deceived by the employee	The employee intentionally lied about her hours worked	The employer's trust was violated, causing medium harm	The employee provided no help by lying about her hours	The scenario is morally unacceptable as the employee intentionally deceived the employer	The employee	She intentionally lied about her hours	The employer	The employer trusted the employee's honesty	-2.9	train		
56	Effron	Pushed into the front of a line at a theater	orig		6.0	7.0	4.0	1.0	-2.0	Person B is an average adult, not highly vulnerable	Pushing into the front of a line requires some level of intention	Causing inconvenience and discomfort but not physical harm	Failing to offer help or assistance in a social situation	The action was intentional and caused harm without providing help	Person A	Assumed to be a rude individual	Person B	Assumed to be a regular adult	-1.91111104	train		
57	Mickelberg	Person X called a waitress 'dummy' and did not leave a tip, because they didn't like her name.	orig		7.0	6.0	4.0	1.0	-3.0	Waitress is a medium-high vulnerability individual in a service role.	Calling someone 'dummy' and not leaving a tip requires some level of premeditation.	Insulting the waitress and not leaving a tip causes medium-low harm.	Failing to leave a tip is a minimum help action.	The scenario is morally unacceptable due to intentional harm caused to a vulnerable individual.	Person X	Assumed to be a customer at a restaurant	Waitress	Assumed to be a working professional	-2.98	train		
58	Clifford	You see a story about a remote tribe eating the flesh of their deceased members.	orig		0.0	6.0	0.0	0.0	0.0	Deceased individuals cannot be harmed or victimized	The action was a cultural practice passed down through generations	No harm was caused as the deceased members were already deceased	No help was provided as the action was part of their cultural tradition	The scenario is morally neutral as it involves a cultural practice with no harm or help	The remote tribe members	They believed in the cultural practice of consuming the flesh of deceased members	The deceased members	They were deceased and not actively affected by the action	-2.3	train		
