id	dataset	scenario	circumstance_type	circumstance	Q1_score	Q1_expl	Q2_score	Q2_expl	Q3_score	Q3_expl	Q4_score	Q4_expl	Q5_score	Q5_expl	Q6_score	Q6_expl	Q7_score	Q7_expl	moral_score	moral_expl	human_score	split	regression_score	mlp_score
17	Cook	Someone posts on social media bragging about making out with multiple strangers the night before	orig		5.0	Making out with multiple strangers does not directly relate to family values.	3.0	Engaging in casual encounters with strangers may not align with group loyalty.	4.0	The action does not necessarily involve reciprocity or mutual trust.	2.0	The action does not demonstrate heroic virtues like bravery or skill.	3.0	Engaging in such behavior may not reflect monkish virtues like humility or respect.	2.0	The action does not involve fairness in dividing resources or reaching a compromise.	5.0	Recognition of prior possession is not relevant in this scenario.	0.0	The scenario is morally neutral as it does not strongly align with any moral values.	-1.22	train		
18	Clifford	You see a girl shooting geese repeatedly with a pellet gun out in the woods.	orig		5.0	Shooting geese does not directly relate to family values.	5.0	The action does not involve group loyalty or collaboration.	5.0	There is no clear indication of reciprocity in this scenario.	2.0	Shooting geese does not demonstrate heroic virtues.	3.0	The action does not exhibit monkish virtues like humility or respect.	2.0	There is no element of fairness in shooting geese with a pellet gun.	5.0	The scenario does not involve recognition of prior possession.	0.0	The scenario is morally neutral as it does not strongly align with any moral values.	-3.0	train		
19	Clifford	You see a family eating the carcass of their pet dog that had been run over.	orig		2.0	Eating the pet dog shows a lack of caring for offspring and goes against family values.	2.0	Eating the pet dog does not show group loyalty as it goes against societal norms.	1.0	There is no reciprocity in eating the pet dog, as it does not involve trust or favors.	1.0	Eating the pet dog does not demonstrate bravery, fortitude, skill, or wit.	1.0	Eating the pet dog does not reflect humility, deference, obedience, or respect.	1.0	There is no fairness in eating the pet dog, as it is not a way to divide resources.	1.0	Eating the pet dog does not recognize or defer to prior possession.	-3.0	The scenario is morally unacceptable as it goes against various moral values.	-3.2	train		
20	Mickelberg	Person X stole the collection tin of a blind beggar on the street.	orig		1.0	Stealing from a blind beggar goes against caring for others.	2.0	Stealing from a vulnerable person shows lack of group loyalty.	1.0	Stealing does not reflect reciprocity or trust in others.	1.0	Stealing does not demonstrate heroic virtues like bravery or skill.	2.0	Stealing from a blind beggar shows lack of humility and respect.	1.0	Stealing is unfair and does not involve reaching a compromise.	1.0	Stealing does not recognize or defer to prior possession.	-4.0	Stealing from a blind beggar is highly immoral.	-3.38	train		
21	Effron	Refused to hold the door for a man in a wheelchair	orig		2.0	Refusing to help someone in need contradicts caring for others.	2.0	Not showing empathy towards a person in a wheelchair goes against group loyalty.	2.0	Not holding the door reflects a lack of reciprocity and gratitude.	2.0	Lack of empathy and compassion does not align with heroic virtues.	2.0	Disrespecting someone in need contradicts monkish virtues like humility and respect.	2.0	Not helping someone in need is unfair and lacks compromise.	2.0	Not holding the door shows a lack of recognition and respect for others.	-3.0	The scenario is morally unacceptable as it goes against various moral values.	-3.008	train		
22	Effron	Spent time voluntarily tutoring disadvantaged students	orig		8.0	Tutoring disadvantaged students reflects caring for others similar to caring for offspring.	9.0	Tutoring disadvantaged students fosters forming friendships and collaborative endeavors.	9.0	Tutoring disadvantaged students embodies reciprocity by helping those in need.	7.0	Tutoring disadvantaged students requires bravery and fortitude to face challenges.	8.0	Tutoring disadvantaged students demonstrates humility and respect for others' learning needs.	9.0	Tutoring disadvantaged students promotes fairness by providing equal educational opportunities.	8.0	Tutoring disadvantaged students acknowledges the prior lack of educational resources.	3.0	Tutoring disadvantaged students is morally acceptable as it embodies virtues and promotes equality.	3.2	train		
23	Mickelberg	Person X saw a homeless person in the rain, so they gave the person their jacket and umbrella, plus $20 for a hot meal	orig		8.0	Helping a stranger reflects caring for others, a core family value.	7.0	Showing compassion towards a homeless person aligns with group loyalty.	9.0	Giving to someone in need demonstrates reciprocity and kindness.	8.0	Sacrificing personal comfort for another person shows bravery and selflessness.	9.0	The act of giving without expecting anything in return reflects humility and generosity.	8.0	Sharing resources and providing aid to the less fortunate demonstrates fairness.	7.0	The act of giving possessions to someone in need shows recognition of their current situation.	3.0	The scenario is morally acceptable as it aligns with various virtues and values.	3.47	train		
24	Kruepke	For a while I was a security officer at a bank. One day I was walking by the front door when I saw a fifty-dollar bill. I was tempted to take the money but instead I reported it to the manager.	orig		8.0	Reporting the money reflects caring for others, including family members.	7.0	Reporting the money shows loyalty to the bank and its rules.	9.0	Reporting the money demonstrates trustworthiness and honesty.	8.0	Choosing honesty over temptation reflects bravery and moral fortitude.	7.0	Choosing honesty over personal gain shows humility and respect for rules.	8.0	Reporting the money is fair to the rightful owner and the bank.	9.0	Recognizing the bank's ownership of the money by reporting it.	3.0	The action is morally acceptable as it aligns with honesty and fairness.	2.75	train		
25	Effron	Heckled a woman speaking on human rights	orig		5.0	Heckling a woman speaking on human rights does not directly relate to family values.	2.0	Heckling shows a lack of respect and loyalty towards the group the woman represents.	2.0	Heckling does not demonstrate reciprocity or positive social interactions.	1.0	Heckling does not exhibit heroic virtues but rather displays aggression and disrespect.	1.0	Heckling goes against monkish virtues of humility, deference, and respect.	2.0	Heckling does not involve fairness or compromise but rather disrupts the speaker's message.	1.0	Heckling disregards the speaker's right to express their views, showing no deference to prior possession.	-3.0	The scenario is morally unacceptable as it lacks respect, fairness, and positive social values.	-2.25454544	train		
26	Effron	Criticized an old woman for being too slow	orig		2.0	Criticism of an old woman does not reflect caring for family members.	2.0	Criticism of an old woman does not show loyalty to a group.	2.0	Criticism of an old woman does not reflect reciprocity or gratitude.	2.0	Criticism of an old woman does not demonstrate heroic virtues.	2.0	Criticism of an old woman goes against monkish virtues like respect.	2.0	Criticism of an old woman does not reflect fairness or compromise.	2.0	Criticism of an old woman does not recognize or defer to prior possession.	-3.0	The scenario is morally unacceptable as it lacks empathy and respect.	-1.96129032	train		
27	Mickelberg	Person X took public transport so their sister could use their car to get to work safely.	orig		9.0	The action involves helping a family member, reflecting caring for offspring and family values.	8.0	The action involves sacrificing personal convenience for a family member, reflecting group loyalty.	7.0	The action involves reciprocating a favor by allowing the sister to use the car, reflecting reciprocity.	6.0	The action shows bravery in taking public transport instead of using their own car.	7.0	The action shows respect and deference towards the sister's need to get to work safely.	8.0	The action involves sharing resources (the car) fairly to ensure both parties benefit.	8.0	The action recognizes the sister's need for transportation and defers to her prior possession of the car.	3.0	Overall, the scenario is morally acceptable as it reflects positive values and behaviors.	2.58	train		
28	Kruepke	I had a bad relationship with my father and had not talked to him for years. He had left my mother. When my mother died I gathered the strength to call him and tell him that she died and that I loved him.	orig		8.0	Reaching out to a family member in a time of need demonstrates caring for offspring and helping family members.	7.0	Reconnecting with a family member shows favoring your own group and forming friendships.	6.0	Expressing love and informing about a death reflects reciprocity and seeking emotional support.	7.0	Showing emotional strength and courage to reach out after a difficult past reflects bravery and fortitude.	8.0	Expressing love and forgiveness towards a family member reflects humility and respect.	7.0	Taking the initiative to make amends and communicate shows a sense of fairness and compromise.	8.0	Acknowledging the prior relationship and reaching out demonstrates recognition of prior possession.	3.0	The action is morally acceptable as it reflects positive family values, reciprocity, and fairness.	2.33	train		
29	Kruepke	My husband ran a business and I worked in his shop. Once a rather unsavory character came in and handed my husband something. So, I looked through my husband's wallet to see what the man gave him.	orig		8.0	Looking through husband's wallet shows concern for family's well-being.	9.0	Protecting husband's business from potential harm by unsavory character.	7.0	Seeking to understand potential threat and protect family's interests.	6.0	Displaying curiosity and courage by investigating the situation.	4.0	Asserting independence and taking action to ensure safety of family.	6.0	Acting in self-interest to gather information and protect family.	7.0	Respecting husband's possession of wallet and investigating for family's sake.	3.0	Overall, the action is morally acceptable as it prioritizes family's safety and well-being.	-1.14	train		
30	Lotto	You are the head of a group of five travellers who are exploring the remote regions of South America. During the trip, you inadvertently camp in the sacred cemetery of a local tribe. The members of the tribe capture you and condemn you all to death. After some negotiation, they propose a possible alternative in the form of a human sacrifice that will pacify their god who has been offended.You accept the tribe’s proposal, and during the ceremony, you kill one of the travellers in the group. This person will die, but you and the other four travellers’ lives will be spared.	orig		8.0	Sacrificing one to save many reflects sacrificing for offspring and group survival.	9.0	Accepting the tribe's proposal shows loyalty to the group's survival.	7.0	Accepting the sacrifice as a form of reciprocity to avoid death.	8.0	Showing bravery by making a difficult decision to save the group.	2.0	Lack of humility and respect for the sanctity of life.	8.0	The decision to sacrifice one for the greater good shows fairness.	2.0	Disregarding the tribe's prior possession of the sacred cemetery.	3.0	The scenario is morally acceptable as it prioritizes group survival.	-1.24	train		
31	Effron	Rescued an injured kitten from a tree	orig		8.0	Rescuing an injured kitten demonstrates caring for offspring.	7.0	Rescuing the kitten shows loyalty to a vulnerable group member.	6.0	Rescuing the kitten reflects the act of reciprocating kindness.	9.0	Rescuing the kitten requires bravery and compassion.	8.0	Rescuing the kitten shows humility and compassion towards a weaker being.	7.0	Rescuing the kitten is a fair act of helping a creature in need.	5.0	Rescuing the kitten does not involve prior possession.	3.0	The scenario is morally acceptable as it reflects compassion, bravery, and fairness.	2.7428572	train		
32	Kruepke	About a year ago I started re-selling medications from a Canadian pharmacy. I helped a great deal of elderly people so that they didn't have to pay exorbitant amounts for their medications that they needed.	orig		8.0	Helping elderly people reflects caring for offspring and family members.	7.0	Assisting others in need shows group loyalty and collaboration.	9.0	Providing affordable medications demonstrates reciprocity and gratitude.	7.0	Helping others access necessary medications requires bravery and skill.	8.0	Assisting elderly individuals aligns with humility and respect.	8.0	Offering affordable medications promotes fairness and compromise.	7.0	Providing medications acknowledges the importance of prior possession.	3.0	Overall, the scenario is morally acceptable due to the positive impact on elderly individuals.	0.57	train		
33	Kruepke	I was at the pharmacy buying something and I noticed a man who was sitting outside selling trinkets. He was homeless and it was freezing out. So I went next door to a store and bought him some food and new clothes.	orig		8.0	Helping a homeless man reflects caring for others, a key family value.	7.0	Showing compassion towards a stranger demonstrates group loyalty.	9.0	Buying food and clothes for the homeless man reflects reciprocity and kindness.	8.0	Taking action to help someone in need shows bravery and compassion.	7.0	The act of helping a homeless man demonstrates humility and respect for others.	8.0	Providing food and clothes to the homeless man shows fairness and generosity.	8.0	Recognizing the homeless man's need and helping him shows deference to his situation.	4.0	The scenario is morally acceptable as it demonstrates compassion, kindness, and generosity.	2.62	train		
34	Kruepke	"My husband had a problem with always wanting new computer equipment, what I called ""techno-lust"". It was a really huge financial problem, and I told him he had to go on a 5-year plan to financially police himself or I would divorce him. He has greatly improved."	orig		8.0	The action reflects caring for family finances and stability.	7.0	The action shows loyalty to the family unit by addressing financial issues.	6.0	The action reflects reciprocity by setting boundaries and consequences for behavior.	7.0	The action shows fortitude in addressing a difficult issue within the family.	6.0	The action reflects humility by acknowledging and addressing a personal flaw.	7.0	The action shows fairness by setting a clear plan for improvement.	6.0	The action recognizes the need for change and improvement in behavior.	3.0	The scenario is morally acceptable as it addresses a harmful behavior with a clear plan for improvement.	0.38	train		
35	Effron	Took the neighbor's newspaper	orig		5.0	Taking the neighbor's newspaper does not directly relate to family values.	2.0	Taking the neighbor's newspaper may show a lack of group loyalty.	5.0	Taking the neighbor's newspaper does not involve reciprocity.	3.0	Taking the neighbor's newspaper does not demonstrate heroic virtues.	2.0	Taking the neighbor's newspaper may lack monkish virtues.	1.0	Taking the neighbor's newspaper is unfair to the neighbor.	0.0	Taking the neighbor's newspaper disregards prior possession.	-2.0	The scenario is morally questionable due to lack of fairness and group loyalty.	-1.73714296	train		
36	Clifford	You see someone cheating in a card game while playing with a group of strangers.	orig		5.0	Cheating in a card game does not directly relate to family values.	2.0	Cheating goes against group loyalty as it undermines trust and fairness.	2.0	Cheating violates reciprocity by not playing by the rules of the game.	2.0	Cheating does not reflect heroic virtues as it involves deceit and dishonesty.	2.0	Cheating contradicts monkish virtues like honesty and integrity.	1.0	Cheating is unfair as it gives an unfair advantage to the cheater.	2.0	Cheating disregards prior possession as it manipulates the game unfairly.	-3.0	Cheating in a card game is morally unacceptable as it goes against fairness and honesty.	-2.6	train		
37	Mickelberg	Person X did really well at the quiz night.	orig		5.0	Quiz night success does not directly relate to family values.	8.0	Doing well at quiz night can foster group loyalty through teamwork and camaraderie.	7.0	Reciprocity may be involved in sharing knowledge or helping team members.	6.0	Success at quiz night may demonstrate skill and wit.	6.0	Humility may be shown in accepting both wins and losses gracefully.	7.0	Fairness may be exhibited in following quiz rules and respecting opponents.	5.0	Recognition of prior possession is not relevant in this scenario.	3.0	Overall, doing well at quiz night is a positive and morally acceptable action.	0.41	train		
38	Effron	Sang at a prison in order to entertain the inmates	orig		8.0	Entertaining inmates can be seen as caring for others in need.	7.0	Singing at a prison shows loyalty to the community.	6.0	Entertaining inmates can be seen as expressing gratitude.	7.0	Performing at a prison may require bravery and skill.	6.0	Singing at a prison can demonstrate humility and respect.	6.0	Entertaining inmates can promote fairness and compromise.	5.0	Recognizing inmates' prior possession of freedom.	3.0	Overall, singing at a prison is a morally acceptable action.	1.93684216	train		
39	Grizzard	Rescues a local child in danger instead of firing on an enemy brigade.	orig		8.0	Rescuing a local child reflects caring for offspring and helping family members.	7.0	Rescuing a local child shows favoritism towards the local community.	9.0	Rescuing a local child demonstrates trust and gratitude towards others.	9.0	Choosing to rescue a child instead of firing on enemies shows bravery and fortitude.	7.0	Rescuing a child may involve humility and respect for life.	8.0	Rescuing a child can be seen as fair and just.	5.0	Rescuing a child may not directly relate to prior possession.	3.0	The scenario is morally acceptable as it prioritizes saving a child over attacking enemies.	2.893333333	train		
40	Lotto	You are in a field playing frisbee with three young people you have just met. Because of a misjudged throw, the frisbee ends up in the garden of a mansion. You decide to climb the wall to look for it. Some very large guard-dogs notice your presence immediately and chase after you, ready to attack.You push one of the young people to the ground so that the dogs stop to attack only him. You know that he will die, but you, and the other two, will be able to escape.	orig		8.0	Sacrificing one for the survival of many reflects a form of caring for offspring and ensuring group continuity.	9.0	Sacrificing one to save the group demonstrates a high level of group loyalty and prioritizing group survival.	2.0	The action shows a lack of reciprocity as one person is sacrificed without their consent or benefit.	7.0	The action displays bravery in making a difficult decision under pressure to protect the group.	3.0	The action lacks humility and respect for the individual being sacrificed, focusing solely on group survival.	2.0	The action is unfair as one person bears the consequences without a chance for negotiation or compromise.	1.0	There is no recognition of prior possession as the individual is sacrificed without consideration for their rights.	-2.0	The scenario is morally questionable as it prioritizes group survival over individual rights and fairness.	-1.82	train		
41	Mickelberg	Person X worked on a campaign to release wrongfully convicted prisoners.	orig		8.0	Working to release wrongfully convicted prisoners reflects caring for others and seeking justice.	9.0	Campaigning for justice shows loyalty to the group of innocent individuals and the cause.	8.0	Seeking justice for the wrongfully convicted reflects reciprocity by righting past wrongs.	7.0	The action demonstrates bravery in challenging the legal system and advocating for the marginalized.	7.0	Advocating for the release of innocent prisoners aligns with the virtue of humility and respect for human dignity.	9.0	The campaign for justice embodies the principle of fairness by correcting miscarriages of justice.	8.0	Recognizing the wrongful convictions and advocating for their release acknowledges the prior injustice.	3.0	The scenario is morally acceptable as it upholds justice, fairness, and compassion.	3.27	train		
42	Effron	Gave his coat to someone when it was cold	orig		8.0	Giving his coat to someone in need reflects caring for others, a key aspect of family values.	7.0	Helping someone in need demonstrates loyalty and collaboration, important in group dynamics.	9.0	Reciprocity is shown by providing warmth when needed, fostering trust and gratitude.	7.0	The act of giving his coat in cold weather can be seen as a display of fortitude and compassion.	8.0	Offering his coat to someone in need reflects humility and respect for others' well-being.	7.0	By giving his coat, the individual demonstrates fairness and willingness to share resources.	6.0	The action of giving his coat acknowledges the immediate need and prioritizes it over possession.	3.0	Considering the positive reflections on family values, group loyalty, reciprocity, and virtues, the scenario is morally acceptable.	3.04	train		
43	Effron	Kicked a stray cat to get it to leave his yard	orig		5.0	Kicking a stray cat does not directly relate to family values.	5.0	Kicking a stray cat does not directly relate to group loyalty.	2.0	Kicking a stray cat does not reflect reciprocity or seeking revenge.	2.0	Kicking a stray cat does not demonstrate heroic virtues.	2.0	Kicking a stray cat does not reflect monkish virtues.	2.0	Kicking a stray cat does not involve dividing resources or reaching a compromise.	2.0	Kicking a stray cat does not involve recognition of prior possession.	-2.0	The action is not highly immoral but lacks moral justification.	-3.048	train		
44	Effron	Tricked a stay at home mom into donating to a fake charity	orig		2.0	Tricking a stay at home mom into donating does not reflect caring for offspring or helping family members.	1.0	Tricking someone into donating to a fake charity goes against group loyalty and local conventions.	2.0	Tricking someone into donating does not reflect reciprocity or expressing gratitude.	1.0	Tricking someone into donating does not demonstrate bravery, fortitude, skill, or wit.	2.0	Tricking someone into donating does not reflect humility, deference, obedience, or respect.	1.0	Tricking someone into donating is unfair and does not involve reaching a compromise.	1.0	Tricking someone into donating does not recognize or defer to prior possession.	-3.0	Tricking someone into donating to a fake charity is morally unacceptable.	-3.088	train		
45	Mickelberg	Person X volunteers at a dog refuge, walking the dogs and cleaning their kennels once a week.	orig		8.0	Volunteering at a dog refuge reflects caring for animals, similar to caring for offspring in family values.	7.0	Volunteering at a dog refuge shows loyalty to the group of animals and the organization.	9.0	Volunteering at a dog refuge demonstrates reciprocity by helping animals in need without expecting direct benefits in return.	6.0	Volunteering at a dog refuge may require bravery to handle different dog behaviors and situations.	7.0	Volunteering at a dog refuge may exhibit humility and respect towards the animals and the refuge staff.	8.0	Volunteering at a dog refuge involves fairness in providing care and attention to all dogs equally.	9.0	Volunteering at a dog refuge acknowledges the prior possession of the dogs by the refuge organization.	3.0	Overall, volunteering at a dog refuge is morally acceptable as it aligns with values of caring, loyalty, reciprocity, and fairness.	2.67	train		
46	Mickelberg	Person X buys a loaf of bread every day, as they love the smell of freshly baked bread in the morning.	orig		5.0	Buying bread daily does not directly relate to family values.	5.0	The action does not show group loyalty as it is a personal preference.	5.0	There is no clear indication of reciprocity in this scenario.	5.0	The action does not demonstrate heroic virtues.	5.0	The action does not align with monkish virtues.	5.0	There is no element of fairness involved in buying bread daily.	5.0	Recognition of prior possession is not applicable in this scenario.	0.0	The scenario is morally neutral as it does not strongly align with any moral values.	0.2	train		
