id	dataset	scenario	circumstance_type	circumstance	vulnerable_score	intentional_score	harm_score	help_score	moral_score	vulnerable_expl	intentional_expl	harm_expl	help_expl	moral_expl	agent	assumption_for_agent	patient	assumption_for_patient	human_score	think_trace	mlp_score
11	Effron	Complimented coworkers on their clothing and appearance	orig		5.0	6.0	0.0	4.0	2.0	Typical adults in a professional environment with medium vulnerability.	Deliberate act of praise, though simple and not highly premeditated.	No harm caused; compliments are non-invasive and positive.	Minor emotional support or morale boost from positive feedback.	Well-intentioned, harmless, and slightly beneficial; mildly positive.	The person giving the compliments	They intended to be kind or friendly toward their coworkers	The coworkers	They were open to social interaction in a workplace setting	1.17894736	The agent is the person giving compliments. They acted with positive intent, likely to be friendly or supportive. The patients are the coworkers, typical adults in a professional setting. The action is intentional — choosing to offer praise — though not highly planned. The coworkers are of medium vulnerability, as adults in a workplace who can reasonably expect social interactions. No harm is caused; compliments about appearance are generally benign unless unwelcome, but no indication of that here. Some help is provided: social reinforcement, morale boost, or making someone feel seen and appreciated. A small positive social gesture with good intent and minimal but real benefit; mildly moral.	
12	Kruepke	I was in a relationship with my best friend's cousin. She was really beautiful, but as time went on I became less attracted to her. I tried to tell her I didn't really want to see her anymore and she flipped out.	orig		5.0	6.0	4.0	0.0	-1.0	Typical adult with medium vulnerability; capable of handling breakups but emotionally affected.	Decision based on evolving feelings; communicated intentionally but not premeditated maliciously.	Caused emotional distress, as shown by her strong reaction, but no physical or lasting harm.	No active assistance or support offered during the emotional reaction.	Honest but painful relationship decision; moderate intent and emotional harm, no malice; slightly immoral due to impact.	The speaker (the person in the relationship)	They were honest about their changing feelings and wanted to end the relationship respectfully	The romantic partner (best friend's cousin)	She was emotionally invested and reacted strongly to the breakup	0.91	"The agent is the speaker, who initiated the end of the romantic relationship. They acted based on genuine feelings of diminished attraction and attempted to communicate this honestly. The patient is the romantic partner — the best friend's cousin — a typical adult who became emotionally distressed upon hearing the breakup. The action (ending the relationship) was intentional but not malicious; it followed personal emotional changes. The vulnerability is medium: as an adult, she can handle relationship changes, though emotional distress occurred. The intentionality is moderate — it was a considered decision, not impulsive. Harm is moderate: emotional pain from rejection and the abrupt reaction (""flipped out"") suggests significant hurt, but no physical or lasting damage. No help was provided in the moment, though ending an unfulfilling relationship can be ethically justifiable. The act is understandable and reasonably handled, though emotionally difficult; slightly negative due to the distress caused, but not immoral."	
13	Lotto	You are on holiday at the seaside and returning to shore in your motorboat. You are entering the mouth of a channel, which is narrow and quite shallow, when you notice a shark swimming fast towards the mouth. At the end of the channel is a swimmer, who is calmly bathing. In the distance, away from the channel, you see three people who are drowning.You turn quickly out of the channel, leaving the mouth free. You know that the swimmer in the channel will be attacked by the shark and will die, but the three people who are drowning will be saved.	orig		9.0	9.0	9.0	9.0	1.0	All involved are highly vulnerable: one exposed to a predator, three in active drowning.	Deliberate, conscious choice to alter course based on life-saving priorities.	Swimmer will die from shark attack due to lack of warning or rescue.	Three lives are saved from certain drowning by timely rescue.	Sacrifices one life to save three; tragic but ethically leans toward moral due to greater good.	The motorboat operator	They recognized the danger and made a calculated decision to save more lives	The swimmer in the channel and the three drowning people	The swimmer was unaware and defenseless; the three were actively drowning and helpless	-0.46	The agent is the person operating the motorboat. They make a deliberate decision to prioritize saving three drowning people over warning or rescuing the swimmer in the channel. The patients are dual: the swimmer in the channel, who will be attacked and die, and the three distant drowning individuals, who will be saved due to the agent’s intervention. The swimmer is vulnerable—calmly bathing and unaware—while the drowning people are in active life-threatening distress. All are highly vulnerable, but the three in open water face immediate mortal danger without help. The action is highly intentional: a calculated choice to redirect effort. The harm is severe—the swimmer dies from a shark attack, directly due to being abandoned. The help is also severe—three lives are saved from certain death. This is another utilitarian dilemma: sacrificing one to save three. Though the agent causes harm by omission (not warning or acting), the net outcome is life-saving. Ethically complex, but leans moral due to greater good.	
14	Mickelberg	Person X broke off all communication with their family for a while because they had a heated argument with each other.	orig		5.0	5.0	4.0	2.0	0.0	Typical adults with emotional bonds; moderately vulnerable to relational rupture.	Action was deliberate but emotionally reactive, not premeditated.	Emotional harm and relational strain, though likely temporary.	Minimal help: possible de-escalation of conflict, but no direct benefit.	Understandable emotional response with modest harm and slight potential benefit; nearly neutral.	Person X	They acted out of emotional distress after a heated argument	The family members	They valued the relationship and were expecting ongoing communication	-0.38	The agent is Person X, who made the decision to cut off communication. This was likely an emotional reaction following a heated argument, not a long-planned decision. The patients are the family members, who are typical adults with normal emotional ties and expectations of continued contact. They are moderately vulnerable to emotional distress from sudden estrangement, but not defenseless. The action was intentional in the moment but driven by emotion rather than extensive planning, so intentionality is medium. The harm is moderate — emotional pain and relational disruption — but likely temporary. There is minimal help: the break may serve as a cooling-off period, offering slight psychological benefit to Person X or preventing immediate conflict escalation. However, no direct positive outcome is guaranteed. The act is understandable but not ideal; it leans slightly negative due to the unilateral severing of ties, but not severely so.	
15	Mickelberg	Person X presented their colleague's idea as their own in order to get a promotion.	orig		5.0	9.0	6.0	0.0	-3.0	Typical adult coworker with medium vulnerability in professional context.	Highly deliberate act planned to secure a promotion.	Significant professional harm: lost recognition, career impact, betrayed trust.	No assistance or benefit provided to the colleague.	Deliberate self-serving theft causing real career harm; clearly immoral.	Person X	They knowingly stole credit for professional gain	The colleague whose idea was taken	The colleague originated the idea and expected credit	-2.86	The agent is Person X, who deliberately claimed credit for someone else's work. The patient is the colleague whose idea was stolen. Colleagues are typical adults of medium vulnerability in a professional setting. The action was clearly premeditated — Person X planned to misrepresent authorship for career gain. Harm is significant: the colleague lost recognition, career advancement, and trust in the workplace. No help was provided. Betrayal of trust and fairness violation makes this strongly immoral.	
16	Clifford	You see an employee joking with competitors about how bad his company did last year.	orig		5.0	6.0	4.0	0.0	-2.0	Stakeholders are typical adults with medium vulnerability; not physically at risk but economically exposed.	Deliberate joke implies intent, though likely impulsive rather than premeditated.	Moderate harm: reputational damage, morale impact, and aiding competitors indirectly.	No assistance or protection offered; action undermines the employer.	Intentional disloyalty causing reputational and organizational harm; moderately immoral.	The employee	They were aware of the company's performance and chose to mock it to competitors	The company and its stakeholders (employees, management, shareholders)	They rely on the company's success and reputation for livelihood and stability	-2.0	The agent is the employee who is joking with competitors about their own company’s poor performance. I assume the employee is sharing sensitive or potentially damaging information in a mocking or careless way, possibly breaching loyalty or confidentiality. The patient is the company (and by extension, its employees, shareholders, and stakeholders), which is an entity composed of typical adults. While organizations aren't people, the harm affects real people who depend on the company’s success. The employee’s action is intentional — it's a deliberate joke, not an accidental slip — though likely impulsive rather than part of a long-term sabotage plan. The harm is moderate: reputational risk, potential loss of morale, or giving competitors insight, but no direct financial collapse or physical damage. No help is provided to the company; the action is detrimental. This reflects disloyalty and unprofessionalism, making it mildly to moderately immoral.	
17	Cook	Someone posts on social media bragging about making out with multiple strangers the night before	orig		5.0	7.0	4.0	0.0	-2.0	Typical adults; vulnerable to reputational harm due to non-consensual disclosure.	Deliberate act of posting; planned self-presentation online.	Potential emotional or social harm from public exposure of private acts.	No assistance or benefit provided to others; purely self-serving.	Self-centered disclosure risking others' privacy; inconsiderate and mildly immoral.	The person who posted on social media	They were seeking attention or validation by sharing intimate details	The strangers they made out with	They engaged in consensual encounters but likely did not consent to public exposure	-1.22	The agent is the person who posted the social media message. They are sharing personal behavior publicly, likely seeking attention or validation. The patient includes the strangers involved in the encounters and possibly the broader audience, though the primary affected parties are the individuals who engaged in intimate contact. Those strangers are typical adults, with medium vulnerability, as they may not have consented to public disclosure of a private act. The action is deliberate — the post was crafted and shared intentionally. The harm is moderate: potential embarrassment, reputational damage, or emotional distress to the strangers if identified, though no physical harm. No help is provided to anyone. The act reflects inconsiderate behavior that risks others' privacy for personal gratification, making it mildly to moderately immoral.	
18	Clifford	You see a girl shooting geese repeatedly with a pellet gun out in the woods.	orig		9.0	8.0	7.0	0.0	-3.0	Wild animals are defenseless when targeted with a weapon; highly vulnerable.	Repeated shooting indicates deliberate intent and sustained action.	Causes severe physical injury, suffering, and likely death to the geese.	No assistance or protection offered; action is entirely harmful.	Intentional infliction of suffering on defenseless animals without justification; clearly immoral.	The girl	She was aware of her actions and chose to shoot the geese repeatedly	The geese	They were wild animals unable to defend themselves against a pellet gun	-3.0	The agent is the girl using the pellet gun. The action is repeated and targeted, indicating awareness and intent rather than accident. The patients are the geese — wild animals, defenseless against a firearm. The action is deliberate: aiming and shooting multiple times requires premeditation and control. The harm is substantial: repeated pellet wounds cause significant injury, pain, and likely death, especially cumulatively. There is no indication of a legitimate purpose such as hunting for food or population control. No help is provided to the animals; the action is purely harmful. Deliberate cruelty toward defenseless animals without justification constitutes a serious moral violation.	
19	Clifford	You see a family eating the carcass of their pet dog that had been run over.	orig		8.0	6.0	0.0	7.0	2.0	Adults in desperate need of food are highly vulnerable due to survival threat.	Intentional act of eating, but motivated by survival, not premeditated harm.	No harm to others; the dog was already dead and not mistreated post-mortem.	Provided essential sustenance in a life-threatening situation.	Culturally disturbing but morally defensible as a survival act; mildly moral.	The family	They were likely driven by extreme hunger or survival necessity	The family members	They were in need of food and possibly facing starvation	-3.2	The agent is the family eating the dog. I assume they are in a dire situation—likely extreme poverty or starvation—driving them to consume the animal out of necessity, not choice. The patient is the family members themselves, who are surviving under desperate conditions. As typical adults, they have medium-high vulnerability due to their apparent food insecurity and emotional distress. The action is intentional—eating the carcass is a conscious decision—but driven by survival, not malice. No harm is caused to others; the dog was already dead. Some help is provided: sustaining life in a crisis. While culturally taboo, the act is understandable under extreme duress. Morally, it leans slightly positive due to survival necessity.	
20	Mickelberg	Person X stole the collection tin of a blind beggar on the street.	orig		10.0	9.0	7.0	0.0	-4.0	Blind and impoverished, the beggar is defenseless and highly susceptible to harm.	Theft requires deliberate action and intent to deprive the owner.	Significant harm: loss of essential income, deepened suffering and insecurity.	No assistance or benefit provided; action was purely harmful.	Exploiting a maximally vulnerable person for personal gain; severely immoral.	Person X	They knowingly exploited the beggar's vulnerability and blindness	The blind beggar	They were dependent on donations for basic survival	-3.38	The agent is Person X, who deliberately took the collection tin belonging to a blind beggar. I assume they acted with awareness that the beggar was vulnerable and dependent on donations. The patient is the blind beggar, who is highly vulnerable due to disability, likely poverty, and reliance on public generosity. The action was intentional — theft requires deliberate effort and planning, especially taking advantage of someone unable to resist. The harm is significant: loss of income essential for survival, deepening hardship, and exploitation of vulnerability. No help was provided; the act was purely exploitative. Stealing from a defenseless, impoverished person is a severe moral violation.	
21	Effron	Refused to hold the door for a man in a wheelchair	orig		9.0	6.0	3.0	1.0	-2.0	A person with disabilities facing physical barriers is highly vulnerable in inaccessible settings.	Conscious decision not to help; deliberate act of omission.	Caused inconvenience and potential embarrassment; no physical harm.	Failed to provide minimal, low-effort assistance that was clearly needed.	Withholding small help from a highly vulnerable person reflects disregard; mildly immoral.	The person who refused to hold the door	They were capable of helping but chose not to assist	The man in the wheelchair	He has limited mobility and depends on accessible environments	-3.008	The agent is the person who refused to hold the door. I assume they were physically able to help but chose not to. The patient is the man in the wheelchair, who has reduced mobility and relies on accessibility accommodations; he is highly vulnerable in environments not fully adapted to his needs. The action was deliberate — a conscious refusal, not an accident. The harm is minor: momentary inconvenience and possible indignity, but no physical injury. No help was provided, despite minimal effort required. The act reflects indifference or discourtesy toward a vulnerable person, which is mildly immoral due to the lack of basic consideration.	
22	Effron	Spent time voluntarily tutoring disadvantaged students	orig		7.0	7.0	0.0	8.0	3.0	Disadvantaged students face systemic barriers and are more susceptible to harm from lack of opportunity.	Voluntary tutoring requires planning and consistent, deliberate effort.	No harm was caused to anyone.	Provided meaningful educational support that can significantly improve life outcomes.	Deliberate, helpful action benefiting vulnerable individuals with no harm; clearly moral.	The volunteer tutor	They were motivated by a desire to help students overcome educational barriers	The disadvantaged students	They faced socioeconomic or educational disadvantages and needed support	3.2	The agent is the person who volunteered to tutor. They acted out of generosity and a desire to help others, likely with some planning given the ongoing nature of tutoring. The patient is the disadvantaged students, who are more vulnerable than average due to socioeconomic challenges, limited access to education, and dependence on support. The action was intentional and structured — consistent effort over time. No harm was caused. The help was substantial: education improves life outcomes, especially for disadvantaged youth. This is a clearly positive act with meaningful impact on vulnerable individuals, making it morally commendable.	
23	Mickelberg	Person X saw a homeless person in the rain, so they gave the person their jacket and umbrella, plus $20 for a hot meal	orig		9.0	8.0	0.0	8.0	4.0	Homeless individual in bad weather is defenseless and highly vulnerable.	Deliberate and compassionate act, done with clear intent to help.	No harm caused to anyone; action was purely beneficial.	Provided warmth, shelter from rain, and money for food — substantial aid.	Highly intentional help to a very vulnerable person; no harm; strongly moral.	Person X	They were empathetic and wanted to help someone in distress	The homeless person	They were exposed to the rain and lacked basic necessities	3.47	The agent is Person X, who acted with compassion upon seeing someone in distress. I assume they were motivated by empathy and a desire to help. The patient is the homeless person, who is highly vulnerable due to lack of shelter, exposure to weather, and financial need. The action was intentional — a conscious decision to give up personal belongings and money for someone else’s benefit. No harm was caused. The help was substantial: protection from rain, warmth, and financial support for food — all meaningful in a survival context. This is a clear act of moral generosity toward a highly vulnerable person, making it highly moral.	
24	Kruepke	For a while I was a security officer at a bank. One day I was walking by the front door when I saw a fifty-dollar bill. I was tempted to take the money but instead I reported it to the manager.	orig		5.0	7.0	0.0	5.0	3.0	Typical adult who is moderately vulnerable to financial loss, but not defenseless.	Deliberate choice to report the money after internal conflict.	No harm caused by the officer; the act prevents harm to the owner.	Returning $50 is meaningful but not life-changing assistance.	Ethical choice in the face of temptation; upholds duty and prevents harm; moderately moral.	The security officer (the narrator)	They were tempted to keep the money but chose to do the right thing	The rightful owner of the fifty-dollar bill	They accidentally lost money and would suffer financial loss	2.75	The agent is the security officer who found the money. They were in a position of trust and faced a moral temptation but chose to act ethically. The patient is the rightful owner of the money (likely a bank customer), a typical adult who lost something valuable. The action of reporting the money was deliberate and required self-restraint. No harm was caused by the action itself—instead, it prevented potential harm (loss of money to the owner). The help provided was moderate: returning a significant amount of money, restoring it to its owner through proper channels. The officer upheld their duty, showing integrity. This is a morally positive act, though not heroic or life-saving—thus, moderately moral.	
25	Effron	Heckled a woman speaking on human rights	orig		6.0	8.0	5.0	0.0	-3.0	Public speaker facing hostility is moderately vulnerable, especially on contentious topics.	Heckling is a deliberate act of disruption, not accidental.	Psychological and social harm: undermines speech, creates intimidation.	No assistance or protection offered; action was purely harmful.	Deliberate attempt to silence a public speaker on human rights; clearly immoral.	The heckler	They intended to disrupt or discredit the speaker's message	The woman speaking on human rights	She was exercising her right to speak on a public issue and expected respect	-2.25454544	The agent is the person who heckled the woman. They deliberately interrupted and disrupted a human rights speech, likely to mock or silence her. The patient is the woman speaking, a typical adult but in a vulnerable position as a public speaker facing hostility. The action was intentional — heckling requires active effort to disrupt. The harm is moderate: it undermines her voice, creates a hostile environment, and discourages free expression, especially on important issues. No physical harm, but psychological and social harm is present. No help was provided; the act was purely obstructive. Disrupting a human rights speaker with intent to demean is clearly immoral, though not extreme in physical harm.	
26	Effron	Criticized an old woman for being too slow	orig		9.0	6.0	4.0	0.0	-2.0	Elderly individuals are highly vulnerable due to age and reduced autonomy.	Verbal criticism was intentional and directed, though likely impulsive.	Caused emotional harm through public shaming and disrespect.	No assistance or kindness was offered; only negativity.	Targeting a vulnerable person with criticism for natural slowness is disrespectful and inconsiderate.	The person who criticized	They were impatient and showed no empathy for the woman's age-related slowness	The old woman	She was elderly and moving at her natural pace	-1.96129032	The agent is the person who criticized the old woman. I assume they acted with impatience or frustration, not out of concern. The patient is the old woman, who is elderly and likely has reduced physical or cognitive abilities, making her highly vulnerable. The action was intentional — a verbal criticism directed at her behavior — though not necessarily premeditated. The harm is moderate: emotional distress, humiliation, and reinforcement of ageism; no physical injury. No help was provided; the act was purely negative. Criticizing a vulnerable person for an inherent limitation is inconsiderate and disrespectful, making it mildly to moderately immoral.	
27	Mickelberg	Person X took public transport so their sister could use their car to get to work safely.	orig		5.0	7.0	0.0	7.0	3.0	Typical adult, but dependent on transportation; medium vulnerability in this context.	Deliberate choice to use public transit instead of the car for her benefit.	No harm caused to anyone; the action is purely beneficial.	Substantial help: enabled safe and reliable commute for the sister.	Selfless act that provides real benefit with no harm; clearly moral but not heroic.	Person X	They wanted to help their sister have safer and more reliable transportation	Their sister	She needed reliable transportation to get to work safely	2.58	The agent is Person X, who chose to use public transport to allow their sister access to the car. This suggests consideration and prioritization of their sister’s needs. The patient is the sister, a typical adult who benefits from safer and more reliable transportation. The action was intentional — a planned decision to sacrifice personal convenience. No harm is caused; instead, there is a clear benefit: the sister can get to work safely, which may be important if public transport is unreliable or unsafe for her. The help is meaningful but not life-saving — it improves safety and reliability, so it's substantial but not critical. The act is considerate and supportive, reflecting familial care, making it mildly to moderately moral.	
