id	dataset	scenario	circumstance_type	circumstance	agent	agent_assumption	affected_party	affected_party_assumption	Q5_score	Q5_expl	moral_score	moral_expl	human_score	split	regression_score	mlp_score
13	Lotto	You are on holiday at the seaside and returning to shore in your motorboat. You are entering the mouth of a channel, which is narrow and quite shallow, when you notice a shark swimming fast towards the mouth. At the end of the channel is a swimmer, who is calmly bathing. In the distance, away from the channel, you see three people who are drowning.You turn quickly out of the channel, leaving the mouth free. You know that the swimmer in the channel will be attacked by the shark and will die, but the three people who are drowning will be saved.	orig		The motorboat driver	Assumed to be the individual operating the boat who can make quick decisions.	Both the swimmer in the channel and the three drowning people	Assumed that both directly affected individuals and overall community happiness matter.	7.0	Saving three lives outweighs the loss of one, increasing overall happiness.	2.0	Though one life is lost, net benefit to community makes it morally acceptable.	-0.46	train		
14	Mickelberg	Person X broke off all communication with their family for a while because they had a heated argument with each other.	orig		Person X	Assumed to be an autonomous, rational individual acting due to emotional distress.	Person X's family	Assumed they value ongoing communication and emotional connection.	3.0	Immediate conflict avoidance but long-term damage to familial bonds lowers overall utility.	-1.0	Marginal individual relief outweighed by familial harm makes it slightly immoral.	-0.38	train		
15	Mickelberg	Person X presented their colleague's idea as their own in order to get a promotion.	orig		Person X	Assumed as an opportunistic individual prioritizing personal advancement over honesty.	The colleague whose idea was stolen and the broader work community relying on trust.	Assumed that the affected party values fairness and recognition, essential for communal trust.	3.0	Self-gain is minimal benefit versus significant communal trust damage.	-3.0	Dishonesty undermines ethical norms, making the act largely immoral.	-2.86	train		
16	Clifford	You see an employee joking with competitors about how bad his company did last year.	orig		The employee	Assumed to be a typical employee aware his joke could impact his company.	His company, including its employees and stakeholders.	Assumed affected by reputational harm and internal morale issues.	3.0	Joke benefits competitors minimally but damages company reputation, reducing net utility.	-2.0	Disloyalty and potential harm deem the act moderately immoral.	-2.0	train		
17	Cook	Someone posts on social media bragging about making out with multiple strangers the night before	orig		The person who posted the brag on social media.	Assumed to be confident, seeking validation, and valuing casual interactions.	The social media audience and the broader online community.	Assumed to be diverse individuals whose reactions vary but are influenced by social trends.	5.0	The action offers minor personal pleasure with little overall community benefit or harm.	1.0	Behavior is mildly acceptable, reflecting personal freedom with minimal social harm.	-1.22	train		
18	Clifford	You see a girl shooting geese repeatedly with a pellet gun out in the woods.	orig		The girl	Assumed she intentionally engaged in the act with awareness of harm to wildlife	The geese (and by extension, the wildlife community)	Assumed the geese are sentient beings whose suffering reduces overall community happiness	1.0	Causes harm to animals with negligible overall benefit, lowering collective happiness.	-3.0	Action is highly immoral as it needlessly inflicts suffering on sentient wildlife.	-3.0	train		
19	Clifford	You see a family eating the carcass of their pet dog that had been run over.	orig		The adult family head (the decision-maker) acted as the agent.	Assumed they voluntarily chose this act under unusual cultural or survival stress.	The immediate family, whose emotional and social wellbeing is impacted.	Assumed the family accepts this practice due to specific cultural beliefs or dire necessity.	1.0	Utility is minimal; negative emotional, ethical, and community costs far outweigh any benefits.	-3.0	The act violates common moral norms, rendering it highly morally unacceptable.	-3.2	train		
20	Mickelberg	Person X stole the collection tin of a blind beggar on the street.	orig		Person X	Assumed to be a conscious, morally responsible individual.	The blind beggar	Assumed to be vulnerable and dependent on charitable support.	0.0	The theft harms a vulnerable person with no broader benefit.	-4.0	Extremely immoral due to exploitation and harm to a defenseless individual.	-3.38	train		
21	Effron	Refused to hold the door for a man in a wheelchair	orig		The person who refused to hold the door.	Assumed to be an able-bodied bystander expected to offer basic courtesy.	The man in the wheelchair.	Assumed to be dependent on occasional assistance due to mobility challenges.	2.0	Denial of a simple kindness slightly reduces overall community welfare.	-3.0	Action is socially neglectful, harming communal values and individual dignity.	-3.008	train		
22	Effron	Spent time voluntarily tutoring disadvantaged students	orig		A volunteer tutor	Assumed to be empathetic and dedicated to helping others.	Disadvantaged students	Assumed to be students with limited access to quality educational resources.	8.0	Significantly enhances learning outcomes and community support.	4.0	Highly morally commendable due to its clear benefit to individuals and community.	3.2	train		
23	Mickelberg	Person X saw a homeless person in the rain, so they gave the person their jacket and umbrella, plus $20 for a hot meal	orig		Person X	Assumed to be a kind, altruistic individual willing to help others.	The homeless person	Assumed to be in need and a clear beneficiary of the assistance provided.	8.0	Helps alleviate suffering and promotes community welfare in adverse weather.	4.0	The action maximizes well-being and minimizes harm, showing high moral acceptability.	3.47	train		
24	Kruepke	For a while I was a security officer at a bank. One day I was walking by the front door when I saw a fifty-dollar bill. I was tempted to take the money but instead I reported it to the manager.	orig		The security officer	Assumed to be honest, responsible, and committed to bank protocols.	The bank and its stakeholders, including the manager and customers.	Assumed to benefit from honest practices and improved institutional trust.	7.0	Honesty increases community trust even with minimal personal gain.	4.0	Action is highly moral, prioritizing community benefit over personal temptation.	2.75	train		
25	Effron	Heckled a woman speaking on human rights	orig		The heckler, a person in the audience.	Assumed to be intentionally disruptive and opposed to the speaker's human rights advocacy.	The woman speaker, representing human rights and her supporters.	Assumed to value and promote community well-being and human rights.	2.0	Heckling disrupts dialogue and weakens communal discourse, lowering overall happiness.	-3.0	Deliberate disruption in a serious discussion is morally questionable and reduces communal benefit.	-2.25454544	train		
26	Effron	Criticized an old woman for being too slow	orig		The critic	Assumed to be an ordinary person acting on personal bias rather than informed judgment.	The old woman	Assumed to be vulnerable and deserving of respect despite any perceived slowness.	1.0	Criticism harms dignity and happiness with negligible community benefit.	-3.0	Action is largely immoral for unnecessarily harming a vulnerable individual.	-1.96129032	train		
27	Mickelberg	Person X took public transport so their sister could use their car to get to work safely.	orig		Person X	Assumed Person X acted voluntarily to enable his sister's safe commute.	The sister	Assumed she benefits from secure transportation to work.	7.0	Enhances her safety and work access, minor inconvenience to Person X.	3.0	Positive morality due to community benefit outweighing personal sacrifice.	2.58	train		
28	Kruepke	I had a bad relationship with my father and had not talked to him for years. He had left my mother. When my mother died I gathered the strength to call him and tell him that she died and that I loved him.	orig		I (the narrator)	Assumed to be emotionally mature and ready for reconciliation.	The father	Assumed capable of processing grief and potential remorse.	7.0	Offers emotional healing and closure with minor risk of pain.	3.0	Demonstrates mature, healing behavior with positive, reconciling effects.	2.33	train		
29	Kruepke	My husband ran a business and I worked in his shop. Once a rather unsavory character came in and handed my husband something. So, I looked through my husband's wallet to see what the man gave him.	orig		The wife (the narrator) who looked through the wallet.	Assumed to be motivated by concern for ethical conduct and the business’s integrity.	Her husband, whose privacy and integrity are directly affected.	Assumed to be a responsible individual entitled to privacy and trust.	2.0	Invasive act with potential benefit if wrongdoing is exposed, but harms trust.	-2.0	Action breaches privacy, yielding moderate immorality despite any investigative intent.	-1.14	train		
30	Lotto	You are the head of a group of five travellers who are exploring the remote regions of South America. During the trip, you inadvertently camp in the sacred cemetery of a local tribe. The members of the tribe capture you and condemn you all to death. After some negotiation, they propose a possible alternative in the form of a human sacrifice that will pacify their god who has been offended.You accept the tribe’s proposal, and during the ceremony, you kill one of the travellers in the group. This person will die, but you and the other four travellers’ lives will be spared.	orig		You, the head of the traveller group.	Assumes you are an autonomous, rational decision-maker responsible for group welfare.	Both the sacrificed traveller and the surviving four, as their lives and happiness are affected.	Assumes each individual’s well-being is equally important and counts toward overall community utility.	7.0	Saving four lives at the cost of one yields a net increase in overall utility.	2.0	Intentional killing is morally problematic despite the utilitarian gains for the group.	-1.24	train		
31	Effron	Rescued an injured kitten from a tree	orig		The rescuer (a compassionate individual)	Assumed to be a responsible adult with empathy towards animals	The injured kitten	Assumed to be a sentient creature capable of pain and pleasure	9.0	Rescuing reduces suffering and increases overall happiness in the community.	4.0	Action minimizes harm and maximizes well-being for a vulnerable being.	2.7428572	train		
32	Kruepke	About a year ago I started re-selling medications from a Canadian pharmacy. I helped a great deal of elderly people so that they didn't have to pay exorbitant amounts for their medications that they needed.	orig		The reseller, a person who initiated the medication re-sale.	Assumed to be acting with genuine intent to help elderly individuals afford medications.	Elderly people needing affordable medications.	Assumed they are a vulnerable, at-risk group benefiting from reduced medication costs.	8.0	Great benefits for vulnerable elderly, significantly increasing overall happiness.	3.0	High moral intent with notable positive outcome yields a high moral acceptability score.	0.57	train		
33	Kruepke	I was at the pharmacy buying something and I noticed a man who was sitting outside selling trinkets. He was homeless and it was freezing out. So I went next door to a store and bought him some food and new clothes.	orig		The narrator	I assumed the narrator is financially stable, empathetic, and capable of helping others.	The homeless man	I assumed he is vulnerable, in need, and would benefit from aid.	8.0	The action significantly improves comfort and welfare for an individual in distress.	4.0	The moral benefit outweighs any minor costs, making it highly justified.	2.62	train		
34	Kruepke	"My husband had a problem with always wanting new computer equipment, what I called ""techno-lust"". It was a really huge financial problem, and I told him he had to go on a 5-year plan to financially police himself or I would divorce him. He has greatly improved."	orig		The wife, who imposed the financial plan.	Assumed to be rational, caring about family stability and capable of enforcing consequences.	The husband, whose spending habits were directly targeted.	Assumed to value financial stability and be capable of behavioral change with proper incentives.	7.0	Prevents financial ruin and promotes improved behavior despite potential personal strain.	3.0	Highly moral as it protects family welfare and corrects harmful behavior.	0.38	train		
35	Effron	Took the neighbor's newspaper	orig		The individual who took the newspaper.	Assumed to have acted intentionally but not with serious malice.	The neighbor, as the owner of the newspaper.	Assumed to value his property and trust in community respect.	2.0	Benefit to thief minimal compared to loss of trust and personal property, lowering overall utility.	-2.0	Taking another's property violates ethical norms, moderately reducing moral acceptability.	-1.73714296	train		
36	Clifford	You see someone cheating in a card game while playing with a group of strangers.	orig		The individual cheating in the card game.	I assumed the agent intentionally cheats to gain personal advantage.	The other players in the game.	I assumed they expect fair play and honest interactions.	2.0	Cheating undermines fairness, trust, and enjoyment, greatly reducing community happiness.	-3.0	The act is unethical and harms trust, making it morally unacceptable.	-2.6	train		
37	Mickelberg	Person X did really well at the quiz night.	orig		Person X	Assumed that Person X participated voluntarily and sought to excel for personal and social benefit.	The community of quiz night participants and attendees.	Assumed they appreciate competitive success and the positive atmosphere it creates.	7.0	Success boosts self-esteem and enhances community morale with minimal harm.	4.0	Highly moral as it promotes positive behavior and communal well-being.	0.41	train		
38	Effron	Sang at a prison in order to entertain the inmates	orig		The singer who performed at the prison.	Assumes they acted voluntarily with genuine intent to entertain.	The prison inmates.	Assumes inmates can appreciate and benefit from cultural experiences.	6.0	The act lifts inmate morale and provides needed emotional relief.	3.0	Positive moral impact with minimal risk makes the act highly acceptable.	1.93684216	train		
39	Grizzard	Rescues a local child in danger instead of firing on an enemy brigade.	orig		The soldier.	Assumed to be on active duty with a strong moral compass.	The local child.	Assumed to be vulnerable, innocent, and central to community well-being.	8.0	Saving an innocent child greatly increases community happiness despite potential tactical risks.	4.0	Choosing rescue over attack reflects high moral value by prioritizing life and compassion.	2.893333333	train		
40	Lotto	You are in a field playing frisbee with three young people you have just met. Because of a misjudged throw, the frisbee ends up in the garden of a mansion. You decide to climb the wall to look for it. Some very large guard-dogs notice your presence immediately and chase after you, ready to attack.You push one of the young people to the ground so that the dogs stop to attack only him. You know that he will die, but you, and the other two, will be able to escape.	orig		You, the person who climbed the wall and pushed someone.	Assumes you are an autonomous adult making a calculated utilitarian decision.	The young person who was pushed and is now being attacked.	Assumes the pushed individual is of equal intrinsic value and his loss affects community welfare.	4.0	Saves two lives at the cost of one; a net gain but involves active harm.	-2.0	While net utility increases, intentionally sacrificing an innocent is deeply morally troubling.	-1.82	train		
41	Mickelberg	Person X worked on a campaign to release wrongfully convicted prisoners.	orig		Person X	Assumed to be a morally motivated individual dedicated to justice reform.	Wrongfully convicted prisoners and the broader community.	Assumed that the affected parties suffer injustice and their freedom benefits society as a whole.	8.0	Campaign corrects a grave injustice, significantly increasing community happiness and fairness.	4.0	Action aligns with moral principles by restoring justice and enhancing societal well-being.	3.27	train		
42	Effron	Gave his coat to someone when it was cold	orig		The person who gave his coat.	Assumed he had surplus resources and acted out of genuine concern.	The person who received the coat.	Assumed they were cold and in genuine need of warmth.	8.0	Provided relief from cold; minimal cost versus significant benefit.	4.0	Altruistic act with clear benefit and no harm.	3.04	train		
43	Effron	Kicked a stray cat to get it to leave his yard	orig		The yard owner	Assumed to be a responsible adult taking deliberate action.	The stray cat	Assumed to be an unowned animal subjected to unnecessary harm.	2.0	Personal benefit is minimal and outweighed by significant harm to the cat.	-3.0	Unnecessarily cruel; inflicts harm without sufficient utility gain.	-3.048	train		
44	Effron	Tricked a stay at home mom into donating to a fake charity	orig		The trickster who orchestrated the scam.	Assumed to be a cunning individual deliberately deceiving for personal gain.	The stay-at-home mom who was tricked into donating.	Assumed to be a well-intentioned person vulnerable to manipulation.	1.0	Deception yields minimal community benefit and harms individual trust.	-4.0	Deceptive and harmful act; extremely immoral overall.	-3.088	train		
45	Mickelberg	Person X volunteers at a dog refuge, walking the dogs and cleaning their kennels once a week.	orig		Person X	Assumed to be acting voluntarily, guided by altruistic motives.	The dog refuge community including the dogs and staff.	Assumed that the well-being of animals and support for the refuge benefits the community.	8.0	Regular volunteer work improves animal care and community welfare significantly.	4.0	High utility achieved through selfless actions yields a morally commendable outcome.	2.67	train		
46	Mickelberg	Person X buys a loaf of bread every day, as they love the smell of freshly baked bread in the morning.	orig		Person X	Assumed Person X intentionally buys bread daily for personal pleasure.	Person X and indirectly the local bakery community.	Assumed that Person X benefits from fresh bread and the bakery gains steady business.	7.0	Action provides regular personal satisfaction and modest local economic support with minimal harm.	3.0	Pursuing daily pleasure without harming others makes the action ethically commendable.	0.2	train		
47	Mickelberg	Person X cleaned the bookshelf and picked up some items that had dropped onto the floor.	orig		Person X	Assumed to be acting voluntarily and responsibly.	The community, including members in Person X's immediate environment.	Assumed to benefit from a cleaner, safer, and more organized space.	8.0	The action increases safety and order, benefiting overall well-being.	4.0	The act prevents potential harm and enhances communal happiness, making it highly moral.	1.0	train		
48	Clifford	You see a teenage girl wearing a long trench coat on a hot summer afternoon.	orig		The teenage girl wearing the trench coat	Assumed she is exercising personal style, acting autonomously, not engaging in harmful behavior.	The teenage girl herself	Assumed she values self-expression and that her choice primarily affects her own well‐being.	5.0	The action supports personal expression with minimal harm, yielding moderate utility.	3.0	A non-harmful, self-expressive choice is morally acceptable.	-0.2	train		
49	Clifford	You see a pastor banning his congregants from wearing bright colors in the church.	orig		Pastor	Assumed he intends to enforce church traditions and maintain orderly congregational behavior.	Congregants	Assumed they expect guidance and value uniformity within the church community.	3.0	Uniformity promotes tradition but restricts personal expression, slightly lowering overall happiness.	0.0	Marginal tradition benefits roughly balance personal freedom loss, making it morally neutral.	-2.6	train		
50	Mickelberg	Person X always pays off their debts first before buying things for themselves.	orig		Person X	Assumed they are financially responsible and value obligation fulfillment.	Person X, creditors, and indirectly the broader community.	Assumed that the affected parties value financial stability and ethical behavior.	8.0	Responsible debt management reduces risk and promotes trust, enhancing overall utility.	3.0	The action is ethically sound and benefits both individuals and community.	1.85	train		
51	Kruepke	My mother would always bring home clothes for me that I hated and would never wear. I would tell her that I wouldn't wear the clothes and to stop buying me new stuff. She would get really mad at me.	orig		Mother	Assumed to act out of care despite misreading the child's tastes.	Child	Assumed to value personal taste and comfort, feeling disregarded by forced choices.	2.0	Minimally increases utility by providing care but undermines individual happiness.	-2.0	Repeated disregard for preferences harms overall happiness and is morally questionable.	-0.44	train		
52	Effron	Lent money to a friend in a financial crisis	orig		The person who lent money.	Assumed to be financially secure and genuinely caring.	The friend in financial crisis.	Assumed to be in genuine need and capable of responsibly using the funds.	8.0	Benefits friend, risk to lender; overall positive impact on happiness with manageable potential loss.	3.0	An altruistic, caring act enhancing community welfare despite some financial uncertainty.	2.4	train		
53	Mickelberg	Person X saved a man who was about to be hit by a car by jumping in front of the car and pushing him out of the way.	orig		Person X	Assumed to be a courageous and selfless individual acting out of concern for others.	The man who was saved.	Assumed to be an individual whose well-being is valued by the community.	10.0	Saving a life greatly increases happiness with minimal negative consequences.	4.0	The action is highly commendable and morally above reproach.	3.38	train		
54	Clifford	You see an employee at a morgue eating his pepperoni pizza off of a dead body.	orig		The morgue employee.	Assumed to be a regular employee with access to the morgue and likely not following proper ethical protocols.	The community, including bereaved families and society's respect for the dead.	Assumed to be individuals valuing dignity, respect, and ethical treatment of human remains.	1.0	The action shows disrespect and offers no clear benefit, reducing overall societal utility.	-3.0	Extremely disrespectful act that undermines societal ethical norms.	-3.2	train		
55	Clifford	You see an employee lying about how many hours she worked during the week.	orig		The employee	Assumed she deliberately falsified her hours for personal gain.	The employer and other interested stakeholders in the organization.	Assumed the employer relies on honest reporting for fair compensation and trust.	2.0	Dishonesty undermines trust and disrupts organizational fairness.	-3.0	Deception is ethically problematic, reducing overall fairness and integrity.	-2.9	train		
56	Effron	Pushed into the front of a line at a theater	orig		The person who pushed into the front of the line.	Assumed the agent valued personal convenience and pleasure over established fairness.	The individuals waiting in line behind the agent.	Assumed they expected an orderly process and felt their waiting time was fair.	2.0	Agent benefits slightly but overall fairness and shared utility are negatively affected.	-2.0	Unfair advantage undermines community expectations, making it morally questionable.	-1.91111104	train		
57	Mickelberg	Person X called a waitress 'dummy' and did not leave a tip, because they didn't like her name.	orig		Person X	Assumes Person X is an individual making a deliberate negative choice.	The waitress	Assumes the waitress is a service worker who is harmed by demeaning treatment.	0.0	Action decreases happiness and trust in service community.	-3.0	Harmful, insulting, and unethical treatment of an individual.	-2.98	train		
58	Clifford	You see a story about a remote tribe eating the flesh of their deceased members.	orig		The tribal ritual leader or an elder conducting the rite.	Assumed to be a culturally embedded individual making traditional decisions.	The entire tribe, especially its members who follow the ritual.	Assumed that all affected are consenting individuals valuing ancestral customs.	6.0	Ceremonial act reinforces community bonds and cultural identity, increasing internal utility.	2.0	Within the cultural context, the practice is moderately acceptable, though externally controversial.	-2.3	train		
59	Cook	Someone brags on social media about drinking excessively to the point of vomiting	orig		The individual who posted the bragging content on social media.	Assumed to be seeking attention and validation, despite engaging in risky behavior.	The social media community and any viewers influenced by his behavior.	Assumed to be impressionable individuals who might emulate or glorify irresponsible actions.	2.0	The act offers minimal community benefit while endorsing risky behavior.	-2.0	Irresponsible behavior that could encourage harm among viewers.	-1.19	train		
60	Effron	Didn't leave a tip at the restaurant	orig		The diner	Assuming the agent is a customer who dined at the restaurant.	Restaurant service staff	Assuming the staff rely partly on tips for income and well-being.	2.0	Not tipping diminishes staff income and satisfaction, reducing overall communal benefit.	-2.0	Lower moral acceptability due to negative impact on service worker’s livelihood.	-1.6571428	train		
61	Mickelberg	Person X released intimate photos of their ex-partner to their friends and then posted them to the internet.	orig		Person X	Assumed to have malicious intent and disregard for ex-partner's privacy.	The ex-partner, whose intimate photos were shared.	Assumed to value privacy and suffer considerable personal harm.	0.0	Intentionally harmful with no beneficial community outcome.	-4.0	Severely unethical conduct violating personal privacy.	-3.23	train		
62	Clifford	You see the US Ambassador joking in Great Britain about the stupidity of Americans.	orig		The US Ambassador	Assuming he is acting in his official diplomatic role and intentionally using humor.	Americans	Assuming that Americans hold strong national pride and may feel personally insulted.	3.0	Joke may amuse few but risks significant offense and diplomatic discord.	-2.0	A public official’s derogatory humor is ethically dubious in his role.	-2.8	train		
63	Kruepke	My current lover often complains about our sex life, saying we don't do it enough. Sometimes I will watch online porn and masturbate instead. Sometimes, I feel like it's just easier and more fun to do that.	orig		The narrator	Assumed to be a consenting, autonomous adult prioritizing personal pleasure.	The lover	Assumed to desire intimacy and adequate shared sexual activity within the relationship.	3.0	Agent gains immediate pleasure while partner’s dissatisfaction lowers overall communal happiness.	-1.0	Neglecting partner's needs makes the action somewhat morally questionable.	-0.35	train		
64	Effron	Had a welcoming party for some new neighbors	orig		The host (the person organizing the party)	Assumed to be a well-intentioned, sociable individual interested in community well-being	The new neighbors	Assumed to be open, receptive individuals new to the community	8.0	Encourages integration and community spirit, benefiting all parties involved.	4.0	Highly moral due to its strong positive community impact.	1.97777784	train		
65	Lotto	You are the commander of a Russian military submarine on a mission. You have been trapped for days at the bottom of the Pacific Ocean without energy. You have already asked for help several times, but there are no ships or submarines in the nearby waters and help is taking time to arrive. There are six crew members with you on board and your food supplies are getting low.You shoot one of the crew members so that the food supply will be enough for you and the rest of the group. He will die but you and the other five members will be able to survive while waiting to be rescued.	orig		The submarine commander (you).	Assumed to be a rational leader responsible for the crew's survival.	Both the sacrificed crew member and the five survivors.	Assumed each crew member is of equal moral value, with survival being the priority.	6.0	Saving five lives at the cost of one moderately increases overall survival utility.	0.0	Intentional killing, even for utilitarian gain, remains morally troubling.	-1.43	train		
66	Clifford	You see a boy turning up the TV as his father talks about his military service.	orig		The boy	Assumed he intentionally raised the volume, possibly to seek attention or disrupt the conversation.	The father	Assumed the father values this moment to share his military service and is emotionally invested.	2.0	Disruption causes distress during an important personal narrative, reducing overall utility.	-2.0	Lower utility shows the action has a negative moral impact.	-2.1	train		
67	Kruepke	I was working at a fast food restaurant and the policy was to throw away the excess food at the end of the night. Even if there was a large quantity of food left over you had to throw it away. Instead my friend and I would take home the extra food.	orig		Me (the employee).	Assumed to be a rational, self-interested individual aware of restaurant policies.	The restaurant (its management and stakeholders) and indirectly the community.	Assumed the affected party values strict policy adherence and operational order.	6.0	Reduces waste and boosts personal benefit, but policy breach slightly detracts.	1.0	Some moral merit from reduced waste, yet minor ethical issues lower full approval.	0.39	train		
68	Mickelberg	Person X left their long-term band as soon as an opportunity came up to play with a more successful band.	orig		Person X	Assumed to be a rational actor prioritizing career advancement and personal success.	The long-term band members and the wider musical community.	Assumed they value stability, existing relationships, and consistent artistic collaboration.	6.0	Career advancement increases personal and potential communal benefits despite harming a close-knit group.	2.0	Action shows moderate morality as personal gain may eventually benefit the community.	-0.81	train		
69	Lotto	You are in charge of an expedition which is crossing the Sahara. A sand storm causes your jeep to swerve off the road and overturn in the middle of the desert. You know that the nearest oasis is a week’s walk away. There are eight of you and a very limited amount of water, which will not allow you all to survive the scorching heat.You shoot two people so that there will be enough water for you and the rest of the group. These two will die, but you and the other five will be able to survive.	orig		The expedition leader (you).	Assumed to be a rational decision‐maker with the authority to act for the group.	All expedition members, both those sacrificed and those who survive.	Assumed to be rational beings whose well-being and survival are of genuine concern.	7.0	Saving six at the cost of two yields a net increase in overall group happiness.	1.0	Utilitarian gain is high, yet the deliberate killing introduces significant moral tension.	-1.57	train		
70	Mickelberg	Person X was able to convince their boss that they were ready for a promotion at work.	orig		Person X	Assumes Person X is competent and has earned the promotion.	Person X's boss	Assumes the boss benefits from a well-placed, capable employee.	7.0	A promotion based on merit maximizes productivity and overall happiness.	3.0	Competence-driven promotion is ethically positive, boosting group and individual welfare.	0.52	train		
71	Clifford	You see a woman getting hired only because her father is close friends with the boss.	orig		The boss	Assumes the boss actively chose the candidate due to personal relations rather than merit.	The woman being hired	Assumes she benefits from nepotism while potentially disadvantaging more qualified candidates.	2.0	Nepotism may benefit few but harms overall fairness and efficiency.	-2.0	Nepotism is ethically questionable due to compromised merit and fairness.	-2.4	train		
