id	dataset	scenario	circumstance_type	circumstance	vulnerable_score	intentional_score	harm_score	help_score	moral_score	vulnerable_expl	intentional_expl	harm_expl	help_expl	moral_expl	agent	assumption_for_agent	patient	assumption_for_patient	human_score	think_trace	mlp_score
11	Effron	Complimented coworkers on their clothing and appearance	orig		5.0	6.0	0.0	5.0	3.0	Typical adults with medium vulnerability to social interactions.	Deliberate choice to give compliments, though not extensively planned.	Compliments generally do not cause harm unless perceived as insincere or inappropriate.	Genuine compliments can improve mood and workplace atmosphere.	Positive, kind act with no significant downsides; clearly moral.	The person giving compliments	They intended to be kind and boost morale	The coworkers	They are typical adults who appreciate positive social interactions	1.17894736	The agent is the person giving compliments. I assume they intended to be kind and boost morale. The patients are the coworkers receiving the compliments. They are typical adults with medium vulnerability to social interactions. The action is deliberate — choosing to give compliments requires some thought. The harm is minimal to nonexistent: compliments generally do not cause harm unless perceived as insincere or inappropriate. The help is moderate: genuine compliments can improve mood and workplace atmosphere. A positive, kind act with no significant downsides.	
12	Kruepke	I was in a relationship with my best friend's cousin. She was really beautiful, but as time went on I became less attracted to her. I tried to tell her I didn't really want to see her anymore and she flipped out.	orig		5.0	5.0	4.0	0.0	-1.0	Typical adult with medium vulnerability to emotional distress from a breakup.	Deliberate but emotionally driven, not premeditated.	Emotional pain and distress from the breakup; no physical harm.	No assistance or benefit provided; purely self-serving action.	Understandable motivation but caused emotional harm; mildly immoral.	The person ending the relationship	They acted out of a change in personal feelings	The girlfriend	She was emotionally invested in the relationship	0.91	The agent is the person who tried to end the relationship. They acted out of a change in personal feelings, which is a common and understandable situation. The patient is the girlfriend, who reacted strongly to the breakup attempt. She is a typical adult with medium vulnerability to emotional distress from a breakup. The action was deliberate but emotionally driven, not premeditated. The harm is moderate: emotional pain and distress from the breakup, but no physical harm. No help was provided; the action was purely self-serving. The motivation (loss of attraction) is understandable, but the execution caused emotional harm. Mildly immoral due to the emotional impact.	
13	Lotto	You are on holiday at the seaside and returning to shore in your motorboat. You are entering the mouth of a channel, which is narrow and quite shallow, when you notice a shark swimming fast towards the mouth. At the end of the channel is a swimmer, who is calmly bathing. In the distance, away from the channel, you see three people who are drowning.You turn quickly out of the channel, leaving the mouth free. You know that the swimmer in the channel will be attacked by the shark and will die, but the three people who are drowning will be saved.	orig		9.0	9.0	9.0	9.0	0.0	The swimmer and the drowning people are all highly vulnerable and defenseless.	Deliberate action with full knowledge of consequences.	Direct cause of one person's death by shark attack.	Saves three people from drowning.	Tragic utilitarian trade-off: one death directly caused to save three; roughly neutral.	The person steering the motorboat	They consciously traded one life for three based on utilitarian reasoning	The swimmer in the channel and the three drowning people	All were in life-threatening situations and unable to save themselves	-0.46	The agent is the person steering the motorboat. The action is fully deliberate: the agent knows the exact consequences — one swimmer will be attacked by the shark, but three drowning people will be saved. The patients are dual: the swimmer in the channel, who will be attacked by the shark, and the three drowning people, who will be saved. All of them are highly vulnerable: the swimmer is defenseless against the shark, and the three people are drowning. The harm is extreme and direct: the swimmer will die by the agent's deliberate decision to leave the channel open. The help is also extreme: three lives saved from drowning. Another classic utilitarian trade-off with one death directly caused to save three; tragic and ethically balanced with no clearly right answer.	
14	Mickelberg	Person X broke off all communication with their family for a while because they had a heated argument with each other.	orig		5.0	5.0	4.0	2.0	0.0	Typical adult family members with medium vulnerability to social silence.	Deliberate but emotionally driven rather than coldly calculated.	Temporary emotional distress and relational strain; no lasting damage.	Minor: a cooling-off period can de-escalate conflict long-term.	Understandable emotional reaction with modest harm and minor benefit; roughly neutral.	Person X	They acted out of strong emotion after a heated argument	The family members	They had ongoing relationships and cared about the connection	-0.38	The agent is Person X, who decided to stop communicating with their family. The patients are the family members, who are typical adults and are affected by the lack of communication. The action was deliberate but likely driven by strong emotions rather than long-term planning. The harm is moderate: emotional distress and strain on relationships, but it is temporary and not physically damaging. The help is minimal but not zero: taking a break can sometimes prevent further escalation and allow for cooling off. The motivation is understandable given the context of a heated argument, making the moral standing roughly neutral.	
15	Mickelberg	Person X presented their colleague's idea as their own in order to get a promotion.	orig		5.0	9.0	6.0	0.0	-3.0	Typical adult coworker with medium vulnerability in professional context.	Highly deliberate act planned to secure a promotion.	Significant professional harm: lost recognition, career impact, betrayed trust.	No assistance or benefit provided to the colleague.	Deliberate self-serving theft causing real career harm; clearly immoral.	Person X	They knowingly stole credit for professional gain	The colleague whose idea was taken	The colleague originated the idea and expected credit	-2.86	The agent is Person X, who deliberately claimed credit for someone else's work. The patient is the colleague whose idea was stolen. Colleagues are typical adults of medium vulnerability in a professional setting. The action was clearly premeditated — Person X planned to misrepresent authorship for career gain. Harm is significant: the colleague lost recognition, career advancement, and trust in the workplace. No help was provided. Betrayal of trust and fairness violation makes this strongly immoral.	
16	Clifford	You see an employee joking with competitors about how bad his company did last year.	orig		5.0	4.0	4.0	0.0	-2.0	The company and its stakeholders are moderately vulnerable to reputational damage.	Deliberate but impulsive action, not deeply premeditated.	Potential reputational damage and loss of trust within the company.	No assistance or benefit provided to the company.	Unprofessional behavior with potential harm to the company's reputation; mildly immoral.	The employee	They were aware of the potential impact of their words on the company's reputation	The company and its stakeholders	The company is moderately vulnerable to reputational damage	-2.0	The agent is the employee making jokes about their company's performance. I assume the employee is aware of the potential impact of their words on the company's reputation. The patients are the company and its stakeholders (e.g., other employees, shareholders). The company is moderately vulnerable to reputational damage, which can affect business and morale. The action appears deliberate but impulsive, not deeply premeditated. The harm is moderate: potential reputational damage and loss of trust within the company. No help is provided. The act is unprofessional and potentially harmful, making it mildly immoral.	
17	Cook	Someone posts on social media bragging about making out with multiple strangers the night before	orig		5.0	7.0	2.0	0.0	-1.0	Typical adults with medium vulnerability to social media content.	Deliberate choice to share personal information publicly.	Potential discomfort or judgment; no direct physical harm.	No assistance or benefit provided to the audience.	Self-centered and potentially irresponsible, but low and indirect harm; mildly immoral.	The person posting on social media	They were aware of the potential impact of their post	The social media audience	They are typically adults who may react to the content	-1.22	The agent is the person posting on social media. I assume they are aware of the potential impact of their post. The patients are the social media audience, which could include friends, family, and strangers. The audience is typically adults with medium vulnerability to social media content. The action is deliberate — the person chose to share this information publicly. The harm is minor: potential discomfort, judgment, or influence on others' behavior, but no direct physical harm. No help is provided. The act is self-centered and potentially irresponsible, but the harm is low and indirect.	
18	Clifford	You see a girl shooting geese repeatedly with a pellet gun out in the woods.	orig		9.0	8.0	7.0	0.0	-3.0	Wild animals are defenseless against a firearm; highly vulnerable.	Repeated shooting shows clear deliberate intent.	Repeated shots cause serious injury and likely death to the animals.	No assistance or protection offered; purely harmful action.	Deliberate cruelty to defenseless animals without justification; clearly immoral.	The girl	She was aware of her actions and shot the animals repeatedly	The geese	They were wild animals defenseless against the weapon	-3.0	The agent is the girl using the pellet gun. The action is repeated and targeted, suggesting awareness and intent, not an accident. The patients are the geese — wild animals, defenseless against a firearm. The action is deliberate — aiming and shooting multiple times requires intent. The harm is substantial: repeated pellet wounds cause significant injury and likely death, especially cumulative. No legitimate purpose (hunting for food) is indicated. No help is offered. Deliberate cruelty toward defenseless animals without cause is clearly immoral.	
19	Clifford	You see a family eating the carcass of their pet dog that had been run over.	orig		0.0	7.0	1.0	2.0	-1.0	The dog is already dead, so it is not vulnerable in this context.	Deliberate action involving preparation and consumption.	Minimal harm as the dog is already dead; potential emotional or cultural distress.	Minimal help, possibly providing some nutritional value.	Culturally complex and context-dependent; slightly immoral in many contexts.	The family	They chose to eat the pet dog to avoid waste or for cultural reasons	The pet dog	The dog is already deceased and thus not vulnerable	-3.2	The agent is the family eating their pet dog. I assume they are acting out of a desire not to waste the animal's body, possibly influenced by cultural or survival reasons. The patient is the pet dog, which is already deceased and thus not vulnerable in the traditional sense. The action is deliberate, as it involves preparation and consumption of the carcass. The harm is minimal since the dog is already dead, but there may be emotional distress or cultural taboos violated. The help is minimal as well, possibly providing some nutritional value to the family. The scenario is ethically complex, with cultural relativism playing a role; it may be seen as neutral or slightly immoral depending on context.	
20	Mickelberg	Person X stole the collection tin of a blind beggar on the street.	orig		10.0	8.0	6.0	0.0	-3.0	A blind beggar is highly vulnerable and defenseless.	Deliberate act of theft with clear intent.	Significant harm: loss of essential financial support.	No assistance or benefit provided; purely harmful action.	Deliberate theft causing significant harm to a highly vulnerable person; clearly immoral.	Person X	They knowingly stole from a vulnerable individual	The blind beggar	They were highly vulnerable due to disability and financial need	-3.38	The agent is Person X, who stole the collection tin. The patient is the blind beggar, who is highly vulnerable due to their disability and financial need. The action is deliberate — stealing requires intent and awareness. The harm is significant: the beggar loses essential financial support, which could impact their ability to meet basic needs. No help is provided; the action is purely harmful. Stealing from a highly vulnerable individual is clearly immoral.	
21	Effron	Refused to hold the door for a man in a wheelchair	orig		9.0	6.0	3.0	0.0	-2.0	A man in a wheelchair is highly vulnerable and dependent on others for assistance.	Deliberate choice not to help, though not extensively planned.	Minor harm: inconvenience and frustration for the man in the wheelchair.	No assistance or benefit was provided to the man in the wheelchair.	Inconsiderate refusal to help a highly vulnerable person; mildly immoral.	The person who refused to hold the door	They were aware of the man's need for assistance	The man in the wheelchair	He was physically limited and needed help with the door	-3.008	The agent is the person who refused to hold the door. I assume they were aware of the man's need for assistance. The patient is the man in the wheelchair, who is highly vulnerable due to his physical limitations. The action appears deliberate — a conscious choice not to help. The harm is minor but real: the man in the wheelchair experiences inconvenience and possibly frustration. No help was provided. The refusal to offer simple assistance to a highly vulnerable person is inconsiderate and mildly immoral.	
22	Effron	Spent time voluntarily tutoring disadvantaged students	orig		8.0	7.0	0.0	7.0	3.0	Disadvantaged students are highly vulnerable due to their educational and socio-economic challenges.	Deliberate and planned action, requiring commitment and scheduling.	No harm is caused to the students.	Substantial help: providing educational support can significantly impact the students' academic performance and future opportunities.	Clearly positive and moral action, providing substantial help to highly vulnerable individuals.	The volunteer tutor	They were motivated by a desire to help struggling students	The disadvantaged students	They faced educational and possibly socio-economic challenges	3.2	The agent is the person who volunteered to tutor. I assume they were motivated by a desire to help students who are struggling academically. The patients are the disadvantaged students, who are highly vulnerable due to their educational and possibly socio-economic challenges. The action is deliberate and planned, as volunteering requires commitment and scheduling. No harm is caused. The help is substantial: providing educational support can significantly impact the students' academic performance and future opportunities. A clearly positive and moral action.	
23	Mickelberg	Person X saw a homeless person in the rain, so they gave the person their jacket and umbrella, plus $20 for a hot meal	orig		9.0	7.0	0.0	7.0	4.0	Homeless person in the rain is highly vulnerable and defenseless.	Deliberate act of kindness and support.	No harm is inflicted on the recipient.	Substantial help providing immediate relief and support.	Clear act of kindness and support to a highly vulnerable individual; highly moral.	Person X	They acted out of compassion and generosity	The homeless person	They were highly vulnerable due to lack of shelter and financial resources	3.47	The agent is Person X, who acted out of compassion and generosity. The patient is the homeless person, who is highly vulnerable due to their lack of shelter and financial resources. The action is deliberate — Person X intentionally provided items and money to help the homeless person. No harm is caused. The help is substantial: providing immediate relief from the rain, warmth, and a hot meal. This is a clear act of kindness and support to a highly vulnerable individual, making it highly moral.	
24	Kruepke	For a while I was a security officer at a bank. One day I was walking by the front door when I saw a fifty-dollar bill. I was tempted to take the money but instead I reported it to the manager.	orig		5.0	7.0	0.0	5.0	3.0	The rightful owner of the money is moderately vulnerable to losing it.	Deliberate choice to report the money rather than take it.	No harm was caused; potential loss was prevented.	Moderate help by ensuring the money is returned or handled properly.	An act of integrity and honesty, clearly moral.	The security officer	They were tempted but chose to act ethically	The bank or the rightful owner of the money	The rightful owner would have lost the money if it was taken	2.75	The agent is the security officer. They were tempted to take the money but chose to report it instead. The patient is the bank or the rightful owner of the fifty-dollar bill, who would have lost the money if it was taken. The action was deliberate — the officer made a conscious choice to act ethically. No harm was caused; in fact, potential harm (loss of money) was prevented. The help is moderate: ensuring the money is returned to its rightful owner or handled properly by the bank. An act of integrity and honesty, clearly moral.	
25	Effron	Heckled a woman speaking on human rights	orig		6.0	7.0	4.0	0.0	-3.0	A public speaker is moderately vulnerable to disruption and emotional distress.	Heckling is a deliberate and conscious choice to interrupt.	Disrupts the speech, causes emotional distress, and undermines the message.	No assistance or benefit was provided; purely disruptive.	Deliberate disruption of a human rights speech; clearly immoral.	The heckler	They were aware of the disruptive nature of their actions	The woman speaking on human rights	She was vulnerable in the context of public speaking	-2.25454544	The agent is the person who heckled the woman. I assume they were aware of the disruptive nature of their actions. The patient is the woman speaking on human rights, who is vulnerable in the context of public speaking. The action appears deliberate — heckling is typically a conscious choice to interrupt. The harm is moderate: it disrupts the speech, causes emotional distress, and undermines the speaker's message. No help was provided; the action was purely disruptive. Deliberate disruption of a human rights speech is clearly immoral.	
26	Effron	Criticized an old woman for being too slow	orig		9.0	6.0	4.0	0.0	-3.0	Elderly individuals are highly vulnerable due to age and potential frailty.	Deliberate choice to voice criticism.	Causes emotional distress and potential humiliation; no physical harm.	No assistance or benefit provided; purely negative action.	Deliberate criticism causing emotional harm to a vulnerable person; clearly immoral.	The person who criticized	They were aware of the woman's age and limitations	The old woman	She was elderly and likely frail	-1.96129032	The agent is the person who criticized the old woman. I assume they were aware of the woman's age and physical limitations. The patient is the old woman, who is highly vulnerable due to her age and potential frailty. The action appears deliberate — a conscious choice to voice criticism. The harm is moderate: emotional distress and potential humiliation, but no physical injury. No help was provided; the action was purely negative. Criticizing a vulnerable person for something beyond their control is clearly immoral.	
27	Mickelberg	Person X took public transport so their sister could use their car to get to work safely.	orig		6.0	7.0	0.0	7.0	3.0	The sister is moderately vulnerable, relying on the car for safe transportation.	Deliberate and considerate action, showing planning and thoughtfulness.	No harm is caused by the action.	Substantial help ensuring the sister's safe commute to work.	A clear act of kindness and support, making it highly moral.	Person X	They chose to take public transport to help their sister	The sister	She needed the car for a safe commute to work	2.58	The agent is Person X, who chose to take public transport. The patient is the sister, who needed the car to get to work safely. The sister is moderately vulnerable: she relies on the car for safe transportation, but is not defenseless. The action is deliberate and considerate, showing planning and thoughtfulness. No harm is caused; instead, the action provides help. The help is substantial: ensuring the sister's safe commute to work. This is a clear act of kindness and support, making it highly moral.	
28	Kruepke	I had a bad relationship with my father and had not talked to him for years. He had left my mother. When my mother died I gathered the strength to call him and tell him that she died and that I loved him.	orig		6.0	8.0	2.0	7.0	3.0	The father is moderately vulnerable due to the emotional impact of the news.	Deliberate and required emotional strength, indicating high intentionality.	Minimal harm: the news is sad but not caused by the agent.	Significant help: emotional closure and a chance for reconciliation.	A positive and morally commendable act of reaching out and offering love in a difficult situation.	The person who made the call	They acted out of a sense of duty and emotional reconciliation	The father	He was estranged but still a family member	2.33	The agent is the person who made the call. They acted out of a sense of duty and emotional reconciliation. The patient is the father, who had been estranged but is still a family member. The father is moderately vulnerable due to the emotional impact of hearing about his ex-wife's death and the unexpected contact from his child. The action was deliberate and required emotional strength, indicating a high level of intentionality. The harm is minimal: the news of the death is sad but not caused by the agent. The help is significant: emotional closure and a chance for reconciliation. A positive and morally commendable act of reaching out and offering love in a difficult situation.	
29	Kruepke	My husband ran a business and I worked in his shop. Once a rather unsavory character came in and handed my husband something. So, I looked through my husband's wallet to see what the man gave him.	orig		5.0	6.0	3.0	2.0	-1.0	Typical adult with medium vulnerability to privacy breaches.	Deliberate but reactive, motivated by concern rather than planning.	Privacy violation and trust breach; no material or physical harm.	Minimal practical help; protective intent but no concrete benefit.	Understandable concern but violated trust and privacy; slightly immoral.	The wife	She was worried about suspicious activity and acted to investigate	The husband	He trusted his wife and expected privacy of his wallet	-1.14	The agent is the wife. She acted out of concern about suspicious activity affecting the family business and her husband. The patient is the husband, a typical adult who reasonably expected his wallet to be private. The action was deliberate but motivated by worry, not malice. The harm is minor: a privacy violation and a breach of trust, but no physical or material damage. The help is minimal — her intent was protective, but nothing concrete resulted. Understandable but ethically borderline; mildly immoral.	
30	Lotto	You are the head of a group of five travellers who are exploring the remote regions of South America. During the trip, you inadvertently camp in the sacred cemetery of a local tribe. The members of the tribe capture you and condemn you all to death. After some negotiation, they propose a possible alternative in the form of a human sacrifice that will pacify their god who has been offended.You accept the tribe’s proposal, and during the ceremony, you kill one of the travellers in the group. This person will die, but you and the other four travellers’ lives will be spared.	orig		9.0	9.0	9.0	9.0	0.0	All travelers are highly vulnerable due to captivity and threat of death.	Deliberate action with full knowledge of the consequences.	Direct cause of one traveler's death.	Saves four travelers from death.	Tragic utilitarian trade-off: one death directly caused to save four; roughly neutral.	The head of the group of travelers	They negotiated and accepted the sacrificial proposal to save the group	The sacrificed traveler and the other four travelers	All were defenseless and facing death	-1.24	The agent is the head of the group of travelers. The action is deliberate, involving negotiation and acceptance of a sacrificial proposal. The patient is the traveler who is sacrificed, a typical adult who is defenseless in this situation. The other four travelers are also patients, as their lives are at stake. All travelers are highly vulnerable due to their captivity and the threat of death. The harm is extreme: one traveler is killed. The help is also extreme: four lives are saved. This is another tragic utilitarian scenario where one life is sacrificed to save multiple others, presenting a severe moral dilemma with no clear right answer.	
31	Effron	Rescued an injured kitten from a tree	orig		9.0	8.0	0.0	8.0	4.0	An injured kitten is highly vulnerable and defenseless.	Deliberate action requiring intent and effort to climb the tree and rescue the kitten.	No harm is caused; the action alleviates distress and potential danger.	Substantial help: rescuing an injured animal from a precarious situation.	A highly moral and positive action, showing compassion and effort to help a vulnerable animal.	The rescuer	They acted out of compassion and concern for the kitten	The injured kitten	The kitten was injured and unable to escape the tree on its own	2.7428572	The agent is the person who rescued the kitten. I assume they acted out of compassion and concern for the animal's well-being. The patient is the injured kitten, which is highly vulnerable due to its injury and inability to escape the tree on its own. The action is deliberate — climbing a tree to rescue an animal requires intent and effort. No harm is caused; instead, the action alleviates the kitten's distress and potential danger. The help is substantial: rescuing an injured animal from a precarious situation is a significant act of kindness. This is a clear example of a highly moral and positive action.	
32	Kruepke	About a year ago I started re-selling medications from a Canadian pharmacy. I helped a great deal of elderly people so that they didn't have to pay exorbitant amounts for their medications that they needed.	orig		8.0	8.0	3.0	7.0	1.0	Elderly people dependent on medication are highly vulnerable.	Deliberate, year-long planned operation to resell medication.	Potential legal and safety risks, though no direct physical harm is described.	Substantial help providing essential medication at affordable prices.	Good intent and real help to vulnerable people, offset by legal and safety concerns.	The medication re-seller	They were motivated by helping elderly access affordable medicine	The elderly customers	They needed essential medication but could not afford US prices	0.57	The agent is the person reselling medications. I assume they were motivated by genuine concern for elderly people struggling to afford medications. The patients are elderly customers, highly vulnerable due to age and dependence on medication. The action is deliberate and organized — a year-long business operation. There is some potential harm (legal risk, possible safety concerns if drug quality is unverified) but also substantial help (affordable access to essential medication). Mixed: the positive impact on vulnerable lives outweighs the regulatory concerns, but doesn't cancel them.	
