id	dataset	scenario	circumstance_type	circumstance	Harm/ Help	Cheating/ Fairness	Betrayal/ Loyalty	Subversion/ Authority	Degradation/ Sanctity	Oppression/ Liberty	moral_score	Harm/ Help_expl	Cheating/ Fairness_expl	Betrayal/ Loyalty_expl	Subversion/ Authority_expl	Degradation/ Sanctity_expl	Oppression/ Liberty_expl	moral_expl	human_score	split	regression_score	mlp_score
11	Effron	Complimented coworkers on their clothing and appearance	orig		4	0	0	0	0	0	3	Complimenting coworkers helps boost their confidence and mood.	No cheating or unfairness is involved in giving compliments.	Complimenting coworkers does not involve betrayal or disloyalty.	Giving compliments does not challenge or subvert authority.	Complimenting coworkers does not degrade or disrespect them.	Giving compliments does not oppress or restrict coworkers' freedom.	Complimenting coworkers is a kind and respectful act that promotes positivity.	1.17894736	train		
12	Kruepke	I was in a relationship with my best friend's cousin. She was really beautiful, but as time went on I became less attracted to her. I tried to tell her I didn't really want to see her anymore and she flipped out.	orig		-2	0	-1	0	0	1	0	The protagonist's decision to end the relationship may cause emotional harm to the cousin.	No cheating or unfairness is involved in the scenario.	The protagonist's decision to end the relationship may be seen as a betrayal of the cousin's trust.	No authority figure is involved in the scenario.	No degradation or disrespect is involved in the scenario.	The protagonist's decision to end the relationship is an exercise of their personal liberty.	The scenario is morally neutral, as the protagonist's decision to end the relationship is a personal choice, but may cause harm to the cousin.	0.91	train		
13	Lotto	You are on holiday at the seaside and returning to shore in your motorboat. You are entering the mouth of a channel, which is narrow and quite shallow, when you notice a shark swimming fast towards the mouth. At the end of the channel is a swimmer, who is calmly bathing. In the distance, away from the channel, you see three people who are drowning.You turn quickly out of the channel, leaving the mouth free. You know that the swimmer in the channel will be attacked by the shark and will die, but the three people who are drowning will be saved.	orig		3	0	-2	0	2	0	3	You sacrifice one person to save three others.	No cheating or unfairness is involved in this scenario.	You abandon the swimmer in the channel, betraying their trust.	No authority figure is involved or subverted.	The value of human life is prioritized, maintaining sanctity.	No oppression or restriction of liberty occurs.	The moral acceptability is high due to the utilitarian outcome.	-0.46	train		
14	Mickelberg	Person X broke off all communication with their family for a while because they had a heated argument with each other.	orig		-2	0	-3	0	0	1	-1	Person X's action may have caused emotional harm to their family.	No cheating or unfairness is involved in this scenario.	Person X's action may be seen as a betrayal of their family's trust.	No authority figure is involved in this scenario.	No degradation or desecration of something sacred is involved.	Person X's action may be seen as an exercise of their personal liberty.	While Person X's action may have caused harm and been disloyal, it is not extremely immoral.	-0.38	train		
15	Mickelberg	Person X presented their colleague's idea as their own in order to get a promotion.	orig		-3	-5	-4	-1	0	0	-3	Colleague's idea is stolen, causing potential harm to their career	Presenting someone else's idea as one's own is a clear act of cheating	Colleague's trust is betrayed by presenting their idea as one's own	No clear subversion of authority, but unfair advantage is taken	No clear degradation or sanctity violation	No clear oppression or restriction of liberty	The scenario is morally unacceptable due to cheating, betrayal, and harm	-2.86	train		
16	Clifford	You see an employee joking with competitors about how bad his company did last year.	orig		-2	0	-4	-2	-2	0	-3	The employee's actions may harm the company's reputation.	No cheating or unfairness is involved in this scenario.	The employee's actions demonstrate disloyalty to their company.	The employee's actions do not challenge authority, but rather undermine it.	The employee's actions degrade the company's reputation.	No oppression or restriction of liberty is involved in this scenario.	The employee's actions are morally unacceptable due to disloyalty and potential harm to the company.	-2.0	train		
17	Cook	Someone posts on social media bragging about making out with multiple strangers the night before	orig		-1	-3	-2	0	-2	1	-2	No harm to others, but potentially harmful to self (STIs, emotional distress)	May be cheating on a partner or violating expectations of exclusivity	May be betraying trust of a partner or friends who expect loyalty	No clear subversion of authority	May be degrading oneself or others by objectifying them	No clear oppression of others, but may be exercising personal liberty	Scenario is morally questionable due to potential harm, cheating, and betrayal	-1.22	train		
18	Clifford	You see a girl shooting geese repeatedly with a pellet gun out in the woods.	orig		-5	0	0	0	-3	0	-3	The girl is causing harm to the geese.	No cheating or unfairness is involved.	No betrayal or loyalty is involved.	No authority is being subverted or obeyed.	The girl's actions degrade the sanctity of life.	No oppression or restriction of liberty is involved.	The scenario is morally unacceptable due to harm and degradation.	-3.0	train		
19	Clifford	You see a family eating the carcass of their pet dog that had been run over.	orig		-2	0	-3	0	-4	0	-3	The family is not actively harming anyone, but not helping the dog either.	No cheating or unfairness is involved in this scenario.	The family's action can be seen as a betrayal of the dog's trust.	No authority is being subverted or challenged in this scenario.	The family's action degrades the sanctity of their pet and their relationship.	No oppression or restriction of liberty is involved in this scenario.	The scenario is morally unacceptable due to the degradation of the pet and the family's relationship.	-3.2	train		
20	Mickelberg	Person X stole the collection tin of a blind beggar on the street.	orig		-4	-4	-3	0	-3	-2	-4	Person X causes harm to the blind beggar by stealing their collection tin.	Person X cheats the blind beggar out of their rightful earnings.	Person X betrays the trust of the blind beggar who is vulnerable and dependent on others.	No authority figure is involved, so this norm does not apply.	Person X degrades the dignity of the blind beggar by stealing from them.	Person X restricts the blind beggar's freedom to earn a living.	The scenario is extremely immoral due to the harm, cheating, and degradation involved.	-3.38	train		
21	Effron	Refused to hold the door for a man in a wheelchair	orig		-4	-3	0	0	-2	-2	-3	Refusing to hold the door causes inconvenience and harm to the person in a wheelchair.	Not holding the door is unfair to the person in a wheelchair who needs assistance.	No expectation of loyalty or betrayal in this scenario.	No authority figure is involved in this scenario.	Refusing to help a person in a wheelchair may be seen as degrading their dignity.	Not holding the door may restrict the person's freedom to move freely.	Refusing to hold the door for a person in a wheelchair is considered immoral due to the harm and unfairness caused.	-3.008	train		
22	Effron	Spent time voluntarily tutoring disadvantaged students	orig		5	0	0	0	3	3	4	Voluntarily tutoring disadvantaged students helps them.	No cheating or unfairness is involved in tutoring.	No betrayal is involved in tutoring disadvantaged students.	No authority is being subverted by tutoring students.	Tutoring disadvantaged students promotes their dignity.	Tutoring disadvantaged students promotes their freedom to learn.	The scenario is highly moral as it involves voluntarily helping disadvantaged students.	3.2	train		
23	Mickelberg	Person X saw a homeless person in the rain, so they gave the person their jacket and umbrella, plus $20 for a hot meal	orig		5	0	0	0	2	0	4	Person X helps the homeless person by providing a jacket, umbrella, and money.	No cheating or unfairness is involved in this scenario.	No betrayal or loyalty is relevant in this scenario.	No authority is involved or subverted in this scenario.	The act of kindness shows respect for human dignity.	No oppression or restriction of liberty is involved.	The scenario is highly moral due to the selfless act of kindness.	3.47	train		
24	Kruepke	For a while I was a security officer at a bank. One day I was walking by the front door when I saw a fifty-dollar bill. I was tempted to take the money but instead I reported it to the manager.	orig		4	4	4	4	0	0	4	Reporting the money helps the owner, so it's a helping act.	Not taking the money is a fair act, as it belongs to someone else.	Reporting the money shows loyalty to the bank and its customers.	Following the bank's rules and reporting the money shows respect for authority.	No degradation or sanctity issues are involved in this scenario.	No oppression or liberty issues are involved in this scenario.	The scenario is highly moral because it involves an honest and fair act.	2.75	train		
25	Effron	Heckled a woman speaking on human rights	orig		-3	-2	0	-1	-2	-3	-3	Heckling causes emotional distress and hinders the speaker's ability to express themselves.	Heckling is an unfair disruption of the speaker's right to express themselves.	No clear betrayal or loyalty is involved in this scenario.	Heckling can be seen as a challenge to the speaker's authority or right to speak.	Heckling can be degrading to the speaker and undermine their dignity.	Heckling restricts the speaker's freedom to express themselves and can be oppressive.	Heckling a woman speaking on human rights is morally unacceptable as it restricts her freedom and causes harm.	-2.25454544	train		
26	Effron	Criticized an old woman for being too slow	orig		-3	0	0	0	-2	0	-2	Criticizing an old woman may cause emotional harm.	No cheating or unfairness is involved in this scenario.	No betrayal or loyalty is involved in this scenario.	No authority figure is involved in this scenario.	Criticizing an old woman may degrade her dignity.	No oppression or restriction of liberty is involved.	Criticizing an old woman for being slow is morally unacceptable.	-1.96129032	train		
27	Mickelberg	Person X took public transport so their sister could use their car to get to work safely.	orig		4	0	3	0	0	0	3	Person X helps their sister by letting her use their car.	No cheating or unfairness is involved in this scenario.	Person X shows loyalty to their sister by helping her.	No authority is involved or subverted in this scenario.	No degradation or sanctity is involved in this scenario.	No oppression or restriction of liberty is involved.	The scenario is morally acceptable as it involves helping a family member.	2.58	train		
28	Kruepke	I had a bad relationship with my father and had not talked to him for years. He had left my mother. When my mother died I gathered the strength to call him and tell him that she died and that I loved him.	orig		4	0	4	0	3	0	4	Calling father to inform about mother's death shows help and concern.	No cheating or unfairness involved in this scenario.	Reaching out to father despite past conflicts shows loyalty and forgiveness.	No authority figure is involved or challenged in this scenario.	Showing love and respect to father despite past conflicts preserves sanctity.	No oppression or restriction of freedom is involved in this scenario.	The scenario shows moral courage, forgiveness, and love, making it highly moral.	2.33	train		
29	Kruepke	My husband ran a business and I worked in his shop. Once a rather unsavory character came in and handed my husband something. So, I looked through my husband's wallet to see what the man gave him.	orig		0	-2	-3	0	0	0	-2	No harm or help is directly involved in this scenario.	The wife's action of looking through her husband's wallet could be seen as unfair.	The wife's action could be seen as a betrayal of her husband's trust.	No authority figure is involved in this scenario.	No degradation or sanctity is involved in this scenario.	No oppression or restriction of liberty is involved in this scenario.	The wife's action, although motivated by curiosity, is a violation of her husband's privacy.	-1.14	train		
30	Lotto	You are the head of a group of five travellers who are exploring the remote regions of South America. During the trip, you inadvertently camp in the sacred cemetery of a local tribe. The members of the tribe capture you and condemn you all to death. After some negotiation, they propose a possible alternative in the form of a human sacrifice that will pacify their god who has been offended.You accept the tribe’s proposal, and during the ceremony, you kill one of the travellers in the group. This person will die, but you and the other four travellers’ lives will be spared.	orig		-4	-2	-5	-1	-4	-3	-3	One person is killed, while others are spared.	The tribe's proposal is unfair, but accepted out of desperation.	The leader betrays one of their own group members.	The tribe's authority is acknowledged, but their rules are morally questionable.	Human life is treated as a means to appease a god, rather than being sacred.	The tribe's rules and punishment restrict the travellers' freedom.	The scenario is morally unacceptable due to the harm, betrayal, and degradation involved.	-1.24	train		
31	Effron	Rescued an injured kitten from a tree	orig		5	0	0	0	0	0	4	Rescuing the kitten from harm	No cheating or unfairness involved	No betrayal or loyalty issues	No authority figure involved	No degradation or sanctity issues	No oppression or restriction of liberty	Rescuing an injured kitten is a highly moral act	2.7428572	train		
32	Kruepke	About a year ago I started re-selling medications from a Canadian pharmacy. I helped a great deal of elderly people so that they didn't have to pay exorbitant amounts for their medications that they needed.	orig		5	-2	0	-3	0	2	2	Helping elderly people access affordable medications.	Re-selling medications without proper authorization.	No betrayal of trust or loyalty is involved.	Operating outside of legal pharmaceutical distribution channels.	No degradation or disrespect is involved.	Helping people access necessary medications, promoting liberty.	The scenario is morally acceptable due to the positive impact on elderly people, despite some legal and ethical concerns.	0.57	train		
33	Kruepke	I was at the pharmacy buying something and I noticed a man who was sitting outside selling trinkets. He was homeless and it was freezing out. So I went next door to a store and bought him some food and new clothes.	orig		5	0	0	0	2	0	4	The scenario involves helping a person in need.	No cheating or unfairness is involved in the scenario.	No betrayal or loyalty is relevant in the scenario.	No authority is involved or subverted in the scenario.	The scenario involves showing respect and kindness to a person.	No oppression or restriction of liberty is involved in the scenario.	The scenario is highly moral due to the act of kindness and help.	2.62	train		
34	Kruepke	"My husband had a problem with always wanting new computer equipment, what I called ""techno-lust"". It was a really huge financial problem, and I told him he had to go on a 5-year plan to financially police himself or I would divorce him. He has greatly improved."	orig		2	1	1	1	2	0	3	Husband's techno-lust caused financial harm, but wife's intervention helped.	Husband's behavior was unfair to wife, but wife's ultimatum promoted fairness.	Husband's behavior was a betrayal of wife's trust, but wife's intervention showed loyalty.	Wife's ultimatum established her authority, but husband's improvement showed submission.	Husband's behavior degraded their financial situation, but wife's intervention restored sanctity.	Wife's ultimatum could be seen as oppressive, but husband's improvement gave him liberty.	Wife's intervention was morally acceptable as it promoted fairness and helped the situation.	0.38	train		
35	Effron	Took the neighbor's newspaper	orig		-2	-4	-3	0	0	0	-2	Took something that didn't belong, causing minor harm	Took something without permission, unfair to neighbor	Broke trust with neighbor, disloyal act	No authority figure involved, no subversion	No degradation or disrespect involved	No oppression or restriction of freedom	Took something without permission, causing minor harm and unfairness	-1.73714296	train		
36	Clifford	You see someone cheating in a card game while playing with a group of strangers.	orig		-2	-5	-3	0	0	0	-3	Cheating may cause financial harm to others	Cheating is an extreme act of unfairness	Cheating betrays the trust of fellow players	No authority figure is being subverted	No moral sanctity is being degraded	No one's liberty is being oppressed	Cheating is morally unacceptable due to unfairness and potential harm	-2.6	train		
37	Mickelberg	Person X did really well at the quiz night.	orig		2	3	0	0	0	0	3	Person X's success does not harm others, but helps themselves.	No cheating is implied, so fairness is upheld.	No betrayal is involved, loyalty is not relevant.	No authority is challenged, so subversion is not applicable.	No degradation or sanctity is involved in a quiz night.	No oppression or restriction of liberty is involved.	The scenario is morally acceptable as it involves fair competition and personal achievement.	0.41	train		
38	Effron	Sang at a prison in order to entertain the inmates	orig		4	0	0	1	3	2	3	Singing brings joy and entertainment to inmates.	No cheating or unfairness involved in singing.	No betrayal or disloyalty to anyone by singing.	Singing may be seen as a form of obedience to authority.	Singing brings positivity and uplifts the inmates' spirits.	Singing provides a brief escape from confinement.	Singing in a prison is a morally positive act that brings joy and positivity.	1.93684216	train		
39	Grizzard	Rescues a local child in danger instead of firing on an enemy brigade.	orig		5	0	0	0	5	0	4	The scenario involves helping a child in danger.	No cheating or unfairness is involved in this scenario.	The scenario does not involve betraying anyone, but rather prioritizing a child's life.	The scenario does not involve subverting authority, but rather making a moral choice.	The scenario involves protecting a child's life, which is a sacred value.	The scenario does not involve oppression or restriction of liberty.	The scenario is highly moral as it prioritizes saving a child's life over military objectives.	2.893333333	train		
40	Lotto	You are in a field playing frisbee with three young people you have just met. Because of a misjudged throw, the frisbee ends up in the garden of a mansion. You decide to climb the wall to look for it. Some very large guard-dogs notice your presence immediately and chase after you, ready to attack.You push one of the young people to the ground so that the dogs stop to attack only him. You know that he will die, but you, and the other two, will be able to escape.	orig		-5	-4	-5	-2	-4	-3	-4	You harm one person to save others.	You cheat the system by sacrificing one person.	You betray one person's trust to save yourself and others.	You disregard the authority of the mansion's owners and their guard dogs.	You degrade the value of human life by sacrificing one person.	You take away one person's liberty to save your own.	The scenario is extremely immoral due to the harm and betrayal involved.	-1.82	train		
41	Mickelberg	Person X worked on a campaign to release wrongfully convicted prisoners.	orig		5	4	3	2	4	5	4	Helping wrongfully convicted prisoners, reducing harm to them.	Fighting for fairness and justice, no cheating involved.	No betrayal, showing loyalty to the wrongly convicted.	Challenging authority to correct a wrong, not subverting.	Restoring dignity to wrongfully convicted, promoting sanctity.	Fighting against oppression, promoting liberty and freedom.	The scenario is highly moral, promoting justice and human rights.	3.27	train		
42	Effron	Gave his coat to someone when it was cold	orig		5	0	0	0	0	0	4	Gave coat to someone in need, showing help.	No cheating or unfairness involved.	No betrayal, as the act is selfless.	No authority figure involved.	No degradation, as the act is respectful.	No oppression, as the act is voluntary.	The scenario is highly moral due to the selfless act of helping someone in need.	3.04	train		
43	Effron	Kicked a stray cat to get it to leave his yard	orig		-4	0	0	0	-3	0	-3	Kicking a cat causes harm and pain.	No cheating or unfairness involved in this scenario.	No betrayal or loyalty issues in this scenario.	No authority figure involved in this scenario.	Kicking a cat degrades its dignity and well-being.	No oppression or restriction of liberty involved.	Kicking a stray cat is a harmful and inhumane act.	-3.048	train		
44	Effron	Tricked a stay at home mom into donating to a fake charity	orig		-4	-5	-4	-3	-3	-2	-4	The stay-at-home mom is financially harmed by donating to a fake charity.	The scammer cheats the stay-at-home mom out of her money by deceiving her.	The scammer betrays the stay-at-home mom's trust by pretending to be a legitimate charity.	The scammer subverts the authority of legitimate charities by impersonating one.	The scammer degrades the sanctity of charitable giving by exploiting it for personal gain.	The scammer takes advantage of the stay-at-home mom's freedom to make choices, oppressing her autonomy.	This scenario is extremely immoral due to the intentional harm and deception inflicted on the stay-at-home mom.	-3.088	train		
45	Mickelberg	Person X volunteers at a dog refuge, walking the dogs and cleaning their kennels once a week.	orig		5	0	3	0	4	2	4	Person X helps dogs by walking and cleaning their kennels.	No cheating or unfairness is involved in this scenario.	Person X shows loyalty to the dog refuge and the dogs.	Person X follows the rules and guidelines of the dog refuge.	Person X treats the dogs with respect and care.	The dogs are not oppressed, and Person X helps them feel more free.	The scenario is highly moral due to Person X's selfless acts of kindness.	2.67	train		
46	Mickelberg	Person X buys a loaf of bread every day, as they love the smell of freshly baked bread in the morning.	orig		2	0	0	0	0	1	1	No harm is caused to anyone, and the person is helping themselves.	No cheating or unfairness is involved in buying bread.	No betrayal or loyalty is relevant in this scenario.	No authority is being challenged or subverted.	No degradation or sanctity is involved in buying bread.	The person is exercising their liberty to buy bread.	The scenario is morally neutral, with a slight positive tone due to the person's autonomy.	0.2	train		
47	Mickelberg	Person X cleaned the bookshelf and picked up some items that had dropped onto the floor.	orig		4	0	0	0	0	0	3	Person X helped by cleaning and picking up items.	No cheating or unfairness involved.	No betrayal or loyalty issues present.	No authority figure or subversion involved.	No degradation or sanctity issues present.	No oppression or restriction of liberty.	The scenario is morally acceptable as it involves a helpful act.	1.0	train		
48	Clifford	You see a teenage girl wearing a long trench coat on a hot summer afternoon.	orig		-2	0	0	2	0	3	0	The girl may be harming herself by wearing a heavy coat in hot weather.	No apparent cheating or unfairness involved.	No apparent betrayal or loyalty issue.	The girl may be subverting social norms of dress code.	No apparent degradation or sanctity issue.	The girl may be exercising her liberty to dress as she chooses.	The scenario is morally neutral, with some concern for the girl's well-being.	-0.2	train		
49	Clifford	You see a pastor banning his congregants from wearing bright colors in the church.	orig		-1	0	0	3	-2	-2	-2	No direct harm, but restriction may cause emotional distress.	No cheating or unfairness involved in the pastor's decision.	No betrayal of trust, as the pastor has authority to set rules.	The pastor exercises authority by setting a dress code.	The restriction may be seen as degrading individuality.	The ban restricts personal freedom, but within a religious context.	The scenario is morally questionable due to restriction of personal freedom.	-2.6	train		
50	Mickelberg	Person X always pays off their debts first before buying things for themselves.	orig		4	4	0	0	2	0	3	Paying off debts helps creditors, a positive act.	Paying debts is a fair and honest action.	No betrayal is involved in paying debts.	No authority is being subverted by paying debts.	Paying debts maintains a sense of financial sanctity.	No oppression or restriction of liberty is involved.	Paying off debts first demonstrates responsibility and fairness.	1.85	train		
51	Kruepke	My mother would always bring home clothes for me that I hated and would never wear. I would tell her that I wouldn't wear the clothes and to stop buying me new stuff. She would get really mad at me.	orig		-2	0	-1	1	0	-1	-2	Mother's actions cause emotional distress to the child.	No cheating or unfairness is involved in this scenario.	Mother's actions may be seen as disloyal to the child's preferences.	Child resists mother's authority, but not in a subversive manner.	No degradation or sanctity is involved in this scenario.	Mother's actions may be seen as oppressive to the child's autonomy.	The scenario is morally unacceptable due to the mother's disregard for the child's feelings and autonomy.	-0.44	train		
52	Effron	Lent money to a friend in a financial crisis	orig		4	0	3	0	0	0	3	Lending money helps the friend in crisis.	No cheating or unfairness involved in the loan.	Lending money shows loyalty to the friend.	No authority figure is involved or subverted.	No degradation or sanctity issues are involved.	No oppression or restriction of liberty occurs.	Lending money to a friend in crisis is a morally acceptable act.	2.4	train		
53	Mickelberg	Person X saved a man who was about to be hit by a car by jumping in front of the car and pushing him out of the way.	orig		5	0	0	0	0	0	4	Person X helps the man by pushing him out of the way.	No cheating or unfairness is involved in this scenario.	No betrayal or loyalty is relevant in this scenario.	No authority is involved or subverted in this scenario.	No degradation or sanctity is relevant in this scenario.	No oppression or restriction of liberty is involved.	The scenario is highly moral due to the selfless act of saving a person's life.	3.38	train		
54	Clifford	You see an employee at a morgue eating his pepperoni pizza off of a dead body.	orig		-3	0	-2	-2	-5	0	-4	Eating off a dead body may cause emotional harm to others.	No cheating or unfairness is involved in this scenario.	The employee's action may be seen as a betrayal of trust and respect.	The employee's action may be seen as a disregard for authority and protocol.	Eating off a dead body is a desecration of the deceased and the morgue environment.	No oppression or restriction of liberty is involved in this scenario.	The scenario is extremely immoral due to the disrespect and desecration involved.	-3.2	train		
55	Clifford	You see an employee lying about how many hours she worked during the week.	orig		-2	-5	-3	-2	0	0	-3	The employee's lie may harm the company's trust and resources.	The employee is cheating by lying about hours worked, violating fairness.	The employee's lie betrays the company's trust and loyalty.	The employee's lie subverts the authority of the company's time-tracking system.	No degradation or sanctity norms are significantly violated.	No oppression or liberty norms are significantly violated.	The scenario is immoral due to the employee's dishonesty and potential harm to the company.	-2.9	train		
56	Effron	Pushed into the front of a line at a theater	orig		-2	-4	0	0	0	0	-2	Pushing into the front of the line may cause inconvenience to others.	Cutting in line is unfair to those who have been waiting.	No betrayal of trust or loyalty is involved in this scenario.	No authority figure is involved in this scenario.	No degradation or disrespect is involved in this scenario.	No oppression or restriction of freedom is involved in this scenario.	The scenario is morally unacceptable due to the unfairness and inconvenience caused.	-1.91111104	train		
57	Mickelberg	Person X called a waitress 'dummy' and did not leave a tip, because they didn't like her name.	orig		-3	-2	0	0	-4	-1	-3	Person X caused emotional harm to the waitress.	Person X did not pay a fair wage (tip) for the service.	No betrayal or loyalty is involved in this scenario.	No authority figure is involved in this scenario.	Person X degraded the waitress by calling her a 'dummy'.	The waitress's autonomy was not restricted, but she was disrespected.	The scenario is immoral due to the harm, unfairness, and degradation caused.	-2.98	train		
58	Clifford	You see a story about a remote tribe eating the flesh of their deceased members.	orig		-3	0	2	0	-4	0	-3	Eating deceased members may be seen as harming them.	No cheating or unfairness is apparent in this scenario.	The tribe's actions may be seen as a form of loyalty to their deceased.	No authority figure is being subverted in this scenario.	Eating human flesh may be seen as degrading the deceased.	No oppression or restriction of liberty is apparent.	The scenario is morally unacceptable due to the harm and degradation involved.	-2.3	train		
59	Cook	Someone brags on social media about drinking excessively to the point of vomiting	orig		-3	0	0	0	-2	0	-2	The person is harming themselves by excessive drinking.	No cheating or unfairness is involved in this scenario.	No betrayal of trust or loyalty is involved in this scenario.	No authority is being subverted or challenged in this scenario.	The person is degrading themselves by engaging in excessive drinking.	No oppression or restriction of liberty is involved in this scenario.	The scenario is morally unacceptable due to self-harm and degradation.	-1.19	train		
60	Effron	Didn't leave a tip at the restaurant	orig		-2	-3	0	0	0	0	-2	Not leaving a tip may harm the server's income.	Not leaving a tip may be seen as unfair to the server.	No loyalty is expected between customer and server.	No authority is defied in this scenario.	No degradation or sanctity is involved.	No oppression or restriction of liberty occurs.	Not leaving a tip is considered impolite and unfair.	-1.6571428	train		
61	Mickelberg	Person X released intimate photos of their ex-partner to their friends and then posted them to the internet.	orig		-5	-4	-5	0	-5	-4	-4	Person X caused emotional harm to their ex-partner.	Person X's action is unfair and unjust to their ex-partner.	Person X betrayed their ex-partner's trust by sharing intimate photos.	No authority figure is involved in this scenario.	Person X degraded their ex-partner's dignity and privacy.	Person X restricted their ex-partner's freedom and autonomy.	The scenario is extremely immoral due to the harm, betrayal, and degradation caused.	-3.23	train		
