id	dataset	scenario	circumstance_type	circumstance	Q1_score	Q1_expl	Q2_score	Q2_expl	Q3_score	Q3_expl	Q4_score	Q4_expl	moral_score	moral_expl	human_score	split	regression_score	mlp_score
11	Effron	Complimented coworkers on their clothing and appearance	orig		5.0	Prudence is neutral as complimenting coworkers doesn't require moral principles or practical wisdom.	5.0	Justice is neutral as complimenting coworkers doesn't affect fairness or moral righteousness.	0.0	Fortitude is not required as complimenting coworkers doesn't involve facing challenges or adversity.	8.0	Temperance is reflected as complimenting coworkers shows self-control in desires and pleasures.	2.0	The scenario is morally acceptable as it promotes positive relationships and respect.	1.17894736	train		
12	Kruepke	I was in a relationship with my best friend's cousin. She was really beautiful, but as time went on I became less attracted to her. I tried to tell her I didn't really want to see her anymore and she flipped out.	orig		2.0	Lack of prudence in handling the situation, leading to conflict.	3.0	Unfair to the cousin, who was invested in the relationship.	2.0	Lack of courage in communicating feelings honestly and directly.	4.0	Immoderate desire for freedom from the relationship.	-2.0	Immoral due to unfair treatment and lack of courage.	0.91	train		
13	Lotto	You are on holiday at the seaside and returning to shore in your motorboat. You are entering the mouth of a channel, which is narrow and quite shallow, when you notice a shark swimming fast towards the mouth. At the end of the channel is a swimmer, who is calmly bathing. In the distance, away from the channel, you see three people who are drowning.You turn quickly out of the channel, leaving the mouth free. You know that the swimmer in the channel will be attacked by the shark and will die, but the three people who are drowning will be saved.	orig		8.0	Practical wisdom is used to prioritize saving more lives.	2.0	Fairness is compromised as one person is sacrificed for others.	7.0	Courage is shown in making a difficult decision quickly.	5.0	Moderation is not directly applicable in this scenario.	2.0	Morally acceptable due to prioritizing greater good.	-0.46	train		
14	Mickelberg	Person X broke off all communication with their family for a while because they had a heated argument with each other.	orig		2.0	Lack of communication may indicate imprudence in resolving conflicts.	2.0	Breaking off communication may be unfair to family members.	2.0	Avoiding conflict may show lack of courage to address issues.	1.0	Extreme reaction to argument indicates lack of self-control.	-3.0	The action is morally unacceptable due to lack of prudence, justice, and temperance.	-0.38	train		
15	Mickelberg	Person X presented their colleague's idea as their own in order to get a promotion.	orig		0.0	Lack of prudence in prioritizing personal gain over moral principles.	0.0	Injustice towards the colleague whose idea was stolen.	0.0	No courage or strength in upholding moral convictions.	0.0	Lack of self-control in desires for personal advancement.	-4.0	Extremely immoral due to dishonesty and unfairness.	-2.86	train		
16	Clifford	You see an employee joking with competitors about how bad his company did last year.	orig		0.0	Lack of prudence in sharing sensitive information with competitors.	0.0	Unfair to the company and its stakeholders, breaching trust.	0.0	No courage or strength in upholding moral convictions.	0.0	Lack of self-control in sharing confidential information.	-4.0	Extremely immoral due to breach of trust and confidentiality.	-2.0	train		
17	Cook	Someone posts on social media bragging about making out with multiple strangers the night before	orig		0.0	Lack of consideration for others and self in reckless behavior.	0.0	Disregard for others' feelings and boundaries in pursuit of pleasure.	0.0	No courage or strength shown in upholding moral convictions.	0.0	Excessive and uncontrolled desire for pleasure and attention.	-4.0	The scenario shows a complete disregard for moral principles and virtues.	-1.22	train		
18	Clifford	You see a girl shooting geese repeatedly with a pellet gun out in the woods.	orig		2.0	Lacking prudence, as shooting geese may harm ecosystem balance.	1.0	Unjust to geese, as they are harmed without moral justification.	5.0	No evident courage or strength in upholding moral convictions.	2.0	Lacking self-control, as pleasure is sought at the expense of animal welfare.	-3.0	Immoral due to harm caused to geese and potential ecosystem imbalance.	-3.0	train		
19	Clifford	You see a family eating the carcass of their pet dog that had been run over.	orig		2.0	Lack of prudence in considering emotional and moral implications.	1.0	Injustice to the animal and potential harm to human relationships.	0.0	No courage or strength in upholding moral convictions.	0.0	Excessive and uncontrolled desire for food.	-4.0	Extremely immoral due to lack of virtues.	-3.2	train		
20	Mickelberg	Person X stole the collection tin of a blind beggar on the street.	orig		0.0	Lack of prudence in stealing from a vulnerable person.	0.0	Injustice towards the blind beggar, violating fairness and moral righteousness.	0.0	No courage or strength in upholding moral convictions, rather cowardice.	0.0	Lack of self-control and moderation in desires, leading to harmful action.	-4.0	Extremely immoral action, violating multiple virtues.	-3.38	train		
21	Effron	Refused to hold the door for a man in a wheelchair	orig		0.0	Lack of consideration for others' needs shows imprudence.	0.0	Refusing to help a person in need is unjust and unfair.	5.0	No courage or strength is required to hold a door.	5.0	No self-control or moderation is involved in this action.	-4.0	Refusing to help a person in need is highly immoral.	-3.008	train		
22	Effron	Spent time voluntarily tutoring disadvantaged students	orig		8.0	Balancing time and resources to help others reflects prudence.	9.0	Helping disadvantaged students promotes fairness and equality.	8.0	Voluntarily taking on a challenging task shows courage and conviction.	5.0	Moderation is not directly applicable in this selfless act.	4.0	This action is highly moral, promoting fairness and courage.	3.2	train		
23	Mickelberg	Person X saw a homeless person in the rain, so they gave the person their jacket and umbrella, plus $20 for a hot meal	orig		8.0	Prudence is reflected in considering the homeless person's needs.	9.0	Justice is reflected in promoting fairness and equality.	6.0	Fortitude is not highly reflected as no significant challenge is faced.	8.0	Temperance is reflected in self-control and moderation in giving.	4.0	The action is highly moral due to its kindness and fairness.	3.47	train		
24	Kruepke	For a while I was a security officer at a bank. One day I was walking by the front door when I saw a fifty-dollar bill. I was tempted to take the money but instead I reported it to the manager.	orig		8.0	Reporting the money shows practical wisdom in upholding moral principles.	9.0	Returning the money ensures fairness and moral righteousness in the workplace.	8.0	Resisting temptation takes courage and strength in upholding moral convictions.	9.0	Overcoming temptation demonstrates moderation and self-control in desires.	4.0	The action is highly moral due to the combination of prudence, justice, fortitude, and temperance.	2.75	train		
25	Effron	Heckled a woman speaking on human rights	orig		0.0	Heckling lacks practical wisdom, ignoring the speaker's rights.	0.0	Heckling undermines fairness and moral righteousness in relationships.	0.0	Heckling shows a lack of courage to engage in respectful dialogue.	0.0	Heckling is an uncontrolled and impulsive outburst.	-4.0	Heckling is extremely immoral, violating human rights and dignity.	-2.25454544	train		
26	Effron	Criticized an old woman for being too slow	orig		2.0	Lacking prudence, as it prioritizes speed over respect for the elderly.	1.0	Unjust, as it fails to show empathy and understanding towards the elderly.	5.0	No demonstration of fortitude, as it doesn't involve standing up for a moral conviction.	2.0	Intemperate, as it lacks self-control and patience in dealing with the elderly.	-3.0	Immoral, as it shows disrespect and lack of empathy towards the elderly.	-1.96129032	train		
27	Mickelberg	Person X took public transport so their sister could use their car to get to work safely.	orig		8.0	Balancing sister's safety with personal convenience.	9.0	Ensuring sister's safe commute, promoting fairness.	5.0	No notable courage or strength required.	8.0	Moderation in personal desires for sister's benefit.	3.0	Overall, a morally commendable and selfless act.	2.58	train		
28	Kruepke	I had a bad relationship with my father and had not talked to him for years. He had left my mother. When my mother died I gathered the strength to call him and tell him that she died and that I loved him.	orig		8.0	Balancing emotional pain with moral obligation to inform.	8.0	Fairness in informing father, despite past wrongs.	9.0	Courage to face painful emotions and past conflicts.	9.0	Self-control in choosing to forgive and inform.	3.0	High moral acceptability due to courage and forgiveness.	2.33	train		
29	Kruepke	My husband ran a business and I worked in his shop. Once a rather unsavory character came in and handed my husband something. So, I looked through my husband's wallet to see what the man gave him.	orig		2.0	Lack of trust and invasion of privacy show imprudence.	2.0	Invasion of privacy and potential mistrust undermine justice.	5.0	No courage or strength is demonstrated in this action.	2.0	Lack of self-control and impulsiveness are evident.	-2.0	The action is morally unacceptable due to invasion of privacy.	-1.14	train		
30	Lotto	You are the head of a group of five travellers who are exploring the remote regions of South America. During the trip, you inadvertently camp in the sacred cemetery of a local tribe. The members of the tribe capture you and condemn you all to death. After some negotiation, they propose a possible alternative in the form of a human sacrifice that will pacify their god who has been offended.You accept the tribe’s proposal, and during the ceremony, you kill one of the travellers in the group. This person will die, but you and the other four travellers’ lives will be spared.	orig		2.0	Practical wisdom is compromised by sacrificing a group member.	0.0	The action is unfair to the sacrificed individual and prioritizes self-preservation.	6.0	Courage is demonstrated in the face of adversity, but moral convictions are compromised.	2.0	Self-control is lacking in the decision to sacrifice another person.	-3.0	The scenario is morally unacceptable due to the unjust and imprudent decision.	-1.24	train		
31	Effron	Rescued an injured kitten from a tree	orig		8.0	Prudence is reflected in assessing the situation and taking a calculated risk to rescue the kitten.	5.0	Justice is not directly related to this action, as it's an individual act of kindness.	7.0	Fortitude is reflected in facing the challenge of rescuing the kitten from a tree.	5.0	Temperance is not directly related to this action, as it's not about self-control or desires.	3.0	The action is highly moral due to its kindness and bravery.	2.7428572	train		
32	Kruepke	About a year ago I started re-selling medications from a Canadian pharmacy. I helped a great deal of elderly people so that they didn't have to pay exorbitant amounts for their medications that they needed.	orig		8.0	Balancing cost and accessibility, showing practical wisdom.	9.0	Ensuring fairness in access to medication, promoting moral righteousness.	8.0	Showing courage in challenging pharmaceutical prices, upholding moral convictions.	7.0	Moderating personal gain, prioritizing the greater good.	3.0	Overall, the action is morally acceptable, promoting fairness and accessibility.	0.57	train		
33	Kruepke	I was at the pharmacy buying something and I noticed a man who was sitting outside selling trinkets. He was homeless and it was freezing out. So I went next door to a store and bought him some food and new clothes.	orig		8.0	Practical wisdom in helping the homeless man in need.	9.0	Fairness in treating the homeless man with kindness.	7.0	Courage in taking initiative to help the homeless man.	8.0	Moderation in not overdoing the help, just providing necessities.	4.0	High moral acceptability in showing compassion and kindness.	2.62	train		
34	Kruepke	"My husband had a problem with always wanting new computer equipment, what I called ""techno-lust"". It was a really huge financial problem, and I told him he had to go on a 5-year plan to financially police himself or I would divorce him. He has greatly improved."	orig		8.0	Setting a 5-year plan shows practical wisdom in managing finances.	6.0	The ultimatum may be seen as unfair, but it's a last resort to protect the relationship.	8.0	The wife's courage in setting boundaries and the husband's effort to change show fortitude.	9.0	The husband's improvement in controlling his 'techno-lust' reflects temperance.	3.0	The scenario promotes moral virtues, but the ultimatum may be seen as slightly immoral.	0.38	train		
35	Effron	Took the neighbor's newspaper	orig		0.0	Lack of prudence in taking something that doesn't belong to you.	0.0	Injustice towards the neighbor, violating their property rights.	5.0	No courage or strength is required to take something without permission.	0.0	Lack of self-control, giving in to desires without considering consequences.	-3.0	The action is immoral, violating the neighbor's property and trust.	-1.73714296	train		
36	Clifford	You see someone cheating in a card game while playing with a group of strangers.	orig		0.0	Cheating lacks prudence, as it's short-sighted and may lead to negative consequences.	0.0	Cheating is unjust, as it unfairly advantages one player over others.	0.0	Cheating doesn't require fortitude, as it's a cowardly act.	0.0	Cheating lacks temperance, as it's an excessive desire to win at any cost.	-4.0	Cheating is extremely immoral, as it violates fairness and trust.	-2.6	train		
37	Mickelberg	Person X did really well at the quiz night.	orig		5.0	Prudence is not directly related to doing well at a quiz night.	5.0	Justice is not directly related to doing well at a quiz night.	5.0	Fortitude is not required to do well at a quiz night.	5.0	Temperance is not directly related to doing well at a quiz night.	0.0	Doing well at a quiz night is a neutral action morally.	0.41	train		
38	Effron	Sang at a prison in order to entertain the inmates	orig		8.0	Prudence is reflected in considering the inmates' well-being and entertainment.	9.0	Justice is reflected in providing a service to those in need, promoting fairness.	6.0	Fortitude is not highly reflected, as there is no apparent risk or challenge.	8.0	Temperance is reflected in moderation and self-control in the performance.	3.0	The scenario is highly moral, promoting well-being and fairness.	1.93684216	train		
39	Grizzard	Rescues a local child in danger instead of firing on an enemy brigade.	orig		8.0	Prudence is reflected in prioritizing the child's life over military objectives.	9.0	Justice is served by protecting an innocent child from harm.	9.0	Fortitude is demonstrated by risking one's own life to save the child.	5.0	Temperance is not directly relevant in this scenario.	4.0	The action is highly moral due to its selfless and courageous nature.	2.893333333	train		
40	Lotto	You are in a field playing frisbee with three young people you have just met. Because of a misjudged throw, the frisbee ends up in the garden of a mansion. You decide to climb the wall to look for it. Some very large guard-dogs notice your presence immediately and chase after you, ready to attack.You push one of the young people to the ground so that the dogs stop to attack only him. You know that he will die, but you, and the other two, will be able to escape.	orig		0.0	Lack of prudence in sacrificing another person for self-preservation.	0.0	Injustice in sacrificing an innocent person for personal gain.	0.0	Cowardice in pushing someone else to face danger instead of facing it oneself.	0.0	Lack of self-control in prioritizing self-preservation over moral principles.	-4.0	Extremely immoral due to the sacrifice of an innocent person for self-preservation.	-1.82	train		
41	Mickelberg	Person X worked on a campaign to release wrongfully convicted prisoners.	orig		8.0	Balancing moral principles with practical wisdom to achieve a just outcome.	10.0	Ensuring fairness and moral righteousness by releasing wrongfully convicted prisoners.	9.0	Showing courage and strength in the face of adversity to uphold moral convictions.	5.0	No excessive desires or pleasures are involved in this action.	4.0	Highly moral due to the strong presence of justice and fortitude.	3.27	train		
42	Effron	Gave his coat to someone when it was cold	orig		5.0	Prudence is not directly involved in this action.	8.0	The action shows fairness and kindness to the person in need.	6.0	Some courage is required to give up a personal possession.	5.0	The action does not involve self-control or moderation.	3.0	The action is morally acceptable due to its kind and fair nature.	3.04	train		
43	Effron	Kicked a stray cat to get it to leave his yard	orig		0.0	Lacking prudence, as it causes harm to an innocent animal.	0.0	Unjust, as it inflicts pain and suffering on a helpless creature.	5.0	No fortitude is required, as it's an act of aggression.	0.0	Intemperate, as it's an impulsive and violent reaction.	-3.0	Morally unacceptable, as it causes harm and suffering to an innocent animal.	-3.048	train		
44	Effron	Tricked a stay at home mom into donating to a fake charity	orig		0.0	Lack of prudence in deceiving a stay-at-home mom	0.0	Injustice in exploiting a person's kindness	0.0	No courage or strength in upholding moral convictions	0.0	Lack of self-control in deceiving for personal gain	-4.0	Extremely immoral due to exploitation and deception	-3.088	train		
45	Mickelberg	Person X volunteers at a dog refuge, walking the dogs and cleaning their kennels once a week.	orig		8.0	Volunteering at a dog refuge shows practical wisdom in using free time for a good cause.	9.0	Helping dogs in need promotes fairness and moral righteousness in relationships with animals.	6.0	Volunteering at a dog refuge requires courage to face challenges and adversity, but not excessively.	8.0	Volunteering at a dog refuge does not involve excessive desires or pleasures, showing moderation.	3.0	Overall, volunteering at a dog refuge is a highly moral action, reflecting multiple virtues.	2.67	train		
46	Mickelberg	Person X buys a loaf of bread every day, as they love the smell of freshly baked bread in the morning.	orig		6.0	Daily bread buying shows some practical wisdom in satisfying a daily need.	5.0	No impact on fairness or moral righteousness in relationships or society.	5.0	No courage or strength is required to face challenges or adversity.	3.0	Buying bread daily may indicate a lack of self-control in desires and pleasures.	1.0	The scenario is morally neutral, with some practical wisdom but potential lack of self-control.	0.2	train		
47	Mickelberg	Person X cleaned the bookshelf and picked up some items that had dropped onto the floor.	orig		8.0	Practical wisdom in cleaning and organizing.	5.0	No impact on fairness or moral righteousness.	5.0	No courage or strength required in this action.	5.0	Moderation in desires and pleasures not applicable.	1.0	Morally neutral action with some practical wisdom.	1.0	train		
48	Clifford	You see a teenage girl wearing a long trench coat on a hot summer afternoon.	orig		2.0	Wearing a trench coat in hot weather may indicate impracticality.	5.0	No apparent impact on fairness or moral righteousness.	5.0	No evident courage or strength in this action.	2.0	Lack of moderation in dress choice for the weather.	-1.0	Impractical and potentially unhealthy choice, but not extremely immoral.	-0.2	train		
49	Clifford	You see a pastor banning his congregants from wearing bright colors in the church.	orig		2.0	Lack of practical wisdom in imposing unnecessary restrictions.	1.0	Unfair restriction on personal freedom and expression.	5.0	No courage or strength in upholding moral convictions.	1.0	Excessive control over desires and pleasures.	-2.0	The action is immoral due to lack of prudence and justice.	-2.6	train		
50	Mickelberg	Person X always pays off their debts first before buying things for themselves.	orig		8.0	Prudence is reflected in responsible financial planning.	9.0	Justice is served by fulfilling obligations to others.	5.0	No exceptional courage or strength is required.	8.0	Temperance is demonstrated by prioritizing needs over desires.	3.0	The scenario is highly moral due to responsible and just behavior.	1.85	train		
51	Kruepke	My mother would always bring home clothes for me that I hated and would never wear. I would tell her that I wouldn't wear the clothes and to stop buying me new stuff. She would get really mad at me.	orig		2.0	Mother's actions show imprudence, ignoring son's preferences.	2.0	Mother's actions are unfair, disregarding son's autonomy.	6.0	Son shows courage in expressing his dislike, but mother lacks it.	3.0	Mother's anger and son's frustration indicate lack of self-control.	-2.0	The scenario is morally unacceptable due to imprudence and unfairness.	-0.44	train		
52	Effron	Lent money to a friend in a financial crisis	orig		8.0	Lending money requires balancing moral principles with practical wisdom.	9.0	Lending money to a friend in need promotes fairness and moral righteousness.	7.0	Lending money requires courage and strength to face potential losses.	6.0	Lending money requires moderation and self-control in one's own financial decisions.	3.0	Overall, lending money to a friend in need is a morally acceptable action.	2.4	train		
53	Mickelberg	Person X saved a man who was about to be hit by a car by jumping in front of the car and pushing him out of the way.	orig		8.0	Prudence is reflected in the quick thinking and practical wisdom to save the man.	9.0	The action ensures fairness and moral righteousness by saving an innocent life.	10.0	Fortitude is highly reflected in the courage to risk one's own life to save another.	5.0	Temperance is not directly related to this action, as it involves no self-control or moderation.	4.0	The scenario is highly moral due to the courageous and selfless act of saving a life.	3.38	train		
54	Clifford	You see an employee at a morgue eating his pepperoni pizza off of a dead body.	orig		0.0	Lack of consideration for the deceased and their family.	0.0	Disrespect for the dead and their dignity.	5.0	No courage or strength is required for this action.	0.0	Lack of self-control and moderation in desires.	-4.0	The action is extremely disrespectful and immoral.	-3.2	train		
55	Clifford	You see an employee lying about how many hours she worked during the week.	orig		0.0	Lying about hours worked shows imprudence, lacking practical wisdom.	0.0	Lying is unfair and unjust, violating moral righteousness.	0.0	No courage or strength is shown in lying about hours worked.	0.0	Lying indicates lack of self-control and moderation.	-4.0	Lying about hours worked is extremely immoral, violating multiple virtues.	-2.9	train		
56	Effron	Pushed into the front of a line at a theater	orig		2.0	Lack of consideration for others' wait time shows imprudence.	0.0	Cutting in line is unfair to those who waited.	5.0	No courage or strength is required in this action.	2.0	No self-control is exercised in this impulsive action.	-3.0	The action is unfair and inconsiderate, making it immoral.	-1.91111104	train		
57	Mickelberg	Person X called a waitress 'dummy' and did not leave a tip, because they didn't like her name.	orig		0.0	Lacking practical wisdom in treating others with respect.	0.0	Unfair treatment of the waitress based on personal preference.	0.0	No courage or strength in upholding moral convictions.	0.0	Lack of self-control in verbal abuse and unfair treatment.	-4.0	Extremely immoral due to unfair treatment and verbal abuse.	-2.98	train		
58	Clifford	You see a story about a remote tribe eating the flesh of their deceased members.	orig		0.0	Lack of consideration for individual rights and dignity.	0.0	Injustice to the deceased and disrespect for human life.	0.0	No courage or strength in upholding moral convictions.	0.0	Excessive and uncontrolled desire for flesh.	-4.0	Extreme immorality due to disrespect for human life and dignity.	-2.3	train		
59	Cook	Someone brags on social media about drinking excessively to the point of vomiting	orig		0.0	Lack of self-control and poor decision-making.	5.0	No direct impact on fairness or moral righteousness.	0.0	No courage or strength in upholding moral convictions.	0.0	Excessive drinking and lack of moderation.	-3.0	Immoral due to lack of prudence, fortitude, and temperance.	-1.19	train		
60	Effron	Didn't leave a tip at the restaurant	orig		2.0	Not leaving a tip shows lack of practical wisdom in social norms.	1.0	Not leaving a tip is unfair to the server who provided service.	5.0	No courage or strength is required in this action.	3.0	Not leaving a tip may be due to lack of self-control in managing finances.	-2.0	Not leaving a tip is generally considered immoral and unfair.	-1.6571428	train		
61	Mickelberg	Person X released intimate photos of their ex-partner to their friends and then posted them to the internet.	orig		0.0	Lack of practical wisdom in handling personal relationships.	0.0	Violation of ex-partner's privacy and dignity.	0.0	No courage or strength in upholding moral convictions.	0.0	Lack of self-control and moderation in desires and pleasures.	-4.0	Extremely immoral due to violation of privacy and dignity.	-3.23	train		
62	Clifford	You see the US Ambassador joking in Great Britain about the stupidity of Americans.	orig		2.0	Lack of prudence in ambassador's words may damage international relationships.	1.0	Ambassador's joke undermines fairness and respect for own citizens.	0.0	No courage or strength shown in upholding moral convictions.	1.0	Ambassador lacks self-control in making inappropriate joke.	-3.0	Scenario is highly immoral due to ambassador's irresponsible behavior.	-2.8	train		
63	Kruepke	My current lover often complains about our sex life, saying we don't do it enough. Sometimes I will watch online porn and masturbate instead. Sometimes, I feel like it's just easier and more fun to do that.	orig		2.0	Lack of communication and avoidance of issues, imprudent.	1.0	Unfair to partner, neglecting their needs and feelings.	2.0	Avoiding confrontation and difficult conversations, cowardly.	3.0	Giving in to desires, lacking self-control and moderation.	-2.0	Overall, the scenario shows a lack of moral virtues, especially prudence and justice.	-0.35	train		
64	Effron	Had a welcoming party for some new neighbors	orig		8.0	Prudence is reflected in considering the neighbors' feelings and needs.	9.0	Justice is reflected in treating new neighbors with kindness and respect.	5.0	Fortitude is not particularly relevant in this scenario.	7.0	Temperance is reflected in not overdoing the party or being excessive.	3.0	The scenario is highly moral due to its kind and respectful nature.	1.97777784	train		
65	Lotto	You are the commander of a Russian military submarine on a mission. You have been trapped for days at the bottom of the Pacific Ocean without energy. You have already asked for help several times, but there are no ships or submarines in the nearby waters and help is taking time to arrive. There are six crew members with you on board and your food supplies are getting low.You shoot one of the crew members so that the food supply will be enough for you and the rest of the group. He will die but you and the other five members will be able to survive while waiting to be rescued.	orig		0.0	Practical wisdom is compromised by the extreme decision.	0.0	The action is unfair and unjust to the sacrificed crew member.	0.0	The action lacks moral courage and conviction.	0.0	The action is an extreme and uncontrolled response to desire for survival.	-4.0	The scenario is extremely immoral due to the unjust and uncontrolled action.	-1.43	train		
66	Clifford	You see a boy turning up the TV as his father talks about his military service.	orig		2.0	Disrespectful action lacks prudence, ignoring father's importance.	1.0	Action shows injustice, disregarding father's authority and experience.	5.0	No courage or strength is demonstrated in this action.	2.0	Lack of self-control, giving in to desire for loud TV.	-3.0	Overall, the action is immoral, showing disrespect and lack of self-control.	-2.1	train		
67	Kruepke	I was working at a fast food restaurant and the policy was to throw away the excess food at the end of the night. Even if there was a large quantity of food left over you had to throw it away. Instead my friend and I would take home the extra food.	orig		8.0	Prudence is reflected in finding a practical solution to reduce food waste.	2.0	Justice is not highly reflected as the action goes against company policy.	5.0	Fortitude is not required in this scenario as there is no significant challenge or adversity.	7.0	Temperance is reflected in not overindulging in excess food and reducing waste.	2.0	The scenario is morally acceptable as it reduces waste and helps individuals, despite going against company policy.	0.39	train		
68	Mickelberg	Person X left their long-term band as soon as an opportunity came up to play with a more successful band.	orig		2.0	Leaving a long-term commitment for personal gain lacks prudence.	1.0	Abandoning bandmates for personal advancement is unjust to them.	0.0	No courage or strength is shown in this self-serving action.	2.0	The desire for success overrules moderation and self-control.	-3.0	The action prioritizes personal gain over moral principles and relationships.	-0.81	train		
69	Lotto	You are in charge of an expedition which is crossing the Sahara. A sand storm causes your jeep to swerve off the road and overturn in the middle of the desert. You know that the nearest oasis is a week’s walk away. There are eight of you and a very limited amount of water, which will not allow you all to survive the scorching heat.You shoot two people so that there will be enough water for you and the rest of the group. These two will die, but you and the other five will be able to survive.	orig		0.0	Practical wisdom is compromised by the extreme decision.	0.0	The action is unfair and discriminatory, favoring some over others.	6.0	The courage to make a difficult decision, but morally questionable.	2.0	Lack of self-control and moderation in desires to survive.	-4.0	The action is extremely immoral due to the unjust and harmful nature.	-1.57	train		
70	Mickelberg	Person X was able to convince their boss that they were ready for a promotion at work.	orig		8.0	Person X demonstrated prudence by recognizing their readiness for promotion.	5.0	The action does not directly relate to justice, as it's an individual's career advancement.	7.0	Person X showed fortitude by taking the initiative to ask for a promotion.	5.0	The action does not involve desires or pleasures, so temperance is not directly applicable.	2.0	The scenario is morally acceptable, as Person X took initiative and demonstrated prudence and fortitude.	0.52	train		
71	Clifford	You see a woman getting hired only because her father is close friends with the boss.	orig		0.0	Lack of prudence in ignoring qualifications for personal gain.	0.0	Injustice in unfair hiring practice, favoring personal connections.	0.0	No courage or strength in upholding moral convictions.	0.0	No self-control in prioritizing personal relationships over fairness.	-4.0	Extremely immoral due to blatant disregard for fairness and merit.	-2.4	train		
