id	dataset	scenario	circumstance_type	circumstance	vulnerable_score	intentional_score	harm_score	help_score	moral_score	vulnerable_expl	intentional_expl	harm_expl	help_expl	moral_expl	agent	assumption_for_agent	patient	assumption_for_patient	human_score
11	Effron	Complimented coworkers on their clothing and appearance	orig		6.0	6.0	0.0	8.0	3.0	Average adult vulnerability	Some thought, but not extensively planned	No harm intended, possibly even beneficial	Providing a positive emotional boost	Overall, a morally positive action	The person giving the compliments	They are trying to be friendly and build rapport	The coworkers being complimented	They are open to receiving positive feedback	1.17894736
12	Kruepke	I was in a relationship with my best friend's cousin. She was really beautiful, but as time went on I became less attracted to her. I tried to tell her I didn't really want to see her anymore and she flipped out.	orig		8.0	6.0	7.0	0.0	-2.0	She was emotionally vulnerable due to her investment in the relationship	I intentionally tried to end the relationship, but didn't plan for her reaction	My actions caused emotional distress and harm to her	I didn't provide any help or support during the situation	The scenario is morally unacceptable due to the harm caused and lack of help provided	I	I assumed she would understand my feelings and accept my decision	My best friend's cousin	I assumed she was emotionally invested in the relationship	0.91
13	Lotto	You are on holiday at the seaside and returning to shore in your motorboat. You are entering the mouth of a channel, which is narrow and quite shallow, when you notice a shark swimming fast towards the mouth. At the end of the channel is a swimmer, who is calmly bathing. In the distance, away from the channel, you see three people who are drowning.You turn quickly out of the channel, leaving the mouth free. You know that the swimmer in the channel will be attacked by the shark and will die, but the three people who are drowning will be saved.	orig		9.0	7.0	9.0	8.0	2.0	The swimmer is defenseless and alone in the water	The action was taken quickly, but with some thought to the consequences	The swimmer will likely die, while the three people will be saved	Three lives will be saved, but one will be lost	The action prioritizes the greater good, but still results in harm	The person operating the motorboat	That they are capable of making a quick decision in a crisis	The swimmer in the channel and the three people drowning	That they are unaware of the shark and the danger it poses	-0.46
14	Mickelberg	Person X broke off all communication with their family for a while because they had a heated argument with each other.	orig		8.0	6.0	7.0	0.0	-2.0	Family members are typically emotionally vulnerable to each other's actions	The action was likely impulsive, but still intentional	The harm caused is emotional distress and potential long-term damage to relationships	No help was provided, and the action caused harm instead	The scenario is morally unacceptable due to the harm caused and lack of help	Person X	They are capable of making decisions and taking actions	Their family	They are emotionally invested in the relationship	-0.38
15	Mickelberg	Person X presented their colleague's idea as their own in order to get a promotion.	orig		7.0	9.0	8.0	0.0	-3.0	Colleague is vulnerable due to trusting nature	Action was intentional and premeditated	Harm caused is significant, affecting colleague's career	No help was provided, only harm	Intentional harm and lack of help make the scenario highly immoral	Person X	Assumed to be ambitious and willing to take credit for others' work	The colleague	Assumed to be unaware of Person X's intentions and trusting	-2.86
16	Clifford	You see an employee joking with competitors about how bad his company did last year.	orig		7.0	8.0	6.0	0.0	-2.0	Company's reputation can be damaged	Employee intentionally shared negative information	Negative impact on company's reputation and potential loss of business	No help or benefit was provided to the company	Intentional harm to company's reputation with no benefit	The employee	The employee is not loyal to their company	The company	The company is vulnerable to negative publicity	-2.0
17	Cook	Someone posts on social media bragging about making out with multiple strangers the night before	orig		7.0	6.0	5.0	0.0	-2.0	Strangers may be unaware of the risks and may be vulnerable to exploitation	The action was intentional, but may not have been thoroughly thought through	The action may cause emotional harm to the strangers and damage to their reputation	No help was provided to the strangers or followers	The scenario is morally unacceptable due to the potential harm and lack of consideration for others	The person who posted on social media	They are reckless and irresponsible	The strangers they made out with, as well as their social media followers	They may be unaware of the risks of casual hookups and may be vulnerable to exploitation	-1.22
18	Clifford	You see a girl shooting geese repeatedly with a pellet gun out in the woods.	orig		9.0	9.0	8.0	0.0	-3.0	Geese are living creatures that can be harmed	The girl is intentionally shooting the geese	Shooting geese can cause significant harm or death	No help is being provided to the geese	Intentionally harming defenseless animals is immoral	The girl	She is capable of harming animals	The geese	They are defenseless and vulnerable to harm	-3.0
19	Clifford	You see a family eating the carcass of their pet dog that had been run over.	orig		10.0	6.0	9.0	0.0	-3.0	Defenseless and highly susceptible to harm	Accidental death, but intentional consumption	Caused significant harm and ended the dog's life	No help or protection was provided to the dog	High harm and vulnerability, low intentionality and help	The family members	They are capable of empathy and rational decision-making	The pet dog	It was a beloved family pet and a living being	-3.2
20	Mickelberg	Person X stole the collection tin of a blind beggar on the street.	orig		10.0	9.0	8.0	0.0	-4.0	Blindness makes the beggar defenseless and highly susceptible to harm	Stealing from a vulnerable person indicates deliberate thought and planning	Theft causes significant financial and emotional harm to the beggar	No help or assistance was provided to the beggar	The intentional harm and lack of help make this scenario extremely immoral	Person X	Assumed to be a selfish and cruel individual	The blind beggar	Assumed to be vulnerable and in need of assistance	-3.38
21	Effron	Refused to hold the door for a man in a wheelchair	orig		9.0	8.0	6.0	0.0	-3.0	Highly susceptible to harm due to physical disability	Action was deliberate and intentional, not accidental	Caused emotional distress and inconvenience	Failed to provide necessary assistance	Refusing to help a vulnerable person is morally unacceptable	The person who refused to hold the door	They are able-bodied and capable of holding the door	The man in a wheelchair	He is dependent on others for assistance and has limited mobility	-3.008
22	Effron	Spent time voluntarily tutoring disadvantaged students	orig		8.0	9.0	0.0	8.0	4.0	Students are vulnerable due to their disadvantaged background	The tutor intentionally chose to volunteer their time	No harm was caused in this scenario	The tutor provided significant academic support and guidance	The tutor's intentional action caused significant help to the vulnerable students	The tutor	The tutor is a benevolent and caring individual	The disadvantaged students	The students are in need of academic support and may be vulnerable due to their disadvantaged background	3.2
23	Mickelberg	Person X saw a homeless person in the rain, so they gave the person their jacket and umbrella, plus $20 for a hot meal	orig		9.0	8.0	0.0	8.0	4.0	Homeless person is defenseless and susceptible to harm	Person X took deliberate action to help the homeless person	No harm was caused to the homeless person	Person X provided substantial assistance to the homeless person	The scenario is highly moral due to Person X's kind and intentional actions	Person X	They are a kind and empathetic person	The homeless person	They are in a vulnerable state due to homelessness	3.47
24	Kruepke	For a while I was a security officer at a bank. One day I was walking by the front door when I saw a fifty-dollar bill. I was tempted to take the money but instead I reported it to the manager.	orig		6.0	7.0	0.0	8.0	4.0	The bank and customers are average individuals with some susceptibility to harm.	The action was intentional, but not extensively planned.	No harm was caused, as the money was reported.	Substantial help was provided by reporting the money.	The scenario is highly moral due to the officer's honesty and responsibility.	The security officer	That they are honest and responsible	The bank and its customers	That they are trusting and vulnerable to theft	2.75
25	Effron	Heckled a woman speaking on human rights	orig		7.0	8.0	6.0	0.0	-3.0	Speaker is emotionally invested and may be intimidated	Heckling is a deliberate attempt to disrupt	Heckling can cause emotional distress and undermine the speaker's confidence	No help is provided to the speaker	Intentional harm and lack of help make this scenario immoral	A person in the audience	Assumed to be opposed to human rights or seeking to disrupt the speaker	The woman speaking on human rights	Assumed to be passionate about human rights and vulnerable to heckling	-2.25454544
26	Effron	Criticized an old woman for being too slow	orig		9.0	7.0	6.0	0.0	-3.0	Old woman is likely frail and vulnerable due to age	Criticizing is a deliberate action, showing some intentionality	Criticizing can cause emotional distress and hurt feelings	No help or assistance was provided in this scenario	Criticizing a vulnerable person without helping is immoral	The person who criticized the old woman	That they are impatient and lack empathy	The old woman	That she is frail and deserves respect	-1.96129032
27	Mickelberg	Person X took public transport so their sister could use their car to get to work safely.	orig		7.0	9.0	1.0	9.0	4.0	Average adult, some susceptibility to harm	Thoughtful and deliberate action to ensure sister's safety	No harm caused, only a minor inconvenience to Person X	Providing a safe means of transportation, critical assistance	Highly moral, prioritizing sister's safety over personal convenience	Person X	They are a responsible and caring sibling	Their sister	She needs a safe way to get to work	2.58
28	Kruepke	I had a bad relationship with my father and had not talked to him for years. He had left my mother. When my mother died I gathered the strength to call him and tell him that she died and that I loved him.	orig		8.0	9.0	2.0	8.0	3.0	My father was likely emotionally vulnerable due to the news	I intentionally called my father to inform him of my mother's death	No harm was intended, but some emotional distress may have been caused	I provided emotional support and closure by reaching out to my father	The scenario is morally acceptable due to the intention to make amends and provide closure	I	I assumed that I was capable of forgiveness and wanted to make amends	My father	I assumed that he would be affected emotionally by the news of my mother's death	2.33
29	Kruepke	My husband ran a business and I worked in his shop. Once a rather unsavory character came in and handed my husband something. So, I looked through my husband's wallet to see what the man gave him.	orig		7.0	4.0	1.0	0.0	0.0	My husband is an average adult, susceptible to harm	I acted impulsively, with minimal premeditation	No harm was caused, only curiosity was satisfied	No help was provided, only personal curiosity was satisfied	The action was morally neutral, driven by curiosity rather than malice	I (the wife)	I assumed my husband was involved in something suspicious	My husband	I assumed my husband was unaware of the man's intentions	-1.14
30	Lotto	You are the head of a group of five travellers who are exploring the remote regions of South America. During the trip, you inadvertently camp in the sacred cemetery of a local tribe. The members of the tribe capture you and condemn you all to death. After some negotiation, they propose a possible alternative in the form of a human sacrifice that will pacify their god who has been offended.You accept the tribe’s proposal, and during the ceremony, you kill one of the travellers in the group. This person will die, but you and the other four travellers’ lives will be spared.	orig		9.0	8.0	10.0	9.0	-2.0	The patient is a human being, vulnerable to harm and death	The action was deliberate and planned, though under duress	The action resulted in the death of the patient	The action saved the lives of the other four travellers	The scenario is morally complex, with a difficult decision leading to harm and help	The head of the group of five travellers	That they are capable of making difficult decisions to ensure the survival of the group	One of the travellers in the group	That they are a member of the group and under the leader's protection	-1.24
31	Effron	Rescued an injured kitten from a tree	orig		10.0	9.0	0.0	10.0	4.0	Kitten is defenseless and highly susceptible to harm	The person intentionally climbed the tree to rescue the kitten	No harm was caused to the kitten during the rescue	The person provided critical assistance to save the kitten's life	The person's intentional and helpful action in a vulnerable situation	A person	The person is kind and compassionate	The injured kitten	The kitten is helpless and in need of care	2.7428572
32	Kruepke	About a year ago I started re-selling medications from a Canadian pharmacy. I helped a great deal of elderly people so that they didn't have to pay exorbitant amounts for their medications that they needed.	orig		9.0	7.0	0.0	9.0	4.0	Elderly people are often frail and dependent on medication	The narrator planned and executed the action with some thought	No harm was intended, and the action did not cause harm	The narrator provided significant help by making medication affordable	The action was highly moral due to the significant help provided	The narrator	That they are a benevolent person trying to help others	Elderly people	That they are in need of affordable medication and are vulnerable	0.57
33	Kruepke	I was at the pharmacy buying something and I noticed a man who was sitting outside selling trinkets. He was homeless and it was freezing out. So I went next door to a store and bought him some food and new clothes.	orig		9.0	8.0	0.0	8.0	4.0	Homeless and freezing, making him highly susceptible to harm	I took deliberate action to help the man, showing intentionality	No harm was caused to the man, only positive action	Providing substantial assistance, such as food and clothing	High moral acceptability due to intentional help and no harm	I (the person buying something at the pharmacy)	I assumed I had the means to help the homeless man	The homeless man	I assumed he was in need of food and clothing	2.62
34	Kruepke	My husband had a problem with always wanting new computer equipment, what I called "techno-lust". It was a really huge financial problem, and I told him he had to go on a 5-year plan to financially police himself or I would divorce him. He has greatly improved.	orig		8.0	6.0	7.0	6.0	0.0	Wife's financial security and marriage were at risk	Husband's actions were intentional, but impulsive	Financial harm was significant, but not catastrophic	Wife's intervention helped to prevent further harm	Husband's actions were immoral, but wife's intervention mitigated harm	Husband	He was driven by a desire for new computer equipment and lacked self-control	The wife and their financial stability	She was vulnerable to financial instability and potential divorce	0.38
35	Effron	Took the neighbor's newspaper	orig		6.0	7.0	3.0	0.0	-2.0	Neighbor has average resilience to harm	Action was likely intentional, but not extensively planned	Caused minor inconvenience, but no significant harm	No help was provided, only harm was caused	Intentional harm with no benefit, morally unacceptable	The person taking the newspaper	Assuming they are capable of making decisions and taking actions	The neighbor	Assuming they have a right to their personal property	-1.73714296
36	Clifford	You see someone cheating in a card game while playing with a group of strangers.	orig		6.0	8.0	6.0	0.0	-3.0	Average adults with no apparent vulnerabilities	The cheating is deliberate and planned to gain an advantage	The cheating can lead to financial loss and emotional distress	No help is provided, and the cheating is harmful	The intentional cheating causes harm and is morally unacceptable	The person cheating in the card game	They are dishonest and willing to gain an unfair advantage	The other players in the game	They are unaware of the cheating and trust the game is fair	-2.6
37	Mickelberg	Person X did really well at the quiz night.	orig		0.0	8.0	0.0	6.0	0.0	The competition is not vulnerable to harm	Person X intentionally prepared and participated	No harm was caused to anyone or anything	Person X's success may have helped their team or themselves	The scenario is morally neutral, with no harm or exploitation	Person X	Person X is capable and knowledgeable	The quiz night competition	The competition is neutral, without personal feelings or biases	0.41
38	Effron	Sang at a prison in order to entertain the inmates	orig		7.0	8.0	0.0	8.0	3.0	Inmates are in a confined and controlled environment	The singer intentionally went to the prison to entertain	No harm was caused, only entertainment was provided	The singer provided emotional support and entertainment	The singer's action was morally acceptable, providing help and no harm	The singer	The singer is a kind and compassionate person	The inmates	The inmates are in a vulnerable situation, being imprisoned	1.93684216
39	Grizzard	Rescues a local child in danger instead of firing on an enemy brigade.	orig		10.0	9.0	0.0	10.0	4.0	Child is defenseless and highly susceptible to harm	Soldier deliberately chose to rescue the child instead of firing	No harm was caused to the child or anyone else	Critical assistance was provided to the child in a life-threatening situation	The soldier's action prioritized human life and showed compassion	A soldier	The soldier is capable of making moral decisions and prioritizing human life	The local child	The child is innocent and helpless	2.893333333
40	Lotto	You are in a field playing frisbee with three young people you have just met. Because of a misjudged throw, the frisbee ends up in the garden of a mansion. You decide to climb the wall to look for it. Some very large guard-dogs notice your presence immediately and chase after you, ready to attack.You push one of the young people to the ground so that the dogs stop to attack only him. You know that he will die, but you, and the other two, will be able to escape.	orig		7.0	7.0	9.0	0.0	-4.0	The patient is a typical adult, but in a vulnerable situation	The action was intentional, but not extensively planned	The action caused significant harm, potentially leading to death	The action did not provide any help or protection to the patient	The scenario is extremely immoral due to the intentional sacrifice of one person for others	The person who pushed one of the young people to the ground	That they would prioritize their own life over others	The young person who was pushed to the ground	That they were vulnerable and trusting	-1.82
41	Mickelberg	Person X worked on a campaign to release wrongfully convicted prisoners.	orig		8.0	9.0	0.0	9.0	4.0	Prisoners are vulnerable due to their wrongful conviction and imprisonment	Person X's action is intentional and deliberate to free the prisoners	No harm is caused to the prisoners, only positive action	Person X's action provides significant help to the prisoners	The scenario is highly moral due to the intentional help and lack of harm	Person X	Person X is a compassionate and justice-oriented individual	Wrongfully convicted prisoners	They are innocent and deserving of freedom	3.27
42	Effron	Gave his coat to someone when it was cold	orig		7.0	8.0	0.0	8.0	4.0	The patient is vulnerable due to the cold weather	The action was intentional and deliberate	No harm was caused, only kindness	The action provided significant help and warmth	The scenario is highly moral due to the kind act	The person who gave their coat	Assumed to be a kind and empathetic person	The person who received the coat	Assumed to be in need of warmth and possibly vulnerable	3.04
43	Effron	Kicked a stray cat to get it to leave his yard	orig		9.0	8.0	6.0	0.0	-3.0	Stray cats are often hungry and without shelter, making them vulnerable.	Kicking the cat shows a deliberate and intentional action.	Kicking can cause physical harm and pain to the cat.	No help or assistance was provided to the cat.	The intentional harm caused to a vulnerable animal makes this scenario immoral.	The homeowner	Assumed to be a responsible adult	The stray cat	Assumed to be a vulnerable and defenseless animal	-3.048
44	Effron	Tricked a stay at home mom into donating to a fake charity	orig		8.0	9.0	7.0	0.0	-4.0	Vulnerable due to trusting nature and lack of experience	Action was deliberate and planned to deceive	Financial harm and emotional distress caused	No help was provided, only harm was caused	Extremely immoral due to intentional harm and exploitation	The scammer	That they are capable of deceiving and manipulating others	The stay-at-home mom	That she is trusting and naive	-3.088
45	Mickelberg	Person X volunteers at a dog refuge, walking the dogs and cleaning their kennels once a week.	orig		8.0	8.0	0.0	8.0	4.0	Dogs are living beings that can be harmed or mistreated	Person X is taking deliberate action to help the dogs	No harm is being caused to the dogs	Person X is providing substantial assistance to the dogs	The scenario is highly moral due to the intentional help provided	Person X	Assuming Person X is a responsible and caring individual	The dogs at the refuge	Assuming the dogs are in need of care and attention	2.67
46	Mickelberg	Person X buys a loaf of bread every day, as they love the smell of freshly baked bread in the morning.	orig		0.0	9.0	0.0	6.0	0.0	Inanimate object, cannot be harmed.	Person X intentionally buys bread every day.	No harm is caused to the bread or anyone else.	Person X benefits from the smell of freshly baked bread.	The action is morally neutral, as it only benefits Person X.	Person X	They love the smell of freshly baked bread in the morning.	The bread	It is an inanimate object	0.2
47	Mickelberg	Person X cleaned the bookshelf and picked up some items that had dropped onto the floor.	orig		0.0	8.0	0.0	6.0	2.0	Inanimate objects are not susceptible to harm	The action was intentional and deliberate	No harm was caused to the bookshelf or items	Help was provided by cleaning and organizing	The scenario is morally neutral to positive	Person X	Assumed to be a responsible and organized individual	The bookshelf and the items on the floor	Assumed to be inanimate objects	1.0
48	Clifford	You see a teenage girl wearing a long trench coat on a hot summer afternoon.	orig		7.0	6.0	0.0	0.0	0.0	Average resilience, some susceptibility to harm	Some degree of thought and planning in choosing the outfit	No harm intended, just a fashion choice	No help or harm intended, just a personal choice	Neutral moral acceptability, as it's a personal fashion choice	The teenage girl	She might be trying to hide something or express herself through her fashion choice	The teenage girl herself	She might be self-conscious about her appearance or trying to make a statement	-0.2
49	Clifford	You see a pastor banning his congregants from wearing bright colors in the church.	orig		7.0	8.0	5.0	0.0	-2.0	Congregants are average individuals with some susceptibility to harm	The pastor's action is deliberate and planned	The harm is emotional and restricts personal freedom	No help is provided, only restriction	The scenario is immoral due to the pastor's controlling behavior	The pastor	He is authoritarian and controlling	The congregants	They are obedient and respectful	-2.6
50	Mickelberg	Person X always pays off their debts first before buying things for themselves.	orig		7.0	10.0	0.0	7.0	4.0	Medium-High Vulnerability, as creditors can be affected by non-payment	Maximum Intentionality, as Person X deliberately prioritizes debt repayment	Minimum Harm, as debt repayment prevents harm to creditors	Medium-High Help, as debt repayment helps creditors and potentially Person X	Highly moral, as responsible financial behavior is promoted	Person X	Person X is responsible and financially disciplined	Person X's creditors and potentially themselves	They are entities that can be affected by Person X's financial decisions	1.85
51	Kruepke	My mother would always bring home clothes for me that I hated and would never wear. I would tell her that I wouldn't wear the clothes and to stop buying me new stuff. She would get really mad at me.	orig		7.0	8.0	6.0	0.0	-2.0	Typical adult with some emotional vulnerability	She intentionally bought clothes despite my previous disapproval	Caused emotional distress and frustration	No help or support was provided	Immoral due to intentional harm and lack of help	My mother	She thought I would like the clothes	Me	I have my own preferences and opinions	-0.44
52	Effron	Lent money to a friend in a financial crisis	orig		8.0	8.0	2.0	8.0	3.0	Friend is in a vulnerable financial state	Lending money is a deliberate act	No harm is intended, but risk of non-repayment exists	Lending money provides significant financial relief	Helping a friend in need is a morally positive act	The person lending the money	That they are a good friend and will repay the loan	The friend in financial crisis	That they are in a difficult situation and need help	2.4
53	Mickelberg	Person X saved a man who was about to be hit by a car by jumping in front of the car and pushing him out of the way.	orig		7.0	9.0	2.0	10.0	4.0	The man is an average adult with no special vulnerabilities	Person X acted intentionally to save the man's life	No harm was caused to the man, but some harm may have been caused to Person X	Person X provided critical assistance to save the man's life	The scenario is highly moral due to Person X's selfless and intentional action	Person X	Assuming Person X is a responsible and caring individual	The man who was about to be hit by the car	Assuming the man is an average adult with no special vulnerabilities	3.38
54	Clifford	You see an employee at a morgue eating his pepperoni pizza off of a dead body.	orig		10.0	9.0	8.0	0.0	-4.0	Defenseless and highly susceptible to disrespect	Acting with deliberate thought, despite being inappropriate	Causing emotional distress and disrespect to the deceased	No help or assistance is provided	Extremely immoral due to disrespect and harm caused	The employee at the morgue	He is irresponsible and lacks respect for the dead	The dead body	It is a deceased person, deserving of respect and dignity	-3.2
55	Clifford	You see an employee lying about how many hours she worked during the week.	orig		7.0	9.0	6.0	0.0	-3.0	Employer is vulnerable to financial loss and damage to reputation	Employee intentionally falsified records for personal benefit	Financial loss and damage to employer's trust and reputation	No help was provided, only harm was caused	Intentional harm and dishonesty make this scenario highly immoral	The employee	She is dishonest and willing to deceive others for personal gain	The employer or organization	They trust their employees to report their work hours accurately	-2.9
56	Effron	Pushed into the front of a line at a theater	orig		7.0	4.0	3.0	0.0	-2.0	Average adult with some susceptibility to frustration	Acting impulsively without much thought	Causing minor frustration and inconvenience	No help or assistance was provided	Immoral due to lack of consideration and respect	A person in a hurry	Assuming they are in a rush and don't care about others	The person who was originally at the front of the line	Assuming they are a typical adult who values their time	-1.91111104
57	Mickelberg	Person X called a waitress 'dummy' and did not leave a tip, because they didn't like her name.	orig		8.0	9.0	6.0	0.0	-3.0	Waitress is vulnerable due to her job and dependence on tips	Person X intentionally used a derogatory term and withheld a tip	The action caused emotional distress and financial harm	No help was provided, only harm was caused	The scenario is immoral due to intentional harm and discrimination	Person X	They are rude and discriminatory	The waitress	She is a service worker trying to do her job	-2.98
58	Clifford	You see a story about a remote tribe eating the flesh of their deceased members.	orig		10.0	7.0	8.0	0.0	-3.0	Defenseless and unable to resist or consent	Following a cultural practice, likely with some thought and planning	Causing significant harm to the deceased and their loved ones	No help or assistance is provided to the deceased or their loved ones	Causing significant harm with intention, outweighing any potential cultural significance	A member of the remote tribe	They are following a cultural or religious practice	The deceased member of the tribe	They are deceased and cannot consent or resist	-2.3
59	Cook	Someone brags on social media about drinking excessively to the point of vomiting	orig		6.0	5.0	4.0	0.0	-2.0	The person is vulnerable to harm due to their own actions	The action was intentional, but likely impulsive	The harm caused is primarily to the person themselves	No help was caused in this scenario	The scenario is morally unacceptable due to the reckless behavior	The person who bragged on social media	They are reckless and irresponsible	The person themselves	They are capable of making poor decisions	-1.19
60	Effron	Didn't leave a tip at the restaurant	orig		7.0	6.0	4.0	0.0	-2.0	Server is an average adult with some financial vulnerability	Action was likely intentional, but not extensively planned	Caused minor financial harm to the server	No help was provided to the server	Intentional action causing harm to a vulnerable individual	The customer	Assumed to be capable of making a decision about tipping	The server	Assumed to be dependent on tips for their income	-1.6571428
61	Mickelberg	Person X released intimate photos of their ex-partner to their friends and then posted them to the internet.	orig		9.0	10.0	9.0	0.0	-4.0	Ex-partner is emotionally vulnerable and trusting	Person X deliberately shared intimate photos	Sharing intimate photos causes significant emotional harm	No help or assistance was provided	Intentional harm with no help, extremely immoral	Person X	Assuming Person X is motivated by revenge or a desire to humiliate their ex-partner	The ex-partner	Assuming the ex-partner is emotionally vulnerable and trusting in their relationship	-3.23
62	Clifford	You see the US Ambassador joking in Great Britain about the stupidity of Americans.	orig		6.0	7.0	5.0	0.0	-2.0	Americans are a diverse group, but some may be more susceptible to harm	The ambassador's action was intentional, but may not have been thoroughly planned	The harm caused is emotional and reputational, but not physical	No help was provided, and the ambassador's action was harmful	The scenario is immoral due to the intentional harm and lack of help	The US Ambassador	The ambassador is arrogant and disrespectful towards their own country	Americans	Americans are sensitive to criticism and jokes about their intelligence	-2.8
63	Kruepke	My current lover often complains about our sex life, saying we don't do it enough. Sometimes I will watch online porn and masturbate instead. Sometimes, I feel like it's just easier and more fun to do that.	orig		7.0	8.0	5.0	2.0	-2.0	The lover is emotionally invested in the relationship	The narrator is making a conscious choice to masturbate instead of addressing the issue	The lover may feel neglected or unimportant	The narrator is not providing emotional support or intimacy	The narrator's actions prioritize their own desires over the lover's needs	The narrator	The narrator assumes they are not meeting their lover's sexual needs	The lover	The lover assumes the narrator is not interested in them sexually	-0.35
64	Effron	Had a welcoming party for some new neighbors	orig		6.0	7.0	0.0	8.0	4.0	New neighbors may feel vulnerable in a new environment	The action was intentional, but not overly planned	No harm was caused, only positive interactions	The party provided a sense of community and welcome	The scenario is highly moral due to the positive intentions and outcomes	The person hosting the party	They are a friendly and welcoming person	The new neighbors	They are likely feeling nervous or unsure about their new environment	1.97777784
