id	dataset	scenario	circumstance_type	circumstance	agent	agent_assumption	affected_party	affected_party_assumption	Q5_score	Q5_expl	moral_score	moral_expl	human_score
33	Kruepke	I was at the pharmacy buying something and I noticed a man who was sitting outside selling trinkets. He was homeless and it was freezing out. So I went next door to a store and bought him some food and new clothes.	orig		I (the person buying something at the pharmacy)	I assumed I had the means to help someone in need	The homeless man selling trinkets	I assumed he was in dire need of basic necessities	9.0	The action treats the homeless man as an end in itself, showing kindness and respect	4.0	The action is highly moral, demonstrating empathy and altruism	2.62
34	Kruepke	My husband had a problem with always wanting new computer equipment, what I called "techno-lust". It was a really huge financial problem, and I told him he had to go on a 5-year plan to financially police himself or I would divorce him. He has greatly improved.	orig		The wife	She assumed her husband was capable of self-control and willing to change	The husband	He was assumed to be responsible for his actions and capable of understanding consequences	8.0	The wife's action respects her husband's autonomy and encourages self-reflection	3.0	The wife's tough love approach promotes personal growth and responsibility	0.38
35	Effron	Took the neighbor's newspaper	orig		The person who took the newspaper	They are capable of making decisions about their own actions	The neighbor	They have a right to their own property	0.0	Taking something without permission treats the neighbor as a means	-3.0	Respecting others' property is a fundamental moral principle	-1.73714296
36	Clifford	You see someone cheating in a card game while playing with a group of strangers.	orig		The person cheating in the card game	They are trying to win the game by unfair means	The other players in the game	They are unaware of the cheating and expect a fair game	0.0	Cheating treats others as mere means to win	-4.0	Cheating is unfair and disrespectful to others	-2.6
37	Mickelberg	Person X did really well at the quiz night.	orig		Person X	Person X is a knowledgeable and competitive individual	Other participants at the quiz night	They are also knowledgeable and competitive individuals	8.0	Winning a quiz night doesn't harm others, promotes healthy competition	2.0	Doing well in a quiz night is a neutral to positive action	0.41
38	Effron	Sang at a prison in order to entertain the inmates	orig		Sang	Sang is a benevolent person who wants to bring joy to others	The inmates	The inmates are human beings deserving of respect and kindness	8.0	Sang's action is motivated by a desire to bring happiness to the inmates	3.0	The action shows respect and kindness towards the inmates	1.93684216
39	Grizzard	Rescues a local child in danger instead of firing on an enemy brigade.	orig		A soldier	The soldier is capable of making moral decisions	The local child	The child is innocent and in danger	10.0	The action prioritizes the child's life and well-being	4.0	The action shows compassion and respect for human life	2.893333333
40	Lotto	You are in a field playing frisbee with three young people you have just met. Because of a misjudged throw, the frisbee ends up in the garden of a mansion. You decide to climb the wall to look for it. Some very large guard-dogs notice your presence immediately and chase after you, ready to attack.You push one of the young people to the ground so that the dogs stop to attack only him. You know that he will die, but you, and the other two, will be able to escape.	orig		The person who pushed one of the young people to the ground	The agent is willing to sacrifice another person to save themselves	The young person who was pushed to the ground	The affected party is disposable and can be used as a means to an end	0.0	The action treats the affected party as a mere means to escape	-4.0	The action is extremely immoral as it involves sacrificing an innocent person	-1.82
41	Mickelberg	Person X worked on a campaign to release wrongfully convicted prisoners.	orig		Person X	Person X is motivated by a sense of justice and compassion	Wrongfully convicted prisoners	They are innocent and deserving of freedom	9.0	The action prioritizes the prisoners' freedom and dignity	4.0	The action respects the prisoners' autonomy and humanity	3.27
42	Effron	Gave his coat to someone when it was cold	orig		The person who gave their coat	They are kind and empathetic	The person who received the coat	They are in need of warmth	9.0	The action shows concern for the other's well-being	4.0	The action is selfless and promotes the other's good	3.04
43	Effron	Kicked a stray cat to get it to leave his yard	orig		The homeowner	The agent is trying to protect their property	The stray cat	The cat is a living being with feelings and needs	0.0	Kicking the cat treats it as a means to an end, not respecting its autonomy	-3.0	The action shows disregard for the cat's well-being and dignity	-3.048
44	Effron	Tricked a stay at home mom into donating to a fake charity	orig		The scammer	That they are capable of deceiving others for personal gain	The stay at home mom	That she is trusting and naive	0.0	The action exploits the mom's trust, treating her as a means to an end.	-4.0	The action is extremely immoral, showing no respect for the mom's autonomy.	-3.088
45	Mickelberg	Person X volunteers at a dog refuge, walking the dogs and cleaning their kennels once a week.	orig		Person X	Person X is a compassionate and responsible individual	The dogs at the refuge	The dogs are sentient beings with feelings and needs	9.0	The action prioritizes the dogs' well-being and happiness	4.0	The action demonstrates kindness and respect for the dogs' autonomy	2.67
46	Mickelberg	Person X buys a loaf of bread every day, as they love the smell of freshly baked bread in the morning.	orig		Person X	They love the smell of freshly baked bread in the morning	The baker and the bakery	They are providing a service and are willing to do so	8.0	The action respects the baker's autonomy and will	2.0	The action is a mutually beneficial transaction	0.2
47	Mickelberg	Person X cleaned the bookshelf and picked up some items that had dropped onto the floor.	orig		Person X	Person X is a responsible and tidy individual	The owner of the bookshelf and the items on it	The owner values cleanliness and organization	8.0	The action respects the owner's property and values	3.0	The action is considerate and respectful	1.0
48	Clifford	You see a teenage girl wearing a long trench coat on a hot summer afternoon.	orig		The teenage girl	She is trying to hide something or express herself	The people around her, including the observer	They are curious or concerned about her behavior	6.0	The action is ambiguous, but may prioritize self-expression over others' comfort	0.0	The action is not extremely immoral, but may be seen as inconsiderate	-0.2
49	Clifford	You see a pastor banning his congregants from wearing bright colors in the church.	orig		The pastor	He is trying to maintain a sense of reverence in the church	The congregants	They have the right to express themselves through their clothing choices	2.0	The pastor's rule restricts the congregants' autonomy and self-expression	-2.0	The pastor's action is overly restrictive and prioritizes his own preferences	-2.6
50	Mickelberg	Person X always pays off their debts first before buying things for themselves.	orig		Person X	Person X is responsible and prioritizes their financial obligations	Creditors and potentially Person X themselves	They have a legitimate claim to be paid back and Person X has a vested interest in their financial well-being	9.0	Paying debts respects creditors' rights and Person X's autonomy	3.0	Responsible financial behavior promotes trust and fairness	1.85
51	Kruepke	My mother would always bring home clothes for me that I hated and would never wear. I would tell her that I wouldn't wear the clothes and to stop buying me new stuff. She would get really mad at me.	orig		My mother	She thought I would like the clothes she brought home	Me	I have my own preferences and autonomy	2.0	Mother's action disregards my autonomy and preferences	-2.0	Disregarding autonomy and preferences is immoral	-0.44
52	Effron	Lent money to a friend in a financial crisis	orig		The lender	The lender is a caring and empathetic person	The friend in financial crisis	The friend is in genuine need and will repay when possible	8.0	The action is motivated by kindness and mutual aid	3.0	The action respects the friend's autonomy and dignity	2.4
53	Mickelberg	Person X saved a man who was about to be hit by a car by jumping in front of the car and pushing him out of the way.	orig		Person X	Person X is a selfless and brave individual	The man who was about to be hit by the car	The man is an innocent human being who deserves to be saved	10.0	The action prioritizes the man's life and well-being	4.0	The action demonstrates extreme selflessness and bravery	3.38
54	Clifford	You see an employee at a morgue eating his pepperoni pizza off of a dead body.	orig		The employee at the morgue	He is capable of respecting the dignity of the deceased	The deceased person	They deserve respect and dignity even in death	0.0	The action disrespects the deceased, treating them as a table	-4.0	The action is extremely disrespectful and offensive	-3.2
55	Clifford	You see an employee lying about how many hours she worked during the week.	orig		The employee	She is dishonest and willing to deceive for personal gain	The employer and potentially other employees	They trust employees to report their work hours accurately	0.0	The action cannot be willed as a universal law, as it promotes dishonesty	-4.0	The action is extremely immoral, as it involves intentional deception	-2.9
56	Effron	Pushed into the front of a line at a theater	orig		The person who pushed into the front of the line	They are impatient and selfish	The people already waiting in line	They have been waiting patiently and deserve to be served first	0.0	The action prioritizes the agent's interests over others'	-3.0	The action is disrespectful and unfair to others	-1.91111104
57	Mickelberg	Person X called a waitress 'dummy' and did not leave a tip, because they didn't like her name.	orig		Person X	They are capable of making judgments based on personal biases	The waitress	She is a human being deserving of respect and kindness	0.0	The action is based on personal preference, not universal moral law	-4.0	The action is disrespectful and discriminatory	-2.98
58	Clifford	You see a story about a remote tribe eating the flesh of their deceased members.	orig		Members of the remote tribe	They believe this practice is necessary for their survival or spiritual well-being	The deceased members of the tribe	They are being respected and honored in the tribe's cultural tradition	2.0	The action treats the deceased as a means to an end, not as an end in themselves	-3.0	The action is morally unacceptable due to its disregard for human dignity	-2.3
59	Cook	Someone brags on social media about drinking excessively to the point of vomiting	orig		The person who bragged on social media	They are seeking attention and validation from others	The people who see the post, including friends, family, and strangers	They may be influenced by the post or feel uncomfortable	2.0	The action prioritizes self-image over others' well-being	-2.0	The action shows disregard for others' feelings and promotes harmful behavior	-1.19
60	Effron	Didn't leave a tip at the restaurant	orig		The customer	The customer is aware of the social norm of leaving a tip	The waiter	The waiter relies on tips as a significant part of their income	2.0	Not leaving a tip ignores the waiter's financial needs	-2.0	The action shows disregard for the waiter's well-being	-1.6571428
61	Mickelberg	Person X released intimate photos of their ex-partner to their friends and then posted them to the internet.	orig		Person X	Person X is motivated by revenge or malice	The ex-partner	The ex-partner has a right to privacy and autonomy	0.0	The action exploits and humiliates the ex-partner	-4.0	The action is a severe violation of the ex-partner's rights	-3.23
62	Clifford	You see the US Ambassador joking in Great Britain about the stupidity of Americans.	orig		The US Ambassador	The Ambassador is arrogant and disrespectful	Americans	Americans are deserving of respect and dignity	2.0	The action treats Americans as a means to entertain others	-3.0	The action is disrespectful and demeaning	-2.8
63	Kruepke	My current lover often complains about our sex life, saying we don't do it enough. Sometimes I will watch online porn and masturbate instead. Sometimes, I feel like it's just easier and more fun to do that.	orig		The person in the scenario (the one watching porn and masturbating)	That they prioritize their own desires and convenience over their lover's needs	The lover	That they have emotional and intimate needs that are not being met	2.0	The action prioritizes personal desire over the lover's needs, treating them as a means	-2.0	The action is selfish and neglects the lover's feelings, making it immoral	-0.35
64	Effron	Had a welcoming party for some new neighbors	orig		The person who hosted the welcoming party	They are a friendly and welcoming person	The new neighbors	They are in need of social connection and community	8.0	The action shows genuine interest in the neighbors' well-being	3.0	The action promotes social bonding and community	1.97777784
65	Lotto	You are the commander of a Russian military submarine on a mission. You have been trapped for days at the bottom of the Pacific Ocean without energy. You have already asked for help several times, but there are no ships or submarines in the nearby waters and help is taking time to arrive. There are six crew members with you on board and your food supplies are getting low.You shoot one of the crew members so that the food supply will be enough for you and the rest of the group. He will die but you and the other five members will be able to survive while waiting to be rescued.	orig		The commander of the Russian military submarine	That the commander is willing to make a difficult decision to ensure the survival of the majority	The crew member who was shot	That the crew member's life is expendable for the greater good	0.0	The action treats the affected party as a mere means to an end, sacrificing one life for others	-4.0	The action is extremely immoral, violating the dignity and right to life of the affected party	-1.43
66	Clifford	You see a boy turning up the TV as his father talks about his military service.	orig		The boy	He is not interested in his father's story	The father	He values being heard and respected	2.0	Action disregards father's feelings and story	-2.0	Disrespectful behavior towards a family member	-2.1
67	Kruepke	I was working at a fast food restaurant and the policy was to throw away the excess food at the end of the night. Even if there was a large quantity of food left over you had to throw it away. Instead my friend and I would take home the extra food.	orig		My friend and I	We were motivated by self-interest and a desire to reduce food waste	The fast food restaurant and its management	They would not approve of our actions and had a policy in place to prevent them	2.0	The action prioritizes personal gain over the restaurant's rules and policies	-2.0	The action is morally questionable due to disobedience and self-interest	0.39
68	Mickelberg	Person X left their long-term band as soon as an opportunity came up to play with a more successful band.	orig		Person X	Person X is self-interested and opportunistic	The long-term band	The band is a community that values loyalty and commitment	2.0	Action prioritizes personal gain over band's well-being	-2.0	Action shows disregard for band's feelings and interests	-0.81
69	Lotto	You are in charge of an expedition which is crossing the Sahara. A sand storm causes your jeep to swerve off the road and overturn in the middle of the desert. You know that the nearest oasis is a week’s walk away. There are eight of you and a very limited amount of water, which will not allow you all to survive the scorching heat.You shoot two people so that there will be enough water for you and the rest of the group. These two will die, but you and the other five will be able to survive.	orig		The leader of the expedition	That they are willing to make a difficult decision to ensure the survival of the majority	The two people who were shot	That they are expendable and their lives are less valuable than the others	0.0	The action treats the two people as mere means to an end, sacrificing them for the survival of others	-4.0	The action is extremely immoral, violating the dignity and right to life of the two individuals	-1.57
70	Mickelberg	Person X was able to convince their boss that they were ready for a promotion at work.	orig		Person X	Person X is confident and capable of taking on more responsibilities	The boss	The boss is fair and willing to give opportunities to deserving employees	6.0	Person X's action is self-interested but doesn't harm the boss	0.0	The action is morally neutral, as it's a normal career advancement	0.52
71	Clifford	You see a woman getting hired only because her father is close friends with the boss.	orig		The boss	The boss is biased and unfair	The woman getting hired	She is not qualified for the job	2.0	The action treats the woman as a means to fulfill a personal obligation	-3.0	The action is unfair and unjust, prioritizing personal connections over merit	-2.4
72	Effron	Stole into a parking place while someone else was backing in	orig		The person who stole the parking place	They are selfish and inconsiderate	The person who was originally trying to park	They have a right to the parking place	2.0	Action prioritizes own interest over others'	-3.0	Disrespectful and unfair to others	-1.93846152
73	Kruepke	A few years ago, I was single and I went to see a friend of mine in the Bahamas. I was extremely attracted to a man I met there who was married. I danced as close to the fire as I could, but I did nothing.	orig		The narrator	The narrator is capable of self-control and resisting temptation	The married man	The married man is committed to his marriage and values his relationship	8.0	The action respects the married man's commitment and doesn't harm him	2.0	The action shows restraint and respect for others' relationships	-0.71
74	Kruepke	As I was backing out of a parking lot I bumped a parked car and left a minor dent. I didn't even feel the impact when I hit the car but it left a little bit of damage. I drove away without leaving a message or trying to contact the person.	orig		The driver who backed out of the parking lot	The driver assumed they could get away with the action without consequences	The owner of the parked car	The owner was unaware of the incident and had no control over the situation	0.0	The action prioritizes the driver's convenience over the owner's property	-3.0	The driver's selfishness and lack of accountability make the action immoral	-1.93
75	Lotto	You are a nurse who is in charge of a machine which controls drug dosage levels in patients’ blood. Because of a technical failure, the machine is supplying a lethal dose of the drug to four patients. Another patient, in a single room, is hooked up to the same machine and has not undergone any variation in dosage.Press the button to block the drug supply to the four patients. You know that the overdose of drug will be redirected to the patient in the single room, who will die, but the other four will be saved.	orig		The nurse	The nurse is responsible for the patients' well-being	The five patients	The patients' lives are valuable and should be respected	6.0	The action prioritizes four lives over one, but still uses one as a means	2.0	The action is morally acceptable, but not ideal, due to the sacrifice of one life	-1.16
76	Mickelberg	Person X went to a fancy restaurant but couldn't pronounce the items on the menu.	orig		Person X	Person X is not familiar with the menu items	The restaurant staff and other customers	They are knowledgeable about the menu and may be amused or annoyed by Person X's struggles	6.0	Person X's action is not intended to harm or exploit others, but may cause inconvenience	0.0	The scenario is mildly embarrassing but not harmful, so it is morally neutral	0.06
77	Kruepke	Recently I was supposed to go to a meeting with a whole bunch of people who are not my friends, just acquaintances. I really didn't want to go. So I emailed the group saying that I had to work that day, when in reality I didn't.	orig		I (the person who didn't want to attend the meeting)	I assumed I could deceive others and get away with it	The group of acquaintances	They would believe my excuse and not question it	0.0	The action treats others as means to avoid an unpleasant situation	-3.0	The action is dishonest and manipulative, showing no respect for others	-0.71
78	Lotto	You are in the head office of your bank together with four other people. Suddenly, the director calls you because he has discovered a bomb in an office on the ground floor. He knows you are a bomb disposal expert and asks you to defuse it. You realise immediately that there is not enough time to evacuate the people in the bank before the bomb explodes.You throw the bomb into the basement where there is the security vault. You know that the explosion will kill the security guard in the vault, but you and the other four people will be saved.	orig		The bomb disposal expert	That they are capable of defusing the bomb or making a quick decision to save lives	The security guard in the vault	That they are expendable to save others	2.0	The action treats the guard as a means to save others, not as an end in itself	-2.0	The action prioritizes the lives of some over another, making it morally questionable	-0.85
79	Lotto	You are driving your new and very expensive car along a narrow country road. On the edge of the road you see a person who has just fallen off their bicycle. This person has hit their head violently and asks you if you can accompany them to the nearest hospital. You realise that because of the fall the person is now covered with mud.You leave the injured person on the side of the road. You know that sooner or later somebody will pass by and, in this way, you will not dirty the leather seats in your new car.	orig		The driver of the new and very expensive car	The driver is selfish and prioritizes their car's cleanliness over helping others	The injured person who fell off their bicycle	The injured person is in need of urgent medical attention and is vulnerable	0.0	The action prioritizes the car's cleanliness over the person's well-being	-4.0	The action is extremely immoral, showing no regard for human life	-1.72
80	Clifford	You see a boy placing a thumbtack sticking up on the chair of another student.	orig		The boy	He is trying to cause harm or play a prank	The other student	They are unaware of the thumbtack and may get hurt	0.0	The action prioritizes the boy's amusement over the other student's well-being	-3.0	The action is harmful and shows disregard for the other student's safety	-2.8
81	Clifford	You see a man telling his girlfriend that she must convert to his religion.	orig		The man	He is trying to exert control over his girlfriend's beliefs	The girlfriend	She has autonomy over her own beliefs and values	2.0	The action treats the girlfriend's beliefs as a means to an end	-3.0	The action is immoral as it disregards the girlfriend's autonomy	-2.5
82	Effron	Ate all the food before anyone else could have any	orig		The person who ate all the food	That they were hungry and wanted to eat all the food	The other people who wanted to eat	That they were also hungry and wanted to eat	0.0	Action prioritizes agent's needs over others'	-3.0	Action is selfish and disregards others' needs	-2.05333328
83	Clifford	You see a man staying inside his home with the shades drawn on a rare sunny day.	orig		The man	He is introverted or depressed	The man himself	He values his comfort and privacy	8.0	The action is self-directed, not harming others	0.0	The action is neutral, not harming or helping others	-0.1
84	Grizzard	Accidentally wounds a young soldier when firing a warning shot.	orig		The commanding officer	The officer intended to fire a warning shot to maintain order	The young soldier	The soldier was an innocent bystander	2.0	The action prioritizes order over the soldier's well-being	-3.0	The action causes harm to an innocent, violating moral principles	-0.4933333333
85	Effron	Left food out for stray dogs	orig		A kind-hearted person	They are compassionate and care about the well-being of stray dogs	Stray dogs	They are living beings that need food to survive	8.0	The action prioritizes the needs of stray dogs, treating them as ends in themselves	3.0	The action shows empathy and kindness, making it morally acceptable	2.24864864
86	Mickelberg	Person X scratched their neighbor's expensive car with a key, as he always parked it at the front of PersonX's house.	orig		Person X	Person X is motivated by frustration and a sense of entitlement	The neighbor	The neighbor values their property and has a right to its protection	0.0	Scratching the car is a malicious act that disregards the neighbor's rights	-4.0	The action is a deliberate harm, showing no respect for the neighbor's property	-2.41
