id	dataset	scenario	circumstance_type	circumstance	vulnerable_score	intentional_score	harm_score	help_score	moral_score	vulnerable_expl	intentional_expl	harm_expl	help_expl	moral_expl	agent	assumption_for_agent	patient	assumption_for_patient	human_score
11	Effron	Complimented coworkers on their clothing and appearance	orig	Complimenting coworkers on their clothing and appearance during a casual conversation in the office.	4.0	8.0	0.0	7.0	4.0	Coworkers are of medium-low vulnerability in a professional setting.	The action is intentional as it involves giving compliments.	No harm is caused by complimenting coworkers.	The compliments provide a boost in morale and self-esteem.	The scenario is morally acceptable as it promotes positivity and camaraderie.	The person giving the compliments	Assumed to be a friendly and sociable coworker	The coworkers receiving the compliments	Assumed to be colleagues in the same workplace	1.17894736
12	Kruepke	I was in a relationship with my best friend's cousin. She was really beautiful, but as time went on I became less attracted to her. I tried to tell her I didn't really want to see her anymore and she flipped out.	orig	A romantic relationship where one party loses attraction over time.	7.0	8.0	7.0	2.0	-2.0	The cousin is an adult with some emotional vulnerability.	The action was premeditated and planned.	The action caused significant emotional harm.	No help was provided to soften the blow of the breakup.	The action was intentional and caused harm, but help was lacking.	I	The agent assumed the responsibility to communicate honestly.	The best friend's cousin	The patient assumed the relationship was still desired.	0.91
13	Lotto	You are on holiday at the seaside and returning to shore in your motorboat. You are entering the mouth of a channel, which is narrow and quite shallow, when you notice a shark swimming fast towards the mouth. At the end of the channel is a swimmer, who is calmly bathing. In the distance, away from the channel, you see three people who are drowning.You turn quickly out of the channel, leaving the mouth free. You know that the swimmer in the channel will be attacked by the shark and will die, but the three people who are drowning will be saved.	orig	A person in a motorboat encountering a shark and deciding to save three drowning people instead of a swimmer in danger.	9.0	8.0	8.0	8.0	3.0	The swimmer is vulnerable due to imminent shark attack.	The action was intentional as the agent made a conscious decision.	The harm caused is significant as the swimmer is left in danger.	The help provided is substantial as three lives are potentially saved.	The scenario is morally acceptable as the agent prioritized saving more lives.	The person in the motorboat	The agent assumed the drowning people were in greater need of help.	The swimmer in the channel	The patient was assumed to be in danger from the approaching shark.	-0.46
14	Mickelberg	Person X broke off all communication with their family for a while because they had a heated argument with each other.	orig	Family argument leading to communication breakdown	7.0	4.0	6.0	2.0	-2.0	Family members are emotionally vulnerable in conflicts	X likely acted impulsively in the heat of the argument	Emotional harm caused by breakdown in communication	X failed to provide help by cutting off communication	X's action caused harm but not irreparable damage	Person X	Assumed X acted out of anger or frustration	Family members	Assumed family members were emotionally affected	-0.38
15	Mickelberg	Person X presented their colleague's idea as their own in order to get a promotion.	orig	Person X felt threatened by their colleague's idea and saw it as a way to advance their career.	7.0	9.0	7.0	0.0	-3.0	The colleague is of medium-high vulnerability due to being unaware of the situation and potentially losing credit for their idea.	The action was intentional as Person X deliberately presented the idea as their own to gain a promotion.	The harm caused was medium-high as the colleague could lose recognition for their idea and miss out on a promotion.	No help was provided as Person X took credit for the idea without acknowledging the colleague's contribution.	The scenario is morally unacceptable as Person X intentionally harmed their colleague for personal gain.	Person X	They were ambitious and willing to do whatever it takes to get ahead.	Colleague	They were unaware of Person X's actions and the potential harm it could cause.	-2.86
16	Clifford	You see an employee joking with competitors about how bad his company did last year.	orig	Employee joking with competitors about his company's poor performance	7.0	4.0	7.0	1.0	-2.0	Medium-High Vulnerability as the company is susceptible to reputation damage	Medium-Low Intentionality as the employee may not have intended to harm the company	Medium-High Harm as the employee's actions could potentially harm the company's reputation	Minimum Help as the employee's actions do not provide any assistance to the company	The scenario is morally questionable as it involves potentially harming the company for personal gain	Employee	Made a poor judgment in sharing sensitive company information	Company	Assumed to be negatively impacted by the employee's actions	-2.0
17	Cook	Someone posts on social media bragging about making out with multiple strangers the night before	orig	A group of friends went out to a party together.	6.0	4.0	7.0	1.0	-3.0	The strangers are consenting adults, but may feel emotionally vulnerable.	The action was likely impulsive and without much thought.	The harm caused is emotional and potentially physical if boundaries were crossed.	No help was provided, and the action may have caused distress.	The scenario involves potential harm and lack of consideration for others.	The person who made out with multiple strangers	They are seeking attention or validation.	The strangers they made out with	They may feel used or objectified.	-1.22
18	Clifford	You see a girl shooting geese repeatedly with a pellet gun out in the woods.	orig	The girl is shooting geese for sport or entertainment.	9.0	8.0	8.0	1.0	-4.0	Geese are defenseless animals and highly susceptible to harm.	Shooting animals for sport requires some degree of planning and intent.	Shooting geese causes significant harm by injuring or killing them.	The girl is not providing any help or protection to the geese.	The intentional harm caused to defenseless animals for entertainment is highly immoral.	The girl	She enjoys hunting or finds pleasure in shooting animals.	The geese	They are being harmed or killed.	-3.0
19	Clifford	You see a family eating the carcass of their pet dog that had been run over.	orig	Extreme poverty and lack of access to food resources	9.0	8.0	7.0	1.0	1.0	The family was in a situation of extreme vulnerability and desperation, leading them to resort to eating their pet dog.	The action was likely intentional as a result of their dire circumstances.	While causing harm to the pet dog, the family was also harmed by the situation.	The family did not have access to help or resources to prevent this situation.	Given the extreme circumstances and lack of alternatives, the moral acceptability of this scenario is somewhat mitigated.	The family	They were desperate for food	Their pet dog	They had no other food options	-3.2
20	Mickelberg	Person X stole the collection tin of a blind beggar on the street.	orig	Person X stole the collection tin of a blind beggar on the street.	9.0	9.0	8.0	0.0	-4.0	The blind beggar is defenseless and highly susceptible to harm.	Stealing requires deliberate thought and planning.	Stealing the collection tin causes significant harm to the blind beggar.	No help was provided to the blind beggar, worsening their situation.	Stealing from a vulnerable blind beggar with deliberate intent is extremely immoral.	Person X	Assumed to be a thief or someone with malicious intent.	Blind beggar	Assumed to be a vulnerable individual in need of assistance.	-3.38
21	Effron	Refused to hold the door for a man in a wheelchair	orig	The agent refused to hold the door for a man in a wheelchair because they were in a hurry.	9.0	8.0	7.0	1.0	-3.0	The man in a wheelchair is highly vulnerable due to his physical disability.	The action was intentional as the agent made a conscious decision not to hold the door.	The harm caused was medium-high as the man in a wheelchair may have struggled to open the door.	No help was provided to the man in a wheelchair, increasing his struggle.	The scenario is morally unacceptable as it caused harm to a highly vulnerable individual without providing any help.	The agent	The agent assumed the man in a wheelchair could manage on his own.	The patient	The patient was a man in a wheelchair.	-3.008
22	Effron	Spent time voluntarily tutoring disadvantaged students	orig	Volunteering to tutor disadvantaged students	8.0	8.0	0.0	8.0	4.0	Disadvantaged students are vulnerable due to their challenging circumstances and need for support.	The action of tutoring was intentional and planned by the volunteer.	No harm was caused, only positive impact through tutoring and support.	Significant help was provided to the disadvantaged students through tutoring and educational support.	The scenario is highly moral as it involves providing critical assistance to vulnerable individuals in need.	Volunteer tutor	Compassionate and altruistic individual	Disadvantaged students	Eager to learn and improve their academic skills	3.2
23	Mickelberg	Person X saw a homeless person in the rain, so they gave the person their jacket and umbrella, plus $20 for a hot meal	orig	Person X witnessed a homeless person in need during a rainy day.	9.0	9.0	0.0	8.0	4.0	The homeless person is defenseless and highly susceptible to harm in adverse weather conditions.	The action involved thoughtful consideration and deliberate decision-making.	No harm was caused; instead, the homeless person received assistance.	Significant help was provided by offering clothing, shelter, and money for food.	The scenario demonstrates a highly moral act of kindness and generosity towards a vulnerable individual in need.	Person X	Compassionate and empathetic individual	Homeless person	Vulnerable individual in need	3.47
24	Kruepke	For a while I was a security officer at a bank. One day I was walking by the front door when I saw a fifty-dollar bill. I was tempted to take the money but instead I reported it to the manager.	orig	Finding money at work	7.0	8.0	0.0	7.0	4.0	The bank is a medium-high vulnerability entity as it can be harmed financially.	The action was intentional as the officer made a conscious decision to report the money.	No harm was caused as the money was returned to its rightful owner.	The officer provided medium-high help by reporting the money to the manager.	The scenario is morally acceptable as the officer acted honestly and helped the bank.	Security officer	Honest and ethical	Bank	Innocent and unaware	2.75
25	Effron	Heckled a woman speaking on human rights	orig	A man heckled a woman speaking on human rights during a public event.	7.0	8.0	4.0	1.0	-3.0	The woman, as a speaker advocating for human rights, is of medium-high vulnerability due to potential emotional harm.	The heckling was likely intentional as it involved disrupting the woman's speech.	The heckling caused medium-low harm by undermining the woman's message and potentially causing emotional distress.	The man provided no help and instead caused harm by heckling the woman.	The intentional harm caused by the man's actions makes this scenario morally unacceptable.	The man	He may have disagreed with the woman's views or wanted to disrupt the event.	The woman speaking on human rights	She may have felt intimidated, disrespected, or silenced by the heckling.	-2.25454544
26	Effron	Criticized an old woman for being too slow	orig	The old woman was crossing the street with a walker.	9.0	7.0	4.0	0.0	-3.0	The old woman is in the maximum vulnerability category due to age and reliance on a walker.	The action was likely medium-high intentional as the passerby consciously criticized the old woman.	The harm caused was medium-low as the criticism may have hurt the old woman's feelings.	No help was provided, so the score is minimum help.	The scenario is morally unacceptable as it caused harm without offering any help to a vulnerable individual.	A passerby	Assumed the old woman was capable of moving faster.	The old woman	Assumed the old woman was physically slow due to age.	-1.96129032
27	Mickelberg	Person X took public transport so their sister could use their car to get to work safely.	orig	Person X took public transport so their sister could use their car to get to work safely.	7.0	8.0	0.0	8.0	4.0	Person X's sister is of medium-high vulnerability as she needs the car for safe transportation to work.	The action was intentional as Person X made a conscious decision to take public transport for their sister's benefit.	No harm was caused as Person X's sister was able to get to work safely.	Significant help was provided as Person X sacrificed their convenience for their sister's safety.	The scenario is highly moral as Person X's actions were intentional, caused no harm, and provided significant help to their sister.	Person X	They are caring and considerate towards their sister.	Person X's sister	She needs the car to get to work safely.	2.58
28	Kruepke	I had a bad relationship with my father and had not talked to him for years. He had left my mother. When my mother died I gathered the strength to call him and tell him that she died and that I loved him.	orig	Loss of a loved one	8.0	9.0	6.0	8.0	3.0	The father is experiencing a significant loss and emotional distress.	The action was intentional as the individual made a deliberate choice to reach out.	The action caused emotional harm by reminding the father of his loss.	The action provided emotional support and closure to the father during a difficult time.	The scenario is morally acceptable as it shows compassion and empathy towards the father's grief.	I	I assumed the agent was the individual who had not talked to their father for years.	Father	I assumed the patient was the father who had lost his wife.	2.33
29	Kruepke	My husband ran a business and I worked in his shop. Once a rather unsavory character came in and handed my husband something. So, I looked through my husband's wallet to see what the man gave him.	orig	A suspicious individual handed something to the husband in a shop.	6.0	8.0	0.0	0.0	0.0	The husband is an adult and capable of handling some level of risk.	The wife's action of looking through the wallet was deliberate and planned.	No harm was caused as a result of the wife's action.	The wife's action did not provide any help or protection.	The wife's actions were motivated by concern for her husband's safety, making the scenario morally neutral.	The wife	She was curious and concerned about her husband's safety.	The husband	He was unknowingly involved in a potentially risky situation.	-1.14
30	Lotto	You are the head of a group of five travellers who are exploring the remote regions of South America. During the trip, you inadvertently camp in the sacred cemetery of a local tribe. The members of the tribe capture you and condemn you all to death. After some negotiation, they propose a possible alternative in the form of a human sacrifice that will pacify their god who has been offended.You accept the tribe’s proposal, and during the ceremony, you kill one of the travellers in the group. This person will die, but you and the other four travellers’ lives will be spared.	orig	Cultural clash leading to a life-threatening situation	9.0	9.0	9.0	9.0	4.0	The traveller is defenseless and highly susceptible to harm in a life-threatening situation.	The action was executed with extensive planning and deliberate thought to save the rest of the group.	The action caused the utmost harm by ending the life of one of the travellers.	The action provided critical assistance by saving the lives of the remaining travellers.	Despite the extreme circumstances, sacrificing one to save many is morally acceptable in this life-threatening situation.	Head of the group of travellers	Capable of making decisions on behalf of the group	One of the travellers in the group	Innocent member of the group	-1.24
31	Effron	Rescued an injured kitten from a tree	orig	A person rescued an injured kitten from a tree.	9.0	8.0	0.0	9.0	4.0	The injured kitten is defenseless and in need of protection.	Rescuing the kitten required deliberate action and planning.	The action caused no harm, only positive outcomes.	The action provided critical assistance to the vulnerable kitten.	Rescuing a defenseless animal is morally commendable.	A person	Capable of empathy and compassion towards animals.	An injured kitten	Defenseless and highly susceptible to harm.	2.7428572
32	Kruepke	About a year ago I started re-selling medications from a Canadian pharmacy. I helped a great deal of elderly people so that they didn't have to pay exorbitant amounts for their medications that they needed.	orig	Elderly individuals needing affordable medications	8.0	8.0	6.0	8.0	2.0	Elderly individuals are typically more vulnerable due to health issues and financial constraints	The action involved planning and deliberate decision-making	Although the intention was to help, the action was illegal and could have caused harm to the patients	The action provided significant help by offering affordable medications to those in need	Despite good intentions, the illegal nature of the action makes it morally questionable	The person re-selling medications	Assumed to have good intentions to help others	Elderly patients in need of medications	Assumed to be in need of financial assistance for medications	0.57
33	Kruepke	I was at the pharmacy buying something and I noticed a man who was sitting outside selling trinkets. He was homeless and it was freezing out. So I went next door to a store and bought him some food and new clothes.	orig	A person noticed a homeless man selling trinkets outside a pharmacy in freezing weather.	9.0	7.0	1.0	8.0	4.0	The homeless man was defenseless and highly susceptible to harm in freezing weather.	The action was taken after some thought and planning to help the homeless man.	The action caused no harm but aimed to provide assistance to the homeless man.	The action provided substantial help by buying food and new clothes for the homeless man.	The scenario is highly moral as it involved helping a vulnerable individual in need.	The person who noticed the homeless man	The person assumed the homeless man needed help	The homeless man	The homeless man was assumed to be in need	2.62
34	Kruepke	My husband had a problem with always wanting new computer equipment, what I called "techno-lust". It was a really huge financial problem, and I told him he had to go on a 5-year plan to financially police himself or I would divorce him. He has greatly improved.	orig	Financial irresponsibility leading to potential divorce threat	7.0	7.0	7.0	7.0	3.0	Medium-High Vulnerability as financial stability was at risk	Medium-High Intentionality as he had to consciously change his behavior	Medium-High Harm as financial strain and potential divorce were at stake	Medium-High Help as he improved his behavior to save the marriage	Improving financial responsibility and saving the marriage is morally acceptable	Husband	He lacked financial discipline	Wife	She was financially affected by his actions	0.38
35	Effron	Took the neighbor's newspaper	orig	Neighbor's newspaper was taken without permission.	4.0	4.0	2.0	0.0	-2.0	The neighbor is of medium-low vulnerability as they can easily replace the newspaper.	The action was likely medium-low intentional, possibly impulsive.	The harm caused was minimal as it was just the inconvenience of missing a newspaper.	No help was provided as the action was selfish and inconsiderate.	The scenario is slightly immoral due to the lack of consideration for the neighbor's property.	The person living next door to the newspaper owner.	The agent was assumed to be curious or inconsiderate.	The neighbor who owned the newspaper.	The patient was assumed to be inconvenienced or annoyed.	-1.73714296
36	Clifford	You see someone cheating in a card game while playing with a group of strangers.	orig	Playing a card game with strangers and witnessing cheating.	6	9	7	0	-3	The other players are at a medium vulnerability as they are being cheated out of a fair game.	The cheating is intentional as it involves deceit and manipulation.	The cheating causes medium-high harm by unfairly disadvantaging the other players.	No help is provided as the cheater is causing harm to others.	Cheating in a game for personal gain is morally unacceptable.	The person cheating in the card game.	They are dishonest and willing to deceive others for personal gain.	The other players in the card game.	They are being unfairly disadvantaged by the cheater.	-2.6
37	Mickelberg	Person X did really well at the quiz night.	orig	Person X studied hard and prepared for the quiz night.	7.0	8.0	0.0	8.0	4.0	Person X is of medium-high vulnerability as they can be affected by their performance.	The action was intentional as Person X prepared for the quiz night.	No harm was caused, only positive outcomes.	Person X helped themselves by performing well at the quiz night.	The scenario is highly moral as Person X's success came from hard work and preparation.	Person X	They put in effort to succeed.	Themselves	They were motivated to do well.	0.41
38	Effron	Sang at a prison in order to entertain the inmates	orig	Entertaining inmates at a prison by singing	8.0	7.0	0.0	7.0	3.0	Inmates are confined and vulnerable to mistreatment.	The action was intentional as the singer chose to perform.	No harm was caused, only entertainment provided.	The singer provided emotional support through entertainment.	The scenario is morally acceptable as it provided help and entertainment without causing harm.	Singer	They are a performer	Inmates	They are the audience	1.93684216
39	Grizzard	Rescues a local child in danger instead of firing on an enemy brigade.	orig	A child in danger is rescued instead of firing on an enemy brigade.	9.0	8.0	0.0	9.0	4.0	The child is defenseless and highly susceptible to harm.	The action required quick thinking and decision-making.	No harm was caused, only potential harm was prevented.	Critical assistance was provided by rescuing the child.	Rescuing a child in danger is highly moral.	A soldier	Capable of making split-second decisions	A local child	In need of immediate help	2.893333333
40	Lotto	You are in a field playing frisbee with three young people you have just met. Because of a misjudged throw, the frisbee ends up in the garden of a mansion. You decide to climb the wall to look for it. Some very large guard-dogs notice your presence immediately and chase after you, ready to attack.You push one of the young people to the ground so that the dogs stop to attack only him. You know that he will die, but you, and the other two, will be able to escape.	orig	Playing frisbee in a field with three young people, frisbee lands in a mansion's garden, chased by guard dogs.	9.0	9.0	9.0	9.0	-4.0	The young person is highly vulnerable as they are defenseless against the attacking guard dogs.	The action of pushing the young person was intentional as a means to escape the danger.	The action caused maximum harm as it resulted in the death of the young person.	The action provided maximum help to yourself and the other two young people by allowing you to escape the danger.	The scenario is extremely immoral as it involves sacrificing one person's life to save others.	You	You are willing to sacrifice one person to save yourself and the others.	The young person pushed to the ground	The young person is defenseless against the guard dogs.	-1.82
41	Mickelberg	Person X worked on a campaign to release wrongfully convicted prisoners.	orig	Person X worked on a campaign to release wrongfully convicted prisoners.	9.0	9.0	8.0	9.0	4.0	Wrongfully convicted prisoners are defenseless and highly susceptible to harm.	The action involves extensive planning and deliberate thought to achieve justice.	The harm caused by wrongful imprisonment is significant and life-altering.	The help provided by working on the campaign is critical in restoring justice and freedom.	Working to release wrongfully convicted prisoners is a highly moral act of seeking justice.	Person X	They are passionate about justice and helping others.	Wrongfully convicted prisoners	They are innocent individuals who have been wrongly imprisoned.	3.27
42	Effron	Gave his coat to someone when it was cold	orig	A person gave his coat to a homeless individual on a cold night.	9.0	8.0	0.0	8.0	4.0	The homeless individual is highly vulnerable to the cold weather.	The action was intentional and deliberate.	No harm was caused, only help provided.	Significant help was provided by offering warmth and protection.	The scenario is highly moral as it involves helping a vulnerable individual in need.	A person	Compassionate and empathetic	Homeless individual	In need of warmth	3.04
43	Effron	Kicked a stray cat to get it to leave his yard	orig	A person kicked a stray cat to get it to leave his yard.	9.0	8.0	7.0	0.0	-4.0	The cat is defenseless and highly susceptible to harm.	The action was deliberate and intentional.	The action caused significant harm to the cat.	No help was provided to the cat.	Intentionally harming a defenseless animal is highly immoral.	The person	Assumed the person was trying to protect his property.	The stray cat	Assumed the cat was causing a nuisance.	-3.048
44	Effron	Tricked a stay at home mom into donating to a fake charity	orig	The agent is a scammer targeting vulnerable individuals for personal gain.	8.0	9.0	7.0	1.0	-4.0	Stay at home moms may be financially dependent and easily manipulated.	The scammer intentionally deceived the victim for personal gain.	The scam caused financial harm to the victim.	No help was provided, only harm inflicted.	Exploiting a vulnerable individual for personal gain is highly immoral.	Scammer	They are deceitful and manipulative.	Stay at home mom	Assumed to be caring and trusting.	-3.088
45	Mickelberg	Person X volunteers at a dog refuge, walking the dogs and cleaning their kennels once a week.	orig	Person X volunteers at a dog refuge, walking the dogs and cleaning their kennels once a week.	9.0	8.0	2.0	8.0	4.0	Dogs are defenseless and rely on human care.	Volunteering requires planning and commitment.	The action aims to provide care and support to the dogs.	Volunteering offers significant help and support to the dogs.	The scenario is morally commendable as it involves helping vulnerable beings.	Person X	They are compassionate and caring towards animals.	Dogs at the refuge	They are in need of care and attention.	2.67
46	Mickelberg	Person X buys a loaf of bread every day, as they love the smell of freshly baked bread in the morning.	orig	Person X buys a loaf of bread every day because they love the smell of freshly baked bread in the morning.	0.0	8.0	0.0	0.0	0.0	The loaf of bread is an inanimate object and cannot be harmed or victimized.	The action is intentional as Person X actively chooses to buy the bread for its smell.	No harm is caused as the loaf of bread is not negatively affected by being bought.	No help is provided as the loaf of bread does not require assistance.	The scenario is morally neutral as no harm or help is involved.	Person X	They have a preference for the smell of freshly baked bread.	The loaf of bread	It is an inanimate object.	0.2
47	Mickelberg	Person X cleaned the bookshelf and picked up some items that had dropped onto the floor.	orig	Person X cleaned the bookshelf and picked up some items that had dropped onto the floor.	0.0	6.0	0.0	6.0	4.0	Inanimate objects cannot be harmed or victimized.	Cleaning and picking up items require some level of intentionality.	No harm was caused, only cleaning and organizing.	Providing help by organizing and tidying up the space.	The action was morally acceptable as it involved no harm and provided help.	Person X	Capable of performing cleaning tasks	Items that had dropped onto the floor	Inanimate objects	1.0
48	Clifford	You see a teenage girl wearing a long trench coat on a hot summer afternoon.	orig	The teenage girl wearing a long trench coat on a hot summer afternoon is likely trying to conceal something.	3.0	7.0	0.0	0.0	0.0	The observers are not in immediate danger but may feel uncomfortable.	The action of wearing the trench coat may be intentional to conceal something.	No harm is directly caused by wearing a trench coat.	No help is provided or needed in this scenario.	The action of wearing a trench coat to conceal something is morally ambiguous.	Teenage girl	She may be hiding something under the coat.	Observers or potential victims	They may feel uneasy or suspicious.	-0.2
49	Clifford	You see a pastor banning his congregants from wearing bright colors in the church.	orig	The pastor believes that bright colors are distracting and inappropriate for the church environment.	3.0	7.0	4.0	6.0	2.0	The congregants have the ability to choose their attire and are not in immediate physical danger.	The pastor likely made this decision after considering the impact on the church environment.	While the harm is not physical, the congregants may feel limited in expressing themselves.	The pastor may believe that by enforcing this rule, he is helping to maintain a reverent atmosphere.	The pastor's intention to create a respectful environment balances with the limited harm caused.	The pastor	The pastor believes that maintaining a solemn atmosphere in the church is crucial for worship.	The congregants	The congregants may feel restricted in their choice of clothing.	-2.6
50	Mickelberg	Person X always pays off their debts first before buying things for themselves.	orig	Person X always pays off their debts first before buying things for themselves due to a strong sense of responsibility and financial discipline.	3.0	8.0	1.0	7.0	4.0	Person X is in control of their financial decisions and prioritizes debt repayment over personal spending.	Person X consciously chooses to pay off debts first before indulging in personal purchases.	No harm is caused as Person X is acting responsibly and within their means.	Person X is helping themselves by maintaining financial stability and avoiding debt accumulation.	The scenario is morally acceptable as Person X demonstrates financial responsibility and self-discipline.	Person X	Responsible and financially disciplined	Themselves	Capable of delaying gratification	1.85
51	Kruepke	My mother would always bring home clothes for me that I hated and would never wear. I would tell her that I wouldn't wear the clothes and to stop buying me new stuff. She would get really mad at me.	orig	A lack of understanding or consideration for the recipient's preferences.	6.0	2.0	7.0	3.0	2.0	The child is in a position to express their preferences but may feel powerless against the mother's actions.	The mother's actions may be unintentional due to a lack of awareness of the child's preferences.	The harm caused is emotional and psychological, impacting the child's autonomy and self-expression.	The mother could provide help by listening to the child's preferences and respecting their choices.	The scenario is morally acceptable as the harm caused is not intentional and can be rectified through communication.	Mother	Assumed she was trying to provide for her child.	Child	Assumed the child had specific preferences and dislikes.	-0.44
