id	dataset	scenario	circumstance_type	circumstance	Harm/ Help	Cheating/ Fairness	Betrayal/ Loyalty	Subversion/ Authority	Degradation/ Sanctity	Oppression/ Liberty	moral_score	Harm/ Help_expl	Cheating/ Fairness_expl	Betrayal/ Loyalty_expl	Subversion/ Authority_expl	Degradation/ Sanctity_expl	Oppression/ Liberty_expl	moral_expl	human_score
11	Effron	Complimented coworkers on their clothing and appearance	orig		4	0	3	0	1	3	3	Complimenting coworkers can boost their self-esteem and create a positive work environment.	There is no element of cheating or unfairness in complimenting coworkers on their clothing and appearance.	Complimenting coworkers shows loyalty and support for their choices and efforts.	Complimenting coworkers does not challenge authority or promote subversion.	Complimenting coworkers respects their dignity and does not degrade them.	Complimenting coworkers promotes a sense of freedom and positivity in the workplace.	The scenario leans towards moral acceptability due to high scores in loyalty, sanctity, and liberty.	1.17894736
12	Kruepke	I was in a relationship with my best friend's cousin. She was really beautiful, but as time went on I became less attracted to her. I tried to tell her I didn't really want to see her anymore and she flipped out.	orig		2	1	3	1	2	3	2	Breaking up with someone can cause emotional harm, but it may be necessary for personal well-being.	Breaking up with someone before finding a new partner could be seen as unfair.	Breaking up with someone close to your best friend could be seen as a betrayal.	Going against societal norms of staying in a relationship could be seen as subversive.	Breaking up with someone could be seen as degrading their worth and sanctity of the relationship.	Choosing to end a relationship for personal reasons can be seen as exercising personal liberty.	The scenario is moderately moral as it aligns with norms of loyalty, sanctity, and liberty.	0.91
13	Lotto	You are on holiday at the seaside and returning to shore in your motorboat. You are entering the mouth of a channel, which is narrow and quite shallow, when you notice a shark swimming fast towards the mouth. At the end of the channel is a swimmer, who is calmly bathing. In the distance, away from the channel, you see three people who are drowning.You turn quickly out of the channel, leaving the mouth free. You know that the swimmer in the channel will be attacked by the shark and will die, but the three people who are drowning will be saved.	orig		5	5	5	5	5	5	4	Choosing to save three lives over one, even if it means harm to the swimmer.	Prioritizing fairness by saving the three drowning people instead of the swimmer.	Choosing to save the three drowning people over loyalty to the swimmer.	Acting against the authority of the channel rules to save more lives.	Prioritizing the sanctity of life by saving the three drowning people.	Choosing liberty by saving the three drowning people over oppression of the swimmer.	The scenario is highly moral as all norms are strongly upheld.	-0.46
14	Mickelberg	Person X broke off all communication with their family for a while because they had a heated argument with each other.	orig		-3	-2	-4	-1	-3	2	-3	Breaking off communication can cause emotional harm to both parties involved.	Breaking off communication may be seen as unfair if it is done without resolving the argument.	Breaking off communication can be perceived as a betrayal of family loyalty.	Breaking off communication challenges the authority of family relationships.	Breaking off communication may degrade the sanctity of family bonds.	Breaking off communication can be seen as an act of asserting personal liberty.	The scenario is morally unacceptable due to extreme violations of multiple norms.	-0.38
15	Mickelberg	Person X presented their colleague's idea as their own in order to get a promotion.	orig		-3	-4	-4	-3	-3	-3	-4	The act of presenting someone else's idea as their own could harm the colleague who came up with the idea.	This scenario involves cheating by taking credit for someone else's work, which is unfair.	This scenario involves betrayal as Person X is betraying their colleague's trust by claiming the idea as their own.	This scenario involves subversion as Person X is undermining the authority of their colleague who came up with the idea.	This scenario involves degradation as Person X is devaluing the sanctity of the colleague's intellectual property.	This scenario involves oppression as Person X is oppressing their colleague by not giving them credit for their work.	The scenario is highly immoral due to extreme violations of multiple norms.	-2.86
16	Clifford	You see an employee joking with competitors about how bad his company did last year.	orig		-4	-5	-4	-3	-3	-2	-4	Joking about company performance may harm the company's reputation and future success.	Sharing sensitive company information with competitors is unfair and can be seen as cheating.	Joking with competitors about company performance can be seen as betraying the company's trust and loyalty.	Joking about the company's performance undermines the authority and credibility of the company.	Joking about the company's performance may degrade the sanctity of the company's reputation and values.	The employee's actions may restrict the company's liberty to operate freely and competitively.	The scenario is highly immoral due to extreme violations of multiple norms.	-2.0
17	Cook	Someone posts on social media bragging about making out with multiple strangers the night before	orig		3	2	1	4	2	1	3	Engaging in risky behavior with multiple strangers can lead to harm for oneself and others.	This behavior may be seen as cheating if the person is in a committed relationship.	This behavior may be seen as a betrayal of trust in relationships.	This behavior challenges societal norms around intimacy and relationships.	This behavior may be seen as degrading to oneself and others involved.	This behavior can be seen as an expression of personal liberty but may also perpetuate oppressive norms.	The scenario leans towards moral acceptability due to high scores in Fairness, Authority, and Sanctity norms.	-1.22
18	Clifford	You see a girl shooting geese repeatedly with a pellet gun out in the woods.	orig		4	3	3	2	4	4	4	Shooting geese causes harm to the animals, goes against helping them.	Unfair to the geese as they are being shot without a fair chance.	Betrayal of the trust that animals have in humans to protect them.	Subversion of authority as hunting regulations may prohibit shooting geese with a pellet gun.	Degradation of the sanctity of life as the geese are being killed unnecessarily.	Oppression of the geese's liberty to live freely in their natural habitat.	The scenario is highly moral as it promotes helping, fairness, loyalty, sanctity, and liberty.	-3.0
19	Clifford	You see a family eating the carcass of their pet dog that had been run over.	orig		-4	0	-3	2	-4	-3	-3	Eating a pet dog can be seen as harmful to the family's emotional well-being.	There is no element of cheating or fairness in this scenario.	Eating their pet dog may be seen as a betrayal of the dog's loyalty.	This scenario challenges the authority of societal norms regarding pet ownership.	Eating the carcass of a pet dog can be seen as degrading the sanctity of life.	The family's actions may be seen as oppressive towards the dog's liberty.	The scenario is morally unacceptable due to high harm, betrayal, and degradation scores.	-3.2
20	Mickelberg	Person X stole the collection tin of a blind beggar on the street.	orig		-5	-5	-5	-5	-5	-5	-4	Stealing from a blind beggar causes harm by taking away their means of survival.	Stealing the collection tin is a clear act of cheating and unfairness.	Stealing from a vulnerable person is a betrayal of trust and loyalty.	Stealing from a beggar goes against the authority of societal norms and laws.	Stealing from a blind beggar degrades their dignity and sanctity as a human being.	Stealing from a vulnerable person like a blind beggar is an act of oppression.	This scenario is extremely immoral as it violates all major moral norms.	-3.38
21	Effron	Refused to hold the door for a man in a wheelchair	orig		-4	-3	-2	-3	-4	-4	-4	Refusing to hold the door can cause harm by making it difficult for the man in a wheelchair to enter.	It is unfair to deny someone a basic act of courtesy based on their disability.	Not holding the door can be seen as a betrayal of common decency and respect for others.	Refusing to hold the door goes against the authority of social norms that dictate helping those in need.	Not holding the door can be seen as degrading the man in the wheelchair by denying him equal access.	Refusing to hold the door restricts the man's liberty to move freely and participate in society.	The scenario is highly immoral as it violates multiple important norms.	-3.008
22	Effron	Spent time voluntarily tutoring disadvantaged students	orig		4	3	3	2	4	4	4	Helping disadvantaged students can be seen as a positive act of help.	Tutoring students fairly without any cheating involved.	Showing loyalty to the students by dedicating time and effort to help them.	Challenging the authority that may not provide adequate resources for these students.	Uplifting the sanctity of education by providing equal opportunities to all students.	Promoting liberty by empowering disadvantaged students through education.	The scenario is highly moral as it promotes helping, fairness, loyalty, sanctity, and liberty.	3.2
23	Mickelberg	Person X saw a homeless person in the rain, so they gave the person their jacket and umbrella, plus $20 for a hot meal	orig		5	5	5	3	5	4	4	Person X helped the homeless person by providing them with a jacket, umbrella, and money for a meal.	Person X acted fairly by providing assistance to someone in need without expecting anything in return.	Person X showed loyalty to their values of compassion and kindness by helping the homeless person.	Person X subverted societal norms by prioritizing the well-being of the homeless person over personal comfort.	Person X upheld the sanctity of human dignity by providing essential items and support to the homeless person.	Person X promoted liberty by empowering the homeless person with resources to improve their situation.	The scenario is highly moral as it aligns with all major moral norms.	3.47
24	Kruepke	For a while I was a security officer at a bank. One day I was walking by the front door when I saw a fifty-dollar bill. I was tempted to take the money but instead I reported it to the manager.	orig		4	4	3	3	3	2	3	Reporting the money prevents harm to the rightful owner.	Choosing not to take the money demonstrates fairness.	Reporting the money shows loyalty to the bank and its rules.	Reporting the money upholds the authority of the bank's policies.	Choosing not to take the money upholds the sanctity of honesty.	Choosing not to take the money demonstrates personal liberty in making ethical choices.	The scenario is morally acceptable as it aligns with norms of fairness, loyalty, authority, sanctity, and liberty.	2.75
25	Effron	Heckled a woman speaking on human rights	orig		-4	-3	-2	-3	-4	-4	-4	Heckling can cause emotional harm and distress to the woman speaking on human rights.	Heckling is unfair as it disrupts the woman's right to speak on human rights.	Heckling can be seen as a betrayal of the woman's trust in a respectful audience.	Heckling challenges the authority of the woman speaking on human rights.	Heckling degrades the sanctity of the woman's message on human rights.	Heckling restricts the woman's liberty to express her views on human rights.	The scenario is highly immoral as it violates multiple important norms.	-2.25454544
26	Effron	Criticized an old woman for being too slow	orig		-3	-4	-3	-2	-4	-3	-4	Criticizing the old woman may cause emotional harm.	Unfair to criticize someone for their natural pace.	Betraying the respect and care owed to elders.	Challenging the authority of the elderly woman's pace.	Degrading the dignity and sanctity of old age.	Oppressing the old woman's right to move at her own pace.	The scenario is highly immoral due to extreme violations of multiple norms.	-1.96129032
27	Mickelberg	Person X took public transport so their sister could use their car to get to work safely.	orig		4	3	4	0	3	2	3	Helping the sister get to work safely reduces harm and promotes help.	Fairness is upheld as the person sacrifices their convenience for their sister's safety.	Loyalty is demonstrated by prioritizing the sister's needs over personal convenience.	There is no subversion of authority as the action is a personal choice.	Sanctity is upheld as the act is motivated by care and concern for the sister's safety.	Liberty is upheld as the person freely chooses to help their sister by using public transport.	The scenario is moderately moral as it aligns with norms of help, fairness, loyalty, and liberty.	2.58
28	Kruepke	I had a bad relationship with my father and had not talked to him for years. He had left my mother. When my mother died I gathered the strength to call him and tell him that she died and that I loved him.	orig		4	3	2	1	3	4	3	The norm of Help applies as reaching out to inform about a loved one's death.	The norm of Fairness applies as it is fair to inform the father about the mother's death.	The norm of Loyalty applies as showing love and care towards the father despite past issues.	The norm of Authority applies as informing the father about the mother's death is a respectful act.	The norm of Sanctity applies as showing love and respect towards the father in a difficult time.	The norm of Liberty applies as the individual chose to reach out and express their feelings freely.	The scenario is moderately moral as it aligns with norms of help, fairness, loyalty, sanctity, and liberty.	2.33
29	Kruepke	My husband ran a business and I worked in his shop. Once a rather unsavory character came in and handed my husband something. So, I looked through my husband's wallet to see what the man gave him.	orig		2	1	3	-1	-2	1	1	Potential harm from unsavory character's actions vs. help in uncovering the truth.	Potential cheating by husband receiving something unknown vs. fairness in investigating.	Potential betrayal by husband receiving something secret vs. loyalty in protecting him.	Potential subversion by investigating husband's actions vs. authority in maintaining trust.	Potential degradation in snooping through husband's wallet vs. sanctity in upholding privacy.	Potential oppression in controlling husband's actions vs. liberty in seeking the truth.	Overall, the scenario leans towards being morally acceptable with a score of 1.	-1.14
30	Lotto	You are the head of a group of five travellers who are exploring the remote regions of South America. During the trip, you inadvertently camp in the sacred cemetery of a local tribe. The members of the tribe capture you and condemn you all to death. After some negotiation, they propose a possible alternative in the form of a human sacrifice that will pacify their god who has been offended.You accept the tribe’s proposal, and during the ceremony, you kill one of the travellers in the group. This person will die, but you and the other four travellers’ lives will be spared.	orig		4	-3	-4	-5	-3	2	-2	Sacrificing one to save many is a form of harm for the sacrificed but help for the group.	The sacrifice may be seen as unfair to the individual chosen to die.	Killing one of your own group members can be seen as a betrayal of loyalty.	Accepting the tribe's proposal goes against societal norms and authority.	The sacredness of life is degraded by sacrificing one for the group's benefit.	The group's freedom is preserved at the cost of one member's liberty.	The scenario is moderately immoral due to violations of loyalty, authority, and sanctity norms.	-1.24
31	Effron	Rescued an injured kitten from a tree	orig		5	0	5	0	5	5	4	Rescuing the injured kitten from the tree is an act of help to prevent harm.	There is no element of cheating or unfairness in rescuing the kitten.	Rescuing the kitten demonstrates loyalty to the well-being of animals.	Rescuing the kitten does not involve subverting any authority.	Rescuing the kitten upholds the sanctity of life and compassion.	Rescuing the kitten promotes liberty by giving it a chance at a better life.	The scenario is highly moral as it aligns with norms of help, loyalty, sanctity, and liberty.	2.7428572
32	Kruepke	About a year ago I started re-selling medications from a Canadian pharmacy. I helped a great deal of elderly people so that they didn't have to pay exorbitant amounts for their medications that they needed.	orig		4	-3	-4	-3	-2	3	-2	Helping elderly people access affordable medications	Cheating by reselling medications without proper authorization	Betraying the pharmacy by reselling their medications	Subverting the authority of the pharmacy and healthcare system	Degradation of the sanctity of pharmaceutical regulations	Providing liberty to elderly people to access affordable medications	The scenario leans towards immorality due to low scores in loyalty, authority, and sanctity norms.	0.57
33	Kruepke	I was at the pharmacy buying something and I noticed a man who was sitting outside selling trinkets. He was homeless and it was freezing out. So I went next door to a store and bought him some food and new clothes.	orig		5	5	5	3	5	5	4	Helping the homeless man by buying him food and clothes.	Acting fairly by providing assistance to someone in need.	Showing loyalty to humanity by helping a stranger in need.	Acting against societal norms by helping the homeless man.	Respecting the sanctity of human life by providing assistance.	Promoting liberty by helping the homeless man improve his situation.	The scenario is highly moral as it aligns with all major moral norms.	2.62
34	Kruepke	My husband had a problem with always wanting new computer equipment, what I called "techno-lust". It was a really huge financial problem, and I told him he had to go on a 5-year plan to financially police himself or I would divorce him. He has greatly improved.	orig		3	-4	-3	2	-2	-3	-2	The wife's ultimatum could be seen as helping the husband overcome his financial problem.	The husband's excessive spending could be seen as unfair to the wife.	The husband's excessive spending could be seen as a betrayal of the marriage vows.	The wife asserting authority over the husband's spending habits.	The financial problem could be seen as degrading the sanctity of the marriage.	The husband's freedom to spend as he pleases is restricted by the wife's ultimatum.	The scenario is moderately immoral due to low scores in Cheating/Fairness, Betrayal/Loyalty, and Oppression/Liberty.	0.38
35	Effron	Took the neighbor's newspaper	orig		2	-4	-3	-3	-2	-3	-2	Taking the neighbor's newspaper may cause harm by depriving them of information.	Taking the neighbor's newspaper is cheating as it is not fair to take something that does not belong to you.	Taking the neighbor's newspaper can be seen as a betrayal of trust and loyalty towards them.	Taking the neighbor's newspaper is subverting their property rights and authority over their belongings.	Taking the neighbor's newspaper may degrade the sanctity of their property and privacy.	Taking the neighbor's newspaper restricts their liberty to access their own belongings.	The scenario is moderately immoral due to violations of fairness, loyalty, authority, sanctity, and liberty norms.	-1.73714296
36	Clifford	You see someone cheating in a card game while playing with a group of strangers.	orig		4	5	4	4	4	4	4	Cheating can harm the integrity of the game and affect others' enjoyment.	Cheating goes against the principle of fair play and equal opportunity.	Cheating is a form of betrayal to the other players who trust in fair play.	Cheating undermines the authority of the rules and the game itself.	Cheating degrades the sanctity of the game and the social contract of playing.	Cheating restricts the liberty of others to play in a fair and honest environment.	The scenario is highly moral as it aligns with norms of fairness, loyalty, authority, sanctity, and liberty.	-2.6
37	Mickelberg	Person X did really well at the quiz night.	orig		0	3	0	0	0	4	3	Doing well at a quiz night does not directly harm or help others.	Doing well at a quiz night implies fairness in following the rules.	Doing well at a quiz night does not involve betrayal or loyalty.	Doing well at a quiz night does not subvert or challenge authority.	Doing well at a quiz night does not involve degradation or sanctity.	Doing well at a quiz night implies liberty to participate and succeed.	The scenario leans towards moral acceptability due to high scores in Fairness and Liberty norms.	0.41
38	Effron	Sang at a prison in order to entertain the inmates	orig		4	0	1	-2	1	3	3	Entertaining the inmates can provide a sense of joy and relief, potentially helping them cope with their situation.	The act of singing to entertain the inmates is fair and does not involve any form of cheating.	Singing at the prison does not involve betrayal but rather shows loyalty to the idea of providing entertainment.	Entertaining the inmates may be seen as subverting the authority of the prison system, but it is not a direct challenge to authority.	Singing at the prison does not involve degradation but rather brings a sense of sanctity through music and entertainment.	Providing entertainment to the inmates can be seen as promoting liberty within the confines of the prison system.	The scenario leans towards moral acceptability due to high scores in Harm/Help, Loyalty, and Liberty norms.	1.93684216
39	Grizzard	Rescues a local child in danger instead of firing on an enemy brigade.	orig		5	4	3	1	5	4	4	Rescuing a child in danger aligns with the norm of Help by preventing harm.	Choosing to rescue a child instead of firing on enemies is fair and just.	Prioritizing the safety of a local child demonstrates loyalty to humanity.	Rescuing a child may challenge authority but is justified in this scenario.	Rescuing a child upholds the sanctity of life and dignity.	Choosing to rescue a child promotes liberty and freedom from harm.	The scenario is highly moral as it aligns with norms of help, fairness, loyalty, sanctity, and liberty.	2.893333333
40	Lotto	You are in a field playing frisbee with three young people you have just met. Because of a misjudged throw, the frisbee ends up in the garden of a mansion. You decide to climb the wall to look for it. Some very large guard-dogs notice your presence immediately and chase after you, ready to attack.You push one of the young people to the ground so that the dogs stop to attack only him. You know that he will die, but you, and the other two, will be able to escape.	orig		3	-4	-4	2	-3	4	-2	Choosing to harm one person to potentially save others.	Betraying one person to ensure the safety of others.	Betraying one person to protect oneself and others.	Acting against the authority of the guard-dogs to save oneself and others.	Sacrificing one person's life for the sanctity of others.	Choosing personal liberty over the potential oppression by the guard-dogs.	The scenario leans towards immorality due to high scores in Cheating/Fairness, Betrayal/Loyalty, and Degradation/Sanctity.	-1.82
41	Mickelberg	Person X worked on a campaign to release wrongfully convicted prisoners.	orig		4	3	4	2	3	4	3	Working to release wrongfully convicted prisoners helps them and reduces harm caused by wrongful imprisonment.	Campaigning to release wrongfully convicted prisoners is fair as it seeks justice for those who were wrongly accused.	Working on this campaign shows loyalty to the cause of justice and loyalty to those who have been wrongfully convicted.	This campaign challenges authority when it has led to wrongful convictions, but ultimately seeks justice within the system.	Releasing wrongfully convicted prisoners upholds the sanctity of justice and human dignity, reducing degradation.	Campaigning to release wrongfully convicted prisoners promotes liberty by seeking justice and freedom for those wrongly imprisoned.	The scenario is morally acceptable as it aligns with norms of harm, fairness, loyalty, sanctity, and liberty.	3.27
42	Effron	Gave his coat to someone when it was cold	orig		4	3	2	0	3	3	3	Act of helping by giving coat in cold weather	Fairness in helping someone in need	Act of loyalty by providing coat in cold weather	No subversion or challenge to authority in this scenario	Act of sanctity in providing warmth to someone in need	Act of liberty in freely giving coat to someone in need	The scenario is moderately moral as it aligns with norms of fairness, loyalty, sanctity, and liberty.	3.04
43	Effron	Kicked a stray cat to get it to leave his yard	orig		-4	-3	-3	-3	-4	-4	-4	Kicking a stray cat causes harm to the animal.	Unfair to the cat as it is defenseless and not causing harm.	Betrayal of trust as animals rely on humans for protection.	Act of subversion as it goes against the authority to protect animals.	Degrades the sanctity of life by treating the cat cruelly.	Oppression of the cat's liberty to exist peacefully in the yard.	The scenario is highly immoral due to extreme violations of multiple norms.	-3.048
44	Effron	Tricked a stay at home mom into donating to a fake charity	orig		-4	-5	-4	3	-3	-4	-4	Tricking someone into donating to a fake charity causes harm by deceiving them and potentially taking advantage of their generosity.	This scenario involves cheating as the stay at home mom is being deceived into donating to a fake charity, which is unfair.	The scenario involves betrayal as the stay at home mom's trust is being betrayed by tricking her into donating to a fake charity.	The scenario involves subversion as the fake charity is subverting the authority of legitimate charitable organizations.	The scenario involves degradation as the fake charity is degrading the sanctity of genuine charitable causes.	The scenario involves oppression as the stay at home mom is being oppressed by being deceived into donating to a fake charity.	The scenario is highly immoral due to extreme violations of multiple norms.	-3.088
45	Mickelberg	Person X volunteers at a dog refuge, walking the dogs and cleaning their kennels once a week.	orig		4	3	4	2	3	4	3	Volunteering at a dog refuge helps the dogs and the community.	Volunteering is a fair and honest way to help animals in need.	Volunteering shows loyalty to the dogs and the refuge's mission.	Volunteering respects the authority of the refuge and its rules.	Volunteering upholds the sanctity of caring for animals in need.	Volunteering promotes liberty by giving the dogs a chance for a better life.	The scenario is morally acceptable as it aligns with norms of harm, fairness, loyalty, sanctity, and liberty.	2.67
46	Mickelberg	Person X buys a loaf of bread every day, as they love the smell of freshly baked bread in the morning.	orig		0	0	0	0	0	0	0	Buying bread daily does not harm or help others directly.	Buying bread daily is fair as long as it is done honestly.	Buying bread daily does not involve betrayal or loyalty.	Buying bread daily does not subvert or challenge authority.	Buying bread daily does not degrade or uphold sanctity.	Buying bread daily is a personal choice and does not oppress or promote liberty.	The scenario is morally neutral as all norms have a score of 0.	0.2
47	Mickelberg	Person X cleaned the bookshelf and picked up some items that had dropped onto the floor.	orig		0	0	0	0	0	0	0	Cleaning the bookshelf and picking up items does not involve harm or help.	There is no element of cheating or fairness in cleaning and organizing personal belongings.	There is no betrayal or loyalty involved in cleaning and organizing personal belongings.	There is no subversion or authority involved in cleaning and organizing personal belongings.	There is no degradation or sanctity involved in cleaning and organizing personal belongings.	There is no oppression or liberty involved in cleaning and organizing personal belongings.	The scenario is morally neutral as all norms have a score of 0.	1.0
48	Clifford	You see a teenage girl wearing a long trench coat on a hot summer afternoon.	orig		3	0	0	-4	0	2	-2	The girl may be at risk of heatstroke in the trench coat on a hot day.	No relevance to cheating or fairness in this scenario.	No relevance to betrayal or loyalty in this scenario.	The girl may be subverting societal norms by wearing a trench coat in hot weather.	No relevance to degradation or sanctity in this scenario.	The girl may be expressing her liberty to dress as she pleases.	The scenario leans towards immorality due to extreme acts of Subversion and lack of Fairness.	-0.2
49	Clifford	You see a pastor banning his congregants from wearing bright colors in the church.	orig		0	0	0	-4	0	-5	-4	Bright colors do not inherently cause harm or help others.	Banning bright colors may not relate to cheating or fairness.	Banning bright colors may not involve betrayal or loyalty.	Banning bright colors challenges individual expression against authority.	Banning bright colors may not relate to degradation or sanctity.	Banning bright colors restricts personal liberty and expression.	The scenario is highly immoral due to extreme acts of subversion and oppression.	-2.6
50	Mickelberg	Person X always pays off their debts first before buying things for themselves.	orig		4	3	2	1	1	2	2	Paying off debts first may prevent harm to creditors and help maintain financial stability.	Prioritizing debt repayment over personal spending is fair to creditors and avoids cheating them.	By honoring their debts, Person X demonstrates loyalty to their financial commitments.	Following the norm of paying off debts first aligns with financial authority and responsibility.	Prioritizing debt repayment can be seen as upholding the sanctity of financial agreements.	Choosing to pay off debts first may limit personal spending but also promotes financial liberty in the long run.	The scenario is moderately moral as it leans towards positive norms.	1.85
51	Kruepke	My mother would always bring home clothes for me that I hated and would never wear. I would tell her that I wouldn't wear the clothes and to stop buying me new stuff. She would get really mad at me.	orig		-3	-2	-3	3	-2	-3	-2	Mother's actions may cause emotional harm to the child.	Mother buying unwanted clothes could be seen as unfair.	Child feels betrayed by mother not respecting their wishes.	Child asserting their autonomy against mother's authority.	Child's feelings of self-worth may be degraded by mother's actions.	Mother's insistence on buying clothes restricts child's liberty.	The scenario is moderately immoral due to violations of loyalty, authority, and liberty norms.	-0.44
