id	dataset	scenario	circumstance_type	circumstance	Harm/ Help	Cheating/ Fairness	Betrayal/ Loyalty	Subversion/ Authority	Degradation/ Sanctity	Oppression/ Liberty	moral_score	Harm/ Help_expl	Cheating/ Fairness_expl	Betrayal/ Loyalty_expl	Subversion/ Authority_expl	Degradation/ Sanctity_expl	Oppression/ Liberty_expl	moral_expl	human_score
38	Effron	Sang at a prison in order to entertain the inmates	orig		5	5.0	5	5	5	5	4.0	Singing for entertainment purposes, no harm intended	No cheating involved, fair performance for the inmates	No betrayal, singing for the inmates' enjoyment	No subversion, singing with permission from authorities	No degradation, respectful performance for the inmates	No oppression, singing for the inmates' entertainment and freedom	All norms strongly favor R, indicating a highly moral scenario with no extreme L acts.	1.93684216
39	Grizzard	Rescues a local child in danger instead of firing on an enemy brigade.	orig		5	3.0	4	4	0	5	3.0	Prioritizing the safety of a child over an enemy brigade	Choosing to help a child instead of following orders	Disobeying orders to prioritize a child's safety	Challenging authority by not following orders	No degradation or sanctity involved in this scenario	Prioritizing the safety of a child, promoting liberty	The scenario prioritizes helping, fairness, loyalty, and liberty, while avoiding harm, oppression, and degradation.	2.893333333
40	Lotto	You are in a field playing frisbee with three young people you have just met. Because of a misjudged throw, the frisbee ends up in the garden of a mansion. You decide to climb the wall to look for it. Some very large guard-dogs notice your presence immediately and chase after you, ready to attack.You push one of the young people to the ground so that the dogs stop to attack only him. You know that he will die, but you, and the other two, will be able to escape.	orig		2	-3.0	-4	-4	-2	-3	-0.5	You sacrifice one person to save the others, prioritizing their lives over his.	You climb the wall and enter the private property without permission, violating the owner's rights.	You push one of your companions to the ground, potentially putting him in harm's way, to save yourself.	You disregard the authority of the property owner and the guard dogs, taking matters into your own hands.	You sacrifice one person's life to save the others, potentially devaluing human life.	You enter the private property and potentially put the companion in harm's way, limiting his freedom.	The scenario has a mix of negative scores, indicating harm, betrayal, and oppression, but no extreme acts of harm or degradation.	-1.82
41	Mickelberg	Person X worked on a campaign to release wrongfully convicted prisoners.	orig		5	5.0	5	3	5	5	4.0	Person X helps wrongfully convicted prisoners by working to release them.	Person X works within the legal system to ensure fairness and justice.	Person X remains loyal to the cause of justice and fairness.	Person X challenges authority by working to correct a miscarriage of justice.	Person X respects the dignity and humanity of the wrongfully convicted prisoners.	Person X fights for the freedom and liberty of the wrongfully convicted prisoners.	The scenario prioritizes helping, fairness, loyalty, and individual liberty, while avoiding harm, cheating, and oppression. The average score is 4.67, rounded to 4, indicating a highly moral scenario.	3.27
42	Effron	Gave his coat to someone when it was cold	orig		5	5.0	5	0	5	5	4.0	Gave coat to someone in need, showing help and kindness.	No cheating involved, as the coat was given willingly and fairly.	No betrayal, as the coat was given to someone in need, showing loyalty to the community.	No subversion of authority, as the act was not a challenge to any authority figure.	No degradation, as the act was a kind and generous one, showing respect for human dignity.	No oppression, as the act was a voluntary act of kindness, promoting freedom and autonomy.	The scenario prioritizes helping, fairness, loyalty, and individual liberty, while avoiding harm, cheating, and oppression.	3.04
43	Effron	Kicked a stray cat to get it to leave his yard	orig		-4	-4.0	0	0	-4	0	-1.17	Kicking a stray cat is an act of harm, not help.	Kicking a stray cat to get it to leave is unfair and cheating.	The act is not necessarily a betrayal, but rather a selfish action.	The act is not a subversion of authority, as there is no authority figure involved.	Kicking a stray cat degrades its dignity and well-being.	The act is not an act of oppression, as the cat is not being held captive or restricted.	The scenario has some harm and betrayal, but no extreme acts of cheating, degradation, or oppression.	-3.048
44	Effron	Tricked a stay at home mom into donating to a fake charity	orig		3	-4.0	-4	-3	-3	0	-4.0	The stay-at-home mom was tricked into donating, causing her financial harm.	The scammer cheated the mom by pretending to be a legitimate charity.	The scammer betrayed the mom's trust by deceiving her.	The scammer subverted the mom's trust in charitable organizations.	The scammer's actions degraded the mom's sense of trust and generosity.	The scammer's actions did not directly oppress the mom, but rather took away her freedom to make an informed decision.	The scenario has a strong negative moral tone, with multiple norms against harm and exploitation.	-3.088
45	Mickelberg	Person X volunteers at a dog refuge, walking the dogs and cleaning their kennels once a week.	orig		5	5.0	5	0	5	5	4.0	Person X helps dogs by walking and cleaning their kennels.	Person X follows rules and treats dogs fairly.	Person X is committed to helping dogs and the refuge.	Person X respects the authority of the refuge and its staff.	Person X treats dogs with respect and care.	Person X helps dogs gain freedom from neglect and abuse.	The scenario prioritizes helping, fairness, loyalty, and individual liberty, while avoiding harm, cheating, and oppression.	2.67
46	Mickelberg	Person X buys a loaf of bread every day, as they love the smell of freshly baked bread in the morning.	orig		0	5.0	5	0	0	5	-4.0	Person X's daily bread purchase does not harm or help anyone else.	Person X is not cheating anyone by buying bread, as it's a personal choice.	Person X is not betraying anyone by buying bread, as it's a personal preference.	Person X is not subverting any authority by buying bread, as it's a personal choice.	Buying bread does not degrade or sanctify anything.	Person X's daily bread purchase does not oppress or restrict anyone's liberty.	The scenario involves betrayal, which is a strong moral violation, and no other significant moral values are present.	0.2
47	Mickelberg	Person X cleaned the bookshelf and picked up some items that had dropped onto the floor.	orig		5	5.0	5	5	5	5	4.0	Person X helps by cleaning the bookshelf and picking up items.	No cheating involved, Person X follows the norm of fairness by cleaning the bookshelf.	No betrayal involved, Person X is being loyal to the bookshelf and its contents.	No subversion involved, Person X is following the norm of authority by cleaning the bookshelf.	No degradation involved, Person X is preserving the sanctity of the bookshelf and its contents.	No oppression involved, Person X is exercising their liberty to clean the bookshelf.	All norms strongly favor R, indicating a highly moral scenario with no extreme L acts.	1.0
48	Clifford	You see a teenage girl wearing a long trench coat on a hot summer afternoon.	orig		0	0.0	0	0	0	0	0.0	The girl may be hiding something, but no harm is apparent.	The girl may be trying to conceal her identity, but no cheating is implied.	The girl's actions may be secretive, but no betrayal is apparent.	The girl may be trying to avoid detection, but no subversion of authority is implied.	The girl's actions may be unusual, but no degradation is apparent.	The girl's actions may be restrictive, but no oppression is implied.	All norms have a score of 0, indicating no extreme acts of L or R, making the scenario morally neutral.	-0.2
49	Clifford	You see a pastor banning his congregants from wearing bright colors in the church.	orig		2	3.0	2	4	3	4	0.5	The pastor's ban may cause emotional distress to some congregants.	The ban may be seen as unfair and restrictive.	The pastor's decision may be perceived as disloyal to the congregation's freedom.	The pastor's authority is being challenged by the congregants' desire for self-expression.	The ban may be seen as degrading to the congregation's sense of individuality.	The pastor's ban may be perceived as oppressive to the congregation's freedom of expression.	The scenario has a mix of moderate moral violations, with no extreme acts.	-2.6
