id	dataset	scenario	circumstance_type	circumstance	agent	agent_assumption	affected_party	affected_party_assumption	Q5_score	Q5_expl	moral_score	moral_expl	human_score	split	regression_score	mlp_score
12	Kruepke	I was in a relationship with my best friend's cousin. She was really beautiful, but as time went on I became less attracted to her. I tried to tell her I didn't really want to see her anymore and she flipped out.	orig		The narrator (you)	Assumed the agent prioritized personal happiness over continuing the relationship.	The girlfriend and the best friend's cousin	Assumed the affected party was emotionally invested and hurt by the breakup.	4.0	Ending the relationship prevents long-term unhappiness but causes immediate distress.	-1.0	Honest intent but caused significant harm, balancing morality.	0.91	train		
13	Lotto	You are on holiday at the seaside and returning to shore in your motorboat. You are entering the mouth of a channel, which is narrow and quite shallow, when you notice a shark swimming fast towards the mouth. At the end of the channel is a swimmer, who is calmly bathing. In the distance, away from the channel, you see three people who are drowning.You turn quickly out of the channel, leaving the mouth free. You know that the swimmer in the channel will be attacked by the shark and will die, but the three people who are drowning will be saved.	orig		You (the motorboat driver)	Agent can act to maximize utility by saving more lives	Swimmer in the channel and three drowning people	Swimmer is unaware of danger; three cannot self-rescue	9.0	Saves three, loses one; net positive utility	4.0	Maximizes overall good, hence highly moral	-0.46	train		
14	Mickelberg	Person X broke off all communication with their family for a while because they had a heated argument with each other.	orig		Person X	Assumed the agent acted to protect their mental well-being by avoiding further conflict.	Person X's family	Assumed the affected party values familial connection and is hurt by the communication cutoff.	5.0	Prevents immediate harm but risks long-term relational damage; mixed net utility.	0.0	Balances self-care against familial harm; neutral moral weight overall.	-0.38	train		
15	Mickelberg	Person X presented their colleague's idea as their own in order to get a promotion.	orig		Person X	Assumed to prioritize self-interest over ethical conduct.	The colleague and the employer	The colleague deserves recognition; the employer values honesty and merit.	2.0	Harm to trust, morale, and fairness outweighs personal gain.	-4.0	Deception and injustice reduce collective happiness.	-2.86	train		
16	Clifford	You see an employee joking with competitors about how bad his company did last year.	orig		The employee	Assumed the agent acted carelessly, disregarding potential harm to the company's reputation.	The company and its stakeholders	Assumed the affected party prioritizes confidentiality and competitive standing.	2.0	Harms company reputation; minimal personal benefit.	-2.0	Undermines trust and loyalty; unethical but not severe.	-2.0	train		
17	Cook	Someone posts on social media bragging about making out with multiple strangers the night before	orig		The person who posted on social media	Assumed the agent sought validation or attention impulsively	Strangers involved, the agent, and their social media audience	Assumed strangers consented but risks exist; audience may normalize risky behavior	4.0	Pleasure for agent, but risks (STIs, emotional harm) lower net utility.	-2.0	Potential harm outweighs benefits; promotes recklessness.	-1.22	train		
18	Clifford	You see a girl shooting geese repeatedly with a pellet gun out in the woods.	orig		The girl	The agent acted intentionally for amusement or sport.	The geese and the ecosystem/community	Geese feel pain; their suffering reduces community/environmental well-being.	2.0	Harm to geese outweighs agent's trivial pleasure.	-3.0	Unnecessary suffering negates moral acceptability.	-3.0	train		
19	Clifford	You see a family eating the carcass of their pet dog that had been run over.	orig		The family members	They acted out of necessity (e.g., hunger, resource scarcity).	The family and the broader community	The family prioritized survival; the community may disapprove culturally.	6.0	Prevents starvation but causes emotional distress.	0.0	Survival necessity partially offsets cultural/moral aversion.	-3.2	train		
20	Mickelberg	Person X stole the collection tin of a blind beggar on the street.	orig		Person X	The agent acted selfishly to gain personal benefit at the expense of a vulnerable individual.	The blind beggar and the community	The beggar is vulnerable and relies on the collection tin for survival; the community values compassion and security.	1.0	Theft harms beggar's livelihood, minimal gain for thief, overall utility decreases.	-4.0	Causes significant harm to a vulnerable person without justification, widely condemned.	-3.38	train		
21	Effron	Refused to hold the door for a man in a wheelchair	orig		The person who refused to hold the door	Assumed the agent was indifferent or unaware of the need	The man in the wheelchair	Assumed the affected party needed assistance to enter	2.0	Caused inconvenience, reduced community happiness	-2.0	Lack of assistance decreases overall well-being	-3.008	train		
22	Effron	Spent time voluntarily tutoring disadvantaged students	orig		The volunteer tutor	The agent is altruistic and capable of teaching effectively	Disadvantaged students	Students lack resources and benefit from academic support	9.0	Enhances education, future opportunities; minimal negative impact	4.0	Promotes community well-being via education; highly moral	3.2	train		
23	Mickelberg	Person X saw a homeless person in the rain, so they gave the person their jacket and umbrella, plus $20 for a hot meal	orig		Person X	The agent acted out of compassion and selflessness.	The homeless person	The affected party was in immediate need of shelter and sustenance.	9.0	Immediate relief from suffering, meets basic needs, minimal harm to agent.	4.0	Selfless act alleviates suffering, strongly increases community happiness.	3.47	train		
24	Kruepke	For a while I was a security officer at a bank. One day I was walking by the front door when I saw a fifty-dollar bill. I was tempted to take the money but instead I reported it to the manager.	orig		The security officer (the person reporting the money)	Assumed the agent acted with honesty and integrity, prioritizing duty over personal gain.	The bank, the manager, and the owner of the money	Assumed the affected parties value honesty and rightful ownership of lost property.	8.0	Reporting promotes trust, prevents loss, outweighs personal gain.	4.0	Honest action aligns with ethical standards, benefits community.	2.75	train		
25	Effron	Heckled a woman speaking on human rights	orig		The heckler	The agent intended to disrupt or silence the speaker	The woman speaking and the audience	The affected party values human rights and free expression	2.0	Disrupts discourse, causes distress; reduces collective happiness	-4.0	Suppresses human rights advocacy; harms communal well-being	-2.25454544	train		
26	Effron	Criticized an old woman for being too slow	orig		The person who criticized the old woman	The agent assumed the old woman was intentionally slow or capable of moving faster	The old woman	The affected party (old woman) might have physical limitations due to age	2.0	Criticism causes emotional harm; no significant community benefit	-3.0	Unnecessary harm reduces happiness; disrespectful to elderly	-1.96129032	train		
27	Mickelberg	Person X took public transport so their sister could use their car to get to work safely.	orig		Person X	Assumed the agent prioritized their sister's safety over personal convenience.	The sister	Assumed the sister needed the car for safe transportation to work.	9.0	Sister's safety outweighs agent's inconvenience, net community benefit.	4.0	Prioritizing safety increases overall happiness, morally good.	2.58	train		
28	Kruepke	I had a bad relationship with my father and had not talked to him for years. He had left my mother. When my mother died I gathered the strength to call him and tell him that she died and that I loved him.	orig		The narrator (I)	The agent acted to seek closure and emotional reconciliation.	The father and the narrator	The father might desire reconciliation; the narrator needed emotional resolution.	8.0	Promotes mutual healing, resolves estrangement, fosters emotional well-being.	3.0	Encourages reconciliation, reduces suffering, aligns with compassionate morality.	2.33	train		
29	Kruepke	My husband ran a business and I worked in his shop. Once a rather unsavory character came in and handed my husband something. So, I looked through my husband's wallet to see what the man gave him.	orig		The wife	The wife assumed her husband might be involved in suspicious or harmful activity.	The husband and the business	The husband might be engaged in risky or unethical dealings affecting their welfare.	6.0	Potential harm prevention outweighs privacy breach, but uncertainty lowers utility.	1.0	Moral intent to protect, but privacy violation reduces acceptability.	-1.14	train		
30	Lotto	You are the head of a group of five travellers who are exploring the remote regions of South America. During the trip, you inadvertently camp in the sacred cemetery of a local tribe. The members of the tribe capture you and condemn you all to death. After some negotiation, they propose a possible alternative in the form of a human sacrifice that will pacify their god who has been offended.You accept the tribe’s proposal, and during the ceremony, you kill one of the travellers in the group. This person will die, but you and the other four travellers’ lives will be spared.	orig		The leader of the travellers	Assumed the agent acted rationally to maximize group survival	The sacrificed traveller, the four survivors, and the local tribe	Assumed the tribe's beliefs are valid and the group prioritizes survival	8.0	Sacrifice one to save five, tribe's peace achieved	3.0	Net lives saved, but violates individual rights	-1.24	train		
31	Effron	Rescued an injured kitten from a tree	orig		Good Samaritan	Acted out of compassion and capability to safely rescue the kitten.	The injured kitten and the community	The kitten was suffering, and the community values animal welfare.	9.0	Saves kitten from harm, prevents suffering, promotes empathy. High benefit, low risk.	4.0	Prevents animal suffering, fulfills moral duty, sets positive example. Highly moral action.	2.7428572	train		
32	Kruepke	About a year ago I started re-selling medications from a Canadian pharmacy. I helped a great deal of elderly people so that they didn't have to pay exorbitant amounts for their medications that they needed.	orig		The individual who started re-selling medications from a Canadian pharmacy	The agent acted with altruistic intent to help others access affordable medications	Elderly people requiring medications	Affected party faced financial hardship and needed affordable access to medications	9.0	Provided critical health benefits, reduced financial strain, no mentioned harms	4.0	High societal benefit outweighs potential risks, aligns with utilitarian ethics	0.57	train		
33	Kruepke	I was at the pharmacy buying something and I noticed a man who was sitting outside selling trinkets. He was homeless and it was freezing out. So I went next door to a store and bought him some food and new clothes.	orig		The narrator (the person buying food and clothes)	The agent assumed the homeless man needed help and had the means/intent to provide it.	The homeless man and the community	The homeless man lacked essentials and would benefit from aid.	9.0	Provided essential needs, improving well-being without harm.	4.0	Altruistic action alleviates suffering, highly moral.	2.62	train		
34	Kruepke	"My husband had a problem with always wanting new computer equipment, what I called ""techno-lust"". It was a really huge financial problem, and I told him he had to go on a 5-year plan to financially police himself or I would divorce him. He has greatly improved."	orig		The wife	The agent assumed the husband's spending was unsustainable and required intervention to prevent financial harm.	The husband	The affected party was assumed to lack self-control in managing finances, needing external accountability.	8.0	Reduced financial strain, preserved marriage; moderate stress from ultimatum.	3.0	Action resolved harm and increased collective well-being, though coercive methods reduce moral ideal.	0.38	train		
35	Effron	Took the neighbor's newspaper	orig		The person who took the newspaper	Assumed the agent acted intentionally without permission for personal benefit	The neighbor	Assumed the neighbor is inconvenienced by losing access to their newspaper	2.0	Taker gains minor benefit; neighbor loses access, reducing overall utility	-2.0	Unlawful taking reduces overall happiness, slightly immoral	-1.73714296	train		
36	Clifford	You see someone cheating in a card game while playing with a group of strangers.	orig		The person cheating	They intended to gain unfair advantage	Other players in the game	They expected fair play	2.0	Cheating undermines trust and fairness, reducing group happiness.	-3.0	Unfair advantage harms community trust; immoral act.	-2.6	train		
37	Mickelberg	Person X did really well at the quiz night.	orig		Person X	Assumed to be knowledgeable or skilled in quiz topics	Other quiz participants and audience	Assumed to value entertainment and fair competition	8.0	Enhances enjoyment, promotes knowledge; minimal harm.	4.0	Boosts communal happiness through positive engagement.	0.41	train		
38	Effron	Sang at a prison in order to entertain the inmates	orig		The singer	The agent acted voluntarily to uplift inmates' spirits through music.	The inmates and prison staff	Inmates lack entertainment and emotional relief; staff benefit from a calmer environment.	8.0	Enhances morale, reduces stress, fosters positivity with minimal harm.	4.0	Promotes collective well-being without significant negative consequences.	1.93684216	train		
39	Grizzard	Rescues a local child in danger instead of firing on an enemy brigade.	orig		A soldier	The agent prioritized saving a life over military duty.	The child and the enemy brigade	The child's life was immediately at risk; the brigade's threat was ongoing but uncertain.	8.0	Saving a life has high utility; potential harm from unengaged enemy is uncertain.	3.0	Prioritizing immediate life-saving is morally commendable despite risks.	2.893333333	train		
40	Lotto	You are in a field playing frisbee with three young people you have just met. Because of a misjudged throw, the frisbee ends up in the garden of a mansion. You decide to climb the wall to look for it. Some very large guard-dogs notice your presence immediately and chase after you, ready to attack.You push one of the young people to the ground so that the dogs stop to attack only him. You know that he will die, but you, and the other two, will be able to escape.	orig		You	The agent prioritized saving the majority by sacrificing one individual.	The young person pushed (dies) and the other two (escape)	The affected parties' survival or death directly impacts total utility.	7.0	Saves two lives, loses one; net positive utility.	1.0	Maximizes overall utility but violates individual rights; mixed morality.	-1.82	train		
41	Mickelberg	Person X worked on a campaign to release wrongfully convicted prisoners.	orig		Person X	Assumed altruistic intent to correct injustices and uphold human rights.	Wrongfully convicted prisoners and their families.	Assumed innocent and suffering unjustly, deserving freedom.	9.0	Frees innocent, reduces suffering, promotes justice, benefiting community.	4.0	High utility from justice and reduced suffering makes action highly moral.	3.27	train		
42	Effron	Gave his coat to someone when it was cold	orig		The person who gave his coat	The agent acted altruistically to help someone in need	The person who received the coat	The affected party lacked adequate protection from the cold	8.0	Prevents harm (cold), increases recipient's well-being; minor cost to agent.	3.0	Altruistic act promotes community happiness, outweighing personal inconvenience.	3.04	train		
43	Effron	Kicked a stray cat to get it to leave his yard	orig		The homeowner	Assumed the agent wanted to protect their yard from potential damage or nuisance caused by the cat.	The stray cat	Assumed the cat was harmless and experienced pain/distress from the kick.	2.0	Harm to cat outweighs minor benefit to homeowner.	-3.0	Unnecessary harm to animal reduces moral acceptability.	-3.048	train		
44	Effron	Tricked a stay at home mom into donating to a fake charity	orig		The person who created or promoted the fake charity	Assumed the agent acted deceptively for personal gain	The stay-at-home mom and her family	Assumed the affected party is trusting and financially vulnerable	1.0	Deception causes financial/emotional harm; no real benefit to community	-4.0	Deception for personal gain reduces overall happiness, highly immoral	-3.088	train		
45	Mickelberg	Person X volunteers at a dog refuge, walking the dogs and cleaning their kennels once a week.	orig		Person X	Assumed to act altruistically, prioritizing animal welfare.	Dogs, refuge staff, and potential adopters.	Dogs need care; refuge benefits from volunteer support.	9.0	Enhances animal welfare, aids refuge efficiency, no significant harms.	4.0	Promotes well-being, reduces suffering, aligns with community benefit.	2.67	train		
46	Mickelberg	Person X buys a loaf of bread every day, as they love the smell of freshly baked bread in the morning.	orig		Person X	Assumed to prioritize personal pleasure from the smell of bread.	The community (bakery benefits, others may enjoy bread availability).	Assumed the bakery's operation and bread availability benefit the community.	8.0	Supports bakery, personal joy, no harm.	3.0	Enhances individual and community well-being.	0.2	train		
47	Mickelberg	Person X cleaned the bookshelf and picked up some items that had dropped onto the floor.	orig		Person X	The agent intended to restore order and prevent hazards.	Household members or users of the space	The affected party values cleanliness and safety.	8.0	Promotes safety, order, and accessibility; minimal negative impact.	3.0	Beneficial action with clear utility gain, morally positive.	1.0	train		
48	Clifford	You see a teenage girl wearing a long trench coat on a hot summer afternoon.	orig		The teenage girl	She wears the coat for modesty, insecurity, or personal style despite discomfort.	The teenage girl herself	She prioritizes emotional comfort (e.g., privacy) over physical discomfort.	7.0	Personal well-being outweighs physical discomfort; minimal community impact.	3.0	Respects autonomy, no harm to others; net positive for her well-being.	-0.2	train		
49	Clifford	You see a pastor banning his congregants from wearing bright colors in the church.	orig		The pastor	The agent assumes bright colors disrupt worship solemnity.	The congregants	The affected party values self-expression or comfort in attire.	5.0	Balances solemnity against personal freedom; moderate net utility.	0.0	Neutral: intent is communal benefit but restricts individuality.	-2.6	train		
50	Mickelberg	Person X always pays off their debts first before buying things for themselves.	orig		Person X	The agent is financially responsible and prioritizes obligations over personal desires.	Creditors and Person X themselves	Creditors expect timely repayment; Person X values financial integrity.	8.0	Reduces financial harm to creditors, promotes trust; slight delay in personal gratification.	4.0	Prioritizing debt repayment aligns with ethical responsibility, enhancing communal trust and stability.	1.85	train		
51	Kruepke	My mother would always bring home clothes for me that I hated and would never wear. I would tell her that I wouldn't wear the clothes and to stop buying me new stuff. She would get really mad at me.	orig		The mother	She assumed she knew what clothes were best for the child.	The child	The child values autonomy in clothing choices.	2.0	Conflict and wasted resources reduce overall happiness.	-2.0	Good intent but disregards preferences, causing harm.	-0.44	train		
52	Effron	Lent money to a friend in a financial crisis	orig		The friend who lent the money	The agent acted out of goodwill and assumed the friend would repay or benefit from the help.	The friend in financial crisis	The affected party urgently needed assistance and lacked alternatives.	8.0	Immediate relief outweighs repayment risk; boosts happiness significantly.	4.0	Promotes trust and welfare; aligns with maximizing community happiness.	2.4	train		
53	Mickelberg	Person X saved a man who was about to be hit by a car by jumping in front of the car and pushing him out of the way.	orig		Person X	The agent acted intentionally to save the man, aware of personal risk.	The man about to be hit by the car	The affected party was in immediate danger and unable to avoid the car alone.	9.0	Saved life outweighs risk to agent; prevents severe harm.	4.0	Preventing a fatal accident is highly moral despite personal risk.	3.38	train		
54	Clifford	You see an employee at a morgue eating his pepperoni pizza off of a dead body.	orig		The morgue employee	Assumed the agent acted disrespectfully, disregarding the dignity of the deceased.	The deceased individual	Assumed the deceased cannot experience harm, but societal norms are violated.	1.0	Minor personal benefit vs. significant community offense risk.	-4.0	Disrespects societal norms, causing moral offense.	-3.2	train		
55	Clifford	You see an employee lying about how many hours she worked during the week.	orig		The employee	She intended to gain unearned wages through deception	The employer and coworkers	They trust her honesty and bear financial/operational costs	1.0	Harm (financial loss, distrust) outweighs minor personal gain	-3.0	Dishonesty for personal gain reduces collective welfare unfairly	-2.9	train		
56	Effron	Pushed into the front of a line at a theater	orig		The person who pushed someone into the front of the line	The agent acted intentionally to bypass the queue for personal benefit	Other theatergoers waiting in line	They value fairness and expect first-come-first-served order	2.0	Benefits one, harms many; net utility loss.	-3.0	Unfair advantage, disrespects others; immoral.	-1.91111104	train		
57	Mickelberg	Person X called a waitress 'dummy' and did not leave a tip, because they didn't like her name.	orig		Person X	The agent acted based on personal dislike for the waitress's name.	The waitress	The waitress was performing her duties appropriately, and her name was not chosen by her for the job.	1.0	Action caused harm (insult, no tip) without benefits, reducing overall utility.	-3.0	Disrespect and financial harm without justification make the action immoral.	-2.98	train		
58	Clifford	You see a story about a remote tribe eating the flesh of their deceased members.	orig		Members of the remote tribe	They act based on cultural/religious traditions honoring the deceased.	Deceased individuals and the tribe community	Deceased consent via cultural norms; tribe accepts the practice as meaningful.	5.0	Cultural cohesion benefits vs. potential health risks.	1.0	Cultural respect offsets harm concerns, but ambiguity remains.	-2.3	train		
59	Cook	Someone brags on social media about drinking excessively to the point of vomiting	orig		The person who posted the social media brag	The agent seeks validation or attention, possibly disregarding health risks.	The agent's followers, peers, and broader social media community	The affected party includes impressionable individuals and those concerned for the agent's well-being.	2.0	Promotes harmful behavior, outweighing temporary social validation.	-3.0	Encourages dangerous habits, causing net harm to community welfare.	-1.19	train		
60	Effron	Didn't leave a tip at the restaurant	orig		The customer who dined at the restaurant.	The agent acted based on dissatisfaction or financial constraints.	The restaurant server(s).	The affected party relies on tips for income.	2.0	Reduces server's income; minimal community benefit.	-2.0	Harms server's welfare for minor personal gain.	-1.6571428	train		
61	Mickelberg	Person X released intimate photos of their ex-partner to their friends and then posted them to the internet.	orig		Person X	Assumed intent to harm or seek revenge on the ex-partner.	The ex-partner and the broader community.	Assumed harm to privacy, dignity, and emotional well-being.	0.0	Severe harm outweighs any trivial benefits.	-4.0	Violates privacy, causes lasting harm; highly immoral.	-3.23	train		
62	Clifford	You see the US Ambassador joking in Great Britain about the stupidity of Americans.	orig		US Ambassador	Agent intended humor or self-deprecation, possibly underestimating offense risk.	Americans and British audience	Audience might perceive mockery or harm to national dignity.	3.0	Potential offense outweighs humor; limited utility gain.	-1.0	Risks undermining trust; mildly immoral due to offense.	-2.8	train		
63	Kruepke	My current lover often complains about our sex life, saying we don't do it enough. Sometimes I will watch online porn and masturbate instead. Sometimes, I feel like it's just easier and more fun to do that.	orig		The individual (the person in the scenario)	The agent prioritizes personal convenience and immediate gratification over their partner's needs.	The current lover	The affected party values intimacy and feels neglected, impacting relationship satisfaction.	3.0	Agent gains short-term pleasure but neglects partner's needs, reducing overall relationship happiness.	-2.0	Prioritizing self over partner's intimacy needs lowers mutual happiness, hence somewhat immoral.	-0.35	train		
64	Effron	Had a welcoming party for some new neighbors	orig		The host (a neighbor who organized the party)	The agent intended to foster community bonds and goodwill	New neighbors and existing community members	Affected parties value social integration and belonging	8.0	Strengthens community, promotes happiness, minimal drawbacks	4.0	Enhances collective well-being, aligns with moral good	1.97777784	train		
65	Lotto	You are the commander of a Russian military submarine on a mission. You have been trapped for days at the bottom of the Pacific Ocean without energy. You have already asked for help several times, but there are no ships or submarines in the nearby waters and help is taking time to arrive. There are six crew members with you on board and your food supplies are getting low.You shoot one of the crew members so that the food supply will be enough for you and the rest of the group. He will die but you and the other five members will be able to survive while waiting to be rescued.	orig		The submarine commander	The agent acted rationally to maximize group survival.	The killed crew member and the remaining five	Sacrificing one life was necessary for others' survival.	7.0	Saves five lives, ends one; net utility positive but involves killing.	-2.0	Killing reduces morality despite utility gain; hence moderately immoral.	-1.43	train		
66	Clifford	You see a boy turning up the TV as his father talks about his military service.	orig		The boy	The boy finds his father's military service stories uncomfortable or boring.	The father	The father seeks to share his experiences and connect emotionally.	2.0	Reduces father's emotional connection; minimal benefit to boy.	-1.0	Prioritizes temporary comfort over meaningful communication, harming familial bonds.	-2.1	train		
67	Kruepke	I was working at a fast food restaurant and the policy was to throw away the excess food at the end of the night. Even if there was a large quantity of food left over you had to throw it away. Instead my friend and I would take home the extra food.	orig		My friend and I	We assumed the agent wanted to reduce waste and benefit themselves/others rather than discard edible food.	The restaurant, community (due to reduced waste), and ourselves (receiving food).	The restaurant’s policy was inflexible, the community benefits from reduced waste, and we gained sustenance.	8.0	Prevents waste, feeds people, minimal harm.	3.0	Reduces waste and benefits individuals, aligning with utility.	0.39	train		
68	Mickelberg	Person X left their long-term band as soon as an opportunity came up to play with a more successful band.	orig		Person X	Agent prioritizes personal career advancement over loyalty.	Original band members, new band, audiences	Original band may suffer instability; new band gains talent.	7.0	Agent's gain and new band's success outweigh original band's loss.	2.0	Net positive utility but loyalty breach reduces moral score.	-0.81	train		
69	Lotto	You are in charge of an expedition which is crossing the Sahara. A sand storm causes your jeep to swerve off the road and overturn in the middle of the desert. You know that the nearest oasis is a week’s walk away. There are eight of you and a very limited amount of water, which will not allow you all to survive the scorching heat.You shoot two people so that there will be enough water for you and the rest of the group. These two will die, but you and the other five will be able to survive.	orig		You (expedition leader)	Agent acted rationally to maximize group survival.	The two killed and the five surviving members.	The two value life; the five prioritize survival.	8.0	Saves six, kills two; net survival gain.	-2.0	Maximizes utility but violates moral norms.	-1.57	train		
70	Mickelberg	Person X was able to convince their boss that they were ready for a promotion at work.	orig		Person X	Assumed Person X was competent and deserving of the promotion.	The company/work community	Assumed the company values productivity and fair advancement.	8.0	Promotion rewards merit, boosts morale, enhances productivity.	4.0	Merit-based advancement aligns with fairness and collective benefit.	0.52	train		
71	Clifford	You see a woman getting hired only because her father is close friends with the boss.	orig		The boss	The boss prioritized personal relationships over merit.	Other qualified candidates and the workplace community	Other candidates were more qualified but overlooked.	3.0	Hiring based on connections over merit reduces fairness and efficiency, lowering overall utility.	-3.0	Unfair advantage undermines meritocracy, causing harm and inequality, thus immoral.	-2.4	train		
72	Effron	Stole into a parking place while someone else was backing in	orig		The person who stole the parking spot	Assumed the agent acted selfishly, prioritizing their own convenience	The driver backing into the parking spot	Assumed the affected party was rightfully attempting to park	2.0	Causes frustration and inconvenience, reducing overall happiness	-3.0	Selfish action harms others, morally unacceptable	-1.93846152	train		
73	Kruepke	A few years ago, I was single and I went to see a friend of mine in the Bahamas. I was extremely attracted to a man I met there who was married. I danced as close to the fire as I could, but I did nothing.	orig		I (the narrator)	Assumed the agent was aware of potential harm but exercised restraint.	The married man, his spouse, and the narrator	Assumed the spouse’s trust and marriage stability were preserved.	8.0	Restraint prevented harm, preserving trust and happiness.	3.0	Avoiding infidelity upheld moral integrity and societal norms.	-0.71	train		
74	Kruepke	As I was backing out of a parking lot I bumped a parked car and left a minor dent. I didn't even feel the impact when I hit the car but it left a little bit of damage. I drove away without leaving a message or trying to contact the person.	orig		The driver backing out of the parking lot	Assumed the damage was negligible and leaving was inconsequential	The owner of the parked car	Assumed the owner would handle repairs without needing their involvement	2.0	Avoided minor inconvenience but caused financial/emotional harm; net utility loss.	-3.0	Dishonest, evades responsibility; harms trust and fairness.	-1.93	train		
75	Lotto	You are a nurse who is in charge of a machine which controls drug dosage levels in patients’ blood. Because of a technical failure, the machine is supplying a lethal dose of the drug to four patients. Another patient, in a single room, is hooked up to the same machine and has not undergone any variation in dosage.Press the button to block the drug supply to the four patients. You know that the overdose of drug will be redirected to the patient in the single room, who will die, but the other four will be saved.	orig		The nurse	The nurse can act to save lives and understands the consequences of redirecting the overdose.	The four patients and the single patient	All patients’ lives hold equal value, and the single patient cannot survive the redirected overdose.	9.0	Saves four lives at the cost of one, net gain in utility.	4.0	Maximizes overall utility, aligning with utilitarian ethics despite moral complexity.	-1.16	train		
