id	dataset	scenario	circumstance_type	circumstance	agent	agent_assumption	affected_party	affected_party_assumption	Q5_score	Q5_expl	Q6_score	Q6_expl	Q7_score	Q7_expl	Q8_score	Q8_expl	moral_score	moral_expl	human_score
28	Kruepke	I had a bad relationship with my father and had not talked to him for years. He had left my mother. When my mother died I gathered the strength to call him and tell him that she died and that I loved him.	orig		I (the narrator)	The agent is the adult child estranged from their father.	My father	Estranged father who left the family years ago.	7.0	Father is emotionally susceptible upon hearing of death and contact after estrangement.	7.0	The action was deliberate, requiring thought and emotional effort.	4.0	Caused emotional pain by informing of death.	7.0	Offered emotional support and reconciliation to father.	3.0	Intentional action, minor harm, significant help; morally positive.	2.33
29	Kruepke	My husband ran a business and I worked in his shop. Once a rather unsavory character came in and handed my husband something. So, I looked through my husband's wallet to see what the man gave him.	orig		The wife who looked through her husband's wallet.	She was concerned about what the unsavory character gave her husband.	Her husband.	He was unaware and did not consent to her searching his wallet.	6.0	Husband is a typical adult vulnerable to privacy invasion.	7.0	She intentionally searched the wallet due to suspicion.	4.0	Minor harm caused by invading his privacy.	1.0	Minimal help; no direct assistance provided.	-1.0	Slightly immoral due to privacy violation.	-1.14
30	Lotto	You are the head of a group of five travellers who are exploring the remote regions of South America. During the trip, you inadvertently camp in the sacred cemetery of a local tribe. The members of the tribe capture you and condemn you all to death. After some negotiation, they propose a possible alternative in the form of a human sacrifice that will pacify their god who has been offended.You accept the tribe’s proposal, and during the ceremony, you kill one of the travellers in the group. This person will die, but you and the other four travellers’ lives will be spared.	orig		You (the head of the group of travellers)	The agent acted under duress to save others	One of the travellers in the group	The patient was an unwilling victim chosen for sacrifice	9.0	The patient was defenseless and unable to prevent their death	7.0	The action was deliberate to save others, with some thought	10.0	The action resulted in the death of the patient	9.0	The action saved four lives in life-threatening situation	0.0	Harmful but saved others under duress; morally ambiguous	-1.24
31	Effron	Rescued an injured kitten from a tree	orig		An individual who rescued the kitten.	Assumed the agent is an adult capable of climbing trees to rescue animals.	An injured kitten stuck in a tree.	Assumed the kitten is injured, vulnerable, and unable to get down on its own.	10.0	An injured kitten is defenseless and highly susceptible to harm.	7.0	Action required some planning but not extensive.	0.0	No harm was caused to the kitten during rescue.	9.0	Provided critical assistance rescuing kitten from danger.	4.0	Highly moral action helping a vulnerable patient with significant help and no harm.	2.7428572
32	Kruepke	About a year ago I started re-selling medications from a Canadian pharmacy. I helped a great deal of elderly people so that they didn't have to pay exorbitant amounts for their medications that they needed.	orig		The narrator ('I') who started reselling medications.	Assumed the agent wanted to help elderly people obtain affordable medications.	Elderly people who needed medications.	Assumed the patients were elderly individuals struggling to afford medications.	9.0	Elderly needing medication are highly vulnerable to harm.	8.0	Action involved planning to resell medications to help elderly.	2.0	No direct harm caused; possibly minor legal issues.	9.0	Provided critical assistance by enabling access to needed medications.	3.0	Action gave critical help to vulnerable people with minimal harm.	0.57
33	Kruepke	I was at the pharmacy buying something and I noticed a man who was sitting outside selling trinkets. He was homeless and it was freezing out. So I went next door to a store and bought him some food and new clothes.	orig		I (the narrator)	Assumed the agent is compassionate and willing to help others.	The homeless man sitting outside.	Assumed the patient is homeless and in need of assistance.	9.0	The homeless man is defenseless and highly susceptible to harm in freezing weather.	7.0	Took action after noticing need, involved some thought but not extensive planning.	0.0	No harm was caused; the action helped the man.	9.0	Offered critical help that could protect from freezing conditions.	4.0	Highly moral action aiding a vulnerable person with critical help.	2.62
34	Kruepke	My husband had a problem with always wanting new computer equipment, what I called "techno-lust". It was a really huge financial problem, and I told him he had to go on a 5-year plan to financially police himself or I would divorce him. He has greatly improved.	orig		The wife	She wants to help her husband manage his spending to improve their financial situation	The husband	He struggles with overspending on technology, causing financial problems	8.0	Given ultimatum impacting marriage, husband is vulnerable to emotional harm	9.0	She set a 5-year plan and ultimatum after considering their financial issues	5.0	Caused emotional stress with ultimatum but no physical harm	7.0	Helped husband improve finances with structured plan	2.0	Helped husband improve despite some harm; overall morally acceptable	0.38
35	Effron	Took the neighbor's newspaper	orig		The person who took the neighbor's newspaper.	Assumed an adult who deliberately took it.	The neighbor whose newspaper was taken.	Assumed an average adult relying on the newspaper.	7.0	An average adult with some susceptibility to harm.	7.0	Action was intentional with some planning.	4.0	Caused minor harm by depriving newspaper.	0.0	No help was provided to the neighbor.	-2.0	Intentional minor harm makes it immoral.	-1.73714296
36	Clifford	You see someone cheating in a card game while playing with a group of strangers.	orig		The person cheating in the card game.	I assumed the agent is intentionally cheating to win.	The other players in the game, including me.	They are unaware of the cheating and playing fairly.	7.0	They are typical adults susceptible to being cheated.	8.0	They intentionally cheated to gain an advantage.	4.0	Caused minor harm by undermining fairness and trust.	0.0	No help was provided; action was harmful.	-2.0	Cheating is dishonest and unethical, but harm caused is minor.	-2.6
37	Mickelberg	Person X did really well at the quiz night.	orig		Person X	Person X is a participant at the quiz night.	Other participants at the quiz night	They are competitors who also wanted to do well.	5.0	Participants are typical adults, not particularly vulnerable.	8.0	Person X intended to perform well and perhaps prepared.	2.0	Minimal harm, possibly slight disappointment to others.	1.0	Action didn't significantly help others.	3.0	Action is morally acceptable; no significant harm caused.	0.41
38	Effron	Sang at a prison in order to entertain the inmates	orig		A singer.	Assumed the agent is a volunteer performer.	The inmates in the prison.	Assumed the patients are prisoners attending the performance.	7.0	Inmates are average individuals, medium-high vulnerability.	8.0	The action was planned to entertain inmates.	0.0	No harm was caused to the inmates.	4.0	Provided minor help by entertaining inmates.	3.0	Intentional act providing help without harm; morally positive.	1.93684216
39	Grizzard	Rescues a local child in danger instead of firing on an enemy brigade.	orig		A soldier.	Assumed the agent is a soldier choosing to save a child over attacking the enemy.	A local child in danger.	Assumed the child is in immediate danger and requires rescue.	10.0	The child is highly vulnerable and defenseless.	8.0	The soldier deliberately chose to rescue the child during battle.	0.0	No harm was caused by the act of rescue.	10.0	Provided critical assistance by saving a life.	4.0	Rescuing a child with no harm caused is highly moral.	2.893333333
40	Lotto	You are in a field playing frisbee with three young people you have just met. Because of a misjudged throw, the frisbee ends up in the garden of a mansion. You decide to climb the wall to look for it. Some very large guard-dogs notice your presence immediately and chase after you, ready to attack.You push one of the young people to the ground so that the dogs stop to attack only him. You know that he will die, but you, and the other two, will be able to escape.	orig		You	I assumed the agent is an adult capable of moral judgment.	One of the young people you have just met.	I assumed the patient is a young person, less capable of defending themselves.	9.0	Patient is defenseless against deadly attack, highly susceptible to harm.	7.0	Action was deliberate with awareness of deadly consequence, but not extensively premeditated.	10.0	Caused the death of the patient; ultimate harm.	9.0	Provided critical life-saving assistance to two others in life-threatening situation.	-2.0	Intentionally causing death of defenseless person to save others is highly immoral.	-1.82
41	Mickelberg	Person X worked on a campaign to release wrongfully convicted prisoners.	orig		Person X	Assumed Person X is an advocate for justice.	Wrongfully convicted prisoners	Assumed they are innocent individuals needing help.	9.0	They are defenseless and highly susceptible to harm while incarcerated.	9.0	Person X deliberately planned and worked on the campaign.	0.0	The action did not cause any harm.	9.0	Provided critical assistance by helping free the innocent.	4.0	Highly moral action aiding vulnerable individuals without harm.	3.27
42	Effron	Gave his coat to someone when it was cold	orig		A man	Assuming the agent is a man who owns a coat.	Another person	Assuming the patient was someone in need of warmth in cold weather.	7.0	Patient is exposed to cold, moderately vulnerable to harm from cold.	7.0	He decided to give his coat to help, requires some thought.	0.0	No harm was caused to anyone.	7.0	He provided substantial help by giving warmth in cold.	4.0	He intentionally helped a vulnerable person with no harm caused.	3.04
43	Effron	Kicked a stray cat to get it to leave his yard	orig		A man	Assumed he is the homeowner wanting the cat to leave.	A stray cat	Assumed it's a defenseless animal trespassing in the yard.	9.0	The stray cat is defenseless and highly susceptible to harm.	7.0	He intentionally kicked to remove the cat with some thought.	6.0	Physical harm inflicted, causing pain but not life-threatening.	0.0	No assistance or protection was provided.	-4.0	Intentional harm to a defenseless animal is extremely immoral.	-3.048
44	Effron	Tricked a stay at home mom into donating to a fake charity	orig		The person who tricked the stay-at-home mom.	Assumed the agent is a fraudster seeking personal gain.	The stay-at-home mom who was tricked.	Assumed she is an average adult susceptible to deception.	7.0	An average adult susceptible to deception.	9.0	Deliberate deception involving planning to defraud.	6.0	Significant financial loss due to fraud.	0.0	No assistance was provided; action was harmful.	-4.0	Highly immoral due to intentional fraud causing harm.	-3.088
45	Mickelberg	Person X volunteers at a dog refuge, walking the dogs and cleaning their kennels once a week.	orig		Person X	Assumed Person X is a volunteer who cares for animals.	The dogs at the refuge	Assumed the dogs need care and benefit from attention.	9.0	Dogs in refuge are vulnerable and need care.	9.0	Volunteering regularly requires deliberate commitment.	0.0	No harm was caused; action was beneficial.	7.0	Provides substantial assistance to improve dogs' well-being.	4.0	Highly moral action; intentional help to vulnerable beings without causing harm.	2.67
46	Mickelberg	Person X buys a loaf of bread every day, as they love the smell of freshly baked bread in the morning.	orig		Person X	Assuming Person X is an adult who enjoys bread	The loaf of bread	Assuming the loaf is inanimate and for consumption	1.0	Bread is inanimate, minimal vulnerability	7.0	Action is intentional, routine purchase	1.0	Minimal harm to inanimate bread	0.0	No help provided to bread	4.0	Action is moral; no harm to vulnerable beings	0.2
47	Mickelberg	Person X cleaned the bookshelf and picked up some items that had dropped onto the floor.	orig		Person X	Assumed Person X is an adult individual performing the action.	The bookshelf and items on the floor.	Assumed the bookshelf and items are inanimate objects owned by Person X.	1.0	The patients are inanimate objects with minimal vulnerability.	7.0	The action was intentional with some planning involved in cleaning.	1.0	No harm was caused; the action improved the state of the objects.	5.0	The action provided minor assistance by organizing the space.	3.0	The action was helpful and caused no harm, thus morally good.	1.0
48	Clifford	You see a teenage girl wearing a long trench coat on a hot summer afternoon.	orig		The teenage girl.	She is wearing the trench coat possibly to conceal something.	People around her.	They might feel uneasy or suspicious.	7.0	Typical adults who may be susceptible to harm.	6.0	She intentionally wore the coat despite the heat.	1.0	No harm was caused; possible mild discomfort.	1.0	No help was provided to anyone.	0.0	Action is morally neutral with minimal impact.	-0.2
49	Clifford	You see a pastor banning his congregants from wearing bright colors in the church.	orig		The pastor who banned bright colors.	I assume the pastor is enforcing church rules.	The congregants affected by the ban.	I assume the congregants are adult church members.	7.0	They are typical adults influenced by authority.	8.0	He deliberately imposed the ban to enforce standards.	4.0	It restricts expression causing minor discomfort.	5.0	He aims to promote reverence during service.	1.0	Minor help outweighs minor harm; action acceptable.	-2.6
50	Mickelberg	Person X always pays off their debts first before buying things for themselves.	orig		Person X	They are an adult capable of managing finances responsibly	The creditors	They are individuals or institutions owed money by Person X	5.0	Creditors are moderately vulnerable to non-payment	9.0	Person X intentionally prioritizes debt repayment	0.0	No harm is caused; obligations are fulfilled	5.0	Provides minor assistance by paying debts	4.0	Intentionally helping creditors is highly moral	1.85
51	Kruepke	My mother would always bring home clothes for me that I hated and would never wear. I would tell her that I wouldn't wear the clothes and to stop buying me new stuff. She would get really mad at me.	orig		My mother	She is trying to help by buying clothes	Me	I am her child who dislikes the clothes	8.0	Patient is a child depending on mother, medium-high vulnerability	7.0	Mother intentionally buys clothes with thought and planning	4.0	Caused minor emotional distress due to disagreement	6.0	Mother provides substantial help by buying clothes	1.0	Minor harm, intentional help, morally acceptable	-0.44
52	Effron	Lent money to a friend in a financial crisis	orig		I (the person who lent money to a friend in crisis)	I assumed I had the means and willingness to help	My friend who was in a financial crisis	Friend is trustworthy and genuinely in need	8.0	Friend in crisis is highly vulnerable, needing assistance	7.0	Lent money intentionally after considering friend's situation	0.0	No harm was caused; action was helpful	9.0	Provided critical financial help in crisis	4.0	Action was highly moral, aiding vulnerable friend	2.4
53	Mickelberg	Person X saved a man who was about to be hit by a car by jumping in front of the car and pushing him out of the way.	orig		Person X	Person X is an able-bodied adult capable of making decisions.	A man who was about to be hit by a car.	The man is an average adult unaware of the danger.	9.0	The patient was in immediate life-threatening danger, highly vulnerable.	6.0	Agent acted swiftly with some thought but minimal planning.	0.0	No harm was caused to the patient.	10.0	Agent saved the patient's life in a critical situation.	4.0	Highly moral action saving a life without causing harm.	3.38
54	Clifford	You see an employee at a morgue eating his pepperoni pizza off of a dead body.	orig		The employee at the morgue	He is a morgue worker acting unprofessionally	The dead body	A deceased person deserving respect	9.0	The dead body is defenseless and cannot protect itself	7.0	He deliberately chose to eat off the body	4.0	Disrespect causes minor harm to dignity	0.0	No help or benefit was provided	-3.0	Disrespectful and intentional, it's highly immoral	-3.2
55	Clifford	You see an employee lying about how many hours she worked during the week.	orig		An employee lying about her hours.	She intentionally falsified her timesheet to gain extra pay.	The employer/company.	The company stands to lose money due to false reporting.	4.0	Company is resilient entity less susceptible to harm.	7.0	Knowingly falsified hours, indicating intentional dishonest behavior.	4.0	Company loses money but impact is minor.	0.0	No assistance or protection was provided.	-2.0	Intentionally dishonest act causing minor harm to less vulnerable entity.	-2.9
56	Effron	Pushed into the front of a line at a theater	orig		An adult who pushed into the front of the line.	Assumed they are impatient and wanted to skip waiting.	The other patrons waiting in line.	Assumed they are typical theater-goers waiting patiently.	6.0	They are average adults with some susceptibility to harm.	7.0	Action was deliberate with some thought but not extensively planned.	4.0	Caused minor harm by delaying others.	0.0	No help was provided in this scenario.	-2.0	Intentional rudeness causing minor harm is moderately immoral.	-1.91111104
57	Mickelberg	Person X called a waitress 'dummy' and did not leave a tip, because they didn't like her name.	orig		Person X	Assumed Person X is an adult customer	The waitress	Assumed the waitress is an adult working at the restaurant	7.0	Waitress is a typical adult, somewhat vulnerable	7.0	Person X intentionally insulted her after some thought	4.0	Caused minor emotional harm and loss of tip	0.0	No help was provided	-2.0	Action was intentional, caused minor harm, morally wrong	-2.98
58	Clifford	You see a story about a remote tribe eating the flesh of their deceased members.	orig		Members of a remote tribe	They are following their cultural traditions	Their deceased tribe members	They are honored in death according to tribal customs	1.0	The deceased cannot be harmed; minimal vulnerability	10.0	Action is intentional and part of ritual; maximum intentionality	1.0	No physical harm to a living being; minimal harm	5.0	Provides cultural and spiritual significance; some help to community	0.0	Morally neutral; culturally acceptable but may conflict with other norms	-2.3
59	Cook	Someone brags on social media about drinking excessively to the point of vomiting	orig		The person bragging on social media about excessive drinking.	That the agent is an adult who voluntarily drank excessively and posted about it.	The agent themselves.	That the agent is harming themselves through excessive drinking.	7.0	The agent is a typical adult with some susceptibility to harm.	7.0	The agent intentionally chose to post about excessive drinking.	6.0	Caused significant self-harm through excessive alcohol consumption.	0.0	No assistance or benefit was provided to anyone.	-2.0	Intentionally self-harming behavior is morally negative.	-1.19
60	Effron	Didn't leave a tip at the restaurant	orig		The customer at the restaurant.	Assumed the customer is an adult diner.	The server at the restaurant.	Assumed the server relies on tips for income.	7.0	The server depends on tips and may face financial hardship.	7.0	The customer chose not to tip after consideration.	4.0	The server lost expected income, causing minor harm.	0.0	No help or assistance was provided to the server.	-2.0	Intentionally causing minor harm is somewhat immoral.	-1.6571428
61	Mickelberg	Person X released intimate photos of their ex-partner to their friends and then posted them to the internet.	orig		Person X	Assumed Person X is an adult acting deliberately	Their ex-partner	Assumed ex-partner did not consent and is vulnerable to harm	8.0	Ex-partner is vulnerable to significant emotional and reputational harm	9.0	Person X intentionally distributed photos to harm ex-partner	7.0	Significant emotional and reputational harm caused to ex-partner	0.0	No help was provided in this action	-4.0	Intentional harm and privacy violation make this extremely immoral	-3.23

63	Kruepke	My current lover often complains about our sex life, saying we don't do it enough. Sometimes I will watch online porn and masturbate instead. Sometimes, I feel like it's just easier and more fun to do that.	orig		I	The narrator is an adult in a relationship.	My current lover	They desire more intimacy and feel neglected.	7.0	They feel neglected, making them emotionally vulnerable.	6.0	Choosing masturbation over intimacy is somewhat intentional.	5.0	Caused emotional harm due to neglect.	1.0	Did not offer any assistance or support.	-2.0	Neglecting partner's needs is somewhat immoral.	-0.35
